黏	nieŋ[2]				
唸	naŋ[6]				
娘	nioŋ[2]				
尿	nio[6]				
鑷	nia[7]				
牛	niu[2]				
濃	neŋ[2]				
膿	noŋ[6]				
女	ny[3]				
蓲	∅iu[5]	孵			
甌	∅eu[1]	茶甌ta2 eu1：甌子			
藕	ŋeu[3]				
杷	wa[9]	枇杷			
爬	pa[2]				
帕	pʰa[5]	手帕			
怕	pʰa[5]				
拍	pʰɔ[7]				
𢫦	maˀ[8]	打			
牌	wai[9]				
排	wai[9]	竹排			
派	pʰai[6]				
盤	poiŋ[2]				
拋	pʰau[1]				
泡	pʰau[5]	皮膚上的泡			
泡	pʰoˀ[8]	泡沫；起泡kʰi3 pʰo8			
炮	pʰau[5]				
陪	wui[2]				
賠	pui[2]				
配	pʰui[5]				
盆	wuŋ[9]				
朋	waiŋ[9]	朋友			
彭	pʰaŋ[2]				
碰	pʰoŋ[6]				
伓	∅aŋ[5]	仍然，然而，aŋ5 naiŋ9 soi3：还没死			
伓	∅oiŋ[5]	否定詞，不，ko3 oiŋ5 tio8：猜不到			
伓	∅oŋ[5]	否定詞，不，tʰo7 oŋ5 kieŋ5：看不見			
皮	pʰui[5]	墊皮tieŋ5 pʰui5			
皮	pʰui[2]	補皮鞋wio3 pʰui2 ai9			
皮	hui[2]	目珠皮mo8 tsiu1 hui2：眼皮			
枇	woi[9]				
脾	pʰui[2]				
匹	pʰoi[7]				
屁	pʰy[5]				
屁	hy[5]				
片	pʰieŋ[5]				
騙	pʰieŋ[5]				
薸	pʰio[2]	浮萍			
平	piaŋ[2]	天平hieŋ1 piaŋ2			
平	poiŋ[2]				
坪	piaŋ[2]	粟坪sy7 piaŋ2：禾場			
瓶	waiŋ[9]	瓶子			
蘋	woiŋ[9]	蘋果woiŋ9 kuo3			
潑	pʰoi[7]				
婆	po[2]	外婆ŋye6 po2			
迫	pʰe[7]				
破	pʰoi[5]				
鋪	pʰo[1]	鋪牀pʰo1 tʰɔŋ2			
菩	wo[2]				
普	pʰo[3]				
七	tʰoi[7]				
漆	tʰe[7]				
奇	ɣi[2]				
棋	ɣi[9]				
齊	lai[9]				
旗	ɣi[9]				
騎	ɣi[9]	騎馬			
臍	tʰe[2]	肚臍			
乞	kʰy[7]	嫁			
起	kʰi[3]	起～：蓋房子			
起	kʰe[5]	起來			
氣	kʰi[5]				
器	kʰi[5]				
掐	kʰa[1]				
千	tʰaiŋ[1]				
鉛	∅yeŋ[2]				
籤	tsʰieŋ[1]	牙籤			
韆	tsʰieŋ[1]				
前	tsʰieŋ[2]				
乾	kueŋ[1]				
鉗	kʰieŋ[2]				
錢	tsieŋ[2]				
淺	tsʰieŋ[3]				
欠	kʰieŋ[5]				
強	ɣioŋ[2]				
牆	tsioŋ[2]				
搶	tsʰioŋ[3]				
敲	kʰau[1]				
橋	kio[2]				
樵	tʰau[2]	柴			
巧	kʰio[3]				
殼	kʰo[7]				
茄	kio[2]				
切	tʰui[7]				
芹	ɣiŋ[2]				
琴	ɣiŋ[2]				
青	tʰaŋ[1]				
清	tʰoiŋ[1]				
輕	kʰiaŋ[1]				
情	loiŋ[2]				
晴	tsaŋ[2]				
擎	kiaŋ[2]	舉起，擎手kiaŋ2 siu3 ：舉手			
請	tsʰiaŋ[3]				
凊	tʰoiŋ[5]	冷			
親	tʰoiŋ[1]				
窮	keŋ[2]				
秋	tsʰiu[1]	秋天			
鞦	tsʰiu[1]				
求	ɣiu[2]				
球	ɣiu[9]				
曲	kʰy[7]				
渠	ɣy[9]	他			
取	tsʰiu[5]				
去	kʰɔ[5]				
覷	tʰo[7]	動詞，看			
圈	kʰyeŋ[1]				
全	lyeŋ[9]	全部			
泉	tsyeŋ[2]				
拳	kyeŋ[2]				
顴	xueŋ[1]				
勸	kʰyeŋ[5]				
缺	kʰie[7]	缺口			
雀	tsia[7]	雀子tsia7 tsie3：鳥			
雀	tsʰio[7]	麻雀ma2 tsʰio7：麻将			
裙	keŋ[2]				
染	nieŋ[3]				
讓	nioŋ[6]				
繞	ɣio[9]				
惹	nia[3]				
熱	∅ie[3]				
人	noiŋ[9]	主人tsy3 noiŋ9			
人	noiŋ[2]	做粗人tsa5 tʰo1 noiŋ2：農民			
仁	∅iŋ[2]				
認	noiŋ[6]				
日	noiˀ[8]	日本			
容	∅eŋ[2]				
肉	nyˀ[8]				
入	noiˀ[8]				
阮	∅yeŋ[3]	姓			
軟	nyeŋ[3]				
閏	∅eŋ[6]				
弱	∅ioˀ[8]				
箬	nioˀ[8]	葉			
薩	sai[7]	菩薩wo2 sai7			
三	saŋ[1]				
傘	sueŋ[3]				
桑	sɔŋ[1]				
喪	sɔŋ[1]				
臊	tʰau[1]	有魚或肉的臭味			
掃	seu[5]				
嫂	sau[3]				
色	se[7]	顏色			
澀	se[7]				
沙	sa[1]				
沙	sue[1]				
殺	sue[7]				
紗	sa[1]				
篩	sai[1]				
曬	sai[5]				
山	sueŋ[1]				
杉	saŋ[1]				
扇	sieŋ[5]				
鱔	syeŋ[5]				
商	sioŋ[1]				
傷	sioŋ[1]				
賞	sioŋ[3]				
上	sioŋ[6]	上方			
上	∅ioŋ[5]	上岸			
上	tsioŋ[6]	頭上heu2 tsioŋ6			
裳	tsioŋ[2]				
燒	tsʰio[1]				
哨	sau[5]				
潲	sau[5]				
賒	tsʰia[1]				
舌	lyeˀ[8]				
蛇	∅ye[2]				
舍	sia[5]	舍弟sia5 tie5			
捨	sia[3]	sia3 oiŋ5 te7：舍不得			
射	liaˀ[8]				
伸	syeŋ[1]				
身	siŋ[1]				
深	tsʰiŋ[1]				
神	ɣiŋ[9]	竈神公tseu5 ɣiŋ9 koŋ1			
神	siŋ[2]	拜神			
沈	loiŋ[2]				
升	siŋ[1]				
生	saiŋ[1]	花生xua1 saiŋ1			
生	saŋ[1]	後生；生（蛋），生（病）			
甥	saŋ[1]				
聲	tsʰiaŋ[1]				
省	saiŋ[3]				
失	si[7]				
師	so[1]				
獅	se[1]				
蝨	se[7]				
濕	tsʰie[7]				
十	si[5]				
十	siˀ[8]				
石	tsioˀ[8]				
食	∅ieˀ[8]				
食	siˀ[8]				
時	si[2]				
蒔	tsʰi[6]	蒔塍tsʰi6 tʰaiŋ2：插秧			
實	siˀ[8]				
識	sie[7]				
使	se[3]				
屎	si[7]	屎窟si7 kʰui7 ：屁股			
屎	si[3]	lue2 si3 ：拉屎			
士	so[6]				
世	si[5]	世界			
世	sie[5]	出世			
市	tsʰi[6]				
事	toi[6]	話事ua6 toi6：說話			
事	so[6]	好事xau3 so6			
柿	kʰi[5]	柿子			
是	si[5]				
舐	la[7]	舔			
試	tsʰi[5]				
匙	tsie[2]				
收	siu[1]				
手	siu[3]				
守	siu[3]				
受	siu[5]				
瘦	seu[5]	瘦，瘦（肉）			
獸	siu[5]				
叔	sy[7]				
書	sy[1]				
梳	so[1]				
舒	sy[1]				
疏	so[1]				
輸	sy[1]	𢫦輸ma8 sy1：打輸			
秫	tsʰyˀ[8]	秫米tsʰy8 moi5：糯米			
熟	syˀ[8]				
鼠	tsʰy[3]				
薯	tsy[2]	番薯xueŋ1 tsy2			
恕	so[5]				
數	so[5]				
樹	tsʰiu[6]				
刷	sui[7]				
霜	sɔŋ[1]				
水	sy[3]				
稅	sye[5]				
睡	sy[2]				
順	seŋ[6]				
說	sye[7]				
司	so[1]				
思	so[1]	意思i5 so1			
思	so[5]	oiŋ5 xau3 i5 so5：不好意思			
絲	soi[7]				
絲	soi[1]				
撕	sie[1]				
死	soi[3]				
四	soi[5]				
飼	si[6]	飼牛si6 niu2：喂牛			
松	leŋ[9]				
鬆	soŋ[1]				
𢱤	soŋ[3]	推搡			
宋	soŋ[5]				
送	soŋ[5]				
酥	so[1]				
俗	syˀ[8]				
宿	siu[5]				
粟	sy[7]				
酸	suŋ[1]				
蒜	suŋ[5]				
算	sueŋ[5]				
荽	sy[1]	芫荽子xyeŋ2 sy1 tsie3：香菜			
隨	sy[2]				
髓	sye[3]				
歲	xye[5]				
孫	suŋ[1]	姓；孫子suŋ1 tsie3			
筍	seŋ[3]				
索	sɔ[7]				
鎖	so[3]				
鎖	sɔ[3]				
塔	ha[7]				
蹋	ha[7]				
胎	hai[1]				
苔	tʰe[2]				
太	hue[7]	太熱hue7 ie3			
太	hue[5]	老太太lau3 hue5 hue5			
貪	haŋ[1]				
痰	laŋ[2]				
談	laŋ[2]				
炭	hueŋ[5]				
湯	hɔŋ[1]				
堂	lɔŋ[2]				
塘	lɔŋ[9]				
糖	hɔŋ[2]				
燙	hoŋ[5]	頭很燙heu2 xaiŋ3 hoŋ5：發燒			
燙	hɔŋ[5]				
逃	lau[2]				
桃	hau[2]	桃子			
討	hau[3]				
踢	he[7]				
提	loi[9]				
啼	hie[2]				
蹄	tai[2]				
體	hoi[3]				
剃	hie[5]	剃頭hie5 heu2			
替	haiŋ[1]				
嚏	tsʰi[6]				
天	hieŋ[1]				
甜	laŋ[9]				
填	taiŋ[2]				
挑	hio[1]				
條	tiu[2]	量詞			
條	tio[2]	量詞			
糶	hio[5]				
貼	ha[7]				
鐵	hie[7]				
聽	hiaŋ[1]				
廳	hiaŋ[1]				
停	loiŋ[2]				
通	hoŋ[1]				
同	loŋ[2]				
僮	loŋ[9]				
銅	loŋ[9]				
桶	hoŋ[3]	降僮kyeŋ1 loŋ9			
偷	heu[1]				
投	leu[9]				
骰	leu[9]	骰子leu9 tsie3			
頭	heu[2]				
禿	ho[7]				
徒	lo[2]				
圖	lo[2]				
土	ho[3]				
吐	ho[5]				
兔	pʰo[5]				
腿	hui[3]				
褪	huŋ[5]				
拖	hue[1]				
駝	lɔ[9]	駝背lɔ9 pui5			
挖	∅ua[1]				
瓦	wa[5]				
襪	moiˀ[8]				
襪	mueˀ[8]				
外	ŋye[6]				
彎	∅yeŋ[1]				
完	∅yeŋ[2]				
玩	∅ueŋ[6]				
晚	∅yeŋ[3]				
碗	∅ueŋ[3]				
䘼	∅yeŋ[3]	手䘼siu3 yeŋ3：袖			
萬	waiŋ[6]				
王	∅ioŋ[2]	姓			
網	moŋ[5]	網住了moŋ5 tiu6 lo0：被網網			
危	ŋy[2]				
圍	∅y[9]				
爲	∅y[5]				
尾	mui[3]				
緯	xy[6]	緯線xy6 syeŋ5			
味	woi[6]				
胃	∅y[6]				
慰	∅y[7]				
文	wuŋ[2]				
蚊	moŋ[3]	蚊蟲moŋ3 hoŋ2			
紋	wuŋ[2]				
穩	∅uŋ[3]				
問	muŋ[6]				
翁	∅oŋ[1]	老翁seu5 oŋ1：丈夫			
蕹	∅oŋ[5]	蕹菜oŋ5 tʰe5：空心菜			
我	ŋue[9]				
烏	∅o[1]	黑色；烏天o1 hieŋ1：陰天			
吳	ŋo[2]	姓			
無	mau[9]				
五	ŋo[5]				
午	ŋo[3]ŋo[5]				
勿	mui[2]	別			
物	wuiˀ[8]				
霧	wo[6]				
西	sai[1]				
息	soi[7]				
惜	tsʰio[7]				
溪	kʰai[1]				
豨	kʰy[3]	豬			
嬉	xi[1]	玩			
錫	se[7]				
席	sioˀ[8]				
習	soiˀ[8]				
洗	sai[3]	洗囝sai3 kyeŋ3：生孩子；洗米sai3 moi5			
喜	xi[3]				
細	sai[5]				
戲	xie[5]	tʰo7 xie5：看戲			
戲	xi[5]	唱戲tsʰioŋ5 xi5			
瞎	xai[7]				
蝦	xa[2]				
霞	xa[2]				
下	xa[6]	tsi8 xa6 tsie3：一下子			
下	ka[6]	放置；下棋ka6 ɣi9			
下	ha[5]	樓下leu2 ha5；落下來lɔ8 ha5 le2			
夏	∅a[6]				
先	sieŋ[1]				
鮮	sieŋ[1]	生鮮saŋ1 sieŋ1：新鮮			
舷	xaiŋ[2]	邊舷=pieŋ1 xaiŋ2：旁邊			
閒	xaiŋ[2]	話閒事ua6 xaiŋ2 toi6：說閒話			
險	xieŋ[3]				
䘆	xyeŋ[3]	□䘆nio6 xyeŋ3：蚯蚓			
莧	xaiŋ[6]	莧菜xaiŋ6 tʰe5			
現	xieŋ[6]	現在xieŋ6 lai5			
線	syeŋ[5]				
縣	ɣyeŋ[6]				
相	sioŋ[1]				
香	xioŋ[1]				
鄉	xioŋ[1]				
箱	sioŋ[1]				
享	sioŋ[3]				
想	sioŋ[3]				
響	xioŋ[3]				
向	xioŋ[5]				
巷	xoŋ[6]				
象	sioŋ[5]				
項	xɔŋ[6]				
像	sioŋ[5]	so1 sioŋ5：像			
小	sio[3]				
曉	xiau[3]	曉識xiau3 sie7：知道			
孝	xau[5]				
笑	sio[3]	話笑話ua6 sio3 xua6：講笑話			
笑	sio[5]				
斜	lia[9]				
鞋	∅ai[9]				
寫	sia[3]				
謝	lia[6]	姓；多謝			
瀉	sia[5]				
心	soiŋ[1]				
新	soiŋ[1]	新婦soiŋ1 mo5：妻子			
信	soiŋ[5]				
星	saiŋ[1]				
刑	xiŋ[2]				
行	ɣiaŋ[9]	行走			
形	xiŋ[2]				
杏	xaŋ[5]				
性	siaŋ[5]				
姓	siaŋ[5]				
凶	xeŋ[1]				
兄	xiaŋ[1]	兄弟xiaŋ1 tie6			
兇	xeŋ[1]				
胸	xeŋ[1]				
熊	xeŋ[2]				
休	xiu[1]				
修	siu[1]				
虛	xy[1]				
墟	xy[1]				
鬚	tsʰiu[1]	～～：鬍鬚			
徐	ly[9]	姓			
癬	sieŋ[3]				
削	sia[7]				
靴	xio[1]				
學	xaˀ[8]	放學poŋ5 xa8			
學	∅ɔˀ[8]				
雪	sye[7]				
血	xue[7]				
熏	kʰeŋ[5]				
鴉	∅a[1]				
鴨	∅a[7]				
壓	∅a[7]				
牙	ŋa[2]				
啞	∅a[3]				
煙	∅ieŋ[1]				
芫	xyeŋ[2]	芫荽子xyeŋ2 sy1 tsie3：香菜			
閻	ɣiŋ[2]				
顏	ŋaiŋ[2]				
嚴	ŋieŋ[2]				
簷	saŋ[5]	厝簷tsʰio5 saŋ5：屋簷			
鹽	∅ieŋ[2]				
硯	ŋaiŋ[6]	ŋaiŋ6 tiaŋ6：硯			
雁	ŋaiŋ[6]				
醶	kaiŋ[3]	番鬼子醶xueŋ1 ky3 tsie3 kaiŋ3；番鬼子醶xueŋ1 ky3 tsie3 kaiŋ3：肥皂			
秧	∅ioŋ[1]				
羊	∅ioŋ[2]				
洋	∅ioŋ[2]				
陽	∅ioŋ[2]				
癢	∅ioŋ[5]				
樣	∅ioŋ[6]				
腰	∅io[1]				
邀	∅io[1]	和；你邀渠noi9 io1 ɣy9：你和他			
搖	∅io[2]				
窯	∅io[2]				
咬	ɣau[5]				
藥	∅ioˀ[8]				
鷂	∅io[6]	放鷂poŋ5 io6：放風箏			
爺	∅ia[2]				
也	∅ia[3]				
野	∅ia[3]				
一	∅i[7]	序數詞			
一	tsiˀ[8]	訓讀			
衣	∅i[1]	衣裳i1 tsioŋ2：衣服；胎衣hai1 i1：胎盤			
醫	∅i[1]				
姨	ɣi[9]				
疑	ŋi[2]				
以	∅i[3]				
椅	∅ie[3]				
蟻	ŋye[5]	蟻子ŋye5 tsie3：螞蟻			
易	∅i[6]				
陭	ɣye[5]	陭子ɣye5 tsie3：臺階			
意	∅i[5]				
墿	tio[6]				
墿	lio[6]	路			
因	∅iŋ[1]				
音	∅iŋ[1]				
銀	ŋeŋ[2]				
飲	∅aiŋ[3]	米湯			
蠅	sioŋ[2]	蠅子sioŋ2 tsie3：蒼蠅			
贏	∅iaŋ[2]				
影	∅ioŋ[3]				
硬	ŋaiŋ[6]				
應	∅iŋ[1]				
應	∅iŋ[5]				
傭	∅eŋ[6]				
用	∅eŋ[6]				
憂	∅iu[1]				
油	∅iu[2]				
游	ɣiu[9]				
友	∅iu[3]				
有	ɣiu[3]				
有	∅iu[3]				
又	ɣiu[6]				
右	∅iu[6]				
魚	ŋy[2]				
雨	xy[5]				
玉	ŋyˀ[8]				
芋	∅y[6]				
元	ŋyeŋ[2]				
圓	∅yeŋ[2]				
緣	∅yeŋ[2]				
院	∅yeŋ[6]				
願	wieŋ[6]	隨願sy2 wieŋ6			
願	ŋyeŋ[2]	許願xy3 ŋyeŋ2			
約	∅io[7]				
月	ŋyeˀ[8]				
越	∅yeˀ[8]				
樂	ŋaˀ[8]				
雲	∅eŋ[9]				
熨	∅y[7]				
災	tsue[1]				
栽	tse[1]				
再	tsue[5]	請再來tsʰiaŋ3 tsue5 le2			
再	tʰai[3]	明朝再來maŋ2 tio1 tʰai3 le3			
在	lai[5]	現在xieŋ6 lai5			
簪	laŋ[9]				
暫	laŋ[5]				
讚	tsaiŋ[5]				
糟	tsau[1]				
糟	tseu[1]				
鑿	tʰoˀ[8]	動詞；鑿子tʰo8 tsie3			
早	lau[3]				
蚤	tseu[3]				
竈	tseu[5]				
賊	tʰeˀ[8]				
增	tsaiŋ[1]				
扎	tsa[7]				
摘	tia[7]				
債	tsai[5]				
章	tsioŋ[1]				
張	tioŋ[1]				
樟	tsioŋ[1]				
掌	tsioŋ[3]				
丈	tio[2]	丈夫tio2 mo5：男人			
丈	tioŋ[5]	丈人tioŋ5 noiŋ2：妻子的父親			
仗	tioŋ[5]	𢫦仗ma8 tioŋ5：打仗			
仗	∅ioŋ[5]	炮仗pʰau5 ioŋ5			
杖	hioŋ[5]	拐杖kue3 hioŋ5			
帳	tioŋ[5]				
賬	tioŋ[5]				
招	tsio[1]				
爪	tsau[3]				
照	tsio[5]	照鏡tsio5 kiaŋ5			
照	tsiu[5]	照顧tsiu5 ko5			
趙	lio[6]	姓			
遮	tsia[1]				
折	tsie[7]				
真	tsiŋ[1]				
針	tsiŋ[1]				
榛	tsaiŋ[1]	榛子tsaiŋ1 tsie3			
枕	tsiŋ[3]				
㬹	tiaŋ[1]	肘部，腳跟			
蒸	tsiŋ[1]				
整	tsiŋ[3]				
正	tsiaŋ[1]	正月tsiaŋ1 ŋye8			
正	tsiaŋ[5]	剛，渠正到ɣy9 tsiaŋ5 tau5：他剛到			
鄭	tiaŋ[6]	姓			
汁	tsi[7]				
枝	ki[1]	樹的量詞，樹枝			
肢	ki[7]	𢫦赤肢ma8 tsʰia7 ki7：打赤膊			
肢	tsie[7]	胳肢下ko7 tsie7 ha5：腋窩			
胝	te[1]				
隻	tsia[7]	量詞			
織	tsi[7]				
直	teˀ[8]				
侄	loiˀ[8]				
值	loiˀ[8]	loi8 te7 xaiŋ3 lai6 tsieŋ2：值很多錢			
執	tsi[7]				
只	tsi[3]				
指	tsie[3]	手指頭siu3 tsie3 heu2			
指	tsi[3]	食指si8 tsi3			
指	∅i[3]	手指子siu3 i3 tsie3：手指			
紙	tsye[3]				
治	hoi[2]	宰殺，治豨hoi2 kʰy3：殺豬			
痔	loi[6]				
痣	tsi[5]				
中	tɔŋ[1]	中心tɔŋ1 soiŋ1			
中	teŋ[1]	中指teŋ1 tsi3			
鐘	tseŋ[1]	一點鐘tsi8 taŋ3 tseŋ1			
冢	teŋ[3]	墳墓			
種	tseŋ[3]	菜種tʰe5 tseŋ3			
重	leŋ[9]	重複			
重	toŋ[5]				
州	tsiu[1]				
周	tsiu[1]	姓			
粥	tsy[7]				
帚	tsiu[3]				
咒	tsiu[5]				
晝	to[5]	中晝tɔŋ1 to5：中午			
皺	tseu[5]	皺紋tseu5 wuŋ2			
珠	tsiu[1]				
竹	ty[7]				
逐	hyˀ[8]	逐出去hy8 tsʰy7 kʰɔ5：追出去			
燭	tsy[7]				
主	tsy[3]				
煮	tsy[3]				
助	lo[6]				
住	tiu[6]				
柱	hiu[5]				
著	tioˀ[8]				
箸	ty[6]	筷子			
抓	tsua[1]				
磚	tsyeŋ[1]				
轉	lyeŋ[3]	倒轉tau5 lyeŋ3：返回			
追	ty[1]				
墜	ty[6]				
預	∅y[6]				
桌	tɔ[7]				
鐲	sɔˀ[8]				
子	tso[3]	無面子mau9 mieŋ6 tso3			
子	tsie[3]	名詞詞綴，mo8 ka7 tsie3：壁虎			
姊	tsoi[3]	姊子tsoi3 tsie3：姐姐			
紫	tso[3]				
自	tsoi[6]				
字	loi[6]				
漬	tsie[6]	浸，漬水tsie6 sy3：浸水			
棕	tsoŋ[1]	棕衣tsoŋ1 i1			
粽	tsoŋ[5]	粽子tsoŋ5 tsie3			
走	tseu[3]	跑			
鑽	tsuŋ[5]	動詞；鑽子tsuŋ5 tsie3			
罪	lui[6]				
醉	ly[9]				
昨	laŋ[9]				
左	tsɔ[3]				
作	tsɔ[7]				
坐	tsueˀ[8]				
做	tsa[5]				
𣍐	mai[5]	不會，否定詞，mai5 tsiŋ3 lai9：不整齊			
