漢字	假名	聲母	韻母	聲調
感	カン	見	鹹開一感	上
幹	カン	見	山開一寒	平
剛	カン	見	宕開一唐	平
鋼	カン	見	宕開一唐	平
激	キ	見	梗開四錫	入
吉	キ	見	臻開三質	入
急	キ	見	深開三緝	入
劫	キ	見	鹹開三業	入
結	キ	見	山開四屑	入
潔	キ	見	山開四屑	入
機	キイ	見	止開三微	平
雞	キイ	見	蟹開四齊	平
計	キイ	見	蟹開四霽	去
既	キイ	見	止開三未	去
記	キイ	見	止開三志	去
寄	キイ	見	止開三寘	去
繼	キイ	見	蟹開四霽	去
鳩	キウ	見	流開三尤	平
九	キウ	見	流開三有	上
救	キウ/ギウ/クウ	見	流開三宥	去
久	キウ/クウ	見	流開三有	上
己	キヽ/キイ	見	止開三止	上
夾	キヤ	見	鹹開二洽	入
甲	キヤ	見	鹹開二狎	入
腳	キヤ	見	宕開三藥	入
角	キヤ/キヨ	見	江開二覺	入
交	キヤ◦ウ	見	效開二肴	平
膠	キヤ◦ウ	見	效開二肴	平
澆	キヤ◦ウ	見	效開四蕭	平
嬌	キヤ◦ウ	見	效開三宵	平
狡	キヤ◦ウ	見	效開二巧	上
絞	キヤ◦ウ	見	效開二巧	上
鉸	キヤ◦ウ	見	效開二巧	上
攪	キヤ◦ウ	見	效開二巧	上
較	キヤ◦ウ	見	效開二效	去
加	キヤア	見	假開二麻	平
佳	キヤア	見	蟹開二佳	平
家	キヤア	見	假開二麻	平
架	キヤア	見	假開二祃	去
嫁	キヤア	見	假開二祃	去
價	キヤア	見	假開二祃	去
駕	キヤア	見	假開二祃	去
皆	キヤイ	見	蟹開二皆	平
街	キヤイ	見	蟹開二佳	平
介	キヤイ	見	蟹開二怪	去
戒	キヤイ	見	蟹開二怪	去
芥	キヤイ	見	蟹開二怪	去
界	キヤイ	見	蟹開二怪	去
江	キヤン	見	江開二江	平
薑	キヤン	見	宕開三陽	平
講	キヤン	見	江開二講	上
拘	キユイ	見	遇合三虞	平
居	キユイ	見	遇合三魚	平
舉	キユイ	見	遇合三語	上
據	キユイ	見	遇合三禦	去
俱	ギユイ	見	遇合三虞	平
均	キユン	見	臻合三諄	平
君	キユン	見	臻合三文	平
鈞	キユン	見	臻合三諄	平
眷	キユン/キヱン	見	山合三線	去
軍	キユン/クン	見	臻合三文	平
菊	キヨ	見	通合三屋	入
橘	キヱ	見	臻合三術	入
決	キヱ/キユ	見	山合四屑	入
卷	キヱン	見	山合三線	去
絹	キヱン/キユン	見	山合三線	去
巾	キン	見	臻開三真	平
斤	キン	見	臻開三殷	平
今	キン	見	深開三侵	平
金	キン	見	深開三侵	平
筋	キン	見	臻開三殷	平
襟	キン	見	深開三侵	平
緊	キン	見	臻開三軫	上
錦	キン	見	深開三寢	上
謹	キン	見	臻開三隱	上
京	キン	見	梗開三庚	平
荊	キン	見	梗開三庚	平
經	キン	見	梗開四青	平
驚	キン	見	梗開三庚	平
景	キン	見	梗開三梗	上
徑	キン	見	梗開四徑	去
竟	キン	見	梗開三映	去
敬	キン	見	梗開三映	去
鏡	キン	見	梗開三映	去
規	クイ	見	止合三支	平
龜	クイ	見	止合三脂	平
鬼	クイ	見	止合三尾	上
貴	クイ	見	止合三未	去
愧	グイ	見	止合三至	去
孤	クウ	見	遇合一模	平
姑	クウ	見	遇合一模	平
箍	クウ	見	遇合一模	平
古	クウ	見	遇合一姥	上
鼓	クウ	見	遇合一姥	上
固	クウ	見	遇合一暮	去
故	クウ	見	遇合一暮	去
顧	クウ	見	遇合一暮	去
瓜	クハア	見	假合二麻	平
寡	クハア	見	假合二馬	上
掛	クハア	見	蟹合二卦	去
乖	クハイ	見	蟹合二皆	平
怪	クハイ	見	蟹合二怪	去
檜	クハイ	見	蟹合一泰	去
官	クハン	見	山合一桓	平
冠	クハン	見	山合一桓	平
關	クハン	見	山合二刪	平
管	クハン	見	山合一緩	上
慣	クハン	見	山合二諫	去
灌	クハン	見	山合一換	去
光	クハン	見	宕合一唐	平
廣	クハン	見	宕合一蕩	上
國	クヲ	見	曾合一德	入
昆	クン	見	臻合一魂	平
隔	ケ	見	梗開二麥	入
格	ゲ	見	梗開二陌	入
勾	ケ◦ウ	見	流開一侯	平
苟	ケ◦ウ	見	流開一厚	上
狗	ケ◦ウ/キコイ	見	流開一厚	上
庚	ケン	見	梗開二庚	平
耕	ケン	見	梗開二耕	平
耿	ケン	見	梗開二耿	上
奸	ケン	見	山開二刪	平
兼	ケン	見	鹹開四添	平
堅	ケン	見	山開四先	平
艱	ケン	見	山開二山	平
揀	ケン	見	山開二產	上
見	ケン	見	山開四霰	去
建	ケン	見	山開三願	去
劍	ケン	見	鹹開三釅	去
諫	ケン	見	山開二諫	去
根	ケン/ゲン	見	臻開一痕	平
閣	コ	見	宕開一鐸	入
各	コ	見	宕開一鐸	入
哥	コウ	見	果開一歌	平
歌	コウ	見	果開一歌	平
鍋	コウ	見	果合一戈	平
果	コウ	見	果合一果	上
過	コウ	見	果合一戈	平
工	コン	見	通合一東	平
弓	コン	見	通合三東	平
公	コン	見	通合一東	平
功	コン	見	通合一東	平
恭	コン	見	通合三鐘	平
躬	コン	見	通合三東	平
減	メ	見	鹹開二	上
臉	レン	見	鹹開三琰	上
観	イユイ	見	山合一桓	平
鶤	ウヲン	見	臻合一魂	平
戛	カ	見	山開二黠	入
篙	カ◦ウ	見	效開一豪	平
槩	カイ	見	蟹開一代	去
竿	カン	見	山開一寒	平
趕	カン	見	山開一旱	上
橄	カン	見	鹹開一敢	上
干	カン	見	山開一寒	平
釭	カン	見	江開二江	平
豇	カン	見	江開二江	平
棘	キ	見	曾開三職	入
孑	キ	見	山開四屑	入
蛣	キ	見	臻開三質	入
桔	キ	見	山開四屑	入
飢	キイ	見	止開三微	平
箕	キイ	見	止開三之	平
饑	キイ	見	止開三微/止開三脂	平
几	キイ	見	止開三旨	上
幾	キイ	見	止開三尾/止開三微/止開三旨	上/平
紀	キイ	見	止開三止	上
韮	キウ	見	流開三有	上
莢	キヤ	見	鹹開二洽	入
頰	キヤ	見	鹹開二洽	入
覺	キヤ/キヤ◦ウ	見	效開二效/江開二覺	入/去
蛟	キヤ◦ウ	見	效開二肴	平
鮫	キヤ◦ウ	見	效開二肴	平
佼	キヤ◦ウ	見	效開二肴	平
僥	キヤ◦ウ	見	效開四筱	上
呌	キヤ◦ウ	見	效開四嘯	去
教	キヤ◦ウ	見	效開二效/效開二肴	去/平
鵁	キヤ◦ウ	見	效開二肴	平
假	キヤア	見	假開二祃/假開二馬	上/去
韁	キヤン	見	宕開三陽	平
蜣	キヤン	見	宕開三陽	平
襁	キヤン	見	宕開三養	上
矩	キユイ	見	遇合三麌	上
椇	キユイ	見	遇合三虞	平
蒟	キユイ	見	遇合三虞	平
鋸	キユイ	見	遇合三禦	去
掬	キヨ	見	通合三屋	入
鱖	キヱ	見	山合三月	入
獗	キヱ	見	山合三月	入
鵑	キヱン	見	山開四先	平
堇	キン	見	臻開三真	平
槿	キン	見	臻開三隱	上
禁	キン	見	深開三侵/深開三沁	去/平
釿	キン	見	臻開三隱	上
皈	クイ	見	止合三微	平
估	クウ	見	遇合一姥	上
菰	クウ	見	遇合一模	平
蛄	クウ	見	遇合一模	平
辜	クウ	見	遇合一模	平
鴣	クウ	見	遇合一模	平
罟	クウ	見	遇合一姥	上
僱	クウ	見	遇合一暮	去
賈	クウ	見	假開二馬	上
聒	クハ	見	山合一末	入
鑵	クハン	見	山合一換	去
鸛	クハン	見	山合一換	去
骨	クヲ/クウ	見	臻合一沒	入
棍	クン	見	臻合一魂	平
抅	ケ◦ウ	見	流開一侯	平
鈎	ケ◦ウ	見	流開一侯	平
枸	ケ◦ウ	見	流開一侯	平
梗	ケン	見	梗開二梗	上
間	ケン	見	山開二山/山開二襇	去/平
蹇	ケン	見	山開三狝	上
鑑	ケン	見	鹹開二鑒	去
粳	ケン	見	梗開二庚	平
更	ケン/ゲン	見	梗開二庚/梗開二映	去/平
穀	コ	見	通合一屋	入
個	コウ	見	果開一個	去
攻	コン	見	通合一東	平
供	コン	見	通合三用/通合三鐘	去/平
蚣	コン	見	通合一東	平
蛤	タイ	見	鹹開一合	入
這	チヱヽ	見	假開二麻	去
蛄	チヱン	見	遇合一模	平
繋	ヒイ	見	蟹開四齊	去
梟	ヒヤ◦ウ	見	效開四蕭	平
蛤	ホ	見	鹹開一合	入
鵙	ポイ	見	梗合四錫	入
賈	マイ	見	假開二馬	上
擱	ラン	見	宕開一鐸	入
蚤	サ゚◦ウ	精	效開一皓	上
遭	サ゚◦ウ/サ◦ウ	精	效開一豪	平
早	サ゚◦ウ/サ◦ウ/サ゚	精	效開一皓	上
災	サ゚イ	精	蟹開一咍	平
再	サ゚イ	精	蟹開一代	去
簪	ツアン/ツハン	精	鹹開一覃	平
嘴	ツイ	精	止合三紙	上
最	ツイ	精	蟹合一泰	去
醉	ツイ	精	止合三至	去
進	ツイン	精	臻開三震	去
精	ツイン	精	梗開三清	平
井	ツイン	精	梗開三靜	上
子	ツウ	精	止開三止	上
紫	ツウ	精	止開三紙	上
椒	ツヤ◦ウ	精	效開三宵	平
焦	ツヤ◦ウ	精	效開三宵	平
漿	ツヤン	精	宕開三陽	平
獎	ツヤン	精	宕開三養	上
醬	ツヤン	精	宕開三漾	去
際	ツユイ	精	蟹開三祭	去
濟	ツユイ	精	蟹開四霽	去
姐	ツユイ	精	假開三馬	上
姊	ツユイ	精	止開三旨	上
酒	ツユウ	精	流開三有	上
積	ツヱ	精	梗開三昔	入
即	ツヱ	精	曾開三職	入
脊	ツヱ	精	梗開三昔	入
跡	ツヱ	精	梗開三昔	入
績	ツヱ	精	梗開四錫	入
鯽	ツヱ	精	曾開三職	入
接	ツヱ	精	鹹開三葉	入
節	ツヱ	精	山開四屑	入
則	ツヱ	精	曾開一德	入
走	ツヱ◦ウ	精	流開一厚	上
借	ツヱヽ	精	假開三祃	去
尖	ツヱン	精	鹹開三監	平
煎	ツヱン	精	山開三仙	平
剪	ツヱン	精	山開三狝	上
箭	ツヱン	精	山開三線	去
增	ツヱン	精	曾開一登	平
憎	ツヱン	精	曾開一登	平
足	ツヲ/ツユイ/ツヱ	精	通合三燭	入
租	ツヲヽ	精	遇合一模	平
祖	ツヲヽ	精	遇合一姥	上
左	ツヲヽ	精	果開一哿	上
宗	ツヲン	精	通合一冬	平
棕	ツヲン	精	通合一東	平
總	ツヲン	精	通合一董	上
尊	ツヲン	精	臻合一魂	平
噪	サ◦ウ	精	效開一號	去
燥	サ◦ウ	精	效開一皓	上
栆	サ゚◦ウ	精	效開一皓	上
藻	サ゚◦ウ	精	效開一皓	上
竈	サ◦ウ/サ゚◦ウ	精	效開一號	去
哉	サ゚イ/サイ	精	蟹開一咍	平
讃	サ゚ン	精	山開一翰	去
匆	ジヨン	精	通合一東	平
鶺	スヱ	精	梗開三昔	入
唣	ソウ	精	效開一豪	上
鑚	ツアン	精	山合一桓	平
藎	ツイン	精	臻開三軫	上
菁	ツイン	精	梗開四青	平
旌	ツイン	精	梗開三清	平
鶄	ツイン	精	梗開四青	平
鯖	ツイン	精	梗開三清	平
仔	ツウ	精	止開三之	上
雀	ツヤ	精	宕開三藥	入
蕉	ツヤ◦ウ	精	效開三宵	平
鷦	ツヤ◦ウ	精	效開三宵	平
將	ツヤン	精	宕開三漾/宕開三陽	去/平
赍	ツユイ	精	蟹開四齊	平
鰶	ツユイ	精	蟹開四齊	去
揪	ヅユウ	精	流開三尤	平
鷲	ヅユウ	精	流開三尤	去
稷	ツヱ	精	曾開三職	入
嗟	ツヱヽ	精	假開三麻	平
荐	ツヱン	精	山開四霰	去
怎	ツヱン	精	深開三侵	上
鏃	ヅヲ	精	通合一屋	入
作	ツヲ/ツヲヽ	精	宕開一鐸	入
做	ツヲヽ	精	遇合一暮	去
鯼	ツヲン	精	通合一冬	平
糉	ツヲン	精	通合一送	去
縱	ツヲン	精	通合三用/通合三鐘	去/平
樽	ツヲン	精	臻合一魂	平
鱒	ツヲン	精	臻合一魂	上
蠟	ラ	來	鹹開一盍	入
撈	ラ◦ウ	來	效開一豪	平
牢	ラ◦ウ	來	效開一豪	平
勞	ラ◦ウ	來	效開一豪	平
老	ラ◦ウ	來	效開一皓	上
來	ライ	來	蟹開一咍	平
賴	ライ	來	蟹開一泰	去
藍	ラン	來	鹹開一談	平
蘭	ラン	來	山開一寒	平
欄	ラン	來	山開一寒	平
懶	ラン	來	山開一旱	上
爛	ラン	來	山開一翰	去
郎	ラン	來	宕開一唐	平
狼	ラン	來	宕開一唐	平
浪	ラン	來	宕開一宕	去
力	リ	來	曾開三職	入
立	リ	來	深開三緝	入
栗	リ	來	臻開三質	入
笠	リ	來	深開三緝	入
梨	リイ	來	止開三脂	平
籬	リイ	來	止開三支	平
李	リイ	來	止開三止	上
理	リイ	來	止開三止	上
禮	リイ	來	蟹開四薺	上
鯉	リイ	來	止開三止	上
利	リイ	來	止開三至	去
例	リイ	來	蟹開三祭	去
厲	リイ	來	蟹開三祭	去
留	リウ	來	流開三尤	平
流	リウ	來	流開三尤	平
柳	リウ	來	流開三有	上
略	リヤ	來	宕開三藥	入
聊	リヤ◦ウ	來	效開四蕭	平
寥	リヤ◦ウ	來	效開四蕭	平
料	リヤ◦ウ	來	效開四嘯	去
良	リヤン	來	宕開三陽	平
涼	リヤン	來	宕開三陽	平
糧	リヤン	來	宕開三陽	平
亮	リヤン	來	宕開三漾	去
屢	リユイ	來	遇合三遇	去
林	リン	來	深開三侵	平
鄰	リン	來	臻開三真	平
臨	リン	來	深開三侵	平
鱗	リン	來	臻開三真	平
伶	リン	來	梗開四青	平
陵	リン	來	曾開三蒸	平
菱	リン	來	曾開三蒸	平
零	リン	來	梗開四青	平
鈴	リン	來	梗開四青	平
靈	リン	來	梗開四青	平
領	リン	來	梗開三靜	上
令	リン	來	梗開三勁	去
雷	ルイ	來	蟹合一灰	平
壘	ルイ	來	止合三旨	上
淚	ルイ	來	止合三至	去
類	ルイ	來	止合三至	去
勒	レ	來	曾開一德	入
樓	レ◦ウ	來	流開一侯	平
簍	レ◦ウ	來	流開一厚	上
漏	レ◦ウ	來	流開一候	去
冷	レン	來	梗開二梗	上
連	レン	來	山開三仙	平
蓮	レン	來	山開四先	平
憐	レン	來	山開四先	平
鐮	レン	來	鹹開三監	平
練	レン	來	山開四霰	去
陸	ロ	來	通合三屋	入
鹿	ロ	來	通合一屋	入
祿	ロ	來	通合一屋	入
落	ロ	來	宕開一鐸	入
絡	ロ	來	宕開一鐸	入
樂	ロ	來	宕開一鐸	入
六	ロ/リウ	來	通合三屋	入
爐	ロウ	來	遇合一模	平
鹵	ロウ	來	遇合一姥	上
虜	ロウ	來	遇合一姥	上
賂	ロウ	來	遇合一暮	去
路	ロウ	來	遇合一暮	去
露	ロウ	來	遇合一暮	去
羅	ロウ	來	果開一歌	平
鑼	ロウ	來	果開一歌	平
驢	ロウ	來	遇合三魚	平
鸞	ロハン	來	山合一桓	平
卵	ロハン	來	山合一緩	上
亂	ロハン/ラハン	來	山合一換	去
輪	ロヲン	來	臻合三諄	平
龍	ロン	來	通合三鐘	平
籠	ロン	來	通合一東	平
聾	ロン	來	通合一東	平
攏	ロン	來	通合一董	上
弄	ロン	來	通合一送	去
繂	スヱ	來	臻合三術	入
喇	ラ	來	山開一曷	入
澇	ラ◦ウ	來	效開一號	去
欖	ラン	來	鹹開一敢	上
蜋	ラン	來	宕開一唐	平
鴗	リ	來	深開三緝	入
哩	リイ	來	止開三之	平
狸	リイ	來	止開三之	平
蜊	リイ	來	止開三脂	平
璃	リイ	來	止開三支	平
釐	リイ	來	止開三之	平
藜	リイ	來	蟹開四齊	平
離	リイ	來	止開三寘/止開三支	去/平
蠡	リイ	來	蟹開四齊	平
鸝	リイ	來	止開三支	平
里	リイ	來	止開三止	上
裡	リイ	來	止開三止	上
荔	リイ	來	止開三寘	去
俐	リイ	來	止開三至	去
麗	リイ	來	蟹開四霽	去
琉	リウ	來	流開三尤	平
榴	リウ	來	流開三尤	平
了	リヤ◦ウ	來	效開四筱	上
撩	リヤ◦ウ	來	效開四蕭	平
繚	リヤ◦ウ	來	效開四蕭	平
蓼	リヤ◦ウ	來	效開四筱	上
椋	リヤン	來	宕開三陽	平
粮	リヤン	來	宕開三陽	平
樑	リヤン	來	宕開三陽	平
兩	リヤン	來	宕開三養	上
量	リヤン	來	宕開三漾/宕開三陽	去/平
蠣	リユイ	來	蟹開三祭	去
縷	リユイ	來	遇合三麌	上
麟	リン	來	臻開三真	平
凜	リン	來	深開三寢	上
吝	リン	來	臻開三震	去
蛉	リン	來	梗開四青	平
綾	リン	來	曾開三蒸	平
鴒	リン	來	梗開四青	平
檑	ルイ	來	蟹合一灰	平
累	ルイ	來	止合三寘/止合三紙/蟹合一隊	上/去
歷	レ	來	梗開四錫	入
捩	レ	來	山開四屑	入
嘍	レ◦ウ	來	流開一侯	平
摟	レ◦ウ	來	流開一侯	平
簾	レン	來	鹹開三監	平
菉	ロ	來	通合三燭	入
碌	ロ	來	通合一屋	入
轆	ロ	來	通合一屋	入
蘆	ロウ	來	遇合一模	平
櫨	ロウ	來	遇合一模	平
鸕	ロウ	來	遇合一模	平
鱸	ロウ	來	遇合一模	平
橹	ロウ	來	遇合一姥	上
鷺	ロウ	來	遇合一暮	去
螺	ロウ	來	果合一戈	平
蘿	ロウ	來	果開一歌	平
囉	ロウ/ロヲヽ	來	果開一歌	平
鑾	ロハン	來	山合一桓	平
論	ロヲン/ロン	來	臻合一慁/臻合一魂	去/平
朧	ロン	來	通合一東	平
䪊	ロン	來	通合一東	平
率	スヱヽ	來/審生	臻合三術	入
苗	シヤ◦ウ	明	效開三宵	平
妙	シヤ◦ウ	明	效開三笑	去
毛	マ◦ウ	明	效開一豪	平
帽	マ◦ウ	明	效開一號	去
貌	マ◦ウ	明	效開二效	去
麻	マアヽ	明	假開二麻	平
馬	マアヽ	明	假開二馬	上
罵	マアヽ	明	假開二祃	去
滿	マアン/マン	明	山合一緩	上
埋	マイ	明	蟹開二皆	平
買	マイ	明	蟹開二蟹	上
漫	マン	明	山合一換	去
慢	マン	明	山開二諫	去
忙	マン	明	宕開一唐	平
密	ミ	明	臻開三質	入
蜜	ミ	明	臻開三質	入
眉	ミイ	明	止開三脂	平
迷	ミイ	明	蟹開四齊	平
米	ミイ	明	蟹開四薺	上
民	ミン	明	臻開三真	平
皿	ミン	明	梗開三梗	上
抿	ミン	明	臻開三軫	上
憫	ミン	明	臻開三軫	上
名	ミン	明	梗開三清	平
明	ミン	明	梗開三庚	平
鳴	ミン	明	梗開三庚	平
命	ミン	明	梗開三映	去
梅	ムイ	明	蟹合一灰	平
媒	ムイ	明	蟹合一灰	平
每	ムイ	明	蟹合一賄	上
美	ムイ	明	止開三旨	上
妹	ムイ	明	蟹合一隊	去
寐	ムイ	明	止開三至	去
覓	メ	明	梗開四錫	入
某	メ◦ウ	明	流開一厚	上
牡	メ◦ウ	明	流開一厚	上
謀	メ◦ウ/メウ	明	流開三尤	平
眠	メン	明	山開四先	平
綿	メン	明	山開三仙	平
免	メン	明	山開三狝	上
勉	メン	明	山開三狝	上
面	メン/メ゚	明	山開三線	去
莫	モ	明	宕開一鐸	入
寞	モ	明	宕開一鐸	入
木	モ	明	通合一屋	入
目	モ	明	通合三屋	入
默	モ゚	明	曾開一德	入
麥	モ/モ	明	梗開二麥	入
墨	モ゚/モ	明	曾開一德	入
母	モウ	明	流開一厚	上
暮	モウ	明	遇合一暮	去
摸	モウ/モヲヽ	明	宕開一鐸	入
蒙	モン	明	通合一東	平
猛	モン	明	梗開二梗	上
悶	モ゚ン	明	臻合一慁	去
夢	モン/モ゚ン	明	通合三送	去
門	モ゚ン/モン	明	臻合一魂	平
冇	ハ◦ウ	明	效開一豪	上
尨	バン	明	江開二江	平
蔑	ピ	明	山開四屑	入
蠛	ピ	明	山開四屑	入
猫	マ◦ウ	明	效開二肴	平
錨	マ◦ウ	明	效開二肴	平
蟆	マアヽ	明	假開二麻	平
瑪	マアヽ	明	假開二麻	上
螞	マアヽ	明	假開二麻	上
瞞	マアン	明	山合一桓	平
饅	マン	明	山合一桓	平
鰻	マン	明	山合一桓	平
鏝	マン	明	山合一桓	去
䖟	マン	明	宕開二庚	平
麋	ミイ	明	止開三脂	平
刡	ミン	明	臻開三真	上
螟	ミン	明	梗開四青	平
酩	ミン	明	梗開四青	上
袂	ムイ	明	蟹合三祭	去
冕	メン	明	山開三仙	上
腼	メン	明	山開四先	上
麫	メン	明	山開四霰	去
脉	モ	明	梗開二麥	入
貘	モ	明	宕開一鐸	入
沐	モ	明	通合一屋	入
睦	モ	明	通合三屋	入
陌	モ゚	明	梗開二陌	入
沒	モ゚/モ	明	臻合一沒	入
模	モウ	明	遇合一模	平
磨	モウ	明	果合一戈/果合一過	去/平
麼	モウ/マアヽ/モ゚/モヽ/モウヽ/モヲヽ	明	果合一歌	平
朦	モン	明	通合一東	平
蜢	モン	明	梗開二耿	上
懵	モン	明	通合一董	上
蠓	モン	明	通合一董	上
們	モ゚ン	明	臻合一魂	平
鮸	ワン	明	山開三仙	上
嫩	ノヲン/ノン	泥	臻合一慁	去
呐	ナ	泥	鹹開一合	入
瑙	ナ◦ウ	泥	效開一皓	上
閙	ナ◦ウ	泥	效開二效	去
娜	ナアヽ	泥	果開一歌	平
艿	ナイ	泥	蟹開一咍	上
喃	ナン	泥	鹹開一覃	平
楠	ナン	泥	鹹開一覃	平
呢	ニイ	泥	止開三脂	平
鈕	ニウ	泥	流開三有	上
嚀	ニン	泥	梗開四青	平
侫	ニン	泥	梗開四徑	去
濘	ニン	泥	梗開四徑	去
懦	ノウ	泥	果合一戈	去
煖	ノハン	泥	山合一緩	上
撓	キヤ◦ウ	泥(娘)	效開二肴	平
納	ナ	泥(娘)	鹹開一合	入
鐃	ナ◦ウ	泥(娘)	效開二肴	平
惱	ナ◦ウ	泥(娘)	效開一皓	上
腦	ナ◦ウ	泥(娘)	效開一皓	上
鬧	ナ◦ウ	泥(娘)	效開二效	去
拿	ナアヽ	泥(娘)	假開二麻	平
那	ナアヽ	泥(娘)	果開一個	去
乃	ナイ	泥(娘)	蟹開一海	上
奈	ナイ	泥(娘)	蟹開一泰	去
耐	ナイ	泥(娘)	蟹開一代	去
男	ナン	泥(娘)	鹹開一覃	平
南	ナン	泥(娘)	鹹開一覃	平
泥	ニイ	泥(娘)	蟹開四齊	平
你	ニイ	泥(娘)	止開三止	上
扭	ニウ	泥(娘)	流開三有	上
捏	ニヤ	泥(娘)	山開四屑	入
娘	ニヤン	泥(娘)	宕開三陽	平
女	ニユイ	泥(娘)	遇合三語	上
濃	ニヨン	泥(娘)	通合三鐘	平
膿	ニヨン	泥(娘)	通合一冬	平
寧	ニン	泥(娘)	梗開四徑	去
內	ヌイ	泥(娘)	蟹合一隊	去
能	ネン	泥(娘)	曾開一登	平
年	ネン	泥(娘)	山開四先	平
念	ネン	泥(娘)	鹹開四掭	去
諾	ノ	泥(娘)	宕開一鐸	入
奴	ノウ	泥(娘)	遇合一模	平
努	ノウ	泥(娘)	遇合一姥	上
怒	ノウ	泥(娘)	遇合一暮	去
暖	ノハン	泥(娘)	山合一緩	上
農	ノン	泥(娘)	通合一冬	平
賃	ジン	泥(娘)	深開三沁	去
奶	ナイ	泥(娘)	蟹開二蟹	上
難	ナン	泥(娘)	山開一寒/山開一翰	去/平
鑷	ネ	泥(娘)	鹹開三葉	入
撚	ネン	泥(娘)	山開四銑	上
糯	ノウ	泥(娘)	果合一過	去
潑	パ/ハ	滂	山合一末	入
泡	パ◦ウ	滂	效開二肴	平
怕	パアヽ	滂	假開二祃	去
派	パイ	滂	蟹開二卦	去
劈	ピ	滂	梗開四錫	入
僻	ピ	滂	梗開三昔	入
批	ピイ	滂	蟹開四齊	平
披	ピイ	滂	止開三支	平
漂	ピヤ◦ウ	滂	效開三小	上
品	ピン	滂	深開三寢	上
普	プウ	滂	遇合一姥	上
魄	ペ	滂	梗開二陌	入
偏	ペン	滂	山開三仙	平
片	ペン	滂	山開四霰	去
拍	ポ	滂	梗開二陌	入
撲	ポ	滂	通合一屋	入
配	ポイ	滂	蟹合一隊	去
頗	ポウ	滂	果合一戈	平
破	ボウ/ホウ	滂	果合一過	去
抛	パ◦ウ	滂	效開二肴	平
炮	パ◦ウ	滂	效開二效	去
砲	パ◦ウ	滂	效開二效	去
葩	パアヽ	滂	假開二麻	平
𣡄	パン	滂	山開二刪	平
譬	ピイ	滂	止開三寘	去
撇	ピイ	滂	山開四屑	入
摽	ピヤ◦ウ	滂	效開三小	上
票	ピヤ◦ウ/ヒヤ◦ウ	滂	效開三笑	去
舖	プウ	滂	遇合一暮	去
珀	ペ	滂	梗開二陌	入
噴	ペヱン	滂	臻合一慁/臻合一魂	去/平
𠷨	ペン	滂	山開三仙	平
扑	ポ	滂	江開二覺	入
朴	ポ	滂	江開二覺	入
草	サ゚◦ウ/ツア◦ウ/サ◦ウ	清	效開一皓	上
采	サ゚イ	清	蟹開一海	上
菜	サ゚イ	清	蟹開一代	去
猜	サ゚イ/サイ	清	蟹開一咍	平
慘	サ゚ン	清	鹹開一感	上
蒼	サ゚ン	清	宕開一唐	平
參	スヱン/ツアン	清	鹹開一覃	平
七	チ	清	臻開三質	入
竄	ツアン	清	山合一換	去
催	ツイ	清	蟹合一灰	平
翠	ツイ	清	止合三至	去
青	ツイン	清	梗開四青	平
清	ツイン	清	梗開三清	平
請	ツイン	清	梗開三靜	上
親	ツイン	清	臻開三真	平
此	ツウ	清	止開三紙	上
次	ツウ	清	止開三至	去
刺	ツウ	清	止開三寘	去
雌	ヅウ	清	止開三支	平
搶	ツヤン	清	宕開三養	上
妻	ツユイ	清	蟹開四齊	平
取	ツユイ	清	遇合三麌	上
娶	ツユイ	清	遇合三麌	上
趣	ツユイ	清	遇合三遇	去
戚	ツヱ	清	梗開四錫	入
漆	ツヱ	清	臻開三質	入
妾	ツヱ	清	鹹開三葉	入
湊	ツヱ◦ウ	清	流開一候	去
且	ツヱヽ	清	假開三馬	上
千	ツヱン	清	山開四先	平
遷	ツヱン	清	山開三仙	平
淺	ツヱン	清	山開三狝	上
粗	ツヲヽ	清	遇合一模	平
聰	ツヲン	清	通合一東	平
村	ツヲン	清	臻合一魂	平
忖	ツヲン	清	臻合一混	上
寸	ツヲン	清	臻合一慁	去
綵	サ゚イ	清	蟹開一海	上
飡	サ゚ン	清	山開一寒	平
鸧	サ゚ン	清	宕開一唐	平
滄	サ゚ン	清	宕開一唐	平
艙	サ゚ン	清	宕開一唐	平
䤌	サ゚ン	清	宕開一唐	平
攛	ツアン	清	山合一桓	平
崔	ツイ	清	蟹合一灰	平
蛆	ツイ/ツユイ	清	遇合三魚	平
蜻	ツイン	清	梗開四青	平
鵲	ツヤ	清	宕開三藥	入
鎗	ツヤン	清	宕開三陽	平
悽	ツユイ	清	蟹開四齊	平
覷	ツユイ	清	遇合三虞	去
秋	ツユウ	清	流開三尤	平
萩	ツユウ	清	流開三尤	平
楸	ツユウ	清	流開三尤	平
鞦	ツユウ	清	流開三尤	平
鰍	ツユウ	清	流開三尤	平
鮂	ツユウ	清	流開三尤	平
焠	ツヱ	清	山合一末	入
切	ツヱ	清	山開四屑	入
茜	ツヱン	清	山開四霰	去
磋	ツヲヽ	清	果合一歌	平
厝	ツヲヽ	清	果合一暮	去
措	ツヲヽ	清	遇合一暮	去
錯	ツヲヽ	清	宕開一鐸/遇合一暮	入/去
葱	ツヲン	清	通合一東	平
及	ギ	群	深開三緝	入
極	ギ/キ	群	曾開三職	入
騎	キイ	群	止開三支	平
渠	キイ	群	遇合三魚	平
技	ギイ	群	止開三紙	上
忌	ギイ	群	止開三志	去
奇	ギイ	群	止開三支	平
其	ギイ/キイ	群	止開三之	平
