D0序	D0用字	注例	声类	清浊	韵类	摄	开合	等	韵	调类	舒入	平仄	记音	备注
357	孤		见	全清	遇合一模	遇	合	一	模	平	舒	平		
358	辜		见	全清	遇合一模	遇	合	一	模	平	舒	平		
359	菇		见	全清	遇合一模	遇	合	一	模	平	舒	平		
360	箍		见	全清	遇合一模	遇	合	一	模	平	舒	平		
361	古		见	全清	遇合一姥	遇	合	一	姥	上	舒	仄		
362	估		见	全清	遇合一姥	遇	合	一	姥	上	舒	仄		
363	盬		见	全清	遇合一姥	遇	合	一	姥	上	舒	仄		
364	賈		见	全清	遇合一姥	遇	合	一	姥	上	舒	仄		
365	牯		见	全清	遇合一姥	遇	合	一	姥	上	舒	仄		
366	股		见	全清	遇合一姥	遇	合	一	姥	上	舒	仄		
367	鼓		见	全清	遇合一姥	遇	合	一	姥	上	舒	仄		
368	蠱		见	全清	遇合一姥	遇	合	一	姥	上	舒	仄		
369	故		见	全清	遇合一暮	遇	合	一	暮	去	舒	仄		
370	固		见	全清	遇合一暮	遇	合	一	暮	去	舒	仄		
371	錮		见	全清	遇合一暮	遇	合	一	暮	去	舒	仄		
372	雇		见	全清	遇合一暮	遇	合	一	暮	去	舒	仄		
373	顧		见	全清	遇合一暮	遇	合	一	暮	去	舒	仄		
374	枯		溪	次清	遇合一姥	遇	合	一	姥	平	舒	平		
375	苦		溪	次清	遇合一姥	遇	合	一	姥	上	舒	仄		
376	庫		溪	次清	遇合一暮	遇	合	一	暮	去	舒	仄		
377	褲		溪	次清	遇合一暮	遇	合	一	暮	去	舒	仄		
378	吳		疑	次浊	遇合一模	遇	合	一	模	平	舒	平		
379	蜈		疑	次浊	遇合一模	遇	合	一	模	平	舒	平		
380	吾		疑	次浊	遇合一模	遇	合	一	模	平	舒	平		
381	梧		疑	次浊	遇合一模	遇	合	一	模	平	舒	平		
382	五		疑	次浊	遇合一姥	遇	合	一	姥	上	舒	仄		
383	伍		疑	次浊	遇合一姥	遇	合	一	姥	上	舒	仄		
384	午		疑	次浊	遇合一姥	遇	合	一	姥	上	舒	仄		
385	忤		疑	次浊	遇合一姥	遇	合	一	姥	上	舒	仄		
386	誤		疑	次浊	遇合一暮	遇	合	一	暮	去	舒	仄		
387	悟		疑	次浊	遇合一暮	遇	合	一	暮	去	舒	仄		
388	呼		晓	清	遇合一模	遇	合	一	模	平	舒	平		另读uβ⁵⁵/pʰuβ⁵⁵
