序號	詞目	詞性	詞目索引	音讀	方言點	釋義	例句	相似詞	相反詞	對應音檔名稱
619	山崗			san11 gong11		較低矮的山。	例：阿伯在山崗崠開一個牧場，供真多牛。(（伯父在山崗上經營一個牧場，養了很多牛。）)			hk0000007837-2-5-1
620	山藥		詞目分類索引/飲食 詞目分類索引/植物	san11 rhio55		一種薯蕷科薯蕷屬的多年生蔓性草本植物。葉片呈心臟形，沿著蔓莖互生或對生，葉脈為網狀。夏季生白色小花，呈穗狀。地下塊莖亦稱「山藥」，可食用，具有健脾、補肺、固腎、益精之功效。	例：山藥會咬人，剾皮遐下頭好愛戴手落。(山藥黏液會讓人發癢，削皮時最好要戴手套。)	淮山		
621	山壢		詞目分類索引/天文地理	san11 led24		狹而深的小山谷。	例：這裡个山壢風景真靚，大家攏真愛來這行尞。(這邊的小山谷風景很美，大家都很喜歡來這裡遊覽。)	山坑　山溝		
622	山路		詞目分類索引/交通通訊	san11 lu55		山中的道路。	例：這條山路彎彎斡斡，車無法度駛緊。(這條山路彎彎曲曲的，車子無法開快。)			
623	山脈		詞目分類索引/天文地理	san11 ma24		許多山巒相連，依一定的方向延伸而成的山系。	例：中央山脈係臺灣島上頭長个山脈。(中央山脈是臺灣島上最長的山脈。)			
624	山林		詞目分類索引/天文地理	特san11 na53		有林木生長的山地。	例：這片山林有豐富个生態資源，愛好好來保護。(這片山林有豐富的生態資源，要好好保護。)			
625	山難			san11 nan55		登山時發生的迷途、失足或凍斃等災難事件。	例：普通時若係天氣無好，就真會發生山難，莫講係颱風天。(平常日子如果天氣不好，就很容易發生山難，更別說是颱風天。)			
626	山窩			san11 bboo11		山凹、山谷。兩山間凹下的地方。	例：落到山窩有涼亭，𫣆會用在遐歇睏一下。(（下山到山凹處有涼亭，我們可以在那休息一下。）)			
627	山線			san11 sien31		鄰近、穿越山區的交通路線。	例：坐火車去豐原，愛坐山線正著。(搭火車去豐原，要搭山線才對。)		海線	
628	山楂		詞目分類索引/飲食 詞目分類索引/植物	san11 za11		一種薔薇科蘋果屬落葉喬木。高可達十八公尺。葉廣橢圓形或菱形，花白色，果呈圓形，皮色深紅光滑，可鮮食。能幫助消化、增加食欲、散瘀解毒、化痰醒腦。	例：血醹个人，用山楂燸茶啉，毋知有效無？(血脂肪高的人，用山楂煮水喝，不知道有沒有療效？)	糖梨		
629	山豬		詞目分類索引/動物 詞目分類索引/飲食	san11 zhi11		臺灣野豬。成體為黑色，上佈粗毛，頭大、嘴長而尖，上下兩顎獠牙露於口外，適於挖地覓食。屬雜食性，而以植物根莖為主食。分布於平地到海拔三千公尺的高山，屬夜行性動物，多於黃昏後到清晨之間活動。	例：山豬走來𠊎這逩菜地，滿哪位就得佢逩到洋洋。(山豬跑到我的菜園翻土覓食，到處都被挖得亂七八糟。)			
630	山茶花			san11 ca53 fa11		一種山茶科山茶屬的常綠小灌木。樹皮光滑，葉深綠油亮，呈橢圓狀而有鋸齒。花色、花型豐富，有重瓣、單瓣等類型，品種繁多，多於十一月至隔年二、三月間開花。	例：𠊎屋下頭前有種一排山茶花，逐年都開到鬧鬧。(我家前面種了一排山茶花，每年都開得很茂盛。)	茶花		
631	山歌子			san11 goo11 zu31		客家山歌的曲調之一。由老山歌演變而來的曲式，以La、Do、Mi三個基本音組成，節奏較老山歌固定，速度較為明快。與老山歌、平板三者合稱為客家山歌的「三大調」。	例：昨日个山歌比賽，大部分个人攏唱山歌子。(昨天的山歌比賽，大部分的人都唱山歌子。)			
632	山牛眼		詞目分類索引/植物	san11 ngiu53 ngien31		山龍眼。分布在中國華南地區及臺灣的低海拔闊葉林植物。果皮茶核色有如龍眼，幼枝和花序都有褐色絨毛。木材可做地板、家具用。果肉呈紫藍色，具毒性，人嚐之會使舌頭麻木無感覺，但為臺灣獼猴喜愛的食物之一。	例：山牛眼毋係正額个牛眼，有毒，毋好濫糝捋來食。(山龍眼不是真的龍眼，有毒性，不可以隨便採來吃。)			
633	山葡萄		詞目分類索引/植物	san11 pu53 too53		1.細本葡萄。葡萄科葡萄屬的藤本植物。果實狀似葡萄，成熟時呈紫黑色，味酸甜，可食。根莖水煮或果實泡酒可作藥用。　2.葡萄科山葡萄屬的藤本植物。果實狀似葡萄，但有毒、不可食用，誤食會造成嘔吐、腹痛、腹瀉等。根煎汁可洗滌眼疾及刀傷。	例：瓜棚下个山葡萄係阿媽種个，會用捋來浸酒做藥。(瓜棚下的山葡萄是奶奶種的，可以摘來泡酒作藥。) 例：𠊎屋脣遐頭山葡萄，係種來䀴靚个，毋會用食。(我家旁邊的那棵山葡萄，是種來觀賞的，不能吃。)			
634	山歌溜天			san11 goo11 liu11 teen11		形容人唱山歌時，聲音嘹亮且綿延不斷。	例：一到熱天，榕樹下不時攏聽會著山歌溜天。(每到夏天，榕樹下經常都可以聽到嘹亮的山歌聲。)			
635	工程		詞目分類索引/產業勞動	白gung11 chang53　文gung11 chin53		具有計畫和進程的工作。	例：這站路在做工程，車毋得過。(這個路段正在進行工程，車輛無法通行。)	工事		
636	工會			gung11 fui55		同業勞工為維護共同的權益，所聯合組織的團體。	例：真多行業攏有組織工會，來保障勞工个權利。(很多行業都有組成工會，來保障勞工的權利。)			
637	工業		詞目分類索引/產業勞動	gung11 ngiab43		不同種類製造事業的總稱。	例：國家發展工業，嘛愛顧好生活環境。(國家發展工業，也要照顧好生活環境。)			
638	工人	量		gung11 ngin53		1.憑勞力做工，以換取報酬的人。　2.一個人一天的工作量。作為量詞使用。	例：厥屋下起新屋，請真多工人來𢯭手。(他家蓋新房子，雇很多工人來幫忙。) 例：恁大坵个田，若係無蒔田機，愛幾多工人正蒔會得透？(這麼寬闊的田，如果沒有插秧機，要花多少人力才能種完？)	1.承勞　1.勞工　2.人工　2.人力		
639	工錢		詞目分類索引/產業勞動 詞目分類索引/財經法政	gung11 cien53		工資。因工作而所得的薪資、報酬。	例：你在遐間工廠上班，一日趁幾多工錢？(你在那間工廠上班，一天可以賺取多少工資？)	月給		
640	工地			gung11 ti55		進行建築開發等工程事務的地方。	例：遐裡个工地，砂石車出出入入，過路愛細義。(那邊的工地裡，砂石車進進出出，經過時要小心。)			
641	工作		詞目分類索引/產業勞動	gung11 zoo24		1.事務、事情。　2.職業。個人所擔任的職務或工作。　3.做事。進行、處理事務。	例：𠊎手底有真多工作等𠊎做，所以猶吂好下班。(我手上有很多工作等著我處理，所以還不能下班。) 例：你大漢想討做麼个工作，識想過無？(你長大後想做什麼工作，曾經想過嗎？) 例：工作个時務，愛專心，毋好著面做又著面和人講事。(工作的時候，要專心，不要邊做邊和別人聊天。)	1.頭路　1.事　1.事頭　2.頭路　2.事　2.職業　3.做事		
642	干涉		詞目分類索引/人際互動	gon11 shiab43		1.干預。介入人、事之中，影響其原有的狀態。　2.關聯。和某些人事物有關係。	例：佢有佢个做法，你毋使干涉恁多。(他有他的做法，你不用干涉太多。) 例：這事情和你又無干涉，加講麼个呢？(這事和你又不相干，多嘴什麼呢？)	1.插　2.相干　2.關係		
643	弓緪		詞目分類索引/事物情狀	特giung11 an53		繃緊。將布面等平面物體向外施力拉緊。	例：弓大鼓遐下，鼓皮愛弓緪，聲正會鳴。(上鼓皮時，要繃緊，聲音才會清亮。)		放冗	
644	弓箭		詞目分類索引/運動休閒	giung11 zien31		1.弓與箭的合稱。　2.弓。以木條或金屬彎成弧形、繫上絲繩製成，用以發射箭矢的武器。　3.箭矢。一種搭在弓上發射的武器。	例：壁崠个弓箭，係吊好䀴个，毋係正經討提來打獵。(牆上的弓箭，是掛著觀賞用的，不是真的要拿來打獵。) 例：揪弓箭愛真大力，你敢揪會贏？(拉弓要用很大的力氣，你拉得動嗎？) 例：諸葛亮真多孔竅，三日定，就收集著十萬支弓箭。(諸葛亮足智多謀，三天而已，就收集到十萬支箭。)			
645	才貌		詞目分類索引/人物品評	cai53 mau55		才華與容貌。	例：厥女才貌雙全，做人真謙虛，真得人惜。(她女兒才貌雙全，做人又很謙虛，很討人喜歡。)	才情　才調　才華　才能		
646	才能		詞目分類索引/人物品評	cai53 nen53		才智與能力。	例：佢真有才能，人人攏阿腦。(他很有才能，人人都誇讚。)	才調　才情　才華　能力		
647	才女		詞目分類索引/人物品評	cai53 ngi31		才華出眾的女子。	例：阿芬姊麼个都會，係大家公認个才女。(阿芬姊什麼都會，是大家公認的才女。)			
648	才情		詞目分類索引/人物品評	cai53 cin53		才華。表現於外的才能。	例：阿文哥真有才情，又會寫詩，又會唱歌。(阿文哥很有才華，又會寫詩，又會唱歌。)	才調　才能　能力　才氣　本等　本事		
649	才子		詞目分類索引/人物品評	cai53 zu31		才華出眾的男子。	例：新郎和新娘，係才子配佳人，全然登對。(新郎和新娘，是才子配佳人，十分登對。)	才人		
650	不孝			bud24 hau31		（貶）不孝順。對父母或家中長輩無禮、不盡應盡的責任。	例：遐兩公姐毋肯服侍爺哀，真誠不孝！(那對夫妻不願奉養父母，真是不孝！)	逆	有孝　賢孝	
651	不時		詞目分類索引/事物情狀 詞目分類索引/時間節令	bud24 shi53		隨時、時時。指動作行為或事件出現、發生的頻率很高。	佢做生理，不時愛出國去割貨，真無閒。 他經營生意，經常要出國批貨，非常忙碌。	時時　時時刻刻　時常　輒輒　密密　輒常	罕得　難得	
652	不准			bud24 zhin31　又讀bud24 zhun31		禁止、不允許。	例：字無寫了，不准去外頭賞！(（作業沒寫完，不准到外頭玩耍！）)	毋好毋准毋會用禁止	會用	
653	不得了			bud24 ded24 leeu31		1.很厲害。形容人很有本事，或讚嘆事物非常精彩。　2.表示事態嚴重。	例：這個細子真有才情，若好好栽培，大漢即不得了喔！(這孩子很有才華，如果好好培養，長大了可是不得了呢！) 例：又毋係麼个不得了个大事，莫按唩食枵。(又不是什麼嚴重的大事，別這樣鬼吼鬼叫。)	1.了不起	無麼个	
654	不孝子			bud24 hau31 zu31		（貶）沒有善盡孝道的兒女。	例：供著這種不孝子，應該愛拁佢捉去關。(養出這種不孝子，應該把他抓去關。)	逆子	孝子	
655	中央		詞目分類索引/空間方位	dung11 ong11		位於中心、中間的地方。	例：中央遐字係麼个字，你䀴會清無？(中間那個是什麼字，你看得清楚嗎？)	中心　中間	邊脣　四角輪轉　脣頭　四輪轉	
656	中伏			zhung11 fu55		三伏的第二伏。指夏至後的第四個庚日。	例：這駁子係中伏个日，日頭全然猛，熱到硬討死。(這陣子是中伏期間，太陽十分猛烈，熱得要命。)			
657	中間			zhung11 geen11　又讀zhung11 gien11		位於中心，或兩者、多者之間的位置。	例：𠊎印子囥在中間遐隻拖，去替𠊎提來啊！(（我的印章放在中間那個抽屜，去幫我拿來吧！）)	中心中央	邊脣四角輪轉脣頭四輪轉	
658	中學			zhung11 hoo55		實施中等教育的學校。程度在小學、大學之間，分為國中與高中兩個階段，期限各三年。	例：佢有中學教師个資格，國中、高中攏會用去教。(他有中學教師的資格，可以去教國中和高中。)			
659	中醫			zhung11 rhi11		1.中式的傳統醫學知識與技術。　2.研習中式傳統醫術的醫生。	例：中醫个理論，和陰陽五行个概念真有關係。(中醫的理論，和陰陽五行的概念有密切的關係。) 例：厥女做中醫，自家開業，去門診个人真多。(他女兒當中醫，自己開業，去求診的人很多。)		西醫	
660	中藥			zhung11 rhio55		中醫所用的藥物。多取自植物、動物及礦物等。	例：佢這幾下日腰骨痠軟，到今日正去拆中藥食。(他這幾天腰骨痠痛，到今天才去抓中藥吃。)	漢藥	西藥	
661	中央		詞目分類索引/空間方位	zhung11 rhiong11		稱國家或團體的最高指導機關。	例：國家个政策，中央和地方愛合作來做，正做會好。(國家的政策，中央和地方要合作推動，才能做好。)		地方	
662	中原		詞目分類索引/空間方位	zhung11 ngien53		稱黃河下游一帶，包括現今河南省的大部分、山東省的西部，河北、山西的南部及陝西的東部。	例：有人認為，客家族群个歷史，愛對中原講起。(有人認為，客家族群的歷史，要從中原地帶談起。)		外邦	
663	中人		詞目分類索引/產業勞動 詞目分類索引/財經法政 詞目分類索引/稱謂身分	zhung11 ngin53		買賣仲介或居中調停、作證的人。	例：佢想討賣屋，你若討買，𠊎來替你做中人。(他打算要賣房子，你如果想要買，我來幫你牽線。)			
664	中秋		詞目分類索引/宗教民俗 詞目分類索引/時間節令	zhung11 ciu11		中秋節。農曆八月十五日，因正值秋季三個月的中間，故稱為「中秋」。依民間習俗，於此日全家團聚，賞月吃月餅。	例：韶日中秋，大家攏會轉來過節。(明天中秋節，大家都會回來過節。)	八月半　中秋節		
665	中文			zhung11 bbun53		漢族的語言文字。一般多指以北方官話為主的語文。	例：去外國教中文，係現時真時行个頭路。(去國外教中文，是當下很流行的工作。)	漢文　國文	外文	
666	中心			zhung11 sim11		具有某一特定性質，居於樞紐地位的地點或機構。	例：暗夜，𠊎討去文化中心䀴戲。(今天晚上，我要去文化中心看戲。)			
667	之間			zhi11 geen11		兩者或多者之中。	例：恁多姊妹之間，就佢頭會讀書。(眾多兄弟姊妹裡頭，就他最會念書。)	中間　之中		
668	互相		詞目分類索引/人際互動	fu55 siong11		彼此以同樣的態度或行為對待對方。	例：大家互相𢯭工，頭路會較緊做好。(大家互相幫忙，工作比較快完成。)			
669	五金			m31 gim11		原指金、銀、銅、鐵、錫或鉛等五種金屬。泛指各種金屬製品。	例：佢个屋下開店賣五金，生理真好。(他家開店賣五金，生意很好。)			
670	五官		詞目分類索引/人體器官 詞目分類索引/疾病醫療	m31 guan11		中醫指人的眼、耳、鼻、口、舌。相學上指眼、耳、鼻、口、眉。	例：細子五官生來端正，即真得人惜。(小孩子五官長得端正，就很可愛。)			
671	五穀		詞目分類索引/植物	m31 gu24		一般指稻、黍、稷、麥、菽等五種穀類。泛指各種主要的穀物。	例：這係𠊎做个五穀饅頭，你食䀴望。(這是我做的五穀饅頭，你吃吃看。)			
672	五牲			m31 sen11		五種用來祭祀的牲禮。古代指牛、羊、豕、犬、雞。多用於較為盛大的祭典中。今人多用豬、雞、鴨以及魚、魷魚、豆腐干、豬肝四者任選兩種，湊成五牲。	例：年三十拜天公，愛準備五牲來拜。(除夕拜天公，要準備五牲來拜。)			
673	井水		詞目分類索引/器物用品	ziang31 fi31		井中的水。	例：莊下个家庭，猶有人抽井水來用，無接水道水。(鄉下人家，還有人抽井水來用，沒有接自來水。)			
674	今年		詞目分類索引/時間節令	gin11 neen53		現時所處的年度。	例：今年个熱天，颱風特別多，菜價落毋會落來。(今年的夏天，颱風特別多，菜價居高不下。)			
675	今這下		詞目分類索引/時間節令	特gin11 li24 ha55　俗音gin11 li31 ha55		現在、此時此刻。	成過个人生活較苦，今這下即無共款啊！ 以前的人生活比較匱乏，現在可不一樣了！	今　這下　現時		
676	元氣		詞目分類索引/疾病醫療 詞目分類索引/人物品評	ngien53 ki31		人的精氣、精神。	例：佢去手術正出院，猶吂有元氣。(他去手術剛出院，還沒恢復元氣。)	精神　元神		
677	元宵		詞目分類索引/宗教民俗 詞目分類索引/時間節令	ngien53 sio11		元宵節的簡稱。在農曆的正月十五日。	例：客人大體元宵過後，即會擇一日去掛紙。(客家人差不多元宵節過後，就會選一個日子去掃墓。)	元宵節　正月半　上元　上元節		
678	元帥		詞目分類索引/財經法政 詞目分類索引/稱謂身分	ngien53 sui31		軍隊中最高層的統帥。	例：電視內底做个元帥，渡千兵萬馬，真風神。(電視裡演出的元帥，帶領千軍萬馬，威風凜凜的。)	統帥		
679	元首			ngien53 shiu31		一國最高的首長。	例：𫣆人臺灣个元首，係百姓投票選出來个。(（我們臺灣的元首，是人民投票選出來的。）)	總統總理首腦		
680	元宵節		詞目分類索引/宗教民俗 詞目分類索引/時間節令	ngien53 sio11 zied24		我國傳統節慶之一。每年農曆正月十五日，民間習慣舉行舞龍、舞獅、踩高蹺、猜燈謎等慶祝活動。	例：逐年元宵節，苗栗攏會辦[火旁]龍个活動。(每年元宵節，苗栗都會舉辦炸龍的活動。)	元宵　正月半　上元　上元節		
681	內行			nui55 hong53		精通某種事物或技藝。	例：佢對棒球真內行，猶識做過教練。(（他對棒球很在行，還曾當過教練。）)	在行熟行熟手	外行	hk0000000937-2-5-1
682	內容			nui55 rhung53		事物內部的情形。	例：遐本小說个內容係麼个，你會用講得𠊎聽無？(那本小說的內容是什麼，你可以說給我聽嗎？)		形式	
683	內科		詞目分類索引/疾病醫療	nui55 koo11		治療身體內部疾病的醫學科別。醫師參照病人對症狀的敘述，配合物理檢查診察病情後，施以用藥、打針，而不以手術來治療疾病。	例：佢這兩日胃疾，韶日愛去內科檢查。(他這幾天胃痛，明天要去內科檢查。)		外科	
684	內外		詞目分類索引/空間方位	nui55 nguai55		1.內部和外部。　2.自己人與外人。	例：過年拚掃，一屋內外攏愛整理淨俐。(過年大掃除，屋內屋外都要整理乾淨。) 例：大家共下做，何必愛分內外！(大家一起合作，何須分你我！)			
685	內部		詞目分類索引/空間方位	nui55 pu55		裡面的部分。	例：戲園內部猶在遐裝潢，所以猶吂開業。(戲院內部還在裝潢，所以還沒開始營業。)	內底	外部　外頭	
686	內傷		詞目分類索引/疾病醫療	nui55 shong11		指內臟、氣血、經絡因跌仆、捶擊等所受的損傷。相對於「外傷」而言。	例：佢腹內驚有內傷，若無仰子略略仔抑下即會疾。(他腹部可能有內傷，不然怎麼輕輕一按就會痛。)	暗傷	外傷	
687	內心		詞目分類索引/思維心態	nui55 sim11		心裡。指人的思想或感情。	例：佢參加比賽著頭名，內心歡喜到講毋會出來。(他參加比賽得第一名，內心高興得不得了。)	心肝底　心肝		
688	公布		詞目分類索引/財經法政	gung11 bu31		向公眾布達或宣示。	例：考試个消息昨日公布啊，會用上網去䀴。(考試的消息昨天公布了，可以上網看。)	公告　發布		
689	公尺			gung11 cha24		計算長度的單位。公制一公尺等於一百公分。	例：佢逐晨早攏會去泅水，一泅即一千公尺，真慶喔！(他每天早上都會去游泳，一游就是一千公尺，真是厲害！)	米		
690	公費			gung11 fui31		由公家或團體所支付的經費。	例：教育部年年攏有公費留學个獎助，你會用去考䀴望。(教育部每年都有公費留學的獎助，你可以去考考看。)		自費	
691	公分			gung11 fun11		計算長度的單位。公制一公分等於百分之一公尺。	例：𫣆人來比䀴望，䀴你高𠊎幾多公分。(（我們來比比看，看你比我高幾公分。）)			
692	公家		詞目分類索引/財經法政	gung11 ga11		國家或公眾的。	例：圖書館个書係公家个，䀴了愛還轉去。(圖書館的書是公家的，看完要還回去。)		私人　私己	
693	公斤			gung11 gun11		計算重量的單位。公制一公斤等於一千公克。	例：𠊎過一個年，閒閒顧食，一下即肥三公斤。(我過個年，放假閒著、不停吃東西，一下子就胖了三公斤。)			
694	公告			gung11 goo31		對公眾宣布、告示。	例：颱風放假个消息，暗夜十點即會公告。(颱風放假的消息，今晚十點就會公告。)	公布　發布		
695	公園		詞目分類索引/建築住居	gung11 bbien53		經過造園或保留其自然狀態，作為公眾戶外遊憩及享受大自然的特定場所。	例：晨早時，真多人會去公園運動。(早晨，很多人會去公園運動。)			
696	公祭			gung11 ze31		由公家、團體或社會人士向死者或鬼神祭拜的儀式。	例：參加公祭，愛著較烏色个衫去正好。(參加公祭，要穿較深色的衣服去才好。)	公奠	家祭	
697	公開			gung11 koi11		1.揭露事務，讓大眾知曉。　2.不加隱蔽，開放、人人可見的。	例：這件事情已經公開啊，毋係麼个祕密！(這件事情已經公開了，不是什麼祕密了！) 例：在公開个所在打赤膊，真否䀴。(在公開的場所打赤膊，很不得體。)	2.公共	1.揞揜	
698	公里		詞目分類索引/量詞	gung11 li31		計算長度的單位。公制一公里等於一千公尺。	例：對學校到火車頭大約有兩公里遠。(從學校到火車站大約有兩公里遠。)			
699	公立			gung11 lib43		公家機關所設立的。	例：普通來講，讀公立个學校比讀私立个較省錢。(一般而言，讀公立學校比讀私立的更省錢。)	官辦	私立	
700	公平			gung11 piang53		平等對待、不偏私。	例：處理事情愛公平，正毋會得人講閒事。(處理事情要公平，才不會被別人說閒話。)	公正	偏心　大細心	
701	公文		詞目分類索引/財經法政	gung11 bbun53		處理或聯繫公務的文書。	例：若係討渡學生去參觀縣議會，學校愛先出公文聯絡。(若要帶學生去參觀縣議會，學校要先發公文聯繫。)	公函		
702	公子			gung11 zu31		1.古時稱諸侯的孩子。　2.對世家子弟的稱呼。一般較常見於古典小說、戲曲中。　3.敬稱他人的兒子。	例：孟嘗君係戰國時代个公子，本名號做田文。(（孟嘗君是戰國時代的公子，本名叫做田文。）) 例：馬文才係有錢个公子，毋過猶係渡毋會著祝英台。(（馬文才是有錢的公子，但還是娶不到祝英台。）) 例：你个公子今年幾多歲啊？(（您的兒子今年幾歲了？）)	少爺少爺後生		hk0000004783-2-5-1
703	公正		詞目分類索引/人物品評 詞目分類索引/事物情狀	gung11 zhin31		公平正直，無偏私。	例：做人做事愛公正，正對得過自家个良心。(為人處事要公正，才對得起自己的良心。)	公道		hk0000004778-2-5-1
704	公賣局			特gung11 mi11 kiu55		政府依照法令所設，販售物品的專門機構。	例：公賣局轉得民間經營過後，推出真多新產品。(公賣局轉由民間經營之後，推出很多新產品。)	專賣局		
705	公共場所			gung11 kung55 chong53 su31　又讀gung11 kiung55 chong53 su31		大眾所出入、往來的地方。如公園、戲院、風景區等。	例：在公共場所毋會用食薰，會影響著別儕。(（在公共場所不可以吸煙，會影響到別人。）)			
706	冇穀			pang31 gu24		不精實的稻穀。稻子結實時，因授粉未完全，而長成的空有稻殼、沒有米粒的稻穀。	例：這冬禾出串遐下堵著大風，所以冇穀真多。(這季稻子出穗時遇到大風，所以很多穀子不精實。)		丁穀	
707	冇卵			pang31 lon31		未受精的蛋。	例：冇卵抑係精卵，用電火一照即䀴會出來。(蛋是否為受精卵，用電燈一照就可以辨認出來。)			
708	凶手		詞目分類索引/財經法政 詞目分類索引/稱謂身分	hiung11 shiu31		殺害他人的人。	例：電視播講，遐件案个凶手得人捉著啊。(電視播報，那件案子的凶手被抓到了。)			
709	分飯		詞目分類索引/生活狀態	bun11 pon55		1.討飯。向人乞討飯食。　2.給飯。給別人飯。	例：你好手好腳，毋去好好做事，敢講討去拁人分飯？(你好手好腳，不好好工作，難道要去向人討飯過活？) 例：上擺乞食來到門口，大家會分飯得佢食。(以前，乞丐到家門口，大家會給他飯吃。)	1.分食　1.討飯		
710	分紅		詞目分類索引/產業勞動 詞目分類索引/財經法政	bun11 fung53		老闆將營業所得的利潤，依照一定的比率，與股東或員工共享。	例：今年頭家趁較多錢，大家攏有好分紅。(今年老闆賺到比較多錢，大家都有得分紅。)	食紅		
711	分家		詞目分類索引/宗教民俗 詞目分類索引/生活狀態	文fun11 ga11　白bun11 ga11		本來一起生活的親屬，把家產分開，各自成家。	例：佢三兄弟真相好，序大人過身恁久啊，嘛無分家。(他們兄弟三人感情很好，父母過世這麼久了，也沒有分家。)	分灶　分火灶　分開　分家伙		
712	分錢		詞目分類索引/財經法政 詞目分類索引/生活狀態	bun11 cien53		1.給錢。將錢財分給他人。　2.分配錢財。　3.向人乞討錢財。	例：厥媽頭惜佢，不時分錢得佢，出外好用。(他的祖母最疼他，常常給他錢，出外時有得花用。) 例：鬥股做生理，分錢遐下愛公平正會用。(合夥做生意，分配錢財時要公平才可以。) 例：佢本來真有錢，這下嗄愛拁人分錢來過日，真苦憐啊！(他本來很有錢，現在卻要向人乞討過活，真可憐啊！)	3.討錢　3.討食　3.分食		
713	分灶		詞目分類索引/宗教民俗 詞目分類索引/建築住居	bun11 zoo31		各起爐灶、各自為炊。比喻兄弟分家。	例：佢兩兄弟分灶過後，即真少來去啊。(他們兄弟倆分家以後，就很少往來了。)	分火灶　分家　分開　分開食　分家伙		
714	分組			文fun11 zu11　白bun11 zu11		將團體分成若干小單位。	例：韶日个化學課，先生講愛分組來做實驗。(明天的化學課，老師說要分組做實驗。)			
715	分班		詞目分類索引/教育文化	文fun11 ban11　白bun11 ban11		依照編制，把學生分配到不同的班級。	例：這下學校毋得用考試來分班，嘛無麼个好班、否班啊。(現在學校不可以用考試來分班，也沒有所謂的好班、壞班了。)	編班	合班	
716	分泌		詞目分類索引/疾病醫療	fun11 bi31		自生物體的細胞組織、器官或腺體產生某種物質。	例：物件食落肚，胃即會分泌胃液來消化。(東西吃進肚子，胃就會分泌胃液來消化。)			
717	分布			fun11 bu31		分開散布。	例：臺灣个工業區，大討分布在西部。(臺灣的工業區，大多分布在西部。)			
718	分寸			fun11 cun31		做事或說話妥切的限度。	例：講事愛有分寸，正毋會跌罪著人。(說話要有分寸，才不會得罪別人。)	準則		
719	分擔		詞目分類索引/人際互動	fun11 dam11		分配以共同承擔。	例：毋好總係趴趴走，屋下事嘛愛分擔一兜！(不要總是往外跑，家務事也要分擔一些！)	𢯭手　𢯭工	總包	
720	分發			fun11 fad24		分派發落。指將人員分配至某處任職，或將學生分配至某校就學。	例：佢考著高考，分發到內政部去做。(他考上高考，分發到內政部工作。)	分派		
721	分校			fun11 hau55		校本部以外分設的學校。	例：遐間大學在新竹嘛有分校。(那所大學在新竹也有分校。)			
722	分機			fun11 gi11		電話或其他通信器，除主機或總機之外的支線，可與主機互通或獨立使用。	例：你辦公室个電話，分機係幾多號？(你辦公室的電話，分機是幾號？)			
723	分解			fun11 goi31		1.分析拆解。將連續的、具有整體性的事物，劃分成較小的單位或段落。　2.了解。	例：這下有一種新个塑膠，會自然變質、分解。(現在有一種新的塑膠，會自然變質、分解。) 例：佢擱仰子講都毋會分解，真無法度啊！(他再怎麼說都不會明白，真是無奈啊！)		1.綜合　1.鬥	
724	分享		詞目分類索引/人際互動	fun11 hiong31		提供自身擁有的事物或想法，讓他人一同享受。	例：好物件和好朋友共下分享，你歡喜，𠊎嘛歡喜。(好東西和好朋友一同分享，你開心，我也開心。)			
725	分局			fun11 kiu55		編制上稱為局的單位機關，因轄區或業務考量而設的分支。	例：國稅局各分局攏會用申請所得證明。(國稅局各分局都可以申請所得證明。)			
726	分離		詞目分類索引/人際互動	fun11 li53		1.分隔離開。自原本完整的群體分割出來。　2.離別。與某人某物分開。	例：油湯囥冷，油自然即會分離開來。(高湯冷卻後，油脂自然會分離開來。) 例：畢業以後，即愛和大家分離啊，心肝真毋盼。(畢業以後，就要和大家分離了，心裡很捨不得。)	分開　2.分別		
727	分裂		詞目分類索引/人際互動	fun11 lied43		分開、割裂。原本完整的全體或個體，分化成兩個或多個部分。	例：團體內人多、意見多，無處理好即會有分裂个可能。(團體中人多、意見多，不處理好就會有分裂的可能。)	散去　裂去	團結	
728	分類			fun11 lui55		依照事物特性加以區分類別。	例：資料若係有分類收好，討用遐下即較尋會著。(資料如果有分類收好，要用的時候就比較容易找得到。)			
729	分明		詞目分類索引/事物情狀	fun11 men53　又讀fun11 meen53		明白、清楚。	例：這件事情真複雜，一時猶䀴毋會分明。(這件事情很複雜，一時還看不清楚。)	明白　清楚		
730	分派		詞目分類索引/產業勞動	fun11 pai31		1.發派差遣。　2.由原本的整體分化出來的不同派系。	例：佢得公司分派去美國，愛去一年正有好轉。(他被公司分派到美國去，要去一年才能回來。) 例：臺灣个佛教有幾下個分派。(臺灣的佛教有好幾個分派。)	1.分發　1.分配　1.差遣		
731	分配			fun11 pue31		分攤、支配。	愛會曉分配時間，正毋會無閒到玲瑯踅。 要懂得分配時間，才不會忙到團團轉。			
732	分別			fun11 pied43		1.區分、辨別。　2.差別。與他者相異之處。　3.離別。與某人某物分隔、離開。	例：阿弟到今都猶毋會曉分別鴨和鵝。(（弟弟至今都還不會分辨鴨子與鵝。）) 例：平平係八十箍个飯包，敢會有麼个分別？(（一樣是八十元的便當，會有什麼差別嗎？）) 例：韶日𫣆人即愛分別啊，愛較輒聯絡喔！(（明天我們就要分離了，要常常聯絡喔！）)	分辨分差別爭差分離分開		
733	分辨			fun11 peen55		區分辨別。	例：真錢和假錢你會曉分辨無？(真鈔和假鈔你會分辨嗎？)	分別		
