来源	《安徽巢湖方言音韵研究》，“胖丁”整理修改		
ɕ	[7]雪血屑薛削恤		
∅	[7]月悦越粤曰		
#əʔ			
pʰ	[7]卜扑朴		
m	[7]木目牧		
f	[7]福副幅蝠腹覆复拂[8]佛伏服		
t	[7]读犊笃督德得[8]毒独		
tʰ	[7]秃特		
l	[7]禄六陆绿录肋勒鹿		
ʦ	[7]贼足□{塞，瓶～子，～进去}		
ʦʰ	[7]族促触秩		
s	[7]速宿肃粟俗续塞涩蟀缩啬{啬屄货：小气鬼}		
tʂ	[7]执汁蛰质置只织职植掷侧{侧着放}[8]直侄值		
tʂʰ	[7]赤尺		
ʂ	[7]湿失室适蚀识饰{首饰}[8]十拾石食实{实住着：堵住了}		
ʐ	[7]入日		
kʰ	[7]刻克		
x	[7]黑或赫		
#iəʔ			
p	[7]笔必碧璧逼		
pʰ	[7]匹		
m	[7]蜜密灭		
t	[7]的滴嫡敌狄[8]笛		
tʰ	[7]踢剔		
n	[7]粒立栗率律历力劣		
tɕ	[7]辑集缉急级给及疾迹积籍绩击激极即鲫揖		
tɕʰ	[7]七漆乞戚吃		
ɕ	[7]习袭吸悉膝昔惜夕锡析息媳胁协[8]席		
∅	[7]一乙逸益亦液抑易翼{小心翼翼}		
#uəʔ			
tʂ	[7]竹筑祝粥嘱蜀烛[8]轴逐		
tʂʰ	[7]出畜		
ʂ	[7]术述叔淑束属[8]熟赎		
ʐ	[7]入辱褥肉{～桂}		
k	[7]国谷		
kʰ	[7]酷{冷酷}		
x	[7]惑[8]糊{糊涂}		
v	[7]物勿屋		
#yəʔ			
tɕ	[7]橘菊锔局倔		
tɕʰ	[7]黢屈掘曲		
ɕ	[7]蓄戌穴畜{畜牧}		
∅	[7]役疫欲浴郁域育阅译		
#ɵʔ			
p	[7]拨博薄剥驳钵{花钵子：盆栽的盆}北百柏伯帛陌麦[8]白		
pʰ	[7]泼泊魄拍迫		
m	[7]末莫幕寞墨默摸{摸鱼摸虾，摸黑}		
f	[7]缚		
t	[7]铎沰踱		
tʰ	[7]托		
n	[7]诺落骆洛络乐		
ʦ	[7]作[8]昨凿		
tʂ	[7]拙桌卓捉酌[8]镯着		
tʂʰ	[7]戳绰辍		
ʂ	[7]说勺芍朔		
ʐ	[7]若弱		
∅	[7]握沃		
s	[7]索		
k	[7]各阁胳角-		
kʰ	[7]确		
x	[7]鹤郝		
ŋ	[7]鄂恶		
#iɵʔ			
n	[7]略掠虐		
tɕ	[7]觉爵嚼绝脚觉角		
tɕʰ	[7]鹊雀确却		
ɕ	[7]削学		
∅	[7]乐岳跃育约药钥岳乐狱		
#ɯʔ			
t	[8]夺		
tʰ	[7]脱		
ts	[7]撮{一撮毛}		
tsʰ	[7]撮{撮雪}		
k	[7]䦆郭括		
kʰ	[7]阔括阔廓扩		
x	[7]豁镬霍藿获{收获}活{干活}[8]活{死活}		
#ɤʔ			
p	[7]勃不		
pʰ	[7]朴		
m	[7]没		
f	[7]缚		
tʰ	[7]突		
ts	[7]卒		
tsʰ	[7]猝		
s	[7]虱瑟{瑟瑟发抖}		
x	[7]获{获得}		
#uɤʔ			
k	[7]骨		
kʰ	[7]窟		
x	[7]忽[8]核		
tʂ	[7]啄浊		
#iʔ			
p	[7]壁		
pʰ	[7]僻劈		
m	[7]觅		
tɕ	[7]吉寂		
tɕʰ	[7]泣		
ɕ	[7]熄		
n	[7]匿逆溺		
