					註釋	字表
				討		tʰo445
				套		tʰo423
				忑		tʰɐk453
				特		tɐk312
				疼		tɐŋ231
				滕		tɐŋ231
				謄		tɐŋ231
				藤		tɐŋ231
				騰		tɐŋ231
				籐		tɐŋ231
				剔		tʰɪk453
				梯		tʰɐi453
				踢		tʰɪk453
				銻		tʰɐi453
				提		tɐi231
				啼		tɐi231
				渧		ɗʌi423
				緹		tɐi231
				醍		tɐi231
				蹄		tɐi231
				題		tɐi231
				體		tʰʌi445
				剃		tʰʌi423
				倜		tʰɪk453
				涕		tʰʌi423
				悌		tʌi24
				惕		tʰɪk453
				屜		tʰʌi423
				替		tʰʌi423
				天		tʰin453
				添		tʰim453
				田		tin231
				畋		tin231
				恬		tim231
				甜		tim231
				湉		tim231
				填		tin231
				塡		tin231
				腆		ɗin445
				舔		tʰim445
				掭	㮇筆	tʰim453
				㮇		tʰim453
				挑		tʰiu453
				迢		tiu231
				條		tiu231
				笤		tiu231
				髫		tiu231
				齠		tiu231
				眺		tʰiu423
				跳		tʰiu423
				糶		tʰiu423
				帖		tʰip45
				貼		tʰip45
				鐵		tʰit453
				餮		tʰit453
				汀		ɗɪŋ453
				聽	聽見	tʰɪŋ423
				聽	聽其自然	tʰɪŋ423
				廳		tʰɪŋ453
				廷		tɪŋ231
				亭		tɪŋ231
				庭		tɪŋ231
				停		tɪŋ231
				蜓		tɪŋ231
				婷		tɪŋ231
				霆		tɪŋ231
				挺		tɪŋ24
				艇		tɪŋ24
				通		tʰʊŋ453
				仝		tʊŋ231
				同		tʊŋ231
				佟		tʊŋ231
				彤		tʊŋ231
				茼		tʊŋ231
				桐		tʊŋ231
				衕		tʊŋ231
				童		tʊŋ231
				酮		tʊŋ231
				銅		tʊŋ231
				潼		tʊŋ231
				曈		tʊŋ231
				瞳		tʊŋ231
				捅		tʰʊŋ445
				桶		tʰʊŋ445
				筒		tʊŋ231
				統		tʰʊŋ445
				統		#N/A
				筩		tʊŋ231
				痛		tʰʊŋ423
				偷		tʰɐu453
				投		tɐu231
				頭		tɐu231
				㪗	展開	tʰɐu445
				敨		tʰɐu445
				斢		tʰiu445
				透		tʰɐu423
				凸		tɐt312
				禿		tʰʊk453
				突		tɐt312
				荼		tu231
				徒		tu231
				途		tu231
				涂		tu231
				屠		tu231
				塗		tu231
				圖		tu231
				土		tʰu445
				吐		tʰu423
				吐		tʰu453
				兔		tʰu423
				菟		tʰu423
				菟		tu231
				蓴	蓴菜	ʃɐn231
				團		tun231
				糰		tun231
				推		tʰui453
				頹		tui231
				頽		tui231
				腿		tʰui445
				退		tʰui423
				蛻		tʰui423
				褪		tʰui423
				褪		tʰɐn423
				吞		tʰɐn453
				屯		tɐn231
				𡰪		ɗʊk453
				豚		tun231
				飩		tʰɐn453
				臀		tɐn231
				托	茶託	tʰœk423
				拖		tʰœ453
				託		tʰœk423
				脫		tʰut453
				佗		tœ231
				陀		tœ231
				坨		tœ231
				沱		tœ231
				砣		tœ231
				酡		tœ231
				馱		tœ231
				馱		tœ231
				䭾		tœ231
				駝		tœ231
				鴕		tœ231
				妥		tœ24
				橢		tœ24
				唾		tʰœ423
				挖		wat423
				媧		wa453
				蛙		wa453
				蛙		wa453
				窪		wa453
				鼃		wa453
				娃		wa453
				娃		wa231
				瓦		ŋa24
				佤		ŋa24
				袜		mat312
				襪		mat312
				哇		wa453
				歪		mai445
				外		ŋui312
				豌		wan453
				彎		wan453
				灣		wan453
				丸		ʔyn231
				完		ʔyn231
				玩		wan24
				頑		ŋʷwan231
				頑		ŋan231
				宛		ʔyn445
				宛		wan445
				晚		man24
				惋		ʔyn445
				婉		ʔyn445
				皖		ʔyn445
				碗		ʔun445
				萬		man312
				腕		ʔun445
				尪		wɐŋ453
				亡		mœŋ231
				王		wɐŋ231
				网		mœŋ24
				枉		wɐŋ445
				罔		mœŋ24
				往		wɐŋ24
				惘		mœŋ24
				網		mœŋ24
				輞		mœŋ24
				魍		mœŋ24
				妄		mœŋ312
				忘		mœŋ312
				旺	火旺	wɐŋ312
				望		mœŋ312
				危		ŋʌi231
				威		wɐi453
				偎		wɐi423
				微		mi231
				煨		ʔui453
				薇		mi231
				巍		ŋʌi312
				為		wɐi231
				為		wɐi231
				韋		wɐi231
				桅		wɐi231
				唯		wɐi231
				唯		wɐi231
				帷		wɐi231
				惟		wɐi231
				幃		wɐi231
				圍		wɐi231
				爲		wɐi231
				爲		wɐi312
				違		wɐi231
				維		wɐi231
				闈		wɐi231
				濰		wɐi231
				尾		mi24
				委		wɐi445
				萎		wɐi445
				偉		wɐi24
				葦		wɐi24
				瑋		wɐi24
				煒		wɐi24
				僞		ŋʌi423
				諉		wɐi445
				緯		wɐi24
				韙		wɐi24
				未		mi312
				位		wɐi312
				味		mi312
				畏		wɐi423
				胃		wɐi24
				尉	太尉	wɐi423
				尉		wɐi312
				喂		wɐi423
				渭		wɐi312
				蔚		wɐi445
				蔚		wɐi423
				蝟		wɐi24
				衛		wɐi24
				慰	安慰，慰問	wɐi445
				衞		wɐi24
				謂		wɐi312
				魏		ŋʌi312
				餵		wɐi423
				䵳		ʔui445
				溫		wɐn453
				瘟		wɐn453
				文		mɐn231
				玟		mɐn231
				蚊		mɐn453
				紋		mɐn231
				雯		mɐn231
				聞		mɐn231
				刎		mɐn24
				吻		mɐn24
				穩		wɐn445
				汶		mɐn312
				問		mɐn312
				搵		wɐn445
				翁		ʔʊŋ453
				嗡		ŋʊŋ445
				蕹	蕹菜卽空心菜	ŋɐŋ453
				甕		ʔʊŋ423
				捼		nœ453
				萵		wɐ453
				渦		wɐ453
				窩		wɐ453
				蝸		wɐ453
				我		ŋo24
				沃		jʊk453
				臥		nœ312
				握		ʔɐk453
				圬		ʔu453
				污		ʔu453
				巫		mu453
				屋		ʔʊk453
				烏		ʔu453
				鄔		ʔu453
				嗚		ʔu453
				誣		mu453
				鎢		ʔu453
				无		mu231
				毋		mu231
				吾		ŋ231
				吳		ŋ231
				梧		ŋ231
				無		mu231
				蜈		ŋ231
				蕪		mu231
				五		ŋ24
				午		ŋ24
				伍		ŋ24
				仵		ŋ24
				忤		ŋ24
				武		mu24
				侮		mu445
				捂		ʔu445
				舞		mu445
				嫵		mu445
				鵡		mu24
				勿		mɐt312
				戊		mu312
				物		mɐt312
				悟		ŋ312
				務		mu312
				晤		ŋ312
				婺		mu312
				塢		ʔu453
				誤		ŋ312
				寤		ŋ312
				霧		mu312
				騖		mu312
				鶩		mu312
				夕		fɪk312
				西		fɐi453
				吸		tʃʰɐp45
				汐		fɪk312
				希		hi453
				昔		fɪk453
				析		fɪk453
				息		fɪk453
				息	孫之子	fɐk453
				奚		kʰɐi453
				硒		fɐi453
				晞		hi453
				欷		hi453
				悉	熟悉	fɐt453
				惜	可惜	fɪk453
				稀		hi453
				犀		fɐi453
				溪		kʰɐi453
				熙		hi453
				蜥		fɪk453
				僖		hi453
				熄		fɪk453
				膝		fɐt453
				嬉		hi453
				熹		hi453
				錫		fɪk453
				羲		hi453
				谿		kʰɐi453
				曦		hi453
				犧		hi453
				席		fɪk312
				習		fɐp312
				蓆		fɪk312
				媳		fɪk453
				襲		fɐp312
				洗		fʌi445
				徙		fai445
				徙	又讀	fɐi445
				喜		hi445
				銑		fin445
				蟢		hi445
				璽		fai445
				囍		hi445
				系		ʔʌi312
				係		ʔʌi312
				細		fʌi423
				戲		hi423
				嚱		hi423
				閕		ŋa445
				瞎		tʰat423
				瞎		ʔɐt312
				蝦		ha453
				蝦		ha453
				匣		ʔap312
				俠	大俠	ʔap312
				炠		ȵap423
				峽		ʔap312
				狹		ʔap312
				遐		ʔa231
				瑕		ʔa231
				暇		ʔa231
				轄		tʰat423
				霞	霞光,霞彩,紅霞	ʔa231
				下	下山	ʔa24
				下	一下	ʔa24
				夏		ʔa312
				夏		ʔa312
				嚇	嚇一跳	hak423
				嚇	恐嚇	hak423
				罅	缝隙	la423
				仙		fin453
				先		fin453
				掀		hin453
				掀		tʃin453
				鮮	新鮮	fin453
				鮮	鮮少	fin445
				纖		tʰim453
				弦		ʔin231
				咸		ʔam231
				舷		ʔin231
				閑		ʔan231
				嫌		ʔim231
				銜		ʔam231
				賢		ʔin231
				嫻		ʔan231
				冼		fin445
				跣		fin445
				蜆		hin445
				險		him445
				蘚		fin445
				顯		hin445
				限		ʔan24
				莧		ʔin312
				陷		ʔam312
				現		ʔin312
				腺		fin423
				羨		fin423
				綫		fin423
				線		fin423
				縣		ʔyn312
				餡		ʔam312
				憲		hin423
				霰		fan445
				獻		hin423
				相	互相	fiɐŋ453
				相	相貌	fiɐŋ423
				香		jiɐŋ453
				鄉		jiɐŋ453
				廂		fiɐŋ453
				湘		fiɐŋ453
				箱		fiɐŋ453
				襄		fiɐŋ453
				鑲		fiɐŋ453
				驤		fiɐŋ453
				祥		fiɐŋ231
				翔		fiɐŋ231
				詳		fiɐŋ231
				享		ʔiɐŋ445
				想		fiɐŋ445
				餉		jiɐŋ445
				響		jiɐŋ445
				饟		ȵiɐŋ312
				向		jiɐŋ423
				巷		ʔœŋ423
				象		fiɐŋ24
				項		ʔœŋ24
				像		fiɐŋ24
				橡		fiɐŋ24
				逍		fiu453
				消		fiu453
				宵		fiu453
				梟		hiu453
				硝		fiu453
				霄		fiu453
				銷		fiu453
				蕭		fiu453
				簫		fiu453
				瀟		fiu453
				囂		hiu453
				驍		hiu453
				淆		ŋau231
				小	小心	fiu445
				筱		fiu445
				曉		hiu445
				孝		hau423
				肖		fiu453
				校	校尉	ʔau312
				校	校友學校	ʔau312
				校	校正,校改,校訂 校鬧鐘,校勘,校準	kau423
				哮		hau423
				笑		fiu423
				效		ʔau312
				嘯		fiu423
				些		fiɐ453
				楔	楔子	fip45
				歇		hit453
				蠍		hit453
				邪		fiɐ231
				協		hip45
				挾		ʔap312
				脅		hip45
				偕		ʔai231
				斜		fiɐ231
				鞋		ʔai231
				諧		hai453
				攜		kwɐi231
				寫		fiɐ445
				泄		fit453
				卸		fiɐ423
				屑	不屑	fip45
				屑	木屑	fip45
				械		ʔai24
				𤗈		fip45
				懈		ʔai24
				謝		fiɐ312
				褻		fit453
				瀉	倒瀉	fiɐ445
				瀉	腹瀉	fiɐ423
				蟹		ʔai24
				心		fɐm453
				芯		fɐm453
				辛		fɐn453
				欣		jɐn453
				新		fɐn453
				鋅		fɐn453
				薪		fɐn453
				馨		hɪŋ453
				鑫		ȵɐm423
				鑫		ȵɐm312
				囟		fɐn445
				信		fɐn423
				星		fɪŋ453
				猩		fɪŋ453
				惺		fɪŋ453
				腥		fɪŋ453
				刑		ʔɪŋ231
				邢		ʔɪŋ231
				行		ʔaŋ231
				行	行為	ʔaŋ231
				行	品行	ʔaŋ231
				行	行列	ʔœŋ231
				形		ʔɪŋ231
				型		ʔɪŋ231
				醒		fɪŋ445
				擤		fɐŋ423
				杏		ʔaŋ312
				幸		ʔaŋ312
				性		fɪŋ423
				姓		fɪŋ423
				興	興旺	hɪŋ453
				興	高興	hɪŋ423
				興		hɪŋ423
				興		hɪŋ453
				凶	吉凶	jʊŋ453
				兄		wɪŋ453
				芎	川芎	kʊŋ453
				兇	兇惡	jʊŋ453
				匈		jʊŋ453
				洶		jʊŋ453
				胷		jʊŋ453
				雄		ʔʊŋ231
				熊		jʊŋ231
				休		jɐu453
				修		fɐu312
				脩		fɐu453
				羞		fiu453
				貅		jɐu453
				饈		fɐu453
				朽		ȵɐu445
				朽		mɐu445
				秀		fiu453
				袖		fɐu312
				嗅		tʃʰɐu423
				嗅	用鼻聞	ȵʊŋ423
				繡		fɐu423
				鏽		fɐu423
				戌		fɐt453
				裇		ʃɐt453
				虛		hy453
				須		fy453
				墟		hy453
				需		fy453
				噓		hy453
				鬚		fy453
				徐		fy231
				珝		hy445
				栩		hy445
				冔		hy445
				詡		hy445
				旭		jʊk453
				序		fu24
				恤		fɐp45
				敘		fy24
				壻		fʌi423
				絮		fy423
				蓄		tʃʰʊk453
				緒		fy24
				續		fʊk312
				蓿		fʊk453
				宣		fun453
				軒		hin453
				萱		hyn453
				萱		fun453
				喧		hin453
				喧		fyn453
				暄		hun453
				暄		fin453
				禤		jun453
				玄		ʔyn231
				旋		fun312
				旋		fyn231
				漩		fun312
				璇		fun312
				懸		ʔyn231
				選		fun445
				癬		fin445
				炫		ʔyn312
				眩		ʔyn312
				楦	做鞋用的模型：鞋～	hyn423
				鏇		fun312
				削		fiɐk453
				靴		hœ453
				薛		fip45
				穴		ʔyt312
				學		ʔœk312
				雪		fut453
				血		hyt453
				熏		wɐn453
				勳		wɐn453
				薰		wɐn453
				醺		wɐn453
				旬		fɐn231
				巡		fɐn231
				荀		fɐn231
				峋		fɐn231
				珣		fɐn231
				循		fɐn231
				尋		fɐm231
				詢		fɐn231
				汛		fɐn423
				迅		fɐn423
				徇		fɐn231
				殉		fɐn231
				訓		wɐn423
				訊		fɐn423
				馴		fɐn231
				遜		fɐn423
				遜		sun423
				蕈		fɐn423
				丫		ŋa453
				押		ʔat423
				椏		ŋa453
				鴉		ʔa453
				鴨		ʔap423
				壓		ʔat423
				牙		ŋa231
				伢	小孩子	ŋa231
				芽		ŋa231
				蚜		ŋa231
				崖		ŋai231
				涯		ŋai231
				衙		ŋa231
				雅		ŋa24
				亞		ʔa445
				軋	壓	tʃat423
				訝		ŋa312
				婭		ʔa423
				胭		ʔin453
				焉		ʔin453
				焉		ʔin453
				淹		ʔim453
				腌		ʔip45
				煙		ʔin453
				醃		ʔip45
				閹		ʔim453
				延		ʔin24
				芫		ʔyn231
				言		ȵin231
				炎		ʔim231
				沿		ʔyn231
				研		ȵin231
				姸		ʔin231
				硏		ȵin231
				啱		ŋam453
				閻		ʔim231
				顏		ŋan231
				嚴		ȵim231
				簷		ʔim231
				巖		ŋam231
				鹽		ʔim231
				奄		ʔim445
				衍		ʔin24
				掩		ʔim445
				眼		ŋan24
				眼	<白>量詞，同<文>：一～燈	ŋan445
				演		ʔin24
				躽		ʔen445
				躽		ʔin445
				厴		ʔim445
				儼		ȵim24
				魘		ʔim445
				齴	齒露	ȵen453
				咽		ʔin453
				咽		ʔit453
				彥		ʔin312
				晏	晚	ʔan423
				宴		ʔin423
				堰		ʔim445
				硯		ʔin312
				雁		ŋan312
				焰		ʔim312
				厭		ʔim423
				燕		ʔin453
				燕		ʔin423
				諺		ʔin312
				嚥		ʔin453
				贗		ŋan312
				驗		ȵim312
				艷		ʔim312
				央		jiɐŋ453
				泱		jiɐŋ453
				殃		jiɐŋ453
				秧		jiɐŋ453
				鞅		jiɐŋ453
				鴦		jiɐŋ453
				羊		jiɐŋ231
				佯		jiɐŋ231
				徉		jiɐŋ231
				洋		jiɐŋ231
				烊	融化	jiɐŋ24
				陽		jiɐŋ231
				揚		jiɐŋ231
				楊		jiɐŋ231
				暘		jiɐŋ231
				煬		jiɐŋ231
				瘍		jiɐŋ231
				颺		jiɐŋ231
				仰		ȵiɐŋ24
				炴		ŋœŋ445
				氧		jiɐŋ24
				養		jiɐŋ24
				癢		jiɐŋ24
				恙		jiɐŋ312
				漾		jiɐŋ312
				樣		jiɐŋ312
				幺		ʔiu453
				夭		ʔiu453
				吆		ʔiu453
				吆		wau445
				妖		ʔiu445
				腰		ʔiu453
				邀		ʔiu453
				肴		ŋau231
				姚		ʔiu231
				堯		ȵiu231
				搖		ʔiu231
				窰		ʔiu231
				窯		ʔiu231
				餚		ŋau231
				謠		ʔiu231
				謠		ʔiu231
				咬		ŋau24
				舀		ʔiu24
				齩		ŋau24
				要	要求	ʔiu423
				要	重要，需要	ʔiu423
				詏	言逆,同拗aau3	ʔau423
				藥		jiɐk312
				曜		ʔiu312
				耀		ʔiu312
				掖		ʔɪk312
				椰		jiɐ231
				噎		ʔit453
				耶		jiɐ231
				爺		jiɐ231
				也		jiɐ24
				冶		jiɐ24
				野		jiɐ24
				嘢		ȵe24
				夜		jiɐ312
				頁		ʔip45
				液		ʔɪk312
				葉	葉子	ʔip312
				腋		ʔɪk312
				腋		jɐk312
				業		ȵip312
				燁		ʔip312
				擖	（表面）擦刮劃碰	ŋat423
				一		jɐt453
				伊		ȵi453
				伊		ʔi453
				衣		ʔi453
				依		ʔi453
				揖		jɐp45
				壹	“一”的大寫.	jɐt453
				漪		ʔi453
				醫		ʔi453
				夷		ʔi231
				怡		ʔi231
				宜		ȵi231
				姨		ʔi231
				胰		ʔi231
				移		ʔi231
				貽		ʔi231
				飴		ʔi231
				疑		ȵi231
				遺	遺失	jui312
				儀		ȵi231
				頤		ʔi231
				嶷	九嶷山	ȵi231
				彝		ʔi231
				乙		ʔyt453
				已		ʔi24
				以		ʔi24
				倚		ʔi445
				椅		ʔi445
				蟻		ȵɐi24
				弋		ʔɪk312
				屹		ŋɐt312
				亦		ʔɪk312
				抑		ŋɪk453
				邑		jop45
				佚		jɐt312
				役		ʔɪk312
				易	難易	ʔi312
				易	變易又始也改也奪也轉也,姓	ʔɪk312
				弈		ʔɪk312
				奕		ʔɪk312
				疫		ʔɪk312
				羿		ŋʌi312
				益		ʔɪk453
				異		ʔi312
				逸		jɐt312
				翊		ʔɪk312
				翌		ʔɪk312
				軼		jɐt312
				裔		jui312
				意		ʔi423
				義		ȵi312
				溢		jɐt312
				蜴		ʔɪk312
				億		ʔɪk453
				誼		ȵi231
				毅		ŋʌi312
				懌		ʔɪk312
				憶		ʔɪk453
				翼		jɪk312
				藝		ŋʌi312
				繹		ʔɪk312
				譯		ʔɪk312
				議		ȵi445
				議		ȵi312
				懿		ʔi423
				懿		ʔi312
				驛		ʔɪk312
				因		jɐn453
				茵		jɐn453
				音		jɐm453
				洇		jɐn453
				姻		jɐn453
				氤		jɐn453
				殷		jɐn453
				陰		jɐm453
				蔭		jɐm453
				瘖	啞	ʔom24
				吟		ȵɐm231
				吟	嘮叨	ŋom312
				淫		ȵɐm231
				寅		jɐn231
				婬		ȵɐm231
				欽		jɐm453
				銀		ŋɐn231
				膶		ȵɐn312
				霪		ȵɐm231
				齦		ŋɐn231
				尹		wɐn24
				引		jɐn24
				蚓		ȵɐn445
				飲	飲泣,飲恨,飲食	ȵɐm445
				隱		jɐn445
				癮		jɐn24
				印		jɐn423
				垽		ŋɐn312
				英		ʔɪŋ453
				瑛		ʔɪŋ453
				嬰		ʔɪŋ453
				膺		ʔɪŋ453
				瀴		ŋɐŋ312
				瓔		ʔɪŋ453
				櫻		ʔɪŋ453
				鶯	黃鶯	ʔɐŋ453
				纓		ʔɪŋ453
				鷹		ʔɪŋ453
				鷹	白讀，如大鷹	ʔɐŋ453
				鸚		ʔɪŋ453
				迎		ŋɪŋ231
				盈		ŋɪŋ231
				熒	螢屏	wɪŋ231
				瑩		ʔɪŋ231
				瑩		ʔɪŋ231
				嬴		ʔɪŋ231
				螢		wɪŋ231
				營		wɪŋ231
				蠅		jɪŋ453
				蠅	蠅頭小利	jɐŋ231
				蠅	來自《蒼梧本地話音系》	ʃɪŋ231
				贏		ʔɪŋ231
				郢		tʃʰɪŋ423
				影		ʔɪŋ445
				穎		wɪŋ24
				映		ʔɪŋ445
				硬		ŋaŋ312
				應		ʔɪŋ453
				應		ʔɪŋ423
				邕		jʊŋ453
				傭		jʊŋ445
				雍		jʊŋ453
				擁		jʊŋ445
				擁		ʔʊŋ445
				壅		jʊŋ453
				壅		jʊŋ453
				壅		jʊŋ453
				臃		jʊŋ445
				鱅		fʊŋ231
				永		wɪŋ24
				甬		jʊŋ445
				泳		wɪŋ24
				俑		jʊŋ445
				勇		jʊŋ445
				埇		tʃʰʊŋ453
				涌	河汊	tʃʰʊŋ453
				詠		wɪŋ24
				湧		jʊŋ445
				蛹		jʊŋ445
				踊		jʊŋ445
				慂		jʊŋ445
				用		jʊŋ312
				攸		jɐu231
				幽		jɐu453
				悠		ȵɐu231
				憂		jɐu453
				優		jɐu453
				尤		jɐu231
				由		jɐu231
				油		jɐu231
				郵		jɐu231
				猶		jɐu231
				遊	遊戲,遊說,遊覽	jɐu231
				游	游泳,游離,遊刃有餘,姓	jɐu231
				猷		jɐu231
				蝣		jɐu231
				魷		jɐu231
				友		jɐu24
				有		jɐu24
				酉		jɐu24
				莠		jɐu24
				又		jɐu312
				右		jɐu312
				幼		jɐu423
				佑		jɐu312
				柚		jɐu312
				祐		jɐu312
				釉		jɐu312
				誘		jɐu423
				鼬		jɐu312
				淤		ʔy445
				于		ʔy453
				余		ʔy231
				盂		ʔy231
				於		ʔy453
				禺		ȵy231
				兪		ʔy231
				娛		ȵy231
				萸		ʔy231
				魚		ȵy231
				逾		ʔy312
				腴		ʔy231
				渝		ʔy231
				愉		ʔy231
				瑜		ʔy231
				榆		ʔy231
				虞		ȵy231
				愚		ȵy231
				漁		ȵy231
				餘		ʔy231
				諛		ʔy231
				踰		ʔy231
				覦		ʔy231
				輿		ʔy231
				予	給予,賜也又賦	ʔy24
				宇		ʔy24
				宇	〔屋～〕家裏	ʔyu445
				羽		ʔy24
				雨		ʔy24
				雨		ʔy24
				禹		ʔy24
				與		ʔy24
				語		ȵy24
				嶼		ʔy24
				玉		ȵʊk312
				芋		ʔu312
				郁	鬱秀,馥鬱,濃鬱,香氣濃烈；文采豐盛	jʊk453
				育		jʊk312
				昱		jʊk453
				㤢		ȵʊk453
				彧		jʊk453
				峪		jʊk312
				浴		jʊk312
				域		wɪk312
				欲		jʊk312
				逳	步也轉也行也,動,疑為喐juk1本字	ȵʊk453
				㥔		ȵʊk453
				馭		ʔy312
				遇		ȵy312
				喻		ʔy312
				御	駕禦,禦賜	ȵy312
				寓		ȵy312
				裕		ʔy312
				鈺		ȵʊk312
				愈	病癒	ʔy312
				煜		jʊk453
				預	給別人準備,留著	ʔy312
				毓		jʊk312
				獄		jʊk312
				慾		jʊk312
				豫		ʔy312
				諭		ʔy312
				禦	禦寒,放禦	ȵy312
				譽		ʔy312
				鬱	鬱悶,鬱積,鬱抑	wɐt453
				爩		wɐt453
				冤		ʔyn453
				涴		wo423
				淵		ʔyn453
				鴛		ʔyn453
				元		ʔyn231
				袁		ʔyn231
				原		ȵyn231
				員		ʔyn231
				援		ʔun24
				園		ʔyn231
				圓		ʔyn231
				猿		ʔyn231
				源		ȵyn231
				緣		ʔyn231
				轅		ʔyn231
				遠		ʔyn24
				苑		ʔyn312
				怨		ʔyn423
				院		ʔyn312
				媛		ʔun24
				媛		ʔun24
				願		ȵyn312
				曱		fat423
				約		ʔiɐk453
				月		ȵyt312
				玥		ȵyt312
				岳		ŋœk312
				悅		ʔyt312
				越		ʔyt312
				粵		ʔyt312
				閱		ʔyt312
				樂	快樂	lœk312
				樂	音樂	ŋœk312
				嶽		ŋœk312
				躍		jœk423
				暈		wɐn231
				云	說話引文,文言助詞	wɐn231
				勻		jɐn231
				芸		wɐn231
				耘		wɐn231
				紜		wɐn231
				雲	白雲,雲南省的簡稱,比喻多,姓	wɐn231
				蕓		wɐn231
				允		wɐn24
				隕		wɐn24
				殞		wɐn24
				孕		jɐn312
				運		wɐn312
				蘊		wɐn312
				韻		wɐn312
				匝		tʃap312
				𢶍		fap423
				雜		fap312
				災		tœ453
				哉		tœ453
				栽		tœ453
				仔		tʌi445
				仔		ti445
				宰		tœ445
				載	記載	tœ423
				載	載重	tœ423
				載	滿載	tœ423
				再		tœ423
				在		fœ24
				簪		tam453
				攢	積攢	tan445
				暫		fam312
				贊		tan423
				灒	用水揮灑	fan312
				讚		tan423
				臧		tœŋ453
				贓		tœŋ453
				髒	汙	tœŋ453
				葬		tœŋ423
				臟	身體的內部器官	fœŋ312
				遭		to453
				糟		to453
				鑿		fœk312
				早		to445
				蚤		to445
				棗		to445
				澡		to445
				藻		tʰo423
				皁		to423
				灶		to423
				造		fo24
				造	兩～禾，早～晚～	fo312
				噪		tʰo423
				燥		tʰo423
				躁		tʰo423
				則		tɐk453
				責		tʃak423
				擇		tʃak312
				澤		ʃak312
				仄	平仄	tʃɐk453
				昃		tʃɐk453
				賊		fɐk312
				增		tɐŋ453
				憎		tɐŋ453
				罾		tɐŋ453
				甑		tɐŋ423
				贈		fɐŋ312
				吒		tʃa453
				紮		tʃat423
				揸		tʃa453
				摣		tʃa453
				喳		tʃa423
				渣		tʃa453
				樝		tʃa453
				札		tʃat423
				閘		tʃap312
				牐	古同“閘”	tʃap312
				煠	熬煮	ʃap312
				鍘	鍘刀	tʃap312
				眨		jap423
				乍		tʃa423
				柞		fœk312
				炸		tʃa423
				痄		tʃa423
				蚱		tʃa423
				詐		tʃa423
				搾		tʃa423
				榨		tʃa423
				摘		tʃak423
				摘		tʃak453
				齋		tʃai453
				宅		ʃak312
				窄		tʃak423
				砦		ʃai312
				債		tʃai423
				寨		ʃai312
				沾		tʃim453
				粘		tʃim453
				詹		tʃim453
				霑		tʃim453
				氈		tʃin453
				瞻		tʃim453
				展		tʃʰin445
				展		tʃin445
				斬		tʃam445
				盞		tʃan445
				嶄		tʃam423
				占	占卜	tʃim453
				佔		tʃim423
				站	車站	tʃam312
				站	站立	tʃam312
				棧		tʃan312
				湛		tʃam423
				綻		tʃan312
				戰		tʃin445
				驏		tʃam423
				章		tʃiɐŋ453
				張		tʃiɐŋ453
				鄣		tʃiɐŋ453
				獐		tʃiɐŋ453
				彰		tʃiɐŋ453
				漳		tʃiɐŋ453
				嫜		tʃiɐŋ453
				璋		tʃiɐŋ453
				樟		tʃiɐŋ453
				蟑		tʃiɐŋ453
				麞		tʃiɐŋ453
				掌		tʃiɐŋ445
				漲		tʃiɐŋ445
				丈		ʃiɐŋ24
				仗	打仗	tʃiɐŋ423
				杖		ʃiɐŋ24
				帳		tʃiɐŋ423
				脹		tʃiɐŋ423
				障		tʃiɐŋ423
				嶂		tʃiɐŋ423
				幛		tʃiɐŋ423
				賬		tʃiɐŋ423
				瘴		tʃiɐŋ423
				招		tʃiu453
				昭		tʃʰiu453
				釗		tʃʰiu453
				爪		ȵau445
				找		tʃau445
				沼		ʃiu312
				召		ʃiu312
				兆		ʃiu312
				笊		tʃau445
				棹		tʃau312
				櫂		tʃau312
				詔		tʃiu423
				照		tʃiu423
				罩		tʃau423
				趙		ʃiu24
				肇		ʃiu231
				㷹	油炸	tʃau423
				遮		tʃiɐ453
				摺	摺疊、存摺	tʃip45
				折	折斷、骨折	tʃit453
				折	折本	ʃit312
				哲		tʃit453
				喆		tʃit453
				蟄	驚蟄	ʃɪk312
				轍		tʃit453
				者		tʃiɐ445
				褶	皺褶	ȵip45
				這		tʃia312
				浙		tʃit453
				蔗		tʃiɐ423
				鷓		tʃiɐ312
				珍		tʃɐn453
				貞		tʃɪŋ453
				真		tʃɐn453
				砧		tʃɐm453
				針		tʃɐm453
				眞		tʃɐn453
				偵		tʃɪŋ453
				斟		tʃɐm453
				楨		tʃɪŋ453
				禎		tʃɪŋ453
				榛		tɐn453
				禛		tʃɐn453
				箴		tʃɐm453
				臻		tɐn453
				枕	枕巾,枕頭,枕藉	tʃɐm445
				枕	動詞	tʃɐm445
				疹		tʃʰɐn445
				軫		tʃʰɐn445
				診		tʃʰɐn445
				圳		tʃɐn423
				陣		ʃɐn312
				陣		ʃɐn312
				振		tʃɐn423
				賑		tʃɐn423
				震		tʃɐn423
				鎮		tʃɐn423
				鎭		tʃɐn423
				征		tʃɪŋ453
				爭		tʃaŋ453
				㬹		tʃaŋ453
				掙		tʃaŋ453
				崢		tʃaŋ453
				猙		tʃaŋ453
				蒸		tʃɪŋ453
				蒸	白讀	tʃɐŋ453
				睜		tʃaŋ453
				鉦		tʃaŋ453
				箏		tʃaŋ453
				錚		tʃaŋ453
				拯		tʃɪŋ445
				掟		ɗɪŋ423
				整		tʃɪŋ445
				正		tʃɪŋ453
				正		tʃɪŋ423
				政		tʃɪŋ423
				症		tʃɪŋ423
				諍		tʃaŋ453
				鄭		tʃɪŋ312
				證		tʃɪŋ423
				之		tʃi453
				支		tʃi453
