音标	调类	字汇							
xaʊ	2	毫							
xaʊ	3	好							
xaʊ	5	号耗							
ŋaʊ	2	熬							
ŋaʊ	3	咬							
ŋaʊ	5	奥澳傲							
saʊ	1	烧稍骚							
saʊ	2	苕							
saʊ	3	少（很∽）扫							
saʊ	5	少（老∽）臊邵扫（∽把）							
tsaʊ	1	朝招糟							
tsaʊ	2	着							
tsaʊ	3	找早爪							
tsaʊ	5	照赵皂造（∽孽）							
tsʰaʊ	1	抄超							
tsʰaʊ	2	曹槽朝							
tsʰaʊ	3	吵草							
tsʰaʊ	5	造躁糙							
zaʊ	2	饶							
zaʊ	3	绕							
zaʊ	5	绕							
tiaʊ	1	刁叼							
tiaʊ	5	掉调吊							
tʰiaʊ	1	挑							
tʰiaʊ	2	条迢调（空∽） □（跑、逃之意）							
tʰiaʊ	3	斛（表示换之意）							
tʰiaʊ	5	跳							
niaʊ	2	聊辽							
niaʊ	3	了（∽解）鸟							
niaʊ	5	尿料							
piaʊ	1	标彪							
piaʊ	3	表							
pʰiaʊ	1	飘							
pʰiaʊ	2	瓢嫖							
pʰiaʊ	3	瞟							
pʰiaʊ	5	票							
miaʊ	1	喵							
miaʊ	2	苗描瞄							
miaʊ	3	秒							
miaʊ	5	妙							
tɕiaʊ	1	交浇胶教（∽书）焦礁骄娇椒							
tɕiaʊ	2	狡（白，形容聪明狡黠）							
tɕiaʊ	3	剿绞狡							
tɕiaʊ	5	觉叫较教（∽育）嚼							
tɕʰiaʊ	1	悄							
tɕʰiaʊ	2	桥乔荞瞧							
tɕʰiaʊ	3	巧							
tɕʰiaʊ	5	撬翘							
ɕiaʊ	1	肖消萧							
ɕiaʊ	2	淆							
ɕiaʊ	3	小							
ɕiaʊ	5	校笑孝酵（发∽）							
iaʊ	1	幺妖邀腰要（∽求）							
iaʊ	2	姚摇							
iaʊ	3	舀							
iaʊ	5	要跃耀							
təu	1	都兜							
təu	3	陡							
təu	5	豆凑（白）							
tʰəu	1	偷							
tʰəu	2	头							
tʰəu	3	抖							
tʰəu	5	透							
nəu	1	篓							
nəu	2	楼娄							
nəu	3	搂							
nəu	5	漏							
tsəu	1	州							
tsəu	3	走							
tsəu	5	咒							
tsʰəu	1	抽							
tsʰəu	2	愁							
tsʰəu	3	丑							
tsʰəu	5	凑臭骤（步∽）							
səu	1	收							
səu	3	手							
səu	5	廋							
zəu	2	柔揉							
xəu	1	齁							
xəu	2	猴							
xəu	3	吼							
xəu	5	后候							
fəu	3	否							
kiəu	1	勾钩							
kiəu	3	狗							
kiəu	5	够							
kʰiəu	1	抠							
kʰiəu	3	口							
kʰiəu	5	扣							
