	單字	ipa_調類	ipa_調值	注释
804	次	ʦʰei3	ʦʰei³³	
994	伺	ʦei6	ʦei⁵²	伺候
4804	伺			窺伺
761	刺	ʦʰi3	ʦʰi³³	又读ʦʰek⁴⁵;ʦʰei³³
805	賜	ʦʰei3	ʦʰei³³	
570	匆	ʦʰuŋ1	ʦʰuŋ⁴⁵	
571	囪	ʦʰuŋ1	ʦʰuŋ⁴⁵	
572	蔥	ʦʰuŋ1	ʦʰuŋ⁴⁵	
296	樅	ʦuŋ1	ʦuŋ⁴⁵	
573	聰	ʦʰuŋ1	ʦʰuŋ⁴⁵	
559	從	ʦʰuŋ4	ʦʰuŋ³¹	從容
563	從	ʦʰuŋ4	ʦʰuŋ³¹	跟從
4835	從			從兄弟
297	淙	ʦuŋ1	ʦuŋ⁴⁵	
560	叢	ʦʰuŋ4	ʦʰuŋ³¹	
824	湊	ʦʰɐu3	ʦʰɐu³³	
666	粗	ʦʰou1	ʦʰou⁴⁵	
587	促	ʦʰuk7	ʦʰuk⁴⁵	
548	猝	ʦʰut9	ʦʰut⁵²	
656	醋	ʦʰou3	ʦʰou³³	
588	簇	ʦʰuk7	ʦʰuk⁴⁵	
5210	蹙			
5211	蹴			
5212	汆			
1798	篡	san3	san³³	
576	竄	ʦʰun3	ʦʰun³³	
608	崔	ʦʰui1	ʦʰui⁴⁵	
609	催	ʦʰui1	ʦʰui⁴⁵	
610	摧	ʦʰui1	ʦʰui⁴⁵	
611	璀	ʦʰui1	ʦʰui⁴⁵	
600	脆	ʦʰui3	ʦʰui³³	
601	萃	ʦʰui3	ʦʰui³³	
4891	啐			
4892	啐			
4893	啐			
602	淬	ʦʰui3	ʦʰui³³	
592	悴	ʦʰui5	ʦʰui³¹²	又读ʦʰui³³
603	粹	ʦʰui3	ʦʰui³³	
604	翠	ʦʰui3	ʦʰui³³	
581	村	ʦʰun1	ʦʰun⁴⁵	
4894	皴			
574	存	ʦʰun4	ʦʰun³¹	
5213	忖			
577	寸	ʦʰun3	ʦʰun³³	
648	搓	ʦʰuɔ1	ʦʰuɔ⁴⁵	
649	磋	ʦʰuɔ1	ʦʰuɔ⁴⁵	
552	撮	ʦʰut8	ʦʰut³	
650	蹉	ʦʰuɔ1	ʦʰuɔ⁴⁵	
4895	矬			
640	挫	ʦʰuɔ3	ʦʰuɔ³³	
4896	莝			
5214	厝			
657	措	ʦʰou3	ʦʰou³³	
641	銼	ʦʰuɔ3	ʦʰuɔ³³	
642	錯	ʦʰuɔ3	ʦʰuɔ³³	錯誤
643	錯	ʦʰuɔ3	ʦʰuɔ³³	交錯
4823	錯			同「措」
1520	耷	tap8	tap³	
1521	搭	tap8	tap³	
1419	沓	tʰap9	tʰap⁵²	又读tʰap³
1518	達	tat9	tat⁵²	
1522	答	tap8	tap³	
1581	打	ta2	ta³²³	
1582	打	ta1	ta⁴⁵	量词
1565	大	tai6	tai⁵²	
2248	呆	ŋuɔi4	ŋuɔi³¹	
2249	獃	ŋuɔi4	ŋuɔi³¹	
1578	歹	tai2	tai³²³	
1560	逮	tɐi6	tɐi⁵²	
1579	傣	tai2	tai³²³	
1201	代	tuɔi6	tuɔi⁵²	
5215	岱			
5216	殆			
1202	待	tuɔi6	tuɔi⁵²	
1203	怠	tuɔi6	tuɔi⁵²	
1570	帶	tai3	tai³³	
1204	袋	tuɔi6	tuɔi⁵²	
1470	貸	tʰai3	tʰai³³	
1571	戴	tai3	tai³³	
1205	黛	tuɔi6	tuɔi⁵²	
1546	丹	tan1	tan⁴⁵	
1554	眈	tam1	tam⁴⁵	
1555	耽	tam1	tam⁴⁵	
1548	單	tan1	tan⁴⁵	單純
1638	單	sin6	sin⁵²	單姓
4792	單			單于
4897	鄲			
1547	殫	tan1	tan⁴⁵	
5217	撣			
1552	擔	tam3	tam³³	重擔
1556	擔	tam1	tam⁴⁵	擔水
1553	膽	tam2	tam³²³	
1539	旦	tan3	tan³³	元旦
1540	旦	tan3	tan³³	花旦
1534	但	tan6	tan⁵²	
1449	淡	tʰam5	tʰam³¹²	白讀
1549	淡	tam6	tam⁵²	冷淡
1535	蛋	tan6	tan⁵²	
1550	氮	tam6	tam⁵²	
1541	誕	tan3	tan³³	
1536	憚	tan6	tan⁵²	
1430	彈	tʰan6	tʰan⁵²	彈丸
1537	彈	tan4	tan³¹	彈劾
1551	澹	tam6	tam⁵²	
1190	當	tuɔŋ3	tuɔŋ³³	適當
1196	當	tuɔŋ1	tuɔŋ⁴⁵	當然
1197	噹	tuɔŋ1	tuɔŋ⁴⁵	
851	鐺	ʦʰɐŋ1	ʦʰɐŋ⁴⁵	瓦鐺
1329	鐺	tʰuɔŋ1	tʰuɔŋ⁴⁵	鐺鐺
1191	擋	tuɔŋ2	tuɔŋ³²³	摒擋
1192	擋	tuɔŋ2	tuɔŋ³²³	阻擋
1193	檔	tuɔŋ2	tuɔŋ³²³	
1194	檔	tuɔŋ2	tuɔŋ³²³	
1195	黨	tuɔŋ2	tuɔŋ³²³	
1187	宕	tuɔŋ6	tuɔŋ⁵²	
1188	蕩	tuɔŋ6	tuɔŋ⁵²	
1189	盪	tuɔŋ6	tuɔŋ⁵²	
1235	刀	tou1	tou⁴⁵	
1236	叨	tou1	tou⁴⁵	叨擾
1375	叨	tʰou1	tʰou⁴⁵	嘮叨
1227	島	tou2	tou³²³	
1228	搗	tou2	tou³²³	
1214	導	tou6	tou⁵²	
1229	擣	tou2	tou³²³	
1215	蹈	tou6	tou⁵²	舞蹈
1376	蹈	tʰou1	tʰou⁴⁵	重蹈覆辙
1230	禱	tou2	tou³²³	
1224	到	tou3	tou³³	
1225	倒	tou3	tou³³	
1231	倒	tou2	tou³²³	
1216	悼	tou6	tou⁵²	
1217	道	tou6	tou⁵²	
1218	盜	tou6	tou⁵²	
1219	稻	tou6	tou⁵²	
1558	得	tɐk7	tɐk⁴⁵	
1559	德	tɐk7	tɐk⁴⁵	
1503	地	tei6	tei⁵²	
1499	的	tek7	tek⁴⁵	
4898	扽			
1528	登	tɐŋ1	tɐŋ⁴⁵	
1529	燈	tɐŋ1	tɐŋ⁴⁵	
1523	蹬	tɐŋ6	tɐŋ⁵²	
1527	等	tɐŋ2	tɐŋ³²³	
1526	凳	tɐŋ3	tɐŋ³³	
1524	鄧	tɐŋ6	tɐŋ⁵²	
1525	瞪	tɐŋ4	tɐŋ³¹	
1530	鐙	tɐŋ1	tɐŋ⁴⁵	
1580	低	tɐi1	tɐi⁴⁵	
1460	堤	tʰɐi4	tʰɐi³¹	
1500	滴	tek7	tek⁴⁵	
1493	狄	tek9	tek⁵²	
1494	迪	tek9	tek⁵²	
1495	荻	tek9	tek⁵²	
1281	笛	tiɛk9	tiɛk⁵²	
1496	滌	tek9	tek⁵²	
5218	嘀			
1501	嫡	tek7	tek⁴⁵	
1502	嫡	tek7	tek⁴⁵	
1119	翟	ʦɐk9	ʦɐk⁵²	翟姓
4899	翟			翟羽
1497	敵	tek9	tek⁵²	
1498	糴	tek9	tek⁵²	
1572	邸	tɐi2	tɐi³²³	
1573	抵	tɐi2	tɐi³²³	
1574	底	tɐi2	tɐi³²³	
1575	柢	tɐi2	tɐi³²³	
1576	牴	tɐi2	tɐi³²³	
1577	詆	tɐi2	tɐi³²³	
1561	弟	tɐi6	tɐi⁵²	
1566	帝	tɐi3	tɐi³³	
1459	娣	tʰɐi5	tʰɐi³¹²	又读tɐi⁵²
4784	娣			
1562	第	tɐi6	tɐi⁵²	
1567	蒂	tɐi3	tɐi³³	
1475	睇	tʰɐi2	tʰɐi³²³	
1563	遞	tɐi6	tɐi⁵²	
5219	碲			
1568	締	tɐi3	tɐi³³	
1569	諦	tɐi3	tɐi³³	
1270	掂	tim6	tim⁵²	
1267	顛	tin1	tin⁴⁵	
1268	巔	tin1	tin⁴⁵	
1269	癲	tin1	tin⁴⁵	
1264	典	tin2	tin³²³	
1265	碘	tin2	tin³²³	
1271	踮	tim3	tim³³	
1275	點	tim2	tim³²³	
1262	佃	tin4	tin³¹	佃作
1388	佃	tʰin6	tʰin⁵²	佃農
1256	甸	tin6	tin⁵²	
1272	店	tim3	tim³³	
1273	玷	tim3	tim³³	
1274	惦	tim3	tim³³	
1257	奠	tin6	tin⁵²	
1258	電	tin6	tin⁵²	
1259	殿	tin6	tin⁵²	
1263	墊	tin3	tin³³	
1260	靛	tin6	tin⁵²	
1261	澱	tin6	tin⁵²	
4900	簟			
1245	刁	tiu1	tiu⁴⁵	
1246	叼	tiu1	tiu⁴⁵	
1247	凋	tiu1	tiu⁴⁵	
1248	貂	tiu1	tiu⁴⁵	
1249	雕	tiu1	tiu⁴⁵	
1250	鵰	tiu1	tiu⁴⁵	
4901	鯛			
1244	屌	tiu2	tiu³²³	
1241	弔	tiu3	tiu³³	
1242	吊	tiu3	tiu³³	
1238	掉	tiu6	tiu⁵²	
1243	釣	tiu3	tiu³³	
1240	調	tiu4	tiu³¹	調味
1379	調	tʰiu6	tʰiu⁵²	調動又读tiu³¹
1284	爹	tiɛ1	tiɛ⁴⁵	
1254	跌	tit8	tit³	
1252	迭	tit9	tit⁵²	
1276	喋	tiɐp9	tiɐp⁵²	
1277	牒	tiɐp9	tiɐp⁵²	
1278	碟	tiɐp9	tiɐp⁵²	
1279	蝶	tiɐp9	tiɐp⁵²	
1280	諜	tiɐp9	tiɐp⁵²	
1255	疊	tip9	tip⁵²	
1488	丁	teŋ1	teŋ⁴⁵	
1489	仃	teŋ1	teŋ⁴⁵	
1490	叮	teŋ1	teŋ⁴⁵	
1491	盯	teŋ1	teŋ⁴⁵	
5220	町			町畦
5221	町			畹町，地名
5222	疔			
4902	酊			
1492	釘	teŋ1	teŋ⁴⁵	
5223	靪			
1486	頂	teŋ2	teŋ³²³	
1487	鼎	teŋ2	teŋ³²³	
1483	定	teŋ6	teŋ⁵²	
1484	訂	teŋ6	teŋ⁵²	
5224	腚			
1485	錠	teŋ6	teŋ⁵²	
1251	丟	tiu1	tiu⁴⁵	
1163	冬	tuŋ1	tuŋ⁴⁵	
1164	東	tuŋ1	tuŋ⁴⁵	
1165	咚	tuŋ1	tuŋ⁴⁵	
5225	鼕			
5226	鶇			
1161	董	tuŋ2	tuŋ³²³	
1162	懂	tuŋ2	tuŋ³²³	
4903	侗			
5227	侗			倥侗
5228	侗			侗族
1156	洞	tuŋ6	tuŋ⁵²	
1159	凍	tuŋ3	tuŋ³³	
1157	動	tuŋ6	tuŋ⁵²	
1160	棟	tuŋ3	tuŋ³³	
1237	都	tou1	tou⁴⁵	
1515	兜	tɐu1	tɐu⁴⁵	
1510	抖	tɐu2	tɐu³²³	
1511	陡	tɐu2	tɐu³²³	
1512	蚪	tɐu2	tɐu³²³	
1513	斗	tɐu2	tɐu³²³	
1504	豆	tɐu6	tɐu⁵²	
1505	荳	tɐu6	tɐu⁵²	
1506	逗	tɐu6	tɐu⁵²	
1509	鬥	tɐu3	tɐu³³	
1507	痘	tɐu6	tɐu⁵²	
1508	竇	tɐu6	tɐu⁵²	
1181	督	tuk7	tuk⁴⁵	
5229	嘟			
1175	毒	tuk9	tuk⁵²	
1176	獨	tuk9	tuk⁵²	
1177	瀆	tuk9	tuk⁵²	
1178	犢	tuk9	tuk⁵²	
1179	牘	tuk9	tuk⁵²	
1180	讀	tuk9	tuk⁵²	朗讀
4837	讀			句讀
1232	堵	tou2	tou³²³	
1233	睹	tou2	tou³²³	
1234	賭	tou2	tou³²³	
1182	篤	tuk7	tuk⁴⁵	
1220	杜	tou6	tou⁵²	
1354	肚	tʰou5	tʰou³¹²	
1226	妒	tou3	tou³³	
1198	度	tuɔk9	tuɔk⁵²	量度
1221	度	tou6	tou⁵²	度量衡
1222	渡	tou6	tou⁵²	
1223	鍍	tou6	tou⁵²	
4904	蠹			
1173	端	tun1	tun⁴⁵	
1172	短	tun2	tun³²³	
1166	段	tun6	tun⁵²	
1167	椴	tun6	tun⁵²	
1168	緞	tun6	tun⁵²	
1169	鍛	tun6	tun⁵²	
1170	斷	tun6	tun⁵²	恩斷義絕，白读tun³¹²
1171	斷	tun6	tun⁵²	診斷
1301	斷	tʰun5	tʰun³¹²	白讀
1186	堆	tui1	tui⁴⁵	
1183	兌	tui6	tui⁵²	
1184	隊	tui6	tui⁵²	
4905	碓			
1185	對	tui3	tui³³	
1543	敦	tɐn1	tɐn⁴⁵	
1544	墩	tɐn1	tɐn⁴⁵	又读tɐn³²³
1545	噸	tɐn1	tɐn⁴⁵	
1538	燉	tɐn3	tɐn³³	
1174	蹲	tun1	tun⁴⁵	
1542	盹	tɐn2	tɐn³²³	
4906	囤			
1531	沌	tɐn6	tɐn⁵²	
1431	盾	tʰɐn5	tʰɐn³¹²	
1532	遁	tɐn6	tɐn⁵²	
1432	鈍	tʰɐn5	tʰɐn³¹²	
1533	頓	tɐn6	tɐn⁵²	安頓
5230	頓			冒頓
1213	多	tuɔ1	tuɔ⁴⁵	
553	咄	ʦʰut8	ʦʰut³	
554	掇	ʦʰut8	ʦʰut³	
4907	掇			掂掇
1155	奪	tut9	tut⁵²	
1199	踱	tuɔk9	tuɔk⁵²	
1200	鐸	tuɔk9	tuɔk⁵²	
1210	朵	tuɔ2	tuɔ³²³	
1206	垛	tuɔ6	tuɔ⁵²	
1211	躲	tuɔ2	tuɔ³²³	
1207	剁	tuɔ6	tuɔ⁵²	
1344	舵	tʰuɔ4	tʰuɔ³¹	
1208	惰	tuɔ6	tuɔ⁵²	
1212	跺	tuɔ2	tuɔ³²³	
1209	墮	tuɔ6	tuɔ⁵²	
21	屙	ʔuɔ1	ʔuɔ⁴⁵	
2253	俄	ŋuɔ4	ŋuɔ³¹	
2254	峨	ŋuɔ4	ŋuɔ³¹	
2255	娥	ŋuɔ4	ŋuɔ³¹	
2256	訛	ŋuɔ4	ŋuɔ³¹	
2257	蛾	ŋuɔ4	ŋuɔ³¹	
2258	鵝	ŋuɔ4	ŋuɔ³¹	
2289	額	ŋɐk9	ŋɐk⁵²	
49	厄	ʔɐk7	ʔɐk⁴⁵	
50	扼	ʔɐk7	ʔɐk⁴⁵	
51	呃	ʔɐk7	ʔɐk⁴⁵	
10	堊	ʔuɔk8	ʔuɔk³	
52	軛	ʔɐk7	ʔɐk⁴⁵	
2238	鄂	ŋuɔk9	ŋuɔk⁵²	
11	惡	ʔuɔk8	ʔuɔk³	惡毒
143	惡	wu3	wu³³	可惡
4844	惡			惡乎
4908	遏			
2239	愕	ŋuɔk9	ŋuɔk⁵²	
2250	餓	ŋuɔ6	ŋuɔ⁵²	
274	噩	uɔk8	uɔk³	
2240	諤	ŋuɔk9	ŋuɔk⁵²	
2241	顎	ŋuɔk9	ŋuɔk⁵²	
2242	齶	ŋuɔk9	ŋuɔk⁵²	
2243	鱷	ŋuɔk9	ŋuɔk⁵²	
4250	恩	jɐn1	jɐn⁴⁵	
2358	而	ȵi4	ȵi³¹	
2359	兒	ȵi4	ȵi³¹	
2352	耳	ȵi5	ȵi³¹²	
2353	爾	ȵi5	ȵi³¹²	
2354	餌	ȵi5	ȵi³¹²	又读nei³¹²
5231	邇			
2367	二	ȵi3	ȵi³³	
2350	貳	ȵi6	ȵi⁵²	
4707	發	fat8	fat³	
4760	廢	fɐi3	fɐi³³	
4703	乏	fat9	fat⁵²	
4704	伐	fat9	fat⁵²	
4705	筏	fat9	fat⁵²	
4706	罰	fat9	fat⁵²	
4708	法	fat8	fat³	
4709	砝	fat8	fat³	
4710	髮	fat8	fat³	
4727	帆	fan4	fan³¹	
4756	番	fan1	fan⁴⁵	
5232	蕃			蕃盛
5233	蕃			吐蕃
4757	藩	fan1	fan⁴⁵	
4758	翻	fan1	fan⁴⁵	
4728	凡	fan4	fan³¹	
4729	煩	fan4	fan³¹	
4730	樊	fan4	fan³¹	
4731	繁	fan4	fan³¹	
4909	礬			
4740	反	fan2	fan³²³	
4741	返	fan2	fan³²³	
4717	犯	fan6	fan⁵²	
4732	氾	fan4	fan³¹	氾姓
4736	氾	fan3	fan³³	氾濫
4737	泛	fan3	fan³³	
4718	范	fan6	fan⁵²	
4719	梵	fan6	fan⁵²	
4738	販	fan3	fan³³	
4720	飯	fan6	fan⁵²	
4721	範	fan6	fan⁵²	
4625	方	fuɔŋ1	fuɔŋ⁴⁵	
4626	坊	fuɔŋ1	fuɔŋ⁴⁵	堤坊
4627	坊	fuɔŋ1	fuɔŋ⁴⁵	街坊
4628	芳	fuɔŋ1	fuɔŋ⁴⁵	
4614	防	fuɔŋ4	fuɔŋ³¹	
4615	妨	fuɔŋ4	fuɔŋ³¹	
4629	肪	fuɔŋ1	fuɔŋ⁴⁵	
4616	房	fuɔŋ4	fuɔŋ³¹	
4910	魴			
4618	仿	fuɔŋ2	fuɔŋ³²³	
4911	倣			
4619	舫	fuɔŋ2	fuɔŋ³²³	
4620	紡	fuɔŋ2	fuɔŋ³²³	
4621	訪	fuɔŋ2	fuɔŋ³²³	
4617	放	fuɔŋ3	fuɔŋ³³	
4689	妃	fei1	fei⁴⁵	
4690	非	fei1	fei⁴⁵	
4691	飛	fei1	fei⁴⁵	
4681	菲	fei2	fei³²³	菲薄
4692	菲	fei1	fei⁴⁵	芳菲
4679	啡	fiɛ1	fiɛ⁴⁵	
4693	扉	fei1	fei⁴⁵	
4682	緋	fei2	fei³²³	
4694	霏	fei1	fei⁴⁵	
4680	肥	fei4	fei³¹	
4683	匪	fei2	fei³²³	
4684	悱	fei2	fei³²³	
4685	斐	fei2	fei³²³	
4912	榧			
4686	翡	fei2	fei³²³	
4687	誹	fei2	fei³²³	
5234	芾			蔽芾
5235	芾			芾芾
4759	吠	fɐi6	fɐi⁵²	
4761	肺	fɐi3	fɐi³³	
4762	狒	fɐi3	fɐi³³	又读fɐt⁵²
4763	沸	fɐi3	fɐi³³	俗读fɐt⁵²
4764	費	fɐi3	fɐi³³	
1875	痱	pui6	pui⁵²	
4715	分	fɐn6	fɐn⁵²	本分
4742	分	fɐn1	fɐn⁴⁵	分開
4743	芬	fɐn1	fɐn⁴⁵	
4744	吩	fɐn1	fɐn⁴⁵	
4745	氛	fɐn1	fɐn⁴⁵	
4746	紛	fɐn1	fɐn⁴⁵	
4913	雰			
4725	焚	fɐn4	fɐn³¹	
4914	豶			
4739	粉	fɐn2	fɐn³²³	
4716	份	fɐn6	fɐn⁵²	
4722	忿	fɐn5	fɐn³¹²	又读fɐn⁵²
4726	墳	fɐn4	fɐn³¹	
4723	憤	fɐn5	fɐn³¹²	
4724	奮	fɐn5	fɐn³¹²	
4733	糞	fɐn3	fɐn³³	
4575	丰	fuŋ1	fuŋ⁴⁵	
4915	肨			
4576	封	fuŋ1	fuŋ⁴⁵	
4577	風	fuŋ1	fuŋ⁴⁵	
4578	峰	fuŋ1	fuŋ⁴⁵	
4579	烽	fuŋ1	fuŋ⁴⁵	
4580	楓	fuŋ1	fuŋ⁴⁵	
4581	蜂	fuŋ1	fuŋ⁴⁵	
4582	瘋	fuŋ1	fuŋ⁴⁵	
4583	鋒	fuŋ1	fuŋ⁴⁵	
4584	豐	fuŋ1	fuŋ⁴⁵	
4570	逢	fuŋ4	fuŋ³¹	
4571	馮	fuŋ4	fuŋ³¹	馮姓
5236	馮			暴虎馮河
4566	縫	fuŋ6	fuŋ⁵²	裂縫
4572	縫	fuŋ4	fuŋ³¹	裁縫
4573	諷	fuŋ3	fuŋ³³	
4567	奉	fuŋ6	fuŋ⁵²	
4568	俸	fuŋ6	fuŋ⁵²	
4569	鳳	fuŋ6	fuŋ⁵²	
4698	否	fɐu2	fɐu³²³	否定
5237	否			否極泰來
4672	夫	fu1	fu⁴⁵	農夫
5238	夫			古代指示詞、代詞、助詞
5239	跗			
4673	孵	fu1	fu⁴⁵	白读pou⁵²
4916	麩			
4674	敷	fu1	fu⁴⁵	
4675	膚	fu1	fu⁴⁵	
4699	弗	fɐt9	fɐt⁵²	
4595	伏	fuk9	fuk⁵²	
4649	扶	fu4	fu³¹	
4650	芙	fu4	fu³¹	
4700	佛	fɐt9	fɐt⁵²	佛教
4711	佛	fɐt7	fɐt⁴⁵	仿佛
4676	孚	fu1	fu⁴⁵	
4701	拂	fɐt9	fɐt⁵²	白读pʰɐt⁵²
4651	苻	fu4	fu³¹	
4702	彿	fɐt9	fɐt⁵²	
4596	服	fuk9	fuk⁵²	
5240	氟			
4677	俘	fu1	fu⁴⁵	
4697	浮	fɐu4	fɐu³¹	白读pʰou³¹
4652	符	fu4	fu³¹	
5241	匐			
4597	袱	fuk9	fuk⁵²	
4600	幅	fuk7	fuk⁴⁵	
4601	福	fuk7	fuk⁴⁵	
4602	蝠	fuk7	fuk⁴⁵	
4603	輻	fuk7	fuk⁴⁵	
2008	甫	pʰou2	pʰou³²³	杜甫
4825	甫			台甫
4661	斧	fu2	fu³²³	白读pou³²³
4662	府	fu2	fu³²³	
4663	俯	fu2	fu³²³	
4664	釜	fu2	fu³²³	
4665	腑	fu2	fu³²³	
4639	輔	fu6	fu⁵²	
4640	腐	fu6	fu⁵²	
4666	撫	fu2	fu³²³	
4641	父	fu6	fu⁵²	
4642	付	fu6	fu⁵²	
4643	附	fu6	fu⁵²	
4654	咐	fu3	fu³³	
4695	阜	fɐu6	fɐu⁵²	
4644	赴	fu6	fu⁵²	
4645	負	fu6	fu⁵²	
1873	訃	puk7	puk⁴⁵	
4655	副	fu3	fu³³	
4648	婦	fu5	fu³¹²	
4646	傅	fu6	fu⁵²	師傅
5242	傅			傅粉施朱
4598	復	fuk9	fuk⁵²	又读fuk⁴⁵
4604	復	fuk7	fuk⁴⁵	回復
4656	富	fu3	fu³³	
4605	腹	fuk7	fuk⁴⁵	
4606	複	fuk7	fuk⁴⁵	
4647	駙	fu6	fu⁵²	
4657	賦	fu3	fu³³	
4633	縛	fuɔk9	fuɔk⁵²	
4607	覆	fuk7	fuk⁴⁵	
5243	馥			
3444	伽	kiɛ4	kiɛ³¹	伽藍
3663	伽	kʰa1	kʰa⁴⁵	瑜伽
3756	嘎	kat8	kat³	
3847	尬	kai3	kai³³	
3347	賅	kuɔi1	kuɔi⁴⁵	
3348	該	kuɔi1	kuɔi⁴⁵	
3346	改	kuɔi2	kuɔi³²³	
3487	丐	kʰuɔi3	kʰuɔi³³	
3488	鈣	kʰuɔi3	kʰuɔi³³	
3489	溉	kʰuɔi3	kʰuɔi³³	
3344	蓋	kuɔi3	kuɔi³³	杯蓋
3345	蓋	kuɔi3	kuɔi³³	覆蓋
3490	概	kʰuɔi3	kʰuɔi³³	
3828	甘	kɐm1	kɐm⁴⁵	
3330	杆	kuɔn1	kuɔn⁴⁵	
3331	肝	kuɔn1	kuɔn⁴⁵	
4917	泔			
3829	柑	kɐm1	kɐm⁴⁵	
3332	竿	kuɔn1	kuɔn⁴⁵	
3818	尷	kam3	kam³³	
3333	桿	kuɔn1	kuɔn⁴⁵	
3822	敢	kɐm2	kɐm³²³	
3328	稈	kuɔn2	kuɔn³²³	
3826	感	kam2	kam³²³	又读kɐm³²³
3329	趕	kuɔn2	kuɔn³²³	
3823	橄	kɐm2	kɐm³²³	
4918	擀			
3334	干	kuɔn1	kuɔn⁴⁵	
3327	幹	kuɔn3	kuɔn³³	
3273	贛	kuŋ3	kuŋ³³	江西省的簡稱
4838	贛			賜予
3317	肛	kuɔŋ1	kuɔŋ⁴⁵	
3318	岡	kuɔŋ1	kuɔŋ⁴⁵	
3319	缸	kuɔŋ1	kuɔŋ⁴⁵	
3320	罡	kuɔŋ1	kuɔŋ⁴⁵	
3321	剛	kuɔŋ1	kuɔŋ⁴⁵	
3322	崗	kuɔŋ1	kuɔŋ⁴⁵	
3323	綱	kuɔŋ1	kuɔŋ⁴⁵	
3310	鋼	kuɔŋ3	kuɔŋ³³	
3314	港	kuɔŋ2	kuɔŋ³²³	
3269	杠	kuŋ3	kuŋ³³	杠杆
3313	杠	kuɔŋ3	kuɔŋ³³	单杠
3311	槓	kuɔŋ3	kuɔŋ³³	
3377	高	kou1	kou⁴⁵	
3378	羔	kou1	kou⁴⁵	
3379	睪	kou1	kou⁴⁵	睪丸
5244	睪			伺視
3380	膏	kou1	kou⁴⁵	
3381	篙	kou1	kou⁴⁵	
3382	糕	kou1	kou⁴⁵	
3740	搞	kau2	kau³²³	
3375	稿	kou2	kou³²³	
3376	鎬	kou2	kou³²³	
3373	告	kou3	kou³³	報告
3374	告	kou3	kou³³	忠告
3494	戈	kʰuɔ1	kʰuɔ⁴⁵	
2862	咯	luɔ1	luɔ⁴⁵	助詞
5245	咯			咯咯笑
5246	咯			咯血
3354	哥	kuɔ1	kuɔ⁴⁵	
3336	胳	kuɔk8	kuɔk³	
3308	割	kuɔt8	kuɔt³	
3355	歌	kuɔ1	kuɔ⁴⁵	
3337	擱	kuɔk8	kuɔk³	
3763	鴿	kap8	kap³	
3832	革	kɐk7	kɐk⁴⁵	
3833	格	kɐk7	kɐk⁴⁵	
3309	葛	kuɔt8	kuɔt³	又读kuɔk³
3834	隔	kɐk7	kɐk⁴⁵	
5247	閤			邊門
5248	閤			閤眼
5249	閤			閤樓
3338	閣	kuɔk8	kuɔk³	
2834	骼	luɔk8	luɔk³	
3339	各	kuɔk8	kuɔk³	
3349	個	kuɔ3	kuɔ³³	
3340	鉻	kuɔk8	kuɔk³	
3533	給	kʰiɐp7	kʰiɐp⁴⁵	
3802	根	kɐn1	kɐn⁴⁵	
3803	跟	kɐn1	kɐn⁴⁵	
4919	艮			
3771	亙	kɐŋ2	kɐŋ³²³	
3776	庚	kɐŋ1	kɐŋ⁴⁵	
3777	耕	kɐŋ1	kɐŋ⁴⁵	
3778	羹	kɐŋ1	kɐŋ⁴⁵	
3772	埂	kɐŋ2	kɐŋ³²³	
3773	耿	kɐŋ2	kɐŋ³²³	
3774	哽	kɐŋ2	kɐŋ³²³	
3775	梗	kɐŋ2	kɐŋ³²³	
3769	更	kɐŋ3	kɐŋ³³	更加
3779	更	kɐŋ1	kɐŋ⁴⁵	更改
3780	更	kɐŋ1	kɐŋ⁴⁵	三更半夜
3277	工	kuŋ1	kuŋ⁴⁵	
3278	弓	kuŋ1	kuŋ⁴⁵	
3279	公	kuŋ1	kuŋ⁴⁵	
3280	功	kuŋ1	kuŋ⁴⁵	
3281	攻	kuŋ1	kuŋ⁴⁵	
3270	供	kuŋ3	kuŋ³³	供奉
3282	供	kuŋ1	kuŋ⁴⁵	提供
4920	肱			
3283	恭	kuŋ1	kuŋ⁴⁵	
3284	蚣	kuŋ1	kuŋ⁴⁵	
3285	躬	kuŋ1	kuŋ⁴⁵	
3286	宮	kuŋ1	kuŋ⁴⁵	
3271	汞	kuŋ3	kuŋ³³	
3274	拱	kuŋ2	kuŋ³²³	
3275	鞏	kuŋ2	kuŋ³²³	
3268	共	kuŋ6	kuŋ⁵²	
3272	貢	kuŋ3	kuŋ³³	
2273	勾	ŋɐu1	ŋɐu⁴⁵	勾劃
5250	勾			勾當
2274	鉤	ŋɐu1	ŋɐu⁴⁵	
3614	溝	kʰɐu1	kʰɐu⁴⁵	
3747	篝	kɐu1	kɐu⁴⁵	
3736	苟	kɐu2	kɐu³²³	
3737	狗	kɐu2	kɐu³²³	
3738	枸	kɐu2	kɐu³²³	
3603	垢	kʰɐu3	kʰɐu³³	
3728	夠	kɐu3	kɐu³³	
3604	搆	kʰɐu3	kʰɐu³³	
4921	彀			
3605	詬	kʰɐu3	kʰɐu³³	
4922	媾			
3606	構	kʰɐu3	kʰɐu³³	
3607	購	kʰɐu3	kʰɐu³³	
3366	估	ku2	ku³²³	估計
4839	估			估衣
3367	咕	ku1	ku⁴⁵	
3895	呱	ka1	ka⁴⁵	頂呱呱
4793	呱			呱呱墜地
3368	沽	ku1	ku⁴⁵	
3369	孤	ku1	ku⁴⁵	
3370	姑	ku1	ku⁴⁵	
3371	菇	ku1	ku⁴⁵	
3372	辜	ku1	ku⁴⁵	
