#漢字	音標	解釋
#簡稱	/	尤溪話
#全稱	/	尤溪城關話
#版本	/	2022-5-29
#聲母	/	#聲母順序，用逗號分開。如：b,p,m,f
#韻母	/	#韻母順序，用逗號分開。如：a,o,e
#聲調	/	阴平33 阳平12 上声55 阴去51 阳去42 入声24
#說明	/	參考資料：《尤溪方言志》，錄入人：阿纓
夫	pu1	白读，丈夫
缚	pu1	
蒲	pu2	
葡	pu2	
脯	pu2	胸～
菩	pu2	
斧	pu3	
补	pu3	
脯	pu3	
播	pu5	
布	pu5	
傅	pu5	姓
富	pu5	白读
部	pu6	
簿	pu6	
步	pu6	
孵	pu6	
妇	pu6	白读
剥	pu7	白读，～皮
埔	pʰu1	
铺	pʰu1	
跗	pʰu1	脚背
浮	pʰu2	
谱	pʰu3	
普	pʰu3	
甫	pʰu3	
铺	pʰu3	店～
摸	mu1	
模	mu2	
某	mu3	
亩	mu3	
母	mu3	
墓	mu5	
暮	mu6	
慕	mu6	
雾	mu6	
务	mu6	
戊	mu6	
姑	ku1	
菇	ku1	
辜	ku1	
枯	ku1	文读
糊	ku2	白读，浆～
古	ku3	
鼓	ku3	
估	ku3	
股	ku3	
故	ku5	
固	ku5	
顾	ku5	
雇	ku5	
舅	ku6	
旧	ku6	
枯	kʰu1	白读
箍	kʰu1	
苦	kʰu3	
裤	kʰu5	
库	kʰu5	
酷	kʰu5	
臼	kʰu6	
吴	ŋu2	
吾	ŋu2	
悟	ŋu2	
牛	ŋu2	
五	ŋu3	
伍	ŋu3	
午	ŋu3	
误	ŋu6	
悟	ŋu6	
五	ŋu6	
呼	xu1	
乎	xu1	
夫	xu1	文读
肤	xu1	
俘	xu1	
灰	xu1	白读
湖	xu2	
糊	xu2	～涂
浮	xu2	文读
胡	xu2	
狐	xu2	
弧	xu2	
壶	xu2	
扶	xu2	文读
符	xu2	
虎	xu3	
府	xu3	
俯	xu3	
赋	xu5	
赴	xu5	
讣	xu5	
付	xu5	
附	xu5	
富	xu5	文读
副	xu5	
父	xu6	
户	xu6	
互	xu6	
护	xu6	
扶	xu6	白读
腐	xu6	
辅	xu6	
傅	xu6	白读
妇	xu6	文读
乌	u1	
污	u1	贪～
巫	u1	
诬	u1	
无	u2	
舞	u3	
武	u3	
侮	u3	
抚	u3	
恶	u5	可～
污	u5	～染
女	ny3	
吕	ly3	
旅	ly3	
屡	ly3	
虑	ly3	
书	tsy1	白读
诸	tsy1	
储	tsy1	
