id	ini	fn	pt	单字	黃閣大塘	注释	南沙黃閣	
532	tʰ	ɔi	21	臺	tʰɔi21	～湾		
533	tʰ	ɔi	21	苔	tʰɔi21	青～，舌～		
534	tʰ	ɔi	21	抬	tʰɔi21	两个人抬		
535	t	ɔi	31	待	tɔi31	等～，～人接物		
536	tʰ	ɔi	13	怠	tʰɔi23	～慢，～工		
537	l	œy	13	殆	løy23	百战不～		
538	t	ɔi	31	代	tɔi31	～替，～表		
539	t	ɐi	31	逮	tɐi31	～捕		
540	t	ɔi	31	袋	tɔi31	袋子		
541	l	ai	13	乃	lai23	安～近；人名用字		
542	l	ɔi	31	耐	lɔi31	～力，～心，忍～		
543	l	ɔi	21	來	lɔi21	过～，～去		
544	tʃ	ɔi	55	災	tʃɔi55	水～		
545	tʃ	ɔi	55	栽	tʃɔi55	种，～培		
546	tʃ	ɔi	35	宰	tʃɔi25	～相		
547	tʃ	ɔi	35	載	tʃɔi25	一年半～		
548	tʃ	ɔi	13	再	tʃɔi23	～来	tʃɔi23	1
549	tʃ	ɔi	13	載	tʃɔi23	～重		
550	tʃʰ	ai	55	猜	tʃʰai55	～谜	tʃʰai55	1
551	tʃʰ	ɔi	35	彩	tʃʰɔi25	～色		
552	tʃʰ	ɔi	35	採	tʃʰɔi25	～集		
553	tʃʰ	ɔi	35	睬	tʃʰɔi25	理睬		
554	tʃʰ	ɔi	13	菜	tʃʰɔi23	煮～，青～	tʃʰɔi23	1
555	tʃʰ	ɔi	21	才	tʃʰɔi21	人～，～气，秀～	tʃʰɔi21	1
556	tʃʰ	ɔi	21	材	tʃʰɔi21	材，药～，～料		
557	tʃʰ	ɔi	21	財	tʃʰɔi21	财，发～		
558	tʃʰ	ɔi	21	裁	tʃʰɔi21	裁，～纸，剪～		
559	tʃʰ	ɔi	21	纔	tʃʰɔi21	刚～		
560	tʃ	ɔi	31	在	tʃɔi31	实～，现～[文]		
561	tʃ	ɔi	31	在	tʃɔi31	存在，还～[白]		
562	tʃ	ɔi	35	載	tʃɔi25	满～而归		
563	ʃ	ɔi	55	腮	ʃɔi55	～腺炎，～红		
564	ʃ	ɔi	55	鰓	ʃɔi55	鱼鳃		
565	tʃʰ	ɔi	13	賽	tʃʰɔi23	比～		
566	k	ɔi	55	該	kɔi55	应～		
567	k	ɔi	35	改	kɔi25	修～，～正		
568	kʰ	ɔi	13	概	kʰɔi23	大～，～括	kʰɔi23	1
569	kʰ	ɔi	13	溉	kʰɔi23	灌～		
570	h	ɔi	55	開	hɔi55	公～，～门		
571	h	ɔi	35	凱	hɔi25	～旋		
572	kʰ	ɔi	13	慨	kʰɔi23	慷～，感～		
573	kʰ	ɐk	5	咳	kʰɐk5	～嗽，止～糖浆		
574		ɔi	21	呆	ɔi21	～板		
575		ɔi	31	礙	ɔi31	妨～		
576	h	ɔi	35	海	hɔi25	大～		
577	h	ai	21	孩	hai21	～童		
578		ɔi	31	亥	ɔi31	辛～革命		
579		ɔi	55	哀	ɔi55	悲～		
580		ɔi	55	埃	ɔi55	尘～，～及		
581		ɔi	13	愛	ɔi23	～情；要		
582	p	y	13	貝	py23	宝～		
583	p	y	13	貝	py23	川～，～壳		
584	tʃʰ	y	13	沛		充～		
585	t	ai	13	帶	tai23	鞋～		
586	tʰ	ai	13	太	tʰai23	老～婆	tʰai23	1
587	tʰ	ai	13	泰	tʰai23	～山		
588	t	ai	31	大	tai31	大小	tai31	1
589	l	ɔi	31	奈	lɔi31	无～，～何		
590	l	ai	31	賴	lai31	依～，无～；姓		
591	l	ai	31	癩	lai31	～蛤蟆[文]		
592				癩		～哥（癞疮）[白]		
593	tʃʰ	ɔi	13	蔡	tʃʰɔi23	姓		
594	kʰ	ɔi	13	蓋	kʰɔi23	～被[动]；盖子[名]		
595	kʰ	ɔi	13	丐	kʰɔi23	～帮		
596		ai	31	艾	ai31	姓；～滋病		
597		ai	31	艾	ai31	艾草		
598	h	ɔi	31	害	hɔi31	～人	hɔi31	1
599		ɔi	35	藹	ɔi25	和～，宋～龄		
600	p	ai	35	拜	pai25	结～，礼～，～佛		
601	pʰ	ai	21	排	pʰai21	～队		
602	m	ai	21	埋	mai21	～伏		
603	tʃ	ai	55	齋	tʃai55	食～（吃斋）		
604	tʃʰ	ai	21	豺	tʃʰai21	～狼		
605	k	ai	55	皆	kai55	～大欢喜		
606	k	ai	55	階	kai55	台～，～级		
607	k	ai	13	介	kai23	～绍，中～	kai23	1
608	k	ai	13	界	kai23	世～		
609	k	ai	13	芥	kai23	～菜		
610	k	ai	13	尬	kai23	尴～		
611	k	ai	13	疥	kai23	～疮		
612	k	ai	13	屆	kai23	第一～		
613	k	ai	13	戒	kai23	～烟，猪八～		
614	k	ai	55	楷	kai55	～书，～模		
615	h	ai	21	諧	hai21	和～		
616	h	ɔi	31	駭	hɔi31	惊～，～人听闻		
617	h	ai	31	械	hai31	机～		
618		ai	21	挨	ai21	～打，～近		
619	p	ai	35	擺	pai25	摇～		
620	pʰ	ai	13	派	pʰai23	正～，～出所		
621	pʰ	ai	21	牌	pʰai21	～坊，～匾[文]		
622	pʰ	ai	21	牌	pʰai21	打～[白，训]		
623	pʰ	ai	21	㵺	pʰai21	竹排		
624	p	a	31	罷	pa31	～工		
625	p	ɐi	31	稗	pɐi31	～草		
626	m	ai	31	買	mai31	～卖		
627	m	ai	31	賣	mai31	买～		
628	l	ai	13	奶	lai23	二～，～牛		
629	tʃ	ai	13	債	tʃai23	欠～		
630	tʃʰ	a	55	釵	tʃʰa55	宝～		
631	tʃʰ	a	55	差	tʃʰai55	出～		
632	tʃʰ	ai	21	柴	tʃʰai21	姓；火～	tʃʰai21	1
633	ʃ	ɐi	55	篩	ʃɐi55	～选，～米		
634	ʃ	a	35	灑	ʃa25	潇～，～水		
635	k	ai	55	佳	kai55	～人，～节		
636	k	ai	55	街	kai55	～路		
637	k	ai	35	解	kai25	～释，讲～[文]		
638	k	ai	35	解	kai25	～开[白]		
639	h	ai	31	懈	hai31	松～，坚持不～		
640		ai	21	涯	ai21	天～		
641		ai	21	崖	ai21	悬～		
642		ai	21	捱	ai21	难～，～苦		
643	h	ai	21	鞋	hai21	布～		
644	k	ai	35	解	kai25	懂了，理～，了～		
645	h	ai	13	蟹	hai23	老～		
646		ɐi	35	矮	ɐi25	高矮		
647	p	ai	31	敗	pai31	失～		
648	m	ai	31	邁	mai31	豪～，～步		
649	tʃ	ai	31	寨	tʃai31	山～，大～	tʃai31	1
650	p	ɐi	13	蔽	pɐi23	隐～		
651	p	ɐi	31	弊	pɐi31	作～		
652	p	ɐi	31	幣	pɐi31	人民～		
653	p	ɐi	31	斃	pɐi31	枪～		
654	l	ɐi	31	例	lɐi31	举～，～外		
655	l	ɐi	31	厲	lɐi31	严～，～害		
656	l	ɐi	31	勵	lɐi31	鼓～		
657	tʃ	ɐi	13	祭	tʃɐi23	～祀		
658	tʃ	ɐi	13	際	tʃɐi23	国～		
659	tʃ	ɐi	31	滞	tʃɐi31	停～，湿～（中医）		
660	tʃ	ɐi	13	制	tʃɐi23	～度		
661	tʃ	ɐi	13	製	tʃɐi23	～造		
662	ʃ	ɐi	13	世	ʃɐi23	～界	ʃɐi23	1
663	ʃ	ɐi	13	世	ʃɐi23	出～	ʃɐi23	1
664	ʃ	ɐi	13	勢	ʃɐi23	～力，有权有～		
665	ʃ	ɐi	31	誓	ʃɐi31	发～		
666	ʃ	ɐi	31	逝	ʃɐi31	～世		
667		ɐi	31	藝	ɐi31	～术，文～晚会		
668	p	ei	55	蓖	pei55	～麻		
669	p	ɐi	13	閉	pɐi23	关～		
670				箅		蒸笼中的竹屉		
671	pʰ	ɐi	55	批	pʰɐi55	～评，大～		
672	pʰ	ɐi	55	批	pʰɐi55	螺丝～		
673	p	ɐi	31	陛	pɐi31	～下		
674	m	ɐi	21	迷	mɐi21	入～，～路		
675	m	ɐi	13	米	mɐi23	大米	mɐi23	1
676	m	ɐi	21	謎	mɐi21	～语，猜～		
677	t	ɐi	55	低	tɐi55	高～	tɐi55	1
678	tʰ	ɐi	21	堤	tʰɐi21	河～，～坝		
679	t	ɐi	35	底	tɐi25	水～		
680	t	ɐi	35	抵	tɐi25	～押		
681	t	ɐi	35	抵	tɐi25	用手抵挡		
682	t	ɐi	13	帝	tɐi23	皇～		
683	tʰ	ɐi	55	梯	tʰɐi55	楼～	tʰɐi55	1
684	t	ɐi	13	蒂	tɐi23	花～，并～莲		
685	t	ɐi	35	體	tɐi25	～育，身～		
686	tʰ	ɐi	13	替	tʰɐi23	代～，～身		
687	tʰ	ɐi	13	涕	tʰɐi23	～泪纵横		
688	tʰ	ɐi	13	剃	tʰɐi23	～头		
689	tʰ	ɐi	55	屜	tʰɐi55	抽～		
690	tʰ	ɐi	21	題	tʰɐi21	～目，难～		
691	tʰ	ɐi	21	提	tʰɐi21	～问，～醒		
692	tʰ	ɐi	21	蹄	tʰɐi21	马～		
693	tʰ	ɐi	21	啼	tʰɐi21	哭哭～～[文]		
694	tʰ	ɐi	21	啼	tʰɐi21	鸡～[白]		
695	t	ɐi	31	弟	tɐi31	兄～[文]		
696	t	ɐi	31	弟	tɐi31	弟弟，老～[白]		
697	t	ɐi	31	第	tɐi31	～一，门～		
698	t	ɐi	31	遞	tɐi31	传～，邮～员		
699	l	ɐi	21	泥	lɐi21	水～，地～（地板）	lɐi21	1
700	l	ɐi	21	犁	lɐi21	耕田用具		
701	l	ɐi	21	黎	lɐi21	～民，～明；姓		
702	l	ɐi	13	禮	lɐi23	～貌		
703	l	ɐi	31	麗	lɐi31	秀～		
704	t	ɐi	31	隸	tɐi31	奴～，～属		
705	tʃ	ɐi	55	擠	tʃɐi55	拥～，～时间		
706	tʃ	ɐi	13	濟	tʃɐi23	～公，经～		
707	tʃʰ	ɐi	55	妻	tʃʰɐi55	夫～		
708	tʃʰ	ɐi	13	砌	tʃʰɐi23	～墙		
709	tʃʰ	ɐi	21	齊	tʃʰɐi21	～国[文]		
710	tʃʰ	ɐi	21	齊	tʃʰɐi21	整～，放～，来～[白]		
711	tʃʰ	i	21	臍	tʃʰi21	肚～，～带		
712	tʃ	ɐi	55	劑	tʃɐi55	一～药，药～		
713	ʃ	ɐi	55	西	ʃɐi55	东西南北		
714	tʃʰ	ɐi	55	棲	tʃʰɐi55	两～动物		
715	ʃ	ɐi	55	犀	ʃɐi55	～牛		
716	ʃ	ɐi	35	洗	ʃɐi25	～菜，～衣机		
717	ʃ	ɐi	13	細	ʃɐi23	粗细，大小		
718	ʃ	ɐi	13	婿	ʃɐi23	女～		
719	k	ɐi	55	雞	kɐi55	～公（公鸡）		
720	kʰ	ɐi	55	稽	kʰɐi55	～查，滑～		
721	k	ɐi	13	計	kɐi23	～算，会～		
722	k	ɐi	13	繼	kɐi23	～续，～承		
723	h	ɐi	31	繫	hɐi31	～皮带		
724	k	ɐi	13	髻	kɐi23	发髻；鸡～（鸡冠）		
725	kʰ	ɐi	55	溪	kʰɐi55	～水		
726	kʰ	ɐi	35	啟	kʰɐi25	～发		
727	kʰ	ɐi	13	契	kʰɐi23	房～，～约		
728	l	ei	21	倪	lei21	姓，～萍		
729	kʰ	ɐi	55	奚	kʰɐi55	～落		
730	h	ɐi	21	兮	hɐi21	神经～～		
731	h	ɐi	31	系	hɐi31	中文～，～统		
732	h	ɐi	31	繫	hɐi31	联～		
733	h	ɐi	31	係	hɐi31	关～[文]		
734	h	ɐi	31	係	hɐi31	是[白]		
735	p	y	55	杯	py55/pui55	茶～	pui55	黄阁
736	p	y	13	輩	py23	～分，长～		
737	p	y	13	背	py23	违～，后～		
738	pʰ	ui	55	胚	pʰui55	～胎		
739	pʰ	ui	55	坯	pʰui55	泥～，毛～房		
740	pʰ	ui	13	配	pʰui23	分～，搭～		
741	pʰ	ui	21	培	pʰui21	～训		
742	pʰ	ui	21	陪	pʰui21	～同		
743	pʰ	ui	21	賠	pʰui21	～钱		
744	pʰ	ui	21	裴	pʰui21	姓		
745	pʰ	ui	13	倍	pʰui23	～数	pʰui23	1
746	pʰ	ui	13	佩	pʰui23	～服		
747	p	y	13	背	py23	～书		
748	p	y	31	焙	py31	～火		
749	m	ui	21	梅	mui21	～花		
750	m	ui	21	枚	mui21	两～		
751	m	ui	21	媒	mui21	～人	mui21	1
752	m	ui	21	煤	mui21	烧～，～矿		
753	m	ui	21	玫	mui21	～瑰		
754	m	ui	13	每	mui23	～只，～日		
755	m	ui	21	莓	mui21	草～		
756	m	ui	31	妹	mui31	妹妹，姊～，老～		
757	m	uk	2	昧	muk31	愚～，拾金不～		
758	t	ɔi	55	堆	tɔi55	一～[量]，～放[动]		
759	t	ɔi	13	對	tɔi23	～错；成双成～		
760				碓		舂米工具，踏～		
761	tʰ	ɔi	55	推	tʰɔi55	～荐，～动		
762	tʰ	ɔi	35	腿	tʰɔi25	～部，火～		
763	tʰ	ɔi	13	退	tʰɔi23	后～，～步[文]		
764	tʰ	ɔi	13	退	tʰɔi23	向后退[白]		
765	t	ɔi	31	隊	tɔi31	～伍，排～		
766	l	ɔi	31	內	lɔi31	～行，～外		
767	l	ɔi	31	雷	lɔi31	打～，～公；姓		
768	l	ɔi	31	累	lɔi31	劳～		
769	tʃʰ	ɔi	55	催	tʃʰɔi55	～促，～眠		
770	tʃʰ	ɔi	55	崔	tʃʰɔi55	姓，～莺莺		
771	tʃʰ	ɔi	55	摧	tʃʰɔi55	～残		
772	tʃ	ɔi	31	罪	tʃɔi31	得～，犯～[文]		
773	tʃ	ɔi	31	罪	tʃɔi31	～过（可怜、难受）[白]		
774	ʃ	ɔi	13	碎	ʃɔi23	～布，破～		
775	kʰ	uɐi	55	盔	kʰuɐi55	头～，～甲		
776	f	ui	55	魁	fui55	～梧，花～		
777	f	ui	55	恢	fui55	～复		
778	f	a	13	塊	fa23	一～钱，～头		
779		ɐi	21	桅	ɐi21	～杆		
780	f	ui	55	灰	fui55	石～，～色		
781	kʰ	ui	35	賄	kʰui25	受～，～赂		
782	f	ui	13	悔	fui23	后～		
783	f	ui	13	晦	fui23	～气		
784	w	ui	21	回	wui21	～想[文]		
785	w	ui	31	回	wui31	～礼[白]		
786	w	ui	21	茴	wui21	～香		
787	w	ui	31	匯	wui31	～报，～款		
788	kʰ	ui	35	潰	kʰui25	～疡，胃～疡		
789	w	ui	55	煨	wui55	～番薯		
790	tʰ	ɔi	13	蜕	tʰɔi23	～变，～皮，～壳		
791	t	ɔi	13	兑	tɔi23	～水，～换		
792	tʃ	ɔi	13	最	tʃɔi23	～好	tʃɔi23	1
793	w	ui	31	會	wui31	～计		
794	kʰ	ui	35	劊	kʰui25	～子手		
795	kʰ	ui	35	檜	kʰui25	人名，秦～		
796		ɔi	31	外	ɔi31	～面		
797	w	ui	31	會	wui31	开～		
798				會		～睡，～来		
799	kʰ	ui	35	繪	kʰui25	～图，测～		
800	k	uai	55	乖	kuai55	小孩听话		
801	k	uai	13	怪	kuai23	奇～	kuai23	1
802	w	ai	21	懷	wai21	～疑		
803	w	ai	21	槐	wai21	～树		
804	w	ai	21	淮	wai21	～河，～北		
805	w	ai	31	壞	wai31	～人		
806	k	uai	35	拐	kuai25	～卖，铁～李		
807	k	uai	35	拐	kuai25	～脚（瘸腿）		
808	k	ua	13	掛	kua23	～起来，牵～，～钩		
809	k	ua	13	卦	kua23	八～		
810	w	ai	55	歪	wai55	～风邪气		
811	w	a	35	畫	wa25	～图，图～		
812	f	ai	13	快	fai23	～车		
813	f	ai	13	筷	fai23	公～		
814	w	a	31	話	wa31	笑～，讲～[文，名]		
815	w	a	35	話	wa25	讲～[白，名]		
816	w	a	35	話	wa25	说[白，动]		
817	tʃʰ	ɔi	13	脆	tʃʰɔi23	干～[文]		
818	tʃʰ	ɔi	13	脆	tʃʰɔi23	易断[白]		
819	ʃ	ɔi	13	歲	ʃɔi23	万～，～月[文]		
820	ʃ	ɔi	13	歲	ʃɔi23	十～，～数[白]		
821	tʃ	y	13	綴	tʃy23	点～		
822	tʃ	œy	31	贅	tʃøy31	累～，入～		
823	ʃ	ɔi	13	稅	ʃɔi23	交～，～收		
824	w	ɐi	31	衛	wɐi31	～生		
825	j	œy	31	鋭	jøy31	尖～，～角		
826	f	ɐi	13	廢	fɐi23	～品，作～		
827	f	ɐi	13	肺	fɐi23	猪～		
828	f	ɐi	31	吠	fɐi31	狗～		
829	w	ɐi	13	穢	wɐi23	淫～，污～		
830	k	uɐi	55	圭	kuɐi55	人名用字；乌拉～		
831	k	uɐi	55	閨	kuɐi55	～房		
832	k	uɐi	13	桂	kuɐi23	～花	kuɐi23	1
833	f	ui	55	奎	fui55	人名用字；～宁（药名）		
834	kʰ	uɐi	21	攜	kʰuɐi21	～带，提～		
835	w	ɐi	31	惠	wɐi31	～州，优～		
836	w	ɐi	13	慧	wɐi23	智～		
837	p	ei	55	碑	pei55	石～，～文		
838	p	ei	55	卑	pei55	自～，～鄙		
839	pʰ	ei	35	彼	pʰei25	～此		
840	p	ei	13	臂	pei23	手～，～力		
841	pʰ	ei	55	披	pʰei55	～肩，～露		
842	p	ei	35	譬	pei25	～喻，～如		
843	pʰ	ɐi	21	皮	pʰɐi21	调～，～肤		
844	pʰ	ei	21	疲	pʰei21	～劳		
845	pʰ	ei	21	脾	pʰei21	～胃，～气		
846	pʰ	ei	13	被	pʰei23	被子，毛巾～		
847	pʰ	ei	13	婢	pʰei23	奴～，～女		
848	p	ei	31	被	pei31	～动，～迫		
849	p	ei	31	避	pei31	逃～		
850	m	ui	21	糜	mui21	～烂；粥		
851	l	ei	21	彌	lei21	～补，阿～陀佛		
852	l	ei	21	離	lei21	～別，～开		
853	l	ei	21	籬	lei21	～笆		
854	l	ei	55	璃	lei55	玻～		
855	l	ai	31	荔	lai31	～枝		
856	tʃ	i	35	紫	tʃi25	～色		
857	tʃʰ	i	55	雌	tʃʰi55	～雄		
858	tʃ	i	35	此	tʃi25	到～为止		
859	tʃʰ	i	13	刺	tʃʰi23	～激，穿～		
860	tʃʰ	i	55	疵	tʃʰi55	瑕～，吹毛求～		
861	ʃ	i	55	斯	ʃi55	～大林		
862	ʃ	i	55	撕	ʃi55	～烂		
863	ʃ	ai	35	璽	ʃai25	玉～		
864	ʃ	ai	35	徙	ʃai25	移居，～屋，迁～		
865	tʃʰ	i	13	賜	tʃʰi23	赏～		
866	tʃ	i	55	知	tʃi55	通～，～道，无～[文]	tʃi55	1
867	tʃ	i	55	知	tʃi55	～识[文]	tʃi55	1
868	tʃ	i	55	知	tʃi55	知道，唔～[白]	tʃi55	1
869	tʃ	i	55	蜘	tʃi55	～蛛		
870	tʃ	i	35	智	tʃi23	～慧	tʃi23	1
871	tʃʰ	i	21	池	tʃʰi21	水～		
872	tʃʰ	i	21	馳	tʃʰi21	奔～		
873	tʃʰ	ai	55	差	tʃʰai55	参～不齐		
874	ʃ	ɐi	55	篩	ʃɐi55	谷～，米～		
875	tʃ	i	55	支	tʃi55	两～笔[白，量]	tʃi55	1
876	tʃ	i	55	支	tʃi55	～持，天干地～[文]	tʃi55	1
877	tʃ	i	55	枝	tʃi55	树～		
878	tʃ	i	55	肢	tʃi55	四～，～体		
879	tʃ	i	55	梔	tʃi55	黄～（水横枝、黄果）		
880	tʃ	i	35	紙	tʃi25	白～		
881	tʃ	i	35	只	tʃi25	～有		
882	tʃʰ	i	35	侈	tʃʰi25	奢～		
883	l	eŋ	35	舐	leŋ25	舔		
884	ʃ	i	55	施	ʃi55	措～；姓		
885	tʃʰ	i	13	翅	tʃʰi23	鱼～	tʃʰi23	1
886	ʃ	i	21	匙	ʃi21	锁～，汤～		
887	ʃ	i	31	是	ʃi31	～否，～非	ʃi31	1
888	ʃ	i	31	氏	ʃi31	姓～		
889	ʃ	i	31	豉	ʃi31	豆～		
890	j	i	21	兒	ji21	～童		
891	j	i	31	爾	ji31	～虞我诈；保～（人名）		
892	k	ei	13	寄	kei23	～信，～托		
893	k	ei	55	羁	kei55	～押，放荡不～		
894	kʰ	ei	13	企	kʰei23	～业，～鹅		
895	kʰ	ei	21	奇	kʰei21	～怪		
896	kʰ	ɛ	21	騎	kʰɛ21	～马		
897	kʰ	ɛ	21	騎	kʰɛ21	～楼		
898	kʰ	ei	21	岐	kʰei21	～山		
899	kʰ	ei	13	徛	kʰei23	站立；（山）斜度高		
900	k	ei	31	技	kei31	～术[文]		
901	k	ei	31	技	kei31	杂～[白]		
902	k	ei	31	妓	kei31	～女		
903	j	i	21	宜	ji21	适～，～昌		
904	j	i	21	儀	ji21	礼～，～式		
905		ɐi	13	蟻	ɐi23	蚂蚁，白～		
906	j	i	21	誼	ji21	友～		
907	j	i	21	義	ji21	情～，～气		
908	j	i	13	議	ji23	～论，会～		
909	h	ei	55	犠	hei55	～牲		
910	h	ei	13	戲	hei23	做～		
911	j	i	55	倚	ji55	～靠，～老卖老		
912	j	i	35	椅	ji25	椅子，藤～	ji25	1
913	j	i	21	移	ji21	～动	ji21	1
914	j	i	31	易	ji31	容～		
915	p	ei	55	悲	pei55	～伤		
916	pʰ	ei	35	鄙	pʰei25	卑～，～视[文]		
917	pʰ	ei	35	鄙	pʰei25	差劲[白]		
918	p	ei	35	比	pei25	～较，对～	pei25	1
919	p	ei	13	祕	pei23	～书，～密		
920	p	ei	13	泌	pei23	分～；滤出汤汁		
921	pʰ	ei	13	庇	pʰei23	包～，～护		
922	p	ei	13	痹	pei23	麻～		
923	pʰ	ei	55	丕	pʰei55	人名用字，曹～		
924	pʰ	ei	13	屁	pʰei23	放～		
925	pʰ	ei	21	琵	pʰei21	～琶		
926	pʰ	ei	21	枇	pʰei21	～杷		
927	p	ei	31	備	pei31	准～，～用		
928	p	ei	31	鼻	pei31	鼻子；鼻涕		
929	p	ei	31	篦	pei31	篦子（很密的梳子）		
930	m	ei	21	眉	mei21	眉毛，画～		
931	m	ei	21	楣	mei21	门～		
932	m	ui	21	黴	mui21	发～，倒～		
933	m	ei	13	美	mei23	～丽，～化	mei23	1
934	m	ei	31	媚	mei31	～眼，妩～；人名用字		
935	m	ei	31	寐	mei31	梦～以求，假～		
936	t	ei	31	地	tei31	土～	tei31	1
937	l	ei	21	尼	lei21	～姑		
938	l	ei	31	膩	lei31	油～，细～		
939	l	ei	21	梨	lei21	梨		
940				履		～行，～历		
941	l	ei	31	利	lei31	～润，有～		
942	l	ei	31	痢	lei31	～疾		
943				痢		癞～（头屑）		
944	tʃ	i	55	資	tʃi55	～本		
945	tʃ	i	55	姿	tʃi55	～势		
946	tʃ	i	55	咨	tʃi55	～询		
947	tʃ	i	35	姊	tʃi25	～妹	/	黄阁
948	tʃʰ	i	13	次	tʃʰi23	名～，～品		
949	tʃʰ	i	21	瓷	tʃʰi21	～砖，陶～		
950	tʃʰ	i	21	餈	tʃʰi21	糍粑，糯米～		
951	tʃ	i	31	自	tʃi31	～私		
952	ʃ	i	55	私	ʃi55	自～		
953	ʃ	ei	35	死	ʃei25	～人	ʃei25	1
954	ʃ	ei	13	四	ʃei23	数字	ʃei23	1
955	ʃ	i	35	肆	ʃi25	放～		
956	tʃ	i	13	致	tʃi23	导～		
957	tʃʰ	i	21	遲	tʃʰi21	～到，推～		
958	tʃ	i	31	稚	tʃi31	幼～		
959	ʃ	i	55	師	ʃi55	老～，～父		
960	ʃ	i	55	獅	ʃi55	狮子		
961	tʃ	i	55	脂	tʃi55	～肪，胭～		
962	tʃ	i	35	旨	tʃi25	圣～		
963	tʃ	i	35	指	tʃi25	手～，～甲		
964	tʃ	i	13	至	tʃi23	～少		
965	ʃ	i	31	示	ʃi31	表～	ʃi31	1
966				屍		～体，死～		
967	tʃʰ	i	13	矢	tʃʰi23	有的放～		
968	ʃ	i	35	屎	ʃi25	狗～		
969	ʃ	i	31	視	ʃi31	近～		
970	ʃ	i	13	嗜	ʃi23	～好		
971	j	i	31	二	ji31	数字		
972	j	i	31	貳	ji31	～心		
973	k	ei	55	飢	kei55	～饿		
974	k	ei	55	肌	kei55	～肉		
975	k	ei	35	几	kei25	茶～		
976				冀		河北简称，晋察～		
977	h	ei	13	器	hei23	武～，机～，～重		
978	h	ei	13	棄	hei23	放～，抛～		
979	kʰ	ei	21	祁	kʰei21	～连山		
980	j	i	55	伊	ji55	～犁；姓		
981	j	i	13	懿	ji23	人名用字，司马～		
982	j	i	21	夷	ji21	化险为～，蛮～		
983	j	i	21	姨	ji21	大～，～丈		
984				肄		～业		
985	l	ei	13	你	lei23	～们，第二人称[文]		
986	l	ei	13	你	lei23	第二人称[白]		
987	l	ei	21	釐	lei21	～米		
988	l	ei	21	狸	lei21	狐～		
989	l	ei	13	李	lei23	姓；水果		
990	l	ei	13	里	lei23	公～		
991	l	ɔi	13	裏	lɔi23	～外，～背（里面）		
992	l	ei	13	理	lei23	道～，～由		
993	l	ei	13	鯉	lei23	～鱼		
994	l	ei	31	吏	lei31	官～		
995	tʃ	i	55	滋	tʃi55	～味		
996	tʃ	i	35	子	tʃi25	～孙；孔～		
997	tʃ	i	35	梓	tʃi25	桑～；曾宪～		
998	tʃʰ	i	21	慈	tʃʰi21	～悲，～禧太后		
999	tʃʰ	i	21	磁	tʃʰi21	～铁，～场		
1000	tʃ	i	31	字	tʃi31	～典，文～		
1001	ʃ	i	55	司	ʃi55	公～，～令		
1002	ʃ	i	55	絲	ʃi55	～绸		
1003	ʃ	i	31	思	ʃi31	～想		
1004	ʃ	i	31	伺	ʃi31	～候，～机而动		
1005	ʃ	i	55	思	ʃi55	意～		
1006	tʃʰ	i	21	辭	tʃʰi21	～职，告～		
1007	tʃʰ	i	21	詞	tʃʰi21	歌～		
1008	tʃʰ	i	21	祠	tʃʰi21	～堂		
1009	tʃʰ	i	13	似	tʃʰi23	相～，～乎[文]	tʃʰi23	1
1010	tʃʰ	i	13	似	tʃʰi23	好～（好像）[白]	tʃʰi23	1
1011	tʃ	i	31	祀	tʃi31	祭～		
1012				巳		地支，～时		
1013	tʃ	i	31	寺	tʃi31	～庙，灵光～	tʃi31	1
1014				嗣		后～；谭～同		
1015	tʃ	i	13	飼	tʃi23	～料，～养[文]		
1016	tʃʰ	i	13	飼	tʃʰi23	喂饭[白]		
1017	tʃ	i	13	置	tʃi23	布～		
1018	tʃʰ	i	55	癡	tʃʰi55	白～，～呆		
1019	tʃʰ	i	35	恥	tʃʰi25	～辱		
1020	tʃʰ	i	21	持	tʃʰi21	支～		
1021	tʃ	i	31	痔	tʃi31	～疮		
1022	tʃ	i	31	治	tʃi31	～安，统～[文]		
1023	tʃ	i	31	治	tʃi31	～鸡，～猪[白]		
1024	tʃʰ	i	13	廁	tʃʰi23	～所，公～		
1025	ʃ	i	31	士	ʃi31	～兵	ʃi31	1
1026	ʃ	i	31	仕	ʃi31	～途		
1027	tʃʰ	i	31	柿	tʃʰi31	柿子，～饼		
1028	ʃ	i	31	事	ʃi31	～实，～情[文]	ʃi31	1
1029	ʃ	i	31	事	ʃi31	做～[白]	ʃi31	1
1030	ʃ	i	13	使	ʃi23	～用，假～，大～馆	ʃi23	1
1031	ʃ	i	35	史	ʃi25	历～		
1032	ʃ	ɐi	35	駛	ʃɐi25	驾～		
1033	tʃ	i	55	之	tʃi55	～前		
1034	tʃ	i	55	芝	tʃi55	灵～，～麻		
1035	tʃ	i	35	止	tʃi25	停～，～血		
1036	tʃ	i	35	趾	tʃi25	脚～		
1037	tʃ	i	35	址	tʃi25	地～		
1038	tʃ	i	13	志	tʃi23	～气，～愿		
1039	tʃ	i	13	誌	tʃi23	县～，标～		
1040	tʃ	i	31	痣	tʃi31	乌～		
1041	tʃʰ	i	35	齒	tʃʰi25	牙～		
1042	ʃ	i	55	詩	ʃi55	～人		
1043	tʃʰ	i	35	始	tʃʰi25	开～，～终		
1044	ʃ	i	13	試	ʃi23	考～[文]		
1045	ʃ	i	13	試	ʃi23	试试[白]		
