	注释：-白读，=文读
k	[1]竿杆{栏～}乾官棺关观冠{衣～}[2]寒-{冷，天气～}[3]管馆秆[5]干{～部}贯惯灌罐冠
kʰ	[1]宽[3]款
ɡ	[2]顽
h	[1]荒慌谎方芳肝欢番蕃翻[2]皇蝗惶凰煌黄{～牛}簧磺蟥房防妨凡寒={大～}还{～原}烦梵环寰繁鼾韩恒[3]反=纺仿访彷晃恍[4]犯范项[5]放=幻泛汉=汗换唤涣焕痪贩缓患宦翰
∅	[1]安鞍弯湾汪[2]亡芒忘忙茫黄-王鳗[3]碗䘼=豌腕剜满晚挽莽蟒网枉往[4]旱[5]玩万望旺{兴～}漫慢=蔓
#y	
t	[2]除储厨橱[4]逐{追}轴[5]箸{筷}住-[7]竹筑厾{～眠}
tʰ	[2]锄[7]畜{～牲}
l	[2]驴[3]吕榈铝旅屡褛履[4]六陆绿录[5]虑滤
ts	[2]徐[4]集[5]就-{～是}[7]足
tsʰ	[1]蛆[3]取[5]趣娶[7]粟-促
s	[1]须需[4]序屿俗续叙绪[5]絮[7]宿肃粟=黍
tʃ	[1]朱珠株蛛诛猪诸[3]主煮=[5]住=注蛀柱=驻注铸著{显～}[7]烛嘱祝粥
tʃʰ	[3]署鼠暑[5]处树[7]触
ʃ	[1]虚墟嘘圩书舒输[2]薯殊[3]许[4]蜀秫熟[5]竖恕戍[7]叔畜{～牧}蓄
k	[1]居车{～马}拘驹[2]渠瞿葵[3]举矩[4]舅{贡川音}惧[5]句巨拒距炬据锯具[7]菊掬鞠
kʰ	[1]区驱嬉{玩}[5]去=[7]曲
ɡ	[1]渠{他}[2]鱼渔愚虞[3]女汝语[4]肉玉狱[5]遇寓
∅	[1]于於[2]如余{姓}馀盂愉榆逾[3]雨=乳宇羽禹[4]辱褥欲浴育[5]芋=愈喻裕预誉
#ya	
tʃ	[3]纸[5]□{饭甑～：笼屉箪子}
tʃʰ	[4]□{歪斜}[5]拽{～尿：尿床}
ʃ	[2]蛇畲[4]舌
k	[5]寄-
kʰ	[1]桸{匏～：瓢，水瓢、葫芦瓢}[4]徛
ɡ	[1]曰{说}[2]鹅[3]蚁-[4]热[5]艾{～绒}
∅	[5]□{～秧m1：撒种}
#ye	
tʃ	[7]拙
tʃʰ	[1]吹炊[7]啜{～酒；抽泣}
ʃ	[4]穴笠-[5]税[7]说血
k	[1]饥-[7]决蕨
kʰ	[7]乞缺={～点}
ɡ	[2]挼[4]月
∅	[4]阅悦越曰{贡川音}[5]锐秽{草，牛食～}[7]掰{～开}
#yeiŋ	
ts	[2]旋-{头发～}
s	[2]旋=
tʃ	[1]专砖[3]展转=
tʃʰ	[1]穿川[5]串
ʃ	[1]欣掀[2]船悬=玄[4]□{门～：门口}[5]献宪楦
k	[1]捐绢[2]悬-权[3]囝卷[5]建健腱键卷眷
kʰ	[1]圈[3]犬[5]劝
ɡ	[2]元原源[5]念验愿
∅	[1]冤颤{发抖}[2]完丸员圆袁援辕媛沿园缘[3]箢䘼-{手～：袖子}远[5]院愿怨
#yi	
tʃ	[1]锥椎
tʃʰ	[5]喙{量词，两～：两口}[7]出
ʃ	[1]飞=辉挥非微[2]垂肥=谁=[3]水匪毁[4]术述[5]废肺费惠讳穗=
k	[1]规龟归圭闺[3]鬼轨诡[4]跪[5]桂季贵柜溃瑰
kʰ	[1]亏[3]豨[7]屈
∅	[1]威[2]为{作～}维唯围违微遗[3]委伟萎[4]域[5]位未味卫为伪畏[7]熨郁
#ym	
k	[2]鹹衔{～在嘴里}
