汉字	注释	左云	右玉	平鲁	河曲	偏关	保德	临县	兴县	神木	府谷	佳县	清水河	和林格尔	托克托	准格尔旗	伊金霍洛旗	东胜	包头
嘴		꜂ʦuɛi	꜂ʦuɛe	꜀ʦuei	꜀ʦuei	꜂ʦuei	꜀ʦuei	꜂ʨy	꜀ʨy	꜀ʦuei	꜀ʦuei	꜂ʨy	꜂ʦuᴇi	꜂ʦuɛi	꜂ʦuei	꜂ʦuei	꜂ʦuɛi	꜂ʦuᴇi	꜂ʦuei
随		꜁suɛi	꜁suɛe	꜁suei	꜁suei	꜁suei	꜁suei	꜁ɕy/꜁suei	꜁ɕy	꜁ɕy	꜁suei	꜁ɕy	꜁suᴇi	꜁suɛi	꜁suei	꜁suei	꜁suɛi	꜁suᴇi	꜁suei
垂		꜁ʦʰuɛi	꜁tʂʰuɛe	꜁ʦʰuei	꜁ʦʰuei	꜁tʂʰuei	꜁tʂʰuei	꜁ʦʰuei	꜁ʨʰy	꜁tʂʰuei	꜁tʂʰuei	꜁tʂʰu	꜁ʦʰuᴇi	꜁ʦʰuɛi	꜁ʦʰuei	꜁tʂʰuei	꜁tʂʰuɛi	꜁tʂʰuᴇi	꜁ʦʰuei
规		꜀kuɛi	꜀kuɛe	꜀kuei	꜀kuei	꜀kuei	꜀kuei	꜀kuei	꜀kuei	꜀kuei	꜀kuei	꜀kuɛi	꜀kuᴇi	꜀kuɛi	꜀kuei	꜀kuei	꜀kuɛi	꜀kuᴇi	꜀kuei
窥		꜀kʰuɛi	꜀kʰuɛe	꜀kʰuei	꜀kʰuei	꜀kʰuei	꜀kʰuei	꜀kʰuei	꜀kʰuei	꜀kʰuei	꜀kʰuei	꜀kʰuɛi	꜀kʰuᴇi	꜀kʰuɛi	꜀kʰuei	꜀kʰuei	꜀kʰuɛi	꜀kʰuᴇi	꜀kʰuei
跪		kuɛi꜄	kʰuɛe꜄	kʰuei꜄	kʰuei꜄	kuei꜄	kʰuei꜄	kʰuei꜄	kʰuei꜄	kʰuei꜄	kuei꜄	kʰuɛi꜄	kʰuᴇi꜄	kʰuɛi꜄	kʰuei꜄	kʰuei꜄	kʰuɛi꜄	kuᴇi꜄	kʰuei꜄
委		꜂vɛi	꜂vɛe	꜀vei	꜀vei	꜂vei	꜀vei	꜂uei	꜀uei	꜀vei	꜀vei	꜂vɛi	꜂vᴇi	꜂vɛi	꜂vei	꜂vei	꜂vɛi	꜂vᴇi	꜂vei
泪		lɛi꜄	lɛe꜄	lei꜄	luei꜄	luei꜄	lei꜄	luei꜄	ly꜄	luei꜄	luei꜄	ly꜄/luɛi꜄	luᴇi꜄	luɛi꜄	luei꜄	luei꜄	luɛi꜄	luᴇi꜄	luei꜄
醉		ʦuɛi꜄	ʦuɛe꜄	ʦuei꜄	ʦuei꜄	ʦuei꜄	ʦuei꜄	ʨy꜄	ʨy꜄	ʦuei꜄	ʦuei꜄	ʨy꜄	ʦuᴇi꜄	ʦuɛi꜄	ʦuei꜄	ʦuei꜄	ʦuɛi꜄	ʦuᴇi꜄	ʦuei꜄
翠		ʦʰuɛi꜄	ʦʰuɛe꜄	ʦʰuei꜄	ʦʰuei꜄	ʦʰuei꜄	ʦʰuei꜄	ʦʰuei꜄	ʨʰy꜄/ʦʰuei꜄	ʦʰuei꜄	ʦʰuei꜄	ʦʰuɛi꜄	ʦʰuᴇi꜄	ʦʰuɛi꜄	ʦʰuei꜄	ʦʰuei꜄	ʦʰuɛi꜄	ʦʰuᴇi꜄	ʦʰuei꜄
隧		suɛi꜄	suɛe꜄	suei꜄	suei꜄	suei꜄	suei꜄	ɕy꜄	ɕy꜄	꜁suei	suei꜄	suɛi꜄	suᴇi꜄	suɛi꜄	suei꜄	suei꜄	suɛi꜄	suᴇi꜄	suei꜄
锤		꜁ʦʰuɛi	꜁tʂʰuɛe	꜁ʦʰuei	꜁ʦʰuei	꜁ʦʰuei	꜁tʂʰuei	꜁ʦʰuei	꜁ʨʰy	꜁tʂʰuei	꜁tʂʰuei	꜁ʦʰu/꜁tʂʰuɛi	꜁ʦʰuᴇi	꜁ʦʰuɛi	꜁ʦʰuei	꜁tʂʰuei	꜁tʂʰuɛi	꜁tʂʰuᴇi	꜁ʦʰuei
坠		ʦuɛi꜄	tʂuɛe꜄	ʦuei꜄	ʦuei꜄	ʦuei꜄	tʂuei꜄	ʦuei꜄	ʦuai꜄	tʂuei꜄	tʂuei꜄	tʂuɛi꜄	ʦuᴇi꜄	ʦuɛi꜄	ʦuei꜄	tʂuei꜄	tʂuɛi꜄	tʂuᴇi꜄	ʦuei꜄
追		꜀ʦuɛi	꜀tʂuɛe	꜀ʦuei	꜀ʦuei	꜀ʦuei	꜀tʂuei	꜀ʦuei	꜀ʨy	꜀tʂuei	꜀tʂuei	꜀tʂuɛi	꜀ʦuᴇi	꜀ʦuɛi	꜀ʦuei	꜀tʂuei	꜀tʂuɛi	꜀tʂuᴇi	꜀ʦuei
轨		꜂kuɛi	꜂kuɛe	꜀kuei	꜀kuei	꜂kuei	꜀kuei	꜂kuei	꜀kuei	꜀kuei	꜀kuei	꜂kuɛi	꜂kuᴇi	꜂kuɛi	꜂kuei	꜂kuei	꜂kuɛi	꜂kuᴇi	꜂kuei
愧		kʰuɛi꜄	kʰuɛe꜄	kʰuei꜄	kʰuei꜄	kʰuei꜄	kʰuei꜄	kʰuei꜄	kʰuei꜄	kʰuei꜄	kʰuei꜄	kʰuɛi꜄	kʰuᴇi꜄	kʰuɛi꜄	kʰuei꜄	kʰuei꜄	kʰuɛi꜄	kʰuᴇi꜄	kʰuei꜄
葵		꜁kʰuɛi	꜁kʰuɛe	꜁kʰuei	꜁kʰuei	꜁kʰuei	꜁kʰuei	꜁kʰuei	꜀kʰuei	꜁kʰuei	꜁kʰuei	꜁kʰuɛi	꜁kʰuᴇi	꜁kʰuɛi	꜁kʰuei	꜁kʰuei	꜁kʰuɛi	꜁kʰuᴇi	꜁kʰuei
唯		꜁vɛi	꜁vɛe	꜁vei	꜁vei	꜁vei	꜁vei	꜁uei	꜁uei	꜁vei	꜁vei	꜁vɛi	꜁vᴇi	꜁vɛi	꜁vei	꜁vei	꜁vɛi	꜁vᴇi	꜁vei
飞		꜀fɛi	꜀fɛe	꜀fei	꜀fei	꜀fei	꜀fei	꜀fei	꜀ɕi/꜀xuei	꜀fei	꜀fei	꜀fɛi	꜀fᴇi	꜀fɛi	꜀fei	꜀fei	꜀fɛi	꜀fᴇi	꜀fei
费		fɛi꜄	fɛe꜄	fei꜄	fei꜄	fei꜄	fei꜄	ɕi꜄/fei꜄	ɕi꜄/xuei꜄	fei꜄	fei꜄	fɛi꜄	fᴇi꜄	fɛi꜄	fei꜄	fei꜄	fɛi꜄	fᴇi꜄	fei꜄
肥		꜁fɛi	꜁fɛe	꜁fei	꜁fei	꜁fei	꜁fei	꜁ɕi/꜁fei	꜁ɕi/꜁xuei	꜁fei	꜁fei	꜁ɕi/꜁fɛi	꜁fᴇi	꜁fɛi	꜁fei	꜁fei	꜁fɛi	꜁fᴇi	꜁fei
尾		꜂i/꜂vɛi	꜂i/꜂vɛe	꜀i/꜀vei	꜀i/꜀vei	꜂ɿ/꜂vei	꜀i/꜀vei	꜂y/꜂i/꜂uei	꜀i/꜀uei	꜀i/꜀vei	꜀i/꜀vei	꜂i/꜂vɛi	꜂i/꜂vᴇi	꜂i/꜂vɛi	꜂i/꜂vei	꜂i/꜂vei	꜂i/꜂vɛi	꜂i/꜂vᴇi	꜂i/꜂vei
味		vɛi꜄	vɛe꜄	vei꜄	vei꜄	vei꜄	vei꜄	uei꜄	uei꜄	vei꜄	vei꜄	vɛi꜄	vᴇi꜄	vɛi꜄	vei꜄	vei꜄	vɛi꜄	vᴇi꜄	vei꜄
归		꜀kuɛi	꜀kuɛe	꜀kuei	꜀kuei	꜀kuei	꜀kuei	꜀kuei	꜀kuei	꜀kuei	꜀kuei	꜀kuɛi	꜀kuᴇi	꜀kuɛi	꜀kuei	꜀kuei	꜀kuɛi	꜀kuᴇi	꜀kuei
鬼		꜂kuɛi	꜂kuɛe	꜀kuei	꜀kuei	꜂kuei	꜀kuei	꜂kuei	꜀kuei	꜀kuei	꜀kuei	꜂kuɛi	꜂kuᴇi	꜂kuɛi	꜂kuei	꜂kuei	꜂kuɛi	꜂kuᴇi	꜂kuei
慰		vɛi꜄	vɛe꜄	vei꜄	vei꜄	vei꜄	vei꜄	uei꜄	uei꜄	vei꜄	vei꜄	vɛi꜄	vᴇi꜄	vɛi꜄	vei꜄	vei꜄	vɛi꜄	vᴇi꜄	vei꜄
违		꜁vɛi	꜁vɛe	꜁vei	꜁vei	꜁vei	꜁vei	꜁uei	꜁y/꜁uei	꜁vei	꜁vei	꜁vɛi	꜁vᴇi	꜁vɛi	꜁vei	꜁vei	꜁vɛi	꜁vᴇi	꜁vei
保		꜂pɔu	꜂pɐo	꜀pɔ	꜀pɔu	꜂pɔo	꜀pʌu	꜂puɤ	꜀pɔu	꜀pɔ	꜀pɔo	꜂pɔu	꜂pɔu	꜂pɑu	꜂pɔo	꜂pɔu	꜂pɔu	꜂pɔu	꜂pɔu
袍		꜁pʰɔu	꜁pʰɐo	꜁pʰɔ	꜁pʰɔu	꜁pʰɔo	꜁pʰʌu	꜁pʰuɤ	꜁pʰɔu	꜁pʰɔ	꜁pʰɔo	꜁pʰɔu	꜁pʰɔu	꜁pʰɑu	꜁pʰɔo	꜁pʰɔu	꜁pʰɔu	꜁pʰɔu	꜁pʰɔu
报		pɔu꜄	pɐo꜄	pɔ꜄	pɔu꜄	pɔo꜄	pʌu꜄	puɤ꜄	pɔu꜄	pɔ꜄	pɔo꜄	pɔu꜄	pɔu꜄	pɑu꜄	pɔo꜄	pɔu꜄	pɔu꜄	pɔu꜄	pɔu꜄
帽		mɔu꜄	mɐo꜄	mɔ꜄	mɔu꜄	mɔo꜄	mʌu꜄	muɤ꜄	mɔu꜄	mɔ꜄	mɔo꜄	mɔu꜄	mɔu꜄	mɑu꜄	mɔo꜄	mɔu꜄	mɔu꜄	mɔu꜄	mɔu꜄
刀		꜀tɔu	꜀tɐo	꜀tɔ	꜀tɔu	꜀tɔo	꜀təu	꜀tɔu	꜀tɔu	꜀tɔ	꜀tɔo	꜀tɔu	꜀tɔu	꜀tɑu	꜀tɔo	꜀tɔu	꜀tɔu	꜀tɔu	꜀tɔu
到		tɔu꜄	tɐo꜄	tɔ꜄	tɔu꜄	tɔo꜄	təu꜄	tɔu꜄	tɔu꜄	tɔ꜄	tɔo꜄	tɔu꜄	tɔu꜄	tɑu꜄	tɔo꜄	tɔu꜄	tɔu꜄	tɔu꜄	tɔu꜄
逃		꜁tʰɔu	꜁tʰɐo	꜁tʰɔ	꜁tʰɔu	꜁tʰɔo	꜁tʰəu	꜁tʰɔu	꜁tʰɔu	꜁tʰɔ	꜁tʰɔo	꜁tʰɔu	꜁tʰɔu	꜁tʰɑu	꜁tʰɔo	꜁tʰɔu	꜁tʰɔu	꜁tʰɔu	꜁tʰɔu
稻		tɔu꜄	tɐo꜄	tɔ꜄	tɔu꜄	tɔo꜄	təu꜄	tɔu꜄	tɔu꜄	tɔ꜄	tɔo꜄	tʰɔu꜄	tɔu꜄	tɑu꜄	tɔo꜄	tɔu꜄	tɔu꜄	tɔu꜄	tɔu꜄
劳		꜁lɔu	꜁lɐo	꜁lɔ	꜁lɔu	꜁lɔo	꜁ləu	꜁lɔu	꜁lɔu	꜁lɔ	꜁lɔo	꜁lɔu	꜁lɔu	꜁lɑu	꜁lɔo	꜁lɔu	꜁lɔu	꜁lɔu	꜁lɔu
涝		lɔu꜄	lɐo꜄	lɔ꜄	lɔu꜄	lɔo꜄	ləu꜄	lɔu꜄	lɔu꜄	lɔ꜄	lɔo꜄	lɔu꜄	꜁lɔu	lɑu꜄	lɔo꜄	lɔu꜄	lɔu꜄	lɔu꜄	lɔu꜄
遭		꜀ʦɔu	꜀ʦɐo	꜀ʦɔ	꜀ʦɔu	꜀ʦɔo	꜀ʦəu	꜀ʦɔu	꜀ʦɔu	꜀ʦɔ	꜀ʦɔo	꜀ʦɔu	꜀ʦɔu	꜀ʦɑu	꜀ʦɔo	꜀ʦɔu	꜀ʦɔu	꜀ʦɔu	꜀ʦɔu
躁		ʦɔu꜄	ʦɐo꜄	ʦɔ꜄	ʦɔu꜄	ʦɔo꜄	ʦəu꜄	ʦɔu꜄	ʦɔu꜄	ʦɔ꜄	ʦɔo꜄	ʦɔu꜄	ʦɔu꜄	ʦɑu꜄	ʦɔo꜄	ʦɔu꜄	ʦɔu꜄	ʦɔu꜄	ʦɔu꜄
操		꜀ʦʰɔu	꜀ʦʰɐo	꜀ʦʰɔ	꜀ʦʰɔu	꜀ʦʰɔo	꜀ʦʰəu	꜀ʦʰɔu	꜀ʦʰɔu	꜀ʦʰɔ	꜀ʦʰɔo	꜀ʦʰɔu	꜀ʦʰɔu	꜀ʦʰɑu	꜀ʦʰɔo	꜀ʦʰɔu	꜀ʦʰɔu	꜀ʦʰɔu	꜀ʦʰɔu
曹		꜁ʦʰɔu	꜁ʦʰɐo	꜁ʦʰɔ	꜁ʦʰɔu	꜁ʦʰɔo	꜁ʦʰəu	꜁ʦʰɔu	꜁ʦʰɔu	꜁ʦʰɔ	꜁ʦʰɔo	꜁ʦʰɔu	꜁ʦʰɔu	꜁ʦʰɑu	꜁ʦʰɔo	꜁ʦʰɔu	꜁ʦʰɔu	꜁ʦʰɔu	꜁ʦʰɔu
嫂		꜂sɔu	꜂sɐo	꜀sɔ	꜀sɔu	꜂sɔo	꜀səu	꜂sɔu	꜀sɔu	꜀sɔ	꜀sɔo	꜂sɔu	꜂sɔu	꜂sɑu	꜂sɔo	꜂sɔu	꜂sɔu	꜂sɔu	꜂sɔu
稿		꜂kɔu	꜂kɐo	꜀kɔ	꜀kɔu	꜂kɔo	꜀kəu	꜂kɔu	꜀kɯu	꜀kɔ	꜀kɔo	꜂kɔu	꜂kɔu	꜂kɑu	꜂kɔo	꜂kɔu	꜂kɔu	꜂kɔu	꜂kɔu
考		꜂kʰɔu	꜂kʰɐo	꜀kʰɔ	꜀kʰɔu	꜂kʰɔo	꜀kʰəu	꜂kʰɔu	꜀kʰɔu	꜀kʰɔ	꜀kʰɔo	꜂kʰɔu	꜂kʰɔu	꜂kʰɑu	꜂kʰɔo	꜂kʰɔu	꜂kʰɔu	꜂kʰɔu	꜂kʰɔu
熬		꜁nɔu	꜁nɐo	꜁nɔ	꜁ŋɔu	꜁ŋɔo	꜁əu	꜁ŋɔu	꜁ŋɯu	꜁ŋɔ	꜁ŋɔo	꜁ŋɔu	꜁ŋɔu	꜁ŋɑu	꜁ŋɔo	꜁ŋɔu	꜁ŋɔu	꜁ŋɔu	꜁ŋɔu
豪		꜁xɔu	꜁xɐo	꜁xɔ	꜁xɔu	꜁xɔo	꜁xəu	꜁xɔu	꜁xɔu	꜁xɔ	꜁xɔo	꜁xɔu	꜁xɔu	꜁xɑu	꜁xɔo	꜁xɔu	꜁xɔu	꜁xɔu	꜁xɔu
浩		xɔu꜄	xɐo꜄	xɔ꜄	xɔu꜄	xɔo꜄	xəu꜄	xɔu꜄	xɔu꜄	xɔ꜄	xɔo꜄	xɔu꜄	xɔu꜄	xɑu꜄	xɔo꜄	xɔu꜄	xɔu꜄	xɔu꜄	xɔu꜄
袄		꜂nɔu	꜂nɐo	꜀nɔ	꜀ŋɔu	꜂ŋɔo	꜀əu	꜂ŋɔu	꜀ŋɯu	꜀ŋɔ	꜀ŋɔo	꜂ŋɔu	꜂ŋɔu	꜂ŋɑu	꜂ŋɔo	꜂ŋɔu	꜂ŋɔu	꜂ŋɔu	꜂ŋɔu
饱		꜂pɔu	꜂pɐo	꜀pɔ	꜀pɔu	꜂pɔo	꜀pʌu	꜂puɤ	꜀pɔu	꜀pɔ	꜀pɔo	꜂pɔu	꜂pɔu	꜂pɑu	꜂pɔo	꜂pɔu	꜂pɔu	꜂pɔu	꜂pɔu
豹		pɔu꜄	pɐo꜄	pɔ꜄	pɔu꜄	pɔo꜄	pʌu꜄	puɤ꜄	pɔu꜄	pɔ꜄	pɔo꜄	pɔu꜄	pɔu꜄	pɑu꜄	pɔo꜄	pɔu꜄	pɔu꜄	pɔu꜄	pɔu꜄
泡		pʰɔu꜄	pʰɐo꜄	pʰɔ꜄	pʰɔu꜄	pʰɔo꜄	pʰʌu꜄	pʰuɤ꜄	pʰɔu꜄	pʰɔ꜄	pʰɔo꜄	pʰɔu꜄	pʰɔu꜄	pʰɑu꜄	pʰɔo꜄	pʰɔu꜄	pʰɔu꜄	pʰɔu꜄	pʰɔu꜄
猫		꜀mɔu	꜀mɐo	꜁mɔ	꜁mɔu	꜀mɔo	꜁mʌu	꜁muɤ	꜁mɔu	꜁mɔ	mɔo꜄	꜁mɔu	꜁mɔu	꜁mɑu	꜁mɔo	꜁mɔu	꜁mɔu	꜁mɔu	꜁mɔu
貌		mɔu꜄	mɐo꜄	mɔ꜄	mɔu꜄	mɔo꜄	mʌu꜄	muɤ꜄	mɔu꜄	mɔ꜄	mɔo꜄	mɔu꜄	mɔu꜄	mɑu꜄	mɔo꜄	mu꜄	mɔu꜄	mɔu꜄	mɔu꜄
闹		nɔu꜄	nɐo꜄	nɔ꜄	nɔu꜄	nɔo꜄	nəu꜄	nɔu꜄	nɔu꜄	nɔ꜄	nɔo꜄	nɔu꜄	nɔu꜄	nɑu꜄	nɔo꜄	nɔu꜄	nɔu꜄	nɔu꜄	nɔu꜄
找		꜂ʦɔu	꜂tʂɐo	꜀ʦɔ	꜀ʦɔu	꜂ʦɔo	꜀tʂəu	꜂ʦɔu	꜀ʦɔu	꜀ʦɔ	꜀ʦɔo	꜂ʦɔu	꜂ʦɔu	꜂ʦɑu	꜂ʦɔo	꜂ʦɔu	꜂ʦɔu	꜂ʦɔu	꜂ʦɔu
笊		ʦɔu꜄	tʂɐo꜄	ʦɔ꜄	ʦɔu꜄	ʦɔo꜄	ʦʌu꜄	ʦɔu꜄	ʦɔu꜄	ʦɔ꜄	ʦɔo꜄	ʦɔu꜄	ʦɔu꜄	ʦɑu꜄	ʦɔo꜄	ʦɔu꜄	ʦɔu꜄	ʦɔu꜄	ʦɔu꜄
炒		꜂ʦʰɔu	꜂tʂʰɐo	꜀ʦʰɔ	꜀ʦʰɔu	꜂ʦʰɔo	꜀ʦʰʌu	꜂ʦʰɔu	꜀ʦʰɔu	꜀ʦʰɔ	꜀ʦʰɔo	꜂ʦʰɔu	꜂ʦʰɔu	꜂ʦʰɑu	꜂ʦʰɔo	꜂ʦʰɔu	꜂ʦʰɔu	꜂ʦʰɔu	꜂ʦʰɔu
搅		꜂ʨiɔu	꜂ʨiɐo	꜀ʨiɔ	꜀ʨiɔu	꜂ʨiɔo	꜀ʨiʌu	꜂ʨiɔu	꜀ʨiɔu	꜀ʨiɔ	꜀ʨiɔo	꜂ʨiɔu	꜂ʨiɔu	꜂ʨiɑu	꜂ʨiɔo	꜂ʨiɔu	꜂ʨiɔu	꜂ʨiɔu	꜂ʨiɔu
巧		꜂ʨʰiɔu	꜂ʨʰiɐo	꜀ʨʰiɔ	꜀ʨʰiɔu	꜂ʨʰiɔo	꜀ʨʰiʌu	꜂ʨʰiɔu	꜀ʨʰiɔu	꜀ʨʰiɔ	꜀ʨʰiɔo	꜂ʨʰiɔu	꜂ʨʰiɔu	꜂ʨʰiɑu	꜂ʨʰiɔo	꜂ʨʰiɔu	꜂ʨʰiɔu	꜂ʨʰiɔu	꜂ʨʰiɔu
咬		꜂iɔu	꜂iɐo	꜀iɔ	꜀niɔu	꜂iɔo	꜀iʌu	꜂niɔu	꜀niɔu	꜀niɔ	꜀niɔo	꜂niɔu	꜂iɔu	꜂iɑu	꜂niɔo	꜂niɔu	꜂niɔu	꜂niɔu	꜂ȵiɔu
孝		ɕiɔu꜄	ɕiɐo꜄	ɕiɔ꜄	ɕiɔu꜄	ɕiɔo꜄	ɕiəu꜄	xɔu꜄/ɕiɔu꜄	xɔu꜄/ɕiɔu꜄	ɕiɔ꜄	ɕiɔo꜄	xɔu꜄/ɕiɔu꜄	ɕiɔu꜄	ɕiɑu꜄	ɕiɔo꜄	ɕiɔu꜄	ɕiɔu꜄	ɕiɔu꜄	ɕiɔu꜄
效		ɕiɔu꜄	ɕiɐo꜄	ɕiɔ꜄	ɕiɔu꜄	ɕiɔo꜄	ɕiəu꜄	ɕiɔu꜄	ɕiɔu꜄	ɕiɔ꜄	ɕiɔo꜄	ɕiɔu꜄	ɕiɔu꜄	ɕiɑu꜄	ɕiɔo꜄	ɕiɔu꜄	ɕiɔu꜄	ɕiɔu꜄	ɕiɔu꜄
膔		꜀piɔu	꜀piɐo	꜀piɔ	꜀piɔu	꜀piɔo	꜀piəu	꜀piɔu	꜀piɯu	꜀piɔ	꜀piɔo	꜀pyɒ	꜀piɔu	꜀piɑu	꜀piɔo	꜀piɔu	꜀piɔu	꜀piɔu	꜀piɔu
表		꜂piɔu	꜂piɐo	꜁piɔ	꜀piɔu	꜂piɔo	꜀piəu	꜂piɔu	꜀piɯu	꜀piɔ	꜀piɔo	꜂piɔu	꜂piɔu	꜂piɑu	꜂piɔo	꜂piɔu	꜂piɔu	꜂piɔu	꜂piɔu
苗		꜁miɔu	꜁miɐo	꜁miɔ	꜁miɔu	꜁miɔo	꜁miəu	꜁miɔu	꜁miɯu	꜁miɔ	꜁miɔo	꜁myɒ	꜁miɔu	꜁miɑu	꜁miɔo	꜁miɔu	꜁miɔu	꜁miɔu	꜁miɔu
秒		꜂miɔu	꜂miɐo	꜀miɔ	꜀miɔu	꜂miɔo	꜁miəu	꜂miɔu	꜀miɯu	꜀miɔ	꜀miɔo	꜂miɔu	꜂miɔu	꜂miɑu	꜂miɔo	꜂miɔu	꜂miɔu	꜂miɔu	꜂miɔu
剿		꜂ʨiɔu	꜂ʨiɐo	꜀ʨiɔ	꜀ʨiɔu	꜂ʨiɔo	꜀ʨiəu	꜂ʨiɔu	꜀ʨiɯu	꜀ʨiɔ	꜀ʨiɔo	꜂ʦʰɔu	꜂ʨiɔu	꜂ʨiɑu	꜂ʨiɔo	꜂ʨiɔu	꜂ʨiɔu	꜂ʨiɔu	꜂ʨiɔu
消		꜀ɕiɔu	꜀ɕiɐo	꜀ɕiɔ	꜀ɕiɔu	꜀ɕiɔo	꜀ɕiəu	꜀ɕiɔu	꜀ɕiɯu	꜀ɕiɔ	꜀ɕiɔo	꜀ɕyɒ/꜀ɕiɔu	꜀ɕiɔu	꜀ɕiɑu	꜀ɕiɔo	꜀ɕiɔu	꜀ɕiɔu	꜀ɕiɔu	꜀ɕiɔu
朝	朝代	꜁ʦʰɔu	꜁tʂʰɐo	꜁ʦʰɔ	꜁ʦʰɔu	꜁tʂʰɔo	꜁tʂʰəu	꜁tʂʰɔu	꜁tʂʰɯu	꜁tʂʰɔ	꜁tʂʰɔo	꜁tʂʰuə/꜁tʂʰɔu	꜁ʦʰɔu	꜁ʦʰɑu	꜁ʦʰɔo	꜁tʂʰɔu	꜁tʂʰɔu	꜁tʂʰɔu	꜁ʦʰɔu
赵		ʦɔu꜄	tʂɐo꜄	ʦɔ꜄	ʦɔu꜄	tʂɔo꜄	tʂəu꜄	tʂɔu꜄	tʂɯu꜄	tʂɔ꜄	tʂɔo꜄	tʂuə꜄/tʂɔu꜄	ʦɔu꜄	ʦɑu꜄	ʦɔo꜄	tʂɔu꜄	tʂɔu꜄	tʂɔu꜄	ʦɔu꜄
烧		꜀sɔu	꜀ʂɐo	꜀sɔ	꜀sɔu	꜀ʂɔo	꜀ʂəu	꜀ʂɔu	꜀ʂɯu	꜀ʂɔ	꜀ʂɔo	꜀ʂuə/꜀ʂɔu	꜀sɔu	꜀sɑu	꜀sɔo	꜀ʂɔu	꜀ʂɔu	꜀ʂɔu	꜀sɔu
照		ʦɔu꜄	tʂɐo꜄	ʦɔ꜄	ʦɔu꜄	tʂɔo꜄	tʂəu꜄	tʂɔu꜄	tʂɯu꜄	tʂɔ꜄	tʂɔo꜄	tʂuə꜄/tʂɔu꜄	ʦɔu꜄	ʦɑu꜄	ʦɔo꜄	tʂɔu꜄	tʂɔu꜄	tʂɔu꜄	ʦɔu꜄
骄		꜀ʨiɔu	꜀ʨiɐo	꜀ʨiɔ	꜀ʨiɔu	꜀ʨiɔo	꜀ʨiəu	꜀ʨiɔu	꜀ʨiɯu	꜀ʨiɔ	꜀ʨiɔo	꜀ʨiɔu	꜀ʨiɔu	꜀ʨiɑu	꜀ʨiɔo	꜀ʨiɔu	꜀ʨiɔu	꜀ʨiɔu	꜀ʨiɔu
桥		꜁ʨʰiɔu	꜁ʨʰiɐo	꜁ʨʰiɔ	꜁ʨʰiɔu	꜁ʨʰiɔo	꜁ʨʰiəu	꜁ʨʰiɔu	꜁ʨʰiɯu	꜁ʨʰiɔ	꜁ʨʰiɔo	꜁ʨʰyɒ	꜁ʨʰiɔu	꜁ʨʰiɑu	꜁ʨʰiɔo	꜁ʨʰiɔu	꜁ʨʰiɔu	꜁ʨʰiɔu	꜁ʨʰiɔu
妖		꜀iɔu	꜀iɐo	꜀iɔ	꜀iɔu	꜀iɔo	꜀iəu	꜀iɔu	꜀iɯu	꜀iɔ	꜀iɔo	꜀yɒ	꜀iɔu	꜀iɑu	꜀iɔo	꜀iɔu	꜀iɔu	꜀iɔu	꜀iɔu
要		iɔu꜄	iɐo꜄	iɔ꜄	iɔu꜄	iɔo꜄	iəu꜄	iɔu꜄	iɯu꜄	iɔ꜄	iɔo꜄	yɒ꜄	iɔu꜄	iɑu꜄	iɔo꜄	iɔu꜄	iɔu꜄	iɔu꜄	iɔu꜄
舀		꜂iɔu	꜂iɐo	꜀iɔ	꜀iɔu	꜂iɔo	꜀iəu	꜂iɔu	꜀iɯu	꜀iɔ	꜀iɔo	꜂yɒ	꜂iɔu	꜂iɑu	꜂iɔo	꜂iɔu	꜂iɔu	꜂iɔu	꜂iɔu
雕		꜀tiɔu	꜀tiɐo	꜀tiɔ	꜀tiɔu	꜀tiɔo	꜀tiəu	꜀tiɔu	꜀tiɯu	꜀tiɔ	꜀tiɔo	꜀tiɔu	꜀tiɔu	꜀tiɑu	꜀tiɔo	꜀tiɔu	꜀tiɔu	꜀tiɔu	꜀tiɔu
鸟		꜂niɔu	꜂niɐo	꜀niɔ	꜀niɔu	꜂niɔo	꜀niʌu	꜂niɔu	꜀niɔu	꜀niɔ	꜀ȵiɔo	꜂niɔu	꜂niɔu	꜂niɑu	꜂niɔo	꜂niɔu	꜂niɔu	꜂niɔu	꜂ȵiɔu
挑		꜀tʰiɔu	꜀tʰiɐo	꜀ʨʰiɔ	꜀tʰiɔu	꜀tʰiɔo	꜀tʰiəu	꜀tʰiɔu	꜀tʰiɯu	꜀tʰiɔ	꜀tʰiɔo	꜀tʰyɒ/꜀tʰiɔu	꜀tʰiɔu	꜀tʰiɑu	꜀tʰiɔo	꜀tʰiɔu	꜀tʰiɔu	꜀tʰiɔu	꜀tʰiɔu
跳		tʰiɔu꜄	tʰiɐo꜄	ʨʰiɔ꜄	tʰiɔu꜄	tʰiɔo꜄	tʰiəu꜄	tʰiɔu꜄	tʰiɯu꜄	tʰiɔ꜄	tʰiɔo꜄	tʰyɒ꜄	tʰiɔu꜄	tʰiɑu꜄	tʰiɔo꜄	tʰiɔu꜄	tʰiɔu꜄	tʰiɔu꜄	tʰiɔu꜄
料		liɔu꜄	liɐo꜄	liɔ꜄	liɔu꜄	liɔo꜄	liəu꜄	liɔu꜄	liɯu꜄	liɔ꜄	liɔo꜄	lyɒ꜄	liɔu꜄	liɑu꜄	liɔo꜄	liɔu꜄	liɔu꜄	liɔu꜄	liɔu꜄
