字	IPA	调值	注釋
愚	yi	31	
餘	yi	31	
羽	yi	42	
雨	yi	42	
與	yi	42	
玉	yi	35	
郁	iu	31	
育	iu	31	
域	iu	31	
欲	iu	31	
遇	yi	35	
獄	iu	31	
鬱	iu	31	
淵	yen	55	
元	yen	31	
原	yen	31	
園	yen	31	
圓	yen	31	
緣	yen	31	
遠	yen	42	
院	uan	35	
曰	ye	31	
約	io	31	
月	ye	31	
岳	io	31	
越	ye	31	
閲	ye	31	
云	yin	31	
雲	yin	31	
允	yin	42	
孕	zuən	35	
運	yin	35	
雜	tsa	31	
災	tsai	55	
宰	tsai	42	
再	tsai	35	
在	tsai	35	
暫	tsan	35	
贊	tsan	35	
糟	tsau	55	
早	tsau	42	
造	tsʰau	35	
則	tse	31	
責	tse	31	
擇	tsʰe	31	
澤	tsʰe	31	
賊	tse	31	
增	tsən	55	
閘	tɕia	31	
鍘	tsa	31	
炸	tsa	31	
炸	tsa	35	
詐	tsa	35	
摘	tse	31	
齋	tsai	55	
宅	tsʰe	31	
窄	tse	31	
債	tsai	35	
寨	tsai	35	
沾	tsan	55	
展	tsan	42	
斬	tsan	42	
站	tsan	35	
棧	tsan	35	
綻	tsan	35	
張	tsaŋ	55	
丈	tsaŋ	35	
帳	tsaŋ	35	
招	tsau	55	
昭	tsau	55	
照	tsau	35	
罩	tsau	35	
趙	tsau	35	
輒	tsʰe	31	
轍	tsʰe	31	
者	tse	42	
真	tsən	55	
偵	tsən	55	
臻	tsən	55	
陣	tsən	35	
争	tsən	55	
征	tsən	55	
正	tsən	35	
政	tsən	35	
鄭	tsən	35	
之	tsɿ	55	
支	tsɿ	55	
知	tsɿ	55	
隻	tsɿ	55	
侄	tsɿ	31	
值	tsɿ	31	
植	tsɿ	31	
殖	tsɿ	31	
職	tsɿ	31	
只	tsɿ	42	
指	tsɿ	42	
紙	tsɿ	42	
徵	tsən	55	
至	tsɿ	35	
志	tsɿ	35	
治	tsɿ	35	
致	tsɿ	35	
秩	tsʰɿ	31	
滯	tsʰɿ	35	
質	tsɿ	31	
擲	tsɿ	31	
中	tsoŋ	55	
鐘	tsoŋ	55	
重	tsoŋ	35	
衆	tsoŋ	35	
周	tsəu	55	
豬	tsu	55	
諸	tsu	55	
竹	tsu	31	
燭	tsu	31	
主	tsu	42	
助	tsu	35	
住	tsu	35	
注	tsu	35	
柱	tsu	35	
著	tso	31	
抓	tsua	55	
專	tsuan	55	
篆	tsuan	35	
莊	tsuaŋ	55	
樁	tsuaŋ	55	
狀	tsuaŋ	35	
撞	tsʰuaŋ	42	
追	tsuei	55	
錐	tsuei	55	
綴	tsue	31	
拙	tsue	31	
捉	tso	31	
桌	tso	31	
酌	tso	31	
資	tsɿ	55	
子	tsɿ	42	
自	tsɿ	35	
字	tsɿ	35	
宗	tsoŋ	55	
總	tsoŋ	42	
走	tsəu	42	
奏	tsəu	35	
租	tsu	55	
足	tɕiu	31	
卒	tɕiu	31	
族	tɕʰiu	31	
祖	tsu	42	
嘴	tsuei	42	
最	tsuei	35	
罪	tsuei	35	
醉	tsuei	35	
尊	tsən	55	
遵	tsən	55	
昨	tso	31	
左	tso	42	
作	tso	31	
坐	tso	35	
做	tsu	35	
