"繁體"	"简体"	"拼音"	"音标"	"注释"	"声"	"韵"	"调"
"狄"	"狄"	"di2"	"d̥ɨ˨˩"	""	"d̥"	"ɨ"	"˨˩"
"滌"	"涤"	"di2"	"d̥ɨ˨˩"	""	"d̥"	"ɨ"	"˨˩"
"特"	"特"	"di2"	"d̥ɨ˨˩"	"~门，可分别指专门、特地或者赶忙、抓紧"	"d̥"	"ɨ"	"˨˩"
"底"	"底"	"di3"	"d̥ɨ˦˧"	""	"d̥"	"ɨ"	"˦˧"
"抵"	"抵"	"di3"	"d̥ɨ˦˧"	""	"d̥"	"ɨ"	"˦˧"
"弟"	"弟"	"di4"	"d̥ɨ˨˦"	""	"d̥"	"ɨ"	"˨˦"
"第"	"第"	"di4"	"d̥ɨ˨˦"	""	"d̥"	"ɨ"	"˨˦"
"涕"	"涕"	"di4"	"d̥ɨ˨˦"	""	"d̥"	"ɨ"	"˨˦"
"遞"	"递"	"di4"	"d̥ɨ˨˦"	""	"d̥"	"ɨ"	"˨˦"
"帝"	"帝"	"di4"	"d̥ɨ˨˦"	""	"d̥"	"ɨ"	"˨˦"
"隸"	"隶"	"di4"	"d̥ɨ˨˦"	""	"d̥"	"ɨ"	"˨˦"
"地"	"地"	"di4"	"d̥ɨ˨˦"	""	"d̥"	"ɨ"	"˨˦"
"剔"	"剔"	"ti1"	"tʰɨ˦˥"	""	"tʰ"	"ɨ"	"˦˥"
"梯"	"梯"	"ti1"	"tʰɨ˦˥"	""	"tʰ"	"ɨ"	"˦˥"
"銻"	"锑"	"ti1"	"tʰɨ˦˥"	""	"tʰ"	"ɨ"	"˦˥"
"剃"	"剃"	"ti1"	"tʰɨ˦˥"	"白读"	"tʰ"	"ɨ"	"˦˥"
"堤"	"堤"	"ti2"	"tʰɨ˨˩"	""	"tʰ"	"ɨ"	"˨˩"
"提"	"提"	"ti2"	"tʰɨ˨˩"	"文读"	"tʰ"	"ɨ"	"˨˩"
"題"	"题"	"ti2"	"tʰɨ˨˩"	""	"tʰ"	"ɨ"	"˨˩"
"蹄"	"蹄"	"ti2"	"tʰɨ˨˩"	""	"tʰ"	"ɨ"	"˨˩"
"啼"	"啼"	"ti2"	"tʰɨ˨˩"	""	"tʰ"	"ɨ"	"˨˩"
"踢"	"踢"	"ti2"	"tʰɨ˨˩"	""	"tʰ"	"ɨ"	"˨˩"
"體"	"体"	"ti3"	"tʰɨ˦˧"	""	"tʰ"	"ɨ"	"˦˧"
"替"	"替"	"ti4"	"tʰɨ˨˦"	""	"tʰ"	"ɨ"	"˨˦"
"剃"	"剃"	"ti4"	"tʰɨ˨˦"	"文读"	"tʰ"	"ɨ"	"˨˦"
"嚏"	"嚏"	"ti4"	"tʰɨ˨˦"	""	"tʰ"	"ɨ"	"˨˦"
"戻"	"戻"	"ti4"	"tʰɨ˨˦"	""	"tʰ"	"ɨ"	"˨˦"
"躧"	"躧"	"ni1"	"nᵈɨ˦˥"	""	"nᵈ"	"ɨ"	"˦˥"
"裡"	"里"	"ni1"	"nᵈɨ˦˥"	"叽~咕噜"	"nᵈ"	"ɨ"	"˦˥"
"哩"	"哩"	"ni1"	"nᵈɨ˦˥"	""	"nᵈ"	"ɨ"	"˦˥"
"黎"	"黎"	"ni2"	"nᵈɨ˨˩"	""	"nᵈ"	"ɨ"	"˨˩"
"犁"	"犁"	"ni2"	"nᵈɨ˨˩"	""	"nᵈ"	"ɨ"	"˨˩"
"梨"	"梨"	"ni2"	"nᵈɨ˨˩"	""	"nᵈ"	"ɨ"	"˨˩"
"離"	"离"	"ni2"	"nᵈɨ˨˩"	""	"nᵈ"	"ɨ"	"˨˩"
"璃"	"璃"	"ni2"	"nᵈɨ˨˩"	""	"nᵈ"	"ɨ"	"˨˩"
"籬"	"篱"	"ni2"	"nᵈɨ˨˩"	""	"nᵈ"	"ɨ"	"˨˩"
"尼"	"尼"	"ni2"	"nᵈɨ˨˩"	""	"nᵈ"	"ɨ"	"˨˩"
"呢"	"呢"	"ni2"	"nᵈɨ˨˩"	"直贡~"	"nᵈ"	"ɨ"	"˨˩"
"泥"	"泥"	"ni2"	"nᵈɨ˨˩"	""	"nᵈ"	"ɨ"	"˨˩"
"妮"	"妮"	"ni2"	"nᵈɨ˨˩"	""	"nᵈ"	"ɨ"	"˨˩"
"暱"	"昵"	"ni2"	"nᵈɨ˨˩"	""	"nᵈ"	"ɨ"	"˨˩"
"匿"	"匿"	"ni2"	"nᵈɨ˨˩"	""	"nᵈ"	"ɨ"	"˨˩"
"釐"	"厘"	"ni2"	"nᵈɨ˨˩"	""	"nᵈ"	"ɨ"	"˨˩"
"喱"	"喱"	"ni2"	"nᵈɨ˨˩"	""	"nᵈ"	"ɨ"	"˨˩"
"立"	"立"	"ni2"	"nᵈɨ˨˩"	""	"nᵈ"	"ɨ"	"˨˩"
"粒"	"粒"	"ni2"	"nᵈɨ˨˩"	""	"nᵈ"	"ɨ"	"˨˩"
"栗"	"栗"	"ni2"	"nᵈɨ˨˩"	""	"nᵈ"	"ɨ"	"˨˩"
"律"	"律"	"ni2"	"nᵈɨ˨˩"	""	"nᵈ"	"ɨ"	"˨˩"
"聿"	"聿"	"ni2"	"nᵈɨ˨˩"	""	"nᵈ"	"ɨ"	"˨˩"
"力"	"力"	"ni2"	"nᵈɨ˨˩"	""	"nᵈ"	"ɨ"	"˨˩"
"率"	"率"	"ni2"	"nᵈɨ˨˩"	"效~；频~；概~"	"nᵈ"	"ɨ"	"˨˩"
"歷"	"历"	"ni2"	"nᵈɨ˨˩"	""	"nᵈ"	"ɨ"	"˨˩"
"瀝"	"沥"	"ni2"	"nᵈɨ˨˩"	""	"nᵈ"	"ɨ"	"˨˩"
"溺"	"溺"	"ni2"	"nᵈɨ˨˩"	""	"nᵈ"	"ɨ"	"˨˩"
"宜"	"宜"	"ni2"	"nᵈɨ˨˩"	""	"nᵈ"	"ɨ"	"˨˩"
"誼"	"谊"	"ni2"	"nᵈɨ˨˩"	""	"nᵈ"	"ɨ"	"˨˩"
"疑"	"疑"	"ni2"	"nᵈɨ˨˩"	""	"nᵈ"	"ɨ"	"˨˩"
"逆"	"逆"	"ni2"	"nᵈɨ˨˩"	""	"nᵈ"	"ɨ"	"˨˩"
"倪"	"倪"	"ni2"	"nᵈɨ˨˩"	""	"nᵈ"	"ɨ"	"˨˩"
"掜"	"掜"	"ni2"	"nᵈɨ˨˩"	""	"nᵈ"	"ɨ"	"˨˩"
"婗"	"婗"	"ni2"	"nᵈɨ˨˩"	""	"nᵈ"	"ɨ"	"˨˩"
"霓"	"霓"	"ni2"	"nᵈɨ˨˩"	""	"nᵈ"	"ɨ"	"˨˩"
"儀"	"仪"	"ni2"	"nᵈɨ˨˩"	""	"nᵈ"	"ɨ"	"˨˩"
"女"	"女"	"ni3"	"nᵈɨ˦˧"	""	"nᵈ"	"ɨ"	"˦˧"
"旅"	"旅"	"ni3"	"nᵈɨ˦˧"	""	"nᵈ"	"ɨ"	"˦˧"
"禮"	"礼"	"ni3"	"nᵈɨ˦˧"	""	"nᵈ"	"ɨ"	"˦˧"
"履"	"履"	"ni3"	"nᵈɨ˦˧"	""	"nᵈ"	"ɨ"	"˦˧"
"你"	"你"	"ni3"	"nᵈɨ˦˧"	""	"nᵈ"	"ɨ"	"˦˧"
"李"	"李"	"ni3"	"nᵈɨ˦˧"	""	"nᵈ"	"ɨ"	"˦˧"
"裡"	"里"	"ni3"	"nᵈɨ˦˧"	""	"nᵈ"	"ɨ"	"˦˧"
"理"	"理"	"ni3"	"nᵈɨ˦˧"	"文读"	"nᵈ"	"ɨ"	"˦˧"
"鯉"	"鲤"	"ni3"	"nᵈɨ˦˧"	""	"nᵈ"	"ɨ"	"˦˧"
"俚"	"俚"	"ni3"	"nᵈɨ˦˧"	""	"nᵈ"	"ɨ"	"˦˧"
"娌"	"娌"	"ni3"	"nᵈɨ˦˧"	""	"nᵈ"	"ɨ"	"˦˧"
"擬"	"拟"	"ni3"	"nᵈɨ˦˧"	""	"nᵈ"	"ɨ"	"˦˧"
"慮"	"虑"	"ni4"	"nᵈɨ˨˦"	""	"nᵈ"	"ɨ"	"˨˦"
"濾"	"滤"	"ni4"	"nᵈɨ˨˦"	""	"nᵈ"	"ɨ"	"˨˦"
"麗"	"丽"	"ni4"	"nᵈɨ˨˦"	""	"nᵈ"	"ɨ"	"˨˦"
"荔"	"荔"	"ni4"	"nᵈɨ˨˦"	""	"nᵈ"	"ɨ"	"˨˦"
"膩"	"腻"	"ni4"	"nᵈɨ˨˦"	""	"nᵈ"	"ɨ"	"˨˦"
"溺"	"溺"	"ni4"	"nᵈɨ˨˦"	"~巴子，指唾沫星子；屙~，指小便"	"nᵈ"	"ɨ"	"˨˦"
"利"	"利"	"ni4"	"nᵈɨ˨˦"	""	"nᵈ"	"ɨ"	"˨˦"
"痢"	"痢"	"ni4"	"nᵈɨ˨˦"	""	"nᵈ"	"ɨ"	"˨˦"
"例"	"例"	"ni4"	"nᵈɨ˨˦"	""	"nᵈ"	"ɨ"	"˨˦"
"吏"	"吏"	"ni4"	"nᵈɨ˨˦"	""	"nᵈ"	"ɨ"	"˨˦"
"戾"	"戾"	"ni4"	"nᵈɨ˨˦"	""	"nᵈ"	"ɨ"	"˨˦"
"義"	"义"	"ni4"	"nᵈɨ˨˦"	"~务；教~；遵~；尚~路"	"nᵈ"	"ɨ"	"˨˦"
"議"	"议"	"ni4"	"nᵈɨ˨˦"	""	"nᵈ"	"ɨ"	"˨˦"
"蟻"	"蚁"	"ni4"	"nᵈɨ˨˦"	"蚂~子"	"nᵈ"	"ɨ"	"˨˦"
"毅"	"毅"	"ni4"	"nᵈɨ˨˦"	""	"nᵈ"	"ɨ"	"˨˦"
"藝"	"艺"	"ni4"	"nᵈɨ˨˦"	""	"nᵈ"	"ɨ"	"˨˦"
"離"	"离"	"ni4"	"nᵈɨ˨˦"	"~开"	"nᵈ"	"ɨ"	"˨˦"
"居"	"居"	"ji1"	"tɕɨ˦˥"	""	"tɕ"	"ɨ"	"˦˥"
"車"	"车"	"ji1"	"tɕɨ˦˥"	"象棋用语"	"tɕ"	"ɨ"	"˦˥"
"拘"	"拘"	"ji1"	"tɕɨ˦˥"	""	"tɕ"	"ɨ"	"˦˥"
"驹"	"驹"	"ji1"	"tɕɨ˦˥"	""	"tɕ"	"ɨ"	"˦˥"
"俱"	"俱"	"ji1"	"tɕɨ˦˥"	""	"tɕ"	"ɨ"	"˦˥"
"狙"	"狙"	"ji1"	"tɕɨ˦˥"	""	"tɕ"	"ɨ"	"˦˥"
"雞"	"鸡"	"ji1"	"tɕɨ˦˥"	""	"tɕ"	"ɨ"	"˦˥"
"稽"	"稽"	"ji1"	"tɕɨ˦˥"	""	"tɕ"	"ɨ"	"˦˥"
"羈"	"羁"	"ji1"	"tɕɨ˦˥"	""	"tɕ"	"ɨ"	"˦˥"
"基"	"基"	"ji1"	"tɕɨ˦˥"	""	"tɕ"	"ɨ"	"˦˥"
"姬"	"姬"	"ji1"	"tɕɨ˦˥"	""	"tɕ"	"ɨ"	"˦˥"
"機"	"机"	"ji1"	"tɕɨ˦˥"	""	"tɕ"	"ɨ"	"˦˥"
"譏"	"讥"	"ji1"	"tɕɨ˦˥"	""	"tɕ"	"ɨ"	"˦˥"
"嘰"	"叽"	"ji1"	"tɕɨ˦˥"	"文读"	"tɕ"	"ɨ"	"˦˥"
"幾"	"几"	"ji1"	"tɕɨ˦˥"	""	"tɕ"	"ɨ"	"˦˥"
"飢"	"饥"	"ji1"	"tɕɨ˦˥"	""	"tɕ"	"ɨ"	"˦˥"
"肌"	"肌"	"ji1"	"tɕɨ˦˥"	""	"tɕ"	"ɨ"	"˦˥"
"几"	"几"	"ji1"	"tɕɨ˦˥"	""	"tɕ"	"ɨ"	"˦˥"
"吱"	"吱"	"ji1"	"tɕɨ˦˥"	"白读"	"tɕ"	"ɨ"	"˦˥"
"唧"	"唧"	"ji1"	"tɕɨ˦˥"	"文读"	"tɕ"	"ɨ"	"˦˥"
"织"	"织"	"ji1"	"tɕɨ˦˥"	"拟声词，~布声"	"tɕ"	"ɨ"	"˦˥"
"擠"	"挤"	"ji1"	"tɕɨ˦˥"	"衣物尺码过小；强行穿尺码过小的衣物"	"tɕ"	"ɨ"	"˦˥"
"臍"	"脐"	"ji1"	"tɕɨ˦˥"	"肚~眼"	"tɕ"	"ɨ"	"˦˥"
"薺"	"荠"	"ji1"	"tɕɨ˦˥"	"荸~"	"tɕ"	"ɨ"	"˦˥"
"錐"	"锥"	"ji1"	"tɕɨ˦˥"	"戳、刺，~人"	"tɕ"	"ɨ"	"˦˥"
"雎"	"雎"	"ji1"	"tɕɨ˦˥"	""	"tɕ"	"ɨ"	"˦˥"
"㞓"	"㞓"	"ji1"	"tɕɨ˦˥"	"男阴，粗语"	"tɕ"	"ɨ"	"˦˥"
"緝"	"缉"	"ji2"	"tɕɨ˨˩"	""	"tɕ"	"ɨ"	"˨˩"
"輯"	"辑"	"ji2"	"tɕɨ˨˩"	""	"tɕ"	"ɨ"	"˨˩"
"集"	"集"	"ji2"	"tɕɨ˨˩"	""	"tɕ"	"ɨ"	"˨˩"
"級"	"级"	"ji2"	"tɕɨ˨˩"	""	"tɕ"	"ɨ"	"˨˩"
"圾"	"圾"	"ji2"	"tɕɨ˨˩"	""	"tɕ"	"ɨ"	"˨˩"
"吸"	"吸"	"ji2"	"tɕɨ˨˩"	""	"tɕ"	"ɨ"	"˨˩"
"及"	"及"	"ji2"	"tɕɨ˨˩"	""	"tɕ"	"ɨ"	"˨˩"
"疾"	"疾"	"ji2"	"tɕɨ˨˩"	""	"tɕ"	"ɨ"	"˨˩"
"吉"	"吉"	"ji2"	"tɕɨ˨˩"	""	"tɕ"	"ɨ"	"˨˩"
"桔"	"桔"	"ji2"	"tɕɨ˨˩"	"文读"	"tɕ"	"ɨ"	"˨˩"
"拮"	"拮"	"ji2"	"tɕɨ˨˩"	""	"tɕ"	"ɨ"	"˨˩"
"狤"	"狤"	"ji2"	"tɕɨ˨˩"	""	"tɕ"	"ɨ"	"˨˩"
"即"	"即"	"ji2"	"tɕɨ˨˩"	""	"tɕ"	"ɨ"	"˨˩"
"鯽"	"鲫"	"ji2"	"tɕɨ˨˩"	""	"tɕ"	"ɨ"	"˨˩"
"棘"	"棘"	"ji2"	"tɕɨ˨˩"	""	"tɕ"	"ɨ"	"˨˩"
"極"	"极"	"ji2"	"tɕɨ˨˩"	""	"tɕ"	"ɨ"	"˨˩"
"積"	"积"	"ji2"	"tɕɨ˨˩"	""	"tɕ"	"ɨ"	"˨˩"
"跡"	"迹"	"ji2"	"tɕɨ˨˩"	""	"tɕ"	"ɨ"	"˨˩"
"脊"	"脊"	"ji2"	"tɕɨ˨˩"	""	"tɕ"	"ɨ"	"˨˩"
"籍"	"籍"	"ji2"	"tɕɨ˨˩"	""	"tɕ"	"ɨ"	"˨˩"
"藉"	"藉"	"ji2"	"tɕɨ˨˩"	""	"tɕ"	"ɨ"	"˨˩"
"戟"	"戟"	"ji2"	"tɕɨ˨˩"	""	"tɕ"	"ɨ"	"˨˩"
"績"	"绩"	"ji2"	"tɕɨ˨˩"	"文读"	"tɕ"	"ɨ"	"˨˩"
"寂"	"寂"	"ji2"	"tɕɨ˨˩"	""	"tɕ"	"ɨ"	"˨˩"
"擊"	"击"	"ji2"	"tɕɨ˨˩"	""	"tɕ"	"ɨ"	"˨˩"
"激"	"激"	"ji2"	"tɕɨ˨˩"	""	"tɕ"	"ɨ"	"˨˩"
"己"	"己"	"ji2"	"tɕɨ˨˩"	"妲~"	"tɕ"	"ɨ"	"˨˩"
"杞"	"杞"	"ji2"	"tɕɨ˨˩"	"枸~"	"tɕ"	"ɨ"	"˨˩"
"紀"	"纪"	"ji2"	"tɕɨ˨˩"	"年~"	"tɕ"	"ɨ"	"˨˩"
"舉"	"举"	"ji3"	"tɕɨ˦˧"	""	"tɕ"	"ɨ"	"˦˧"
"矩"	"矩"	"ji3"	"tɕɨ˦˧"	""	"tɕ"	"ɨ"	"˦˧"
"枸"	"枸"	"ji3"	"tɕɨ˦˧"	""	"tɕ"	"ɨ"	"˦˧"
"沮"	"沮"	"ji3"	"tɕɨ˦˧"	""	"tɕ"	"ɨ"	"˦˧"
"擠"	"挤"	"ji3"	"tɕɨ˦˧"	""	"tɕ"	"ɨ"	"˦˧"
"幾"	"几"	"ji3"	"tɕɨ˦˧"	""	"tɕ"	"ɨ"	"˦˧"
"己"	"己"	"ji3"	"tɕɨ˦˧"	""	"tɕ"	"ɨ"	"˦˧"
"紀"	"纪"	"ji3"	"tɕɨ˦˧"	""	"tɕ"	"ɨ"	"˦˧"
"起"	"起"	"ji3"	"tɕɨ˦˧"	"动词或形容词后表示动作或状态的持续"	"tɕ"	"ɨ"	"˦˧"
"麂"	"麂"	"ji3"	"tɕɨ˦˧"	""	"tɕ"	"ɨ"	"˦˧"
"據"	"据"	"ji4"	"tɕɨ˨˦"	""	"tɕ"	"ɨ"	"˨˦"
"鋸"	"锯"	"ji4"	"tɕɨ˨˦"	""	"tɕ"	"ɨ"	"˨˦"
"巨"	"巨"	"ji4"	"tɕɨ˨˦"	""	"tɕ"	"ɨ"	"˨˦"
"拒"	"拒"	"ji4"	"tɕɨ˨˦"	""	"tɕ"	"ɨ"	"˨˦"
"距"	"距"	"ji4"	"tɕɨ˨˦"	""	"tɕ"	"ɨ"	"˨˦"
"櫃"	"柜"	"ji4"	"tɕɨ˨˦"	"~柳"	"tɕ"	"ɨ"	"˨˦"
"句"	"句"	"ji4"	"tɕɨ˨˦"	""	"tɕ"	"ɨ"	"˨˦"
"聚"	"聚"	"ji4"	"tɕɨ˨˦"	""	"tɕ"	"ɨ"	"˨˦"
"懼"	"惧"	"ji4"	"tɕɨ˨˦"	""	"tɕ"	"ɨ"	"˨˦"
"濟"	"济"	"ji4"	"tɕɨ˨˦"	""	"tɕ"	"ɨ"	"˨˦"
"薺"	"荠"	"ji4"	"tɕɨ˨˦"	""	"tɕ"	"ɨ"	"˨˦"
"計"	"计"	"ji4"	"tɕɨ˨˦"	""	"tɕ"	"ɨ"	"˨˦"
"己"	"己"	"ji4"	"tɕɨ˨˦"	"天干"	"tɕ"	"ɨ"	"˨˦"
"記"	"记"	"ji4"	"tɕɨ˨˦"	""	"tɕ"	"ɨ"	"˨˦"
"紀"	"纪"	"ji4"	"tɕɨ˨˦"	"~念"	"tɕ"	"ɨ"	"˨˦"
"繼"	"继"	"ji4"	"tɕɨ˨˦"	""	"tɕ"	"ɨ"	"˨˦"
"祭"	"祭"	"ji4"	"tɕɨ˨˦"	""	"tɕ"	"ɨ"	"˨˦"
"際"	"际"	"ji4"	"tɕɨ˨˦"	""	"tɕ"	"ɨ"	"˨˦"
"稷"	"稷"	"ji4"	"tɕɨ˨˦"	""	"tɕ"	"ɨ"	"˨˦"
"技"	"技"	"ji4"	"tɕɨ˨˦"	""	"tɕ"	"ɨ"	"˨˦"
"妓"	"妓"	"ji4"	"tɕɨ˨˦"	""	"tɕ"	"ɨ"	"˨˦"
"既"	"既"	"ji4"	"tɕɨ˨˦"	""	"tɕ"	"ɨ"	"˨˦"
"具"	"具"	"ji4"	"tɕɨ˨˦"	""	"tɕ"	"ɨ"	"˨˦"
"季"	"季"	"ji4"	"tɕɨ˨˦"	""	"tɕ"	"ɨ"	"˨˦"
"系"	"系"	"ji4"	"tɕɨ˨˦"	""	"tɕ"	"ɨ"	"˨˦"
"促"	"促"	"qi1"	"tɕʰɨ˦˥"	"灶~织"	"tɕʰ"	"ɨ"	"˦˥"
"织"	"织"	"qi1"	"tɕʰɨ˦˥"	"灶促~"	"tɕʰ"	"ɨ"	"˦˥"
"蛐"	"蛐"	"qi1"	"tɕʰɨ˦˥"	""	"tɕʰ"	"ɨ"	"˦˥"
"伹"	"伹"	"qi1"	"tɕʰɨ˦˥"	""	"tɕʰ"	"ɨ"	"˦˥"
"蛆"	"蛆"	"qi1"	"tɕʰɨ˦˥"	""	"tɕʰ"	"ɨ"	"˦˥"
"欺"	"欺"	"qi1"	"tɕʰɨ˦˥"	""	"tɕʰ"	"ɨ"	"˦˥"
"期"	"期"	"qi1"	"tɕʰɨ˦˥"	""	"tɕʰ"	"ɨ"	"˦˥"
"溪"	"溪"	"qi1"	"tɕʰɨ˦˥"	""	"tɕʰ"	"ɨ"	"˦˥"
"蹊"	"蹊"	"qi1"	"tɕʰɨ˦˥"	""	"tɕʰ"	"ɨ"	"˦˥"
"區"	"区"	"qi1"	"tɕʰɨ˦˥"	""	"tɕʰ"	"ɨ"	"˦˥"
"驅"	"驱"	"qi1"	"tɕʰɨ˦˥"	""	"tɕʰ"	"ɨ"	"˦˥"
"軀"	"躯"	"qi1"	"tɕʰɨ˦˥"	""	"tɕʰ"	"ɨ"	"˦˥"
"趨"	"趋"	"qi1"	"tɕʰɨ˦˥"	""	"tɕʰ"	"ɨ"	"˦˥"
"妻"	"妻"	"qi1"	"tɕʰɨ˦˥"	""	"tɕʰ"	"ɨ"	"˦˥"
"淒"	"凄"	"qi1"	"tɕʰɨ˦˥"	""	"tɕʰ"	"ɨ"	"˦˥"
"棲"	"栖"	"qi1"	"tɕʰɨ˦˥"	""	"tɕʰ"	"ɨ"	"˦˥"
"渠"	"渠"	"qi2"	"tɕʰɨ˨˩"	""	"tɕʰ"	"ɨ"	"˨˩"
"瞿"	"瞿"	"qi2"	"tɕʰɨ˨˩"	""	"tɕʰ"	"ɨ"	"˨˩"
"齊"	"齐"	"qi2"	"tɕʰɨ˨˩"	""	"tɕʰ"	"ɨ"	"˨˩"
"臍"	"脐"	"qi2"	"tɕʰɨ˨˩"	""	"tɕʰ"	"ɨ"	"˨˩"
"奇"	"奇"	"qi2"	"tɕʰɨ˨˩"	""	"tɕʰ"	"ɨ"	"˨˩"
"騎"	"骑"	"qi2"	"tɕʰɨ˨˩"	""	"tɕʰ"	"ɨ"	"˨˩"
"畸"	"畸"	"qi2"	"tɕʰɨ˨˩"	""	"tɕʰ"	"ɨ"	"˨˩"
"歧"	"歧"	"qi2"	"tɕʰɨ˨˩"	""	"tɕʰ"	"ɨ"	"˨˩"
"祁"	"祁"	"qi2"	"tɕʰɨ˨˩"	""	"tɕʰ"	"ɨ"	"˨˩"
"祈"	"祈"	"qi2"	"tɕʰɨ˨˩"	""	"tɕʰ"	"ɨ"	"˨˩"
"俟"	"俟"	"qi2"	"tɕʰɨ˨˩"	"万~，少数民族复姓"	"tɕʰ"	"ɨ"	"˨˩"
"其"	"其"	"qi2"	"tɕʰɨ˨˩"	""	"tɕʰ"	"ɨ"	"˨˩"
"棋"	"棋"	"qi2"	"tɕʰɨ˨˩"	""	"tɕʰ"	"ɨ"	"˨˩"
"旗"	"旗"	"qi2"	"tɕʰɨ˨˩"	""	"tɕʰ"	"ɨ"	"˨˩"
"淇"	"淇"	"qi2"	"tɕʰɨ˨˩"	""	"tɕʰ"	"ɨ"	"˨˩"
"七"	"七"	"qi2"	"tɕʰɨ˨˩"	""	"tɕʰ"	"ɨ"	"˨˩"
"漆"	"漆"	"qi2"	"tɕʰɨ˨˩"	""	"tɕʰ"	"ɨ"	"˨˩"
"膝"	"膝"	"qi2"	"tɕʰɨ˨˩"	""	"tɕʰ"	"ɨ"	"˨˩"
"乞"	"乞"	"qi2"	"tɕʰɨ˨˩"	""	"tɕʰ"	"ɨ"	"˨˩"
"迄"	"迄"	"qi2"	"tɕʰɨ˨˩"	""	"tɕʰ"	"ɨ"	"˨˩"
"訖"	"讫"	"qi2"	"tɕʰɨ˨˩"	""	"tɕʰ"	"ɨ"	"˨˩"
"戚"	"戚"	"qi2"	"tɕʰɨ˨˩"	""	"tɕʰ"	"ɨ"	"˨˩"
"嘁"	"嘁"	"qi2"	"tɕʰɨ˨˩"	""	"tɕʰ"	"ɨ"	"˨˩"
"績"	"绩"	"qi2"	"tɕʰɨ˨˩"	"~麻"	"tɕʰ"	"ɨ"	"˨˩"
"錘"	"锤"	"qi2"	"tɕʰɨ˨˩"	"~~捶，划拳游戏用语"	"tɕʰ"	"ɨ"	"˨˩"
"捶"	"捶"	"qi2"	"tɕʰɨ˨˩"	"锤锤~，划拳游戏用语"	"tɕʰ"	"ɨ"	"˨˩"
"取"	"取"	"qi3"	"tɕʰɨ˦˧"	""	"tɕʰ"	"ɨ"	"˦˧"
"娶"	"娶"	"qi3"	"tɕʰɨ˦˧"	""	"tɕʰ"	"ɨ"	"˦˧"
"启"	"启"	"qi3"	"tɕʰɨ˦˧"	""	"tɕʰ"	"ɨ"	"˦˧"
"綺"	"绮"	"qi3"	"tɕʰɨ˦˧"	""	"tɕʰ"	"ɨ"	"˦˧"
"起"	"起"	"qi3"	"tɕʰɨ˦˧"	""	"tɕʰ"	"ɨ"	"˦˧"
"岂"	"岂"	"qi3"	"tɕʰɨ˦˧"	""	"tɕʰ"	"ɨ"	"˦˧"
"杞"	"杞"	"qi3"	"tɕʰɨ˦˧"	""	"tɕʰ"	"ɨ"	"˦˧"
"泣"	"泣"	"qi3"	"tɕʰɨ˦˧"	"哭~"	"tɕʰ"	"ɨ"	"˦˧"
"啐"	"啐"	"qi3"	"tɕʰɨ˦˧"	"语气词，表示不服气"	"tɕʰ"	"ɨ"	"˦˧"
"去"	"去"	"qi4"	"tɕʰɨ˨˦"	"文读"	"tɕʰ"	"ɨ"	"˨˦"
"趣"	"趣"	"qi4"	"tɕʰɨ˨˦"	""	"tɕʰ"	"ɨ"	"˨˦"
"契"	"契"	"qi4"	"tɕʰɨ˨˦"	""	"tɕʰ"	"ɨ"	"˨˦"
"鍥"	"锲"	"qi4"	"tɕʰɨ˨˦"	""	"tɕʰ"	"ɨ"	"˨˦"
"楔"	"楔"	"qi4"	"tɕʰɨ˨˦"	""	"tɕʰ"	"ɨ"	"˨˦"
"砌"	"砌"	"qi4"	"tɕʰɨ˨˦"	""	"tɕʰ"	"ɨ"	"˨˦"
"企"	"企"	"qi4"	"tɕʰɨ˨˦"	""	"tɕʰ"	"ɨ"	"˨˦"
"器"	"器"	"qi4"	"tɕʰɨ˨˦"	""	"tɕʰ"	"ɨ"	"˨˦"
"棄"	"弃"	"qi4"	"tɕʰɨ˨˦"	""	"tɕʰ"	"ɨ"	"˨˦"
"虛"	"虚"	"xi1"	"ɕɨ˦˥"	""	"ɕ"	"ɨ"	"˦˥"
"噓"	"嘘"	"xi1"	"ɕɨ˦˥"	""	"ɕ"	"ɨ"	"˦˥"
"胥"	"胥"	"xi1"	"ɕɨ˦˥"	""	"ɕ"	"ɨ"	"˦˥"
"諝"	"谞"	"xi1"	"ɕɨ˦˥"	""	"ɕ"	"ɨ"	"˦˥"
"須"	"须"	"xi1"	"ɕɨ˦˥"	""	"ɕ"	"ɨ"	"˦˥"
"需"	"需"	"xi1"	"ɕɨ˦˥"	""	"ɕ"	"ɨ"	"˦˥"
"奚"	"奚"	"xi1"	"ɕɨ˦˥"	""	"ɕ"	"ɨ"	"˦˥"
"兮"	"兮"	"xi1"	"ɕɨ˦˥"	""	"ɕ"	"ɨ"	"˦˥"
"诶"	"诶"	"xi1"	"ɕɨ˦˥"	"长~~"	"ɕ"	"ɨ"	"˦˥"
"犀"	"犀"	"xi1"	"ɕɨ˦˥"	""	"ɕ"	"ɨ"	"˦˥"
"西"	"西"	"xi1"	"ɕɨ˦˥"	""	"ɕ"	"ɨ"	"˦˥"
"硒"	"硒"	"xi1"	"ɕɨ˦˥"	""	"ɕ"	"ɨ"	"˦˥"
"羲"	"羲"	"xi1"	"ɕɨ˦˥"	""	"ɕ"	"ɨ"	"˦˥"
"犧"	"牺"	"xi1"	"ɕɨ˦˥"	""	"ɕ"	"ɨ"	"˦˥"
"曦"	"曦"	"xi1"	"ɕɨ˦˥"	""	"ɕ"	"ɨ"	"˦˥"
