漢字	聲部	韻部	聲	韻	調類
麴	氣悉	銀恭入	kʰ	yʔ	4
乞	氣悉	銀恭入	kʰ	yʔ	4
䎢	氣悉	銀恭入	kʰ	yʔ	4
䒼	氣悉	銀恭入	kʰ	yʔ	4
蛐	氣悉	銀恭入	kʰ	yʔ	4
䒗	氣悉	銀恭入	kʰ	yʔ	4
髷	氣悉	銀恭入	kʰ	yʔ	4
芹	氣悉	銀恭	kʰ	yŋ	5
囷	氣悉	銀恭	kʰ	yŋ	5
𢛕	氣悉	銀恭	kʰ	yŋ	5
蛩	氣悉	銀恭	kʰ	yŋ	5
𥎊	氣悉	銀恭	kʰ	yŋ	5
邛	氣悉	銀恭	kʰ	yŋ	5
桕	氣悉	銀恭入	kʰ	yʔ	8
芎	非風	銀恭	h	yŋ	1
筇	語鳥	釭綱	ŋ	ouŋ	5
曲	氣悉	過朱入	kʰ	uok	4
中	低聲	銀恭	t	yŋ	1
忠	低聲	銀恭	t	yŋ	1
衷	低聲	銀恭	t	yŋ	1
忪	低聲	銀恭	t	yŋ	1
中	低聲	銀恭	t	yŋ	3
竹	低聲	銀恭入	t	yʔ	4
竺	低聲	銀恭入	t	yʔ	4
築	低聲	銀恭入	t	yʔ	4
重	低聲	銀恭	t	yŋ	5
仲	低聲	銀恭	t	yŋ	7
重	低聲	銀恭	t	yŋ	7
𨉢	低聲	銀恭	t	yŋ	7
諥	低聲	銀恭	t	yŋ	7
衶	低聲	銀恭	t	yŋ	7
𩿀	低聲	銀恭	t	yŋ	7
逐	低聲	銀恭入	t	yʔ	8
軸	低聲	銀恭入	t	yʔ	8
鱁	低聲	銀恭入	t	yʔ	8
䠱	低聲	銀恭入	t	yʔ	8
躅	低聲	銀恭入	t	yʔ	8
𩞈	低聲	銀恭入	t	yʔ	8
蓫	低聲	銀恭入	t	yʔ	8
重	他皆	銀恭	tʰ	yŋ	5
躅	出	銀恭入	tsʰ	yʔ	4
重	低聲	東江	t	øŋ	7
軸	出	東江入	tsʰ	øʔ	4
鱁	低聲	過朱	t	uo	7
寵	他皆	銀恭	tʰ	yŋ	2
𩒘	他皆	銀恭	tʰ	yŋ	2
朒	他皆	銀恭入	tʰ	yʔ	4
縮	他皆	銀恭入	tʰ	yʔ	4
褈	他皆	銀恭	tʰ	yŋ	5
蟲	他皆	銀恭	tʰ	yŋ	5
䖝	他皆	銀恭	tʰ	yŋ	5
朒	日女	銀恭入	n	yʔ	4
縮	時授	釭綱入	s	ouʔ	4
蟲	他皆	東江	tʰ	øŋ	5
鐘	曾之	銀恭	ts	yŋ	1
鍾	曾之	銀恭	ts	yŋ	1
蹱	曾之	銀恭	ts	yŋ	1
螽	曾之	銀恭	ts	yŋ	1
舂	曾之	銀恭	ts	yŋ	1
摏	曾之	銀恭	ts	yŋ	1
終	曾之	銀恭	ts	yŋ	1
䈺	曾之	銀恭	ts	yŋ	1
種	曾之	銀恭	ts	yŋ	2
腫	曾之	銀恭	ts	yŋ	2
踵	曾之	銀恭	ts	yŋ	2
煄	曾之	銀恭	ts	yŋ	2
𣧩	曾之	銀恭	ts	yŋ	2
衆	曾之	銀恭	ts	yŋ	3
種	曾之	銀恭	ts	yŋ	3
縱	曾之	銀恭	ts	yŋ	3
慫	曾之	銀恭	ts	yŋ	3
䱰	曾之	銀恭	ts	yŋ	3
叔	曾之	銀恭入	ts	yʔ	4
𡬧	曾之	銀恭入	ts	yʔ	4
粥	曾之	銀恭入	ts	yʔ	4
祝	曾之	銀恭入	ts	yʔ	4
囑	曾之	銀恭入	ts	yʔ	4
燭	曾之	銀恭入	ts	yʔ	4
從	曾之	銀恭	ts	yŋ	5
从	曾之	銀恭	ts	yŋ	5
蓯	曾之	銀恭	ts	yŋ	5
䳷	曾之	銀恭	ts	yŋ	5
從	曾之	銀恭	ts	yŋ	7
昮	曾之	銀恭	ts	yŋ	7
叔	時授	銀恭入	s	yʔ	4
從	出	銀恭	tsʰ	yŋ	1
蹱	出	銀恭	tsʰ	yŋ	1
燭	曾之	過朱入	ts	uok	4
𢫭	日女	銀恭入	n	yʔ	4
恧	日女	銀恭入	n	yʔ	4
𢇵	日女	銀恭入	n	yʔ	4
肉	日女	銀恭入	n	yʔ	8
𡎳	日女	銀恭入	n	yʔ	8
踧	時授	銀恭入	s	yʔ	4
蹜	時授	銀恭入	s	yʔ	4
淑	時授	銀恭入	s	yʔ	4
菽	時授	銀恭入	s	yʔ	4
粟	時授	銀恭入	s	yʔ	4
玊	時授	銀恭入	s	yʔ	4
夙	時授	銀恭入	s	yʔ	4
肅	時授	銀恭入	s	yʔ	4
驌	時授	銀恭入	s	yʔ	4
倏	時授	銀恭入	s	yʔ	4
蓿	時授	銀恭入	s	yʔ	4
鮛	時授	銀恭入	s	yʔ	4
䥔	時授	銀恭入	s	yʔ	4
松	時授	銀恭	s	yŋ	5
𱆳	時授	銀恭	s	yŋ	5
頌	時授	銀恭	s	yŋ	7
訟	時授	銀恭	s	yŋ	7
誦	時授	銀恭	s	yŋ	7
熟	時授	銀恭入	s	yʔ	8
孰	時授	銀恭入	s	yʔ	8
塾	時授	銀恭入	s	yʔ	8
屬	時授	銀恭入	s	yʔ	8
属	時授	銀恭入	s	yʔ	8
蜀	時授	銀恭入	s	yʔ	8
續	時授	銀恭入	s	yʔ	8
贖	時授	銀恭入	s	yʔ	8
俗	時授	銀恭入	s	yʔ	8
踧	出	銀恭入	tsʰ	yʔ	4
蹜	時授	釭綱入	s	ouʔ	4
雍	鶯亦	銀恭		yŋ	1
饔	鶯亦	銀恭		yŋ	1
雝	鶯亦	銀恭		yŋ	1
廱	鶯亦	銀恭		yŋ	1
癰	鶯亦	銀恭		yŋ	1
殷	鶯亦	銀恭		yŋ	1
慇	鶯亦	銀恭		yŋ	1
蒑	鶯亦	銀恭		yŋ	1
磤	鶯亦	銀恭		yŋ	1
𢢓	鶯亦	銀恭		yŋ	1
邕	鶯亦	銀恭		yŋ	1
𪄉	鶯亦	銀恭		yŋ	1
㒕	鶯亦	銀恭		yŋ	1
𧴄	鶯亦	銀恭		yŋ	1
𩍓	鶯亦	銀恭		yŋ	1
蕹	鶯亦	銀恭		yŋ	1
忍	鶯亦	銀恭		yŋ	2
䌥	鶯亦	銀恭		yŋ	2
𦅂	鶯亦	銀恭		yŋ	2
隱	鶯亦	銀恭		yŋ	2
阭	鶯亦	銀恭		yŋ	2
尹	鶯亦	銀恭		yŋ	2
勇	鶯亦	銀恭		yŋ	2
芛	鶯亦	銀恭		yŋ	2
允	鶯亦	銀恭		yŋ	2
𧗴	鶯亦	銀恭		yŋ	2
湧	鶯亦	銀恭		yŋ	3
踴	鶯亦	銀恭		yŋ	3
擁	鶯亦	銀恭		yŋ	3
臃	鶯亦	銀恭		yŋ	3
壅	鶯亦	銀恭		yŋ	3
灉	鶯亦	銀恭		yŋ	3
鬱	鶯亦	銀恭入		yʔ	4
㮋	鶯亦	銀恭入		yʔ	4
戫	鶯亦	銀恭入		yʔ	4
燠	鶯亦	銀恭入		yʔ	4
噢	鶯亦	銀恭入		yʔ	4
㗜	鶯亦	銀恭入		yʔ	4
庘	鶯亦	銀恭入		yʔ	4
庸	鶯亦	銀恭		yŋ	5
鄘	鶯亦	銀恭		yŋ	5
墉	鶯亦	銀恭		yŋ	5
牅	鶯亦	銀恭		yŋ	5
慵	鶯亦	銀恭		yŋ	5
鏞	鶯亦	銀恭		yŋ	5
嫞	鶯亦	銀恭		yŋ	5
傭	鶯亦	銀恭		yŋ	5
容	鶯亦	銀恭		yŋ	5
榕	鶯亦	銀恭		yŋ	5
蓉	鶯亦	銀恭		yŋ	5
匀	鶯亦	銀恭		yŋ	5
筠	鶯亦	銀恭		yŋ	5
融	鶯亦	銀恭		yŋ	5
戎	鶯亦	銀恭		yŋ	5
絨	鶯亦	銀恭		yŋ	5
娀	鶯亦	銀恭		yŋ	5
茸	鶯亦	銀恭		yŋ	5
毧	鶯亦	銀恭		yŋ	5
㣑	鶯亦	銀恭		yŋ	5
愹	鶯亦	銀恭		yŋ	5
畇	鶯亦	銀恭		yŋ	5
㼸	鶯亦	銀恭		yŋ	5
媶	鶯亦	銀恭		yŋ	5
用	鶯亦	銀恭		yŋ	7
潤	鶯亦	銀恭		yŋ	7
𥁎	鶯亦	銀恭		yŋ	7
毓	鶯亦	銀恭入		yʔ	8
育	鶯亦	銀恭入		yʔ	8
煜	鶯亦	銀恭入		yʔ	8
焴	鶯亦	銀恭入		yʔ	8
燏	鶯亦	銀恭入		yʔ	8
辱	鶯亦	銀恭入		yʔ	8
褥	鶯亦	銀恭入		yʔ	8
聿	鶯亦	銀恭入		yʔ	8
浴	鶯亦	銀恭入		yʔ	8
欲	鶯亦	銀恭入		yʔ	8
慾	鶯亦	銀恭入		yʔ	8
鷸	鶯亦	銀恭入		yʔ	8
遹	鶯亦	銀恭入		yʔ	8
俼	鶯亦	銀恭入		yʔ	8
鴥	鶯亦	銀恭入		yʔ	8
昱	鶯亦	銀恭入		yʔ	8
縟	鶯亦	銀恭入		yʔ	8
銀	語鳥	銀恭	ŋ	yŋ	5
𡁬	語鳥	銀恭	ŋ	yŋ	5
齦	語鳥	銀恭	ŋ	yŋ	5
齗	語鳥	銀恭	ŋ	yŋ	5
誾	語鳥	銀恭	ŋ	yŋ	5
嚚	語鳥	銀恭	ŋ	yŋ	5
𩔔	語鳥	銀恭	ŋ	yŋ	5
顒	語鳥	銀恭	ŋ	yŋ	5
𪛊	語鳥	銀恭	ŋ	yŋ	5
䴦	語鳥	銀恭	ŋ	yŋ	5
𩤛	語鳥	銀恭	ŋ	yŋ	5
𡵜	語鳥	銀恭	ŋ	yŋ	7
憗	語鳥	銀恭	ŋ	yŋ	7
玉	語鳥	銀恭入	ŋ	yʔ	8
鈺	語鳥	銀恭入	ŋ	yʔ	8
獄	語鳥	銀恭入	ŋ	yʔ	8
砡	語鳥	銀恭入	ŋ	yʔ	8
𧉣	語鳥	銀恭入	ŋ	yʔ	8
䞝	語鳥	銀恭入	ŋ	yʔ	8
鳿	語鳥	銀恭入	ŋ	yʔ	8
玉	語鳥	過朱入	ŋ	uok	8
獄	語鳥	過朱入	ŋ	uok	8
冲	出	銀恭	tsʰ	yŋ	1
忡	出	銀恭	tsʰ	yŋ	1
种	出	銀恭	tsʰ	yŋ	1
充	出	銀恭	tsʰ	yŋ	1
茺	出	銀恭	tsʰ	yŋ	1
衝	出	銀恭	tsʰ	yŋ	1
摐	出	銀恭	tsʰ	yŋ	1
㤝	出	銀恭	tsʰ	yŋ	1
𠟍	出	銀恭	tsʰ	yŋ	1
䆔	出	銀恭	tsʰ	yŋ	1
𥫯	出	銀恭	tsʰ	yŋ	1
𨳁	出	銀恭	tsʰ	yŋ	1
翀	出	銀恭	tsʰ	yŋ	1
銃	出	銀恭	tsʰ	yŋ	3
𣀒	出	銀恭	tsʰ	yŋ	3
觸	出	銀恭入	tsʰ	yʔ	4
斶	出	銀恭入	tsʰ	yʔ	4
歜	出	銀恭入	tsʰ	yʔ	4
㩆	出	銀恭入	tsʰ	yʔ	4
蹵	出	銀恭入	tsʰ	yʔ	4
蹴	出	銀恭入	tsʰ	yʔ	4
促	出	銀恭入	tsʰ	yʔ	4
捉	出	銀恭入	tsʰ	yʔ	4
顣	出	銀恭入	tsʰ	yʔ	4
䛤	出	銀恭入	tsʰ	yʔ	4
𨁀	出	銀恭入	tsʰ	yʔ	4
浞	出	銀恭入	tsʰ	yʔ	4
捉	曾之	釭綱入	ts	ouʔ	8
觸	低聲	東江入	t	øʔ	4
勳	非風	銀恭	h	yŋ	1
勛	非風	銀恭	h	yŋ	1
曛	非風	銀恭	h	yŋ	1
壎	非風	銀恭	h	yŋ	1
塤	非風	銀恭	h	yŋ	1
烘	非風	銀恭	h	yŋ	1
燻	非風	銀恭	h	yŋ	1
薰	非風	銀恭	h	yŋ	1
醺	非風	銀恭	h	yŋ	1
匈	非風	銀恭	h	yŋ	1
獯	非風	銀恭	h	yŋ	1
凶	非風	銀恭	h	yŋ	1
兇	非風	銀恭	h	yŋ	1
胸	非風	銀恭	h	yŋ	1
胷	非風	銀恭	h	yŋ	1
訩	非風	銀恭	h	yŋ	1
酗	非風	銀恭	h	yŋ	1
䣴	非風	銀恭	h	yŋ	1
欣	非風	銀恭	h	yŋ	1
忻	非風	銀恭	h	yŋ	1
昕	非風	銀恭	h	yŋ	1
訢	非風	銀恭	h	yŋ	1
焮	非風	銀恭	h	yŋ	1
纁	非風	銀恭	h	yŋ	1
詾	非風	銀恭	h	yŋ	1
䁝	非風	銀恭	h	yŋ	2
釁	非風	銀恭	h	yŋ	3
舋	非風	銀恭	h	yŋ	3
旭	非風	銀恭入	h	yʔ	4
旮	非風	銀恭入	h	yʔ	4
勖	非風	銀恭入	h	yʔ	4
勗	非風	銀恭入	h	yʔ	4
畜	非風	銀恭入	h	yʔ	4
蓄	非風	銀恭入	h	yʔ	4
頊	非風	銀恭入	h	yʔ	4
鄐	非風	銀恭入	h	yʔ	4
矗	非風	銀恭入	h	yʔ	4
𩖷	非風	銀恭入	h	yʔ	4
雄	非風	銀恭	h	yŋ	5
熊	非風	銀恭	h	yŋ	5
烘	非風	東江	h	øŋ	1
郎	柳	釭綱	l	ouŋ	2
𬡨	柳	釭綱	l	ouŋ	2
烺	柳	釭綱	l	ouŋ	2
閬	柳	釭綱	l	ouŋ	2
𧚅	柳	釭綱	l	ouŋ	2
脼	柳	釭綱	l	ouŋ	2
崘	柳	釭綱	l	ouŋ	3
稐	柳	釭綱	l	ouŋ	3
郎	柳	釭綱	l	ouŋ	5
瑯	柳	釭綱	l	ouŋ	5
廊	柳	釭綱	l	ouŋ	5
榔	柳	釭綱	l	ouŋ	5
螂	柳	釭綱	l	ouŋ	5
琅	柳	釭綱	l	ouŋ	5
𧚅	柳	釭綱	l	ouŋ	5
狼	柳	釭綱	l	ouŋ	5
浪	柳	釭綱	l	ouŋ	5
稂	柳	釭綱	l	ouŋ	5
筤	柳	釭綱	l	ouŋ	5
躴	柳	釭綱	l	ouŋ	5
鋃	柳	釭綱	l	ouŋ	5
𩛡	柳	釭綱	l	ouŋ	5
𩷕	柳	釭綱	l	ouŋ	5
𪁜	柳	釭綱	l	ouŋ	5
𦵧	柳	釭綱	l	ouŋ	5
㢃	柳	釭綱	l	ouŋ	5
莨	柳	釭綱	l	ouŋ	5
䯖	柳	釭綱	l	ouŋ	5
艆	柳	釭綱	l	ouŋ	5
論	柳	釭綱	l	ouŋ	7
浪	柳	釭綱	l	ouŋ	7
閬	柳	釭綱	l	ouŋ	7
蛋	柳	釭綱	l	ouŋ	7
埌	柳	釭綱	l	ouŋ	7
誏	柳	釭綱	l	ouŋ	7
蒗	柳	釭綱	l	ouŋ	7
樂	柳	釭綱入	l	ouʔ	8
落	柳	釭綱入	l	ouʔ	8
洛	柳	釭綱入	l	ouʔ	8
𩦱	柳	釭綱入	l	ouʔ	8
酪	柳	釭綱入	l	ouʔ	8
駱	柳	釭綱入	l	ouʔ	8
垎	柳	釭綱入	l	ouʔ	8
樂	語鳥	釭綱入	ŋ	ouʔ	8
樂	語鳥	郊交	ŋ	au	7
幫	邊	釭綱	p	ouŋ	1
梆	邊	釭綱	p	ouŋ	1
鰟	邊	釭綱	p	ouŋ	1
榜	邊	釭綱	p	ouŋ	2
綁	邊	釭綱	p	ouŋ	2
膀	邊	釭綱	p	ouŋ	2
𣯊	邊	釭綱	p	ouŋ	2
謗	邊	釭綱	p	ouŋ	3
搒	邊	釭綱	p	ouŋ	3
博	邊	釭綱入	p	ouʔ	4
搏	邊	釭綱入	p	ouʔ	4
膊	邊	釭綱入	p	ouʔ	4
溥	邊	釭綱入	p	ouʔ	4
煿	邊	釭綱入	p	ouʔ	4
𪙍	邊	釭綱入	p	ouʔ	4
剥	邊	釭綱入	p	ouʔ	4
駁	邊	釭綱入	p	ouʔ	4
𣅽	邊	釭綱入	p	ouʔ	4
𦢊	邊	釭綱入	p	ouʔ	4
𩐟	邊	釭綱入	p	ouʔ	4
𣟔	邊	釭綱入	p	ouʔ	4
䍸	邊	釭綱入	p	ouʔ	4
鎛	邊	釭綱入	p	ouʔ	4
𣌈	邊	釭綱入	p	ouʔ	4
旁	邊	釭綱	p	ouŋ	5
㥬	邊	釭綱	p	ouŋ	5
膀	邊	釭綱	p	ouŋ	5
䄘	邊	釭綱	p	ouŋ	5
䰃	邊	釭綱	p	ouŋ	5
䠙	邊	釭綱	p	ouŋ	5
蒡	邊	釭綱	p	ouŋ	5
𤧭	邊	釭綱	p	ouŋ	5
傍	邊	釭綱	p	ouŋ	7
棒	邊	釭綱	p	ouŋ	7
蚌	邊	釭綱	p	ouŋ	7
亳	邊	釭綱入	p	ouʔ	8
礴	邊	釭綱入	p	ouʔ	8
鑮	邊	釭綱入	p	ouʔ	8
𩽛	邊	釭綱入	p	ouʔ	8
⿱雨薄	邊	釭綱入	p	ouʔ	8
鉑	邊	釭綱入	p	ouʔ	8
膀	波	釭綱	pʰ	ouŋ	5
蚌	波	釭綱	pʰ	ouŋ	7
膊	邊	過朱	p	uo	2
溥	波	過朱	pʰ	uo	2
綱	求	釭綱	k	ouŋ	1
鋼	求	釭綱	k	ouŋ	1
剛	求	釭綱	k	ouŋ	1
罁	求	釭綱	k	ouŋ	1
缸	求	釭綱	k	ouŋ	1
岡	求	釭綱	k	ouŋ	1
崗	求	釭綱	k	ouŋ	1
扛	求	釭綱	k	ouŋ	1
掆	求	釭綱	k	ouŋ	1
江	求	釭綱	k	ouŋ	1
釭	求	釭綱	k	ouŋ	1
肛	求	釭綱	k	ouŋ	1
罡	求	釭綱	k	ouŋ	1
杠	求	釭綱	k	ouŋ	1
豇	求	釭綱	k	ouŋ	1
講	求	釭綱	k	ouŋ	2
耩	求	釭綱	k	ouŋ	2
顜	求	釭綱	k	ouŋ	2
傋	求	釭綱	k	ouŋ	2
艮	求	釭綱	k	ouŋ	3
⿱一⿰二二	求	釭綱	k	ouŋ	3
槓	求	釭綱	k	ouŋ	3
絳	求	釭綱	k	ouŋ	3
降	求	釭綱	k	ouŋ	3
鋼	求	釭綱	k	ouŋ	3
焵	求	釭綱	k	ouŋ	3
佭	求	釭綱	k	ouŋ	3
𡲣	求	釭綱	k	ouŋ	3
跭	求	釭綱	k	ouŋ	3
覺	求	釭綱入	k	ouʔ	4
䁷	求	釭綱入	k	ouʔ	4
斠	求	釭綱入	k	ouʔ	4
𩑡	求	釭綱入	k	ouʔ	4
各	求	釭綱入	k	ouʔ	4
骨	求	釭綱入	k	ouʔ	4
較	求	釭綱入	k	ouʔ	4
扴	求	釭綱入	k	ouʔ	4
埆	求	釭綱入	k	ouʔ	4
捔	求	釭綱入	k	ouʔ	4
𥮝	求	釭綱入	k	ouʔ	4
𤚱	求	釭綱入	k	ouʔ	4
降	非風	釭綱	h	ouŋ	5
江	求	東江	k	øŋ	1
斠	求	東江入	k	øʔ	4
斠	求	郊交	k	au	3
較	求	郊交	k	au	3
鷇	求	溝勾	k	eu	3
坤	氣悉	釭綱	kʰ	ouŋ	1
𡿦	氣悉	釭綱	kʰ	ouŋ	1
康	氣悉	釭綱	kʰ	ouŋ	1
糠	氣悉	釭綱	kʰ	ouŋ	1
昆	氣悉	釭綱	kʰ	ouŋ	1
晜	氣悉	釭綱	kʰ	ouŋ	1
崑	氣悉	釭綱	kʰ	ouŋ	1
琨	氣悉	釭綱	kʰ	ouŋ	1
焜	氣悉	釭綱	kʰ	ouŋ	1
鯤	氣悉	釭綱	kʰ	ouŋ	1
鵾	氣悉	釭綱	kʰ	ouŋ	1
髡	氣悉	釭綱	kʰ	ouŋ	1
躿	氣悉	釭綱	kʰ	ouŋ	1
錕	氣悉	釭綱	kʰ	ouŋ	1
𨻷	氣悉	釭綱	kʰ	ouŋ	1
漮	氣悉	釭綱	kʰ	ouŋ	1
㽘	氣悉	釭綱	kʰ	ouŋ	1
𨝎	氣悉	釭綱	kʰ	ouŋ	1
𧱟	氣悉	釭綱	kʰ	ouŋ	1
懇	氣悉	釭綱	kʰ	ouŋ	2
墾	氣悉	釭綱	kʰ	ouŋ	2
慷	氣悉	釭綱	kʰ	ouŋ	2
𨼯	氣悉	釭綱	kʰ	ouŋ	2
抗	氣悉	釭綱	kʰ	ouŋ	3
伉	氣悉	釭綱	kʰ	ouŋ	3
困	氣悉	釭綱	kʰ	ouŋ	3
閌	氣悉	釭綱	kʰ	ouŋ	3
⿰困自	氣悉	釭綱	kʰ	ouŋ	3
沆	氣悉	釭綱	kʰ	ouŋ	3
骯	氣悉	釭綱	kʰ	ouŋ	3
壑	氣悉	釭綱入	kʰ	ouʔ	4
涸	氣悉	釭綱入	kʰ	ouʔ	4
窟	氣悉	釭綱入	kʰ	ouʔ	4
恪	氣悉	釭綱入	kʰ	ouʔ	4
殼	氣悉	釭綱入	kʰ	ouʔ	4
壳	氣悉	釭綱入	kʰ	ouʔ	4
鷇	氣悉	釭綱入	kʰ	ouʔ	4
珏	氣悉	釭綱入	kʰ	ouʔ	4
慤	氣悉	釭綱入	kʰ	ouʔ	4
確	氣悉	釭綱入	kʰ	ouʔ	4
磕	氣悉	釭綱入	kʰ	ouʔ	4
瞌	氣悉	釭綱入	kʰ	ouʔ	4
𩑔	氣悉	釭綱入	kʰ	ouʔ	4
𥯚	氣悉	釭綱入	kʰ	ouʔ	4
𡼿	氣悉	釭綱入	kʰ	ouʔ	4
㴶	氣悉	釭綱入	kʰ	ouʔ	4
𪇄	氣悉	釭綱入	kʰ	ouʔ	4
愙	氣悉	釭綱入	kʰ	ouʔ	4
搕	氣悉	釭綱入	kʰ	ouʔ	8
硞	氣悉	釭綱入	kʰ	ouʔ	8
愘	氣悉	釭綱入	kʰ	ouʔ	8
搕	非風	釭綱入	h	ouʔ	4
壳	氣悉	東江入	kʰ	øʔ	4
殼	氣悉	東江入	kʰ	øʔ	4
當	低聲	釭綱	t	ouŋ	1
璫	低聲	釭綱	t	ouŋ	1
礑	低聲	釭綱	t	ouŋ	1
墩	低聲	釭綱	t	ouŋ	1
譡	低聲	釭綱	t	ouŋ	1
鐺	低聲	釭綱	t	ouŋ	1
襠	低聲	釭綱	t	ouŋ	1
黨	低聲	釭綱	t	ouŋ	2
党	低聲	釭綱	t	ouŋ	2
盾	低聲	釭綱	t	ouŋ	2
楯	低聲	釭綱	t	ouŋ	2
躉	低聲	釭綱	t	ouŋ	2
攩	低聲	釭綱	t	ouŋ	2
讜	低聲	釭綱	t	ouŋ	2
當	低聲	釭綱	t	ouŋ	3
儅	低聲	釭綱	t	ouŋ	3
襠	低聲	釭綱	t	ouŋ	3
鐺	低聲	釭綱	t	ouŋ	3
琢	低聲	釭綱入	t	ouʔ	4
斲	低聲	釭綱入	t	ouʔ	4
啄	低聲	釭綱入	t	ouʔ	4
涿	低聲	釭綱入	t	ouʔ	4
沰	低聲	釭綱入	t	ouʔ	4
𢧈	低聲	釭綱入	t	ouʔ	4
硺	低聲	釭綱入	t	ouʔ	4
堂	低聲	釭綱	t	ouŋ	5
螳	低聲	釭綱	t	ouŋ	5
膛	低聲	釭綱	t	ouŋ	5
鏜	低聲	釭綱	t	ouŋ	5
唐	低聲	釭綱	t	ouŋ	5
搪	低聲	釭綱	t	ouŋ	5
塘	低聲	釭綱	t	ouŋ	5
棠	低聲	釭綱	t	ouŋ	5
魨	低聲	釭綱	t	ouŋ	5
豚	低聲	釭綱	t	ouŋ	5
闛	低聲	釭綱	t	ouŋ	5
豘	低聲	釭綱	t	ouŋ	5
⿸广龟	低聲	釭綱	t	ouŋ	5
瞠	低聲	釭綱	t	ouŋ	5
軘	低聲	釭綱	t	ouŋ	5
𨶈	低聲	釭綱	t	ouŋ	5
𨃠	低聲	釭綱	t	ouŋ	5
𪕹	低聲	釭綱	t	ouŋ	5
鶶	低聲	釭綱	t	ouŋ	5
膅	低聲	釭綱	t	ouŋ	5
䉎	低聲	釭綱	t	ouŋ	5
段	低聲	釭綱	t	ouŋ	7
緞	低聲	釭綱	t	ouŋ	7
遯	低聲	釭綱	t	ouŋ	7
遁	低聲	釭綱	t	ouŋ	7
撞	低聲	釭綱	t	ouŋ	7
盪	低聲	釭綱	t	ouŋ	7
蕩	低聲	釭綱	t	ouŋ	7
逿	低聲	釭綱	t	ouŋ	7
宕	低聲	釭綱	t	ouŋ	7
鐸	低聲	釭綱入	t	ouʔ	8
突	低聲	釭綱入	t	ouʔ	8
𠊲	低聲	釭綱入	t	ouʔ	8
𢜬	低聲	釭綱入	t	ouʔ	8
𣔻	低聲	釭綱入	t	ouʔ	8
䐾	低聲	釭綱入	t	ouʔ	8
𦩤	低聲	釭綱入	t	ouʔ	8
闛	他皆	釭綱	tʰ	ouŋ	1
盪	他皆	釭綱	tʰ	ouŋ	3
豘	他皆	釭綱	tʰ	ouŋ	5
沰	他皆	釭綱入	tʰ	ouʔ	8
魨	求	西街	k	ɛ	1
滂	波	釭綱	pʰ	ouŋ	1
雱	波	釭綱	pʰ	ouŋ	1
𢐊	波	釭綱	pʰ	ouŋ	1
霶	波	釭綱	pʰ	ouŋ	1
鎊	波	釭綱	pʰ	ouŋ	1
𣂆	波	釭綱	pʰ	ouŋ	1
𨍩	波	釭綱	pʰ	ouŋ	1
䒍	波	釭綱	pʰ	ouŋ	1
艕	波	釭綱	pʰ	ouŋ	2
肨	波	釭綱	pʰ	ouŋ	3
璞	波	釭綱入	pʰ	ouʔ	4
朴	波	釭綱入	pʰ	ouʔ	4
㩧	波	釭綱入	pʰ	ouʔ	4
馞	波	釭綱入	pʰ	ouʔ	4
㺪	波	釭綱入	pʰ	ouʔ	4
鏷	波	釭綱入	pʰ	ouʔ	4
𩪛	波	釭綱入	pʰ	ouʔ	4
𥩾	波	釭綱入	pʰ	ouʔ	8
𢶉	波	釭綱入	pʰ	ouʔ	8
𦥭	波	釭綱入	pʰ	ouʔ	8
吞	他皆	釭綱	tʰ	ouŋ	1
腯	他皆	釭綱	tʰ	ouŋ	2
戃	他皆	釭綱	tʰ	ouŋ	2
㿩	他皆	釭綱	tʰ	ouŋ	2
爣	他皆	釭綱	tʰ	ouŋ	2
儻	他皆	釭綱	tʰ	ouŋ	2
鐋	他皆	釭綱	tʰ	ouŋ	3
褪	他皆	釭綱	tʰ	ouŋ	3
託	他皆	釭綱入	tʰ	ouʔ	4
袥	他皆	釭綱入	tʰ	ouʔ	4
飥	他皆	釭綱入	tʰ	ouʔ	4
坼	他皆	釭綱入	tʰ	ouʔ	4
柝	他皆	釭綱入	tʰ	ouʔ	4
橐	他皆	釭綱入	tʰ	ouʔ	4
蘀	他皆	釭綱入	tʰ	ouʔ	4
⿱艹罙	他皆	釭綱入	tʰ	ouʔ	4
糖	他皆	釭綱	tʰ	ouŋ	5
㹠	他皆	釭綱	tʰ	ouŋ	5
䮸	他皆	釭綱入	tʰ	ouʔ	8
尊	曾之	釭綱	ts	ouŋ	1
遵	曾之	釭綱	ts	ouŋ	1
樽	曾之	釭綱	ts	ouŋ	1
罇	曾之	釭綱	ts	ouŋ	1
⿰木遵	曾之	釭綱	ts	ouŋ	1
僔	曾之	釭綱	ts	ouŋ	1
贜	曾之	釭綱	ts	ouŋ	1
賍	曾之	釭綱	ts	ouŋ	1
臧	曾之	釭綱	ts	ouŋ	1
粧	曾之	釭綱	ts	ouŋ	1
妝	曾之	釭綱	ts	ouŋ	1
庄	曾之	釭綱	ts	ouŋ	1
莊	曾之	釭綱	ts	ouŋ	1
裝	曾之	釭綱	ts	ouŋ	1
牂	曾之	釭綱	ts	ouŋ	1
㵴	曾之	釭綱	ts	ouŋ	1
𤮐	曾之	釭綱	ts	ouŋ	1
鱒	曾之	釭綱	ts	ouŋ	2
䰌	曾之	釭綱	ts	ouŋ	2
撙	曾之	釭綱	ts	ouŋ	2
