漢字	聲部	韻部	聲	韻	調類
簌	時授	春公入	s	uʔ	4
珬	時授	春公入	s	uʔ	4
船	時授	春公	s	uŋ	5
舡	時授	春公	s	uŋ	5
唇	時授	春公	s	uŋ	5
⿱辰刀	時授	春公	s	uŋ	5
旬	時授	春公	s	uŋ	5
恂	時授	春公	s	uŋ	5
循	時授	春公	s	uŋ	5
徇	時授	春公	s	uŋ	5
淳	時授	春公	s	uŋ	5
巡	時授	春公	s	uŋ	5
馴	時授	春公	s	uŋ	5
㦏	時授	春公	s	uŋ	5
揗	時授	春公	s	uŋ	5
㵌	時授	春公	s	uŋ	5
紃	時授	春公	s	uŋ	5
𪀠	時授	春公	s	uŋ	5
郇	時授	春公	s	uŋ	5
迿	時授	春公	s	uŋ	5
𨺠	時授	春公	s	uŋ	5
𡗥	時授	春公	s	uŋ	5
鯙	時授	春公	s	uŋ	5
䙉	時授	春公	s	uŋ	5
䋸	時授	春公	s	uŋ	5
醇	時授	春公	s	uŋ	5
鶉	時授	春公	s	uŋ	5
錞	時授	春公	s	uŋ	5
脣	時授	春公	s	uŋ	5
肫	時授	春公	s	uŋ	5
順	時授	春公	s	uŋ	7
述	時授	春公入	s	uʔ	8
术	時授	春公入	s	uʔ	8
秫	時授	春公入	s	uʔ	8
術	時授	春公入	s	uʔ	8
𧺶	時授	春公入	s	uʔ	8
𩗕	時授	春公入	s	uʔ	8
鉥	時授	春公入	s	uʔ	8
𩶄	時授	春公入	s	uʔ	8
沭	時授	春公入	s	uʔ	8
潏	時授	春公入	s	uʔ	8
巡	波	光入	pʰ	uoʔ	8
鶉	出	春公	tsʰ	uŋ	1
俶	時授	銀恭入	s	yʔ	4
菘	時授	銀恭	s	yŋ	5
鬆	時授	東江	s	øŋ	1
宋	時授	東江	s	øŋ	3
送	時授	東江	s	øŋ	3
閶	出	香姜	tsʰ	ioŋ	1
温	鶯亦	春公		uŋ	1
翁	鶯亦	春公		uŋ	1
塕	鶯亦	春公		uŋ	1
煴	鶯亦	春公		uŋ	1
氲	鶯亦	春公		uŋ	1
瘟	鶯亦	春公		uŋ	1
㬈	鶯亦	春公		uŋ	1
𥠺	鶯亦	春公		uŋ	1
螉	鶯亦	春公		uŋ	1
輼	鶯亦	春公		uŋ	1
𩥈	鶯亦	春公		uŋ	1
䱵	鶯亦	春公		uŋ	1
鶲	鶯亦	春公		uŋ	1
緼	鶯亦	春公		uŋ	1
蕰	鶯亦	春公		uŋ	1
𩔚	鶯亦	春公		uŋ	1
馧	鶯亦	春公		uŋ	1
㺋	鶯亦	春公		uŋ	1
閶	鶯亦	春公		uŋ	1
𪉸	鶯亦	春公		uŋ	1
奫	鶯亦	春公		uŋ	1
穩	鶯亦	春公		uŋ	2
韞	鶯亦	春公		uŋ	2
藴	鶯亦	春公		uŋ	2
刎	鶯亦	春公		uŋ	2
吻	鶯亦	春公		uŋ	2
殞	鶯亦	春公		uŋ	2
隕	鶯亦	春公		uŋ	2
䐇	鶯亦	春公		uŋ	2
𤸫	鶯亦	春公		uŋ	2
抆	鶯亦	春公		uŋ	2
愪	鶯亦	春公		uŋ	2
霣	鶯亦	春公		uŋ	2
緼	鶯亦	春公		uŋ	2
惲	鶯亦	春公		uŋ	2
愠	鶯亦	春公		uŋ	3
揾	鶯亦	春公		uŋ	3
醖	鶯亦	春公		uŋ	3
蓊	鶯亦	春公		uŋ	3
𧛹	鶯亦	春公		uŋ	3
𩌋	鶯亦	春公		uŋ	3
媪	鶯亦	春公		uŋ	3
屋	鶯亦	春公入		uʔ	4
欝	鶯亦	春公入		uʔ	4
𩰪	鶯亦	春公入		uʔ	4
𢺴	鶯亦	春公入		uʔ	4
熨	鶯亦	春公入		uʔ	4
叞	鶯亦	春公入		uʔ	4
郾	鶯亦	春公入		uʔ	4
媉	鶯亦	春公入		uʔ	4
爩	鶯亦	春公入		uʔ	4
