汉字	注释	音标
独		tʰəu6
读		tʰəu6
笼		ləŋ2
麓		ləu7
棕		tsəŋ1
粽		tsəŋ5
葱		tsʰəŋ1
送		səŋ5
公		kuəŋ1
工		kuəŋ1
谷		ko7
空	~虚	kʰuəŋ1
红		xuəŋ2
翁		uəŋ1
蕹		/
屋		u7
冬		təŋ1
毒		tʰəu6
农		nəŋ2
脓		nəŋ2
宗		tsəŋ1
松	~紧	səŋ1
风		fəŋ1
福		fu7
冯		fəŋ2
凤		fəŋ1
服		fu6
梦		məŋ6
目		mo7
六		ləu7
肃		səu7
中	~间	tsəŋ1
竹		tsəu7
虫		tɕʰiuŋ2
众		tsəŋ5=/tɕiuŋ5-
粥		tsəu7
铳		tsʰəŋ5=/tɕʰiuŋ5-
叔		səu7
熟		səu6
绒		nəŋ2
肉		nəu7
弓		kuəŋ1
宫		kuəŋ1
菊		tɕiəu7
穷		tɕʰiuŋ2
畜	~牧	ɕiəu7
熊		ɕiuŋ2
封		fəŋ1
蜂		fəŋ1
缝	裁~	fəŋ2
浓		nəŋ2=/ȵiuŋ2-
龙		ləŋ2
绿		ləu7
足		tsəu7
从	~来	tsʰəŋ2
松	~树	tsʰəŋ2
俗		səu6
重	~复	tsʰəŋ2
重	轻~	tsʰəŋ6=/tɕʰiuŋ6
钟		tsəŋ=/tɕiuŋ1-
肿		tsəŋ3=/tɕiuŋ3-
烛		tsəu7
冲		tsʰəŋ1/tɕʰiuŋ1
舂		ləu7
辱		ləu7
供	~应	kuəŋ1
拱		kuəŋ3
恐		kʰuəŋ3
曲		tɕʰiəu7
共		kʰiuŋ6
局		tɕy7
玉		ʅ7
胸		ɕiuŋ1
凶		ɕiuŋ1
容		iuŋ2
用		uəŋ6
欲		iəu7
