例字	蓉城（客）	蓉城（土）	老洲
龜	kuei31	kuei31	kuei31
軌	kuei223b	kuei213	kuei313
愧	kʰuei33	kʰuei33	kʰuei44
逵	kʰuei223a	kʰuei223	kʰuei323
櫃	kuei33	kuei33	kuei44
悲	pei31	pei31	pei31
痞	pʰi223b	pʰi213	pʰi313
鄙	pi223b	pi213	pi313
備	pei33	pei33	pei44
眉	mei223a	mei223	mei323
美	mei223b	mei213	mei313
肌	tɕi31	tɕi31	tɕi31
几	tɕi223b	tɕi213	tɕi313
冀	tɕi33	tɕi33	tɕi44
器	tɕʰi33	tɕʰi33	tɕʰi44
祁	tɕʰi223a	tɕʰi223	tɕʰi323
褒	pɔ223a	pɔ31	pɔ31
寶	pɔ223b	pɔ213	pɔ313
報	pɔ33	pɔ33	pɔ44
袍	pʰɔ223a	pʰɔ223	pʰɔ323
抱	pɔ33	pɔ33	pɔ44
暴	pɔ33	pɔ33	pɔ44
毛	mɔ223a	mɔ223	mɔ323
帽	mɔ33	mɔ33	mɔ44
刀	tɔ31	tɔ31	tɔ31
倒	tɔ223b	tɔ213	tɔ313
倒	tɔ33	tɔ33	tɔ44
掏	tʰɔ31	tʰɔ31	tʰɔ31
討	tʰɔ223b	tʰɔ213	tʰɔ313
套	tʰɔ33	tʰɔ33	tʰɔ44
桃	tʰɔ223a	tʰɔ223	tʰɔ323
濤	tʰɔ31	tʰɔ31	tʰɔ31
稻	tɔ33	tɔ33	tɔ44
導	tɔ223b	tɔ213	tɔ313
盜	tɔ33	tɔ33	tɔ44
腦	lɔ223b	lɔ213	lɔ313
撈	lɔ31	lɔ31	lɔ31
牢	lɔ223a	lɔ223	lɔ323
老	lɔ223b	lɔ213	lɔ313
遭	tsɔ31	tsɔ31	tsɔ31
早	tsɔ223b	tsɔ213	tsɔ313
竈	tsɔ33	tsɔ33	tsɔ44
操	tsʰɔ31	tsʰɔ31	tsʰɔ31
草	tsʰɔ223b	tsʰɔ213	tsʰɔ313
糙	tsʰɔ33	tsʰɔ33	tsʰɔ44
曹	tsʰɔ223a	tsʰɔ223	tsʰɔ323
造	tsɔ33	tsɔ33	tsɔ44
臊	sɔ31	sɔ33	sɔ31
掃	sɔ223b	sɔ213	sɔ313
噪	tsɔ33	sɔ33	tsɔ44
掃	sɔ33	sɔ33	sɔ44
燥	tsʰɔ33	tsʰɔ33	tsɔ44
高	kɔ31	kɔ31	kɔ31
稿	kɔ223b	kɔ213	kɔ313
告	kɔ33	kɔ33	kɔ44
考	kʰɔ223b	kʰɔ213	kʰɔ313
靠	kʰɔ33	kʰɔ33	kʰɔ44
熬	ŋɔ223a	ŋɔ223	ŋɔ323
傲	ŋɔ33	ŋɔ33	ŋɔ44
蒿	xɔ31	xɔ31	xɔ31
好	xɔ223b	xɔ213	xɔ313
好	xɔ33	xɔ33	xɔ44
豪	xɔ223a	xɔ223	xɔ323
浩	xɔ33	xɔ33	xɔ44
號	xɔ33	xɔ33	xɔ44
襖	ŋɔ223b	ŋɔ213	ŋɔ313
懊	ŋɔ33	ŋɔ33	ŋɔ44
燎	ȵiɔ223a	ȵiɔ223	liɔ323
椒	tɕiɔ31	tɕiɔ31	tɕiɔ31
剿	tsʰɔ31	tɕiɔ213	tɕiɔ313
悄	ɕiɔ31	tɕʰiɔ31	tɕʰiɔ31
俏	ɕiɔ33	tɕʰiɔ33	tɕʰiɔ44
樵	tɕʰiɔ31	tɕʰiɔ223	tɕʰiɔ323
消	ɕiɔ31	ɕiɔ31	ɕiɔ31
小	ɕiɔ223b	ɕiɔ213	ɕiɔ313
笑	ɕiɔ33	ɕiɔ33	ɕiɔ44
朝	tsʰɔ31	tsɔ31	tsɔ31
超	tsʰɔ31	tsʰɔ31	tsʰɔ31
潮	tsʰɔ223a	tsʰɔ223	tsʰɔ323
趙	tsɔ33	tsɔ33	tsɔ44
招	tsɔ31	tsɔ31	tsɔ31
沼	tsɔ31	tsɔ33	tsɔ313
照	tsɔ33	tsɔ33	tsɔ44
詔	tsɔ31	tsɔ31	tsɔ31
燒	sɔ31	sɔ31	sɔ31
少	sɔ223b	sɔ213	sɔ313
少	sɔ33	sɔ33	sɔ44
韶	sɔ33	sɔ33	sɔ44
紹	sɔ33	sɔ33	sɔ44
邵	sɔ33	sɔ33	sɔ44
饒	ɹɔ223a	ɹɔ223	ɻɔ323
擾	ɹɔ223b	ɹɔ213	ɻɔ313
姚	iɔ223a	iɔ223	iɔ323
舀	iɔ223b	iɔ213	iɔ313
耀	iɔ33	iɔ33	iɔ44
標	piɔ31	piɔ31	piɔ31
嫖	pʰiɔ223a	pʰiɔ223	pʰiɔ323
鏢	piɔ31	piɔ31	piɔ31
飄	pʰiɔ31	pʰiɔ31	pʰiɔ31
漂	pʰiɔ33	pʰiɔ213	pʰiɔ44
瓢	pʰiɔ223a	pʰiɔ223	pʰiɔ323
秒	miɔ223b	miɔ213	miɔ313
妙	miɔ33	miɔ33	miɔ44
腰	iɔ31	iɔ31	iɔ31
要	iɔ33	iɔ33	iɔ44
鑣	piɔ31	piɔ31	piɔ31
表	piɔ223b	piɔ213	piɔ313
苗	miɔ223a	miɔ223	miɔ323
廟	miɔ33	miɔ33	miɔ44
驕	tɕiɔ31	tɕiɔ31	tɕiɔ31
矯	tɕiɔ223b	tɕiɔ213	tɕiɔ313
橋	tɕʰiɔ223a	tɕʰiɔ223	tɕʰiɔ323
轎	tɕiɔ33	tɕiɔ33	tɕiɔ44
囂	ɕiɔ31	ɕiɔ33	ɕiɔ31
雕	tiɔ31	tiɔ31	tiɔ31
鳥	tiɔ223b	tiɔ213	tiɔ313
釣	tiɔ33	tiɔ33	tiɔ44
挑	tʰiɔ31	tʰiɔ31	tʰiɔ31
跳	tʰiɔ33	tʰiɔ33	tʰiɔ44
條	tʰiɔ223a	tʰiɔ223	tʰiɔ323
掉	tiɔ33	tiɔ33	tiɔ44
尿	ȵiɔ33	ȵiɔ33	liɔ44
聊	ȵiɔ223a	ȵiɔ223	liɔ44
了	ȵiɔ223b	ȵiɔ213	liɔ313
料	ȵiɔ33	ȵiɔ33	liɔ44
蕭	ɕiɔ31	ɕiɔ31	ɕiɔ31
嘯	ɕiɔ33	ɕiɔ33	ɕiɔ44
梟	ɕiɔ31	ɕiɔ31	ɕiɔ31
澆	tɕiɔ31	tɕiɔ31	tɕiɔ31
繳	tɕiɔ223b	tɕiɔ213	tɕiɔ313
叫	tɕiɔ33	tɕiɔ33	tɕiɔ44
竅	tɕʰiɔ33	tɕʰiɔ33	tɕʰiɔ44
堯	iɔ223a	ɹɔ223	iɔ323
曉	ɕiɔ223b	ɕiɔ213	ɕiɔ313
么	iɔ31	iɔ31	iɔ31
包	pɔ31	pɔ31	pɔ31
飽	pɔ223b	pɔ213	pɔ313
豹	pɔ33	pɔ33	pɔ44
拋	pʰɔ31	pʰɔ31	pʰɔ31
炮	pʰɔ33	pʰɔ33	pʰɔ44
刨	pʰɔ223a	pʰɔ223	pʰɔ44
泡	pʰɔ33	pʰɔ33	pʰɔ44
跑	pʰɔ223b	pʰɔ213	pʰɔ313
鮑	pɔ31	pɔ33	pɔ44
茅	mɔ223a	mɔ223	mɔ323
卯	mɔ223b	mɔ213	mɔ313
貌	mɔ33	mɔ33	mɔ44
鬧	lɔ33	lɔ33	lɔ44
罩	tsɔ33	tsɔ33	tsɔ44
嘮	lɔ31	lɔ31	lɔ31
抓	tɕya31	tʃya31	tya31
爪	tsɔ223b	tsɔ213	tsɔ313
抄	tsʰɔ31	tsʰɔ31	tsʰɔ31
炒	tsʰɔ223b	tsʰɔ213	tsʰɔ313
巢	tsʰɔ223a	tsʰɔ223	tsʰɔ323
梢	ɕiɔ31	sɔ31	sɔ31
稍	sɔ31	sɔ31	sɔ31
交	tɕiɔ31	tɕiɔ31	tɕiɔ31
搞	kɔ223b	kɔ213	kɔ313
鉸	tɕiɔ223b	tɕiɔ213	tɕiɔ313
窖	kɔ33	kɔ33	kɔ44
較	tɕiɔ33	tɕiɔ213	tɕiɔ44
敲	kʰɔ31	kʰɔ31	kʰɔ31
敲	tɕʰiɔ31	tɕʰiɔ31	tɕʰiɔ31
巧	tɕʰiɔ223b	tɕʰiɔ213	tɕʰiɔ313
咬	ŋɔ223b	ŋɔ213	ŋɔ313
孝	ɕiɔ33	ɕiɔ33	ɕiɔ44
肴	iɔ223a	iɔ223	iɔ323
效	ɕiɔ33	ɕiɔ33	ɕiɔ44
剖	pʰo31	pʰo33	pʰo323
母	mo223b	mo213	mo313
牡	mɘɯᵘ223b	mo213	mo313
戊	u223a	u33	u44
茂	mɘɯᵘ33	mo33	mo44
兜	tɘɯᵘ31	tɘɯᵘ31	tɐu31
抖	tɘɯᵘ223b	tɘɯᵘ213	tɐu313
鬥	tɘɯᵘ33	tɘɯᵘ33	tɐu44
偷	tʰɘɯᵘ31	tʰɘɯᵘ31	tʰɐu31
透	tʰɘɯᵘ33	tʰɘɯᵘ33	tʰɐu44
頭	tʰɘɯᵘ223a	tʰɘɯᵘ223	tʰɐu323
豆	tɘɯᵘ33	tɘɯᵘ33	tɐu44
摟	lɘɯᵘ223b	lɘɯᵘ213	lɐu313
樓	lɘɯᵘ223a	lɘɯᵘ223	lɐu323
簍	lɘɯᵘ223b	lɘɯᵘ213	lɐu313
漏	lɘɯᵘ33	lɘɯᵘ33	lɐu44
走	tsɘɯᵘ223b	tsɘɯᵘ213	tsɐu313
奏	tsɘɯᵘ33	tsɘɯᵘ33	tsɐu44
湊	tsʰɘɯᵘ5	tsʰɘɯᵘ5	tsʰɐu44
叟	sɘɯᵘ223b	sɘɯᵘ213	sɐu313
漱	sɘɯᵘ33	su33	sɐu44
勾	kɘɯᵘ31	kɘɯᵘ31	kɐu31
垢	kɘɯᵘ33	kɘɯᵘ33	kɐu44
狗	kɘɯᵘ223b	kɘɯᵘ213	kɐu313
夠	kɘɯᵘ33	kɘɯᵘ33	kɐu44
摳	kʰɘɯᵘ31	kʰɘɯᵘ31	kʰɐu31
口	kʰɘɯᵘ223b	kʰɘɯᵘ213	kʰɐu313
扣	kʰɘɯᵘ33	kʰɘɯᵘ33	kʰɐu44
藕	ŋɘɯᵘ223b	ŋɘɯᵘ213	ŋɐu313
蔻	kʰɘɯᵘ33	kʰɘɯᵘ33	kʰɐu44
猴	xɘɯᵘ223a	xɘɯᵘ223	xɐu323
厚	xɘɯᵘ33	xɘɯᵘ33	xɐu44
嘔	ŋɘɯᵘ31	ŋɘɯᵘ31	ʔɐu31
毆	ŋɘɯᵘ31	ŋɘɯᵘ31	ŋɐu31
彪	piɔ31	piɔ31	piɔ31
赳	tɕiɯᵘ31	tɕʰiɯᵘ31	tɕiɐu31
幽	iɯᵘ31	iɯᵘ31	iɐu31
幼	iɯᵘ33	iɯᵘ33	iɐu44
否	fɘɯᵘ223b	fo213	fɐu313
富	fv̩33	fv̩33	fv̩44
副	fv̩33	fv̩33	fv̩44
浮	fv̩223a	fv̩223	fv̩323
婦	fv̩33	fv̩31	fv̩44
牟	mɘɯᵘ223a	mo223	mo323
矛	mɔ223a	mɔ223	mɔ323
扭	ȵiɯᵘ223b	ȵiɯᵘ213	liɐu313
劉	ȵiɯᵘ223a	ȵiɯᵘ223	liɐu323
柳	ȵiɯᵘ223b	ȵiɯᵘ213	liɐu313
溜	ȵiɯᵘ31	ȵiɯᵘ31	liɐu31
酒	tɕiɯᵘ223b	tɕiɯᵘ213	tɕiɐu313
秋	tɕʰiɯᵘ31	tɕʰiɯᵘ31	tɕʰiɐu31
就	tɕiɯᵘ33	tɕiɯᵘ33	tɕiɐu44
修	ɕiɯᵘ31	ɕiɯᵘ31	ɕiɐu31
繡	ɕiɯᵘ33	ɕiɯᵘ33	ɕiɐu44
囚	tɕʰiɯᵘ223a	tɕʰiɯᵘ223	tɕʰiɐu323
袖	ɕiɯᵘ33	ɕiɯᵘ33	ɕiɐu44
晝	tsɘɯᵘ33	tsɘɯᵘ33	tsɐu44
抽	tsʰɘɯᵘ31	tsʰɘɯᵘ31	tsʰɐu31
綢	tsʰɘɯᵘ223a	tsʰɘɯᵘ223	tsʰɐu323
紂	tsɘɯᵘ33	tsɘɯᵘ33	tsɐu44
宙	tsɘɯᵘ33	tsɘɯᵘ33	tsɐu44
鄒	tsɘɯᵘ33	tsɘɯᵘ33	tsɐu31
皺	tsɘɯᵘ33	tsɘɯᵘ33	tsɐu44
愁	tsʰɘɯᵘ223a	tsʰɘɯᵘ223	tsʰɐu323
驟	tsɘɯᵘ33	tsɘɯᵘ33	tsɐu44
餿	sɘɯᵘ31	sɘɯᵘ31	sɐu31
瘦	sɘɯᵘ33	sɘɯᵘ33	sɐu44
周	tsɘɯᵘ31	tsɘɯᵘ31	tsɐu31
帚	tsɘɯᵘ223b	tsɘɯᵘ213	tsɐu313
咒	tsɘɯᵘ33	tsɘɯᵘ33	tsɐu44
醜	tsʰɘɯᵘ223b	tsʰɘɯᵘ213	tsʰɐu313
臭	tsʰɘɯᵘ33	tsʰɘɯᵘ33	tsʰɐu44
收	sɘɯᵘ31	sɘɯᵘ31	sɐu31
手	sɘɯᵘ223b	sɘɯᵘ213	sɐu313
獸	sɘɯᵘ33	sɘɯᵘ33	sɐu44
仇	tsʰɘɯᵘ223a	tsʰɘɯᵘ223	tsʰɐu323
受	sɘɯᵘ33	sɘɯᵘ33	sɐu44
壽	sɘɯᵘ33	sɘɯᵘ33	sɐu44
揉	ɹɘɯᵘ223a	ɹɘɯᵘ223	ɻɐu323
糾	tɕiɯᵘ31	tɕiɯᵘ31	tɕiɐu31
九	tɕiɯᵘ223b	tɕiɯᵘ213	tɕiɐu313
救	tɕiɯᵘ33	tɕiɯᵘ33	tɕiɐu44
丘	tɕʰiɯᵘ31	tɕʰiɯᵘ31	tɕʰiɐu31
球	tɕʰiɯᵘ223a	tɕʰiɯᵘ223	tɕʰiɐu323
舅	tɕiɯᵘ33	tɕiɯᵘ33	tɕiɐu44
舊	tɕiɯᵘ33	tɕiɯᵘ33	tɕiɐu44
牛	ȵiɯᵘ223a	ȵiɯᵘ223	liɐu323
休	ɕiɯᵘ31	ɕiɯᵘ31	ɕiɐu31
朽	ɕiɯᵘ223b	ɕiɯᵘ213	ɕiɐu313
嗅	ɕiɯᵘ33	xoŋ33	ɕiɐu44
優	iɯᵘ31	iɯᵘ31	iɐu31
郵	iɯᵘ223a	iɯᵘ223	iɐu323
有	iɯᵘ223b	iɯᵘ213	iɐu313
右	iɯᵘ33	iɯᵘ33	iɐu44
悠	iɯᵘ31	iɯᵘ31	iɐu31
油	iɯᵘ223a	iɯᵘ223	iɐu323
酉	iɯᵘ223b	iɯᵘ213	iɐu313
釉	iɯᵘ223a	iɯᵘ33	iɐu44
法	faʔ5	faʔ5	faʔ5
乏	faʔ5	fæ̃33	faʔ5
泛	fæ̃33	fæ̃33	fæ̃44
犯	fæ̃33	fæ̃33	fæ̃44
梵	fæ̃223a	fæ̃223	fæ̃44
答	taʔ223a	taʔ5	taʔ5
踏	tʰaʔ5	tʰaʔ5	tʰaʔ5
納	laʔ5	laʔ5	laʔ5
拉	la31	la31	la31
雜	tsaʔ5	tsaʔ5	tsaʔ5
鴿	keʔ5	kəʔ5	keʔ5
喝	xoʔ5	xoʔ5	xoʔ5
盒	xoʔ5	xoʔ5	xoʔ5
塔	tʰaʔ5	tʰaʔ5	tʰaʔ5
臘	laʔ5	laʔ5	laʔ5
劄	tsaʔ5	tsaʔ5	tsaʔ5
眨	tsaʔ5	tsaʔ5	tsaʔ5
插	tsʰaʔ5	tsʰaʔ5	tsʰaʔ5
炸	tsa33	tsa33	tsa44
煠	tsaʔ5	tsaʔ5	tsaʔ5
霎	saʔ5	saʔ5	saʔ5
夾	kaʔ5	kaʔ5	kaʔ5
夾	tɕiaʔ5	tɕiaʔ5	tɕiaʔ5
恰	tɕʰiaʔ5	tɕʰiaʔ5	tɕʰiaʔ5
掐	kʰaʔ5	kʰaʔ5	kʰaʔ5
峽	ɕiaʔ5	ɕiaʔ5	ɕiaʔ5
洽	tɕʰiaʔ5	tɕʰiaʔ5	tɕʰiaʔ5
耽	tæ̃31	tæ̃31	tæ̃31
貪	tʰõ31	tʰõ31	tʰõ31
探	tʰõ33	tʰõ33	tʰõ44
潭	tʰæ̃223a	tʰæ̃223	tʰæ̃323
男	næ̃223a	lõ223	lõ323
婪	næ̃223b	læ̃213	læ̃323
簪	tsæ̃31	tsæ̃	tsõ31
參	tsʰæ̃31	tsʰæ̃31	tsʰæ̃31
慘	tsʰæ̃223b	tsʰæ̃213	tsʰæ̃313
蠶	tsʰõ223a	tsʰõ223	tsʰõ323
感	kæ̃223b	kæ̃213	kæ̃313
堪	kʰæ̃31	kʰæ̃31	kʰæ̃31
坎	kʰæ̃223b	kʰẽ213	kʰẽ313
勘	kʰæ̃31	kʰæ̃31	kʰæ̃31
含	xæ̃223a	xæ̃223	xæ̃323
撼	xæ̃33	xæ̃33	xẽ313
憾	xæ̃313	xæ̃33	xæ̃44
鵪	ŋæ̃31	ŋæ̃31	ŋæ̃31
暗	ŋæ̃33	ŋæ̃33	ŋæ̃44
膽	tæ̃223b	tæ̃213	tæ̃313
擔	tæ̃33	tæ̃33	tæ̃44
坍	tʰæ̃31	tʰæ̃31	tʰæ̃31
毯	tʰæ̃223b	tʰæ̃213	tʰæ̃313
談	tʰæ̃223a	tʰæ̃223	tʰæ̃323
淡	tæ̃33	tæ̃33	tæ̃44
藍	næ̃223a	læ̃223	læ̃323
攬	næ̃223b	læ̃213	læ̃313
濫	næ̃33	læ̃33	læ̃44
纜	næ̃223b	læ̃213	læ̃313
慚	tsʰæ̃223a	tsʰæ̃223	tsʰæ̃323
暫	tsæ̃33	tsæ̃33	tsæ̃44
三	sæ̃31	sæ̃31	sæ̃31
柑	kæ̃31	kæ̃31	kẽ31
敢	kæ̃223b	kæ̃213	kẽ313
喊	xæ̃223b	xæ̃213	xæ̃313
邯	xæ̃223a	xæ̃223	xæ̃323
掂	tiẽ33	tiẽ31	tiẽ31
點	tiẽ223b	tiẽ213	tiẽ313
店	tiẽ33	tiẽ33	tiẽ44
添	tʰiẽ31	tʰiẽ31	tʰiẽ31
舔	tʰiẽ223b	tʰiẽ213	tʰiẽ313
甜	tʰiẽ223a	tʰiẽ223	tʰiẽ323
簟	tiẽ33	tiẽ33	tiẽ44
拈	ȵiẽ31	ȵiẽ31	liẽ31
念	ȵiẽ33	ȵiẽ33	liẽ44
兼	tɕiẽ31	tʃiẽ31	tɕiẽ31
歉	tɕʰiẽ33	tʃʰiẽ33	tɕʰiẽ44
嫌	ɕiẽ223a	ʃiẽ223	ɕiẽ323
貼	tʰieʔ5	tʰieʔ5	tʰieʔ5
牒	tieʔ5	tieʔ5	tieʔ5
俠	ɕiaʔ5	ɕiaʔ5	ɕiaʔ5
協	ɕieʔ5	ɕieʔ5	ɕieʔ5
甲	tɕiaʔ5	tɕiaʔ5	tɕiaʔ5
匣	ɕiaʔ5	ɕiaʔ5	ɕiaʔ5
壓	iaʔ5	ŋaʔ5	ŋaʔ5
臉	ȵiẽ223b	ȵiẽ213	liẽ313
站	tsæ̃33	tsæ̃33	tsæ̃44
賺	tɕyæ̃33	tyæ̃33	tuæ̃44
斬	tsæ̃223b	tsæ̃213	tsæ̃313
蘸	tsæ̃33	tsæ̃31	tsæ̃44
饞	tsʰæ̃223a	tsʰæ̃223	tsʰæ̃323
杉	sæ̃31	sæ̃31	sa31
尷	kæ̃313	kæ̃313	kẽ31
減	tɕiẽ223b	tʃiẽ213	tɕiẽ313
鹹	xæ̃223a	xæ̃223	xæ̃323
陷	ɕiæ̃33	ɕiẽ33	ɕiæ̃44
淹	ŋæ̃31	ŋæ̃31	ŋæ̃31
攙	tsʰæ̃31	tsʰæ̃31	tsʰæ̃31
懺	tsʰæ̃223a	tsʰæ̃33	tsʰæ̃44
衫	sæ̃31	sæ̃31	sæ̃31
監	tɕiẽ31	tʃiẽ31	tɕiẽ31
銜	ɕiẽ223a	ʃiẽ223	ɕiẽ323
檻	kʰæ̃223b	kʰæ̃213	kʰẽ313
艦	tɕiẽ33	tɕiẽ33	tɕiẽ44
劍	tɕiẽ33	tʃiẽ33	tɕiẽ44
欠	tɕʰiẽ33	tʃʰiẽ33	tɕʰiẽ44
嚴	ȵiẽ223a	iẽ223	liẽ323
粘	tsæ̃31	tsæ̃31	tsẽ31
鐮	ȵiẽ223a	ȵiẽ223	liẽ323
殮	ȵiẽ33	ȵiẽ213	liẽ44
尖	tɕiẽ31	tɕiẽ31	tɕiẽ31
簽	tɕʰiẽ31	tʃʰiẽ31	tɕʰiẽ31
潛	tɕʰiẽ223a	tʃʰiẽ223	tɕʰiẽ323
漸	tɕiẽ33	tʃiẽ33	tɕiẽ44
纖	tɕʰiẽ31	tʃʰiẽ31	tɕʰiẽ31
沾	tsæ̃31	tsæ̃31	tsẽ31
瞻	tsæ̃31	tsæ̃31	tsẽ31
佔	tsæ̃33	tsæ̃33	tsæ̃44
閃	sæ̃223b	sẽ213	sẽ313
陝	sæ̃223b	sæ̃213	sæ̃313
贍	sæ̃33	sæ̃33	sẽ44
染	ɹæ̃223b	ɹæ̃213	yẽ313
炎	iẽ223a	iẽ223	iẽ323
鹽	iẽ223a	iẽ223	iẽ323
燄	iẽ33	iẽ33	iẽ44
豔	iẽ33	iẽ33	iẽ44
厭	iẽ33	iẽ33	iẽ44
貶	piẽ223b	piẽ213	piẽ313
檢	tɕiẽ223b	tʃiẽ213	tɕiẽ313
鉗	tɕʰiẽ223a	tʃʰiẽ223	tɕʰiẽ323
儉	tɕiẽ223b	tʃiẽ213	tɕiẽ313
驗	ȵiẽ33	ȵiẽ33	liẽ44
險	ɕiẽ223b	ʃiẽ213	ɕiẽ313
閹	iẽ31	tsɘɯᵘ31	iẽ31
掩	iẽ223b	iẽ213	iẽ313
接	tɕieʔ5	tɕieʔ5	tɕieʔ5
妾	tɕʰieʔ5	tɕʰieʔ5	tɕʰieʔ5
捷	tɕiəʔ5	tɕieʔ5	tɕieʔ5
摺	tseʔ5	tsəʔ5	tseʔ5
攝	səʔ5	səʔ5	seʔ5
涉	səʔ5	səʔ5	seʔ5
葉	ieʔ5	ieʔ5	ieʔ5
劫	tɕieʔ5	tɕieʔ5	tɕieʔ5
業	ȵieʔ5	ieʔ5	lieʔ5
脅	ɕie223a	ɕieʔ5	ɕieʔ5
粒	ȵiəʔ5	ȵiəʔ5	liəʔ5
緝	tɕiəʔ5	tɕiəʔ5	tɕiəʔ5
集	tɕiəʔ5	tɕiəʔ5	tɕiəʔ5
習	ɕiəʔ5	ɕiəʔ5	ɕiəʔ5
澀	səʔ5	səʔ5	səʔ5
汁	tsəʔ5	tsəʔ5	tsəʔ5
濕	səʔ5	səʔ5	səʔ5
十	səʔ5	səʔ5	səʔ5
入	ɹəʔ5	ɹəʔ5	ɻəʔ5
揖	iəʔ5	iəʔ5	iəʔ5
急	tɕiəʔ5	tɕiəʔ5	tɕiəʔ5
給	ke223b	ke213	ke313
泣	tɕʰi33	tɕʰi33	tɕʰi44
及	tɕiəʔ5	tɕiəʔ5	tɕiəʔ5
吸	ɕiəʔ5	ɕiəʔ5	ɕiəʔ5
稟	piən223b	piɘn213	piɘn313
賃	ȵiən33	ȵiɘn33	liɘn44
林	ȵiən223a	ȵiɘn223	liɘn323
侵	tɕʰiən31	tɕʰiɘn31	tɕʰiɘn31
寢	tɕʰiən223b	tɕʰiɘn213	tɕʰiɘn313
心	ɕiən31	ɕiɘn31	ɕiɘn31
尋	tɕʰiən223a	tɕʰiɘn223	tɕʰiɘn323
琛	tsʰən31	tsʰən31	sɘn31
沉	tsʰən223a	tsʰən223	tsʰɘn323
朕	tsən223b	tsən33	tsɘn44
參	sən31	sən31	sɘn31
滲	sən33	sən33	sɘn44
針	tsən31	tsən31	tsɘn31
枕	tsən223b	tsən213	tsɘn313
深	sən31	sən31	sɘn31
嬸	sən223b	sən213	sɘn313
甚	sən33	sən33	sɘn44
壬	ɹən33	ɹən33	ɻɘn323
任	ɹən33	ɹən33	ɻɘn44
婬	iən31	iɘn223	iɘn323
品	pʰiən223b	pʰiɘn213	pʰiɘn313
今	kən31	kən31	kɘn31
今	tɕiən31	tɕiɘn31	tɕiɘn31
錦	tɕiən223b	tɕiɘn213	tɕiɘn313
禁	tɕiən33	tɕiɘn33	tɕiɘn44
欽	tɕʰiən31	tɕʰiɘn31	tɕʰiɘn31
琴	tɕʰiən223a	tɕʰiɘn223	tɕʰiɘn323
吟	ȵiən223a	iɘn223	iɘn323
陰	iən31	iɘn31	iɘn31
飲	iən223b	iɘn213	iɘn313
蔭	iən31	iɘn31	iɘn31
單	tæ̃31	tæ̃31	tæ̃31
旦	tæ̃33	tæ̃33	tæ̃44
攤	tʰæ̃31	tʰæ̃31	tʰæ̃31
坦	tʰæ̃223b	tʰæ̃213	tʰæ̃313
炭	tʰæ̃33	tʰæ̃33	tʰæ̃44
彈	tʰæ̃223a	tʰæ̃223	tʰæ̃323
膻	sæ̃31	sæ̃31	sæ̃31
彈	tæ̃33	tæ̃33	tæ̃44
難	næ̃223a	læ̃223	læ̃323
難	næ̃33	læ̃33	læ̃44
蘭	næ̃223a	læ̃223	læ̃323
懶	næ̃223b	læ̃213	læ̃313
爛	næ̃33	læ̃33	læ̃44
贊	tsæ̃33	tsæ̃33	tsæ̃44
餐	tsʰæ̃31	tsʰæ̃31	tsʰæ̃31
燦	tsʰæ̃33	tsʰæ̃33	tsʰæ̃44
殘	tsʰæ̃223a	tsʰæ̃223	tsʰæ̃323
珊	sæ̃31	sæ̃31	sæ̃31
傘	sæ̃223b	sæ̃213	sæ̃313
散	sæ̃33	sæ̃33	sæ̃44
乾	kæ̃313	kæ̃313	kẽ31
竿	kæ̃223b	kæ̃213	kæ̃313
肝	kæ̃313	kæ̃313	kæ̃31
擀	kæ̃223b	kæ̃213	kẽ313
幹	kæ̃33	kæ̃33	kæ̃44
杆	kæ̃223b	kẽ213	kẽ313
看	kʰæ̃31	kʰẽ31	kʰẽ31
侃	kʰæ̃223b	kʰæ̃213	kʰæ̃313
看	kʰæ̃33	kʰæ̃33	kʰẽ44
岸	ŋæ̃33	ŋæ̃33	ŋẽ44
罕	xæ̃223b	xæ̃213	xæ̃313
漢	xæ̃33	xæ̃33	xæ̃44
寒	xæ̃223a	xẽ223	xẽ323
韓	xæ̃223a	xæ̃223	xæ̃323
旱	xæ̃33	xæ̃33	xæ̃44
汗	xæ̃33	xẽ33	xẽ44
翰	xæ̃33	xæ̃33	xæ̃44
安	ŋæ̃31	ŋæ̃31	ŋæ̃31
晏	ŋæ̃33	ŋæ̃33	ŋæ̃44
捺	laʔ5	laʔ5	laʔ5
辣	laʔ5	laʔ5	laʔ5
擦	tsʰaʔ5	tsʰaʔ5	tsʰaʔ5
薩	saʔ5	sa31	saʔ5
割	keʔ5	kəʔ5	keʔ5
磕	kʰeʔ5	kʰəʔ5	kʰeʔ5
絆	pʰæ̃33	pʰæ̃33	pʰæ̃44
瞞	mõ223a	mõ223	mõ323
滿	mõ223b	mõ213	mõ313
漫	mæ̃33	mõ33	mõ44
端	tõ31	tõ31	tõ31
短	tõ223b	tõ213	tõ313
斷	tõ33	tõ33	tõ44
團	tʰõ223a	tʰõ223	tʰõ323
段	tõ33	tõ33	tõ44
暖	nõ223b	lõ213	lõ313
鸞	nõ223a	læ̃223	lõ323
卵	nõ223b	lõ213	lõ313
亂	nõ33	lõ33	lõ44
鑽	tsõ33	tsõ33	tsõ44
竄	tɕʰyæ̃33	tsʰõ33	tsʰõ44
酸	sõ31	sõ31	sõ31
算	sõ33	sõ33	sõ44
冠	kõ313	kõ313	kuõ31
管	kõ223b	kõ213	kuõ313
罐	kõ33	kuæ̃	kuõ44
貫	kuæ̃	kuæ̃	kuõ44
