漢字	IPA	IPA调类	注释
口	hɐu³⁵	hɐu3	
孝	hau⁴⁴³	hau5	
好	hɐu⁴⁴³	hɐu5	喜～
耗	hɐu⁴⁴³	hɐu5	消～
酵	hau⁴⁵	hau1	
烤	hau⁴⁵	hau1	
敲	hau⁴⁵	hau1	
蒿	hɐu⁴⁵	hɐu1	蓬～
薅	hɐu⁴⁵	hɐu1	动词，除田草
校	hau⁵²	hau6	学～
效	hau⁵²	hau6	
號	hɐu⁵²	hɐu6	
耗	hɐu⁵²	hɐu6	噩～
浩	hɐu⁵²	hɐu6	
後	hɐu⁵²	hɐu6	
候	hɐu⁵²	hɐu6	
酷	hɐu⁵²	hɐu6	～似
殼	hɔk⁴	hɔk7b	
鶴	hɔk⁵²	hɔk8	
學	hɔk⁵²	hɔk8	
杭	hɔŋ²¹	hɔŋ2	
航	hɔŋ²¹	hɔŋ2	
降	hɔŋ²¹	hɔŋ2	
行	hɔŋ²¹	hɔŋ2	
䉺	hɔŋ³⁵	hɔŋ3	形容词，陈米的气味
炕	hɔŋ⁴⁴³	hɔŋ5	动词，烘烤，把食物放在锅中烤，使之变干
炕	hɔŋ⁴⁴³	hɔŋ5	动词，用力掴
康	hɔŋ⁴⁵	hɔŋ1	
糠	hɔŋ⁴⁵	hɔŋ1	
匡	hɔŋ⁴⁵	hɔŋ1	
筐	hɔŋ⁴⁵	hɔŋ1	
眶	hɔŋ⁴⁵	hɔŋ1	
腔	hɔŋ⁴⁵	hɔŋ1	
項	hɔŋ⁵²	hɔŋ6	
巷	hɔŋ⁵²	hɔŋ6	
豈	hi³⁵	hi3	
起	hi³⁵	hi3	
喜	hi³⁵	hi3	
氣	hi⁴⁴³	hi5	
棄	hi⁴⁴³	hi5	
汽	hi⁴⁴³	hi5	
器	hi⁴⁴³	hi5	
戲	hi⁴⁴³	hi5	
欺	hi⁴⁵	hi1	
希	hi⁴⁵	hi1	
唏	hi⁴⁵	hi1	
犧	hi⁴⁵	hi1	
烯	hi⁴⁵	hi1	
稀	hi⁴⁵	hi1	
熙	hi⁴⁵	hi1	
嘻	hi⁴⁵	hi1	
嬉	hi⁴⁵	hi1	
熹	hi⁴⁵	hi1	
羲	hi⁴⁵	hi1	
曦	hi⁴⁵	hi1	
禧	hi⁴⁵	hi1	
享	hiaŋ³⁵	hiaŋ3	
響	hiaŋ³⁵	hiaŋ3	
餉	hiaŋ³⁵	hiaŋ3	
饗	hiaŋ³⁵	hiaŋ3	～客
向	hiaŋ⁴⁴³	hiaŋ5	
鄉	hiaŋ⁴⁵	hiaŋ1	
