漢字	IPA	IPA调类	注释
紀	ki³⁵	ki3	
杞	ki³⁵	ki3	
癸	ki⁴⁴³	ki5	
貴	ki⁴⁴³	ki5	
桂	ki⁴⁴³	ki5	
記	ki⁴⁴³	ki5	
季	ki⁴⁴³	ki5	
既	ki⁴⁴³	ki5	
寄	ki⁴⁴³	ki5	
歸	ki⁴⁵	ki1	
譏	ki⁴⁵	ki1	
嘰	ki⁴⁵	ki1	
饑	ki⁴⁵	ki1	
璣	ki⁴⁵	ki1	
機	ki⁴⁵	ki1	
乩	ki⁴⁵	ki1	扶～：一种迷信活动
肌	ki⁴⁵	ki1	
磯	ki⁴⁵	ki1	
姬	ki⁴⁵	ki1	
基	ki⁴⁵	ki1	
箕	ki⁴⁵	ki1	
畿	ki⁴⁵	ki1	
几	ki⁴⁵	ki1	～乎；茶～
奇	ki⁴⁵	ki1	～数
櫃	ki⁵²	ki6	
跪	ki⁵²	ki6	
伎	ki⁵²	ki6	
技	ki⁵²	ki6	
忌	ki⁵²	ki6	
妓	ki⁵²	ki6	
騎	ki⁵²	ki6	一～红尘
腳	kiak⁴	kiak7b	
蔃	kiaŋ³⁵	kiaŋ3	根。树～：树根
薑	kiaŋ⁴⁵	kiaŋ1	
僵	kiaŋ⁴⁵	kiaŋ1	
彊	kiaŋ⁴⁵	kiaŋ1	
韁	kiaŋ⁴⁵	kiaŋ1	
疆	kiaŋ⁴⁵	kiaŋ1	
羌	kiaŋ⁴⁵	kiaŋ1	～族
儆	kiaŋ⁵²	kiaŋ6	动词，小心、爱惜器物
檢	kim³⁵	kim3	
劍	kim⁴⁴³	kim5	
兼	kim⁴⁵	kim1	
儉	kim⁵²	kim6	
見	kin⁴⁴³	kin5	
建	kin⁴⁴³	kin5	
堅	kin⁴⁵	kin1	
肩	kin⁴⁵	kin1	
件	kin⁵²	kin6	
健	kin⁵²	kin6	
腱	kin⁵²	kin6	
鍵	kin⁵²	kin6	
劫	kip⁴	kip7b	
澀	kip⁴	kip7b	
拮	kit⁴	kit7b	
潔	kit⁴	kit7b	
結	kit⁴	kit7b	
傑	kit⁵²	kit8	
撟	kiu³⁵	kiu3	动词，拭擦
繳	kiu³⁵	kiu3	
叫	kiu⁴⁴³	kiu5	
嬌	kiu⁴⁵	kiu1	
驕	kiu⁴⁵	kiu1	
轎	kiu⁵²	kiu6	
撬	kiu⁵²	kiu6	
果	ko³⁵	ko3	
裹	ko³⁵	ko3	
咽	ko³⁵	ko3	语气词
個	ko⁴⁴³	ko5	
過	ko⁴⁴³	ko5	
戈	ko⁴⁵	ko1	
哥	ko⁴⁵	ko1	
歌	ko⁴⁵	ko1	
撾	ko⁴⁵	ko1	又读
嗰	ko⁵²	ko6	～啲：这么一点点
鋸	kœ⁴⁴³	kœ5	又读
□	kœ⁵²	kœ6	唔～：觉得吃亏而不服气，不甘心
改	koi³⁵	koi3	
蓋	koi⁴⁴³	koi5	
該	koi⁴⁵	koi1	
賅	koi⁴⁵	koi1	
癐	koi⁵²	koi6	形容词，累。俗作“攰”
穀	kok⁴⁵	kok7a	
榖	kok⁴⁵	kok7a	
鞠	kok⁴⁵	kok7a	
菊	kok⁴⁵	kok7a	
局	kok⁵²	kok8	
煽	kok⁵²	kok8	
稈	kɵn³⁵	kɵn3	
趕	kɵn³⁵	kɵn3	
莞	kɵn³⁵	kɵn3	
館	kɵn³⁵	kɵn3	
管	kɵn³⁵	kɵn3	
卷	kɵn³⁵	kɵn3	试～；～起
幹	kɵn⁴⁴³	kɵn5	～部
觀	kɵn⁴⁴³	kɵn5	道～
冠	kɵn⁴⁴³	kɵn5	～军
貫	kɵn⁴⁴³	kɵn5	
灌	kɵn⁴⁴³	kɵn5	
鸛	kɵn⁴⁴³	kɵn5	
罐	kɵn⁴⁴³	kɵn5	
眷	kɵn⁴⁴³	kɵn5	
券	kɵn⁴⁴³	kɵn5	
杆	kɵn⁴⁵	kɵn1	
竿	kɵn⁴⁵	kɵn1	
乾	kɵn⁴⁵	kɵn1	天～；烘～肝
觀	kɵn⁴⁵	kɵn1	参～
官	kɵn⁴⁵	kɵn1	
冠	kɵn⁴⁵	kɵn1	衣～
棺	kɵn⁴⁵	kɵn1	
捐	kɵn⁴⁵	kɵn1	
涓	kɵn⁴⁵	kɵn1	
娟	kɵn⁴⁵	kɵn1	
鵑	kɵn⁴⁵	kɵn1	
絹	kɵn⁴⁵	kɵn1	
倦	kɵn⁵²	kɵn6	
鞏	koŋ³⁵	koŋ3	
拱	koŋ³⁵	koŋ3	
拱	koŋ³⁵	koŋ3	代词，这样；那样
汞	koŋ⁴⁴³	koŋ5	
貢	koŋ⁴⁴³	koŋ5	
貢	koŋ⁴⁴³	koŋ5	代词，这么；那么
貢	koŋ⁴⁴³	koŋ5	动词，摇，动；向泥土里拱，钻
工	koŋ⁴⁵	koŋ1	
弓	koŋ⁴⁵	koŋ1	
公	koŋ⁴⁵	koŋ1	
功	koŋ⁴⁵	koŋ1	
攻	koŋ⁴⁵	koŋ1	
供	koŋ⁴⁵	koŋ1	
宮	koŋ⁴⁵	koŋ1	
恭	koŋ⁴⁵	koŋ1	
蚣	koŋ⁴⁵	koŋ1	
躬	koŋ⁴⁵	koŋ1	
龔	koŋ⁴⁵	koŋ1	
共	koŋ⁵²	koŋ6	
割	kɵt⁴	kɵt7b	
葛	kɵt⁴	kɵt7b	
獦	kɵt⁴	kɵt7b	～獠
蕨	kɵt⁴	kɵt7b	～村：在车岗镇
咕	ku²¹	ku2	～咕声：因气愤、不满发牢骚
古	ku³⁵	ku3	
股	ku³⁵	ku3	
牯	ku³⁵	ku3	
蠱	ku³⁵	ku3	
鼓	ku³⁵	ku3	
賈	ku³⁵	ku3	商～
九	ku³⁵	ku3	
久	ku³⁵	ku3	
韭	ku³⁵	ku3	
固	ku⁴⁴³	ku5	
故	ku⁴⁴³	ku5	
顧	ku⁴⁴³	ku5	
雇	ku⁴⁴³	ku5	
錮	ku⁴⁴³	ku5	
灸	ku⁴⁴³	ku5	白
灸	ku⁴⁴³	ku5	白
救	ku⁴⁴³	ku5	
估	ku⁴⁵	ku1	
咕	ku⁴⁵	ku1	～噜肉
沽	ku⁴⁵	ku1	
孤	ku⁴⁵	ku1	
姑	ku⁴⁵	ku1	
軲	ku⁴⁵	ku1	
鴣	ku⁴⁵	ku1	
菇	ku⁴⁵	ku1	
辜	ku⁴⁵	ku1	
觚	ku⁴⁵	ku1	
詁	ku⁴⁵	ku1	
舊	ku⁵²	ku6	
矩	ky³⁵	ky3	
舉	ky³⁵	ky3	
櫸	ky³⁵	ky3	
句	ky⁴⁴³	ky5	
倨	ky⁴⁴³	ky5	
據	ky⁴⁴³	ky5	
鋸	ky⁴⁴³	ky5	
踞	ky⁴⁴³	ky5	
車	ky⁴⁵	ky1	～马炮
居	ky⁴⁵	ky1	
巨	ky⁵²	ky6	
苣	ky⁵²	ky6	
具	ky⁵²	ky6	
炬	ky⁵²	ky6	
懼	ky⁵²	ky6	
颶	ky⁵²	ky6	
瞿	ky⁵²	ky6	姓，又读
揦	la³⁵	la3	动词，抓，～埋：一把抓起
揦	la³⁵	la3	使腐蚀或辣眼鼻
辣	la⁴⁴³	la5	～椒
罅	la⁴⁴³	la5	缝儿
旯	la⁴⁵	la1	
喇	la⁴⁵	la1	
啦	la⁴⁵	la1	
嘞	la⁵²	la6	语气词，征求别人同意或认同自己的意见
嘞	la⁵²	la6	～洒：一片狼藉
□	lai²¹	lai2	“～舐”放在“滑”“白”等形容词后面表示程度较高，如“白～舐”：惨白
犁	lɐi²¹	lɐi2	
黎	lɐi²¹	lɐi2	
藜	lɐi²¹	lɐi2	
禮	lɐi²¹	lɐi2	
□	lai³⁵	lai3	动词，用舌头舔
噤	lɐi³⁵	lɐi3	动词，反转、扭转身体等
癩	lai⁴⁴³	lai5	生癞
拉	lai⁴⁵	lai1	
孻	lai⁴⁵	lai1	
嚟	lɐi⁴⁵	lɐi1	动词，咬
賴	lai⁵²	lai6	
瀨	lai⁵²	lai6	动词，将液体慢慢向下倒；丢失，遗漏
鸝	lɐi⁵²	lɐi6	
麗	lɐi⁵²	lɐi6	
勵	lɐi⁵²	lɐi6	
例	lɐi⁵²	lɐi6	
荔	lɐi⁵²	lɐi6	
酈	lɐi⁵²	lɐi6	
儷	lɐi⁵²	lɐi6	
蠣	lɐi⁵²	lɐi6	
䚕	lɐi⁵²	lɐi6	动词，严厉地看
礫	lak⁴⁵	lak7a	
簕	lak⁵²	lak8	刺
勒	lak⁵²	lak8	
肋	lak⁵²	lak8	
嵐	lam²¹	lam2	
婪	lam²¹	lam2	
藍	lam²¹	lam2	
襤	lam²¹	lam2	
籃	lam²¹	lam2	
林	lɐm²¹	lɐm2	
臨	lɐm²¹	lɐm2	
淋	lɐm²¹	lɐm2	
霖	lɐm²¹	lɐm2	
凜	lɐm²¹	lɐm2	
廩	lɐm²¹	lɐm2	
檻	lam³⁵	lam3	门～
覽	lam³⁵	lam3	
攬	lam³⁵	lam3	
欖	lam³⁵	lam3	
㝝	lɐm³⁵	lɐm3	动词，闷在屋里不出去
冧	lɐm³⁵	lɐm3	量词，头，只，用在大型动物；个，多指大男人
冧	lɐm⁴⁴³	lɐm5	动词，坍塌
冧	lɐm⁴⁵	lɐm1	～酒：兰姆酒，来自英语rum
艦	lam⁵²	lam6	
纜	lam⁵²	lam6	
濫	lam⁵²	lam6	
冧	lɐm⁵²	lɐm6	动词，堆砌，垒叠
蘭	lan²¹	lan2	
攔	lan²¹	lan2	
欄	lan²¹	lan2	
瀾	lan²¹	lan2	
懶	lan²¹	lan2	
鄰	lɐn²¹	lɐn2	
燐	lɐn²¹	lɐn2	
鱗	lɐn²¹	lɐn2	
伶	lɐn²¹	lɐn2	
靈	lɐn²¹	lɐn2	
囹	lɐn²¹	lɐn2	
鈴	lɐn²¹	lɐn2	
淩	lɐn²¹	lɐn2	
陵	lɐn²¹	lɐn2	
菱	lɐn²¹	lɐn2	
翎	lɐn²¹	lɐn2	
綾	lɐn²¹	lɐn2	
零	lɐn²¹	lɐn2	
鯪	lɐn²¹	lɐn2	
嶺	lɐn²¹	lɐn2	
領	lɐn²¹	lɐn2	
侖	lɐn²¹	lɐn2	
倫	lɐn²¹	lɐn2	
淪	lɐn²¹	lɐn2	
輪	lɐn²¹	lɐn2	
讕	lan³⁵	lan3	变调音，刻意表现自己，显摆
令	lɐn³⁵	lɐn3	变调音，斗～：五分钱的硬币，转指很少的钱
淪	lɐn³⁵	lɐn3	动词，醮上液体或糊状物、粉状物等
炩	lɐn⁴⁴³	lɐn5	变调音，形容词，锃亮，闪亮。又读
躝	lan⁴⁵	lan1	
噒	lɐn⁴⁵	lɐn1	动词，昆虫等伏着舔食
爛	lan⁵²	lan6	
吝	lɐn⁵²	lɐn6	
另	lɐn⁵²	lɐn6	
令	lɐn⁵²	lɐn6	
炩	lɐn⁵²	lɐn6	闪～：闪电
論	lɐn⁵²	lɐn6	
冷	lɐŋ²¹	lɐŋ2	
唥	lɐŋ³⁵	lɐŋ3	狗～：土茯苓
唥	lɐŋ⁴⁴³	lɐŋ5	动词，串、锁
唥	lɐŋ⁴⁵	lɐŋ1	拟声词，一般指铃声
唥	lɐŋ⁵²	lɐŋ6	乒铃嘣～：用力敲击物体的声音；连串的枪声或鞭炮声等
垃	lap⁴	lap7b	
擸	lap⁴	lap7b	动词，用手掌或手臂向自己方向拨拢，揽取
笠	lɐp⁴⁵	lɐp7a	
臘	lap⁵²	lap8	
蠟	lap⁵²	lap8	
立	lɐp⁵²	lɐp8	
㾊	lat⁴	lat7b	
辣	lat⁴	lat7b	泼～
壢	lɐt⁴⁵	lɐt7a	畦，田垄
嚦	lɐt⁴⁵	lɐt7a	
靂	lɐt⁴⁵	lɐt7a	
甩	lɐt⁴⁵	lɐt7a	
邋	lat⁵²	lat8	
迾	lat⁵²	lat8	
力	lɐt⁵²	lɐt8	
曆	lɐt⁵²	lɐt8	～史；日～
瀝	lɐt⁵²	lɐt8	
鬁	lɐt⁵²	lɐt8	淋巴腺肿
栗	lɐt⁵²	lɐt8	
礪	lɐt⁵²	lɐt8	
傈	lɐt⁵²	lɐt8	
律	lɐt⁵²	lɐt8	
率	lɐt⁵²	lɐt8	
聿	lɐt⁵²	lɐt8	
勞	lɐu²¹	lɐu2	
嘮	lɐu²¹	lɐu2	～嘈：絮叨
老	lɐu²¹	lɐu2	
溜	lɐu²¹	lɐu2	
劉	lɐu²¹	lɐu2	文
留	lɐu²¹	lɐu2	文
流	lɐu²¹	lɐu2	文
琉	lɐu²¹	lɐu2	文，～璃牢
餾	lɐu²¹	lɐu2	文
榴	lɐu²¹	lɐu2	文
柳	lɐu²¹	lɐu2	文
嘍	lɐu²¹	lɐu2	
樓	lɐu²¹	lɐu2	
摟	lɐu²¹	lɐu2	
撈	lɐu⁴⁵	lɐu1	
撈	lɐu⁴⁵	lɐu1	我～你：我和你
嘮	lɐu⁴⁵	lɐu1	～叨
褸	lɐu⁴⁵	lɐu1	
澇	lɐu⁵²	lɐu6	旱～
陋	lɐu⁵²	lɐu6	
漏	lɐu⁵²	lɐu6	
咯	lɔk⁴	lɔk7b	～～脆：非常松脆
烙	lɔk⁴	lɔk7b	
酪	lɔk⁴	lɔk7b	
洛	lɔk⁴	lɔk7b	
絡	lɔk⁴	lɔk7b	
駱	lɔk⁴	lɔk7b	
樂	lɔk⁵²	lɔk8	
落	lɔk⁵²	lɔk8	
郎	lɔŋ²¹	lɔŋ2	
狼	lɔŋ²¹	lɔŋ2	
廊	lɔŋ²¹	lɔŋ2	
螂	lɔŋ²¹	lɔŋ2	
朗	lɔŋ²¹	lɔŋ2	
塱	lɔŋ²¹	lɔŋ2	
銀	lɔŋ²¹	lɔŋ2	
啷	lɔŋ³⁵	lɔŋ3	动词，涮洗，摇动着器皿冲刷
㝗	lɔŋ⁴⁴³	lɔŋ5	动词，垫高、架起
啷	lɔŋ⁴⁵	lɔŋ1	铃声
鎯	lɔŋ⁴⁵	lɔŋ1	一个～：一分钱
浪	lɔŋ⁵²	lɔŋ6	
晾	lɔŋ⁵²	lɔŋ6	动词，晾挂、晾晒衣物等。又读
炩	leŋ⁴⁴³	leŋ5	变调音，形容词，锃亮，闪亮。又读
鈴	leŋ⁴⁵	leŋ1	变调音，拟声词，铃声
咧	lɛ²¹	lɛ2	骑～蚧：一种外貌奇特的树蛙
咧	lɛ³⁵	lɛ3	动词，斜眼看
咧	lɛ⁴⁴³	lɛ5	缝隙
咧	lɛ⁴⁵	lɛ1	语气词
咧	lɛ⁴⁵	lɛ1	菜～：盛菜的大篮子
咧	lɛ⁵²	lɛ6	动词，用手呈弧形把东西散开
厘	li²¹	li2	
狸	li²¹	li2	
離	li²¹	li2	
梨	li²¹	li2	
罹	li²¹	li2	
籬	li²¹	li2	
李	li²¹	li2	
里	li²¹	li2	
俚	li²¹	li2	
娌	li²¹	li2	
理	li²¹	li2	
鋰	li²¹	li2	
鯉	li²¹	li2	
履	li²¹	li2	
□	li⁴⁵	li1	动词，讨便宜，免费获取
哩	li⁴⁵	li1	咕～：苦力
璃	li⁴⁵	li1	
餌	li⁵²	li6	
厲	li⁵²	li6	
吏	li⁵²	li6	
利	li⁵²	li6	
莉	li⁵²	li6	
蒞	li⁵²	li6	
脷	li⁵²	li6	俗字，舌头
詈	li⁵²	li6	
痢	li⁵²	li6	
叻	liak⁴	liak7b	俗字，形容词，聪明，能干等
掠	liak⁵²	liak8	
略	liak⁵²	liak8	
良	liaŋ²¹	liaŋ2	
涼	liaŋ²¹	liaŋ2	
梁	liaŋ²¹	liaŋ2	
糧	liaŋ²¹	liaŋ2	
粱	liaŋ²¹	liaŋ2	
粱	liaŋ²¹	liaŋ2	
兩	liaŋ²¹	liaŋ2	～个
魎	liaŋ²¹	liaŋ2	魑魅魍～
兩	liaŋ³⁵	liaŋ3	半斤八～
靚	liaŋ⁴⁴³	liaŋ5	
僆	liaŋ⁴⁵	liaŋ1	年少，又写作“㜕”
僆	liaŋ⁴⁵	liaŋ1	入～：上当；中计
亮	liaŋ⁵²	liaŋ6	
諒	liaŋ⁵²	liaŋ6	
輛	liaŋ⁵²	liaŋ6	
量	liaŋ⁵²	liaŋ6	
晾	liaŋ⁵²	liaŋ6	又读
簾	lim²¹	lim2	
廉	lim²¹	lim2	
鐮	lim²¹	lim2	
斂	lim²¹	lim2	
殮	lim²¹	lim2	
斂	lim³⁵	lim3	变调音，舔、舐
臉	lim³⁵	lim3	
蘞	lim⁵²	lim6	
楝	lim⁵²	lim6	
連	lin²¹	lin2	
憐	lin²¹	lin2	
蓮	lin²¹	lin2	
漣	lin²¹	lin2	
摙	lin²¹	lin2	动词，把批量的东西分量移动
摙	lin³⁵	lin3	动词，人体或物体滚动翻转
連	lin⁴⁴³	lin5	～地：用身体在地上揩擦、滚爬
練	lin⁵²	lin6	
煉	lin⁵²	lin6	
鏈	lin⁵²	lin6	
䢂	lip⁴⁵	lip7a	电梯
獵	lip⁵²	lip8	
撒	lip⁵²	lip8	动词，捋，顺方向抚摸
綟	lit⁴	lit7b	名词，在条状物上打的结
挒	lit⁴	lit7b	动词，小孩子有目的地哭闹纠缠大人
列	lit⁵²	lit8	
烈	lit⁵²	lit8	
裂	lit⁵²	lit8	
了	liu²¹	liu2	～结
遼	liu²¹	liu2	
療	liu²¹	liu2	
聊	liu²¹	liu2	
寥	liu²¹	liu2	
潦	liu²¹	liu2	
寮	liu²¹	liu2	
燎	liu²¹	liu2	
瞭	liu²¹	liu2	～望
撩	liu³⁵	liu3	动词，搅拌
嫽	liu³⁵	liu3	
鶉	liu⁴⁵	liu1	～哥
溜	liu⁴⁵	liu1	
料	liu⁵²	liu6	
廖	liu⁵²	liu6	
羅	lo²¹	lo2	
蘿	lo²¹	lo2	
腡	lo²¹	lo2	手指纹
欏	lo²¹	lo2	杪～
鑼	lo²¹	lo2	
籮	lo²¹	lo2	
騾	lo²¹	lo2	
螺	lo²¹	lo2	
摞	lo²¹	lo2	
顆	lo³⁵	lo3	
裸	lo³⁵	lo3	
捰	lo³⁵	lo3	动词，拿取，又写作“攞”
□	lo⁴⁴³	lo5	粮食等受潮而发出难闻的气味
囉	lo⁴⁵	lo1	语气词
欏	lo⁴⁵	lo1	～柚：柚子；又指屁股
𦧲	lœ³⁵	lœ3	动词，慢慢吐出来
摞	lœ⁴⁵	lœ1	动词，揉搓
摞	lœ⁵²	lœ6	动词，用笔划掉写错的字，或用脚拨开某物
來	loi²¹	loi2	
徠	loi²¹	loi2	
雷	loi²¹	loi2	
擂	loi²¹	loi2	
鐳	loi²¹	loi2	
硒	loi²¹	loi2	
壘	loi³⁵	loi3	
壘	loi⁴⁵	loi1	动词，倒，随便地躺下
睞	loi⁵²	loi6	
耒	loi⁵²	loi6	
㖨	lok⁴⁵	lok7a	语气词
碌	lok⁴⁵	lok7a	
睩	lok⁴⁵	lok7a	动词，睁大眼睛注视
摝	lok⁴⁵	lok7a	
轆	lok⁴⁵	lok7a	
麓	lok⁴⁵	lok7a	
六	lok⁵²	lok8	
陸	lok⁵²	lok8	
錄	lok⁵²	lok8	
鹿	lok⁵²	lok8	
祿	lok⁵²	lok8	
漉	lok⁵²	lok8	
熝	lok⁵²	lok8	动词，用液体烫，俗写作渌
戮	lok⁵²	lok8	
綠	lok⁵²	lok8	
聯	lɵn²¹	lɵn2	
鸞	lɵn²¹	lɵn2	
戀	lɵn³⁵	lɵn3	
卵	lɵn³⁵	lɵn3	
攣	lɵn⁴⁵	lɵn1	形容词，弯曲
亂	lɵn⁵²	lɵn6	
龍	loŋ²¹	loŋ2	
蘢	loŋ²¹	loŋ2	
瀧	loŋ²¹	loŋ2	
櫳	loŋ²¹	loŋ2	
聾	loŋ²¹	loŋ2	
籠	loŋ²¹	loŋ2	
隆	loŋ²¹	loŋ2	
隴	loŋ³⁵	loŋ3	
攏	loŋ³⁵	loŋ3	
壟	loŋ³⁵	loŋ3	
窿	loŋ⁴⁵	loŋ1	
弄	loŋ⁵²	loŋ6	舞～法：变魔术
劣	lɵt⁴	lɵt7b	
捋	lɵt⁴	lɵt7b	动词，把东西聚拢来
埒	lɵt⁵²	lɵt8	沟渠
捋	lɵt⁵²	lɵt8	动词，顺着抚摸。～胡须
劉	lu²¹	lu2	白
瀏	lu²¹	lu2	
留	lu²¹	lu2	白
流	lu²¹	lu2	白，流失
琉	lu²¹	lu2	白
硫	lu²¹	lu2	
餾	lu²¹	lu2	白
榴	lu²¹	lu2	白
瘤	lu²¹	lu2	
柳	lu²¹	lu2	白
擼	lu²¹	lu2	～起
嚕	lu²¹	lu2	呼～
盧	lu²¹	lu2	
蘆	lu²¹	lu2	
廬	lu²¹	lu2	
爐	lu²¹	lu2	
鸕	lu²¹	lu2	～鹚
鹵	lu²¹	lu2	
虜	lu²¹	lu2	
魯	lu²¹	lu2	
櫓	lu²¹	lu2	
流	lu⁴⁵	lu1	白，流水
騮	lu⁴⁵	lu1	
賂	lu⁵²	lu6	
路	lu⁵²	lu6	
璐	lu⁵²	lu6	
鷺	lu⁵²	lu6	
露	lu⁵²	lu6	
磊	ly²¹	ly2	光明～落
裡	ly²¹	ly2	
瘰	ly²¹	ly2	～疬
驢	ly²¹	ly2	
閭	ly²¹	ly2	
呂	ly²¹	ly2	
侶	ly²¹	ly2	
旅	ly²¹	ly2	
鋁	ly²¹	ly2	
屢	ly²¹	ly2	
縷	ly²¹	ly2	
履	ly²¹	ly2	
蕾	ly³⁵	ly3	
□	ly⁴⁵	ly1	钝：～口
淚	ly⁵²	ly6	
類	ly⁵²	ly6	
累	ly⁵²	ly6	
戾	ly⁵²	ly6	
慮	ly⁵²	ly6	
濾	ly⁵²	ly6	
唔	m²¹	m2	
麻	ma²¹	ma2	
痳	ma²¹	ma2	
嫲	ma²¹	ma2	
馬	ma²¹	ma2	
獁	ma²¹	ma2	
瑪	ma²¹	ma2	
碼	ma²¹	ma2	
螞	ma²¹	ma2	
媽	ma⁴⁵	ma1	
嗎	ma⁴⁵	ma1	
孖	ma⁴⁵	ma1	
罵	ma⁵²	ma6	读书音
埋	mai²¹	mai2	
霾	mai²¹	mai2	
買	mai²¹	mai2	
迷	mɐi²¹	mɐi2	
謎	mɐi²¹	mɐi2	
米	mɐi²¹	mɐi2	
賣	mai³⁵	mai3	烧～：烧肉
眯	mɐi⁴⁴³	mɐi5	
埋	mai⁴⁵	mai1	屎
冞	mɐi⁴⁵	mɐi1	动词，刻苦钻研。～书：刻苦读书
冞	mɐi⁴⁵	mɐi1	动词，刻、削
米	mɐi⁴⁵	mɐi1	长度
邁	mai⁵²	mai6	
賣	mai⁵²	mai6	买～
咪	mɐi⁵²	mɐi6	就是
□	mak⁴⁵	mak7a	掰
□	mak⁴⁵	mak7a	重孙的子女
擘	mak⁴⁵	mak7a	动词，睁、张；撕
嘜	mak⁴⁵	mak7a	俗字，盯人，球类运动中的一种防守战术，来自英语的“mark”
麥	mak⁵²	mak8	
脈	mak⁵²	mak8	
陌	mak⁵²	mak8	
墨	mak⁵²	mak8	
默	mak⁵²	mak8	
□	mɐm⁴⁵	mɐm1	吃～～：小孩吃的糊或粥类
蠻	man²¹	man2	
晚	man²¹	man2	
氓	mɐn²¹	mɐn2	
民	mɐn²¹	mɐn2	
皿	mɐn²¹	mɐn2	
閩	mɐn²¹	mɐn2	
憫	mɐn²¹	mɐn2	
敏	mɐn²¹	mɐn2	
名	mɐn²¹	mɐn2	
明	mɐn²¹	mɐn2	
鳴	mɐn²¹	mɐn2	
茗	mɐn²¹	mɐn2	
冥	mɐn²¹	mɐn2	
銘	mɐn²¹	mɐn2	
酩	mɐn²¹	mɐn2	
文	mɐn²¹	mɐn2	～化
紋	mɐn²¹	mɐn2	
聞	mɐn²¹	mɐn2	
蚊	mɐn²¹	mɐn2	～帐
雯	mɐn²¹	mɐn2	
刎	mɐn²¹	mɐn2	
吻	mɐn²¹	mɐn2	
抆	mɐn³⁵	mɐn3	动词，揩拭
蔓	man⁴⁴³	man5	形容词，介于苦与酸之间呛鼻的味道，常与“苦”连用
汶	mɐn⁴⁴³	mɐn5	水渗出
汶	mɐn⁴⁴³	mɐn5	非常接近
璺	mɐn⁴⁴³	mɐn5	
摱	man⁴⁵	man1	动词，掰，攀，抓牢；扳，拉
燜	mɐn⁴⁵	mɐn1	
文	mɐn⁴⁵	mɐn1	一～：一元钱
炆	mɐn⁴⁵	mɐn1	烹饪方式，盖紧锅盖用微火长时间地煮
蚊	mɐn⁴⁵	mɐn1	～仔
饅	man⁵²	man6	
鰻	man⁵²	man6	
曼	man⁵²	man6	
蔓	man⁵²	man6	
漫	man⁵²	man6	
慢	man⁵²	man6	
萬	man⁵²	man6	
命	mɐn⁵²	mɐn6	
問	mɐn⁵²	mɐn6	
盲	mɐŋ²¹	mɐŋ2	
萌	mɐŋ²¹	mɐŋ2	
盟	mɐŋ²¹	mɐŋ2	
猛	mɐŋ²¹	mɐŋ2	凶～
䒐	mɐŋ³⁵	mɐŋ3	烦躁、暴躁
蜢	mɐŋ³⁵	mɐŋ3	
掹	mɐŋ⁴⁴³	mɐŋ5	动词，拉、扯、拨出、绷紧。～大缆
掹	mɐŋ⁴⁵	mɐŋ1	动词，拉、扯、拨出、绷紧。～头发
猛	mɐŋ⁵²	mɐŋ6	动作好～
孟	mɐŋ⁵²	mɐŋ6	
抹	mat⁴	mat7b	～布
乜	mɐt⁴⁵	mɐt7a	～嚼
襪	mat⁵²	mat8	
覓	mɐt⁵²	mɐt8	
密	mɐt⁵²	mɐt8	
冪	mɐt⁵²	mɐt8	
謐	mɐt⁵²	mɐt8	
蜜	mɐt⁵²	mɐt8	
勿	mɐt⁵²	mɐt8	
物	mɐt⁵²	mɐt8	
矛	mau²¹	mau2	
茅	mau²¹	mau2	
錨	mau²¹	mau2	
卯	mau²¹	mau2	
昴	mau²¹	mau2	
鉚	mau²¹	mau2	
牡	mau²¹	mau2	
毛	mɐu²¹	mɐu2	
矛	mɐu²¹	mɐu2	
冇	mɐu²¹	mɐu2	
牟	mɐu²¹	mɐu2	～求
謀	mɐu²¹	mɐu2	
某	mɐu²¹	mɐu2	
畝	mɐu²¹	mɐu2	
牟	mɐu³⁵	mɐu3	“唔好”的合音
矛	mau⁴⁴³	mau5	河～：白条鱼
毛	mɐu⁴⁵	mɐu1	发霉
痞	mɐu⁴⁵	mɐu1	地～
蹠	mɐu⁴⁵	mɐu1	动词，蹲
貌	mau⁵²	mau6	
茂	mɐu⁵²	mɐu6	
冒	mɐu⁵²	mɐu6	
貿	mɐu⁵²	mɐu6	
帽	mɐu⁵²	mɐu6	
謬	mɐu⁵²	mɐu6	
眸	mɐu⁵²	mɐu6	
繆	mɐu⁵²	mɐu6	
剝	mɔk⁴	mɔk7b	
膜	mɔk⁴	mɔk7b	
幕	mɔk⁴	mɔk7b	
莫	mɔk⁵²	mɔk8	
寞	mɔk⁵²	mɔk8	
芒	mɔŋ²¹	mɔŋ2	～种
忙	mɔŋ²¹	mɔŋ2	
茫	mɔŋ²¹	mɔŋ2	
莽	mɔŋ²¹	mɔŋ2	
蟒	mɔŋ²¹	mɔŋ2	
亡	mɔŋ²¹	mɔŋ2	
網	mɔŋ²¹	mɔŋ2	
惘	mɔŋ²¹	mɔŋ2	
魍	mɔŋ²¹	mɔŋ2	
妄	mɔŋ²¹	mɔŋ2	
忘	mɔŋ²¹	mɔŋ2	
網	mɔŋ³⁵	mɔŋ3	蠄劳～
□	mɔŋ⁴⁴³	mɔŋ5	一截，一段
芒	mɔŋ⁴⁵	mɔŋ1	～果
忙	mɔŋ⁴⁵	mɔŋ1	
虻	mɔŋ⁴⁵	mɔŋ1	
望	mɔŋ⁵²	mɔŋ6	
乜	mɛ³⁵	mɛ3	歪
預	mɛ⁴⁵	mɛ1	动词，背、背负
