	注释：-白读；=文读
ts	[1]珠-{目～：眼睛}焦={～点；聚～}蕉椒昭招沼{～气}周舟州洲[2]樵{人名}[3]少{多～}酒[5]蛀{牙齿虫蛀或腐蚀}照诏{～书；～安：地名}咒={念～语}[6]就
tsʰ	[1]超秋鳅{湖～：泥鳅}𤞚{雄性动物发情；～□køyŋ33：形容发情的男人，詈语}□{雄性动物发情；～□køyŋ33：形容发情的男人，詈语}□{～桸：舀粪的勺状工具}[3]帚{扫～}手[5]树-{树木}笑
ɬ	[1]鬚-{喙～：嘴边的胡须}消宵霄硝销烧韶{～山：地名}萧箫修收肖{姓}[2]泅{～潭：游泳}仇{报～}酬售[3]小{～姐}少{～年}首守[5]悄鞘{刀～}秀绣兽肖{～羊：（生肖）属羊}[6]绍邵{姓；～武：地名}袖受寿授
k	[1]骄娇□{身体蜷缩。《集韵》渠尤切，足不伸也，原文作“⿺走勼”}[2]乔侨荞{～麦}囚{～犯}求球仇{姓}[3]绞={～刑}狡{～猾}矫{～诈}缴纠{～纷}久={读字}韭灸{针～}饺[5]叫救究[6]轿舅柩{灵～}
kʰ	[1]丘={姓}[2]虬{～筋：抽筋。妖～：性格古怪、犟}[3]巧[5]翘{动词；做～：（小孩）有情绪}□{形容米饭过硬}[6]翘{连～}
ŋ	[2]饶{上～：地名}尧牛={～魔王}
ɕ	[1]嚣{～张}休[3]侥{～幸}晓{了解、知道：解～}朽
∅	[1]扰={干～}妖邀腰要{～求}忧优幽[2]摇谣窑姚{姓}尤{～溪：地名；姓}邮由{～来}油游{旅～；～玩}犹{～太人}悠{～闲}[3]舀{～水}有={含～}友酉诱□{鼻～：鼻子}[5]要{重～}幼{（菜）嫩；小。～儿园}[6]耀鹞{老～：老鹰}又右佑釉
#ui	
p	[1]杯飞-{动作}[2]培赔肥[5]贝辈痱{蚁～：痱子}[6]背{～书}倍焙{～肉}吠{犬～：狗吠，亦作詈语}
pʰ	[1]胚坯[2]皮-{人、动植物的表皮}[5]配{下饭的菜、肉；～合}佩屁杮{柴～：木屑}啡{动词，吐。～□laŋ33：吐口水；～痰}[6]陪{～客}被-{被子}
m	[1]梅媒煤糜-{涂～浆：湿的泥土}玫{～瑰}霉莓{草～}[3]每尾[5]妹[6]未-{没有：～来}
t	[1]追{～赶}[2]□{动词，打（人）}[6]队坠{～落}
tʰ	[1]推={～选；～荐}[2]槌锤
l	[3]儡{傀～}累{～积；～计}蘂垒{堡～；～球；人名}[6]累{劳～；连～}瑞类
ts	[1]椎{脊～}锥{锥栗（大小介于榛子和板栗之间）}雎{斑～：斑鸠}[3]水[5]醉
tsʰ	[1]催崔{姓}吹{～牛皮；东风～}炊[5]脆喙{嘴}翠粹
ɬ	[1]绥{～平：三溪乡村名}[2]随垂{下～}虽{～然}[5]赛岁={万～}税穗{粙～：稻穗；麦～}[6]隧{～道}
k	[1]龟归过{（蔬菜等）老}[3]果-{～子}馃{白～：粳米磨粉制成的年节食品}拐幾{疑问代词，询问数目}诡轨鬼[5]桧{秦～：人名}鳜{～鱼}癸贵髻{～囝：发髻；鸡～：鸡冠}[6]跪柜
kʰ	[1]开-{～花；～门}盔魁亏[3]傀{～儡}[5]溃{～疡}愧{惭～}
ŋ	[2]危[3]我-{第一人称单数}[6]外={～国}伪魏
h	[1]恢灰麾挥辉徽[2]回{～校；～路}茴{～香}[3]火-{物体燃烧时产生的光焰}毁[5]悔{退～：后悔}晦{～气}岁-{岁数：几～}[6]汇会{开～；～计}绘讳
∅	[1]歪威□{埋}[2]为{作～}微={稍～}违围[3]委伟纬[5]慰{安～；～问}[6]卫为{～世乇：为什么}位畏胃谓
#au	
p	[2]袍{～哥：四川一种民众社会组织}胞[5]豹{牙齿外突；眼球因发怒而外突}[6]□{～母：指动物交配；相～：指鸡等尖嘴动物相互打架，斗鸡}
pʰ	[2]跑{～步；～道}[5]炮泡{～茶；～药；～酒}[6]泡{灯～；水～；吹～～；鱼～：鱼鳔的别称}鲍{姓}
m	[2]猫={熊～}锚矛-{～盾}[6]貌
t	[2]投骰{～子}[5]罩昼{转～：中午回家；落～：午后出门上学或上班；食～：吃午饭}[6]豆脰{～咙、～咙□kuok32：脖子}
tʰ	[2]头[5]透
n	[6]闹{～热：热闹；～意见}
l	[2]楼-{三层～}流-{动词，～水}刘{姓}留-{停在某处不离去；遗留}[6]老-{～人}漏
ts	[2]巢{黄～：人名}剿{～匪}[5]灶{～前：厨房}
tsʰ	[5]臭
ɬ	[5]扫{～帚；～厝：扫地}嗽
k	[2]猴[5]遘{到}教={～育}校{～对}较够□{装液体的量具（一般竹筒制成的用于装调料，锡制成的用于装酒）}[6]厚-{“薄”反；（茶、酒）味道浓，～茶：浓茶}
ŋ	[6]藕
h	[5]酵孝鲎[6]效校{学～；上～}
∅	[5]拗{脾气执拗，和人唱反调}[6]後-{～日：后天；前～}
#eu	
m	[2]茅谋矛={兵器名}[6]茂贸
t	[2]条调{调和均匀}[5]吊-{上～}鬥{～争；战～}
l	[2]楼={～房}□{动词，指吵架或打架时，一方先行挑起纠纷：是伊～我；～□ŋa24：指小孩顽皮好动}[6]料廖{姓}
ts	[5]奏皱咒-{诅～}[6]骤{步～}
tsʰ	[2]愁□{拌。～粉：和面}[5]凑□{～成：成全对方想做的事情或需要的物品，帮助对方达成目的}
ɬ	[2]稠{经常；□ku33～：搅拌均匀}
k	[5]构购
kʰ	[5]叩{～首}扣寇{日～}
h	[2]侯{万户～；拜相封～}喉{～咙；白～}□{形容女性风骚，詈语}[6]厚={忠～}後={～来；最～}后{皇～}侯{闽～：地名}候{时～}
#əu	
p	[1]包
pʰ	[1]剖{～腹产}枹{柚子}[3]否{是～}
m	[1]□{紧闭。喙～橂：嘴闭紧}[3]卯亩铆{～钉}
t	[1]雕-{～刻}凋{（中药等）味道苦、不好吃}兜{山顶上下凹的平地，常作地名用字。隔～：池园镇村名；兰～：塔庄镇村名；年暝～：接近过年的那段时间}蔸{量词，指称整棵植物}[3]斗{量词，容量单位；容器名。～钱：纸钱的一种}抖
tʰ	[1]逃{～走}偷馊{臭～}[3]㪗{把绳子解开；～鼻：擤鼻涕}
n	[1]□{形容女性风骚，詈语}[3]扰-{干～}绕{围～}
l	[1]捞-{动词，～鱼}[3]篓{番薯～：一种竹篾制成的容器，常用来装红薯}搂𠞭{用利器挖洞}
ts	[1]糟{用酒糟腌制菜：～菜}邹[3]爪{～牙}鸟-{动物}走{跑；逃；～水：雌性动物发情}纣{～王}找{～钱（新派说法）}
tsʰ	[1]操{体～}抄[3]蚤{□ka-24～：跳蚤}草-{草本植物}吵
ɬ	[1]骚{风～}搜[3]稍{～微}叟{读字}
k	[1]交郊勾钩沟[3]咬={程～金：人名}狗{走～}苟九垢{洽～：（身上的）污垢}枸{～杞}□{□tsʰɔʔ5～：借对方短处索要好处}
kʰ	[1]箍-{动词，～桶；树𬂌～：（扎头发用的）橡皮筋}抠阄{拈～：抓阄}[3]口{井～；茶～：塔庄镇村名；～罩}
ŋ	[3]偶{配～；～然}
h	[1]薅{～草}
∅	[1]欧瓯{建～：地名；茶～：茶杯；～盖：茶杯盖}殴[3]呕沤{久浸水中：浸～}
#iŋ	
p	[1]彬宾槟{～榔}殡{～仪馆}冰兵[2]贫{～苦；～农}频{～繁}凭{～证}平={～均；和～}评={～话：一种用福州方言吟唱的民间说书艺术}瓶屏{～风}萍[3]禀{～告}丙秉□{番薯～：竹篾制成的晾晒工具，用于晒红薯干}[5]並{～且}
pʰ	[1]拼={～音；～图}[3]品[5]聘
m	[2]眠{睏～：睡觉}闽{～清：地名；～江：水名}民鸣明={3～旦：明天；光～}铭[3]悯{怜～}敏皿[5]面{脸。洗～；～布：毛巾}[6]命={革～；生～}
t	[1]珍惩贞砧{～板：菜板；～垱：菜墩子（比菜板厚）}丁钉{铁～}疔{发～：长疔}灯={2靠茶油和灯芯草燃烧的小灯火。～马火：小灯火，后也指煤油灯；～盏：装燃油的小碟子}[2]陈{姓；～旧；～列}尘{污～：灰尘}藤亭停廷庭[3]等-{等待：～侬}顶鼎={人名}[5]镇{行政单位；形容味道太重}钉{动词}订={～婚}叮{叮咬，蜇}[6]阵{～地；做～：一起；拍～：打仗}定={一～}
tʰ	[1]汀{长～：地名}[2]沉={～香}[3]艇挺[5]趁{～钱：挣钱；～机会：趁机}
n	[2]仁-{果仁}宁{安～；～可；姓}[6]认
l	[2]林={3姓；森～}淋临邻鳞磷陵凌菱灵零铃伶薐{菠～菜：菠菜}[6]赁令另𡳞{睾丸}
ts	[1]津真征{～求；长～}蒸精={～明；～神}晶清={2水清；稀，不浓：饭真～}□{水清；稀，不浓：饭真～}菁{菅～：茅草秆}[2]秦情[3]枕={皮～：皮质靠枕}诊疹{麻～}振震拯{～救；包～：人名}整[5]浸进晋证症正={雍～}政[6]尽{～量；副词，很}静={安～}靖净={读字}
tsʰ	[1]侵深亲{～近；～家}称{～呼；～重；～职}清={3水清；～明：节气}青={～年}蜻{～□ŋa24：蜻蜓}[3]寝{～室}[5]称{秤}秤凊{冷}
ɬ	[1]心先-{2～生}辛新薪{～水}身{～体；带～：怀孕}申伸升声={人名}星[2]寻神辰晨臣乘{～法}承{～认；继～}丞{～相}蝇-{蒲～：苍蝇}成={～功；～绩；～就}诚蟳{螃蟹的一种}[3]沈{姓；～阳：地名}审婶醒={觉～}[5]信{～心；～息}讯{通～}迅{～速}胜性={～格}圣={～人；神～}鉎{铁锈}囟{㦿～：囟门}[6]葚{桑～}甚肾慎{谨～}盛{兴～}
k	[1]今金禁{～定：禁不住}均{平～}京惊={～蛰}鲸经={曾～}[2]荆{～州：地名}琼{秦～：人名}[3]锦紧仅{～～}谨{～慎}境景警颈{～椎}[5]禁{～止}竟劲{干～}径{半～}[6]妗{舅母}胗{鸡～：鸡的胃}肾{鸡～：鸡的胃}竞{～赛}
kʰ	[1]钦卿轻[2]钳{火～；～囝：钳子}琴禽擒倾{倒：～酒；～茶}[3]肯-{同意。～□ŋiŋ33（“伓肯”[ŋ̍53kʰiŋ33]合音）：肯不肯}倾{～斜；～家荡产}顷{公～}[5]庆
ŋ	[2]吟凝={～结}迎={～接}‖□{塍～、塍～头：田埂}[3]颖{粙～；麦～}
ɕ	[1]兴{～旺}馨兄={2～弟}[2]眩{～车：晕车}形型刑[5]兴{高～}
∅	[1]音阴荫窨{～井}烟-{火～：黑烟}因姻{婚～}应{～当；～对}莺鹦{～鹉}樱英婴缨[2]壬淫人{～民；男～女～}仁={～义；人名}寅蝇={～头小利}盈{～利}荣营={～业；～生}萤{火南～：萤火虫}□{～蚣：蜈蚣}[3]饮={～用水}引隐影={3电～}永[5]印映{放～}□{～炭：把灶中烧透的木柴放入炭瓮里，将火闷灭，形成炭}[6]任{姓；责～}孕
#uŋ	
p	[1]崩{山～地裂}[2]㖹{吹：～气}房{～间}棚[5]粪{～间：厕所}放-{～开；～学}畚{～斗}[6]笨
pʰ	[1]潘-{～水：泔水}蜂[2]篷{～船：帆船；风～：风帆}蓬捧{拿、端：～碗；～茶}[3]捧{两手承托：～水}[5]喷{～水；～香}缝
m	[2]蒙{～古}[6]闷{天气、心情闷；解～：开玩笑，戏弄、调笑人}焖{一种烹饪方法}
t	[1]敦{～煌：地名；～厚}东={方位名词；～方红；～桥：闽清县镇名}□{无意识地轻碰}[2]同={～学；～事}童{儿～}瞳{～孔}[3]盾{矛～；～牌}董{姓}[5]顿={～时}冻={急～：冷冻；～肉}栋{～梁}[6]动={～物；多～症}炖
tʰ	[1]通={～知；～过}[3]统[6]□{形容人的体型矮胖：□ɛ33～}
n	[2]农脓={读字}浓[3]忍-{形容脾气好，能忍事。白～堂：坂东镇张氏祠堂名}[5]润-{天野～：天气潮湿；过野～：生活滋润}[6]闰{～年；～月}弄{～璋～瓦：生男生女的古称}韧{形容有韧性}
l	[2]伦沦{～陷}轮
ts	[1]宗综{～合}踪{～迹}□{因寒冷或惊吓而颤抖，分音形式为[tsu-44luŋ-44]。□□[təu-44ləu-44]（“抖”的分音形式）～：颤抖}[2]崇[3]准{～备}总={～计}□{～谜：猜谜}[5]俊
tsʰ	[1]春聪[3]蠢□{疲乏想睡，打瞌睡}[6]□{拧。～毛巾；火把～：麻花（食品），也用于比喻人头脑不清楚}
ɬ	[2]船荀旬循巡纯醇[3]笋榫{～头：榫卯结构中的凸出部分}[5]舜瞬宋嵩{～口：永泰县镇名}[6]顺
k	[1]君军公功攻[2]拳群裙[3]滚[5]棍郡贡
kʰ	[1]空={～军}□{猪用嘴拱或拨物：～番薯}[3]捆{量词；动词}菌{病～}孔={姓}恐[5]控
h	[1]分={量词，指称货币、田地}芬纷荤轰{～炸}风丰封{密～}峰锋[2]昏{形容脑袋昏昏沉沉}魂浑{～浊}云晕{～车}弘宏={～大}红={东方～；人名}洪鸿冯{姓}逢[3]粉讽[5]训[6]混{～合}分{～数；食几～：（考试）得几分}奋愤份{量词}凤奉俸
∅	[1]温{～铺：盖上被子，在被窝里取暖}瘟翁[2]文纹闻{新～}[3]稳□{发酵（如食物因发酵过久而变质，沼气发酵等）。～柿：漤柿子，使去掉涩味}[5]揾{蘸}蕹{～菜：空心菜}[6]韵运问={慰～；～题；～卷}
#yŋ	
t	[1]中={～间；～学；～国}忠[5]中{～意；～奖}[6]仲重={～要}
tʰ	[2]重{～复；量词，层}
l	[2]隆龙={动物}
ts	[1]终{～点；最～}钟盅舂{～米；～臼}[2]从{～容；跟～}[3]种{～类；～子}肿[5]众种{～树}
tsʰ	[1]充冲
ɬ	[2]松{～柏：松树}[6]诵讼颂□{穿：～衣裳}
k	[1]跟={介词}根-{树～}巾斤筋{牛～}钧弓躬{鞠～}宫恭[2]穷[3]拱{～桥；～手}[6]近供{～应；～养}共={～产党}
kʰ	[2]勤芹[3]巩{～固}[6]虹{出～：出彩虹}
ŋ	[2]银龈
ɕ	[1]欣{有的人读作ɕiŋ24}熏={读字}勋薰胸凶[2]熊{犬～：狗熊}雄
∅	[1]殷{姓；～切}雍{～正}拥臃庸[2]匀{均～；分出一部分东西给别人}戎绒融{～入}茸{鹿～}容{～易；～□nia31哥：纵容、娇惯孩子；△～鸡爬灶，～囝不孝}蓉{芙～}镕榕[3]忍={～耐}允尹{姓}甬勇涌[6]润={光滑}用{作～；应～}
#aŋ	
p	[1]班斑={～点：鱼名，一种带斑点的淡水鱼}颁般邦浜{沙家～}[2]平-{表面没有高低凹凸，平坦}坪{山地梯田，亦作量词，指称山地梯田的每一层；地名用字，梅～、～街：塔庄镇村名}评-{～论；批～}[3]绑[5]柄{～～：工具的把手}[6]病
pʰ	[1]攀潘={姓}[2]庞彭{姓}膨{～胀}蟛{～蜞：螃蟹的一种}[5]泛-{空虚，不实、不硬，也引申为人喜欢讲假话，俗字作“冇”。～卵：孵化不出的蛋；花生～：没有果实、只有壳的花生}
m	[1]鞔{用薄物蒙上。油～：食物上层蒙着的油脂；蜘蛛～：蜘蛛网}[2]蛮{野～}瞒盲{青～：眼瞎}虻{牛～}明-{1～年暝：明年}暝{～晡：夜晚；食～：吃晚饭}[3]猛-{火野～：火势旺；手头野～：形容人做事迅速}[6]谩{～骂}馒{～头}漫蔓
t	[1]耽{～误}担{动词}丹单{～独；姓}㬹{后～、骹后～：脚后跟}[2]谈弹{～琴}[3]胆□{表示责怪语气（早先已提醒某件事，但对方仍未做好此事）}[5]担{名词}□{隔着一层而显现：汗～出来；～纸：复写纸；墨水在纸上散开}旦{元～；今～：今天}但{～是}[6]赚{错误}淡{～水；～薄}诞弹{子～}郑{姓}
tʰ	[1]贪滩摊□{pɛ24～囝：摆小摊}撑-{～伞：撑开伞；～船：撑船（动作），也指撑船的人；～溪鼠：驾驶（闽清梅溪中、用于运输的）小舟}[2]潭谭{姓}痰檀坛[3]毯坦[5]探炭叹{～气}牚{动词，支撑；名词，起支撑作用的棍子}
n	[2]南男难{困～}□{睁眼，张开眼睛。目珠～野大：眼睛睁得很大}[6]难{落～}
l	[1]蓝篮林-{1树～；茶～}兰拦{～截}栏{～杆；猪～：猪圈}‖□{～□puaŋ132：形容人不讲卫生}[3]灡{唾液，口水}览揽榄{橄～}缆[5]僆{未产过卵的禽类动物：鸡～、鸭～}[6]滥{泛～；湿，沾了水或水分多}烂两-{二}
ts	[1]簪瞻{高～远瞩}争-{相～；～夺}[2]蚕{～囝树：桑树}惭{～愧}谗{～言}残{～废}[3]斩盏{茶～；酒～。量词}井[5]赞灒{把衣服或菜在水中浸一浸，按下再提起的动作}[6]暂{～时}錾{钢～；石～}站{车～}栈{～道}
tsʰ	[1]参{～加}生-{1未熟的：～菜，～肉；～凝：自然界中水凝结成冰，形容天气冷；～惊：言过其实，故作惊诧}青-{颜色：～草；～菜}[3]惨醒-{睏～：睡醒；～酒汤}[5]灿{～烂}
ɬ	[1]三杉衫{汗～}珊山删生-{2～囝：生孩子；～日；～分}牲-{头～：牲口}[2]晴{天～}[3]伞产省-{～钱}[5]散姓性-{～野急：性子急}[6]静-{～喙：不要吵架（用于劝架）；也形容人听话、稳重}
k	[1]甘柑疳{病～：指人消瘦、缺营养，也比喻人在事业上没有成就}尴{～尬}监{～牢}干{～支}乾{～燥}肝竿{竹～}杆{旗～；电～：电线杆}艰间{空～；～谍}奸更-{半暝三～}粳{～米}菅{～母：茅草；～菁：去掉叶子后的茅草秆，可用于造纸、建房；～菁壁：茅草秆做的墙壁}□{强制、强行命令。伓做～汝做：不做非要你做}□{糊～：小孩吃的米糊}[2]含-{衔在嘴里}衔{授～；军～}寒-{冻感冒，冻坏了；～露}[3]感敢橄{～榄}秆{粙～：稻秆；～刀：铡稻草的铡刀}赶{～墿：赶路}简柬{～埔寨}锏{兵器名}哽{噎住}挸{用湿布擦拭。～身：擦澡，用湿毛巾简单擦洗身体}㔶{动词，盖：～被，原文作“𰃴”}[5]鉴{～别；印～}监{国子～；～察；～督}幹{～部}[6]汗-{汗水}
kʰ	[1]堪{难～}龛{公妈～：祖宗神龛；神～}勘{～探}刊涧{～空：山涧溪流}炕{～头}坑{粪～：厕所}[3]坎{～卦}舰{军～}㦿{～门：囟门；～门囝：窗户}[5]看{～守所；～见}
ŋ	[2]颜癌[3]眼={～光；～镜}[6]雁
h	[1]蚶{毛～}鼾{～眠：打鼾}夯{拍～：打夯}[2]含={～义；～有}咸={人名}函寒={～冷；大～、小～：节气}韩[3]罕{野～：很少见，珍贵}[5]汉翰{～林}□{故□naʔ5～：以为}[6]撼{～动}憾{遗～}陷{下～；沦～；～阱；～害}汗={～衫}
∅	[1]庵{尼姑～}安鞍{马～}[2]桁{檩条}[3]饮-{米汤}闇{动词，（门）虚掩}□{～囝：骂人不听话、不成器、做坏事}[5]暗按案晏{（时间）晚，迟}[6]馅旱{大～；～灾}焊{电～}
#iaŋ	
p	[3]饼[1]併{合～}摒{倾，倒。～茶：倒茶；～去：把不要的东西倒掉}□{追}
pʰ	[1]拼-{～命}𩩍{后背}□{披，～衣裳：披衣服}[3]竮{～骹：跛足}□{～骹：跛足}
m	[2]明-{2松～：可以点燃照明或引火用的松树的根或枝}名[6]命-{阿～：大人对小孩的昵称；～运}
t	[2]埕{指门前开阔的平地}庭{指门前开阔的平地}[3]侦{～查}鼎-{锅}[6]订-{～合同；～金}锭{金～；银～}定-{固～；～位；～着：坐定不动或遵守规定}懒{懒惰}
tʰ	[1]听厅[2]呈程[3]铲{推；～草：用锄头除草；～墓：扫墓，原文作“捵”}[5]疼□{疼}[6]□{整成长方形的菜畦：菜～；花生～}
n	[2]燃{（饭菜）烧焦；曝～：晒焦}[3]染{（事物、情感）混合、掺杂。～蜀堆：掺杂、混在一起}[6]□{～蜀下：形容时间过得很快}
l	[1]凉{天气稍微有些寒意}[2]晾{通风阴干}[3]领岭
ts	[1]精-{～怪；妖～；白骨～}正{～月}[3]䭕{味道淡、不咸}[5]正-{不偏斜，与“歪”相对。～做：正在做；～～做：才做、刚做}[6]净-{纯正、纯净，不掺杂其他物质}
tsʰ	[1]清-{1福～：地名}[3]铲癣{生～}请[5]□{制作木制品时，起连接、固定作用并与木板方向垂直的木条}[6]鳝{老～：黄鳝}
ɬ	[1]声-{～音}[2]成-{十分之一为一成}城□{～□nia31哥：逗小孩}[5]线圣-{有～：神明显灵}
k	[1]惊-{害怕}经-{～布：织布}[2]行-{走}墘{头～：前头；地名用字，车～街、～上里：坂东镇地名；～面：金沙镇村名；南～：塔庄镇村名}[3]囝{儿子；名词后缀，表小称}[5]镜[6]健{形容老人身体好}
kʰ	[5]□{～头：（打招呼时）点头；（祭祀、行礼等场合）鞠躬，原文作“⿰衾頁”}[6]□{～进：合伙办一件事}
ŋ	[2]岩{～头：山崖顶；～尾：山崖底；花岗～}阎-{～王}迎-{～神：抬着神像沿街游行的一种民俗活动}[5]□{向外倾斜（如山崖），向外突出（如额头凸出的长相）}[6]岸{上～；～边。△曲蹄囝，𣍐上～：疍民不能上岸}
ɕ	[1]兄-{1～弟=}[5]膻{牛羊肉、山珍动物的吃味}
∅	[2]赢{输～}营-{～长}[3]影-{2有～无～：有没有效果}
#uaŋ	
p	[1]扳{～倒}搬[2]盘□{量词，次：蜀～两～：一次两次；□tsiek5～：现在，这时}[3]坂{溪～：溪畔；地名用字，～东：闽清县镇名；～尾：塔庄镇村名}[5]半[6]拌{～面}绊{野～：（有权利的人）不好说话、不通情达理}□{抡手臂用拳头打人：～侬；～粙：打稻谷}□{□laŋ-53～：形容人不讲卫生}
pʰ	[5]判叛贩{小摊小～}[6]伴
m	[2]鳗{～鱼}[3]满
t	[1]端[3]短{～处}[5]断={3决～；～案}[6]锻{～炼}段={片～}
tʰ	[2]团
n	[3]暖={～气；温～}
l	[2]鸾[6]乱
tsʰ	[1]餐{聚～；～厅}
k	[1]官棺观{参～；寺～}冠{～军}关={开～；山海～：地名；姓}□{桌椅平行于地面的撑儿：桌～；椅～；横～，原文作“車黃”}[3]管={～理}馆[5]贯{～彻}灌罐惯={习～}逛[6]擐{动词，提、拎}□{动词，提、拎}
kʰ	[1]宽[2]环[3]款[6]□{量词，串，指称铜钱、钥匙等}
ŋ	[2]玩{游～}顽{指小孩顽皮；～固}[3]阮{姓}
h	[1]欢翻番{～椒：辣椒；～囝哥：外国人}[2]凡帆{一～风顺}桓还={～原}烦{麻～}矾横{～直：横竖；凶恶，蛮横}[3]反={～省}返[5]唤焕[6]泛{～滥}范{姓；模～}犯缓幻{～想}患宦
∅	[1]弯湾[3]皖豌{～豆}碗腕{手～}晚挽{～联}宛[6]换万
#ɛiŋ	
p	[1]斑-{～雎：斑鸠}奔[2]爿{半～：半边；柴～：劈开的柴火}便{～宜}朋[3]反-{翻转，分音形式为[pɛ33lɛiŋ33]}扳{～手}板版[6]瓣办
pʰ	[1]烹[2]衡{平～}硼{搪瓷容器的涂层：～盆；～碗；～杯。一说为英语paint音译词}镚{～哥：钱，纸币、硬币均可（调侃的说法）。一说为英语penny音译词}
m	[1]萌{～芽}盟[3]猛={做事厉害，体力强}[6]慢孟{姓}
t	[1]灯={3～泡}登揕{（身体、物体）被小东西硌到}[2]填{～钱；～表}腾橙[3]点-{（时间）几～}等={～级}[5]店[6]殿□{门～：门槛，原文作“垫”}邓橂{东西硬}
tʰ	[1]蛏[2]沉-{下～}
n	[1]□{趼，手脚茧}[2]能𬂌{食～：吃奶；牛～：牛奶；～～：乳房；～头：乳头；树～树：橡胶树}[6]念-{～经}
l	[2]怜莲-{～子；～花；上～：闽清县乡名}龙-{～眼}[3]冷{～水；～战；～淡}
ts	[1]针榛{～子}臻曾{姓}增层{～篮：一种篾条制成的、编织细密的篮子}僧{唐～}争={斗～；战～；～取}筝[2]曾{～经}[3]剪{动词}[6]憎{～恨}赠
tsʰ	[1]撑={支～}呻{呻吟，叹气}[2]层{量词}塍{行～：指象棋游戏中“象”“相”走棋（走田字格）}[3]筅{～扫：用毛竹的细枝做的扫帚；鼎～：竹子制成的刷锅工具，一端为抓手，一端劈成细篾条}□{洋～：剃头刀}
ɬ	[1]森参{人～；海～}先-{1～去；～行：先走}生={3出～；～气}牲={牺～}笙甥[2]前-{行～：在前面走}[3]省={～长；反～～肉：（动物）瘦肉}[5]渗
k	[1]跟-{高～}更={～换}庚羹耕[2]鹹{像盐的味道}悬-{高}[3]减拣笕{竹子做的通水的水槽：水～}梗{桔～：药名}耿{～直}[5]更{～加}惯-{～势：事情做得习惯；做～□ɔ0：做惯了}[6]县
kʰ	[1]牵[3]肯={～定}犬{狗}[5]㪠{动词，盖，使之闭合；名词，～～：盖子。《集韵》口陷切，物相值合}
ŋ	[3]眼-{龙～}[6]硬{～道理；过～}
h	[1]亨[2]咸{～阳：地名}还-{～钱}行={～为；～动}恒宏-{～琳厝：坂东镇古民居}[3]很狠[6]现-{做～世：形容人丢人现眼；～野重：形容人容易记仇}杏幸
∅	[1]□{放}[2]闲{有～：有空；空～}[6]限
#ieŋ	
p	[1]鞭边□{～树：枫树}[3]贬扁匾[5]变[6]辨辩汴便{方～}辫
pʰ	[1]编篇偏[5]骗遍{量词}片
m	[2]绵棉刡{削皮}[3]免勉娩{分～}缅{～甸}[6]麵{～粉}
t	[1]甜颠癫灯-{1～芯草}[2]缠田{姓；象棋中“象”“相”的称呼（因为走田字格）}[3]点={～心}展典[6]电奠{祭～}佃{～农}碾{～米}□{东西装得满}
tʰ	[1]添天[5]䋎{缝补}
n	[1]拈{～箸：拿筷子；～脉：把脉}[2]黏{～性}年□{～婿：女婿}[3]染{～色}[6]念{怀～}
l	[2]廉镰{～锲：镰刀}帘林-{2～洞：塔庄镇村名}连联莲={～宅：塔庄镇村名}臁{烂骹～：指小腿内侧的一种皮肤病，病发时长疮流脓}□{流网，一种长带形渔网}[3]□{滚动，分音形式为[lie33lieŋ33]。骹踏～：自行车；车～：车轮}[5]□{～法：创新、解决问题的方法}[6]敛{收～}殓练炼楝恋{3留～}
ts	[1]尖歼詹{姓}煎毡{毛～；棉～}櫼{动词，打进楔子使牢固；挤进人群或队伍；名词，锄头～：打进斧头、锄头的楔子}[2]钱前={～线；～进}[3]枕-{～头}掌-{～指：手指}[5]占{～卦；侵～}箭践{实～}饯{蜜～}战颤□{□təu33ləu33（“抖”的分音形式）～：颤抖}荐[6]贱{穷；（小孩子）好养活}
tsʰ	[1]签迁鲜{新～}笺{便～}千[3]浅
ɬ	[1]仙扇{风～：通过风力把谷壳与米粒分开的一种农具}先={3～锋；～进；～人}[2]盐{一种调味品}檐{～～：屋檐}蝉禅{刘～：人名}[3]陕{～西}闪{～亮}[5]盐{用盐腌制：～肉}扇{蒲～}[6]善羡{～慕}膳
k	[1]兼肩{～头：肩膀}坚[2]乾{～坤}虔墘{边沿：桌～；地名用字，～上：坂东镇村名}[3]碱检[5]剑见[6]俭
kʰ	[1]谦{～虚。有的人读作kieŋ24}愆{做～：造孽}[2]岑{人名}[5]欠歉遣{～送}芡{～粉}
ŋ	[2]阎={姓}严[3]碾{滚动磨碎}研妍[5]砚[6]验谚
ɕ	[2]嫌贤弦玄悬={～挂；～念}[3]险显[5]现={～在；出～；发～}
∅	[1]烟={～花}[2]炎圆-{指圆形}[3]演[5]厌燕{～鸟：燕子}宴{食～：吃酒席}[6]艳院
#uoŋ	
p	[1]分-{～开；～家}□{～年、～节：过年、过节时拿祭品供奉祖宗}[2]盆[3]本[6]饭
m	[2]门蚊{风～：蚊子}[3]□{～讲：随便讲}[5]问-{动词}‖汾{上～：塔庄镇村名}
t	[2]传{～达；宣～}[3]转{～厝：回家；～环环：转圈圈}[6]传{～记}篆{～体}‖[10]□{疑问代词，哪里（此音节声调调型为先降后平，记为533，与53调不同，疑为合音词）。去～：去哪里；着～：在哪里}
tʰ	[2]椽
n	[3]软={物体性质柔软、不硬；～工：容易赚钱的工作；野～：工作难度小、赚钱多}
l	[6]恋{1谈～爱}
ts	[1]专[2]全泉
