汉字	注释	关峡	羊石	兰蓉	五团	麻林	牛头
事		sɿ³³	sɿ³³	sɿ¹¹	sɿ⁴²	sɿ¹¹	ɬʅ⁵²
齿		tsʰɿ⁵⁵	tsʰɿ⁴⁵	tsʰɿ³³	tsʰɿ²²	tsʰɿ²²	tɕʰi²²
时		sɿ²²	sɿ¹³	dzɿ²⁴	dzɿ¹¹	dzɿ¹³	ɮʅ¹¹
耳		ŋ̍³³	ŋ̍³³	nie³³	ni²²	ȵie²²	ȵi²²
欺		tɕʰi⁴⁴	tɕʰi⁴⁴	tɕʰi⁵⁵	tɕʰi⁵⁵	tɕʰi³³	tɕʰi⁵⁵
起		tɕʰi⁵³	tɕʰi⁴⁵	tɕʰi³³	tɕʰi²²	tɕʰi²²	tɕʰi²²
旗		tɕi²²	tɕʰi²¹	dʑi²⁴	dʑi¹¹²	dʑi¹³	dʑi¹¹
疑		ni²²	ni⁴⁴	/	ni¹¹²	ȵi²²	ȵi¹¹
机		tɕi⁴⁴	tɕi¹³	tɕi⁵⁵	tɕi³³	tɕi³³	tɕi⁵⁵
几	几个	tɕi⁵³	tɕi⁴⁵	tɕi³³	tɕi²²	tɕi²²	tɕi²²
气		tɕʰi³³	tɕʰi³³	tɕʰi⁴⁴	tɕʰi³³	tɕʰi³³	tɕʰi³³
汽		tɕʰi³³	tɕʰi³³	tɕʰi⁴⁴	tɕʰi³³	tɕʰi³³	tɕʰi³³
衣		i⁴⁴	i¹³	i⁵⁵	i⁵⁵	i³⁵	i⁵⁵
随		suei²¹³	tsʰei²¹	/	dzuei¹¹²	dzei¹³	tsʰue¹¹
吹		tɕʰy⁴⁴	tɕʰy¹³	tʰio⁵⁵	tʰei⁵⁵	tɕʰyei³⁵	tʰei⁵⁵
睡		/	sei³³	/	/	/	sue³⁵
规		kuei⁴⁴	kuei⁴⁴	kuei⁵⁵	kvi⁵⁵	kuei³⁵	kvi⁵⁵
亏		kʰuei⁴⁴	kʰuei	kʰuei⁵⁵	kvʰi⁵⁵	kʰuei³⁵	kvʰi⁵⁵
泪		li³³	lio³³	li⁴⁴	lei⁴²	li³³	liu⁵²
醉		tsy³³	tɕy³³	tsiu⁴⁴	tsei³³	tsei³³	tɬei³³
锤		tɕy²²	tɕʰy²¹	diu²	dei¹¹²	dei¹³	dei¹¹
水		ɕy⁵³	ɕy⁴⁵	ɕiu³³-喝~；sɤ³³=~泥	sei²²	ɕyei²²	ɬei²²
龟		kuei⁴⁴	kuei¹³	kuei⁵⁵	kvi⁵⁵	kuei³⁵	kvi⁵⁵
柜		tɕy⁴⁴	ki³³	kuei¹¹	kvi⁴²	kuei¹¹	kvi⁵²；kuei³⁵
位		uei³³	uei³³	vei¹¹	vei²⁴	vei³⁵	vei³⁵
飞		ɕy⁴⁴-动词；fei⁴⁴=~机	ɕy¹³-动词；fei³³=~机	pi⁵⁵	pi⁵⁵-；fei⁴⁴=~机	pi³⁵-；fei³³=~机	pi⁵⁵-；fei³=~机
费		fei⁵³	fei⁴⁵	/	fi⁵⁵	fei³⁵	fei³⁵
肥		ɕy²²-~肉；fei²²=~料	ɕy²¹-~肉；fei¹³=~料	vi²⁴-~肉；vɤ²⁴=~皂	/	vei¹³	vei¹¹
尾		mi³³	mi³³	mie³³	mi²²	mi²²	mi²²
味		y⁴⁴	uei³³	vi¹¹	vi⁴²	vei¹¹	vi⁵²
归		ki⁴⁴	ki¹³	ki⁵⁵	kvi⁵⁵	kuei³⁵	kvi⁵⁵
鬼		ki³³	ki⁴⁵	kuei⁵⁵	kvi²²	kuei²²	kvi²²
贵		tɕy³³	ki³³	kuei⁴⁴	kvi³³	kuei³³	kvi³³
挥		fei⁴⁴	fei¹³	fei⁵⁵	fei³³	fei³³	fei³³
威		uei⁴⁴	uei¹³	vei⁵⁵	vei³³	vei³⁵	vi⁵⁵
围		uei²²	uei²¹	vi²⁴	vei¹¹²	vei¹³	vi¹¹
保		pei⁵³	pei³⁵	pu³³	pu²²	pɤu²²	pu²²
宝		pei³³-；pao³³=	pɤu⁴⁵	pu³³	pu²²	pɤu²²	pu²²
报		pei³³	pao³³	pu⁴⁴	pu³³；pao⁵⁵	pɤu³³	pu³³-~信；pao³⁵=~道
菢	菢小鸡	pei³³	pɤu³³	pu¹¹	pu⁴²	pɤu¹¹	pu⁵²
毛		mei²²	mei²¹-鸡~球；mɤu²¹=眼睛~	mo²⁴	mo¹¹²	mo¹³	mao¹¹
帽		mao³³	mao³³	mo¹¹	mo⁴²	mo¹¹	mo⁵²
刀		tei⁴⁴	tei¹³	tu⁵⁵	tu⁵⁵	tɤu³⁵	tu⁵⁵
倒	打倒	tei⁵³	tei⁴⁵	/	tu²²	tɤu²²	tu²²
倒	倒水	tei³³	tei³³	/	tu²²	tɤu²²	tu²²
讨		tʰei⁵³	tʰei⁴⁵	tʰu³³	tʰu²²	tʰɤu²²	tʰu²²-~亲；tʰao²²=~嫌
套		tʰao³³	tʰao³³	tʰao⁴⁴	tʰao⁵⁵	tʰɤu³³	tʰao³³
桃		tei²²	tei²¹	du²⁴	du¹¹²	dɤu¹³	du¹¹
淘		tei²²	tʰao²¹	/	du¹¹²	dɤu¹³	dao¹¹
道		tei³³	tɤu³³	du³³	tao²⁴	dɤu²²	tao³⁵
脑		nei³³	nei⁴⁵	nao³³	nu²²	lao²²	nu²²
恼		nei³³	nei³³	nao³³	nao³¹	lɤu²²	nao²²
牢		lao²²	lao²¹	lao²⁴	lao¹¹²	lɤu¹³	lao¹¹
老		lei³³	lei³³-~人；lao³³=~板	lu³³	lu²²	lɤu²²	lu²²
糟		tsei⁴⁴	tsɤu¹³	/	tsu⁵⁵	tsɤu³⁵	tɬu⁵⁵
早		tsei³³	tsei⁴⁵	tsu³³	tsu²²	tsɤu²²	tɬu²²
枣		tsao³³	tsɤu⁴⁵	tsao³³	tsao²²	tsao²²	tsao²²
灶		tsei³³	tsao³³	tsu⁴⁴	tsu³³	tsɤu³³	tɬu³³
操		tsʰao⁴⁴	tsʰao⁴⁴	tsʰao⁴⁴	tsʰao⁵⁵	tsʰao³³	tsʰao³³
草		tsʰei⁵³	tsʰei⁵⁵	tsʰu³³	tsʰu²²	tsʰɤu²²	tʰu²²
曹		tsʰao²²	tsʰao²¹	dzao²⁴	tsʰao¹¹²	dzɤu¹³	tsʰao¹¹
皂	皂荚树	tsei³³	tsʰao³³	tsao⁵⁵	dzao²²	tsao²²	tsao³⁵
造	建造	tsʰao⁵³	tsʰao⁴⁵	tsʰao⁵⁵	tsʰao⁵⁵	tsao³⁵	tsao³⁵
骚		sei⁴⁴	sɤu¹³	su⁵⁵	su⁵⁵	sɤu⁵⁵	ɬu⁵⁵
扫	扫地	sei⁵³	sei⁴⁵	su³³	su²²	sɤu²²	ɬu²²
扫	扫帚	sei⁵³	sei⁴⁵	su³³	su³³	sɤu²²	ɬu²²
高		kei⁴⁴	kɤu¹³	ku⁵⁵	ku⁵⁵	kɤu³⁵	ku⁵⁵
膏		kei⁴⁴	kao¹³	kao⁴⁴	kao³³	kɤu³⁵	kao³³
蒿		kei⁴⁴	/	kao⁴⁴	kao³³	kao³³	kao³³
告		kei³³	kei³³	ku⁴⁴	ku³³	kɤu³³	ku³³
考		kʰao³³	kʰao³³	kʰao³³	kʰao²²	kʰao²²	kʰao³³
靠		kʰao³³	kʰao⁴⁵	kʰao⁴⁴	kʰao³³	kʰao³⁵	kʰao³³
熬		ŋao²²	ŋao¹³	ŋao²⁴	ŋao¹¹²	ŋao²²	ŋao¹¹
傲		ŋao⁵³	ŋao³³	ŋao⁵⁵	ŋao⁵⁵	ŋao³⁵	ŋao³⁵
好	好坏	xei³³	xɤu⁴⁵	fu³³	fu²²	hɤu²²	fu²²-~人；hao²²=讨~
好	喜好	xao⁵³	xɤu⁴⁵	hao⁵⁵	hao⁵⁵	hɤu²²	hao³⁵
毫		xao²¹³	xao²¹	hao²⁴	ɦao¹¹²	hao²²	ɦao¹¹
号	号数	xao⁵³	xao³³	hao⁵⁵	hao⁴²	hao³⁵	hao³⁵
包		pəu⁴⁴	po¹³	po⁵⁵	pu⁵⁵-；pao⁵⁵=	pɤu⁵⁵	po⁵⁵
饱		pəu⁵³	po⁴⁵	po³³	po²²	pɤu²²	po²²
豹		pao⁵³	pao⁴⁵	pao⁴⁴	po³³	pɤu³³	pao³⁵
泡		pʰao³³	pʰao³³	pʰao⁴⁴	pʰao⁵⁵	pʰao³⁵	pʰao⁵⁵
炮		pʰao³³	pʰao³³	pʰao⁴⁴	pʰao³³	pʰao³³	pʰao³³
茅		məu²²	mei²¹	mo²⁴	mo¹¹²-；mao¹¹²=	mo¹³	mao¹¹
猫		miao⁴⁴	mao¹³	mao⁵⁵	mao⁵⁵	mao³⁵	mao⁵⁵
卯		mao³³	mao³³	mao³³	mao²²	mao²²	mo²²
闹		nao⁴⁴	no³³-闹~；nao⁴⁵=热~	nao⁵⁵	nao⁵⁵	lao³⁵	no³³-~热；nao³³=~家
罩		tsəu³³	tso³³	to⁴⁴	tsao⁵⁵	tɕiɤu³³	to³³-~哩；tsao³⁵=雾~子
抓		tɕya³³	tso¹³	tsa⁵⁵	kuɑ³³	kua³³	/
炒		tsʰəu³³	tsʰo⁴⁵	tsʰao³³	tʰo³³	tɕʰiɤu²²	tʰo²²
巢		/	/	dzao²⁴	dzao¹¹²	dzɤu¹³	/
交		tɕiao⁴⁴	tɕie¹³	tɕiao⁵⁵	ko⁵⁵	tɕiao³³	tɕiao³³
教	教书	tɕiao⁵³	ko¹³	ko⁵⁵	ko⁵⁵	kɤu³⁵	ko⁵⁵
绞		tɕiao³³	kie⁴⁵	tɕiao³³	tɕiao²²	tɕiao²²	tɕiao²²
搞		kao³³	kao³³	kao³³	kao³³	kɤu²²	kao²²
教	教育	tɕiao⁵³	ko¹³	ko⁵⁵	ko⁵⁵	kɤu³³	ko⁵⁵
觉	睡觉	/	/	/	tɕiao⁵⁵	tɕiɤu³³	/
敲		kʰao⁴⁴	kʰao¹³	kʰao⁵⁵	kʰao³³	kʰao³³	kʰao³³
咬		ŋao³³	ŋo³³	ŋo³³	ŋo²²	la³⁵训读	ŋo²²
孝		xao³³	xao³³	hao⁵⁵	hao⁴²	hɤu³³-~布；ɕiao³⁵=~顺	ɕiao³⁵
校		ɕiao⁵³	ɕiao³³	tɕio⁴⁴	ɕiao⁴²	hɤu¹¹	ɕiao³⁵
膘		piao⁴⁴	piao¹³	piao⁵⁵	piao³³	piao³³	piu⁵⁵
表		piao³³	piao³³	piao³³	piao²²	piao²²	piao²²
飘		pʰiao⁴⁴	pʰiao¹³	pʰiao⁵⁵	pʰiao³³	pʰiao³³	pʰiao³³
票		pʰiao³³	pʰiao³³	pʰiao⁵⁵	pʰiao⁵⁵	pʰiao³³	pʰiao³⁵
瓢		piao²²	pʰiao²¹	biao²⁴	biao¹¹²	biao¹²	biao¹
苗		mie²²	miao²¹	miao²⁴	miao¹¹²	miao¹³	miu¹¹-禾~；miao¹¹=~族
庙		mie⁴⁴	miao³³	mi¹¹	my⁴²	mei¹¹-；miao³⁵=	miu⁵²
焦		tsie⁴⁴	tsie¹³	tsiu⁵⁵	tsei⁵⁵	tsei³⁵	tɬiu⁵⁵
椒		tsie⁴⁴	tsie¹³	tsiu⁵⁵	tsei⁵⁵	tsei³⁵	tɬiu⁵⁵
小		sie⁵³	ɕiao³³	siu³³	sie²²	sei²²	ɬiu²²
笑		sie³³	sie³³	si⁴⁴	sei³³	sei³³	ɬiu³³
朝	今朝	tɕie⁴⁴	tie¹³	ti⁵⁵	tei⁵⁵	tsao³³	tiu⁵⁵
超		tsʰao⁴⁴	tɕʰiao¹³	tɕʰiao⁵⁵	tsʰao³³	tsʰao³³	tsʰao³³
潮		tsʰao²²	tɕʰiao²¹	/	tɕʰiao²²	dzao¹²	dzao¹¹
赵		tsao³³	tɕʰiao³³	tɕiao⁵⁵	tɕiao²⁴	dzao¹³	tsao³⁵
兆		tsao³³	tɕʰiao³³	/	tɕiao²⁴	dzao¹³	tsao³⁵
招		tsao⁴⁴	tɕiao⁴⁴	tɕiu⁵⁵	tɕiao³³	tɕy³⁵-；tsao³³=	tɕiu⁵⁵
照		tɕie³³	tɕiao⁴⁵	tɕiu⁴⁴	tɕy⁴⁴	tɕy³³	tɕiu³³
烧		ɕie⁴⁴	ɕie¹³	ɕi⁵⁵	ɕy⁵⁵	ɕy³⁵	ɕiu⁵⁵
少	多少	ɕie⁵³	ɕie⁴⁵	ɕi³³	ɕy³³	ɕy²²	ɕiu²²
桥		tɕie²²	tɕʰie¹³	dʑiu²⁴	dʑy¹¹²	dʑy¹³	dʑiu¹¹
轿		tɕie⁴⁴	tɕʰie³³	tɕiu¹¹	tɕy⁴²	tɕy¹¹	tɕiu⁵²
腰		ie⁴⁴	ie¹³	iu⁵⁵	y³⁵	y³⁵	iu⁵⁵
摇		iao²²	iao²¹	iao²⁴	iao¹¹²	iao¹³	iao¹¹
刁		/	tiao¹³	tie⁵⁵	tiao⁵⁵	tiao³³	tiao³³
鸟		tie⁵³	tie⁴⁵	ti⁵⁵	tei²²	tei²²	tiu²²
钓		tie³³	tie³³	ti⁴⁴	tei³³	tei³³	tiu³³
跳		tʰie³³	tʰie³³	tʰi⁴⁴	tʰei³³	tʰei³³	tʰiu³³
条		tie²²	tʰie²¹	di²⁴	dei¹¹²	dy¹³	diu¹¹
调	调和	tie²²	tʰiao¹³	tiao⁵⁵	tei³³	dy¹³	tʰiao¹¹
掉		tie³³	tie³³	tiao⁵⁵	tei³³	tei¹¹	tiao³⁵
调	音调	tie³³	tiao³³	/	tei³³	tei¹¹	tiao³⁵
尿		ɕy⁴⁴~桶；nie³³猫~	ɕy¹³~桶；nie³³猫~	ni¹¹	ny⁴²	ȵiao¹¹	niu⁵²
料		lie³³	liao³³	liao²⁴	liao²⁴	liao³⁵	liao³⁵
缴		tɕiao³¹	tɕiao⁴⁵	tɕiao³³	tɕiao²²	tɕiao²²	tɕiao²²
叫		tɕie³³	/	/	/	/	/
亩		məu³³	mei³³	mo³³	mei²²	mɤu²²	mo²²
斗	一斗	tao³³	tei⁴⁵	tao³³	tao²²	tao²²	tao²²
斗	斗争	təu³³	tei⁴⁵	tiu⁴⁴	tei⁵⁵	tɤu³⁵	tao³⁵
偷		tʰao⁴⁴	tʰao¹³	tʰao⁵⁵	tʰao⁵⁵	tʰao³⁵	tʰao⁵⁵
敨	展开	tʰao⁵³	tʰao⁴⁵	tʰao³³	tʰao²²	tʰao²²	tʰao²²
透		tʰao³³	tʰei³³	tʰiu⁴⁴	tʰei⁵⁵	tʰao³³	tʰou³⁵
头	脑袋	tao²²	tao²¹	dao²⁴	dao¹¹²	dao¹³	dao¹¹
豆		tao⁴⁴	tao³³	tao¹¹	tao⁴²	tao¹¹	tao⁵²
楼		lao²²	lao¹³	lao²⁴	lao¹¹²	lao¹³	lao¹¹
漏		lao³³	lao³³	lao¹¹	lei⁴²	lao¹¹	lao⁵²
走		tsao⁵³	tsao⁴⁵	tsao³³	tsao²²	tsao²²	tɬao²²
钩		kao⁴⁴	kao¹³	kao⁵⁵	kao⁵⁵	kao³⁵	kao⁵⁵
狗		kao⁵³	kao⁴⁵	kao³³	kao²²	kao²²	kao²²
够		kəu⁵³	kɤu⁴⁵	/	kao³³	kɤu³⁵	kao³³
口		xao⁵³	xao⁴⁵	hao³³	hao²²	hao²²	hao²²
扣		kʰao⁴⁴	kʰao³³	kʰao⁴⁴	kʰiao³³	kʰao³³	kʰao³³
藕		əu³³	ŋɤu³³	ŋɤ³³	ŋao²²	ŋɤu²²	ŋou²²
猴		xao²²	xao¹³	hao²⁴	ɦao¹¹²	hao¹³	ɦao¹¹
后	前后	xao³³	xao³³	hao³³	hei²⁴	hao²²	ɦao²²
厚		xao³³	xao³³	hao³³	hao²²	hao²²	ɦao²²
候		/	xao³³	/	ɦei²⁴	hao¹¹	hou³⁵
沤		ao³³	ao³³	ao⁴⁴	ao³³	ao³³	ŋao³³
浮		pei²²	pei¹³	bu²⁴	bao¹¹²	bɤu¹³	bu¹¹
妇		pu³³	fu³³	fu²⁴	fu¹¹²	bu²²	bu²²
流		liəu²²	liu²¹	liu²⁴	lei¹¹²	ly¹³	liu¹¹
刘		liəu²²	liu²¹	liu²⁴	liəu¹¹²	ly¹³	liu¹¹
柳		liəu³³	liu³³	liu³³	ly²²	liɤu²²	liu²²
酒		tsiəu⁵³	tsiu⁴⁵	tsiu³³	tsei²²	tsei²²	tɬiu²²
秋		tsʰiəu⁴⁴	tsʰiu¹³	tsʰiu⁵⁵	tsʰei⁵⁵	tsʰei³⁵	tʰiu⁵⁵
修		siəu⁴⁴	siu¹³	siu⁵⁵	sei⁵⁵	sei³⁵	ɬiu⁵⁵
袖		tsiəu³³	tsiu³³	tsiu¹¹	tsei⁴²	tsai¹¹	tɬiu⁵²
昼		tsəu⁵³	/	tsiu⁵⁵	/	tɕy³³	/
抽		tsʰəu⁴⁴	/	tsʰiu⁵⁵	tɕʰy⁵⁵	tɕʰy³⁵	tʰiu⁵⁵
绸		tsʰəu²¹³	tɕʰiu²¹	dziu²⁴	dʑy¹¹²	dzɤu¹³	dʑiu¹¹
皱		tsəu³³	tɕiu³³	/	/	tsei³³	/
愁		tsao²²	tsʰao²¹	dʑiu²⁴	dzei¹¹²	dʑiao¹³	ɮao¹¹
搜		sao⁴⁴	sao¹³	ɕiao⁵⁵	sao⁵⁵	ɕiao³⁵	ɬao⁵⁵
馊		sao⁴⁴	sao¹³	ɕiao⁵⁵	dza¹¹²训读	ɕiao³⁵	ɬao⁵⁵
瘦		sao³³	sao³³	ɕiao⁴⁴	sao³³	ɕiao³³	ɬao³³
周		tsəu⁴⁴	tɕiu¹³	tɕiu⁵⁵	tɕy⁵⁵	tsɤu³⁵	tsou³³
臭		tɕʰiəu³³	ɕiu³³	tɕʰiu⁴⁴	tɕʰy³³	tɕʰy³³	tɕʰiu³³
收		ɕiəu⁴⁴	ɕiu¹³	ɕiu⁵⁵	ɕy⁵⁵	ɕy³⁵	ɕiu⁵⁵
手		ɕiəu³³	ɕiu⁴⁵	ɕiu³³	ɕy²²	ɕy²²	ɕiu²²
受		ɕiəu³³	ɕiu³³	ɕiu⁵⁵	ʑy²⁴	zɤu¹³	ʑiu²²
寿		ɕiəu³³	ɕiu³³	ɕiu¹¹	ʑiəu²⁴	zɤu¹³	ɕiu⁵²
柔		ləu²²	/	lao²⁴	/	lao¹³	lao¹¹
阄		tɕiəu⁴⁴	tɕiu¹³	kao⁵⁵	kao⁵⁵	kao³⁵	kao⁵⁵
九		tɕiəu⁵³	tɕiu⁴⁵	tɕiu³³	tɕy²²	tɕy²²	tɕiu²²
久		tɕiəu⁵³	tɕiu⁴⁵	tɕiu³³	tɕy²²	tɕy²²	tɕiu²²
救		tɕiəu³³	tɕiu³³	tɕiu⁴⁴	tɕy³³	tɕy³³	tɕiu³³
丘		tɕʰiəu⁴⁴	tɕʰiu¹³	kʰei⁵⁵	kʰe⁵⁵	kʰe³⁵	kʰe⁵⁵
求		tɕiu²²	tɕʰiu²¹	dʑiu²⁴	dʑy¹¹²	dʑy¹³	dʑiu¹¹
舅		tɕiəu³³	tɕʰio³³	dʑiu³³	dʑy²⁴	dʑy²²	dʑiu²²
旧		tɕiəu⁴⁴	tɕʰiu³³	tɕiu¹¹	dʑy⁴²	tɕy¹¹	tɕiu⁵²
牛		ŋao²²	ŋao²¹	ŋao²⁴	ŋao¹¹²	ŋao¹³	ŋao¹¹
有		iəu³³	io³³	iu³³	y²²	y²²	iu²²
友		iəu³³	iu³³	iu³³	y²²	y²²	iu²²
右		iəu³³	iu³³	iu¹¹	y⁴²	y¹¹	iu³³
丢		tiəu⁴⁴	tʰiu³³	pai⁵⁵训读	/	tɤu²²	tiu³³
纠		tɕiəu⁴⁴	/	tɕiu⁵⁵	tɕiəu²²	tɕiɤu²²	tɕiu³³
幼		iəu⁵³	iu³³	iu⁵⁵	iəu⁵⁵	y¹³	iu³⁵
耽		tan⁴⁴	ta¹³	ta⁵⁵	tɑ⁵⁵	ta⁵⁵	tɑ⁵⁵
答		ta²¹³	ta⁴⁴	ta²⁴	tɑ¹¹²	ta¹³	tɑ¹¹
搭		ta²¹³	ta⁴⁴	ta²⁴	tɑ¹¹²	ta¹³	tɑ¹¹
贪		tʰan⁴⁴	tʰan⁴⁴	tʰan⁵⁵	tʰan³³	tʰan³³	tʰan³³
探		tʰan³³	tʰan⁴⁵	tʰa⁴⁴	tʰan⁵⁵	tʰa³³	tʰan³⁵
潭		tʰan²¹³	to²¹	dan²⁴	tʰan¹¹²	dan¹²	tʰan¹¹
谭		tʰan²¹³	to²¹	dan²⁴	tʰan¹¹²	dan¹²	tʰan¹¹
南		no²²	no²¹	na⁴⁴	nɑ¹¹²	la¹³	no¹¹
男		no²²	no²¹	na²⁴	nɑ¹¹²	laŋ¹³	nan¹¹
拉		la²¹³	/	la³³	lɑ³³	la²²	la²¹¹
参		tsʰan⁴⁴	tsʰan¹³	tsʰan⁴⁴	tsʰan³³	tsʰan³³	tsʰan³³
惨		tsʰan³³	tsʰan³³	tsʰan³³	tsʰan²²	tsʰan²²	tsʰan²²
蚕		tso²²	tsʰo²¹	dzo²⁴	dzɑ¹¹²	dzo¹³	tsʰan¹¹
杂		tso³¹²	tsa⁴⁴	tsa⁵⁵	tsɑ¹¹²	dza¹¹	tɬɑ²¹¹
感		kan³³	kan³³	kan³³	kan²²	kan²²	kan²²
鸽		ko²¹³	ko⁴⁴	ko⁵⁵	ko³³	ko¹³	ko¹¹
含		xəu²²	xo²¹	ha²⁴	ɦo¹¹²	ho¹³	ɦo¹¹
盒		xəu³¹²	xo²¹	ho¹¹	ɦo¹¹²	hɤu¹¹	ɦo²¹¹
担	担任	to⁴⁴	ta¹³	ta⁵⁵	tɑ⁵⁵	ta³⁵	tɑ⁵⁵
胆		to⁵³	ta⁴⁵	ta³³	tɑ²²	ta²²	tɑ²²
担	挑担	to³³	ta³³	ta⁴⁴	tɑ³³	ta³³	tɑ³³
毯		tʰan³³	tʰa⁴⁵	tʰan³³	tʰan²²	tʰan²²	tʰan²²
塔		tʰa²¹³	ta⁴⁴	tʰa³³	tʰɑ¹¹²	tʰa²²	tʰa¹¹
谈		tʰan²¹³	ta²¹	dan²⁴	dan¹¹²	da¹³	tʰan¹¹
淡		to³³	ta³³	da³³	dɑ²²	da²²	dɑ²²
蓝		lo²²	la²¹	la²⁴	lɑ¹¹²	la¹³	lɑ¹¹
篮		lo²²	la²¹	la²⁴	lɑ¹¹²	la¹³	lɑ¹¹
腊		lo³¹²	la¹¹	la¹¹	lɑ³¹	la¹¹	lɑ²¹¹
蜡		lo³¹²	la¹¹	la¹¹	lɑ³¹	la¹¹	lɑ²¹¹
三		so⁴⁴	sa¹³	sa⁵⁵	sɑ⁵⁵	sa³⁵	ɬɑ⁵⁵
甘		kan⁴⁴	kan⁴⁴	ko⁵⁵	ko⁵⁵	ka³⁵	ko⁵⁵
柑		kuan⁴⁴	ko¹³	ko⁵⁵	kan³³	kan³³	kan³³
敢		kan³³	kan³³	kan³³	kan³¹	kan²²	kan³³
喊		xo⁵³	xo⁴⁵	ho³³	ɡai¹¹²训读	ho²²	kai²²训读
赚		tsuan⁵³	tsʰaŋ³³	to¹¹	dzaŋ²⁴	tɕiai¹¹	tɬo⁵²
站	车站	tsan⁵³	tsan³³	tsan⁵⁵	tsan⁴²	dzan³⁵	tsan³⁵
斩		tsan³³	tsan³³	tsan³³	tsan³¹	tsan²²	tsan²²
插		tsʰa²¹³	tsʰa⁴⁴	tɕʰia³³	tsʰɑ¹¹²	tɕʰia²²	tɕʰia¹¹
闸		/	tsa¹¹	/	tsɑ²⁴	tsa³⁵	tɕia²¹¹
炸		tso³³	tsa⁴⁴	tsa⁴⁵	/	tsa³⁵	/
杉		so⁴⁴	sa¹³	ɕia⁵⁵	sɑ⁵⁵	ɕia³⁵	ɬa⁵⁵
减		kan³³	kan³³	kan³³	kan²²	kan²²	kan²²
夹		ka²¹³	kia⁴⁴	ka³³	kɑ¹¹²	ka²²	kɑ¹¹
恰		kʰa²¹³	tɕʰia⁴⁴	tɕʰia²⁴	tɕʰiɑ⁵⁵	tɕʰia²²	tɕʰia¹¹
掐		kʰa²¹³	kʰia⁴⁴	kʰa³³	kʰɑ¹¹²	ha³⁵	kʰia¹¹
咸		xo²²	xa²¹	ha²⁴	ɦo¹¹²	ha¹³	ɦo¹¹
狭		xa³¹²	xa¹¹	ɕia¹¹	ɦɑ³¹	ia¹¹	ʑia²¹¹
衫		/	sa¹³	ɕia⁵⁵	san³³	san³³	ɬɑ⁵⁵
监	监视	tɕian⁴⁴	ka¹³	/	kan⁵⁵	kai³⁵	tɕian³³
甲		tɕia²¹³	tɕia¹¹	tɕia³³	kɑ¹¹²	ka¹³	kɑ¹¹
岩		ian²²	ŋai²¹	nia²⁴	niɑ¹¹²	ia¹³	ŋai¹¹
匣		/	/	/	/	ia¹¹	/
鸭		o²¹³	a⁴⁴	a³³	ɑ¹¹²	ia²²	ɑ¹¹
压		ia²¹³	ia⁴⁴	ia²⁴	ɑ¹¹²	ia¹³	ɑ¹¹
黏	黏糊糊	/	/	/	niɑ⁵⁵	ȵia³⁵	ȵia⁵⁵
廉		lian²¹³	lie²¹	lian²⁴	lie¹¹²	lie¹³	lian¹¹
镰		li²²	lie²¹	nie²⁴	lie¹¹²	lie¹³	li¹¹
尖		tse⁴⁴	tsie¹³	tse⁵⁵	tsie⁵⁵	tsai³⁵	tɬie⁵⁵
接		tsai²¹³	tsie⁴⁴	/	tsie¹¹²	tɕie²²	tɬie¹¹
签		tsʰe⁴⁴	tsʰie¹³	tsʰe⁵⁵	tsʰie⁵⁵	tsʰai³⁵	tɕʰian³³
沾		tsan⁴⁴	tsan⁴⁴	tsa⁴⁴	tɕie³³	tsa³³	/
占		/	tɕie³³	/	tɕie³³	tɕie³³	tɕie⁵⁵
折	折叠	/	tɕie⁴⁴	/	tɕie¹¹²	tɕie²²	tɕie¹¹
陕	陕西	san³³	ɕian³³	san³³	san³¹	san²²	san²²
闪		ɕie³³	ɕie⁴⁵	ɕian³³	ɕie²²	sa²²	ɕie²²
涉		/	ɕie¹¹	/	se⁴²	se²²	ɕie¹¹
染		/	nian³³	nie³³	nie²²	ȵie²²	ȵie²²
检		tɕian³³	tɕie⁴⁵	tɕie³³	tɕian²²	tɕian²²	tɕian²²
钳		tɕʰian²²	tɕʰian¹³	dʑian²⁴	/	dʑian¹²	tɕʰian¹¹
验		nian⁵³	nian³³	/	lian⁵⁵	ȵian³⁵	nian³⁵
险		ɕian³³	ɕian³³	ɕian³³	ɕian³¹	ɕian²²	ɕian²²
厌		ian⁵³	ian³³	ie⁴⁴	ian⁵⁵	ian³⁵	/
盐		ie²²	ie²¹	ie²⁴	ie¹¹²	ie¹³	ie¹¹
阎		nie²²	nie²	nie²⁴	nie¹¹²	ȵie¹³	ȵie¹¹
檐		ie²²	ie²¹	ie²⁴	ie¹¹²	ȵie¹³	ȵie¹¹
焰		ie³³	/	ie¹¹	e³³	ie³⁵	e³³
叶		ie²¹³	ie¹¹	ie¹¹	ie³¹	ie¹¹	ie²¹¹
剑		tɕie³³	/	tɕie⁵⁵	tɕie⁵⁵	tsai³³	tɬie³³
劫		/	tɕie⁴⁴	tɕie²⁴	tɕie¹¹²	/	tɕie¹¹
欠		tɕʰian⁵³	tɕʰian³³	tɕʰie⁴⁴	tɕʰie³³	tɕʰian³⁵	tɕʰie³³
严		ian²²	nian²¹	nian²⁴	nie¹¹²	ȵian²²	ian¹¹
业		ie²¹³	nie²¹	nie⁵⁵	nie²⁴	ȵie¹³	ȵie²¹¹
胁		/	ɕie⁴⁴	/	/	ɕie¹³	ɕie¹¹
