jian ti	trad	detail	调类	
娜	娜		nəɯ6	
糯	糯		nəɯ6	
懦	懦		nəɯ6	
怒	怒		nəɯ6	
啰	囉		ləɯ1	
噜	嚕	～囌	ləɯ1	
罗	羅		ləɯ2	
锣	鑼		ləɯ2	
箩	籮		ləɯ2	
萝	蘿	菠～，～蔔	ləɯ2	
骡	騾		ləɯ2	
螺	螺		ləɯ2	
脶	腡		ləɯ2	
卢	盧		ləɯ2	
炉	爐		ləɯ2	
芦	蘆		ləɯ2	
鸬	鸕		ləɯ2	
裸	裸		ləɯ1	
鲁	魯		ləɯ1	
橹	櫓		ləɯ1	
虏	虜		ləɯ1	
掳	擄		ləɯ1	
卤	鹵		ləɯ1	
卤	滷		ləɯ1	
篓	簍		lei1	
路	路		ləɯ6	
璐	璐		ləɯ6	
潞	潞	～城（常州地名）	ləɯ6	
露	露		ləɯ6	
鹭	鷺		ləɯ6	
租	租		tsəɯ1	
左	左		tsəɯ1	
佐	佐		tsəɯ1	
祖	祖		tsəɯ1	
组	組		tsəɯ1	
阻	阻		tsəɯ1	
做	做		tsəɯ5	
搓	搓		tsʰəɯ1	
粗	粗		tsʰəɯ1	
初	初		tsʰəɯ1	
楚	楚		tsʰəɯ1	
础	礎		tsʰəɯ1	
锉	銼		tsʰəɯ5	
醋	酢		tsʰəɯ5	
醋	醋		tsʰəɯ5	
措	措		tsʰəɯ5	
错	錯	～過機會	tsʰəɯ5	
错	錯	弗～	tsʰø5	
助	助		dzəɯ6	
蓑	蓑		səɯ1	
梭	梭		səɯ1	
唆	唆		səɯ1	
苏	蘇	～州	səɯ1	
苏	甦	～醒	səɯ1	
苏	囌	嚕～	səɯ1	
稣	穌		səɯ1	
酥	酥		səɯ1	
梳	梳		sɿ1	
疏	疏		səɯ1	
疏	疎	同疏	səɯ1	
蔬	蔬		səɯ1	
锁	鎖		səɯ1	
琐	瑣		səɯ1	
数	數	～銅鈿（動詞）	səɯ1	
素	素		səɯ5	
诉	訴		səɯ5	
塑	塑		səɯ5	
塑	塑	～料	soʔ7	
数	數	～目（名詞）	səɯ5	
锄	鋤		zɿ2	
雏	雛		zəɯ2	
坐	坐		zəɯ6	
座	座		zəɯ6	
哥	哥		kəɯ1	
歌	歌		kəɯ1	
歌	謌		kəɯ1	
锅	鍋		kəɯ1	
戈	戈		kəɯ1	
个	個	～別	kəɯ1	
个	箇	～別	kəɯ1	
个	个	～別	kəɯ1	
果	果		kəɯ1	
果	菓		kəɯ1	
裹	裹		kəɯ1	
过	過		kəɯ5	
科	科		kʰəɯ1	
窠	窠		kʰəɯ1	
棵	棵		kʰəɯ1	
蝌	蝌		kʰəɯ1	
颗	顆		kʰəɯ1	
课	課		kʰəɯ5	
娥	娥		ŋəɯ2	
蛾	蛾		ŋəɯ2	
讹	訛		ŋəɯ2	
讹	譌	訛本字	ŋəɯ2	
囮	囮		ŋəɯ2	
峨	峨		ŋəɯ2	
峨	峩	同峨	ŋəɯ2	
莪	莪		ŋəɯ2	
哦	哦		ŋəɯ2	
哦	誐		ŋəɯ2	
吪	吪		ŋəɯ2	
鹅	鵝		ŋəɯ2	
鹅	鵞		ŋəɯ2	
鹅	䳗		ŋəɯ2	
鹅	䳘		ŋəɯ2	
俄	俄		ŋəɯ2	
我	我		ŋəɯ1	
饿	餓		ŋəɯ6	
卧	臥		ŋəɯ6	
喝	喝	（又音）～個一口：喝一口湯、茶、粥等流質食物	həɯ1	
火	火		həɯ1	
伙	伙		həɯ1	
伙	夥		həɯ1	
货	貨		həɯ5	
荷	荷	薄～	həɯ5	
河	河		ɦəɯ2	
何	何		ɦəɯ2	
菏	菏	～澤（山東地名）	ɦəɯ2	
荷	荷	～花	ɦəɯ2	
和	和	～氣，～服	ɦəɯ2	
和	龢		ɦəɯ2	
和	咊		ɦəɯ2	
禾	禾		ɦəɯ2	
贺	賀		ɦəɯ6	
祸	禍		ɦəɯ6	
和	和	～泥	ɦəɯ6	
婀	婀		əɯ1	
倭	倭		əɯ1	
涡	渦		əɯ1	
莴	萵	～苣	u1	
蜗	蝸		kəɯ1	
屙	屙	～,～肚：腹瀉。～屎：大便	əɯ1	
窝	窩		əɯ1	
挝	撾	老～	əɯ1	
溜	溜		ləɯ1	
溜	澑		ləɯ1	
流	流		ləɯ2	
刘	劉		ləɯ2	
留	留		ləɯ2	
留	畱		ləɯ2	
榴	榴		ləɯ2	
榴	橊		ləɯ2	
硫	硫		ləɯ2	
琉	琉		ləɯ2	
柳	柳		ləɯ1	
柳	桺		ləɯ1	
馏	餾		ləɯ6	
馏	𩞷		ləɯ6	
啾	啾		tsəɯ1	
酒	酒		tsəɯ1	
萩	萩		tsʰəɯ1	
秋	秋		tsʰəɯ1	
秋	秌		tsʰəɯ1	
秋	龝		tsʰəɯ1	
秋	鞦	～韆	tsʰəɯ1	
鳅	鰍		tsʰəɯ1	
鹫	鷲		zəɯ6	
就	就		zəɯ6	
修	修		səɯ1	
修	脩		səɯ1	
羞	羞		səɯ1	
秀	秀		səɯ5	
宿	宿	星～	səɯ5	
宿	㝛	星～	səɯ5	
绣	繡		səɯ5	
绣	綉		səɯ5	
锈	銹		səɯ5	
锈	鏽		səɯ5	
囚	囚		zəɯ2	
泅	泅		zəɯ2	
袖	褎		zəɯ6	
袖	褏		zəɯ6	
袖	袖		zəɯ6	
揪	揪		tɕiəɯ1	
鬏	鬏		tɕiəɯ1	
鸠	鳩		tɕiəɯ1	
阄	鬮		tɕiəɯ1	
纠	糾		tɕiəɯ1	
赳	赳		tɕiəɯ1	
究	究		tɕiəɯ5	
玖	玖		tɕiəɯ1	
九	九		tɕiəɯ1	
久	久		tɕiəɯ1	
韭	韭		tɕiəɯ1	
韭	韮		tɕiəɯ1	
灸	灸		tɕiəɯ1	
疚	疚		tɕiəɯ5	
救	救		tɕiəɯ5	
恘	恘	品行惡劣	tɕʰiəɯ1	
邱	邱		tɕʰiəɯ1	
丘	丘		tɕʰiəɯ1	
蚯	蚯		tɕʰiəɯ1	
糗	糗		tɕʰiəɯ1	
求	求		dʑiəɯ2	
球	球		dʑiəɯ2	
仇	仇		dʑiəɯ2	
仇	讐		dʑiəɯ2	
仇	讎		dʑiəɯ2	
臼	臼		dʑiəɯ6	
舅	舅		dʑiəɯ6	
旧	舊		dʑiəɯ6	
咎	咎		dʑiəɯ6	
柩	柩		dʑiəɯ6	
牛	牛		ȵiəɯ2	
纽	紐		ȵiəɯ1	
扭	扭		ȵiəɯ1	
钮	鈕		ȵiəɯ1	
休	休		ɕiəɯ1	
貅	貅	貔～	ɕiəɯ1	
朽	朽		ɕiəɯ1	
嗅	嗅		ɕiəɯ5	
尤	尤		ɦiəɯ2	
鱿	魷		ɦiəɯ2	
邮	郵		ɦiəɯ2	
由	由		ɦiəɯ2	
油	油		ɦiəɯ2	
游	游	～泳	ɦiəɯ2	
游	遊	旅～	ɦiəɯ2	
犹	猶		ɦiəɯ2	
又	又	（文）	ɦiəɯ6	
又	又	（口）	ɦi6	
右	右		ɦiəɯ6	
佑	佑		ɦiəɯ6	
佑	祐		ɦiəɯ6	
酉	酉		ɦiəɯ6	
柚	柚		ɦiəɯ6	
釉	釉		ɦiəɯ6	
优	優		iəɯ1	
忧	憂		iəɯ1	
悠	悠		iəɯ1	
幽	幽		iəɯ1	
有	有		iəɯ1	
友	友		iəɯ1	
莠	莠		ɦiəɯ6	
诱	誘		ɦiəɯ6	
幼	幼		iəɯ5	
儿	兒	（文）～童，幼～	əl2	
儿	兒	（白）貓～，～子	ȵi2	
儿	兒	（白）兒綴；～子	ŋ2	
而	而		əl2	
尔	尔	同“𡭗”，即同“爾”	əl1	
尔	爾		əl1	
尔	𡭗	同“爾”	əl1	
尔	尓	同“𡭗”，即同“爾”	əl1	
尔	尒	同“𡭗”，即同“爾”	əl1	
耳	耳	～朵	ȵi1	
饵	餌		əl1	
尾	尾	～巴	ȵi1	
尾	尾		vi6	
梶	梶		vi6	
般	般		pᴇ1	
瓣	瓣	豆～	pᴇ5	
班	班		pᴇ1	
斑	斑		pᴇ1	
颁	頒		pᴇ1	
扳	扳		pᴇ1	
瘢	瘢		pᴇ1	
掰	掰		pᴇ1	
摆	擺		pɑ1	
板	板		pᴇ1	
板	闆	老～	pᴇ1	
版	版		pᴇ1	
阪	阪		pᴇ1	
坂	坂		pᴇ1	
拜	拜		pɑ5	
拜	拜	（又）禮～	pᴇ5	
扮	扮		pᴇ5	
绊	絆		pᴇ5	
攀	攀		pʰᴇ1	
派	派		pʰɑ5	
盼	盼		pʰᴇ5	
襻	襻	扣住紐扣的套	pʰᴇ5	
排	排		bɑ2	
牌	牌		bɑ2	
篺	篺		bɑ2	
爿	爿		bᴇ2	
罢	罷		bɑ6	
稗	稗		bɑ6	
败	敗		bɑ6	
办	辦		bᴇ6	
瓣	瓣	屁眼～	bᴇ6	
埋	埋		mɑ2	
霾	霾		mᴇ2	
蛮	蠻		mᴇ2	
买	買		mɑ1	
漫	漫		mᴇ6	
卖	賣		mɑ6	
迈	邁		mᴇ6	
慢	慢		mᴇ6	
蔓	蔓		mᴇ6	
曼	曼		mᴇ6	
泛	泛		fᴇ5	
泛	汎		fᴇ5	
泛	氾		fᴇ5	
氾	氾	姓	vᴇ2	
藩	藩		vᴇ2	
拚	拚	同翻	fᴇ1	
翻	翻		fᴇ1	
翻	飜		fᴇ1	
繙	繙	《莊子》於是繙十二經，以說老耼	fᴇ1	
繙	繙	繙㠾，亂取也	vᴇ2	
番	番	～邦，～茄	fᴇ1	
蕃	蕃	～茄	fᴇ1	
蕃	蕃	～茂	vᴇ2	
番	番	番禺（廣東地名）	pʰø1	
反	反		fᴇ1	
返	返		fᴇ1	
贩	販		fᴇ5	
凡	凡		vᴇ2	
帆	帆		vᴇ2	
烦	煩		vᴇ2	
繁	繁		vᴇ2	
矾	礬		vᴇ2	
范	范	姓	vᴇ6	
范	範	規～	vᴇ6	
犯	犯		vᴇ6	
饭	飯		vᴇ6	
万	萬	（白）十～，千交～代	mᴇ6	
万	萬	（文）	vᴇ6	
卍	卍	內典萬字	vᴇ6	
卐	卐	同卍，亦被用作德國納粹黨黨徽	vᴇ6	
呆	呆	書～子	tᴇ1	
郸	鄲		tᴇ1	
聃	聃		tᴇ1	
耽	耽		tᴇ1	
眈	眈		tᴇ1	
躭	躭		tᴇ1	
担	擔	承～	tᴇ1	
丹	丹		tᴇ1	
单	單		tᴇ1	
旦	旦		tᴇ1	
胆	膽		tᴇ1	
掸	撣	雞毛～子	tᴇ1	
疸	疸	黃～	tᴇ1	
带	帶		tɑ5	
戴	戴	～帽子	tɑ5	
戴	戴	姓	tᴇ5	
担	擔	～子	tᴇ5	
台	台	～州（浙江地名）	tʰᴇ1	
胎	胎		tʰᴇ1	
坍	坍		tʰᴇ1	
滩	灘	搗河～：在河邊玩水	tʰø1	
滩	灘	河～頭	tʰᴇ1	
摊	攤		tʰᴇ1	
瘫	癱	～脫	tʰø1	
瘫	癱	～勒床上	tʰᴇ1	
毯	毯		tʰᴇ1	
坦	坦		tʰᴇ1	
态	態		tʰᴇ5	
汰	汰		tʰᴇ5	
太	太	老～公	tʰɑ5	
太	太	～陽	tʰᴇ5	
泰	泰		tʰɑ5	
炭	炭		tʰᴇ5	
叹	嘆		tʰᴇ5	
叹	歎		tʰᴇ5	
台	台	兄～，～山（廣東地名）	dᴇ2	
台	臺	～灣	dᴇ2	
台	颱	～風	dᴇ2	
台	檯	～子：桌子	dᴇ2	
苔	苔	～蘚	dᴇ2	
薹	薹	菜～，蕓～	dᴇ2	
抬	抬		dᴇ2	
抬	擡		dᴇ2	
谈	談		dᴇ2	
痰	痰		dᴇ2	
檀	檀		dᴇ2	
坛	壇	金～，花～	dᴇ2	
弹	彈	～琴	dᴇ2	
贷	貸		dᴇ6	
待	待		dᴇ6	
怠	怠		dᴇ6	
殆	殆		dᴇ6	
代	代		dᴇ6	
袋	袋		dᴇ6	
逮	逮		dᴇ6	
埭	埭	徐家～（江陰地名），黃～（蘇州地名）	dᴇ6	
埭	埭	趟	dɑ6	
啖	啖		dᴇ6	
啖	噉		dᴇ6	
啖	啗		dᴇ6	
淡	淡		dᴇ6	
蛋	蛋		dᴇ6	
疍	疍		dᴇ6	
蜑	蜑		dᴇ6	
氮	氮		dᴇ6	
但	但		dᴇ6	
弹	彈	子～	dᴇ6	
难	難	困～	nᴇ2	
迺	迺	姓～，～子街村（吉林地名）	nᴇ1	
迺	廼	姓～，～子街村（吉林地名）	nᴇ1	
乃	乃		nᴇ1	
奶	奶		nɑ1	
奶	嬭		nɑ1	
耐	耐		nᴇ5	
奈	奈		nᴇ5	
难	難	遭～	nᴇ5	
来	來		lᴇ2	
蓝	藍		lᴇ2	
篮	籃		lᴇ2	
阑	闌	～干	lᴇ2	
兰	蘭		lᴇ2	
拦	攔	（白）	lø2	
拦	攔	（文）	lᴇ2	
栏	欄	～杆	lᴇ2	
览	覽		lᴇ1	
揽	攬		lᴇ1	
榄	欖	橄～	lᴇ1	
懒	懶		lᴇ1	
赖	賴		lɑ6	
癞	癩	～團：癩蛤蟆	lɑ6	
癞	癩		lᴇ6	
滥	濫		lᴇ6	
缆	纜		lᴇ6	
烂	爛		lᴇ6	
烂	爛	僅“爛泥”一詞	nᴇ6	
簪	簪		tsø1	
灾	灾	同災	tsᴇ1	
灾	災		tsᴇ1	
灾	烖	災本字	tsᴇ1	
哉	哉	句末助词，了	tsᴇ1	
栽	栽		tsᴇ1	
斋	齋		tsɑ1	
錾	鏨		dzᴇ6	
宰	宰		tsᴇ1	
载	載	年～	tsᴇ1	
崽	崽		tsᴇ1	
斩	斬	～肉	tsᴇ1	
崭	嶄		tsᴇ1	
盏	盞		tsᴇ1	
再	再		tsᴇ5	
载	載	～重	tsᴇ5	
债	債		tsɑ5	
寨	寨		tsɑ5	
寨	寨		dzᴇ6	
砦	砦		dzᴇ6	
淬	淬	～火	tsᴇ5	
蘸	蘸		tsᴇ5	
赞	贊	點～	tsᴇ5	
赞	讚	稱～	tsᴇ5	
赞	讃	俗讚字	tsᴇ5	
灒	灒	濺水上衣	dzᴇ5	
猜	猜		tsʰᴇ1	
搀	攙		tsʰᴇ1	
掺	摻		tsʰᴇ1	
搋	搋		tsʰᴇ1	
揣	揣		tsʰᴇ1	
彩	彩		tsʰᴇ1	
彩	綵		tsʰᴇ1	
采	采	風～	tsʰᴇ1	
采	採	～蘑菇	tsʰᴇ1	
睬	睬		tsʰᴇ1	
踩	踩		tsʰᴇ1	
铲	鏟		tsʰᴇ1	
铲	剷		tsʰᴇ1	
产	產	～業	tsʰᴇ1	
产	産	～業	tsʰᴇ1	
谄	諂		tsʰᴇ1	
灿	燦		tsʰᴇ5	
璨	璨		tsʰᴇ5	
菜	菜		tsʰᴇ5	
蔡	蔡		tsʰɑ5	
忏	懺		tsʰᴇ5	
残	殘		dzᴇ2	
射	射	～尿（ʂʯ）：小便	dzɑ2	
侪	儕	全	zᴇ2	
才	才	～能	dzᴇ2	
才	纔	～弗是	zᴇ2	
材	材	棺～	zᴇ2	
材	材	～料	dzᴇ2	
财	財		dzᴇ2	
裁	裁		dzᴇ2	
豺	豺		dzᴇ2	
惭	慚		dzᴇ2	
溅	濺	（俗）同灒	dzᴇ6	
在	在		dzᴇ6	
暂	暫		dzᴇ6	
站	站		dzᴇ6	
湛	湛		dzᴇ6	
赚	賺		dzᴇ6	
绽	綻		dzᴇ6	
栈	棧		dzᴇ6	
珊	珊		sᴇ1	
跚	跚		sᴇ1	
腮	腮		sᴇ1	
鳃	鰓		sᴇ1	
筛	篩		sɑ1	
衰	衰		sᴇ1	
三	三		sᴇ1	
叁	叄		sᴇ1	
杉	杉		sᴇ1	
衫	衫		sᴇ1	
山	山		sᴇ1	
删	刪		sᴇ1	
疝	疝		sᴇ1	
闩	閂		ʂyø1	
拴	拴		ʂyø1	
栓	栓		ʂyø1	
栅	柵		sᴇ1	
栅	柵		sɑʔ7	
散	散	鬆～	sᴇ1	
伞	傘		sᴇ1	
撒	撒	～手	sɑ1	
洒	灑		sɑ1	
洒	灑		sɑ1	
散	散	解～	sᴇ5	
赛	賽		sᴇ5	
晒	曬		sø5	
帅	帥		sᴇ5	
帅	帥	（白）	ʂyø5	
率	率	～領	sᴇ5	
柴	柴		zɑ2	
佘	佘	姓	zø2	
谗	讒		dzᴇ2	
巉	巉		dzᴇ2	
馋	饞		dzᴇ2	
馋	饞	～吐：口水	zᴇ2	
该	該		kᴇ1	
赅	賅	～銅鈿：有錢	kᴇ1	
垓	垓		kᴇ1	
陔	陔		kᴇ1	
阶	階		kɑ1	
尴	尷	～尬	kᴇ1	
尬	尬	尷～	kɑ5	
街	街		kɑ1	
监	監		kᴇ1	
间	間	房～	kᴇ1	
间	閒	房～	kᴇ1	
胛	胛	肩～	kɑ1	
改	改		kᴇ1	
解	解		kɑ1	
减	減		kᴇ1	
碱	鹼		kᴇ1	
碱	礆		kᴇ1	
裥	襉	裙褶	kᴇ1	
裥	襇	裙褶	kᴇ1	
拣	揀		kᴇ1	
概	概		kᴇ5	
概	槪		kᴇ5	
概	槩		kᴇ5	
概	㮣		kᴇ5	
溉	漑		kᴇ5	
摡	摡		kᴇ5	
溉	溉		kᴇ5	
盖	蓋		kᴇ5	
钙	鈣		kᴇ5	
丐	丐		kᴇ5	
界	界	一天世～	kɑ5	
届	屆		kɑ5	
介	介	這麼	kɑ5	
芥	芥		kɑ5	
疥	疥		kɑ5	
戒	戒		kɑ5	
痂	痂	結～	kɑ1	
铅	鉛	～山縣（江西省）	ɦiɪ2	
铅	鉛	～筆	kʰᴇ1	
开	開		kʰᴇ1	
楷	楷		kʰɑ1	
揩	揩	動詞，抹：～檯子，～檯布	kʰɑ1	
凯	凱		kʰᴇ1	
恺	愷		kʰᴇ1	
铠	鎧		kʰᴇ1	
慨	慨		kʰᴇ5	
嘅	嘅		kʰᴇ5	
嵌	嵌		kʰᴇ5	
舰	艦		kʰᴇ5	
骱	骱	手～子：手腕關節	ɡɑ6	
戤	戤	倚靠	ɡᴇ6	
隑	隑	倚靠	ɡᴇ6	
呆	呆		ŋᴇ2	
呆	獃		ŋᴇ2	
癌	癌		ŋᴇ2	
岩	岩		ŋᴇ2	
岩	巖		ŋᴇ2	
衔	銜	～頭	ŋᴇ2	
颜	顏		ŋᴇ2	
颜	顔		ŋᴇ2	
眼	眼		ŋᴇ1	
雁	雁		ŋᴇ5	
碍	礙		ŋᴇ6	
艾	艾		ŋᴇ6	
外	外		ŋɑ6	
咍	咍		hᴇ1	
海	海		hᴇ1	
许	許	（白）	hei1	
蟹	蟹		hɑ1	
喊	喊		hᴇ5	
苋	莧	～菜	ɕiɪ5	
孩	孩		ɦᴇ2	
鞋	鞋		ɦɑ2	
衔	銜	用嘴叼	ɦᴇ2	
咸	咸		ɦᴇ2	
咸	鹹	～菜	ɦᴇ2	
闲	閑	休～	ɦiɪ2	
闲	閒	休～	ɦiɪ2	
闲	閑	有～：有空	ɦᴇ2	
闲	閒	有～：有空	ɦᴇ2	
亥	亥		ɦᴇ6	
害	害		ɦᴇ6	
骇	駭		ɦᴇ6	
馅	餡		ɦᴇ6	
限	限		ɦᴇ6	
淹	淹		ᴇ1	
哀	哀		ᴇ1	
埃	埃		ᴇ1	
挨	挨		ɑ1	
矮	矮		ɑ1	
爱	愛		ᴇ5	
爱	㤅	小篆愛字	ᴇ5	
鳏	鰥		kuᴇ1	
乖	乖		kuɑ1	
关	關		kuᴇ1	
关	関		kuᴇ1	
拐	拐	～杖，誘～	kuɑ1	
拐	柺	～杖	kuɑ1	
怪	怪		kuɑ5	
怪	恠		kuɑ5	
惯	慣		kuᴇ5	
筷	筷		kʰuᴇ5	
快	快		kʰuɑ5	
环	環		ɡuᴇ2	
寰	寰		ɡuᴇ2	
掼	摜	用力扔	ɡuᴇ6	
歪	歪	又	huɑ1	
歪	竵	又	huɑ1	
甩	甩		huᴇ5	
怀	懷	（白）	ɦuɑ2	
怀	懷	（文）～疑	ɦuᴇ2	
槐	槐		ɦuᴇ2	
淮	淮	（白）～安	ɦuɑ2	
淮	淮	（文）	ɦuᴇ2	
顽	頑		ɦø2	
嬛	嬛	女子人名用字	ɦuᴇ2	
还	還	歸～	ɦuᴇ2	
还	還	～有	ɦᴇ2	
外	外	員～	ɦuᴇ6	
坏	壞		ɦuɑ6	
幻	幻		ɦuᴇ6	
患	患		ɦuᴇ6	
宦	宦		ɦuᴇ6	
弯	彎		uᴇ1	
湾	灣		uᴇ1	
歪	歪	又	uɑ1	
歪	竵	又	uɑ1	
晚	晚	～娘	mᴇ1	
晚	晚	（文）	uᴇ1	
晚	晩	～娘	mᴇ1	
晚	晩	（文）	uᴇ1	
挽	挽		uᴇ1	
巴	巴	中～車	pɑ1	
吧	吧		bɑ6	
吧	吧	貼～，酒～	pɑ1	
他	他	（文）其～	tʰɑ1	
他	祂	（文）神明的第三人稱	tʰɑ1	
它	它	（文）無生物的第三身指稱詞	tʰɑ1	
它	牠	（文）動物的第三人稱	tʰɑ1	
她	她	（文）女性第三人稱	tʰɑ1	
大	大	～學，～蒜	dɑ6	
汏	汏	洗：～衣裳，～浴	dɑ6	
拉	拉		lɑ1	
垃	垃	～圾（新）	lɑ2	
圾	圾	垃～（新）	si	
遮	遮	～沒：遮著	tsø1	
遮	遮	～勒裏：遮在這裏	tsɑ1	
遮	遮	奢～：能力強	tɕiɑ1	
蔗	蔗	甘～	tsø1	
蔗	蔗	（俗）甘～	tsoʔ7	
抓	抓	（文）	tsɑ1	
抓	抓	～牌：摸牌	tsø1	
抓	抓	～癢	tsɔ1	
赭	赭		tsø1	
者	者	或～	tɕiɑʔ7	
者	者	記～	tɕiɑ1	
差	差	～弗多，出差	tsʰɑ1	
差	差	～弗多	tsʰø1	
差	差	参～	tsʰɿ1	
扯	扯		tɕʰiɑ1	
扯	撦		tɕʰiɑ1	
奢	奢	～遮：能力強	ɕiɑ1	
奢	奢		ʂyø1	
傻	傻		sɑ1	
耍	耍		sɑ1	
舍	舍	～棄	sø1	
舍	捨	～棄	sø1	
舍	舍	宿～	sø5	
啥	啥		ɕiɑ5	
赦	赦		sø5	
蛇	蛇		dzø2	
射	射	～毛栗子：栗爆	zø6	
射	射	～箭	zɑ6	
麝	麝		zɑ6	
社	社	～會	zɑ6	
惹	惹	～厭：指小孩調皮	dʑiɑ6	
加	加		kɑ1	
袈	袈		kɑ1	
嘉	嘉		kɑ1	
家	家	人～	kɑ1	
家	傢	～俱	kɑ1	
假	假		kɑ1	
架	架		kɑ5	
揩	揩	～油	kʰɑ1	
卡	卡		kʰɑ1	
揢	揢	～胡嚨	kʰɑ5	
茄	茄	番～，～子	ɡɑ2	
哈	哈		hɑ1	
颬	颬	～氣：張嘴呵氣	hɑ1	
马	馬	～～虎虎	mɑ1	
妈	媽		hɑ1	
爹	爹		tiɑ1	
嗲	嗲		tiɑ1	
姐	姐		tsiɑ1	
借	借	～銅鈿，～口	tsiɑ5	
藉	藉	～口	tsiɑ5	
写	寫		siɑ1	
卸	卸		siɑ5	
泻	瀉		siɑ5	
邪	邪		ziɑ2	
斜	斜		ziɑ2	
谢	謝		ziɑ6	
荠	薺	～菜	ziɑ6	
皆	皆	全民～兵	tɕiɑ1	
阶	階		tɕiɑ1	
佳	佳		tɕiɑ1	
家	家	國～	tɕiɑ1	
加	加		tɕiɑ1	
嘉	嘉		tɕiɑ1	
家	傢	～俱	tɕiɑ1	
稼	稼		tɕiɑ5	
解	解	～放，了～	tɕiɑ1	
假	假		tɕiɑ1	
贾	賈		tɕiɑ1	
介	介		tɕiɑ5	
界	界		tɕiɑ5	
芥	芥		tɕiɑ5	
届	屆		tɕiɑ5	
戒	戒		tɕiɑ5	
假	假	放～	tɕiɑ5	
架	架		tɕiɑ5	
驾	駕		tɕiɑ5	
价	價		tɕiɑ5	
涯	涯		ɦiɑ2	
崖	崖		ɦiɑ2	
琊	琊		ɦiɑ2	
霞	霞	徐～客	ɦiɑ2	
遐	遐		ɦiɑ2	
爷	爺		ɦiɑ2	
械	械		ɦiɑ6	
夜	夜		ɦiɑ6	
冶	冶		ɦiɑ6	
鸦	鴉		iɑ1	
椰	椰		iɑ1	
耶	耶		iɑ1	
雅	雅		iɑ1	
也	也		ɦiɑ1	
野	野		ɦiɑ1	
亚	亞		iɑ5	
哇	哇		uɑ1	
洼	洼		uɑ1	
洼	窪		uɑ1	
娃	娃		uɑ1	
煲	煲		pɔ1	
褒	襃		pɔ1	
褒	襃		pɔ1	
褒	褒		pɔ1	
褒	褒		pɔ1	
包	包		pɔ1	
胞	胞		pɔ1	
苞	苞		pɔ1	
保	保		pɔ1	
褓	褓	襁～	pɔ1	
褓	緥	繈 ～	pɔ1	
堡	堡		pɔ1	
宝	寶		pɔ1	
宝	寳	俗寶字	pɔ1	
饱	飽		pɔ1	
报	報		pɔ5	
豹	豹		pɔ5	
爆	爆	油裏～一～	pɔ5	
抛	拋		pʰɔ1	
脬	脬	尿～	pʰɔ1	
泡	泡		pʰɔ5	
炮	炮	～羊肉	pɔ1	
炮	炮	如法～製	bɔ2	
炮	炮		pʰɔ5	
炮	砲		pʰɔ5	
炮	礮		pʰɔ5	
袍	袍		bɔ2	
跑	跑		bɔ2	
刨	刨	～地	bɔ2	
抱	抱		bɔ6	
暴	暴		bɔ6	
爆	爆	～炸	bɔ6	
鲍	鮑		bɔ6	
牦	牦		mɔ2	
牦	氂		mɔ2	
牦	犛		mɔ2	
旄	旄		mɔ2	
茅	茅		mɔ2	
猫	貓		mɔ2	
锚	錨		mɔ2	
毛	毛		mɔ2	
矛	矛		mɔ2	
牟	牟		mɔ2	
卯	卯		mɔ1	
卯	夘		mɔ1	
卯	戼		mɔ1	
牡	牡		mɔ1	
耄	耄	～耋：八、九十歲	mɔ6	
冃	冃		mɔ6	
冒	冒		mɔ6	
冒	冐		mɔ6	
帽	帽		mɔ6	
帽	㡌		mɔ6	
貌	貌		mɔ6	
皃	皃		mɔ6	
刀	刀		tɔ1	
叨	叨		tɔ1	
萄	萄	葡（bəʔ8）～	dɔ2	
祷	禱		tɔ1	
岛	島		tɔ1	
倒	倒	～塌	tɔ1	
捣	擣	～亂	tɔ1	
捣	搗	～亂	tɔ1	
捣	擣	（俗）～一～	dɔ6	
捣	搗	（俗）～一～	dɔ6	
捯	捯		tɔ1	
到	到		tɔ5	
倒	倒	～掛	tɔ5	
滔	滔		tʰɔ1	
掏	掏	～出來	tʰɔ1	
讨	討		tʰɔ1	
套	套		tʰɔ5	
桃	桃		dɔ2	
逃	逃		dɔ2	
涛	濤		dɔ2	
淘	淘		dɔ2	
陶	陶		dɔ2	
道	道		dɔ6	
稻	稻		dɔ6	
盗	盜		dɔ6	
导	導		dɔ6	
悼	悼		dɔ6	
脑	腦		nɔ1	
恼	惱		nɔ1	
闹	鬧		nɔ6	
捞	撈		lɔ1	
唠	嘮		lɔ1	
劳	勞		lɔ2	
牢	牢		lɔ2	
痨	癆		lɔ2	
老	老		lɔ1	
佬	佬		lɔ1	
姥	姥		lɔ1	
涝	澇		lɔ6	
遭	遭		tsɔ1	
糟	糟		tsɔ1	
朝	朝	明～，～飯（不講早飯）	tʂɔ1	
昭	昭		tʂɔ1	
招	招		tʂɔ1	
早	早		tsɔ1	
枣	棗		tsɔ1	
蚤	蚤		tsɔ1	
澡	澡		tsɔ1	
藻	藻		tsɔ1	
爪	爪		tsɔ1	
找	找		tsɔ1	
灶	灶	俗竈字	tsɔ5	
灶	竈		tsɔ5	
罩	罩		tsɔ5	
照	照		tʂɔ5	
曌	曌	武～	tʂɔ5	
操	操		tsʰɔ1	
抄	抄	～作業	tsʰɔ1	
抄	抄	～近路	tʂʰɔ1	
超	超		tʂʰɔ1	
草	草		tsʰɔ1	
草	艸	草本字	tsʰɔ1	
