汉字	注释	柳城洛崖	柳城龙美	融安隘面	融安浮石	融安红日	融安大良	融水水东	融水东阳	融水和睦	融水大方	三江大竹	三江斗江
饥	～饿	ki51	ki51	ki53	ki53	ki53	ki51	ki51	ki53	ki53	ki51	ki53	tʃi53
器		hi53	kʰi53	kʰi35	kʰi35	kʰi35	kʰi33	kʰi35	kʰi45	kʰi445	kʰi335	kʰi42	tʃʰi55
姨		ʔi31	ʔi31	ji31	i31	i31	i221	i31	i31	i31	i31	i31	i231
李		li24	li24	li33	li33	li35	li24	li33	li33	li445	li33	li35	li24
子		tsi45	tsi45	tsi55	tsi55	tsi55	tsi553	tʃi55	tsi55	tsi55	tsi55	tsi33	tsi33
字		tsi21	tsi33	tsi214	tsi214	tsi24	tsi215	tʃi214	tsi215	tsi214	tsi214	tsi22	tsi22
丝		si51	θi51	ɬi53	si53	θi53	si51	θi51	si53	si53	ɬi51	si53	si53
祠		tsi31	tsi31	tsi31	tsi31	tsi31	tsi221	tʃi31	tsi31	tsi31	tsi31	tsi31	tsi231
寺		si21	tsi53	tsi214	tsi214	tsi24	tsi215	tʃi214	tsi215	tsi214	tsi214	tsi22	tsi22
治		tsi53	tsi33	tsi35	tsi214	tsi24	tsi215	tʃi214	tʃi215	tsi214	tsi214	tʃi22	tʃi55
柿		si21	θi33	si214	si214	θi24	si24	ʃi214	ʃi215	si214	si214	ʃi22	ʃi22
事		tsi21/si21	tsi33	ɬi214	si214	θi24	si215	θi214	si215	si214	ɬi214	si22	si22
使		si45	θɐi45	si55	se55	θe55	se553	ʃi55	ʃi55	se55	si55	ʃi33	ʃi33
试		si53	θi33/θi53	si35	si35	θi35	si33	ʃi35	ʃi45	si445	si335	ʃi42	ʃi22
时		si31	θi31	si31	si31	θi31	si221	ʃi31	ʃi31	si31	si31	ʃi31	ʃi231
市		si21	θi33	si214	si214	θi24	si24	ʃi214	ʃi215	si214	si214	ʃi22	ʃi22
耳		ɲi24	ɲi24	ɲi33	ɲi33	ɲi35	ɲi24	ɲi33	ɲi33	ɲi445	ɲi33	ɲi35	ɲi24
记		ki53	ki53	ki35	ki35	ki35	ki33	ki35	ki45	ki445	ki335	ki42	ci55
棋		ki31	ki31	ki31	ki31	ki31	ki221	ki31	ki31	ki31	ki31	ki31	ci231
喜		hi45	hi45	si55	si55	hi55	hi553	ʃi55	ʃi55	hi55	si55	ʃi33	ʃi33
意		ʔi53	ʔi53	ʔi35	i35	i35	i33	i35	ʔi45	ʔi445	ʔi335	i42	i55
几	～个	ki45	ki45	ki55	ki55	ki55	ki553	ki55	ki55	ki55	ki55	ki33	ci53
气		hi53	kʰi53	kʰi35	kʰi35	kʰi35	kʰi33	kʰi35	kʰi45	kʰi445	kʰi335	kʰi42	tʃʰi55
希		hi51	hi51	si53	si53	θi53	hi51	ʃi51	ʃi53	hi53	si51	ʃi53	ʃi53
衣		ʔi51	ʔi51	ʔi53	i53	i53	i51	i51	ʔi53	ʔi53	ʔi51	i53	i53
嘴		tsɐi45	tsɐi45	tsɐi55	tsɐi55	tsui55	tsui553	tʃɐi55	tsɐi55	tsɐi55	tsɐi55	tsuɐi33	tsuɐi33
随		tsui31	tsui31	tsuɐi31	tsuɐi31	tsui31	tsui221	tʃuɐi31	tsuɐi31	tsuɐi31	tsuɐi31	tsuɐi31	tsuɐi231
吹		tsʰɐi51	tsʰɐi51	tsʰe53	tsʰe53	tsʰui53	tsʰui51	tʃʰe51	tʃʰe53	tsʰɐi53	tsʰe51	tʃʰuɐi53	tʃʰuɐi53
垂		tsɐi31	θɐi31	se31	suɐi31	θui31	sui221	ʃe31	ʃe31	suɐi31	se31	tʃuɐi31	tʃuɐi231
规		kuɐi51	kuɐi45	kue53	kue53	kui53	kui51	kue51	kue53	kuɐi53	kue51	kuei53	kuɐi53
亏		kʰuɐi51	kʰuɐi51	kʰue53	kʰue53	kʰui53	kʰui51	kʰue51	kʰue53	kʰuɐi53	kʰue51	kʰuei53	kʰuɐi53
跪		kuɐi21	kuɐi33	kue214	kue214	kui24	kui24	kue214	kue215	kuɐi214	kue214	kuei22	kuɐi22
危		uɐi31	ŋui31	ŋue31	ŋue31	ŋue31	ŋui221	ŋue31	mue31	ŋuɐi31	ŋue31	uei31	uɐi231
类		lui21	lɐi33	luɐi214	luɐi214	lui24	lui215	luɐi214	luɐi215	luɐi214	luɐi214	luɐi22	luɐi22
醉		tsɐi53	tsɐi53	tsuɐi35	tsuɐi35	tsui35	tsui33	tʃuɐi35	tsuɐi45	tsuɐi445	tsuɐi335	tsuɐi42	tsuɐi55
追		tsɐi51	tsɐi51	tse53	tse53	tsui53	tsui51	tʃe51	tʃe53	tsɐi53	tse51	tʃuɐi53	tʃuɐi53
锤		tsɐi31	tsɐi31	tse31	tse31	tsui31	tsui221	tʃe31	tʃe31	tsɐi31	tse31	tʃuɐi31	tʃuɐi231
水		sɐi45	θɐi45	se55	se55	θui55	sui553	ʃe55	ʃe55	sɐi55	se55	ʃuɐi33	ʃuɐi33
龟		kuɐi51	kuɐi51	kue53	kue53	kui53	kui51	kue51	kue53	kuɐi53	kue51	kuei53	kuɐi53
季		ki53	ki53	ki35	ki35	ki35	ki33	ki35	ki45	ki445	ki335	ki42	tʃi55
柜		kuɐi21	kuɐi33	kue214	kue214	kui24	kui215	kue214	kue215	kuɐi214	kue214	kuei22	kuɐi22
位		uɐi21	uɐi33	ue214	ue214	ui24	ui215	ue214	ue215	uɐi214	ue214	uei22	uɐi22
飞		fi51	fi51	fi53	fi53	fi53	fi51	fi51	fi53	fi53	fi51	fi53	fi53
费		fe53	fe53	fe214	fe35	fe35	fe33	fe35	fe45	fe445	fe335	fei42	fuɐi55
肥		fi31	fi31	fi31	fi31	fi31	fi221	fi31	fi31	fi31	fi31	fi31	fi231
尾		mi45	mi45/me45	mi55	mi55	mi55	mi24	mi55	mi55	mi55	mi55	mi35	mi24
味		me21/uɐi21	mi33	mi214	mi214	mi24	mi215	mi214	mi215	mi214	mi214	mi22	mi22
鬼		kuɐi45	kuɐi45	kue55	kue55	kui55	kui553	kue55	kue55	kuɐi55	kue55	kuei33	kuɐi33
贵		kuɐi53	kuɐi53	kue35	kue35	kui35	kui33	kue35	kue45	kuɐi445	kue335	kuei42	kuɐi55
围		uɐi31	uɐi31	ue31	ue31	ui31	ui221	ue31	ue31	uɐi31	ue31	uei31	uɐi231
胃		uɐi21	uɐi33	ue214	ue214	ɲye24	ui215	ue214	ue215	uɐi214	ue214	uei42	uɐi22
宝		pɔu45	po45	po55	po55	po55	po553	pəu55	po55	po55	po55	pou33	pou33
抱		pɔu24	po24	po214	po214	po24	po24	pəu214	po215	po214	po214	pou22	pou22
毛		mɔu31	mo31	mo31	mo31	mo31	mo221	məu31	mo31	mo31	mo31	mou31	mou231
帽		mɔu21	mo33	mo214	mo214	mo24	mo215	məu214	mo215	mo214	mo214	mou22	mou22
刀		tɔu51	to51	to53	to53	to53	to51	təu51	to53	to53	to51	tou53	tou53
讨		tʰɔu45	tʰo53	tʰo55	tʰo55	tʰo55	tʰo553	tʰəu55	tʰo55	tʰo55	tʰo55	tʰou33	tʰou33
桃		tɔu31	to31	to31	to31	to31	to221	təu31	to31	to31	to31	tou31	tou231
道		tɔu21	to33	to214	to214	to24	to215	təu214	to215	to214	to214	tou22	tou22
脑		nɔu24	no24	no33	no33	no24	no24	nəu33	no33	no445	no33	nou35	nou24
老		lɔu24/lɔu31	lo24	lo33	lo33	lo35	lo24	ləu33	lo33	lo445	lo33	lou35	lou24
早		tsɔu45	tso45	tso55	tso55	tso55	tso553	tʃəu55	tso55	tso55	tso55	tsou33	tsou33
灶		tsɔu53	tso53	tso35	tso35	tso35	tso33	tʃəu35	tso45	tso445	tso335	tsou42	tsou55
草		tsʰɔu45	tsʰo45	tsʰo55	tsʰo55	tsʰo55	tsʰo553	tʃʰəu55	tsʰo55	tsʰo55	tsʰo55	tsʰou33	tsʰou33
糙		tsʰɔu53	tsʰo53	tsʰo35	tsʰo35	tsʰo35	tsʰo33	tʃʰəu35	tsʰo45	tsʰo445	tsʰo335	tsʰou42	tsʰou53
造		tsau53	tso24	tso214	tso214	tso24	tso215	tʃəu214	tso215	tso214	tso214	tsʰou42	tsʰou55
嫂		sɔu45	θo45	ɬo55	so55	θo55	so553	θəu55	so55	so55	ɬo55	sou33	sou33
高		kɔu51	ko51	ko53	ko53	ko53	ko51	kəu51	ko53	ko53	ko51	kou53	kou53
靠		kʰɔu53	kʰo53	kʰo35	kʰo35	kʰo35	kʰo33	kʰəu35	kʰo45	kʰo445	kʰo335	kʰou42	kʰou55
熬		ŋɔu31	ŋo31/ŋau31	ŋo31	ŋo31	ŋo31	ŋo221	ŋəu31	ŋo31	ŋo31	ŋo31	ŋou31	ŋou231
好	～坏	hɔu45	ho45	ho55	ho55	ho55	ho553	həu55	ho55	ho55	fu55	hou33	hou33
号	名	ʔɔu31	ʔo33	ho214	ho214	ho24	ho215	həu214	ho215	ho214	—	hou22	—
包		pau51	pau51	pau53	pau53	pɑɔ53	pau51	pau51	pau53	pau53	pau51	pau53	pau53
饱		pau45	pau45	pau55	pau55	pɑɔ55	pau553	pau55	pau55	pau55	pau55	pau33	pau33
炮		pʰau53	pʰau53	pʰau35	pʰau35	pʰɑɔ35	pʰau33	pʰau35	pʰau45	pʰau445	pʰau335	pʰau42	pʰau55
猫		miau45	miau24	mau214	mau214	mɑɔ24	mau33	mau214	mau215	miau445	mau214	mau22	mau231
闹		nɔu21	nau33	nau214	nau214	nɑɔ24	nau215	nau214	nau215	nau214	nau214	nau22	nau22
罩		tsau53	tsau53	tsau35	tsau35	tsɑɔ35	tsau33	tʃau35	tʃau45	tsau445	tsau335	tʃau42	tʃou55
抓	用手～牌	tsua51	tsua51	tsua53	tsua53	tsua53	tsua51	tʃua51	—	—	tsua51	tʃua53	tʃo53
找	～零钱	—	—	—	—	tsɑɔ55	—	tʃau55	tʃau55	tsau55	tsau55	—	—
抄		tsʰau51	tsʰau51	tsʰau53	tsʰau53	tsʰɑɔ53	tsʰau51	tʃʰau51	tʃʰau53	tsʰau53	tsʰau51	tʃʰau53	tʃʰau53
交		kau51	kau51	kau53	kau53	kɑɔ53	kau51	kau51	kau53	kau53	kau51	kau53	kau53
敲		kʰau51	kʰau51	kʰau53	kʰau53	kʰɑɔ53	kʰau51	kʰau51	kʰau53	kʰau53	kʰau51	kʰau53	kʰau53
孝		hau53	hau53	hau35	hau35	hɑɔ35	hau33	hau35	hau45	hau214	hau335	hau42	hau55
校	学～	hau53	hau53	hau214	hau35	hɑɔ35	hau33	hau214	hau215	hau214	hau335	hau42	hau55
表	手～	piu45	piu45	piu55	piu55	piu55	piu553	piu55	piu55	piu55	piu55	piu33	piu33
票		pʰiu53	pʰiu53	pʰiu35	pʰiu35	pʰiu35	pʰiu33	pʰiu35	pʰiu45	pʰiu445	pʰiu335	pʰiu42	pʰiu55
庙		miu21	miu33	miu214	miu214	miu24	miu215	miu214	miu215	miu214	miu214	miu22	miu22
焦		tsiu51	tsiu51	tsiu53	tsiu53	tsiu53	tsiu51	tʃiu51	tsiu53	tsiu53	tsiu51	tsiu53	tsiu53
小		siu45	—	ɬiu55	siu55	θiu55	siu553	θiu55	siu55	siu55	ɬiu55	siu33	siu33
笑		siu53	θiu53	ɬiu35	siu35	θiu35	siu33	θiu35	siu45	siu445	ɬiu335	siu42	siu55
朝	～代	tsiu51	tsiu51	tsiu53	tsiu53	tsiu53	tsiu51	tʃiu51	tʃiu53	tsiu53	tsiu51	tʃiu53	tʃiu53
照		tsiu53	tsiu53	tsiu35	tsiu35	tsiu35	tsiu33	tʃiu35	tʃiu45	tsiu445	tsiu335	tʃiu42	tʃiu55
烧		siu51	θiu51	siu53	siu53	θiu53	siu51	θiu51	ʃiu53	siu53	siu51	ʃiu53	ʃiu53
绕	～线	iu53	ɲiu45	ɲiu55	kiu55	liu55	ɲiu553	ɲiu55	ɲiu215	ɲiu55	ɲiu55	iu22	iu24
桥		kiu31	kiu31	kiu31	kiu31	kiu31	kiu221	kiu31	kiu31	kiu31	kiu31	kiu31	ciu231
轿		kiu21	kiu33	kiu214	kiu214	kiu24	kiu215	kiu214	kiu215	kiu214	kiu214	kiu22	ciu22
腰		iu51	iu51	ʔiu53	iu53	iu53	iu51	iu51	ʔiu53	ʔiu53	ʔiu51	iu53	iu53
要	重～	iu53	iu53	ʔiu35	—	iu35	iu33	iu35	ʔiu45	ʔiu445	ʔiu335	—	—
摇		iu31	iu31	jiu31	iu31	iu31	iu221	iu31	iu31	iu31	iu31	iu31	iu231
鸟		tiu45	tiu45	niu55	niu55	tiu55	tiu553	tiu55	tiu55	niu55	tiu55	tiu33	tiu33
钓		tiu53	tiu53	tiu35	tiu35	tiu35	tiu33	tiu35	tiu45	tiu445	tiu335	tiu42	tiu55
条		tiu31	tiu31	tiu31	tiu31	tiu31	tiu221	tiu31	tiu31	tiu31	tiu31	tiu31	tiu231
料		liu21	liu33	liu214	liu214	liu24	liu215	liu214	liu215	liu214	liu214	liu22	liu22
箫		siu51	θiu51	ɬiu53	siu53	θiu53	siu51	θiu51	siu53	siu53	ɬiu51	siu53	siu53
叫		kiu53	kiu53	kiu35	kiu35	kiu35	kiu33	kiu35	kiu45	kiu445	kiu335	kiu42	ciu55
母		mu24	mu24	mu33	mu33	mu35	mu24	mu33	mu33	mu445	mu33	mu35	mu24
抖		tɐu45	tɐu45	tɐu55	tɐu55	tɐu55	tɐu553	tɐu55	tɐu55	tɐu55	tɐu55	tɐu33	tɐu33
偷		tʰɐu51	tʰɐu51	tʰɐu53	tʰɐu53	tɐu53	tʰɐu51	tʰɐu51	tʰɐu53	tʰɐu53	tʰɐu51	tʰɐu53	tʰɐu53
头		tɐu31	tɐu31	tɐu31	tɐu31	tɐu31	tɐu221	tɐu31	tɐu31	tɐu31	tɐu31	tɐu31	tɐu231
豆		tɐu21	tɐu33	tɐu214	tɐu214	tɐu24	tɐu215	tɐu214	tɐu215	tɐu214	tɐu214	tɐu22	tɐu22
楼		lɐu31	lɐu31	lɐu31	lɐu31	lɐu31	lɐu221	lɐu31	lɐu31	lɐu31	lɐu31	lɐu31	lɐu231
走		tsɐu45	tsɐu45	tsɐu55	tsɐu55	tsɐu55	tsɐu553	tʃɐu55	tsɐu55	tsɐu55	tsɐu55	tsɐu33	—
凑		tsʰɐu53	tsʰɐu53	tsʰɐu35	tsʰɐu35	tsʰɐu35	tsʰɐu33	tʃʰɐu35	tsʰɐu45	tsʰɐu445	tsʰɐu335	tsʰɐu42	tsʰɐu55
钩		kɐu51	kɐu51	kɐu53	kɐu53	kɐu53	kɐu51	kɐu51	kɐu53	kɐu53	kɐu51	kɐu53	kɐu53
狗		kɐu45	kɐu45	kɐu55	kɐu55	kɐu55	kɐu553	kɐu55	kɐu55	kɐu55	kɐu55	kɐu33	kɐu33
够		kɐu53	kɐu53	kɐu35	kɐu35	kɐu35	kɐu33	kɐu35	kɐu45	kɐu445	kɐu335	kɐu42	kɐu55
口		hɐu45	kʰɐu45	kʰɐu55	kʰɐu55	kʰɐu55	kʰɐu553	kʰɐu55	kʰɐu55	kʰɐu55	kʰɐu55	kʰɐu33	kʰɐu33
藕		ŋɐu24	ŋɐu24	ŋɐu33	ŋɐu33	ŋɐu35	ŋɐu24	ŋɐu33	ŋɐu33	ŋɐu445	ŋɐu33	ŋɐu35	ŋɐu24
后	前～	ʔɐu21	ʔɐu33	hɐu214	hɐu214	hɐu24	hɐu215	hɐu214	hɐu215	hɐu214	hɐu214	hɐu22	hɐu22
厚		ʔɐu24	ʔɐu24	hɐu214	hɐu214	hɐu24	hɐu24	hɐu214	hɐu215	hɐu214	hɐu214	hɐu22	hɐu22
富		fu53	fu53	fu35	fu35	fu35	fu33	fu35	fu45	fu445	fu335	fu42	fu55
副		fu53	fu53	fu35	fu35	fu35	fu33	fu35	fu45	fu445	fu335	fu42	fu55
浮		fɐu31	fɐu31	fu31	fu31	fɐu31	fu221	fu31	fu31	fɐu31	fɐu31	fu31	fu231
妇		fu24/fu21	pu24/fu24	fu214	fu214	fu24/fu35	fu215	fu214	fu215	fu214	fu214	fu22	fu22
流		lɐu31	lɐu31	lɐu31	lɐu31	lɐu31	lɐu221	lɐu31	lɐu31	lɐu31	lɐu31	lɐu31	lɐu231
酒		tsɐu45	tsɐu45	tsɐu55	tsɐu55	tsɐu55	tsɐu553	tʃɐu55	tsɐu55	tsɐu55	tsɐu55	tsɐu33	tsɐu33
修		sɐu51	θɐu51	ɬɐu53	sɐu53	θɐu53	sɐu51	θɐu51	sɐu53	sɐu53	ɬɐu51	sɐu53	sɐu53
袖		tsɐu21	tsɐu33	tsɐu214	tsɐu214	tsɐu24	tsɐu215	tʃɐu214	tsɐu215	tsɐu214	tsɐu214	tsɐu22	tsɐu22
抽		tsʰɐu51	tsʰɐu51	tsʰɐu53	tsʰɐu53	tsʰɐu53	tsʰɐu51	tʃʰɐu51	tʃʰɐu53	tsʰɐu53	tsʰɐu51	tʃʰɐu53	tʃʰɐu53
绸		tsɐu31	tsɐu31	tsɐu31	tsɐu31	tsɐu31	tsɐu221	tʃɐu31	tʃɐu31	tsɐu31	tsɐu31	tʃɐu31	tʃɐu231
愁		tsɐu31	tsɐu31	tsɐu31	tsɐu31	tsɐu31	tsɐu221	tʃɐu31	tʃɐu31	tsɐu31	tsɐu31	tʃɐu31	tʃɐu231
瘦		sɐu53	θɐu53	sɐu35	sɐu35	θɐu35	sɐu33	ʃɐu35	ʃɐu45	sɐu445	sɐu335	ʃɐu42	ʃɐu55
州		tsɐu51	tsɐu51	tsɐu53	tsɐu53	tsɐu53	tsɐu51	tʃɐu51	tʃɐu53	tsɐu53	tsɐu51	tʃɐu53	tʃɐu53
臭		tsʰɐu53	tsʰɐu53	tsʰɐu35	tsʰɐu35	tsʰɐu35	tsʰɐu33	tʃʰɐu35	tʃʰɐu45	tsʰɐu445	tsʰɐu335	tʃʰɐu42	tʃʰɐu55
手		sɐu45	θɐu45	sɐu55	sɐu55	θɐu55	sɐu553	ʃɐu55	ʃɐu55	sɐu55	sɐu55	ʃɐu33	ʃɐu33
寿		sɐu21	θɐu33	sɐu214	sɐu214	θɐu24	sɐu215	ʃɐu214	ʃɐu215	sɐu214	sɐu214	ʃɐu22	ʃɐu22
九		kiɐu45	kiɐu45	kiɐu55	kiɐu55	kiɐu55	kiɐu553	kiɐu55	kiɐu55	kiɐu55	kiɐu55	kiɐu33	tʃɐu33
球		kiɐu31	kiɐu31	kiɐu31	kiɐu31	kiɐu31	kiɐu221	kiɐu31	kiɐu31	kiɐu31	kiɐu31	kiɐu31	tʃɐu231
舅		kiɐu24	kiɐu24	kiɐu214	kiɐu214	kiɐu24	kiɐu24	kiɐu214	kiɐu215	kiɐu214	kiɐu214	kiɐu22	tʃɐu22
旧		kiɐu21	kiɐu33	kiɐu214	kiɐu214	kiɐu24	kiɐu215	kiɐu214	kiɐu215	kiɐu214	kiɐu214	kiɐu22	tʃɐu22
牛		ɲiɐu31	ɲiɐu31	ɲiɐu31	ɲiɐu31	ŋiɐu31	ɲiɐu221	ɲiɐu31	ɲiɐu31	ɲiɐu31	ɲiɐu31	ɲiɐu31	ɲiɐu231
休		hiɐu51	hiɐu51	sɐu53	sɐu53	θɐu53	hiɐu51	θɐu51	ʃiɐu53	hiɐu53	sɐu51	sɐu53	ʃɐu53
优		iɐu51	iɐu51	ʔiɐu53	iɐu53	iɐu53	iɐu51	iɐu51	ʔiɐu53	ʔiɐu53	ʔiɐu51	iɐu53	iɐu53
有		iɐu24	iɐu24	jiɐu33	iɐu33	iɐu35	iɐu24	iɐu33	iɐu33	iɐu445	iɐu33	iɐu35	iɐu24
右		iɐu21	iɐu33	jiɐu214	iɐu214	iɐu24	iɐu215	iɐu214	iɐu215	iɐu214	iɐu214	iɐu22	iɐu22
油		iɐu31	iɐu31	jiɐu31	iɐu31	iɐu31	iɐu221	iɐu31	iɐu31	iɐu31	iɐu31	iɐu31	iɐu231
丢		liu53	tiu51	—	tiɐu53	tiu35	tiu33	tiu55	tiu55	tiu55	—	liu53	liu53
幼		iɐu21	iɐu24	ʔiɐu35	iɐu214	iɐu55	iɐu33	iɐu35	ʔiɐu45	ʔiɐu445	ʔiɐu335	iɐu22	iɐu24
贪		tʰam51	tʰam51	tʰam53	tʰam53	tʰam53	tʰam51	tʰam51	tʰam53	tʰam53	tʰam51	tʰam53	tʰam53
潭		tam31	tam31	tam31	tam31	tam31	tam221	tam31	tam31	tam31	tam31	tam31	tam231
南		nam31	nam31	nam31	nam31	nam31	nam221	nam31	nam31	nam31	nam31	nam31	nam231
蚕		tsam31	tsan31	tsan31	tsan31	tsan31	tsan221	tʃan31	tsan31	tsan31	tsan31	tsam31	tsan231
感		kum45	kum45	kom55	kom55	kum55	kum553	kom55	kom55	kom55	kom55	kam33	kam33
含		kum45	kum45	kom55	kom55	kum55	kum553	kom55	kom55	kom55	kom55	kam33	kam33
暗		ʔam31	um31	hom31	hom31	hum31	um221	hom31	hom31	hom31	hom31	han31	ham231
搭		ʔum53	um53	ʔom35	om35	um35	um33	om35	ʔom45	ʔom445	ʔom335	ɔm42	ɔm55
踏		tap3	tap3	tap53	tap53	tap53	tap33	tap51	tap53	tap53	tap51	tap33	tap33
拉		lai51	lai51	la53	la53	la53	la553	la51	lɑ53	la53	la51	la53	la53
杂		tsap2	tsap24	tsap214	tsap214	tsap24	tsap215	tʃap214	tsap215	tsap214	tsap214	tsap33	tsap11
鸽		kɐk5	up2	kop53	kup53	kup53	kup5	kup51	kup53	kup53	kup51	kɔk33	kɐp5
盒		ʔup2	up2	hop2	hup3	hup35	up215	hup3	hup3	hup3	hup3	hɐp53	hɐp13
胆		tam45	tam45	tam55	tam55	tam55	tam553	tam55	tam55	tam55	tam55	tam33	tam33
毯		tʰam45	tʰam45	tʰam55	tʰam55	tʰam55	tʰam553	tʰam55	tʰam55	tʰam55	tʰan55	tʰam33	tʰam33
淡		tam24	tam24	tam214	tam214	tam24	tam24	tam214	tam215	tam214	tam214	tam22	tam22
蓝		lam31	lam31	lam31	lam31	lam31	lam221	lam31	lam31	lam31	lam31	lam31	lam231
三		sam51	θam51	ɬam53	sam53	θam53	sam51	θam51	sam53	sam53	ɬam51	sam53	sam53
甘		kum45	kum51	kom53	kom53	kum53	kum553	kom51	kom53	kom53	kom51	kɐm53	kuan53
敢		kum45	kum45	kom55	kom55	kum55	kum553	kom55	kom55	kom55	kom55	kɐm33	kam33
喊		ham45	ham45	ham55	ham55	ham55	ham553	ham55	ham55	ham55	ham55	ham33	ham33
塔		tʰap3	tʰap3	tʰap53	tʰap53	tʰap53	tʰap33	tʰap51	tʰap53	tʰap53	tʰap51	tap33	tap11
蜡		lap2	lap24	lap214	lap214	lap24	lap215	lap214	lap215	lap214	lap214	lap2	lap11
赚		tsan21	tsan33	tsan214	tsan214	tsan24	tsan215	tʃan214	tʃan215	tsan214	tsan214	tʃun42	tʃun55
杉		sa51	θa51	sa53	sia53	θa53	sia51	ʃa51	ʃɑ53	sa53	sa51	ʃa53	ʃa53
减		kam45	kam45	kam55	kam55	kam55	kam553	kam55	kam55	kam55	kam55	kam33	kam33
咸	～淡	ʔam31	ʔam31	ham31	ham31	ham31	ham221	ham31	ham31	ham31	ham31	ham31	ham231
插		tsʰap3	tsʰap3	tsʰap53	tsʰap53	tsʰap53	tsʰap33	tʃʰap51	tʃʰap53	tsʰap53	tsʰap51	tʃʰap33	tʃʰap33
闸		tsap2	tsap24	tsap214	tsap214	tsap24	tsap215	tʃap214	tʃap215	tsap214	tsap214	tʃap2	tʃap11
夹		kɐp5	kɐp5	kap214	kap53	kap53	kap33	kap51	kɐp53	kɐp53	kɐp51	kap33	kɐp5
衫		sam51	θam51	sam53	sam53	θam53	sam51	ʃam51	ʃam53	sam53	sam51	ʃam53	ʃam53
监		kin51	kin51/kan51	kam53	kam53	kam53	kam51	kam51	kam53	kam53	kam51	kim53	cim53
岩		in31	ŋam31	ŋai31	ŋai31	ŋam31	ŋam221	ŋam31	ŋam31	ŋam31	ŋai31	ŋai31	ŋai231
甲		kap3	kap3	kap53	kap53	kap53	kap33	kap51	kap53	kap53	kap51	kap33	kap33
鸭		ʔap3	ʔap3	ʔap53	ap53	ap53	ap33	ap51	ʔap53	ʔap53	ʔap51	ap33	ap33
黏		nim53	nim51	niɤm53	nim53	nim53	nim51	nim51	nim53	nim31	nim51	niam53	ɲia53
尖		tsim51	tsim51	tsiɤm53	tsim53	tsim53	tsim51	tʃim51	tsim53	tsim53	tsim51	tsim53	tsim53
签	～名	tsʰim51	tsʰim51	tsʰiɤm53	tsʰim53	tsʰim53	tsʰim51	tʃʰim51	tsʰim53	tsʰim53	tsʰim51	tsʰim53	tsʰim53
占	～领	tsam51	tsim53	tsiɤm35	tsan53	tsim35	tsim33	tʃim35	—	tsim445	tsin335	tʃan22	tʃam22
染		ɲim24	ɲim24	ɲiɤm33	ɲim33	ɲim35	ɲim24	ɲim33	ɲim33	ɲim445	ɲim33	ɲim35	ɲim24
钳		kim31	kim31	kiɤm31	kim31	kim31	kim221	kim31	kim31	kim31	kim31	kim31	cim231
验		nim21	nim33	niɤm214	ɲim214	nim24	nim215	nim214	nim215	nim214	nim214	nim22	nim22
险		him45	him45	siɤm55	sim55	θim55	him553	ʃin55	ʃim55	hin55	sim55	ʃim33	ʃim33
厌		im21	im53	jiɤm31	im35	im35	im33	im35	ʔim45	ʔim445	ʔim335	im42	im55
炎		in31	in31	jin31	in31	in31	in221	in31	im31	in31	in31	in31	in231
盐		im31	im31	jiɤm31	im31	im31	im221	im31	im31	im31	im31	im31	im231
接		tsip5	tsip5	tsiɤp53	tsip53	tsʰip53	tsip5	tʃip51	tsip53	tsip53	tsip51	tsip53	tsip5
折	～叠	tsit5	tsit5	tsiɤp53	tsip53	tsit53	tsit5	tʃit51	tʃit53	tsit53	tsit51	tʃit53	tʃit5
叶	树～	ip2	ip2	jiɤp2	ip3	ip35	ip2	ip3	ip3	ip3	ip3	ip2	ip13
剑		kin53	kim53	kiɤm35	kim35	kim35	kim33	kim35	kim45	kim445	kim335	kim42	cin55
欠		kʰim53	kʰim53	kʰiɤm35	kʰim35	kʰim35	kʰim33	kʰim35	kʰim45	kʰin445	kʰim335	kʰin42	cʰin55
严		ɲim31	nim31	ɲiɤm31	ɲim31	ɲim31	ɲim221	ɲim31	ɲim31	ɲim31	ɲim31	nim31	ɲim231
业		nip2	ɲip2	niɤp2	ɲip3	nip35	nip2	nip3	nip3	nip3	nip3	nip2	ɲip13
点		tim45	tim45	tiɤm55	tim55	tim55	tim553	tim55	tim55	tim55	tim55	tim33	tim33
店		tim53	tim53	tiɤm35	tim35	tim35	tim33	tim35	tim45	tim445	tim335	tim42	tim55
添		tʰim53	tʰim51	tʰiɤm53	tʰim53	tʰim53	tʰim51	tʰim51	tʰim53	tʰim53	tʰim51	tʰim53	tʰim53
甜		tim31	tim31	tiɤm31	tim31	tim31	tim221	tim31	tim31	tim31	tim31	tim31	tim231
念		nim21	nim33	niɤm214	nim214	nim24	nim215	nim214	nim215	nim214	nim214	nim22	nim22
嫌		im31	im31	jiɤm31	im31	im31	im221	im31	im31	im31	im31	im31	im231
跌		tit5	tit5	tit53	tit53	tit53	tit5	tit51	tit53	tip53	tit51	tit53	—
贴		tʰip5	tʰip5	tʰiɤp53	tʰip53	tʰip53	tʰip5	tʰip51	tʰip53	tʰip53	tʰip51	tʰip53	—
碟		tip2	tip2	tiɤp2	tip3	tip35	tip2	tip3	tip3	tip3	tip3	tip2	tip13
协		hit5	hit5	siɤp2	sit3	θit35	sip2	ʃip3	ʃip3	sip3	sip3	ʃit2	ʃiet5
