"来源："	"李小平 2004《山西离石方言音系》；安静先生 整理录入"
"x"	"［1］憨［2］寒-{～露}韩-［5］鼾-汉-{好～}旱-汗-{脚~}"
"Ø"	"［1］腌蔫焉延{姓}烟胭［2］然-燃-严=黏-盐阎延{～续}筵言=研=缘沿［3］碾-掩演衍［5］染-验厌炎艳焰谚堰燕咽宴"
"#yɪ"	""
"l"	"［5］𥽸{熬粥黏也}"
"tɕ"	"［1］专-砖［3］转{～账}卷{～子}［5］转-{轮子～}篆-传{水浒～}眷绢圈{兽阑}倦券捐娟"
"tɕʰ"	"［1］川-{四～}穿-圈{圆～}［2］传{宣～}椽-船-{轮～}全泉拳权颧［3］喘-犬［5］串-劝"
"ɕ"	"［1］宣喧萱［2］旋{～转}玄悬眩［3］选［5］镟{铅笔～～：转笔刀}楦"
"Ø"	"［1］冤哕［2］圆员元原源袁辕园援猿渊［3］远［5］院愿怨"
"#uo"	""
"p"	"［1］菠玻帮邦［3］簸{～一～}榜谤绑［5］簸{～箕}傍棒蚌"
"pʰ"	"［1］波颇坡洚胮{肿}［2］婆旁螃庞膀{翅～}［5］破胖"
"m"	"［2］魔磨磨刀摩馍忙芒光芒茫盲［3］莽蟒［5］磨{石～}"
"t"	"［1］朵［3］躲［5］剁堕垛惰"
"tʰ"	"［2］砣{轮子}［3］妥椭［5］唾"
"l"	"［2］骡螺摞{垛～～：叠成一摞}［3］裸［5］摞"
"ts"	"［1］庄装妆［5］坐座壮状"
"tsʰ"	"［1］疮窗［2］床［3］闯［5］锉创撞"
"s"	"［1］梭霜孀双{～方}［3］唆锁琐所爽［5］双{～生}"
"k"	"［1］锅光戈［3］果裹广［5］过"
"kʰ"	"［1］科窠棵颗匡筐眶框［2］狂［5］课旷况矿"
"x"	"［1］荒慌谎方肪芳妨［2］和禾黄簧皇蝗凰隍蟥房防［3］晃火夥伙仿纺彷{～佛}访［5］货祸放"
"Ø"	"［1］汪窝蜗［2］亡芒{麦～儿}王［3］网枉往［5］卧忘妄望旺"
"#ɐɪ"	""
"p"	"［1］杯背{～东西}碑卑悲［5］臂拜=稗=败=贝背{～面}辈倍焙"
"pʰ"	"［1］胚坯［2］排=培陪赔裴［3］派=丕［5］沛配佩"
"m"	"［2］谜{猜~}梅枚玫媒煤莓［3］每美［5］迈=妹昧寐"
"t"	"［1］呆［5］贷待怠代袋大={～夫}戴带殆"
"tʰ"	"［1］胎态［2］台苔抬［5］泰="
"n"	"［3］乃=［5］耐奈="
"l"	"［2］来［5］赖=癞="
"ts"	"［1］灾栽贼斋［3］宰载［5］债=寨=再在"
"tsʰ"	"［1］差={出～}猜=［2］柴=才材财裁豺=［3］采彩睬［5］菜蔡"
"s"	"［1］筛=腮鰓［5］赛"
"k"	"［1］该［3］改［5］概溉盖丐"
"kʰ"	"［1］开［3］凯楷［5］慨"
"ŋ"	"［3］癌碍哀埃蔼矮隘［5］艾爱"
"x"	"［2］孩［3］海［5］害亥骇"
"#uɐɪ"	""
"t"	"［1］堆［5］对队兑"
"tʰ"	"［1］推［3］腿［5］退蜕褪"
"n"	"［3］馁［5］内"
"l"	"［2］雷［3］累={积～}垒=儡［5］累={劳～}类="
"ts"	"［1］追=锥=［3］最［5］缀=赘=罪坠="
"tsʰ"	"［1］猜-炊=催崔［2］垂=槌=［5］脆=翠=粹="
"s"	"［1］虽=衰［2］随=绥=［3］髓=［5］隧=穗=率={～领}碎遂=帅"
"z"	"［3］软-［5］锐芮=瑞蕊"
"k"	"［1］乖规圭闺桂龟轨归［3］诡鬼［5］柜贵"
"kʰ"	"［1］规-盔魁奎亏窥逵葵［3］块=傀癸［5］愧刽"
"x"	"［1］恢灰麾非飞匪榧痱妃翡挥辉徽［2］槐=淮=回茴肥=［3］悔晦毁讳［5］废贿汇殒肺吠惠慧费=会绘"
"Ø"	"［1］危威违［2］围偎为{作～}维惟唯微［3］歪=苇=纬=伪萎委=尾=伟［5］喂魏慰外卫为{～了}位未味畏胃谓猬"
"#ʌu"	""
"m"	"［2］矛"
"t"	"［1］都{～是}［3］兜斗{～子：车斗子}抖陡［5］斗{争～}豆逗痘"
"tʰ"	"［1］偷［2］头投［5］透"
"n"	"［1］努［2］奴  [4] 怒"
"l"	"［2］卢炉芦鸬虏庐楼搂{～柴}耧［3］鲁橹卤篓搂{抱也}［5］路赂露鹭漏陋"
"ts"	"［1］租组邹撖周舟州洲粥=［3］祖走肘轴［5］就-{又读}奏昼纣宙皱绉骤咒焯"
"tsʰ"	"［1］粗抽［2］仇={～恨}绸稠筹愁酬［3］丑瞅［5］醋措凑臭香臭"
"s"	"［1］苏酥叟搜飕收［2］仇-{～人：仇人}［3］手首守［5］素诉塑嗉嗽瘦漱兽受寿授售"
"z"	"［2］柔揉［3］扭-［5］肉"
"k"	"［1］勾钩沟［3］狗苟［5］垢够"
"kʰ"	"［1］抠［3］口［5］叩扣寇"
"ŋ"	"［1］欧瓯鸥呕殴［3］藕偶［5］构购沤怄"
"x"	"［2］侯喉猴瘊［3］吼［5］後厚后候"
"#iʌu"	""
"t"	"［1］丢"
"n"	"［2］牛［3］纽扭=钮"
"l"	"［2］流刘留榴硫琉溜馏［3］柳［5］六"
"tɕ"	"［1］揪纠咎纠［3］酒鸠阄九久韭灸究［5］就救臼舅旧柩"
"tɕʰ"	"［1］锹秋丘［2］求球仇{姓}"
"ɕ"	"［1］修羞休［2］囚［3］朽［5］秀绣宿{星～}锈袖嗅"
"Ø"	"［1］优忧犹悠幽［2］尤邮由油游［3］有友酉莠［5］又右祐诱柚鼬釉幼"
"#ou"	""
"p"	"［1］般-搬-包刨鲍［3］堡=褒保宝饱［5］半-绊-伴-拌-抱=报暴豹爆"
"pʰ"	"［1］潘-泡{不实}抛剖［2］盘-袍胞{同～}［3］跑{奔～}［5］判-炮{枪～}泡{～沫}雹"
"m"	"［2］瞒-毛=茅猫锚［3］满-卯牡［5］漫-{～地}幔-冒帽貌茂贸"
"t"	"［1］刀叨［3］祷岛倒捣稻导［5］到倒道盗悼"
"tʰ"	"［1］貒{～子：獾}湍{～水头}［2］团-滔掏桃逃淘陶萄涛［3］讨［5］套"
"n"	"［2］铙脑-{头也}［3］暖-{~天：夏天}脑恼［5］闹"
"l"	"［2］劳捞牢唠痨［3］老［5］乱-涝烙骆酪"
"ts"	"［1］钻-遭糟朝朝夕召昭招沼诏［3］爪{～牙}早枣蚤澡藻找［5］钻-{～子}灶皂罩笊赵兆照"
"tsʰ"	"［1］爨{～子：烧水器具}操抄巢超［2］曹槽嘲钞朝朝代潮［3］草騲炒吵［5］躁糙造"
"s"	"［1］酸-骚臊梢捎稍烧［2］韶邵［3］扫{～地}嫂少{多～}绍［5］算-蒜扫{～帚}少{～年}"
"z"	"［2］饶挠-［3］扰绕{围～}"
"k"	"［1］官-{打～司，神~：男巫}棺-{~材}观-冠-{插在头上}高膏羔糕［3］管-{总～}馆-稿搞膏［5］贯-灌-罐-告冠-{鸡～子}"
"kʰ"	"［1］宽-［3］考烤款-{～～地：缓慢小心地}［5］拷靠犒"
"ŋ"	"［2］熬［3］祆［5］膏{～车}澳傲鏊奥懊"
"x"	"［1］欢-{～喜}蒿［2］耗豪壕毫嚎［3］好{～坏}［5］唤-{～客：延请宾客}和-{我～他}焕-换-孝{～衫}好{喜～}浩号{～码}"
"#uou"	""
"Ø"	"［1］豌-剜-［2］完-丸-［3］碗-腕-{手～子}［5］腕-{手脚扭伤}"
"#iou"	""
"p"	"［1］膘标彪［3］表"
"pʰ"	"［1］飘漂漂浮［2］瓢嫖［3］漂{～白}［5］票{车～}漂{～亮}"
"m"	"［2］苗描［3］藐渺秒杳［5］庙妙"
"t"	"［1］刁貂雕鸟{男阴}［5］钓吊掉钓藋调{～动}"
"tʰ"	"［1］挑{～选}［2］条调{～和}［3］挑{～战}［5］跳粜"
"n"	"［3］咬淆鸟{飞～}谬［5］尿"
"l"	"［2］燎{～原}疗聊辽撩寥僚嘹廖［3］燎{火～头发}了{～结}［5］瞭料尥"
"tɕ"	"［1］交郊胶教{使也，让也}狡焦蕉椒剿骄娇矫浇缴［3］绞铰搅侥［5］教{～书}校{～对}较窖觉{～来：醒来}噍轿叫"
"tɕʰ"	"［1］敲缲悄樵跷［2］瞧乔侨桥荞［3］巧［5］俏鞘窍"
"ɕ"	"［1］消宵霄硝销嚣萧箫［2］学-{教也，学也}［3］小晓［5］酵{～母}孝=效校{学～}笑"
"Ø"	"［1］妖邀腰要{～求}幺吆约-{～摸}［2］摇谣窑姚遥尧［3］舀［5］跃靿要{重～}耀鹞"
"#ʌŋ"	""
"p"	"［1］奔{～跑}锛崩绷=［3］本［5］迸={～发}奔{投～}笨蹦="
"pʰ"	"［1］喷={～泉}烹捧［2］棚=盆朋鹏彭膨蓬篷［5］喷{～嚏}"
"m"	"［1］蒙［2］门萌盟［3］猛=懵蠓［5］闷孟梦"
"t"	"［1］登灯［3］等［5］凳邓瞪澄"
"tʰ"	"［1］吞腾藤［2］誊疼腾{~开：让开}"
"n"	"［2］能"
"l"	"［2］棱［3］冷=［5］愣"
"ts"	"［1］蒸=争=睁=正={～月}针斟珍榛臻真诊疹曾{姓}增憎赠徵筝贞侦征［3］整=振震拯［5］正{公～}枕镇阵证症郑政"
"tsʰ"	"［1］称=惩撑逞［2］成=沉秦-陈尘娠辰晨臣曾{～经}层澄橙乘{～法}承丞橙呈程城=诚［3］蹭［5］秤=趁衬称={相～}"
