字	声	韵	调	注释
挺	th	iŋ	35	
定	d	ia ̃	13	白读
定	d	iŋ	13	文读
零	l	iŋ	13	
青	tsh	a ̃	44	~菜
青	tɕh	iŋ	52	文读
星	ɕ	iŋ	44	
经	tɕ	iŋ	52	
形	Ǿ	iŋ	13	
壁	p	ia	44	居~
壁	p	iɪʔ	5	墙~
劈	ph	iɪʔ	5	
踢	th	iɪʔ	5	
笛	d	iɪʔ	2	
历	l	iɪʔ	2	
锡	ɕ	iɪʔ	5	
击	tɕ	iɪʔ	5	
吃	tɕh	iɪʔ	5	小~
横	h	ua ̃	13	
划	h	uaʔ	5	
兄	ɕ	ia ̃	52	
荣	Ǿ	yuŋ	13	
永	Ǿ	yuŋ	52	
营	Ǿ	iŋ	13	
蓬	b	uŋ	13	
东	t	əŋ	44	又
东	t	uŋ	52	又
懂	t	uŋ	35	
冻	t	əŋ	52	又
冻	t	uŋ	52	又
通	th	uŋ	44	
桶	th	əŋ	35	又
桶	th	uŋ	35	又
痛	th	ia ̃	52	又
痛	th	uŋ	52	又
铜	d	əŋ	13	又
铜	d	uŋ	13	又
动	d	əŋ	13	
动	d	uŋ	13	
洞	d	uŋ	13	书面语
聋	l	uŋ	13	
弄	l	uŋ	13	又
弄	l	əŋ	52	又
粽	ts	əŋ	52	又
粽	ts	uŋ	52	又
葱	tsh	əŋ	44	
葱	tsh	uŋ	52	
送	s	əŋ	52	又
送	s	uŋ	52	又
公	k	əŋ	44	
公	k	uŋ	44	
孔	kh	uŋ	52	书面语
烘	h	əŋ	44	又
烘	h	uŋ	44	又
红	h	əŋ	13	又
红	h	uŋ	13	又
翁	Ǿ	uŋ	52	
木	m	oʔ	2	
读	th	aʔ	5	白读
读	d	oʔ	2	文读
鹿	l	oʔ	5	
族	z	oʔ	2	
谷	tsh	əu	52	
谷	k	oʔ	5	
哭	kh	oʔ	5	书面语
屋	Ǿ	oʔ	5	书面语
冬	t	əŋ	52	又
冬	t	uŋ	52	又
统	th	uŋ	52	
脓	n	uŋ	13	
松	s	uŋ	52	
宋	s	uŋ	52	
毒	t	aʔ	5	白读
毒	d	oʔ	2	文读
风	h	uŋ	44	
丰	f	əŋ	52	
凤	f	əŋ	13	
梦	m	əŋ	52	又
梦	m	ɔ ̃	13	又
中	tɕ	yuŋ	52	
虫	th	əŋ	13	白读
虫	dʑ	yuŋ	13	文读
终	tɕ	yuŋ	52	
充	tsh	uŋ	52	
宫	k	uŋ	52	
穷	dʑ	yuŋ	13	
熊	Ǿ	yuŋ	13	
雄	Ǿ	yuŋ	13	
福	h	oʔ	5	~气
福	f	oʔ	5	幸~
服	h	oʔ	5	~气
服	f	oʔ	2	口~
目	m	oʔ	2	
六	l	aʔ	5	
六	l	oʔ	2	
宿	s	oʔ	5	
竹	t	oʔ	5	
竹	dʑ	yoʔ	5	
畜	ɕ	yoʔ	5	
缩	s	oʔ	5	
粥	tɕ	yoʔ	5	
叔	ɕ	yoʔ	5	书面语
熟	ɕ	yoʔ	5	又
熟	ɕ	yoʔ	2	又
肉	ȵ	yoʔ	5	
菊	tɕ	yoʔ	5	
育	Ǿ	yoʔ	2	
封	h	uŋ	44	白读
封	f	əŋ	52	文读
蜂	h	uŋ	44	
蜂	f	əŋ	44	
缝	f	əŋ	13	书面语
浓	ȵ	yuŋ	13	
龙	l	uŋ	13	
松	s	uŋ	44	
重	d	əŋ	13	白读
重	dʑ	yuŋ	13	文读
肿	tɕ	yuŋ	35	
种	tɕ	yuŋ	52	
冲	tɕh	yuŋ	44	
恭	k	uŋ	52	
共	ɡ	uŋ	13	
凶	ɕ	yuŋ	44	
拥	Ǿ	yuŋ	52	
容	Ǿ	yuŋ	13	
用	Ǿ	yuŋ	13	
绿	l	əu	44	
绿	l	oʔ	2	
足	ts	oʔ	5	
烛	ts	əu	35	蜡~
烛	tɕ	yoʔ	35	
赎	z	oʔ	2	
属	z	oʔ	2	
曲	tɕh	yoʔ	5	
局	dʑ	yoʔ	2	
玉	ȵ	yoʔ	5	又
玉	ȵ	yoʔ	2	又
浴	Ǿ	yoʔ	5	
