#ɿ	
tsɿ1	之支芝枝1知1肢脂蜘豬咨滋貲資1指2{指甲}至3{夏至}制2{制服}子3嘴3
ẽ1	庵鵪菴
ẽ3	諳
ẽ5	暗
#iẽ	
piẽ1	蝙編鞭邊篦徧2{徧流四方}變2{改變}
piẽ3	扁匾
piẽ5	徧1{徧地流行}變1
pʰiẽ1	偏篇1片2
pʰiẽ5	片1騙篇2
biẽ2	辯2{辯別}
biẽ4	辨1{辨個清爽}
biẽ6	便辨2{辨别}辮辯1{辯論}
miẽ2	眠棉綿面2
miẽ4	免1勉1
miẽ6	免2勉2面1麵
tiẽ1	顚癲店2{店家}玷2{玷污}
tiẽ3	典點
tiẽ5	店1{店家}玷1{玷污}
tʰiẽ1	天添
tʰiẽ3	忝餂
diẽ2	鈿錢1田甜塡
diẽ6	電殿墊靛錢4
liẽ2	連蓮廉憐褳聯鎌簾鏈練3{熟練}
liẽ4	斂練2{諳練}
liẽ6	煉練1{練達}鍊
tsiẽ1	尖煎佔箭2{箭弝}僣
tsiẽ3	剪翦
tsiẽ5	箭1薦
tsʰiẽ1	千遷簽籤刋
tsʰiẽ3	淺
dziẽ2	前2{前世冤}錢3全4{兩版均ds聲母}泉2痊賤3
dziẽ6	漸賤1
siẽ1	仙先僊鮮1{新鮮}宣線2
siẽ3	洗2{洗浴}選鮮2{新鮮}
siẽ5	線1
ziẽ2	前1{前兩日}錢2全2泉1旋1{旋轉}賤2儘
ziẽ6	羨旋2{旋轉}
kiẽ1	堅
ciẽ1	肩間2{之間}監2{監督}艱見2{看見}
ciẽ3	檢繭簡2
ciẽ5	間4{間斷}見1{看見}建劍諫儉2{溫良恭儉讓}
cʰiẽ1	牽愆謙杴欠3
cʰiẽ3	欠2
cʰiẽ5	欠1
ɟiẽ2	虔掮鉗件3{案件}
ɟiẽ4	件1{量詞}
ɟiẽ6	儉1{省儉}件2{量詞}健
ɲiẽ2	拈年黏硏嚴2{威嚴}粘捻3碾
ɲiẽ4	染1
ɲiẽ6	捻2硯諺驗
ɕiẽ3	險顯1晱{㬦晱，表示“閃電”}顯{爀顯，表示“閃電”}
ɕiẽ5	顯2獻
ɦiẽ2	嫌{原作“慊”}弦絃賢焉醃2{當是“鹽”}閹延1言1沿筵1簷鹽限4{嘸限量}胭烟2淹厭2{討厭}
ɦiẽ4	偃現2掩冶
ɦiẽ6	嫌限2{有限}現1宴厭1燄1咽2{咽喉}
iẽ1	烟1醃1{醃肉}延2{躭延}言2筵2
iẽ3	燕2衍
iẽ5	咽1燕1
#uẽ	
kuẽ1	官棺觀灌{原作“貫”}罐2{罐頭}
kuẽ3	管館
kuẽ5	冠1{李下不整冠}灌1罐1{罐頭}
kʰuẽ1	寬欵2{欵待}盔2{盔甲}
kʰuẽ3	欵1{欵待}
guẽ6	灌3
huẽ1	歡
huẽ5	煥
ɦuẽ2	桓丸完1腕緩3{緩決}宛碗3
ɦuẽ4	緩1碗4
ɦuẽ6	緩2{緩急}換1{調換}
uẽ1	剜完2碗2
uẽ3	碗1
uẽ5	換2
#yẽ	
cʰyẽ1	圈2
yẽ1	懸2圓2
#ʮẽ	
sʮẽ1	酸3
#ø̃	
tø̃1	端2撣2{原作“摣”}
ɗø̃1	端1
tø̃3	撣1{原作“摣”}短2{長短}
ɗø̃3	短1{長短}
tø̃5	煅斷5{決斷}
ɗø̃5	斷4
dø̃2	團段2斷3{斷絕}
dø̃4	斷1{斷絕}
dø̃6	段1{一段}緞斷2{斷氣}
nø̃2	囝1{小囝；今俗作“囡”}
nø̃4	囝2{小囝；今俗作“囡”}暖
lø̃2	婪2{貪婪}亂3{撓亂}
lø̃6	亂1
tsʰø̃1	餐2{聖餐}攛
tsʰø̃5	竄
sø̃5	算1
kø̃1	杆1干1{相干}乾1{揩乾}
kø̃3	赶1{趕勿上}
kʰø̃1	看2{看門}看3
kʰø̃5	看1{看書}
hø̃1	蝦
hø̃3	罕
hø̃5	捍漢
ŋø̃6	岸1
ɦø̃2	寒1{寒門}
ɦø̃6	汗旱釬
ø̃1	安1{安分}鞍按2{按察}
ø̃3	安2{安穩}寒2{寒熱}
ø̃5	按1{按察司}案岸2
#ʏ̃	
lʏ̃6	亂2{淫亂}
tsʏ̃1	鑽1攢
tsʏ̃5	鑽2{咨鑽}醉2{吃醉酒者}
tsʰʏ̃5	脆2{釋義爲“brittle”}
sʏ̃1	酸1算3{勿算}
sʏ̃5	蒜算2酸2
kʏ̃1	杆2肝竿1干2{勿干事}干{獨一干}杆{孛相杆}乾2{揩乾}赶3{赶出}幹2{能幹}
kʏ̃3	赶2{赶出}
kʏ̃5	幹1{能幹}竿2{竹竿}慣2{作慣}
#iø̃	
ciø̃1	捐1蠲
ciø̃3	卷1
ciø̃5	卷2{卷軸}眷絹捐2
cʰiø̃1	圈1犬2{小犬}勸2{解勸}
cʰiø̃3	犬1{小犬}
cʰiø̃5	勸1
ɟiø̃2	拳權
ɟiø̃6	倦
ɲiø̃2	芫元1原1源
ɲiø̃4	軟原3
ɲiø̃6	願
ɕiø̃1	喧
ɦiø̃2	園1圓1
ɦiø̃4	遠
ɦiø̃6	縣1院1
iø̃1	冤懸1元2袁原2員園2緣轅院2
iø̃5	怨縣2{知縣}院3
#ɑŋ	
pɑŋ1	浜{擬聲詞，兵兵浜浜}
bɑŋ2	朋1棚硼𨅘{硬𨅘𨅘}甏3旁2{肋旁骨}碰2{碰巧}
bɑŋ6	甏1甏{聾甏，表“聾子”}碰1
fɑŋ1	方2
mɑŋ1	猫1
mɑŋ4	繃{表示“密”}
tɑŋ3	打1{打開}
tɑŋ5	打2{打開}
dɑŋ6	宕1
lɑŋ2	冷2{冷落}
lɑŋ4	冷1
tsɑŋ1	章1張彰爭1漲3{水漲}
tsɑŋ3	長2{長輩}掌漲1{漲溢}
tsɑŋ5	長3{增長}漲2{烏痧漲，即霍亂}帳脹賬仗2
tsʰɑŋ1	昌娼撐鐣
tsʰɑŋ5	暢
dzɑŋ2	長1{長短}常場腸嘗丈4{丈人}
dzɑŋ4	丈2杖1
dzɑŋ6	丈3{丈人}仗1杖2
sɑŋ1	生1牲甥聲1省3{省用}
sɑŋ3	省1
zɑŋ2	嚷2{鬧嚷嚷}上8{上帝}
zɑŋ4	嚷1{鬧嚷嚷}上3{上帝}
zɑŋ6	讓3上4{上帝}尙2{尚且}丈1{長度單位}
kɑŋ1	庚羹更1{更改}
kɑŋ3	梗
kʰɑŋ1	坑
hɑŋ1	哼行{那行能，表示“怎樣”}
ŋɑŋ6	硬
ɦɑŋ2	行3{行爲}
ɦɑŋ4	杏
ɦɑŋ6	項
ɑŋ1	櫻1鸚
#iɑŋ	
liɑŋ2	良涼梁粱樑糧1{錢糧}量1
liɑŋ4	兩
liɑŋ6	亮量3{力量}諒糧2{錢糧}量2
tsiɑŋ1	將1漿1{石灰漿}
tsiɑŋ3	槳1獎
tsiɑŋ5	將2{將官}醬漿2槳2
tsʰiɑŋ1	鎗搶{搶水，表示“混合”義}
tsʰiɑŋ3	搶
dziɑŋ2	墻2檣1祥2{勿吉祥}
dziɑŋ6	匠2{木匠}
siɑŋ1	相1廂湘箱鑲
siɑŋ3	想1
siɑŋ5	相2想2橡
ziɑŋ2	墻1薔檣2祥1{吉祥}詳
ziɑŋ4	象1像1
ziɑŋ6	匠1{木匠}象2像2
ciɑŋ1	江2{江山}姜薑韁降{{虹}}
ciɑŋ3	講2{講經}江4
ciɑŋ5	降3{降生}
cʰiɑŋ1	强{强取}
cʰiɑŋ3	強2{勉強}
ɟiɑŋ2	賤強1{強盜}
çiɑŋ3	享
ɲiɑŋ2	娘1{娘娘}
ɲiɑŋ4	讓1仰娘2{娘娘aunt}
ɲiɑŋ6	釀讓2
ɕiɑŋ1	香鄕向2{裏向}
ɕiɑŋ3	響餉
ɕiɑŋ5	向1{裏向}
ɦiɑŋ2	羊佯1{假佯頭}洋1烊1揚1陽1
ɦiɑŋ6	養1樣1
iɑŋ1	殃行5{頒行於世}洋2烊2陽2揚2楊養4樣3
iɑŋ3	養2癢
iɑŋ5	洋3烊3養3樣2
#uɑŋ	
ɦuɑŋ2	橫1{橫做豎做}隍
#ʌŋ	
bʌŋ2	朋2
mʌŋ2	萌盟猛3{凶猛}
mʌŋ4	猛1{猛如虎}
mʌŋ6	猛2{勇猛}
tʌŋ1	登{登基}登{表示“居住”}燈鐙墩燉東3{東西南北中}等2{等一歇}凳2{板凳}
tʌŋ3	等1{等待}
tʌŋ5	凳1{板凳}頓凍2{冰凍}
tʰʌŋ1	呑2
tʰʌŋ3	汆
dʌŋ2	謄藤籐屯
dʌŋ6	鈍2
nʌŋ2	能1{那能}
nʌŋ6	嫩1{嫩黃}能2{那能辦法}
lʌŋ2	輪2{輪流}
lʌŋ6	論2{勿論}
tsʌŋ1	增憎貞針2斟2征爭2蒸尊2正2{正夫人}政2中4{當中}
tsʌŋ3	拯1整1
tsʌŋ5	拯2整2正1政1症証證
tsʰʌŋ1	稱1{稱讚}春2
tsʰʌŋ5	趁襯稱2{相稱}秤
dzʌŋ2	成3{成功}丞承2{奉承}城2{進城}乘2{釋義爲“avail {one's self of}”}程誠2{誠心}剩2{餘剩錢物}
sʌŋ1	參2{人參}僧身2{赤身}升生2聲2猻勝2{得勝}
sʌŋ3	損2
sʌŋ5	勝1聖
zʌŋ2	曾層沉2{沉殺}塵1{烟塵}成1{成功}呈承1{承認}城1{進城}乘1{相乘}誠1{誠心}仍繩盛1{盛滿}剩3{剩頭}
zʌŋ6	任4{任用}愼2盛2{茂盛}剩1{剩下來}
kʌŋ1	耕更3{更遠}
kʌŋ5	更2{更加}
kʰʌŋ1	肯2
kʰʌŋ3	肯1綑2{綑綁}
hʌŋ1	亨
ɦʌŋ2	恒
ɦʌŋ6	恨2
ʌŋ1	恩2{恩典}
#iʌŋ	
ciʌŋ1	矜襟2{襟頭}京荆1{荆棘}經驚1{驚嚇}儆頸2{頸骨}徑2{直徑}境2{國度境界}
ciʌŋ3	謹2{謹愼}景頸1{頸骨}境1{對境}驚2{驚醒}
ciʌŋ5	徑1{半徑}竟敬鏡荆2{荆條編}
cʰiʌŋ1	輕欽2慶2{慶賀}磬
cʰiʌŋ5	慶1
ɟiʌŋ2	鯨勤2擎
ɟiʌŋ4	近2{附近}
ɟiʌŋ6	競
ɲiʌŋ2	寧凝人2任1{任憑}銀2迎擰
ɲiʌŋ6	認2{認真}
ɕiʌŋ1	興1{興旺}兄2興{擬聲詞，興興夯夯，表示喘氣聲}
ɕiʌŋ5	興2{高興}
ɦiʌŋ2	行2{盡行勿好}形1{形狀}營1贏1因3{因爲}陰3{陰涼棚}
ɦiʌŋ4	倖1引2{引線}
ɦiʌŋ5	印3
ɦiʌŋ6	倖2贏2應3{呌勿應}
iʌŋ1	因2{因爲}音陰2{陰涼}英嬰罌纓鷹癭應1{應該}刑容4{容易}行6{步行}形2{形像}淫2{姦淫}盈營2蠅贏3{輸贏}
iʌŋ3	隱2{隱隱然}影永3{永生}
iʌŋ5	印2{印花布}應2{照應}行7{品行}形3{有形有象}幸因4{因此}
#uʌŋ	
kʰuʌŋ5	睏2{睏醒}
ɦuʌŋ2	魂
uʌŋ3	穩2{安穩}
#ʌn	
pʌn1	本2{翻本}
pʌn3	本1{曆本}
pʰʌn1	噴
bʌn2	盆
bʌn6	笨
fʌn1	分1{分別}吩紛粉2{麵粉}忿{忿怒}
fʌn3	粉1{麵粉}奮1
fʌn5	奮2糞
vʌn2	焚墳文紋聞分3{過分}問3
vʌn6	分2{過分}問2
mʌn2	門們蚊悶2{發悶}
mʌn6	悶1{氣悶}問1
tʰʌn1	呑1
dʌn2	沌{混沌}
dʌn6	鈍1
nʌn4	嫩2
lʌn2	倫圇淪輪1{火輪船}論3{論千論萬}
lʌn6	論1{勿論}輪3{輪到}
tsʌn1	珍針1眞斟1箴疹1尊1遵榫{鐵榫，木榫}震3
tsʌn3	枕疹2震1准1准2
tsʌn5	震2鎭尊3
tsʰʌn1	春1蠢村1{村莊}寸2{方寸}
tsʰʌn5	寸1{尺寸}村2{村莊}
dzʌn2	臣2{臣子}辰2{日月星辰}沉1{沉殺}陳蔯塵2{蓬塵}純存
dzʌn6	陣
sʌn1	參1{海參}申伸身1{出身}深紳嬸孫
sʌn3	審笋損1
sʌn5	沈遜
zʌn2	臣1{君君臣臣}辰1{辰光}成2唇鶉人3仁2{仁義道德}任2{任憑}神忍4愼3
zʌn6	忍3任3{留任}潤甚腎愼1順
kʌn1	根跟
kʰʌn1	懇2{懇切}困2{圍困}
kʰʌn3	懇1{懇切}捆
hʌn3	狠
hʌn5	恨4{悔恨}
ɦʌn2	痕1{傷痕}
ɦʌn6	痕2{傷痕}
ʌn1	恩1{恩典}
ʌn3	混2{混雜}
#iʌn	
ciʌn1	巾斤今金筋襟1{衣裳襟}謹3{勤謹做事體plod}禁2{牢頭禁子}君2
ciʌn3	僅1{僅彀，釋義爲“scarcely {enough}”}緊謹1{謹愼}
ciʌn5	禁1
cʰiʌn1	欽1
ɟiʌn2	芹琴棼禽擒勤1{慇懃}近4{淺近}裙2{紆裙}
ɟiʌn4	近1勤3{懃勞}
ɟiʌn6	近3{附近}僅2{僅彀，釋義爲“sufficient {barely}”}
ɲiʌn2	人1仁1{杏仁}銀1認3{勿認}閏
ɲiʌn4	人4忍1
ɲiʌn6	忍2認1{勿認}人5
ɦiʌn4	引1{引誘}
iʌn1	因1{因果}茵姻陰1{陰陽}慇淫1{邪淫}寅
iʌn3	隱1{隱藏}允2
iʌn5	印1
#uʌn	
kuʌn1	棍2{光棍}
kuʌn3	滾棍1{棍子}
kʰuʌn1	昆崑
kʰuʌn3	綑1
kʰuʌn5	困1{困乏}睏1
huʌn1	昏惛婚渾2
huʌn3	混1{混雜}
ɦuʌn2	渾1
uʌn1	溫瘟穩3{穩當}
uʌn3	穩1
uʌn5	揾
#iŋ	
piŋ1	賓檳殯冰兵兵{擬聲詞，兵兵浜浜}
piŋ3	柄1{話柄}稟餅幷倂
piŋ5	柄2{話柄}屛2{屛除，當是“摒”字}
pʰiŋ1	拚1{拚命}品2{品行}
pʰiŋ3	品1拚2{拚命}
pʰiŋ5	聘
biŋ2	貧牝平苹瓶萍屛1{屛風}甁憑病2{熱病}
biŋ6	並病1{瘧子病}
miŋ2	民名明鳴命2{算命先生}
miŋ4	皿黽
miŋ6	命1{算命}
tiŋ1	丁丁擬聲詞叮釘1{鐵釘}頂2{頂小，表示“最小”}
tiŋ3	頂1{頂好，表示“最好”}鼎
tiŋ5	釘2{釘牢}訂
tʰiŋ1	聽1廳艇
tʰiŋ5	聽2
diŋ2	亭庭停定2{勿定}錠2{紙錠元寶}
diŋ6	定1{一定}錠1{紙錠元寶}
liŋ2	林淋隣臨鱗廩伶苓玲凌翎零鈴綾靈1{靈性}領2{收領}令2{令尊}吝2{吝惜}
liŋ4	靈2{靈性}領1{受領}嶺
liŋ6	吝1{吝惜}另令1{命令}
tsiŋ1	旌精晶睛
tsiŋ1	浸2
tsiŋ3	井
tsiŋ5	浸1進縉
tsʰiŋ1	親侵靑淸
tsʰiŋ3	請
dziŋ2	秦情2循2尋2
dziŋ4	盡1
dziŋ6	盡3{盡心竭力}靜3{僻靜}情3{情願}
siŋ1	心芯辛新2星信2{失信}姓2
siŋ3	省2{省察}醒1迅1
siŋ5	信1醒2性姓1迅2訊2
ziŋ2	情1晴旬巡循1尋1淨3{淨浴}
ziŋ4	淨1{乾淨}靖1靜1{安靜}
ziŋ6	盡2{盡心}淨2{乾淨}靖2靜2{安靜}
iŋ1	櫻2
#in	
sin1	新1
sin5	訊1
#yn	
cyn1	均君1軍菌
ɟyn2	裙1群
ɟyn6	郡
çyn1	熏1{原作“燻”}訓3{家訓}
çyn5	訓2
ɕyn1	熏2
ɕyn5	訓1{敎訓}
ɦyn2	雲
ɦyn6	運1
yn1	云勻芸耘運3
yn3	允1
yn5	暈孕運2韻
#ɒŋ	
pɒŋ1	邦幫1{帮助}
pɒŋ3	綁榜膀2{臂膀}謗1髈
pɒŋ5	謗2
bɒŋ2	膀1{膀胱}防1{防備}旁1{旁邊}棒2{杖阿棒，釋義爲“staff”}
bɒŋ6	蚌棒1{靠棒，釋義爲“reliance {that on which we rely}”}
fɒŋ1	方1{地方}妨仿放2
fɒŋ3	紡訪
fɒŋ5	放1{放心}
vɒŋ2	防2房1{房子}亡2妄2忘3
vɒŋ6	妄1忘2望2
mɒŋ2	忙茫鋩亡1
mɒŋ4	蟒網
mɒŋ6	夢1忘1望1
tɒŋ1	當1{當中}鐺擋3{抵擋}
tɒŋ3	擋1{阻擋}黨攩懂3
tɒŋ5	當2{典當}擋2{抵擋}檔
tʰɒŋ1	湯通3
tʰɒŋ3	倘趟
tʰɒŋ5	趟燙
dɒŋ2	蕩{蕩搭，表示“這裏”}唐1堂塘膛糖螳
dɒŋ4	蕩2
dɒŋ6	宕2蕩1{放蕩}
nɒŋ2	囊
lɒŋ2	郞狼桹廊榔1{檳榔}鋃{擬聲詞，鎟鋃鎟鋃}蜋浪2{浪費}上7{地上}
lɒŋ4	榔2{榔頭}上1{船上}
lɒŋ6	朗浪1{浪費}晾上2{世界上}
tsɒŋ1	章2樟庄粧1裝樁葬2壯2
tsɒŋ3	粧2
tsɒŋ5	葬1壯1
tsʰɒŋ1	倉蒼艙窗瘡1{毒瘡}唱2{唱戱個}創2{創造}
tsʰɒŋ5	唱1{唱喏}創1{創造}瘡2{毒瘡}
dzɒŋ2	藏2{藏頭露尾}償2{償還}
dzɒŋ6	撞2
sɒŋ1	桑喪1{喪事}鎟{擬聲詞，鎟鋃鎟鋃}商傷霜雙孀爽2
sɒŋ3	賞爽1
sɒŋ5	喪2{喪脫，表示“{東西}丟了”}
zɒŋ2	藏1償1{償還}床1{旋床}裳爽{爽歇，釋義爲“after a little time”}上9{上等}尙3{和尙}臟2狀2
zɒŋ4	上5{上頭}
zɒŋ6	上6{上山}尙1{和尙}臟1狀1撞1床2{旋床}
kɒŋ1	缸剛綱鋼杠江1扛公3{相公}降4{降伏}
kɒŋ3	講1{講究}江3
kɒŋ5	降2{降下來}
kʰɒŋ1	糠筐
kʰɒŋ5	抗囥
hɒŋ1	夯{擬聲詞，興興夯夯，表示喘氣聲}
ɦɒŋ2	杭降1{投降}行1{修行}
ɦɒŋ6	巷
ɒŋ1	行4{行情}
#iɒŋ	
ɦiɒŋ6	旺1
#uɒŋ	
kuɒŋ1	光1{辰光}胱廣2{廣東綢}
kuɒŋ3	廣1{廣東}晃{亮晃晃}
kuɒŋ5	光2{辰光}
kʰuɒŋ3	誆壙
guɒŋ2	狂
huɒŋ1	荒慌恍謊
huɒŋ3	況2{況且}
huɒŋ5	況1{況且}
ɦuɒŋ2	房2{房子}橫2{橫白豎眼}皇凰1{鳳凰}黃1煌璜蝗磺王
ɦuɒŋ4	往1
ɦuɒŋ6	旺2{興旺}凰2{鳳凰}
uɒŋ1	汪黃2{黃道}
uɒŋ3	枉往2
uɒŋ5	旺3{興旺}
#oŋ	
poŋ1	幫{帮助}
boŋ2	篷1
foŋ1	封1風1{風俗}鋒1豐1俸2{俸祿}
voŋ2	縫1{裁縫}鳳2{鳳凰}
voŋ4	奉1
moŋ2	蒙1{心地蒙昧}
moŋ6	夢2
toŋ1	冬1冬擬聲詞{丁冬丁冬}東1{東面}
toŋ3	董1懂1
tʰoŋ1	通1
tʰoŋ3	統1
tʰoŋ5	痛
doŋ2	洞{暗洞洞}同1桐1銅1筒1筒{暖筒筒}唐2{唐詩}
doŋ4	洞1{洞庭山}動1{勿動}桶1
doŋ6	動3{跑得動}
noŋ6	儂1農2{士農工商}
loŋ2	龍1籠1瓏
loŋ4	攏1籠3
loŋ6	衖1弄1
tsoŋ1	中1{當中}忠1{忠厚}終1{臨終}鐘1宗1棕蹤1
tsoŋ3	種1{種子}總1
tsoŋ5	種3{種花}衆1總3
tsʰoŋ1	銃{坍銃，表示“丟臉”}囪{原作“冲”}聰1{聰明}
tsʰoŋ3	𥅻
dzoŋ2	蟲1從3{從前}重2{重疊}
dzoŋ4	重5
dzoŋ6	重7{敬重}
soŋ1	松1{松樹}淞鬆1
soŋ5	送1
zoŋ2	從1重1
zoŋ6	訟1
koŋ1	工1{工人}公1{相公}功1{成功}攻1宮2珙{神珙}
koŋ5	功3{成功}
kʰoŋ1	空2{空活虛字}
kʰoŋ3	孔恐1
goŋ6	共1
hoŋ5	哄1
ɦoŋ2	弘1紅1
#ioŋ	
cioŋ1	宮1
ɟioŋ2	窮1
ɲioŋ2	濃1{濃黑}
ɦioŋ2	容1{容易}榮雄1
#uŋ	
buŋ2	蓬篷2
fuŋ1	封2風2{風俗}峯楓蜂瘋鋒2豐2蠭俸3{罰俸}
fuŋ3	捧奉3{奉獻}
fuŋ5	諷俸1{俸祿}
vuŋ2	逢縫2{裁縫}
vuŋ6	縫3{橫縫}奉2{奉承}鳳1{鳳凰}
muŋ2	蒙2{蒙恩}朦
tuŋ1	冬2東2{東方}
tuŋ3	董2懂2
tuŋ5	凍1
tʰuŋ1	通2蓪
tʰuŋ3	統2
duŋ2	同2桐2童銅2筒2動5{勿動干戈}
duŋ4	動2桶2
duŋ6	洞2{山洞}動4慟
nuŋ2	農1{農事}濃2{濃茶}膿儂3
nuŋ6	儂2
luŋ2	隆龍2{龍華塔}嚨礱{礱糠}籠2聾攏3{盤攏}弄3{弄直}
luŋ4	攏2
luŋ6	衖2弄2
tsuŋ1	中2{中國}忠2{忠厚}終2{善終}鍾鐘2宗2蹤2總4{總督}種5{種田}
tsuŋ3	腫種2{種子}總2
tsuŋ5	中3{中意}種4{種花}衆2縱蹤3
tsʰuŋ1	充舂2衝葱聰2{聰明}從5{從容}
tsʰuŋ3	寵
tsʰuŋ5	銃
dzuŋ2	蟲2從4{聽從}重3{重生}
dzuŋ4	重6
dzuŋ6	重8{敬重}
suŋ1	舂1松2鬆2
suŋ5	送2
zuŋ2	從2
zuŋ6	訟2頌重4{尊重}
kuŋ1	工2{工夫}弓公2{公道}功2{功勞}攻2供恭{恭喜恭喜}蚣宮3拱
kuŋ5	貢
kʰuŋ1	空3控
kʰuŋ3	恐2{恐怕}
kʰuŋ5	空1{空閒}
guŋ6	共2
huŋ1	烘1轟
huŋ5	哄2烘2
ɦuŋ2	弘2宏虹洪紅2
uŋ1	翁
uŋ5	甕
#iuŋ	
cʰiuŋ1	穹
ɟiuŋ2	窮2
ɲiuŋ2	絨
ɕiuŋ1	兄1兇胸
ɦiuŋ1	酗
ɦiuŋ2	容2{容易}
ɦiuŋ4	永1{永遠}
ɦiuŋ6	用1
iuŋ1	擁容3{容易}榕鎔雄2熊熒
iuŋ3	勇永2{永遠}
iuŋ5	用2
#æʔ	
pæʔ7	八叭捌
bæʔ8	拔鈸
fæʔ7	發法髮拂
væʔ8	乏伐罰
mæʔ8	襪
tæʔ7	搭2{第搭，表示“這裏”}褡答1{報答}靼塔{一塔括子}達2{通文達理}踏2
ɗæʔ7	搭1{第搭，表示“這裏”}瘩
tʰæʔ7	塌塔1獺搨澾{滑澾澾}蹋
dæʔ8	達1{練達}踏1
næʔ8	納1{瓜田不納履}捺
læʔ8	垃3{當是“邋”}喇辣臘{擬聲詞，刮臘刮臘}蠟攔裂2{豁裂}
tsæʔ7	紥窄責3{責備}
tsʰæʔ7	揷察剳
dzæʔ8	雜2{雜貨}
sæʔ7	撒1薩殺煞鑠
zæʔ8	雜1{雜貨}閘煠着5{全關着}
kæʔ7	隔4間{間壁}夾1袷頰甲1
kʰæʔ7	恰2{恰恰到}
gæʔ8	俠{擠咾俠，釋義爲“throng {to}”}挾拮{擠咾拮，釋義爲“press {upon}”}
hæʔ7	恰1{恰好}
hæʔ7	瞎
ɦæʔ8	匣狹1恰3{恰得}
æʔ7	阿2{阿哥}押鴨壓1狹2轄1
#iæʔ	
ciæʔ7	夾2{眼夾毛}甲2
ɲiæʔ8	捏
ɦiæʔ8	洽約3{沈約}
iæʔ7	壓2狹3轄2
#uæʔ	
kuæʔ7	刮刮{擬聲詞，刮臘刮臘}括
guæʔ8	刮{刮法子，釋義爲“machinery”}
huæʔ7	豁甩
ɦuæʔ8	滑1{滑澾澾}
uæʔ7	挖滑2{滑車}
#ɑk	
pɑk7	百1{百姓}
bɑk8	白1{白手求財}
mɑk8	脈1麥1{麥穗頭}陌驀目1
tsɑk7	隻2
tsʰɑk7	拆1{拆開來}尺1{尺巴，即“尺把”}
dzɑk8	射2{射角}
sɑk7	濕1
zɑk8	若1石1{磁石}着1{尋着之}
kɑk7	革1{革脫}格1{格子}隔1{隔之兩日}
kʰɑk7	客1{客氣}
hɑk7	嚇1{嚇殺}
ŋɑk8	額1{額角頭}
#iɑk	
liɑk8	略1{畧些}
siɑk7	削1{削指甲}
ciɑk7	角4脚1{脚夫}
iɑk7	約1{約百錢}藥2{藥性}
#ɑʔ	
pɑʔ7	百2{一百}柏伯1{伯伯}
pʰɑʔ7	拍珀魄
bɑʔ8	白2{明白}帛
mɑʔ8	脈2麥2摸1{約摸}目2{數目}
tʰɑʔ7	塔2
lɑʔ8	垃2{垃圾}
tsɑʔ7	責1{責備}仄1着4{着衣裳}隻1酌1{斟酌}
tsʰɑʔ7	冊策拆2{拆開來}尺2{量詞}赤1{赤膊}柵2{柵欄}
dzɑʔ8	宅着3{着冷}
sɑʔ7	撒{表示“眨眼”}濕2閂1柵1{櫊柵}
zɑʔ8	杓1{執杓，釋義爲“ladle”}若2弱射1{射角，釋義爲“across”}石2{寶石}着2{尋得着}灼
kɑʔ7	革2{革脫}格2{格子}隔2{隔之兩日}脚3
kʰɑʔ7	客2{客人}
hɑʔ7	嚇2{嚇昏}
ŋɑʔ8	額2{匾額}
#iɑʔ	
liɑʔ8	掠略2{大略}
tsiɑʔ7	爵雀2
tsʰiɑʔ7	雀1鵲
siɑʔ7	削2{削平}
ziɑʔ8	嚼
ciɑʔ7	脚2
cʰiɑʔ7	却卻確2
ɲiɑʔ8	虐
ɦiɑʔ8	學3{博學}藥1{毒藥}
iɑʔ7	喲2{語氣詞，是喲}約2{約畧}學4{博學}鑰籲樂4{音樂}
#uɑʔ	
kuɑʔ7	□{kuɑʔ7開，表示“裂開”}
ɦuɑʔ8	劃畫3{畫字號}
#ɒk	
bɒk8	薄1
mɒk8	木3目3
tʰɒk7	托1
dɒk8	度1{測度}
lɒk8	落1{落水}樂1
tsɒk7	作1{作主}
tsʰɒk7	齪2{齷齪}
zɒk8	杓2若3射3{射箭}屬1鑿昨1{昨日}
kɒk7	各1{各處}角1{射角}覺2{覺着}
hɒk7	㬦1{爀顯，表示“閃電”}
ŋɒk8	瘧1{瘧子病}岳
ɦɒk8	學1{學生子}
ɒk7	惡1{兇惡}齷1{齷齪}
#uɒk	
kuɒk7	槨
#ɒʔ	
pɒʔ7	膊北2
bɒʔ8	薄2{淡薄}箔2
mɒʔ8	膜1{隔膜}目4牧1{牧羊}
tɒʔ7	厾督2{提督}
tʰɒʔ7	禿3{全稱量詞，表示“都”}托2託
dɒʔ8	度2{測度}凙
lɒʔ8	駱烙鹿2{鹿角}落2{落雨}絡樂2{快樂}祿2{福祿壽}
tsɒʔ7	砟捉桌酌2{斟酌}啄作2{木作}
tsʰɒʔ7	齪1{齷齪}
dzɒʔ8	昨3{昨日}
sɒʔ7	索1{勒索}縮3{縮短}
zɒʔ8	杓3{執杓，釋義爲“spoon”}勺射4{射着}濁1鐲昨2{昨日}
kɒʔ7	擱閣櫊各2{各處}角2{角落頭}覺3{覺着}
kʰɒʔ7	殼1確1
hɒʔ7	㬦2{㬦晱，表示“閃電”}學3
ŋɒʔ8	軛鶴瘧2{瘧子}鰲額3{匾額}
ɦɒʔ8	學2{學習}
ɒʔ7	惡2{惡事}齷2{齷齪}屋3
#uɒʔ	
kuɒʔ7	國5
