"来源：鲍厚星.湖南邵阳方言音系[J].方言,1989(3):196-207."						
"轉錄者：DaiDzao"						
"拼音"	"IPA"	"調號"	"調值"	"單字"		"1阴平55，2阳平12，3上声42，5阴去35，6阳去24，7入声33"
	"mai"	2	12	"埋"		
	"mai"	3	42	"买"		
	"mai"	5	35	"卖迈"		
	"vai"	2	12	"怀槐淮"		
	"vai"	6	24	"坏"		
	"tai"	3	42	"呆[书~子]"		
	"tai"	5	35	"戴带"		
	"tʰai"	1	55	"胎苔[舌~]"		
	"tʰai"	3	42	"~[没精打采地走路]"		
	"tʰai"	6	24	"太态泰"		
	"dai"	2	12	"台抬"		
	"dai"	6	24	"代贷袋待怠"		
	"nai"	1	55	"奶[~~:祖母]"		
	"nai"	2	12	"来"		
	"nai"	3	42	"乃奶[吃~]"		
	"nai"	5	35	"耐奈赖癞㸊[烫]"		
	"tsai"	1	55	"灾栽斋"		
	"tsai"	3	42	"宰崽[儿子]"		
	"tsai"	5	35	"再债载[年~,~重,满~]"		
	"tsʰai"	1	55	"钗差[出~]"		
	"tsʰai"	3	42	"彩采"		
	"tsʰai"	6	24	"菜蔡"		
	"dzai"	2	12	"才材财裁豺柴"		
	"dzai"	6	24	"在寨"		
	"sai"	1	55	"腮鳃筛"		
	"sai"	5	35	"赛晒"		
	"kai"	1	55	"该皆阶街"		
	"kai"	3	42	"改解[了~,~开]"		
	"kai"	5	35	"盖丐介界芥疥届戒械"		
	"kʰai"	1	55	"开楷"		
	"kʰai"	3	42	"楷凯"		
	"kʰai"	6	24	"概慨溉"		
	"ŋai"	1	55	"哀埃[~及]挨[~近]"		
	"ŋai"	2	12	"呆[~板]崖捱[~打]"		
	"ŋai"	3	42	"埃[尘~]蔼"		
	"ŋai"	5	35	"矮"		
	"ŋai"	5	35	"碍艾爱隘"		
	"xai"	3	42	"海"		
	"ɣai"	2	12	"孩鞋谐还[~有]"		
	"ɣai"	6	24	"害亥蟹=懈"		
	"tsuai"	1	55	"锥栽[~叻下来]"		
	"suai"	1	55	"衰"		
	"suai"	3	42	"洒摔"		
	"suai"	5	35	"帅"		
	"kuai"	1	55	"乖[卖~]"		
	"kuai"	3	42	"拐乖[好~~]"		
	"kuai"	5	35	"怪"		
	"kʰuai"	3	42	"傀块会[~计]刽"		
	"kʰuai"	6	24	"桧"		
	"uai"	1	55	"歪"		
	"uai"	5	35	"外"		
	"pei"	1	55	"杯悲卑碑"		
	"pei"	5	35	"辈背"		
	"pʰei"	1	55	"胚坯[土~]丕"		
	"pʰei"	3	42	"呸"		
	"pʰei"	6	24	"配佩"		
	"bei"	2	12	"培陪赔裴"		
	"bei"	6	24	"倍背[~诵]焙[~干]"		
	"mei"	1	55	"痗[没精神的样子]"		
	"mei"	2	12	"梅枚媒煤"		
	"mei"	3	42	"每美"		
	"mei"	5	35	"妹昧"		
	"fei"	1	55	"灰恢非飞妃挥辉徽麾"		
	"fei"	3	42	"匪贿吠毁翡"		
	"fei"	5	35	"废肺慧费讳悔晦痱"		
	"vei"	2	12	"回茵肥微薇危桅违围唯惟维为[行~]"		
	"vei"	6	24	"汇惠未味会[开~,不~]绘"		
	"nei"	1	55	"纍[~壮:很壮]"		
	"tuei"	1	55	"堆"		
	"tuei"	5	35	"对碓"		
	"tʰuei"	1	55	"推"		
	"tʰuei"	3	42	"腿"		
	"tʰuei"	6	24	"退蜕褪"		
	"duei"	6	24	"队兑"		
	"luei"	2	12	"雷"		
	"luei"	3	42	"累[~积]儡垒"		
	"luei"	5	35	"内类泪累[极困]"		
	"tsuei"	1	55	"追"		
	"tsuei"	3	42	"嘴"		
