精	開	四	齊	上	精	蟹	濟		ts	ɐi	213	ts	ɐi	21	ts	ɐi	21	人才濟濟
精	開	四	齊	去	精	蟹	濟		ts	ɐi	33	ts	ɐi	33	ts	ɐi	22	救濟
心	開	四	齊	上	精	蟹	洗		s	ɐi	213	s	ɐi	21	s	ɐi	21	
並	開	四	齊	上	幫	蟹	陛		p	ɐi	33	p	ɐi	33	p	ɐi	22	
明	開	四	齊	上	幫	蟹	米		m	ɐi	213	m	ɐi	21	m	ɐi	21	
							米		m	ɐi	55	m	ɐi	45	m	ɐi	55	一米
端	開	四	齊	去	端	蟹	帝		t	ɐi	33	t	ɐi	33	t	ɐi	22	
端	開	四	齊	去	端	蟹	嚏		tʰ	ɐi	33	tʰ	ɐi	33	tʰ	ɐi	22	
端	開	四	齊	去	端	蟹	諦		t	ɐi	33	t	ɐi	33	t	ɐi	22	
透	開	四	齊	去	端	蟹	剃		tʰ	ɐi	33	tʰ	ɐi	33	tʰ	ɐi	22	
透	開	四	齊	去	端	蟹	替		tʰ	ɐi	33	tʰ	ɐi	33	tʰ	ɐi	22	
定	開	四	齊	去	端	蟹	逮		t	ɐi	33	t	ɐi	33	t	ɐi	22	
定	開	四	齊	去	端	蟹	第		t	ɐi	33	t	ɐi	33	t	ɐi	22	
來	開	四	齊	去	來	蟹	捩		l	ɐi	33	l	ɐi	33	l	ɐi	22	琵琶撥法
來	開	四	先	入	來	山	捩		l	it	3	l	it	2	l	it	2	捩手
來	開	四	齊	去	來	蟹	隸		t	ɐi	33	t	ɐi	33	t	ɐi	22	
來	開	四	齊	去	來	蟹	戾		l	ɵy	33	l	ɐi	33	l	ui	22	
清	開	四	齊	去	精	蟹	砌		tsʰ	ɐi	33	tsʰ	ɐi	33	tsʰ	ɐi	22	
清	開	四	齊	去	精	蟹	切		tsʰ	ɐi	33	tsʰ	ɐi	33	tsʰ	ɐi	22	一切
清	開	四	先	入	精	山	切		tsʰ	it	3	tsʰ	it	2	tsʰ	it	5	急切
心	開	四	齊	去	精	蟹	細		s	ɐi	33	s	ɐi	33	s	ɐi	22	
見	開	四	齊	去	見	蟹	髻		k	ɐi	33	k	ɐi	33	k	ɐi	22	
見	合	四	齊	去	見	蟹	桂		kʷ	ɐi	33	kʷ	ɐi	33	k	ɐi	22	
見	開	四	齊	去	見	蟹	計		k	ɐi	33	k	ɐi	33	k	ɐi	22	
匣	開	四	齊	去	影	蟹	繫		h	ɐi	33	h	ɐi	33	h	ɐi	22	聯繫
見	開	四	齊	去	見	蟹	繫		k	ɐi	33	k	ɐi	33	k	ɐi	22	繫鞋帶
見	開	四	齊	去	見	蟹	繼		k	ɐi	33	k	ɐi	33	k	ɐi	22	
見	開	四	齊	去	見	蟹	係		h	ɐi	33	h	ɐi	33	h	ɐi	22	
溪	開	四	齊	去	見	蟹	契		kʰ	ɐi	33	kʰ	ɐi	33	kʰ	ɐi	22	
							契		s	it	3							契丹
							絜		kʰ	it	3							
溪	開	四	先	入	見	山	契											
疑	開	四	齊	去	見	蟹	羿		ŋ	ɐi	33	ŋ	ɐi	33	ŋ	ɐi	22	
匣	合	四	齊	去	影	蟹	蕙		w	ɐi	33	w	ɐi	33	w	ɐi	22	
匣	開	四	齊	去	影	蟹	系		h	ɐi	33	h	ɐi	33	h	ɐi	22	
匣	合	四	齊	去	影	蟹	惠		w	ɐi	33	w	ɐi	33	w	ɐi	22	
匣	合	四	齊	去	影	蟹	慧		w	ɐi	33	w	ɐi	33	w	ɐi	22	
幫	開	四	齊	去	幫	蟹	閉		p	ɐi	33	p	ɐi	33	p	ɐi	22	
明	開	四	齊	去	幫	蟹	謎		m	ɐi	51	m	ɐi	51	m	ɐi	51	
滂	開	四	齊	去	幫	蟹	媲		pʰ	i	33	pʰ	i	33	pʰ	i	22	
透	開	一	咍	平	端	蟹	胎		tʰ	ɔi	55	tʰ	ɔi	45	tʰ	ui	55	
定	開	一	咍	平	端	蟹	臺		tʰ	ɔi	51	tʰ	ɔi	51	tʰ	ui	51	
定	開	一	咍	平	端	蟹	檯		tʰ	ɔi	51	tʰ	ɔi	51	tʰ	ui	51	
定	開	一	咍	平	端	蟹	苔		tʰ	ɔi	51	tʰ	ɔi	51	tʰ	ui	51	青苔
定	開	一	咍	平	端	蟹	苔		tʰ	ɔi	55	tʰ	ɔi	45	tʰ	ui	55	舌苔
泥	開	一	咍	平	端	蟹	能		n	ɐŋ	51	n	ɐŋ	51	n	ɐŋ	51	
來	開	一	咍	平	來	蟹	來		l	ɔi	51	l	ɔi	51	l	ui	51	
來	開	一	咍	平	來	蟹	萊		l	ɔi	51	l	ɔi	51	l	ui	51	
精	開	一	咍	平	精	蟹	災		ts	ɔi	55	ts	ɔi	45	ts	ui	55	
精	開	一	咍	平	精	蟹	哉		ts	ɔi	55	ts	ɔi	45	ts	ui	55	
精	開	一	咍	平	精	蟹	栽		ts	ɔi	55	ts	ɔi	45	ts	ui	55	
清	開	一	咍	平	精	蟹	猜		tsʰ	ai	55	tsʰ	ai	45	tsʰ	ai	55	
從	開	一	咍	平	精	蟹	材		tsʰ	ɔi	51	tsʰ	ɔi	51	tsʰ	ui	51	
從	開	一	咍	平	精	蟹	財		tsʰ	ɔi	51	tsʰ	ɔi	51	tsʰ	ui	51	
從	開	一	咍	平	精	蟹	裁		tsʰ	ɔi	51	tsʰ	ɔi	51	tsʰ	ui	51	
從	開	一	咍	平	精	蟹	才		tsʰ	ɔi	51	tsʰ	ɔi	51	tsʰ	ui	51	
心	開	一	咍	平	精	蟹	鰓		s	ɔi	55	s	ɔi	45	s	ui	55	
見	開	一	咍	平	見	蟹	該		k	ɔi	55	k	ɔi	45	k	ui	55	
見	開	一	咍	平	見	蟹	賅											
溪	開	一	咍	平	見	蟹	開		h	ɔi	55	h	ɔi	45	h	ui	55	
疑	開	一	咍	平	見	蟹	皚			ɔi	213		ɔi	21		ui	21	
匣	開	一	咍	平	影	蟹	孩		h	ai	51	h	ai	51	h	ai	51	
							咳		kʰ	ɐt	5	kʰ	ɐt	5	kʰ	ɐt	5	
匣	開	一	咍	平	影	蟹	咳											
影	開	一	咍	平	影	蟹	唉			ai	55		ai	45		ai	55	
影	開	一	咍	平	影	蟹	哀			ɔi	55		ɔi	45		ui	55	
影	開	一	咍	平	影	蟹	埃			ai	55		ai	45		ai	55	
影	開	一	咍	上	影	蟹	欸											
端	開	一	咍	上	端	蟹	等		t	ɐŋ	213	t	ɐŋ	21	t	ɐŋ	21	
定	開	一	咍	上	端	蟹	怠		tʰ	ɔi	213	tʰ	ɔi	21	tʰ	ui	21	
定	開	一	咍	上	端	蟹	待		t	ɔi	33	t	ɔi	33	t	ui	22	
定	開	一	咍	上	端	蟹	殆		tʰ	ɔi	213	tʰ	ɔi	21	tʰ	ui	21	
泥	開	一	咍	上	端	蟹	迺		n	ai	213	n	ai	21				
泥	開	一	咍	上	端	蟹	乃		n	ai	213	n	ai	21	n	ai	21	
精	開	一	咍	上	精	蟹	載		ts	ɔi	213	ts	ɔi	21	ts	ui	21	一年半載
精	開	一	咍	去	精	蟹	載		ts	ɔi	33	ts	ɔi	33	ts	ui	22	記載
精	開	一	咍	上	精	蟹	宰		ts	ɔi	213	ts	ɔi	21	ts	ui	21	
清	開	一	咍	上	精	蟹	採		tsʰ	ɔi	213	tsʰ	ɔi	21	tsʰ	ui	21	
清	開	一	咍	上	精	蟹	采		tsʰ	ɔi	213	tsʰ	ɔi	21	tsʰ	ui	21	
清	開	一	咍	上	精	蟹	彩		tsʰ	ɔi	213	tsʰ	ɔi	21	tsʰ	ui	21	
清	開	一	咍	上	精	蟹	綵		tsʰ	ɔi	213	tsʰ	ɔi	21	tsʰ	ui	21	
從	開	一	咍	上	精	蟹	在		tsʰ	ɔi	213	tsʰ	ɔi	21	tsʰ	ui	21	白
							在		ts	ɔi	33	ts	ɔi	33	ts	ui	22	文
見	開	一	咍	上	見	蟹	改		k	ɔi	213	k	ɔi	21	k	ui	21	
溪	開	一	咍	上	見	蟹	凱			ɔi	213		ɔi	21		ui	21	
曉	開	一	咍	上	影	蟹	海		h	ɔi	213	h	ɔi	21	h	ui	21	
匣	開	一	咍	上	影	蟹	亥		h	ɔi	33	h	ɔi	33	h	ui	22	
端	開	一	咍	去	端	蟹	戴		t	ai	33	t	ai	33	t	ai	22	
透	開	一	咍	去	端	蟹	態		tʰ	ai	33	tʰ	ai	33	tʰ	ai	22	
透	開	一	咍	去	端	蟹	貸		tʰ	ai	33	tʰ	ai	33	tʰ	ai	22	
定	開	一	咍	去	端	蟹	岱		t	ɔi	33	t	ɔi	33	t	ui	22	
定	開	一	咍	去	端	蟹	代		t	ɔi	33	t	ɔi	33	t	ui	22	
定	開	一	咍	去	端	蟹	袋		t	ɔi	33	t	ɔi	33	t	ui	22	
定	開	一	咍	去	端	蟹	黛		t	ɔi	33	t	ɔi	33	t	ui	22	
泥	開	一	咍	去	端	蟹	耐		n	ɔi	33	n	ɔi	33	n	ui	22	
來	開	一	咍	去	來	蟹	睞		l	ɔi	33	l	ɔi	33	l	ui	22	
精	開	一	咍	去	精	蟹	再		ts	ɔi	33	ts	ɔi	33	ts	ui	22	
清	開	一	咍	去	精	蟹	菜		tsʰ	ɔi	33	tsʰ	ɔi	33	tsʰ	ui	22	
心	開	一	登	入	精	曾	塞		s	ɐk	5	s	ɐk	5	s	ɐk	5	塞車
心	開	一	咍	去	精	蟹	塞		tsʰ	ɔi	33	tsʰ	ɔi	33	tsʰ	ui	22	塞外
心	開	一	咍	去	精	蟹	賽		s	ɔi	33	s	ɔi	33	s	ui	22	
見	開	一	咍	去	見	蟹	概		kʰ	ɔi	33	kʰ	ɔi	33	kʰ	ui	22	
溪	開	一	咍	去	見	蟹	慨		kʰ	ɔi	33	kʰ	ɔi	33	kʰ	ui	22	
疑	開	一	咍	去	見	蟹	礙		ŋ	ɔi	33	ŋ	ɔi	33	ŋ	ui	22	
影	開	一	咍	去	影	蟹	愛			ɔi	33		ɔi	33		ui	22	
端	合	一	灰	平	端	蟹	搥											
端	合	一	灰	平	端	蟹	堆		t	ui	55	t	ui	45	t	ui	55	
端	合	一	灰	平	端	蟹	敦		t	ɵn	55	t	ɐn	45	t	ɐn	55	
							敦		t	ɐn	55							
定	合	一	灰	平	端	蟹	頹		tʰ	ui	51	tʰ	ui	51	tʰ	ui	51	
來	合	一	灰	平	來	蟹	雷		l	ui	51	l	ui	51	l	ui	51	
來	合	一	灰	平	來	蟹	儡		l	ui	213	l	ui	21	l	ui	21	
來	合	一	灰	平	來	蟹	鐳		l	ui	51	l	ui	51	l	ui	51	
清	合	一	灰	平	精	蟹	崔		tsʰ	ui	55	tsʰ	ui	45	tsʰ	ui	55	
清	合	一	灰	平	精	蟹	催		tsʰ	ui	55	tsʰ	ui	45	tsʰ	ui	55	
從	合	一	灰	平	精	蟹	摧		tsʰ	ui	55	tsʰ	ui	45	tsʰ	ui	55	
心	合	一	灰	平	精	蟹	蓑		s	ɔ	55	s	ɔ	45	s	ɔ	55	
溪	合	一	灰	上	見	蟹	傀		f	ai	33	f	ai	33	f	ai	22	
見	合	一	灰	平	見	蟹	傀											
溪	合	一	灰	平	見	蟹	恢		h	ui	55	h	ui	45	h	ui	55	
溪	合	一	灰	平	見	蟹	魁		h	ui	55	h	ui	45	h	ui	55	
溪	合	一	灰	平	見	蟹	盔		kʷʰ	ɐi	55	kʷʰ	ɐi	45	kʰ	ɐi	55	
疑	合	一	灰	平	見	蟹	桅		w	ɐi	51	w	ɐi	51	w	ɐi	51	
疑	合	一	灰	平	見	蟹	嵬		ŋ	ɐi	51	ŋ	ɐi	51	ŋ	ɐi	51	
曉	合	一	灰	平	影	蟹	灰		h	ui	55	h	ui	45	h	ui	55	
匣	合	一	灰	平	影	蟹	回		h	ui	51	h	ui	51	h	ui	51	
匣	合	一	灰	平	影	蟹	瑰		kʷ	ɐi	33	kʷ	ɐi	33	k	ɐi	22	玫瑰
見	合	一	灰	平	見	蟹	瑰		kʷ	ɐi	55	kʷ	ɐi	45	k	ɐi	55	瑰麗
匣	合	一	灰	平	影	蟹	洄		h	ui	51	h	ui	51	h	ui	51	
匣	合	一	灰	平	影	蟹	迴		h	ui	51	h	ui	51	h	ui	51	
匣	合	一	灰	平	影	蟹	徊		h	ui	51	h	ui	51	h	ui	51	
影	合	一	灰	平	影	蟹	偎			ui	55		ui	45		ui	55	
幫	合	一	灰	平	幫	蟹	杯		p	ui	55	p	ui	45	p	ui	55	
幫	合	一	灰	平	幫	蟹	盃		p	ui	55	p	ui	45	p	ui	55	
並	合	一	灰	平	幫	蟹	陪		pʰ	ui	51	pʰ	ui	51	pʰ	ui	51	
並	合	一	灰	平	幫	蟹	徘		pʰ	ui	51	pʰ	ui	51	pʰ	ui	51	
並	合	一	灰	平	幫	蟹	培		pʰ	ui	51	pʰ	ui	51	pʰ	ui	51	
明	合	一	灰	平	幫	蟹	媒		m	ui	51	m	ui	51	m	ui	51	
明	合	一	灰	平	幫	蟹	莓		m	ui	51	m	ui	51	m	ui	51	
明	合	一	灰	平	幫	蟹	梅		m	ui	51	m	ui	51	m	ui	51	
明	合	一	灰	平	幫	蟹	枚		m	ui	51	m	ui	51	m	ui	51	
明	合	一	灰	平	幫	蟹	煤		m	ui	51	m	ui	51	m	ui	51	
透	合	一	灰	上	端	蟹	腿		tʰ	ui	213	tʰ	ui	21	tʰ	ui	21	
泥	合	一	灰	上	端	蟹	餒		n	ui	213	n	ui	21	n	ui	21	
來	合	一	灰	上	來	蟹	蕾		l	ui	213	l	ui	21	l	ui	21	
清	合	一	灰	上	精	蟹	璀		tsʰ	ui	55	tsʰ	ui	45	tsʰ	ui	55	
從	合	一	灰	上	精	蟹	罪		ts	ui	33	ts	ui	33	ts	ui	22	
曉	合	一	灰	上	影	蟹	悔		h	ui	33	h	ui	33	h	ui	22	
曉	合	一	灰	上	影	蟹	賄		h	ui	213	h	ui	21	h	ui	21	
並	合	一	灰	上	幫	蟹	蓓		pʰ	ui	213	pʰ	ui	21	pʰ	ui	21	
							蓓		pʰ	ui	51							
並	合	一	灰	上	幫	蟹	倍		pʰ	ui	213	pʰ	ui	21	pʰ	ui	21	
明	合	一	灰	上	幫	蟹	每		m	ui	213	m	ui	21	m	ui	21	
滂	合	一	灰	上	幫	蟹	啡		f	ɛ	55	f	ia	45	f	ɛ	55	
端	合	一	灰	去	端	蟹	對		t	ui	33	t	ui	33	t	ui	22	
透	合	一	灰	去	端	蟹	退		tʰ	ui	33	tʰ	ui	33	tʰ	ui	22	
定	合	一	灰	去	端	蟹	隊		t	ui	33	t	ui	33	t	ui	22	
泥	合	一	灰	去	端	蟹	內		n	ɔi	33	n	ɔi	33	n	ui	22	
清	合	一	灰	去	精	蟹	淬		s	ui	33	s	ui	33	s	ui	22	
心	合	一	灰	去	精	蟹	碎		s	ui	33	s	ui	33	s	ui	22	
溪	合	一	灰	去	見	蟹	塊		f	ai	33	f	ai	33	f	ai	22	
曉	合	一	灰	去	影	蟹	誨		h	ui	33	h	ui	33	h	ui	22	
曉	合	一	灰	去	影	蟹	晦		h	ui	33	h	ui	33	h	ui	22	
匣	合	一	灰	去	影	蟹	潰		kʰ	ui	213	kʰ	ui	21	kʰ	ui	21	
							潰		kʰ	ui	33	kʰ	ui	33	kʰ	ui	22	
幫	合	一	灰	去	幫	蟹	輩		p	ui	33	p	ui	33	p	ui	22	
並	合	一	灰	去	幫	蟹	背		p	ui	33	p	ui	33	p	ui	22	
幫	合	一	灰	去	幫	蟹	背											
並	合	一	灰	去	幫	蟹	悖		p	ui	33	p	ui	33	p	ui	22	
並	合	一	灰	去	幫	蟹	珮		pʰ	ui	33	pʰ	ui	33	pʰ	ui	22	
並	合	一	灰	去	幫	蟹	佩		pʰ	ui	33	pʰ	ui	33	pʰ	ui	22	
明	合	一	灰	去	幫	蟹	妹		m	ui	33	m	ui	33	m	ui	22	
							妹		m	ui	55	m	ui	45	m	ui	55	妹仔
明	合	一	灰	去	幫	蟹	昧		m	ui	33	m	ui	33	m	ui	22	
滂	合	一	灰	去	幫	蟹	配		pʰ	ui	33	pʰ	ui	33	pʰ	ui	22	
來	開	三	真A	平	來	臻	麟		l	ɵn	51	l	ɐn	51	l	ɐn	51	
來	合	三	真A	平	來	臻	掄		l	ɵn	51	l	ɐn	51	l	ɐn	51	
來	開	三	真A	平	來	臻	磷		l	ɵn	51	l	ɐn	51	l	ɐn	51	
來	開	三	真A	平	來	臻	鄰		l	ɵn	51	l	ɐn	51	l	ɐn	51	
來	合	三	真A	平	來	臻	輪		l	ɵn	51	l	ɐn	51	l	ɐn	51	
來	合	一	魂	去	來	臻	論		l	ɵn	33	l	ɐn	33	l	ɐn	22	討論
來	合	一	魂	平	來	臻	論		l	ɵn	51	l	ɐn	51	l	ɐn	51	論語
來	合	三	真A	平	來	臻	倫		l	ɵn	51	l	ɐn	51	l	ɐn	51	
來	合	三	真A	平	來	臻	綸		kʷ	an	55	kʷ	an	45	k	an	55	綸巾
見	合	二	山	平	見	山	綸		l	ɵn	51	l	ɐn	51	l	ɐn	51	垂綸
來	開	三	真A	平	來	臻	鱗		l	ɵn	51	l	ɐn	51	l	ɐn	51	
來	合	三	真A	平	來	臻	淪		l	ɵn	51	l	ɐn	51	l	ɐn	51	
精	合	三	真A	平	精	臻	遵		ts	ɵn	55	ts	ɐn	45	ts	ɐn	55	
精	開	三	真A	平	精	臻	津		ts	ɵn	55	ts	ɐn	45	ts	ɐn	55	
清	合	三	真A	平	精	臻	竣		ts	ɵn	33	ts	ɐn	33	ts	ɐn	22	
清	開	三	真A	平	精	臻	親		tsʰ	ɐn	55	tsʰ	ɐn	45	tsʰ	ɐn	55	親人
清	開	三	真A	去	精	臻	親		tsʰ	ɐn	33	tsʰ	ɐn	33	tsʰ	ɐn	22	親家
從	開	三	真A	平	精	臻	秦		tsʰ	ɵn	51	tsʰ	ɐn	51	tsʰ	ɐn	51	
心	開	三	真A	平	精	臻	薪		s	ɐn	55	s	ɐn	45	s	ɐn	55	
心	合	三	真A	平	精	臻	詢		s	ɵn	55	s	ɐn	45	s	ɐn	55	
心	開	三	真A	平	精	臻	新		s	ɐn	55	s	ɐn	45	s	ɐn	55	
心	開	三	真A	平	精	臻	辛		s	ɐn	55	s	ɐn	45	s	ɐn	55	
邪	合	三	真A	平	精	臻	巡		tsʰ	ɵn	51	tsʰ	ɐn	51	tsʰ	ɐn	51	
邪	合	三	真A	平	精	臻	馴		tsʰ	ɵn	51	tsʰ	ɐn	51	tsʰ	ɐn	51	
邪	合	三	真A	平	精	臻	旬		tsʰ	ɵn	51	tsʰ	ɐn	51	tsʰ	ɐn	51	
邪	合	三	真A	平	精	臻	循		tsʰ	ɵn	51	tsʰ	ɐn	51	tsʰ	ɐn	51	
章	合	三	真A	平	章	臻	肫											
章	開	三	真A	平	章	臻	振		ts	ɐn	33	ts	ɐn	33	ts	ɐn	22	
章	合	三	真A	平	章	臻	諄		ts	ɵn	55	ts	ɐn	45	ts	ɐn	55	
章	開	三	真A	平	章	臻	真		ts	ɐn	55	ts	ɐn	45	ts	ɐn	55	
章	開	三	真A	平	章	臻	甄		j	ɐn	55	j	ɐn	45	j	ɐn	55	
昌	開	三	真A	平	章	臻	瞋											
昌	合	三	真A	平	章	臻	春		tsʰ	ɵn	55	tsʰ	ɐn	45	tsʰ	ɐn	55	
常	合	三	真A	平	章	臻	淳		s	ɵn	51	s	ɐn	51	s	ɐn	51	
常	合	三	真A	平	章	臻	醇		s	ɵn	51	s	ɐn	51	s	ɐn	51	
常	開	三	真A	平	章	臻	辰		s	ɐn	51	s	ɐn	51	s	ɐn	51	
常	開	三	真A	平	章	臻	臣		s	ɐn	51	s	ɐn	51	s	ɐn	51	
常	開	三	真A	平	章	臻	宸		s	ɐn	51	s	ɐn	51	s	ɐn	51	
常	合	三	真A	平	章	臻	純		s	ɵn	51	s	ɐn	51	s	ɐn	51	
常	合	三	真A	平	章	臻	鶉		tsʰ	ɵn	55	tsʰ	ɐn	45	tsʰ	ɐn	55	
常	合	三	真A	平	章	臻	鶉											
常	開	三	真A	平	章	臻	晨		s	ɐn	51	s	ɐn	51	s	ɐn	51	
書	開	三	真A	平	章	臻	身		s	ɐn	55	s	ɐn	45	s	ɐn	55	
書	開	三	真A	平	章	臻	申		s	ɐn	55	s	ɐn	45	s	ɐn	55	
書	開	三	真A	平	章	臻	伸		s	ɐn	55	s	ɐn	45	s	ɐn	55	
書	開	三	真A	平	章	臻	紳		s	ɐn	55	s	ɐn	45	s	ɐn	55	
書	開	三	真A	平	章	臻	呻		s	ɐn	55	s	ɐn	45	s	ɐn	55	
船	合	三	真A	平	章	臻	脣		s	ɵn	51	s	ɐn	51	s	ɐn	51	
船	開	三	真A	平	章	臻	神		s	ɐn	51	s	ɐn	51	s	ɐn	51	
日	開	三	真A	平	日	臻	人		j	ɐn	51	j	ɐn	51	j	ɐn	51	
日	開	三	真A	平	日	臻	仁		j	ɐn	51	j	ɐn	51	j	ɐn	51	
見	合	三	真A	平	見	臻	鈞		kʷ	ɐn	55	kʷ	ɐn	45	k	ɐn	55	
見	合	三	真A	平	見	臻	均		kʷ	ɐn	55	kʷ	ɐn	45	k	ɐn	55	
影	開	三	真A	平	影	臻	因		j	ɐn	55	j	ɐn	45	j	ɐn	55	
影	開	三	真A	平	影	臻	茵		j	ɐn	55	j	ɐn	45	j	ɐn	55	
影	開	三	真A	平	影	臻	姻		j	ɐn	55	j	ɐn	45	j	ɐn	55	
以	合	三	真A	平	以	臻	勻		w	ɐn	51	w	ɐn	51	w	ɐn	51	
幫	開	三	真A	平	幫	臻	濱		p	ɐn	55	p	ɐn	45	p	ɐn	55	
幫	開	三	真A	平	幫	臻	檳		p	ɐn	55	p	ɐn	45	p	ɐn	55	
幫	開	三	真A	平	幫	臻	賓		p	ɐn	55	p	ɐn	45	p	ɐn	55	
並	開	三	真A	平	幫	臻	蘋		pʰ	ɐn	51	pʰ	ɐn	51	pʰ	ɐn	51	蘋婆
並	開	三	真A	平	幫	臻	頻		pʰ	ɪŋ	51	pʰ	ɐŋ	51	pʰ	ɐŋ	51	蘋果
明	開	三	真A	平	幫	臻	民		m	ɐn	51	m	ɐn	51	m	ɐn	51	
滂	開	三	真A	平	幫	臻	繽		p	ɐn	55	p	ɐn	45	p	ɐn	55	
從	開	三	真A	上	精	臻	盡		ts	ɐn	33	ts	ɐn	33	ts	ɐn	22	
心	合	三	真A	上	精	臻	筍		s	ɐn	213	s	ɐn	21	s	ɐn	51	
章	開	三	真A	上	章	臻	疹		tsʰ	ɐn	213	tsʰ	ɐn	21	tsʰ	ɐn	21	
章	開	三	真A	上	章	臻	診		tsʰ	ɐn	213	tsʰ	ɐn	21	tsʰ	ɐn	21	
章	合	三	真A	上	章	臻	准		ts	ɵn	213	ts	ɐn	21	ts	ɐn	21	
章	合	三	真A	上	章	臻	準		ts	ɵn	213	ts	ɐn	21	ts	ɐn	21	
章	開	三	真A	上	章	臻	賑		ts	ɐn	33	ts	ɐn	33	ts	ɐn	22	
昌	合	三	真A	上	章	臻	蠢		tsʰ	ɵn	213	tsʰ	ɐn	21	tsʰ	ɐn	21	
常	開	三	真A	上	章	臻	腎		s	ɐn	33	s	ɐn	33	s	ɐn	22	
							腎		s	ɐn	213	s	ɐn	21	s	ɐn	21	
船	合	三	真A	上	章	臻	盾		tʰ	ɵn	213	tʰ	ɐn	21	tʰ	ɐn	21	
日	開	三	真A	上	日	臻	忍		j	ɐn	213	j	ɐn	21	j	ɐn	21	
見	開	三	真A	上	見	臻	緊		k	ɐn	213	k	ɐn	21	k	ɐn	21	
以	開	三	真A	上	以	臻	蚓		j	ɐn	213	j	ɐn	21	j	ɐn	21	
以	合	三	真A	上	以	臻	允		w	ɐn	213	w	ɐn	21	w	ɐn	21	
以	合	三	真A	上	以	臻	尹		w	ɐn	213	w	ɐn	21	w	ɐn	21	
以	開	三	真A	上	以	臻	引		j	ɐn	213	j	ɐn	21	j	ɐn	21	
並	開	三	真A	上	幫	臻	臏		p	ɐn	55	p	ɐn	45	p	ɐn	55	
來	開	三	真A	去	來	臻	藺		l	ɵn	33	l	ɐn	33	l	ɐn	22	
來	開	三	真A	去	來	臻	遴		l	ɵn	51	l	ɐn	51	l	ɐn	51	
來	開	三	真A	去	來	臻	吝		l	ɵn	33	l	ɐn	33	l	ɐn	22	
精	開	三	真A	去	精	臻	進		ts	ɐn	33	ts	ɐn	33	ts	ɐn	22	
精	合	三	真A	去	精	臻	俊		ts	ɐn	33	ts	ɐn	33	ts	ɐn	22	
精	開	三	真A	去	精	臻	晉		ts	ɐn	33	ts	ɐn	33	ts	ɐn	22	
精	合	三	真A	去	精	臻	駿		ts	ɐn	33	ts	ɐn	33	ts	ɐn	22	
心	開	三	真A	去	精	臻	訊		s	ɵn	3	s	ɐn	2	s	ɐn	2	
心	合	三	真A	去	精	臻	峻		ts	ɵn	33	ts	ɐn	33	ts	ɐn	22	
心	開	三	真A	去	精	臻	迅		s	ɵn	3	s	ɐn	2	s	ɐn	2	
心	開	三	真A	去	精	臻	信		s	ɵn	33	s	ɐn	33	s	ɐn	22	
邪	合	三	真A	去	精	臻	殉		s	ɵn	55	s	ɐn	45	s	ɐn	55	
章	開	三	真A	去	章	臻	震		ts	ɐn	33	ts	ɐn	33	ts	ɐn	22	
章	合	三	真A	去	章	臻	盹		t	ɵn	33	t	ɐn	33	t	ɐn	22	
常	開	三	真A	去	章	臻	慎		s	ɐn	33	s	ɐn	33	s	ɐn	22	
書	合	三	真A	去	章	臻	舜		s	ɵn	33	s	ɐn	33	s	ɐn	22	
書	合	三	真A	去	章	臻	瞬		s	ɵn	33	s	ɐn	33	s	ɐn	22	
船	合	三	真A	去	章	臻	順		s	ɵn	33	s	ɐn	33	s	ɐn	22	
日	開	三	真A	去	日	臻	仞		j	ɐn	33	j	ɐn	33	j	ɐn	22	
日	合	三	真A	去	日	臻	閏		j	ɐn	33	j	ɐn	33	j	ɐn	22	
日	開	三	真A	去	日	臻	刃		j	ɐn	33	j	ɐn	33	j	ɐn	22	
日	開	三	真A	去	日	臻	認		ŋ	ɪŋ	33	ŋ	ɐŋ	33	ŋ	ɐŋ	22	
							認		j	ɐn	33	j	ɐn	33	j	ɐŋ	22	
日	合	三	真A	去	日	臻	潤		j	ɐn	33	j	ɐn	33	j	ɐn	22	
日	開	三	真A	去	日	臻	韌		j	ɐn	33	j	ɐn	33	j	ɐn	22	文
							韌		ŋ	ɐn	33	ŋ	ɐn	33	ŋ	ɐn	22	白
影	開	三	真A	去	影	臻	印		j	ɐn	33	j	ɐn	33	j	ɐn	22	
幫	開	三	真A	去	幫	臻	鬢		p	ɐn	33	p	ɐn	33	p	ɐn	22	
來	開	三	真A	入	來	臻	栗		l	ɵt	3	l	ɐt	2	l	ɐt	2	
來	合	三	真A	入	來	臻	律		l	ɵt	3	l	ɐt	2	l	ɐt	2	
來	開	三	真A	入	來	臻	慄		l	ɵt	3	l	ɐt	2	l	ɐt	2	
精	合	三	真A	入	精	臻	卒		ts	ɵt	5	ts	ɐt	5	ts	ɐt	5	士卒
清	合	一	魂	入	精	臻	卒		tsʰ	yt	3	tsʰ	it	2	tsʰ	yt	5	倉卒
精	開	三	真A	入	精	臻	唧		ts	ɪk	5	ts	ɐk	5	ts	ɐk	5	
清	開	三	真A	入	精	臻	柒		tsʰ	ɐt	5	tsʰ	ɐt	5	tsʰ	ɐt	5	
清	開	三	真A	入	精	臻	七		tsʰ	ɐt	5	tsʰ	ɐt	5	tsʰ	ɐt	5	
清	開	三	真A	入	精	臻	漆		tsʰ	ɐt	5	tsʰ	ɐt	5	tsʰ	ɐt	5	
從	開	三	真A	入	精	臻	疾		ts	ɐt	3	ts	ɐt	2	ts	ɐt	2	
