#参考资料	《江苏句容方言音韵研究》
#调值	 [1] 平声31 [1b] 变调平13 [3] 上声213 [5] 去声44 [7] 入声5

#ɿ
tɕ	 [1] 将={~要}浆=疆僵缰姜江 [3] 蒋桨 [5] 酱=降={~落}匠=将={~领}糨犟
tɕʰ	 [1] 羌呛戕枪=腔= [3] 强抢=墙=祥={₁}
ɕ	 [1] 香=乡=相=箱=襄=厢=湘=镶 [3] 饷翔降={投~}详=祥={₂}享=响=想= [5] 相=向=象=橡=像=巷=项=
ȵ	 [1] 娘孃 [3] 梁良=两=粮=量={~身高} [5] 亮=谅=辆=量={~力}酿=谅=
∅	 [1] 秧=央=殃= [1b] 洋=疡 [3] 杨=扬仰=羊=养=痒=阳= [5] 样=

#uaŋ
ts	 [1] 庄妆桩装 [5] 壮状撞
tsʰ	 [1] 疮窗 [3] 闯窗= [5] 创
s	 [1] 霜双礵 [3] 床-爽
k	 [1] 光咣 [3] 广 [5] 逛
kʰ	 [1] 匡筐眶哐 [3] 狂 [5] 旷况矿

#oŋ	
p	 [1] 绷崩- [3] 朋-棚- [5] 泵蹦
pʰ	 [3] 捧朋=棚= [5] 碰
m	 [1] 懵蠓 [3] 猛萌檬 [5] 梦孟
f	 [1] 风枫疯丰封峰蜂烽 [1b] 冯 [3] 讽缝 [5] 缝凤奉
ʋ	 [1] 翁
t	 [1] 东冬 [3] 董懂同-铜- [5] 冻栋洞动
tʰ	 [1] 通 [1b] 瞳 [3] 同=铜=桶童筒捅桐统 [5] 痛
n	 [3] 农浓脓
l	 [1] 聋龙䲡 [3] 笼垄 [5] 弄
ts	 [1] 棕宗中{当~}忠终钟 [3] 重{~复}总虫-种{~类} [5] 众综纵重{轻~}种{~树}中{射~}
tsʰ	 [1] 聪葱囱充冲 [3] 从崇怂宠虫 [5] □{打瞌睡}
s	 [1] 松嵩 [3] 耸悚怂 [5] 诵送宋颂
z	 [3] 绒=容=榕荣=
k	 [1] 公蚣功攻工弓躬宫恭 [3] 汞拱巩 [5] 贡供共
kʰ	 [1] 空 [3] 孔恐 [5] 控
