字	塘村	注釋
㿭	tsʰa51	
擇	tsʰia51	
窄	/	
生	ɕie24	
牲	ɕie24	
省	/	~長
省	/	節~
更	kən24	五~
羹	kaŋ24	
梗	kaŋ35	
更	kaŋ51	~加
格	kɛ21	
客	kʰa51	
硬	ŋɛ51	
額	ŋɛ21	
嚇	xɛ21	
棚	paŋ21	
麥	ma51	
脈	mɛ21	
摘	tso24	
橙	tɕʰin21	
爭	tɕie24	
革	/	
隔	ka51	
軛	a51	
兵	pin24	
柄	/	
碧	pie21	
平	pei21	
坪	pei21	
病	pei51	
明	mie21	
命	mei51	
驚	kai24	
敬	/	
鏡	tɕin51	
慶	/	
屐	tɕʰia21	
影	in35	
餅	pin35	
聘	/	
僻	pʰie21	
名	mei21	
領	lei31	陽上
嶺	lei31	陽上
精	tsai24	
睛	/	
井	tsei35	
積	tɕie21	
脊	/	
清	tsʰei24	
請	tsʰei35	
情	tɕin21	
淨	tsʰei35	
性	ɕin51	
姓	ɕin51	
惜	ɕie21	
席	sɛ51	
貞	/	
正	tsei24	~月
整	tsaŋ35	
正	tɕin35	~面
隻	tɕia51	
炙	tɕia51	~火
赤	ɕia51	
尺	tɕʰia51	
射	ɕia51	
聲	sei24	
聖	/	
成	suei21	
城	tɕʰin21	
盛	tsai51	~飯
石	ɕia51	
頸	kei24	
輕	kʰei24	
益	iɛ21	
贏	ei21	
壁	pia31	
拼	/	
瓶	pin21	
並	pie31	
釘	tie24	鐵~
頂	tin35	
鼎	tie51	
釘	tie51	~住
滴	tɛ51	
聽	tʰei51	~見
踢	tʰɛ51	
剔	/	
亭	tin21	
停	tin21	
挺	/	
定	tin51	
笛	tɛ51	
寧	lei21	~遠
靈	lin21	
零	lin21	
鈴	lin21	
另	liom21	
曆	lie21	~書
績	tɕie21	
青	tsʰei24	
戚	tɕʰie21	
星	ɕie24	
腥	sei24	
醒	sei35	
錫	sɛ51	
經	tɕin24	
橫	xuən21	~直
划	xua51	
兄	ɕyn24	
螢	iom21	
篷	paŋ21	
蓬	paŋ21	
蒙	mom21	
蠓	/	
木	mɛ21	
東	tən24	
懂	tən35	
凍	tən51	
棟	tən51	
通	tʰən24	
桶	tʰən35	
痛	/	
同	tən21	
銅	tən21	
桐	tən21	
筒	tən21	
動	/	
洞	/	
獨	tə21	
讀	tie21	
籠	lən21	
聾	lən21	
鹿	lu21	
棕	tsən24	
總	tsən35	
粽	tsən51	
聰	tsʰən24	
蔥	tsʰən24	
送	sən51	
公	kuən24	
蚣	kuən24	
工	kuən24	
功	kuən24	
穀	kue21	稻~
空	xuən24	~虛
空	xuən51	有~
哭	xo21	
烘	xom51	
哄	xuən35	
紅	xuən21	
洪	xuən21	
甕	uən21	調例外
屋	au53	
冬	tən24	
毒	tye21	
農	lom21	
膿	lən21	
鬆	sən24	
風	faŋ24	
楓	faŋ24	
瘋	faŋ24	
福	fɛ21	
幅	fu51	
鳳	/	
服	fɛ21	
伏	fɛ21	
夢	maŋ51	
六	lye21	
中	tɕyn24	當~
忠	/	
中	tɕyn35	射~
竹	tɕye21	
畜	ɕye21	
蟲	tɕʰyn21	
縮	su21	
終	tɕyn24	
粥	kɛ24	
充	/	
銃	tɕʰyn51	
叔	mie33	滿訓讀
熟	ɕye21	
絨	yn21	
肉	uo21	
弓	/	
菊	tsu21	
窮	tɕʰyn21	
嗅	/	
融	yn21	
封	faŋ24	
蜂	pʰaŋ24	
捧	pʰaŋ35	
縫	lie21	疑聯訓讀，~衣服
縫	nie21	訓讀，一條~
濃	nom21	
龍	lən21	
綠	lye21	
松	tsʰən21	~樹
重	/	~複
重	tɕʰyn31	陽上，輕~
鐘	tɕyn24	
種	tɕyn35	~子
種	/	~樹
腫	tɕyn35	
燭	tɕye21	
沖	tɕʰyn24	
贖	ɕye21	
舂	ɕyn24	
恐	ɕyn35	
玉	y24	借官
胸	ɕiom24	
兇	ɕiom24	
用	yn51	
