pi1 碑蓖陂{坡,坝}
ʃɛŋ5 状
kɛŋ1 刚江扛豇缸纲肛岗冈
kɛŋ2 钢降杠虹
kɛŋ3 讲港
kʰɛŋ1 抗
kʰɛŋ3 慷{慷慨}□{硬顶着}
kʰɛŋ5 □{扛着大体积的物体跌跌撞撞地走}
ŋɛŋ2 戆
ŋɛŋ3 昂
ŋɛŋ5 □{很累}
hɛŋ1 亨康糠
hɛŋ2 杭恒衡航烘行{银~}
hɛŋ3 肯啃
hɛŋ5 项巷
kʰvɛŋ1 匡筐眶框
kʰvɛŋ3 揈{驱逐}
kʰvɛŋ5 □{兜大圈儿}
ɛŋ1 肮轰{又读}
pᴇŋ2 □{把几样物品缚成一串儿}
pʰᴇŋ1 □{两臂张开伸直的总长度}
pʰᴇŋ2 彭膨
pʰᴇŋ5 □{陶器的碎片}
mᴇŋ2 盲
mᴇŋ3 猛莽蟒
mᴇŋ5 孟
vᴇŋ2 横桁{梁}
vᴇŋ5 □{屋里或家具上横置的木条}
tʰᴇŋ3 艇
nᴇŋ1 娘
nᴇŋ5 酿{酿成惨案}
lᴇŋ2 凉良粮梁粱量{测~}
lᴇŋ3 俩两
lᴇŋ5 亮谅量{大~}
ɬᴇŋ1 箱厢湘镶
ɬᴇŋ2 相像
ɬᴇŋ3 想
tʃᴇŋ1 张章樟浆将{~来}
tʃᴇŋ2 帐仗酱胀障瘴赈涨{~价}将{大~}
tʃᴇŋ3 蒋奖桨掌
tʃʰᴇŋ1 创昌铛撑倡菖枪鐣{饼铛}
tʃʰᴇŋ2 墙常详祥尝裳偿长唱肠场翔嫦膛
tʃʰᴇŋ3 抢厂敞
tʃʰᴇŋ5 象丈橡杖
ȵᴇŋ3 仰攘
ȵᴇŋ5 让嚷壤酿{酝~}
ʃᴇŋ1 商伤
ʃᴇŋ2 裳
ʃᴇŋ3 赏
ʃᴇŋ5 上尚
kᴇŋ1 耕羹庚更{~改}
kᴇŋ2 更{~加}
kᴇŋ3 耿哽埂梗炯蔃{根须}
kʰᴇŋ1 腔
kʰᴇŋ2 强
kʰᴇŋ3 勥
ŋᴇŋ5 硬
hᴇŋ1 香乡卿哼
hᴇŋ2 向
hᴇŋ3 响饷享晌
jᴇŋ1 央秧殃鸯
jᴇŋ2 羊洋杨阳扬疡
jᴇŋ3 养
jᴇŋ5 样
meŋ2 簈{箅子}
neŋ2 娘
leŋ3 冷
tʃeŋ1 挣争睁踭{脚跟}
ʃeŋ1 生牲笙甥
keŋ1 姜僵疆
kʰeŋ1 缰
heŋ1 坑
heŋ2 行{~为}
heŋ5 幸
poŋ1 帮
poŋ3 绑膀胮榜绷
poŋ5 磅
pʰoŋ2 n
pʰoŋ3 捧
moŋ1 杧{~果}
moŋ2 萌盟蒙蠓忙虻茫亡忘氓朦芒濛檬
moŋ3 懵网
moŋ5 梦妄望
foŋ1 封峰蜂锋风方芳荒慌谎坊肪枫疯丰
foŋ2 缝放妨房防冯逢冯
foŋ3 讽仿恍纺访幌
foŋ5 奉俸凤
voŋ1 汪
voŋ2 王黄皇煌璜簧凰蝗蟥隍
voŋ3 往枉
voŋ5 旺
toŋ1 冬东
toŋ2 冻
toŋ3 董懂
toŋ5 幢
tʰoŋ1 通
tʰoŋ2 痛同铜桐筒童瞳疼
tʰoŋ3 统桶捅
tʰoŋ5 栋动洞
noŋ1 脓
noŋ2 农侬浓哝
noŋ3 燶{糊焦,臭}
noŋ5 □{那么}
loŋ1 窿
loŋ2 隆龙聋胧栊笼
loŋ3 陇垅拢垄
loŋ5 弄□{蛋坏了}
ɬoŋ1 嵩鬆{~紧}
ɬoŋ2 送宋擤餸{菜}
ɬoŋ3 怂耸
tʃoŋ1 钟锺盅桩棕鬃宗综踪忠终中{~间}
tʃoŋ2 众粽种{~树}中{~奖}
tʃoŋ3 肿总纵种{~子}
tʃoŋ5 撞□{~有:还有}
tʃʰoŋ1 冲舂窗聪葱囱充衷铳
tʃʰoŋ2 虫崇丛重{~新}松{~树}
tʃʰoŋ3 闯宠
tʃʰoŋ5 仲诵颂讼重{~要}
ʃoŋ1 霜孀双
koŋ1 弓躬宫恭供工公功攻蚣龚
koŋ2 贡汞
koŋ3 拱巩
koŋ5 □{这样}
kʰoŋ1 邝
kʰoŋ2 穷控
kʰoŋ3 孔
kʰoŋ5 共
hoŋ1 胸凶兇匈
hoŋ2 熊雄红宏鸿汞
hoŋ3 恐哄
hoŋ5 □{火烧着了}
kvoŋ1 光胱
kvoŋ2 逛桄
kvoŋ3 广
kʰvoŋ2 旷狂况矿
joŋ1 拥邕翁
joŋ2 容蓉熔庸荣萤戎绒融茸溶榕莹氄镕
joŋ3 勇甬涌永踊恿拥俑蛹
joŋ5 用
oŋ1 壅痈臃
oŋ2 瓮
oŋ3 搑{推挤}
ŋ̍2 吴蜈吾梧
ŋ̍3 武五伍午鹉
ŋ̍5 误悟
tap7b 答搭
tap8 踏沓{一~纸}
tʰap7a 錔{套合}
tʰap7b 遢塔搨塌溻{湿透}
nap7b 纳衲
lap7b 腊蜡鑞{錫~}
ɬap7b □{理睬}
tʃap7b 恰□{鸟儿停留在树枝上}
tʃʰap7b 插
tʃʰap8 杂闸铡{~刀}
ȵap7b □{皮肤痒}
ȵap8 □{蠕动}
ʃap8 煠{用大锅水猛火快煮}
kap7b 甲胛{肩胛}
kap8 夹
hap7b □{芭蕉的叶柄}
hap8 □{用片状物在两旁夹紧}
jap8 □{鸟的翅膀上下扇动}
ap7b 鸭押
pɐp8 □{抽水烟筒}
tɐp7a □{用刀轻轻地斩}
tɐp8 □{敲击,磕}
tʰɐp7a □{锁上}
nɐp7a 粒
nɐp8 凹
lɐp7a 立笠
lɐp8 □{很乱说乱~~}
ɬɐp8 □{大口地吞}
tʃɐp7a 执汁褶
tʃʰɐp7a 辑缉{~鞋口}
tʃʰɐp8 习集
ȵɐp8 入
ʃɐp7a 湿
ʃɐp8 十什拾实室食蚀
kɐp7a 给蛤{~蚧}
kɐp7b 鸽
kɐp8 □{紧闭着嘴}
kʰɐp8 及
ŋɐp8 □{乱说一气}
hɐp8 合盒
jɐp7a 入
jɐp8 □{放进水里很快提起}
ɐp7b □{用药敷上}
ɐp8 □{厚厚地覆盖}
tʰep7a 帖贴
tʰep8 叠碟牒蝶谍
nep7a 业聂蹑孽捏镊
nep7b □{把袖管裤腿卷起来}
lep7b □{谷物颗粒粒不饱}
lep8 □{火苗跳动}
ɬep7b □{往缝隙里塞楔片}
tʃep7a 接摺褶{~叠}褶{褶皱}
tʃʰep7a 妾切窃
tʃʰep8 □{液面下降}
ʃep7a 摄涉
kep7a 劫
kep7b □{用筷子夹}
hep7a □{两物紧紧挨在一起}
hep8 侠洽胁协挟{~制}
jep7a 叶页腌乙
pat7b 八
pʰat8 拔钹
mat7b 抹{~布}
fat7a 胐{屎~:屁股}
fat7b 发伐筏法阀
fat8 罚
vat7b 挖袜
vat8 滑猾
tat7a 的{目~}
tat8 溻{湿透}
tʰat8 达
nat8 捺{撇~}
lat7b 瘌辣
lat8 垃邋□{量词,同“排､行､列}
ɬat7b 萨撒
ɬat8 圾
tʃat7b 眨紥砸劄札扎轧{压}
tʃat8 卒
tʃʰat7a 戚
tʃʰat7b 察擦獭杉
tʃʰat8 杂
ʃat7b 杀煞
ŋat8 □{硬物互相摩擦}
hat7b 瞎
kvat7b 括聒刮
jat8 □{弹性物体往外伸长}
at7b 压
pɐt7a 笔毕不逼碧璧壁弼憋
pʰɐt7a 僻闢劈匹霹
pʰɐt8 鼻
mɐt7a 觅密蜜
fɐt7a 勿忽佛{仿佛}
fɐt8 佛
vɐt7a 鬱郁物
vɐt8 核
tɐt7a 滴嫡秩
tʰɐt7a 踢剔突惕
tʰɐt8 笛敌狄籴荻
nɐt7a 匿逆溺
lɐt7a 栗律力历率{速率}儮{能干}
lɐt8 □{追赶,驱赶}
ɬɐt7a 述恤戍膝蟀息熄媳惜昔夕锡析戌释悉术率{~领}
ɬɐt8 术{又读}
tʃɐt7a 织职积迹脊隻炙绩质疾
tʃɐt8 侄窒
tʃʰɐt7a 赤斥尺七漆出
tʃʰɐt8 直值殖植籍藉席稙蛰
ȵɐt7a 日
ʃɐt7a 识式饰适失虱
ʃɐt8 石实
kɐt7a 吉橘戟击激急级吸
kɐt8 □{鼓鼓的}
kʰɐt7a 咳讫乞
kʰɐt8 极屐
ŋɐt7a □{转动的速度飞快}
hɐt7a 吃
hɐt8 核辖{管辖}
kvɐt7a 骨
kʰvɐt7a 窟屈倔{倔强}
kʰvɐt8 掘
jɐt7a 忆亿抑翼亦译易疫役逸
ɐt7a 一益
pit7a 必鳖瘪
pit8 □{稍微伸出一点儿}
pʰit7a 撇{~开}
pʰit7b □{两物相搭,接触的部分太少}
pʰit8 别
mit7a 灭篾蔑
vit7b □{轻轻扫过}
tit7a 跌
tʰit7a 铁
tʰit7b □{拽住}
nit7a 捏
nit8 □{涂抹}
lit8 □{小长片片}
ɬit7a 泄
ɬit8 □{液体四溅}
tʃit7a 节疖哲浙即鲫捷婕折{拗}
tʃit8 □{用手指触动}
tʃʰit7a 切徹撤辙彻
tʃʰit8 截
ȵit7a 热
ʃit7a 设
ʃit8 舌折{~本}
kit7a 结洁蝎涩竭
kʰit7a 揭
kʰit8 杰
ŋit8 □{一点一点地啃}
hit7a 歇泣□{~石:磁石}
kvit7b □{把表皮轻轻刮去}
jit7a 乙
jit8 □{露出一点点}
it7a 噎
it7b 饐{软质糕点}
put7a 钵拨
pʰut7a 泼
pʰut8 勃孛饽{面~}
mut7a 末沫没{沉没}
fut7a 血阔
fut8 活
tʰut7a 脱
tʰut8 夺铎
nut7a 诺□{衣物半干半湿;空气湿度大}□{那}
nut8 □{哪}
lut7a 捋{~袖}
lut8 □{蛇行进的动作}
ɬut7a 雪薛
tʃut7a 拙□{用簸箕撮物}
tʃʰut7a 撮{一~米}
tʃʰut8 绝
ȵut7a 月
ʃut7a 说
kut7a □{打,揍}□{这}
kut7b 割葛
kʰut7a 决诀蕨厥憠缺橛{~子}
kʰut8 □{量词,“块”}
ŋut8 □{啃}
hut7b 渴喝
jut7a 越曰粤悦阅
jut8 穴
ut7b 褐
pɛk7a 北
pɛk7b 剥□{拍打}
pɛk8 雹
pʰɛk7a □{比赛}
mɛk7a 墨默
mɛk8 □{黑~铁:很黑}
fɛk7a □{弹性很强的条状弹起来的样子}
fɛk8 □{弹起,动词}
tɛk7a 得德
tɛk8 樴{小桩子}
tʰɛk7a 讬托{茶托}
tʰɛk8 忒特庹
lɛk7a 勒
lɛk7b 落烙骆酪洛络肋胳赂乐{快乐}
lɛk8 □{用绳或网把东西兜住}
ɬɛk7a 塞瑟啬
ɬɛk7b 索塑
tʃɛk7a 则侧
tʃɛk7b 作
tʃɛk8 □{重重地压}
tʃʰɛk7b 测
tʃʰɛk8 贼
kɛk7b 各阁角
kʰɛk7a 刻克
kʰɛk7b 搁霍藿觉确搉桷{椽}
kʰɛk8 □{架起来}
ŋɛk7a □{欺骗}
ŋɛk7b 鄂岳乐{音乐}
ŋɛk8 腭鳄
hɛk7a 黑赫骇嚇
hɛk7b 壳
hɛk8 学鹤□{物体受阻不能继续运动}
kʰvɛk7a 钁{~头:锄头}
ɛk7b 恶{凶}
pᴇk7b 百柏伯陌
pʰᴇk7b 舶泊迫拍魄帛
pʰᴇk8 白
mᴇk7b 麦脉掰
vᴇk8 或惑域
tᴇk7a □{奔跑}
nᴇk8 □{乱踩}
lᴇk7a 略掠列烈裂劣
ɬᴇk7a 削袭
tʃᴇk7a 桌芍绰焯卓灼酌着{穿着}
tʃᴇk7b 择窄责摘
tʃʰᴇk7a 雀鹊
tʃʰᴇk7b 拆策册栅测
tʃʰᴇk8 宅着翟{睡着}
ȵᴇk7a 弱
ʃᴇk8 勺硕
kᴇk7a 脚怯
kᴇk7b 格革隔
kʰᴇk7a 却
kʰᴇk8 剧
ŋᴇk7b 额
hᴇk7b 客
jᴇk7a 药疟约钥虐跃
ᴇk7b 轭扼
pok7a 博驳卜膊搏
pok8 礴箔朴扑醭仆僕□{鼓起的圆疙瘩}
pʰok7a 仆{趴下}□{容器口朝下底朝上}
mok7a 莫膜寞木目穆漠睦沐
mok8 幕□{厚~:太厚}
fok7a 復福幅蝠覆获
fok8 服伏栿腹缚伏辐袱
vok8 镬
tok7a 笃督剢{戳击}□{底部}
tok8 剢{又读}
tʰok8 独读牍犊毒
nok7a □{搓揉}
nok8 □{反复乱踩}
lok7a 碌漉录鹿禄六绿陆
lok8 辘
ɬok7a 宿肃缩粟俗速
tʃok7a 竹祝粥足烛嘱蜀捉筑
tʃʰok7a 畜蓄促束镯触啄戳龊
tʃʰok8 族逐轴浊
ȵok7a 肉玉喐{动}
ʃok7a 淑叔嗍{吮吸}
ʃok8 续赎属熟孰塾
kok7a 谷穀菊锔
kʰok7a 曲麯掬鞠
kʰok8 局
ŋok8 □{摇晃固体}
hok7a 哭
hok8 焀{热气逼人}
kvok7a 国郭虢廓
jok7a 育辱褥浴欲旭狱
ok7a 屋握沃龌
ok8 □{多层地严实地覆盖}
