#湖南泸溪梁家潭乡话同音字汇			
#方言 2016 年第 4 期 481—495 页( 2016 年 11 月 24 日出版于北京)			
#作者：陈 晖			
#湖南师范大学文学院 长沙			
#转录者 DaiDzao			
IPA	调类	调值	例字
tsʰuɛ	5	13	寸
dzuɛ	5	13	转[(打转)]旋[脑壳～:头发旋儿]
suɛ	1	44	孙[~子;外孙;外甥]狲
suɛ	2	24	□[菜～:菜臺]
suɛ	3	51	髓选笋榫
kuɛ	1	44	裈[裤子∥《广韵》魂韵古浑切，亵衣也。《方言》卷四:“～，陈、楚、江、淮之间谓之黱。”钱绎笺疏:“按，裈即今之满裆绔也。”]
kuɛ	3	51	滚
kuɛ	5	13	灌棍国
kʰuɛ	3	51	跪犬
kʰuɛ	5	13	睏困
xuɛ	1	44	浑[～水]荤
xuɛ	5	13	获
xuɛ	7	41	□[难～:谢谢]
ɦuɛ	5	13	运县圂[猪～:猪圈]
Øuɛ	1	44	烟[～除眼:烟囱，又见iε44]温昏冤瘟完
Øuɛ	2	24	铅围丸魂云横
Øuɛ	3	51	□[～了脚:踒了脚]稳苇[芦～]
Øuɛ	5	13	咽胃
ʨyɛ	1	44	砖军
ʨyɛ	2	24	拳[量词:一～米]裙
ʨyɛ	3	51	卷□[～子:结巴]准
ʨyɛ	5	13	□[～水:凉水]
ʨʰyɛ	1	44	穿[～针]圈椿春
ʨʰyɛ	3	51	菌[(蘑菇)]茶[(训读)]
ʨʰyɛ	5	13	劝
ʨʰyɛ	7	41	蠢
ʥyɛ	2	24	船茄椽[～皮:椽子]
ȵyɛ	5	13	润
ɕyɛ	1	44	熏
ɕyɛ	7	41	雪=[节气:大～]
ʑyɛ	2	24	匀
ʑyɛ	5	13	顺闰
Øyɛ	5	13	院月=[～饼]
pei	1	44	杯碑崩[山～]□[肩～:肩膀]
pei	2	24	白=[～果:银杏]北
pei	5	13	辈背[~心:~部，又见pʰa51]
pʰei	1	44	坯蓬[松松～～，又见bei24]批卜[萝～]
pʰei	5	13	破[~裂，~损;劈开]
pʰei	7	41	捧
bei	1	44	陪苗[(又读bei24)]
bei	2	24	苗[讲～:说苗话]蓬[河～，地名，在古丈县]羆[(熊∥《广韵》彼为切，平声支韵帮母:“尔雅曰～如熊，黄白文”;《说文》:“～，如熊，黄白文。从熊，罷省声。黲，古文从皮”，乡话声母读同並母。)]
mei	1	44	埋煤霉忙梅[～子]
mei	5	13	梦
mei	7	41	墨每
fei	1	44	风枫疯封蜂
vei	5	13	缝[一条～，又见bεi24]
tei	1	44	灯东冬□[狮～:狮子]
tei	5	13	戴冻给[(训读)，动词，给予，赠送;介词，把，替]
tei	7	41	得
tʰei	1	44	通桶推
tʰei	5	13	□[～命]□[马～:台阶儿]
dei	5	13	袋洞
lei	1	44	笼□[(慢)]□[(表程度深)，疲～了:很软]□[～日:白天]
lei	7	41	□[食～了:(太油腻)吃伤了]
tsei	1	44	聋棕粽鬃甑[(蒸笼)]
tsei	5	13	做
tsʰei	1	44	粗初聪贼
tsʰei	5	13	菜蔡□[(推)]
sei	1	44	梳鬆-[蓬～]
sei	5	13	痛送[～信;～客]
sei	7	41	塞
zei	5	13	渠[他;他们∥《集韵》平声鱼韵求於切“吴人呼彼称。通作渠。”乡话存在阳平读同去声的现象。]
kei	1	44	□[(簸箕)]公工功□[眼～:眼泪]
kei	5	13	锯[名词，又见ka13]个[量词，一～月，又见kuo13]渠[沟～:水渠]
kei	7	41	急
kʰei	1	44	空
kʰei	5	13	空[~闲]去[～年]□[(量词)，一～室:一间房]
kʰei	7	41	□[(酒曲)]黑
gei	5	13	□[～田:割稻子;～猪:阉割猪]
gei	7	41	嗝[打～～:打嗝儿]
ŋei	1	44	牛
ŋei	5	13	饿
xei	1	44	灰烘
Øei	1	44	淹臃[肿∥《集韵》於容切，说文肿也。]
Øei	5	13	瓮[水～:水缸]应[~答]
Øei	7	41	忆[记~]
tui	1	44	堆䨨[雷∥《广韵》平声知母止合三脂韵陟隹切:“雷也，出韩诗”。]
lui	1	44	驴
lui	3	51	旅
tsui	3	51	嘴[(鸟嘴)]
tsui	5	13	醉最
tsʰui	1	44	绝
tsʰui	5	13	脆翠[(人名)]
sui	3	51	绪[(人名)]
sui	5	13	戌[(时辰)]徐
sui	7	41	雪-
kui	1	44	规龟
kui	3	51	鬼=[小气～]
kui	5	13	癸[(时辰)]桂
kʰui	1	44	亏
gui	2	24	葵
xui	3	51	惠[(人名)]慧[(人名)]
Øui	1	44	萎[(气萎)]威
Øui	3	51	□[洋～:马铃薯]
Øui	5	13	为[～什家:为什么]卫[～生纸]喂[(招呼的声音)]
ʨyi	1	44	居车[(象棋棋子的一种，又见ʨio44)]
ʨyi	2	24	桔菊
ʨyi	3	51	鬼-
ʨyi	5	13	贵句
ʨyi	7	41	举蕨
ʨʰyi	1	44	柜蛐区
ʨʰyi	7	41	怯[(怕)]缺
ʥyi	3	51	砍[(训读)]
ʥyi	5	13	勺[水～;水瓢]瞿
ȵyi	7	41	月-[坐～子，又见yi51，ȵi41，ȵiɛ41]
ɕyi	1	44	虚
ɕyi	7	41	血水=[～泥]许
ʑyi	5	13	药
ʑyi	7	41	钥[～匙]
Øyi	3	51	玉
Øyi	5	13	于
Øyi	7	41	月[～亮，又见ȵyi41，ȵi41，ȵiɛ41]语
pɑu	3	51	宝堡[地名:六～]保
pʰɑu	3	51	菢铇[～屎:刨花]
bɑu	2	24	刨[～地]
mɑu	3	51	卯[(时辰)]貌[相～]
tɑu	2	24	淘陶[(一种铸造金属的工具)]
tɑu	3	51	□[累，睏]□[九～宗:蛇的一种，背上有花纹]到=[认得～:认识]
tʰɑu	3	51	道[～理:又见sɑu41]讨盗=[强～]
dɑu	2	24	跳逃
lɑu	2	24	桃条[(量词)]□[(用烙铁烫)]□[(捅)]
lɑu	3	51	脑恼老闹
tsɑu	2	24	槽[猪～]䐬[(因缺少油水而腹饥∥《集韵》平声毫韵财劳切:“～，腹鸣。”)]
tsɑu	3	51	早枣蚤澡[洗~]爪
tsʰɑu	3	51	草嫂吵炒
sɑu	3	51	扫[～地，又见sɔu13]道[~路，又见tʰɑu41]
sɑu	5	13	潲[(猪食)]
kɑu	3	51	搞稿[草～]
kʰɑu	3	51	烤[～烟]考
xɑu	3	51	好□[和(介词)]
Øɑu	3	51	拗[(折断)]
piɑu	1	44	膘
piɑu	3	51	表[老～]婊
pʰiɑu	1	44	飘
pʰiɑu	5	13	嫖票
miɑu	3	51	秒
miɑu	5	13	庙
tiɑu	1	44	雕朝
tiɑu	2	24	调[～大小]条=[粉～]
tiɑu	5	13	钓吊
tʰiɑu	1	44	挑[～边:缲边]
tʰiɑu	7	41	粜[～米]
liɑu	1	44	焯[～菜]
liɑu	3	51	了[不得～，又见liɑu13]
liɑu	5	13	料[～树:木料]了[擦～:擦掉，又见liɑu51]□[门～子:门绊儿]
liɑu	0	22	了[(助词及语气词)]
tsiɑu	1	44	椒[胡～]
tsiɑu	3	51	嚼
tsʰiɑu	1	44	锹[(锄头)]
tsʰiɑu	2	24	邀缲[～边]
tsʰiɑu	3	51	剿
siɑu	1	44	消箫
siɑu	3	51	小[～暑]
ʨiɑu	1	44	交=郊浇招胶
ʨiɑu	2	24	桥
ʨiɑu	3	51	少[多～]绞[(绕)]赵
ʨiɑu	5	13	照教=[～室]
ʨʰiɑu	3	51	轿
ʥiɑu	2	24	□[～鼓:晒衣竿]
ʥiɑu	3	51	撬翘
ȵiɑu	5	13	尿
ɕiɑu	1	44	烧□[(推)]
ɕiɑu	2	24	苕
ɕiɑu	3	51	晓
ʑiɑu	1	44	窑
ʑiɑu	2	24	摇
ʑiɑu	5	13	□[～子:蝴蝶]鹞[岩～:鹞鹰]
Øiɑu	1	44	腰
Øiɑu	3	51	舀
Øiɑu	5	13	要
pɔu	1	44	包胞苞[～谷:玉米]
pɔu	5	13	报暴豹□[(凸)]
pʰɔu	1	44	抛泡[灯～，又见pɔu13]□[(一种竹背篓)]藨[桑～:桑葚儿∥《广韵》豪韵普袍切:“醋莓，可食。”]
pʰɔu	5	13	炮泡[～在水里，又见pʰɔu44]雹
bɔu	5	13	抱袍
mɔu	1	44	毛茅猫
mɔu	5	13	帽□[天～:天阴;～天:阴天]
tɔu	1	44	刀
tɔu	5	13	到-倒[~水;颠~]
tɔu	0	22	到[(助词，表持续或经历)]
tʰɔu	5	13	盗-[(偷)]套萄
lɔu	1	44	劳[～空:很空]牢痨[～病:结核病]捞[～薪刀:柴刀，又见lɔu13]
lɔu	5	13	涝[～疮:癣]□[～胡蟆:癞蛤蟆]捞[～斗:捕鱼捞虾的斗形小鱼网，又见lɔu44]
tsɔu	1	44	糟[酒～]
tsɔu	5	13	皂灶罩
tsʰɔu	1	44	抄
tsʰɔu	5	13	躁[脾气～]糙
sɔu	1	44	艄筲[～箕]骚臊
sɔu	5	13	扫[~帚，又见sɑu51]笑哨[～子]
kɔu	1	44	高膏篙教[~书，~育]交-[～秋:立秋]铰[～剪:剪子]茭[～笋:茭白∥《广韵》平声肴韵古肴切]
kɔu	5	13	告觉[睏～:睡觉]叫[～花子]
kʰɔu	1	44	敲
kʰɔu	5	13	靠
ŋɔu	1	44	熬[～不过]熝[～菜]
xɔu	1	44	蒿[茼～]
xɔu	5	13	孝[戴～]薅[(除田草)]
ɦɔu	5	13	学=[～生]号[～数]
Øɔu	5	13	坳
pou	7	41	剥
bou	3	51	□[阿～:祖父]
mou	1	44	蟆[胡～:青蛙]
tou	2	24	砣[秤～:秤锤]驼[～背]
tou	3	51	斗=[烫～:熨斗]
dou	5	13	□[眼～:眼眶]□[(人工挖的小坑)]□[炙盒～:膈肢窝，腋下]□[坟～:坟堆]
lou	3	51	□[(找寻)]
tsou	3	51	助
tsʰou	2	24	戳[～道棍:手杖]族醋□[(剁)]
tsʰou	3	51	□[～铜钱:赚钱(与“赔钱”相对)]
dzou	2	24	□[(一种竹篓)]
dzou	3	51	□[(犬吠)]□[(追赶;撵)]
sou	3	51	□[～花:绣花]
kou	3	51	鸽
kou	5	13	□[薪～:柴火]
kou	7	41	角[眼～，又见kuo41，ʨio24]
kʰou	5	13	扣[～子]
kʰou	7	41	壳
ŋou	5	13	怄[～气]
ŋou	7	41	藕
Øou	5	13	凹
tiou	1	44	□[镰～:镰刀]
tiou	2	24	除□[柱木～:寿木]□[水～:水瓢]
tʰiou	3	51	重[轻～，又见diɔu24，dʑiɔu24]
tʰiou	7	41	斢[调换∥《广韵》上声厚韵天口切:“斢㪹，兵奪人物也。”]
diou	2	24	叠重[～复，又见dʑiɔu24，tʰiɔu51]
liou	2	24	虫□[～水:口水]
tsiou	3	51	□[(榨油)]
tsʰiou	7	41	鹊
dziou	2	24	松[～树，又见sei44∥《广韵》钟韵邪母祥容切，人们一般写作“枞”，“枞”钟韵清母七恭切，与dziɔu音不合，地名“枞岭”中暂用俗写。枞地名:～岭]
siou	7	41	削
ʨiou	2	24	穷□[帐钩～:帐钩]□[腰～碗:海碗]□[眼～:眼睛]□[手～:毛巾]□[钥～:钥匙]
ʨiou	3	51	种-[～子]共[~用]煮守[～孝]
ʨʰiou	3	51	□[耙～:耙齿]
ʨʰiou	5	13	臭曲
ʥiou	2	24	流[～水]重[～阳节，又见diɔu24，tiɔu51]酸咸□[～糜:盛饭]
ɕiou	2	24	雄-[鸡～:鸡很雄威，又见ɕioŋ24]
ɕiou	3	51	寿=[庆～]手[又见ɕia51]叔[两侄～:叔侄俩]首[～饰]
ʑiou	2	24	融容[～不得]
ʑiou	3	51	褥[～子]
fẽ	3	51	粉=[米～]
dẽ	2	24	停
dẽ	3	51	□[～脚:跺脚]
lẽ	2	24	□[量词:一～(蚊子)]
lẽ	3	51	领
tsẽ	1	44	精情[人～]□[坛子，罐子:酒～(酒坛，可以挑的)]
tsʰẽ	1	44	清青
tsʰẽ	3	51	请
tsʰẽ	5	13	凊[～水:冷水;歇～:乘凉∥《广韵》去声映韵楚敬切:“冷也”]
dzẽ	2	24	橙[～子:柚子]
sẽ	1	44	星=[鱼～:鱼鳞]腥生=[花～]
sẽ	3	51	醒
sẽ	5	13	净性[礼～，又见si13]□[生～:生锈]
kẽ	1	44	更[三～，又见kẽ13]庚根
kẽ	3	51	梗[麦～，又见kεi51]亘[～年:整年]
kẽ	5	13	更[又见kẽ44]
xẽ	3	51	擤[～鼻:擤鼻涕]
pĩ	1	44	冰
pĩ	2	24	□[罐子，坛子:酸菜～(酸菜坛)]殡
pĩ	3	51	扁[担脚～:扁担]饼丙
pĩ	5	13	瓶苹
pʰĩ	5	13	边[一～:一半儿(局限于分边的物体);一旁。又见piε13]
mĩ	1	44	名明=[～白，又见mi51]
mĩ	2	24	民
mĩ	5	13	面
tĩ	1	44	丁
tĩ	3	51	定=[～亲:定婚]
lĩ	1	44	灵邻
lĩ	5	13	另□[tɑŋ51～:另外]磷[～肥]
ʨĩ	1	44	正[～月，又见ʨĩ13]金=[押～]巾[围～]
ʨĩ	2	24	镇
ʨĩ	3	51	□[～子:虮子]□[逗(别人)厌～:讨人嫌]
ʨĩ	5	13	正[摆～，又见ʨĩ44]见=[～面]镜
ʨʰĩ	1	44	轻[年~，~重]糠
ʨʰĩ	2	24	成城
ʨʰĩ	5	13	庆
ʥĩ	3	51	□[～头:以上(方位)]
ȵĩ	5	13	念砚
ɕĩ	1	44	声申[(时辰)]辛=[(时辰)]心=[小～]
ɕĩ	2	24	圣辰[(时辰)]
ɕĩ	3	51	肾幸
ʑĩ	2	24	赢
ʑĩ	5	13	壬[(时辰)]
Øĩ	1	44	阴=[背～]英音[观～菩萨]
Øĩ	3	51	影
Øĩ	5	13	荫[天色～过来了:天色暗了]寅[(时辰)]
pan	1	44	班=[一～车]
pan	3	51	办[～菜:做菜]
ban	2	24	□[一～:一趟]
man	2	24	瞒馒[～坨:馒头]
man	3	51	满=[小～]
fan	1	44	帆[～布]
fan	3	51	反=[～扣:合页]
tan	1	44	□[～池:天井]
dan	2	24	谈[～经:聊天]
tʰan	3	51	毯
tʰan	5	13	探[～脉:把脉]
lan	2	24	栏=[～杆]男篮
tsan	5	13	站[车～]
san	1	44	□[蜈谷～:蜈蚣]衫
kan	1	44	干=[饼～]
kan	3	51	减杆[栏～]
xan	2	24	寒=[小～]
xan	5	13	汉
pian	1	44	鞭
tian	3	51	电
tʰian	3	51	□[□lian～:脾]
lian	2	24	□[～□tian51:脾]联[打客～:用客话唱山歌]
lian	3	51	□[净～:干净]链[项～]
tsʰian	1	44	千=[～里眼:望远镜]
sian	5	13	线[～车:自行车]
ʨian	5	13	锵[～～:钹]
ʥian	2	24	钳[～子]
ȵian	1	44	舓[(小)]
ȵian	2	24	□[阿～:奶奶]
ɕian	2	24	闲[谈～:聊天]
Øian	1	44	炎
Øian	3	51	眼=[龙～]
pɑŋ	1	44	班-[～辈]帮□[～场:赶集;～早:赶早]
pɑŋ	3	51	绊[*～一跤:摔一跤]绑[打～腿]
pɑŋ	5	13	欛[(柄)]
pʰɑŋ	3	51	□[打(训读),～声:发抖，颤抖]
pʰɑŋ	5	13	袢[门～:门把手]
mɑŋ	1	44	媒糜[饭∥《广韵》支韵靡为切，粥。乡话无论干饭、稀饭统称“糜”。“糜”韵母受鼻音声母影响带上鼻尾，与“媒”等字情况类似。]
mɑŋ	2	24	芒[节气:～种]
mɑŋ	5	13	命
fɑŋ	1	44	方=[大～]
fɑŋ	2	24	平坪
fɑŋ	5	13	病
tɑŋ	1	44	□[(扔)]钉[名词:～子;动词，～～子。又见tɑŋ24]单[～数]
tɑŋ	2	24	痰钉[动词，～扣子，又见tɑŋ44]
tɑŋ	3	51	鼎□[～□22xɑŋ:底下;地下]□[～另:另外]
tɑŋ	5	13	担[～水:挑水]
tʰɑŋ	1	44	听[嗅觉;听觉;听任]厅
tʰɑŋ	3	51	挡烫=[～斗:熨斗]
dɑŋ	5	13	□[□tsio13□lɔu51□kɔu13～～:藏老蒙儿，捉迷藏]
lɑŋ	1	44	蓝铃零南楠[～竹]
lɑŋ	2	24	郎=[新～]
tsɑŋ	1	44	争簪
tsɑŋ	2	24	馋[～犬:狼]
tsɑŋ	5	13	葬
tsʰɑŋ	1	44	铛[(锅)]窗
tsʰɑŋ	3	51	錾[～花]
tsʰɑŋ	5	13	撑[～腰]掺[～水]
dzɑŋ	3	51	□[～犬:蝗虫]
sɑŋ	1	44	生-[接～]牲星-[零～]
sɑŋ	3	51	□[一～砖:一截砖]嗓□[～子裈:裤衩儿]
kɑŋ	1	44	缸柑甘[～蔗，又见koŋ44]□[～～:正月十五吃的一种类似汤圆的食品，有馅]
kɑŋ	5	13	界
kʰɑŋ	1	44	坑
kʰɑŋ	3	51	□[～里:地方]謦[咳嗽∥《广韵》上声迥韵去挺切，謦欬也。]
ŋɑŋ	1	44	庵刚[才～:刚才]
ŋɑŋ	5	13	硬
xɑŋ	3	51	扛[～脑壳:抬头]项[～圈:项链]
xɑŋ	5	13	喊
xɑŋ	0	22	□[□tɑŋ51～:底下;地下]
ɦɑŋ	2	24	行[~走]
Øɑŋ	5	13	杏
liɑŋ	1	44	□[～杖:连枷]
tʰiɑŋ	3	51	丈[姑～，又见tʰioŋ51]杖
tsʰiɑŋ	1	44	□[泥～:泥鳅]
ʨiɑŋ	1	44	□[～刚:刚才]江张=[开～]□[败～家:败家子]
ʨiɑŋ	3	51	□[～筋:调皮]
ʨiɑŋ	5	13	降[节气:霜～]将=[麻～]
ʨʰiɑŋ	1	44	框[门～:门坎儿]
ʨʰiɑŋ	2	24	常
ȵiɑŋ	2	24	娘[阿～:母亲，又见ȵioŋ24]
ʑiɑŋ	3	51	嚷[相～:吵架]
Øiɑŋ	2	24	阳=[～历]洋=[出～相]
suɑŋ	1	44	闩栓霜=[节气:～降]
suɑŋ	5	13	涮[(用清水漂洗)]
kuɑŋ	1	44	光
kuɑŋ	3	51	咣[(拟声词)]
kuɑŋ	5	13	惯
guɑŋ	2	24	狂[～风]
Øuɑŋ	1	44	湾[～里:山与山之间坡地]
Øuɑŋ	3	51	旺往
poŋ	1	44	搬
poŋ	2	24	盘螃[～夹:螃蟹]
poŋ	3	51	板磅[～秤]
poŋ	5	13	扮半
moŋ	3	51	满-懵[～懂]母[家～:外祖母]
moŋ	5	13	忘望明-[～朝:明天，又读ma24。又见mo55]模[～子]木=[啄～官官:啄木鸟]
moŋ	0	22	么[这～]
foŋ	1	44	方-[~形;容量单位，十斗为一～]兄[～弟]□[夜～:夜晚]
foŋ	3	51	纺
foŋ	5	13	放
voŋ	2	24	房还[～价，又见ai44]
voŋ	3	51	网
voŋ	5	13	返[～去:回去]
toŋ	1	44	当[～官，又见toŋ24]裆箪[～鼓:盛饭用的圆形小竹篓∥《广韵》平声寒韵都寒切，箪笥小箧。]
toŋ	2	24	潭堂[神～:神龛;学～。又见doŋ24]当[典~，又见toŋ44]
toŋ	3	51	胆渡懂
tʰoŋ	1	44	滩摊汤□[～头:先前]
tʰoŋ	3	51	断
tʰoŋ	5	13	炭烫-[～衣裈:熨衣服]□[量词，一～(人):一伙(人)]
doŋ	2	24	弹团[～鱼:鳖，又见duε13]塘[水～:水井]堂[祠～，又见toŋ24]
doŋ	3	51	氹
doŋ	5	13	淡童[～养媳]
loŋ	1	44	难拦栏-郎-
loŋ	2	24	暖农圞[～枱:圆桌]糖
tsoŋ	1	44	妆[嫁～]装宗
tsoŋ	2	24	床□[(皱纹)]
tsoŋ	3	51	□[～娘:母之姐]
tsoŋ	5	13	钻[(木工用具)]综[～机:织布机]纵[放～]
tsʰoŋ	1	44	仓[(室外)存放粮食的器具]葱疮状
tsʰoŋ	3	51	撞闯
dzoŋ	2	24	藤□[～月:腊月]□[量词，一～(履):一双(鞋)]
dzoŋ	3	51	懒
dzoŋ	5	13	乱□[菜～:菜园]
soŋ	1	44	三[又见suo44]桑丧霜-双松=[～柏树:柏树]
soŋ	3	51	散[~开]伞磉[～底岩:柱下石]搡
soŋ	5	13	散[分~]算蒜
zoŋ	2	24	□[他们;别人，人家]
koŋ	1	44	甘-[甜，又见kɑŋ44]肝官冠[鸡~]钢[豇～豆:一种短豆荚]
koŋ	3	51	敢拱卵[蛋:鸡～;鸡巴(男阴)，注：声母特殊]
koŋ	5	13	贡供[~供]□[□tiε24～:椽子]
kʰoŋ	1	44	干-[~湿]
kʰoŋ	3	51	墈[地～:荒林]
kʰoŋ	5	13	炕
xoŋ	1	44	寒-[～毛]欢荒慌
xoŋ	2	24	红=[～薯]
ɦoŋ	1	44	人
ɦoŋ	2	24	黄皇王
ɦoŋ	3	51	五伍旱
ɦoŋ	5	13	岸汗焊二
ɦoŋ	7	41	日-[～头:太阳，又见Øioŋ51]木-[～匠]
Øoŋ	3	51	碗
Øoŋ	5	13	晏苋
Øoŋ	7	41	入-[～伏]
tioŋ	1	44	张-
tioŋ	3	51	长[生~]涨
tioŋ	5	13	帐账胀
tʰioŋ	3	51	丈[一～，又见tiɑŋ51]
dioŋ	2	24	长[~短]场
lioŋ	1	44	粮梁辆
lioŋ	2	24	肠
lioŋ	3	51	两[斤~，又见tsuo51]□[向～:作料]
lioŋ	5	13	亮
tsioŋ	1	44	浆将-
tsioŋ	2	24	墙□[～着睏:侧着睡]
tsioŋ	5	13	酱
tsʰioŋ	1	44	枪
tsʰioŋ	3	51	抢橡[～胶，又见dzioŋ51]
tsʰioŋ	5	13	□[～鸭:经常潜入水中的一种鸭子，体型很小]
dzioŋ	3	51	象橡[～皮，又见tsʰioŋ51]
dzioŋ	5	13	匠
sioŋ	1	44	相[～信，又见sioŋ13]箱厢镶
sioŋ	3	51	想
sioŋ	5	13	相[~貌，又见sioŋ44]
ʨioŋ	1	44	姜章中=[～秋]
ʨioŋ	2	24	强[～盗]
ʨioŋ	3	51	掌[～家:一家之主]□[(扶)]
ʨioŋ	7	41	种[芒～:节气，又见ʨiɔu51]
ʨʰioŋ	1	44	腔香[～气，又见ɕioŋ44]
ʨʰioŋ	3	51	上[～半年]□[一～子:一会儿]尚[和～]
ʨʰioŋ	5	13	唱
ʥioŋ	3	51	痒
ȵioŋ	1	44	□[～头:里面]
ȵioŋ	2	24	娘[又见ȵiɑŋ24]
ȵioŋ	5	13	让
ɕioŋ	1	44	商伤香[烧～，又见ʨiɔu44]乡
ɕioŋ	2	24	雄[～鱼，又见ɕiɔu24]
ɕioŋ	3	51	晌[～糜:午饭]响
ɕioŋ	5	13	向嗅
ʑioŋ	1	44	扬[(浮)]阳[重～;阴～]
ʑioŋ	2	24	羊洋[～锹:镐]杨
ʑioŋ	3	51	养
ʑioŋ	5	13	样
Øioŋ	1	44	秧
Øioŋ	3	51	日-[后～:后天，又见ɦoŋ13]
