汉字	白读	文读	多音字补充	声调			编号
鰾（鳔）	piɔ55						
鏢（镖）	piɔ55						
描	miɔ24						
苗	miɔ24						
貓（猫）		ŋiau55					
藐		miau52					
渺		miau52					
秒	miɔ52						
廟（庙）	biɔ33						
妙	miɔ33						
燎		liau24					
潦		liau24					
焦	tsiɔ55						
蕉	tsiɔ55						
椒	tsiɔ55						
剿		tsiau52					
鍬（锹）		tsʰiau55					
繰（缲）		tsau33					
悄		tsʰiau55					
俏		tsʰiau31					
樵		tsʰiau24					
瞧		tsʰiau24					
消		siau55					
宵	siɔ55	siau55					
霄	siɔ55	siau55					
硝		siau55					
銷（销）		siau55					
小	siɔ52						
笑	tsʰiɔ31						
鞘		tsʰiau31					
朝		tsiau55					
超		tsʰiau55					
朝		tsʰiau24					
潮		tsʰiau24					
趙（赵）		tsiau31					
兆		tsiau31					
肇		tsiau31					
召		tsiau55					
昭		tsiau55					
招	tsiɔ55						
沼		tsiau52					
照	tsiɔ31						
詔（诏）		tsiau31					
燒（烧）	siɔ55						
少	tsiɔ52						
少		siau31					
韶		siau24					
紹（绍）		siau33					
邵		siau33					
饒（饶）		dziau24					
繞（绕）		dziau33					
擾（扰）		dziau52					
驕（骄）							
嬌（娇）							
矯（矫）							
喬（乔）							
橋（桥）	kiɔ24						
轎（轿）							
蕎（荞）	kiɔ24						
囂（嚣）		hiau55					
枵		iau55					
妖	iɔ55						
邀	iɔ55						
腰	iɔ55						
要		iau55					
夭		iau55					
搖（摇）	iɔ24						
謠（谣）	iɔ24						
窯（窑）	iɔ24						
姚	iɔ24						
舀	iɔ52						
耀	iɔ33	iau33					
刁		tiau55					
貂		tiau55					
雕		tiau55					
鳥（鸟）		tsiau52					
吊	tiɔ31						
釣（钓）	tiɔ31						
挑	tʰiɔ55						
跳	tʰiɔ31	tʰiau31					
糶（粜）	tʰiɔ31						
條（条）		tiau24					
調（调）	tʰiɔ24	tiau24					
調（调）		tiau33					
掉	tiɔ31						
尿	dziɔ33						
聊		liau24					
遼（辽）		liau24					
撩		liau24					
寥		liau24					
廖		liau33					
了		liau52					
瞭（了）		liau52					
料		liau33					
簫（箫）		siau55					
蕭（萧）		siau55					
嘯（啸）		siau31					
澆（浇）	kiɔ55						
繳（缴）	kiɔ52						
叫	kiɔ31						
竅（窍）		kʰiau52					
堯（尧）		dziau24					
曉（晓）		hiau52，iau52					
么（幺）	iɔ55						
杳		iau52					
剖	pʰou55						
某	mou52						
畝（亩）	mou52						
牡	mou52						
拇		mu52					
母	bɔ52						
茂	mau33						
戊	mau33						
貿（贸）	mau33						
兜	tau55						
斗	tau52						
抖	tau52						
陡	tau52						
鬥（斗）	tau31						
竇（窦）	tau31						
偷	tʰau55						
透	tʰau31						
頭（头）	tʰau24						
投	tʰau24						
豆	tau33						
逗	tau33						
耨	nau33						
樓（楼）	lau24						
摟（搂）		lou52					
簍（篓）		lou52					
漏	lau33						
陋	lau33						
走	tsau52						
奏	tsau31						
湊（凑）	tsʰau31						
叟	sau52						
嗽	sau31						
勾	kau55						
鉤（钩）	kau55						
狗	kau52						
苟	kau52						
垢	kau31						
彀	kau31						
夠（够）	kau31						
構（构）	kau31						
購（购）	kau31						
媾	kau31						
溝（沟）	kau55						
摳（抠）	kʰau55						
口	kʰau52						
叩	kʰau31						
骰	tʰau24						
扣	kʰau31						
寇	kʰau31						
藕	ŋau52						
偶	ŋau52						
吼	hau52						
蔻	kʰau31						
侯	hau24						
喉	au24						
猴	kau24						
後（后）	au33，hau33						
厚	kau33						
后	au33						
候	au33						
謳（讴）	au55						
歐（欧）	au55						
區（区）	au55						
嘔（呕）	au52						
毆（殴）	au55						
漚（沤）	au31						
慪（怄）	au31						
否	hau52						
富		hu31					
副		hu31					
浮	hou24						
阜		hu33					
負（负）		hu33					
婦（妇）		pu33，hu33					
復（复）		hɔk5					
謀（谋）		mou24					
矛	mau24						
眸		mou24					
紐（纽）							
扭		niu52					
留	lau24						
榴		liu24					
劉（刘）	lau24						
流	lau24						
硫		liu24					
琉		liu24					
柳		liu52					
溜		liu55					
揪		tsiu55					
酒		tsiu52					
秋		tsʰiu55					
愁		tsʰiu24					
就		tsiu33					
修		siu55					
羞		tsʰiu55					
秀		siu31					
鏽（锈）		siu31					
繡（绣）		siu31					
宿		siu31					
囚		kʰiu24					
袖		siu31					
肘		tsiu52					
晝（昼）	tau31	tsiu31					
抽		tsʰiu55					
丑		tsʰiu52					
綢（绸）		tiu24					
稠		tsʰiu24					
籌（筹）		tsʰiu24					
紂（纣）		tsiu33					
宙		tsiu33					
鄒（邹）		tsiu55					
皺（皱）	tsau33						
縐（绉）		tsiu31					
驟（骤）		tsiu33					
餿（馊）	sau55						
搜	sau55						
颼（飕）	sau55						
蒐（搜）	sau55						
瘦	sau31						
漱		sou31					
周		tsiu55					
舟		tsiu55					
洲		tsiu55					
州		tsiu55					
帚		tsiu52					
咒		tsiu31					
醜（丑）		tsʰiu52					
臭	tsʰau31						
收		siu55					
手	tsʰiu52	siu52					
首		siu52					
守		siu52					
獸（兽）		siu31					
讎（仇）		siu24					
酬		tsʰiu24					
受		siu33					
壽（寿）		siu33					
授		siu33					
售		siu33					
柔		dziu24					
揉		dziu24					
鳩（鸠）		kiu55					
鬮（阄）		kiu55					
九	kau52						
久	ku52						
韭	ku52						
灸		kiu31					
究		kiu55					
救		kiu31					
丘		kʰiu55					
求		kiu24					
球		kiu24					
讎（仇）		siu24					
舅	ku33						
臼		kiu31					
咎		kiu31					
舊（旧）	ku33						
柩		kiu33					
牛	hu24						
休		hiu55					
朽		hiu52					
嗅		hiu31					
憂（忧）		iu55					
優（优）		iu55					
尤		iu24					
魷（鱿）		niu24					
郵（邮）		iu24					
有	u33						
友		iu52					
又		iu33					
右		iu33					
宥		iu33					
祐		iu31					
油		iu24					
游		iu24					
悠		iu55					
猶（犹）	iau52（训）	iu24					
由		iu24					
酉		iu52					
莠		iu52					
誘（诱）		iu31					
釉		iu31					
柚		iu33					
彪		piau55					
謬（谬）		miu33					
繆（缪）		miu33					
丢		tiu55					
糾（纠）		kiu52					
幽		iu55					
幼		iu31					
耽		tam55					
貪（贪）		tʰam55					
探		tʰam31					
潭		tʰam24					
譚（谭）		tʰam24					
南		lam24					
男		nam24					
婪		lam24					
簪		tsam55					
參（参）		tsʰam55	参加				
參（参）		sim55，sɔm55					
慘（惨）		tsʰam52					
蠶（蚕）		tsʰam24					
贛（赣）		kam31					
感		kam52					
堪		kʰam55					
龕（龛）		kʰam55					
坎		kʰam52					
砍		kʰam52					
勘		kʰam55					
含	kam24	ham24					
函		ham24					
撼		ham33					
憾		ham33					
庵		am55					
諳（谙）		am55					
暗		am31					
擔（担）	tã55						
膽（胆）	tã52						
坍		tʰam55					
毯		tʰam52					
痰		tʰam24					
談（谈）		tʰam24					
淡		tam33					
藍（蓝）		lam24					
籃（篮）	nã24	lam24					
欖（榄）		lam52					
攬（揽）		lam52					
覽（览）		lam52					
纜（缆）		lam52					
濫（滥）		lam33					
慚（惭）		tsʰam24					
暫（暂）		tsiam33					
三	sã55	sam55					
柑		kam55					
泔		kam55					
甘		kam55					
敢	kã52						
橄		kam52					
瞰		kʰam31					
蚶		ham55					
喊		ham31					
邯		ham24					
酣		ham55					
站		tsam33					
賺（赚）		tsuan31					
斬（斩）		tsam52					
蘸		tsiam31					
讒（馋）		tsʰam24					
饞（馋）		tsʰam24					
杉							
衫	sã55						
尷（尴）		kam55					
減（减）		kam52，kiam52					
鹻（碱）	kĩ52	kan52					
鹹（咸）		kiam24					
陷		ham33					
餡（馅）	ã33						
攙（搀）		tsʰam55					
懺		tsʰam31					
監（监）		kam55					
鑒（鉴）		kam31					
嵌		kʰam31					
巖（岩）		ŋam24					
銜（衔）		ham24					
艦（舰）		lam33					
貶（贬）		pien52					
黏		liam24					
廉		liam24					
鐮（镰）		liam24					
簾（帘）		liam24					
奩（奁）		liam52					
斂（敛）		liam52					
殮（殓）		liam52					
尖		tsiam55					
殲（歼）		tsiam55					
籤（签）		tsʰiam55					
簽（签）		tsʰiam55					
僉（佥）		tsʰiam55					
潛（潜）		tsʰiam52					
漸（渐）		tsiam33					
暹		siam55					
纖（纤）		siam55					
沾		tsiam55					
粘		tsiam55					
瞻		tsiam55					
佔（占）		tsiam31					
占		tsiam31					
陝（陕）		siam52					
閃（闪）		siam52					
贍（赡）		siam33					
染		dziam52					
冉		dziam52					
檢（检）		kiam52					
臉（脸）		liam52					
鉗（钳）		kʰiam24					
儉（俭）		kiam52					
驗（验）		iam33					
險（险）		hiam52					
淹		iam55					
閹（阉）		iam55					
掩		iam52					
厭（厌）		iam31					
炎		iam24					
鹽（盐）	sĩ33	iam24					
閻（阎）		iam24					
檐		iam24					
艷（艳）		iam33					
焰		iam33					
劍（剑）		kiam31					
欠		kʰiam31					
嚴（严）		iam24					
儼（俨）		iam52					
釅（酽）		iam31					
鍁（锨）		hiam55					
崦		iam55					
掂		tiam55					
點（点）		tiam52					
墊（垫）		tiam31					
店		tiam31					
添		tʰiam55					
忝		tʰiam52					
舔		tʰiam52					
甜	tĩ55						
拈	nĩ55	liam55					
鮎（鲇）		liam24					
念		niam33					
僭		tsiam31					
蒹		kiam55					
謙（谦）		kʰiam55					
歉		kʰiam31					
嫌		hiam24					
泛		huan31					
凡		huan24					
帆		huan24					
範（范）		huan33					
范		huan33					
犯		huan33					
梵		huan24					
答		tap2					
搭	taʔ2						
塔	tʰaʔ2						
踏	taʔ5						
納（纳）		nap5					
拉	lai55						
雜（杂）		tsap5					
蛤		kap2					
鴿（鸽）		kap2					
喝		hat2					
盒		ap5					
榻		tʰap2					
塌		tʰap2					
臘（腊）	laʔ5						
蠟（蜡）	laʔ5						
鑞（镴）	laʔ5						
卅		sap2					
磕		kʰap5					
盍		hap2					
劄		tsap2					
眨		tsap2					
插	tsʰaʔ2	tsʰap2					
閘（闸）	tsaʔ5						
煠	saʔ5						
霎		siap2					
夾（夹）	ŋeʔ2	kʰiap5					
袷		kiap2					
恰		kʰiap2					
掐		kʰiap2					
狹（狭）	eʔ5	kʰiap5					
峽（峡）		kʰiap5					
洽		kʰap5					
甲		kap5					
匣		hap5					
狎		ap5					
鴨（鸭）	aʔ2						
押		ap2					
壓（压）		at2					
聶（聂）		niap5					
鑷（镊）		niap5					
獵（猎）		liap5					
接		tsiap2					
妾		tsʰiap2					
捷		tsiap5					
輒（辄）		tsiap2					
摺（折）	tsiʔ2						
攝（摄）		siap2					
涉		siap2					
靨		iap2					
葉（叶）		iap5					
劫		kiap2					
怯		kʰiap2					
業（业）		jiap5					
脅（协）		hiap5					
貼（贴）	taʔ2	tʰiap2					
帖		tʰiap2					
曡（叠）	tʰaʔ5	tʰiap5					
牒		tiap5					
蝶	iaʔ5	tiap5					
諜（谍）							
合		kap2					
合		hap5					
鴨（鸭）	aʔ2						
押		at2					
甲	kaʔ2						
摺（折）		tsiap2					
添	tʰĩ55	tʰiam55					
挾（挟）		hiap5					
俠（侠）		hiap5					
法		huat2					
乏		huat2					
禀		pin52					
品		pʰin52					
賃（赁）		lim33					
林		lim24					
淋		lim24					
臨（临）		lim24					
凛		lim52					
廪		lim52					
浸		tsim31					
侵		tsʰim55					
寢（寝）		tsʰim52					
蕈		tsʰim52					
心		sim55					
尋（寻）		tsʰim24					
琛		tsʰim55					
沉		tsʰim24					
朕		tsim33					
簪		tsiam55					
岑		tsʰim24					
森		sim55					
滲（渗）		siam31					
針（针）		tsiam55					
斟		tsim55					
枕		tsim52					
葚		sim33					
深		tsʰim55					
瀋（沈）		sim52					
沈		sim52					
審（审）		sim52					
嬸（婶）		sim52					
甚	sam31	sim33					
壬		dzim24					
任		dzim33					
妊		dzim33					
今	kin55	kim55					
金		kim55					
襟		kʰim55					
禁		kim31					
錦（锦）		kim52					
欽（钦）		kʰim55					
琴		kʰim24					
禽		kʰim24					
擒		kʰim24					
吟		im24					
音		im55					
陰（阴）		im55					
飲（饮）	am52	im52					
蔭（荫）		im31					
窨		im31					
淫		im24					
立		lip5					
笠		lip5					
粒	liap5						
緝（缉）		tsʰip2					
集		tsip5					
輯（辑）		tsʰip2					
習（习）		sip5					
襲（袭）		sip5					
蟄（蛰）		tsiet2					
澀（涩）		siap2					
汁		tsip2					
執（执）		tsip2					
濕（湿）		sip2					
十	tsap5						
什	tsap5						
拾		sip5					
入		dzip5					
急		kip2					
級（级）		kʰip2					
汲		kʰip2					
給（给）		kip2					
泣		kʰip2					
及		kʰip2					
吸		kʰip2					
邑		ip2					
揖		ip2					
丹		tan55					
單（单）	tuã55	tan55					
旦		tan31					
灘（滩）		tʰan55					
攤（摊）	tʰuã55	tʰan55					
坦		tʰan52					
嘆（叹）		tʰan31					
炭	tʰuã31						
檀		tʰan24					
壇（坛）		tʰan24					
彈（弹）	tuã33						
誕（诞）		tan33					
但		tan33					
蛋		tan33					
彈（弹）		tʰan24					
憚（惮）		tan31					
撣（掸）		tan33					
難（难）		nan24					
難（难）		nan33					
蘭（兰）		lan24					
攔（拦）		lan24					
欄（栏）		lan24					
爛（烂）	nuã33	lan33					
懶（懒）		lan52					
贊（赞）		tsan31					
餐		tsʰan55					
燦		tsʰan31					
殘（残）		tsʰan24					
珊		san55					
散	suã52						
散	suã31						
傘（伞）	suã31						
肝	kuã55						
竿	kuã55						
乾（干）	kuã55	kan55					
幹（干）		kan31					
杆（桿）		kan52					
稈（秆）		kan52					
趕（赶）	kuã52						
干		kan55					
看	kʰuã31						
刊		kʰan55					
侃		kʰan52					
岸		ŋan33					
鼾		han33					
罕		han52					
漢（汉）		han31					
寒	kuã24	han24					
韓（韩）		han24					
旱		han33					
汗	kuã33						
翰		han33					
安	uã55	an55					
鞍	uã55	an55					
按		an31					
案	uã31						
扮		pan33					
盼		pʰan31					
瓣		pan31					
辦（办）		pan33					
綻（绽）		tsan33					
盞（盏）		tsan52					
鏟（铲）		tsʰan52					
潺		tsʰan24					
山	suã55	san55					
汕	suã31						
産（产）		tsʰan52					
艱（艰）		kan55					
間（间）		kan55					
簡（简）		kan52					
揀（拣）		kan52					
柬		kan52					
間（间）		kan55					
眼	kan52	ŋan52					
閒（闲）		an24					
限		han33					
莧（苋）		hien31					
班		pan55					
斑		pan55					
扳		pan55					
頒（颁）		pan55					
板		pan52					
版		pan52					
攀		pʰan55					
扳		pan55					
襻		pʰan31					
蠻（蛮）		man24					
慢		man33					
栈		tsan52					
删		san55					
訕（讪）		san31					
疝		san31					
奸		kan55					
姦（奸）		kan55					
諫（谏）		kan31					
顏（颜）		ŋan24					
諺（谚）		ŋan33					
雁		ŋan33					
晏	uã31	an31					
編（编）		pien55					
鞭		pien55					
變（变）		pien31					
篇		pʰien55					
偏		pʰien55					
騙（骗）		pʰien31					
便		pien33					
便	pan24						
辨		pien31					
辯（辩）		pien31					
汴		pien33					
綿（绵）	mĩ24						
棉	mĩ24						
免		bien52					
勉		mien52					
娩		mien52					
緬（缅）		mien52					
面	bin33						
碾		nien52					
連（连）		lien24					
蓮（莲）		lien24					
聯（联）		lien24					
輦（辇）		lien52					
煎		tsien55					
剪		tsien52					
箭	tsĩ31						
濺（溅）		tsien31					
賤（贱）		tsien31					
遷（迁）		tsʰien55					
淺（浅）		tsʰien52					
錢（钱）	tsĩ24						
踐（践）		tsien33					
仙		sien55					
鮮（鲜）		sien55					
癬（癣）		sien52					
蘚（藓）		sien52					
綫（线）	suã31						
線（线）	suã31						
涎		sien24					
羨		sien33					
展		tsien52					
纏（缠）	tĩ24						
氈（毡）	tsĩ55						
戰（战）		tsien31					
顫（颤）		tsien31					
膻		san55					
扇	sĩ31						
蟬（蝉）		siam24					
禪（禅）		siam24					
善		sien33					
膳		sien33					
擅		sien33					
單（单）	tuã55	tan55					
然		dzien24					
燃	hiã24						
遣		kʰien52					
乾		kʰien24					
虔		kʰien24					
件	kiã33						
焉		ien55					
延		ien24					
筵		ien24					
演		ien52					
建		kien31					
鍵（键）		kien31					
健		kien31					
腱		kien31					
言	ŋan24						
軒（轩）		hien55					
掀		hien55					
憲（宪）		hien31					
獻（献）		hien31					
蔫		ien55					
堰		ien31					
邊（边）	pĩ55	pien55					
蝙		pien55					
扁	pĩ52	pien52					
匾		pien31					
遍		pien31					
片		pʰien31					
爿	peŋ24						
駢（骈）		pʰien24					
辮（辫）		pien31					
眠		mien24					
麵（面）	mĩ33						
顛（颠）		tien55					
典		tien52					
天	tʰĩ55	tʰien55					
田	tsʰan24（训）	tʰien24					
填		tʰiam24					
電（电）		tien33					
殿		tien33					
奠		tien33					
佃		tien33					
年	nĩ24						
攆（撵）		nien52					
撚		nien52					
憐（怜）		lien24					
練（练）		lian33					
煉（炼）		lian33					
箋（笺）		tsien55					
薦（荐）		tsien31					
千	tsʰeŋ55						
前	tseŋ24						
先	seŋ55，san55，sin55	sien55					
筅		sien52					
肩	kan55						
堅（坚）		kien55					
繭（茧）	kan52						
見（见）	kĩ31	kien31					
牽（牵）	kʰan55						
研	ŋan24						
硯（砚）		ien33					
顯（显）		hien52					
賢（贤）		hien24					
弦		hien24					
現（现）		hien31					
煙（烟）		ien55					
燕	ĩ31	ien31					
嚥（咽）		ien55					
宴		ien33					
獺（獭）		tʰat2					
達（达）		tat5					
捺		nat5					
辣	luaʔ5						
擦		tsʰat2					
撒		sat2					
薩（萨）		sat2					
割	kuaʔ2						
葛	kuaʔ2						
渴	kʰuaʔ2						
喝	huaʔ2						
曷		hat2					
八	peʔ2	pat2					
拔		pat2					
札		tsat2					
紮（扎）		tsat2					
扎		tsat2					
察		tsʰat2					
殺（杀）		sat2					
軋（轧）		at2					
鍘（铡）		tsat2					
瞎		hat2					
轄（辖）		hat2					
別（别）	pat5	piet5					
別（别）	bat2						
憋		piet2					
鱉（鳖）		piet2					
滅（灭）		miet5					
列		liet5					
裂	liʔ5	liet5					
烈		liet5					
薛	siʔ2						
褻（亵）		siet2					
泄		siet2					
哲		tsiet2					
徹（彻）		tsʰiet2					
撤		tsʰiet2					
轍（辙）		tsiet5					
折		tsiet5					
浙		tsiet2					
舌	tsiʔ5						
設（设）		siet2					
熱（热）	dzuaʔ5	dziet5					
孑		kiet2					
傑（杰）		kiet5					
孽		iet5					
揭		kʰiet2					
竭		kiet5					
歇	heʔ2						
蠍（蝎）		kʰiet2					
謁（谒）		iet2					
撇		pʰiet2					
篾		miet5					
鐵（铁）	tʰiʔ2	tʰiet2					
迭		tiet5					
跌		tiet5					
捏		niet5					
節（节）	tseʔ2	tsiet2					
切		tsʰiet2					
截		tsiet5					
屑		siet2					
結（结）		kiet2					
潔（洁）		kiet5					
噎		iet2					
搬	puã55						
般	puã55						
半	puã31						
絆（绊）		pan31					
潘	pʰuã55	pʰan55					
拌		pan33					
判		pʰan31					
盤（盘）	puã24						
伴	pʰuã33						
叛		pʰan33					
暪（瞒）		man24					
饅（馒）		man33					
滿（满）	muã52	man52					
漫		man33					
幔		man33					
端		tuan55					
短	te52						
斷（断）	tʊĩ33	tuan33					
鍛（锻）		tuan31					
團（团）		tʰuan24					
段		tuan33					
緞（缎）		tuan33					
暖		nuan52					
鸞（鸾）		luan24					
卵	nʊĩ33	luan52					
亂（乱）		luan33					
鑽（钻）		tsuan31					
纂		tsuan52					
竄（窜）		tsʰuan31					
酸	sʊĩ55						
算	sʊĩ31	suan31					
蒜	sʊĩ31						
官	kuã55						
觀（观）		kuan55					
冠		kuan55					
管		kuan52					
館（馆）		kuan52					
冠		kuan31					
灌		kuan31					
罐		kuan31					
貫（贯）		kuan31					
寬（宽）	kʰuã55						
款		kʰuan52					
玩		uan24					
歡（欢）		huan55					
喚（唤）		huan31					
煥（焕）		huan31					
桓	heŋ24						
完		uan24					
丸		uan24					
紈（纨）		uan24					
緩（缓）		huan52					
皖		uan52					
換（换）	uã33						
豌		uan55					
碗	uã52						
腕		uan52					
鰥（鳏）		kuan55					
幻		huan31					
篡		tsʰuan31					
撰		tsuan33					
閂（闩）		suan55					
拴		suan55					
涮		suan31					
關（关）	kuẽ55	kuan55，kan55					
慣（惯）		kuan31					
頑（顽）		ŋan24					
還（还）	heŋ24	huan24					
環（环）		huan24					
患		huan33					
宦		huan33					
彎（弯）		uan55					
灣（湾）		uan55					
戀（恋）		lien33					
痊		tsʰuan24					
全	tsʊĩ24	tsuan24					
泉	tsuã24	tsuan24					
宣		suan55					
選（选）		suan52					
旋		suan24					
旋		suan31					
鏇（旋）		suan31					
轉（转）	tʊĩ52	tsuan52					
轉（转）		tsuan31					
傳（传）		tsʰuan24					
椽		tsʰuan24					
篆		tsuan33					
傳（传）		tsuan33					
專（专）	tsʊĩ55	tsuan55					
磚（砖）	tsʊĩ55						
川		tsʰuan55					
穿	tsʰʊĩ55						
喘		tsʰuan52					
舛		tsʰuan52					
串	tsʰʊĩ31	tsʰuan31					
船	tsun24						
軟（软）	nʊĩ52						
捲（卷）		kien52					
眷		kuan31					
卷		kien52					
絹（绢）		kien55					
娟		kien55					
圈		kʰien55					
權（权）		kʰien24					
拳	kun24						
鬈		kʰien24					
倦		kien31					
員（员）		uan24					
圓（圆）	ĩ24	uan24					
院	ĩ33	uan33					
緣（缘）		uan24					
沿		ien24					
鉛（铅）		ien24					
捐		kien55					
兖		ien52					
藩		huan55					
反	pan52	huan52					
翻		huan55					
番	han55	huan55					
販（贩）		huan31					
煩（烦）		huan24					
礬（矾）		huan24					
繁		huan24					
飯（饭）	pʊĩ33						
晚	mʊĩ52	man52					
挽		man52					
萬（万）		man33					
勸（劝）		kʰien31					
券		kuan31					
元		uan24					
原		uan24					
源		uan24					
阮		uan52					
願（愿）		uan33					
喧		suan55					
楦		huan31					
冤		uan55					
宛		uan52					
婉		uan52					
怨		uan31					
袁		uan24					
園（园）	hʊĩ24	uan24					
援		uan24					
垣		uan24					
遠（远）	hʊĩ33	uan52					
涓		kien55					
犬		kʰien52					
懸（悬）		kuan24，hien24					
玄		hien24					
縣（县）		kuan33					
眩		hin24					
淵（渊）		ien55					
缽（钵）	puaʔ2						
鉢（钵）	puaʔ2						
撥（拨）		puat2					
潑（泼）	pʰuaʔ2						
鈸（钹）		puat5					
跋		pat5					
末		mat5					
抹	buaʔ2	mat5					
沫		mat5					
掇		tuat2					
脫（脱）		tʰuat2					
奪（夺）		tuat5					
捋		luat2					
撮		tsʰuat2					
括		kat2					
闊（阔）	kʰuaʔ2						
豁		huat2					
活	uaʔ5						
斡		uat2					
滑		kut5					
猾		uat5					
挖	ueʔ2						
刷		tsʰat2					
刮		kat2					
劣		liet5					
絕（绝）		tsiet5					
雪	seʔ2						
輟（辍）		tsʰuat2					
拙		tsuat2					
說（说）	sueʔ2	suat2					
悅（悦）		uat5					
閲		uat5					
髮		huat2					
發		huat2					
伐		huat5					
筏		huat5					
閥		huat5					
罰		huat5					
襪	bueʔ5						
厥		kiet2					
孓		kuat2					
闕		kʰuat2					
掘		kut5					
橛		kiet2					
月	ɡueʔ5						
越		uat5					
曰		uat5					
粵		uat5					
決		kiet2					
訣		kiet2					
缺		kʰiet2					
血	hueʔ2						
穴		hiet5					
吞		tʰun55					
根		kin55					
跟		kin55					
墾		kʰin52					
齦		jin24					
痕		hun24					
很		hin52					
恨		hin31					
恩		in55					
彬		pin55					
賓		pin55					
檳		pin55					
殯		pin55					
貧		pʰin24					
頻		pʰin24					
牝		pʰin33					
閩		min52					
民		min24					
泯		min52					
敏		min52					
憫		min52					
鄰		lin24					
鱗	lan24	lin24					
磷		lin24					
吝		lin33					
津		tsin55					
盡		tsin33					
進		tsin31					
晉		tsin31					
親		tsʰin55					
秦		tsʰin24					
辛		sin55					
新		sin55					
薪		sin55					
信		sin31					
訊		sin31					
珍		tsin55					
鎮		tin31，tsin31					
趁	tʰan31						
陳	tan24	tsʰin24					
塵		tsʰin24					
陣		tsin33					
榛		tsin55					
臻		tsin55					
襯		tsʰin31					
真		tsin55					
診		tsin52					
疹		tsin52					
振		tsin31					
震		tsin52					
娠		sin55					
神		sin24					
身		sin55					
申		sin55					
伸	tsʰun55	sin55					
辰		tsʰin24					
晨		tsʰin24					
臣		tsʰin24					
腎		sin33					
慎		sin33					
人		dzin24					
仁		dzin24					
忍		dzin52					
認		dzin33					
刃		dzin33					
巾		kin55					
緊		kin52					
僅		kin52					
銀		jin24					
釁		hin31					
因		in55					
姻		in55					
印		in31					
寅		in24					
引		in52					
斤		kin55					
筋		kin55					
謹		kin52					
勁		keŋ33					
勤		kʰin24					
芹		kʰin24					
近		kin33					
欣		hin55					
殷		in55					
隱		in52					
筆		pit2					
畢		pit2					
必		pit2					
匹		pʰit2					
弼		pit5					
密		mit5					
蜜		mit5					
昵		nit5					
栗		lit5					
七		tsʰit2					
漆		tsʰit2					
疾		tsit5					
悉		sit2					
膝		sit2					
窒		tsit2					
侄		tsit2					
秩		tsiet2					
瑟		siet2					
虱	sat2						
質		tsit2					
實		sit5					
失		sit2					
室		sit2					
日		dzit5					
吉		kit2					
詰		kiet2					
一		it2					
乙		it2					
逸		it2					
訖		kit2					
乞		kʰit2					
迄		hit2					
奔		pun55					
本		pun52					
噴		pʰun31					
盆		pʰun24					
笨		pun33					
門	mʊĩ24						
悶		mun33					
敦		tun55					
墩		tun55					
頓		tun31					
褪	tʰʊĩ31						
屯		tʰun24					
豚		tʰun24					
飩		tʰun24					
臀		tʰun24					
囤		tʰun24					
沌		tun33					
盾		tun33					
鈍		tun33					
遁		tun33					
嫩		nun33					
論		lun33					
侖		lun24					
尊		tsun55					
村		tsʰun55					
忖		tsʰun52					
寸		tsʰun31					
存		tsʰun24					
蹲		tun55					
孫		sun55					
損	sʊĩ52	sun52					
遜		sun31					
昆		kʰun55					
崑		kʰun55					
滾		kun52					
棍		kun31					
坤		kʰun55					
捆		kʰun52					
困		kʰun31					
昏	hʊĩ55	hun55					
婚		hun55					
魂		hun24					
餛		hun24					
混		hun33					
渾		hun24					
温		un55					
瘟		un55					
穩		un52					
倫		lun24					
淪		lun24					
輪		lun24					
遵		tsun55					
俊		tsun31					
竣		tsun31					
皴		tsʰun55					
荀		sun24					
詢		sun24					
筍		sun52					
迅		sun31					
浚		tsun31					
旬		sun24					
循		sun24					
巡		sun24					
殉		sun33					
椿		tsʰun55					
諄		tsun55					
肫		tsun55					
準		tsun52					
准		tsun52					
春		tsʰun55					
蠢		tsʰun52					
唇		tun24					
順		sun33					
舜		sun31					
瞬		sun31					
純		sun24					
蒓		sun24					
醇		sun24					
潤		dzun33					
閏		dzun33					
均		kun55					
鈞		kun55					
菌		kʰun52					
窘		kʰun52					
隕		un52					
匀		un24					
允		un52					
尹		un52					
分	pun55	hun55					
分		hun33					
粉		hun52					
糞		hun31					
奮		hun31					
芬		hun55					
紛		hun55					
忿		hun31					
墳		hun24					
焚		hun24					
憤		hun31					
忿		hun31					
份		hun31					
文		mun24					
紋		mun24					
蚊		mun24					
聞		mun24					
吻		mun52					
刎		mun52					
問	mʊĩ33						
君		kun55					
軍		kun55					
群		kun24					
裙		kun24					
郡		kun33					
熏		hun55					
勛		hun55					
薰		hun55					
葷		hun55					
訓		hun31					
熨		un31					
雲		hun24					
云		un24					
韻		un33					
運		un33					
暈		un33					
不		put2					
勃		put5					
脖		puat5					
沒		mut5					
突		tut5					
卒		tsut2					
猝		tsʰut2					
骨		kut2					
窟		kʰut2					
忽		hut2					
核		hut5					
律		lut5					
率		lut5					
戌		sut2					
恤		sut2					
絀		tsʰut2					
蟀		tsut2					
出		tsʰut2					
術		sut5					
述		sut5					
秫		tsut5					
橘		kit2					
弗		hut2					
拂		hut2					
佛		hut5					
物	mi55	mut5					
勿		mut5					
屈		ut2					
掘		kut5					
倔		kut5					
氯		liɔk5					
幫	pŋ55	pɔŋ55					
榜		pɔŋ52					
謗		pɔŋ31					
滂		pʰɔŋ24					
旁		pʰɔŋ24					
傍		pɔŋ33					
忙		mɔŋ24					
