	註釋：-白讀；=文讀
#yt	
t	[8]凸突
l	[8]栗律率{效～}
ts	[7a]卒
tsʰ	[7a]出
s	[7a]室戌恤率{～領}摔蟀[8]术述術
#ak	
p	[7b]百伯[8]泊{梁山～}
pʰ	[7b]泊{～車}柏拍珀魄[8]白
m	[7a]麥[8]脈
v	[8]划或惑域劃
ts	[7b]窄摘責[8]擇澤宅
tsʰ	[7a]測[7b]惻拆㿭冊策
k	[7b]格骼革隔
ŋ	[7a]扼[8]額逆-{～風}
h	[7a]客{人～：客人}[7b]客嚇
∅	[7a]握[7b]厄軛
#iak	
p	[7b]碧璧壁
pʰ	[7b]劈
t	[8]笛
tʰ	[7b]赤踢[8]蓆
ts	[7b]脊隻
tsʰ	[7b]尺
s	[7b]賜{老派音}碩錫[8]石
kʰ	[7b]劇={～烈}[8]屐劇-{戲～}
h	[7b]吃
#ɐk	
p	[7a]北逼[7b]迫
pʰ	[7a]蔔癖僻闢霹
m	[8]墨默陌覓
t	[7a]得德鯽織-{～蟀}的[8]滴嫡狄滌敵
tʰ	[7b]剔戚[8]特賊
l	[7b]匿[8]勒肋力溺歷曆
ts	[7a]則即稷側仄織={～布}職跡績[7b]積[8]直值植殖藉籍夕席寂
tsʰ	[7a]斥
s	[7a]色悉息熄媳識式飾昔惜適釋析[8]食蝕
z	[7a]抑億憶益[8]翼逆={大～不道}液譯役疫
k	[7a]戟擊[7b]激[8]極
kʰ	[7a]棘隙
h	[7a]克刻黑[7b]赫
#ek	
m	[8]滅{老派音}
z	[8]腋亦易{交～}
#ɔk	
p	[7b]博駁
pʰ	[7b]樸撲[8]薄雹
m	[7a]剝[8]膜莫寞幕
f	[7b]霍藿斛
v	[8]鑊獲
tʰ	[7b]拓托託[8]度{量～}鑿
l	[8]諾駱烙酪洛落絡樂{快～}
ts	[7b]作
s	[7b]塑索朔
k	[7b]閣各腳郭角覺{～得}國
kʰ	[7b]廓確
ŋ	[7b]愕[8]鄂齶鱷嶽樂{音～}嶽
h	[7b]鶴殻[8]學
∅	[7b]惡{～毒}
#iɔk	
t	[7a]雀-{鳥}[7b]啄
l	[8]掠略虐
ts	[7b]著{～衫}爵雀={打麻～}鵲酌桌[8]嚼
tsʰ	[7b]綽卓[8]著{～火}
s	[7b]削
z	[7b]約[8]若弱虐藥躍
kʰ	[7b]卻
#ok	
p	[7a]卜[8]僕
pʰ	[7a]卜{老派音}[7b]僕[8]伏-{地～}
m	[8]木沐
f	[7a]幅福蝠輻腹複覆[8]伏={三～}服袱復
t	[7a]涿督篤[8]獨犢牘毒
tʰ	[7b]禿
l	[7a]鹿[8]祿六陸録緑
ts	[7a]竹築粥祝足燭囑觸[7b]捉[8]族軸逐俗續
tsʰ	[7a]速畜蓄促束[8]濁
s	[7a]宿{～舍}肅縮叔粟[8]淑熟贖蜀屬
z	[7a]沃郁[8]肉育辱玉獄浴欲慾
k	[7a]谷穀鞠菊[8]局
kʰ	[7a]曲
h	[7a]哭[8]讀酷{老派音}
∅	[7a]屋
#m̩	
∅	[3]五午伍[2]吾吳梧蜈悟[6]誤
#ŋ̍	
∅	[2]吳{老派音}蜈{老派音}[6]誤{老派音}
