			编号	字头	低坡	西坡	白龙	白木	屯车	那勉	渌一	伯劳街	竹木排
			133	害	hui22	hui22	hai33	hui22	huɔi21	huɔi221	huɔi44	huɔi33	hui22
			134	拜	pai44	pai44	pai11	pai44	pai21	pai113	pai24	pai24	pai51
			135	排{～挤}	pʰai44	pʰai44	pʰai44	pʰai44	pʰai42	pʰai32	pʰai31	pʰai31	pʰai35
			136	埋	mai44	mai44	mai44	mai44	mai42	mai32	mai31	mai31	mai35
			137	戒	kai44	kai44	kai11	kai44	kai21	kai113	kai24	kai24	kai51
			138	摆	pai24	pai13	pai11	pai13	pai24	pai55	pai55	pai55	pai33
			139	派	pʰai44	pʰai44	pʰai44	pʰai44	pʰai24	pʰai113	pʰai24	pʰai24	pʰai51
			140	牌	pʰai44	pʰai44	pʰai44	pʰai44	pʰai42	pʰai32	pʰai31	pʰai31	pʰai35
			141	买	mai24	mai13	mai11	mai13	mai33	mai33	mai33	mai33	mai13
			142	卖	mai22	mai22	mai33	mai22	mai33	mai221	mai44	mai33	mai22
			143	柴	ʃai44	ʃai44	ʃai44	ʃai44	ʃai42	ʃai32	ʃai31	sai31	ʃiai35
			144	晒	ʃai44	ʃai44	ʃai11	ʃai44	ʃai21	ʃai113	ʃai24	sai24	ʃiai51
			145	街	kai45	kai45	kai25	kai45	kai55	kai33	kai11	kai11	kai45
			146	解{讲～，～开}	kai24	kai13	kai11	kai13	kai24	kai55	kʰai55	kai55	kai33
			147	鞋	hai44	hai44	hai44	hai44	hai42	hai32	hai31	hai31	hai35
			148	蟹	hai22	hai22	hai33	hai22	hai24	hai55	hai44	hai33	hai13
			149	矮	ʔai24	ʔai13	ʔai11	ʔai13	ʔai24	ʔai55	ʔai55	ʔai55	ʔai33
			150	败	pʰai22	pʰai22	pʰai33	pʰai22	pʰai21	pʰai221	pʰai44	pʰai33	pʰai22
			151	币	pʰi22	pʰi22	pʰi33	pʰi22	pʰɐi21	pʰei221	pʰɐi44	pʰɐi33	pʰui22
			152	制{～造}	tʃɐi44	tʃɐi44	tʃɐi11	tʃɐi44	tʃɐi21	tʃɐi113	tʃɐi24	tsɐi24	tʃɒi51
			153	世	ʃɐi44	ʃɐi44	ʃɐi11	ʃɐi44	ʃɐi21	ʃai113	ʃoi24	sɐi24	ʃiɒi51
			154	艺	ŋɐi22	ŋɐi22	ŋɐi44	ŋɐi22	ŋɐi21	ŋɐi221	ŋɐi44	ŋɐi33	ŋɒi22
			155	米	mɐi24	mɐi13	mɐi11	mɐi13	mɐi33	mɐi33	mɐi33	mɐi33	mɒi13
