				编号	字头	汀角	东平洲
				277	分	pɐn13{~雞：養雞}；fɐn55{佮~：合夥}；fɐn13{~：(一)分(錢)}；pi55{~佢估到：給他猜著 / 了}	pɐn33{~雞：養雞}；fɐn55{佮~：合夥}；fɐn33{~：(一)分(錢)}
				278	做	tsu55	tsu55{~嘢：幹活}；tsu22{~月：坐月子}；tsu13{~埋嗨：(功課)做 / 完了}
				279	買	mai13	mai13
				280	肉	jok55	jok55
				281	斬	tsam35	tsam35{~豬肉：買肉}；tsam11{~：砍(樹)}
				282	煮	tsi35	tsu35
				283	飯	fan55	fan55
				284	餸	soŋ13	soŋ33{煮~：做菜}；soŋ13{~：菜(佐飯統 / 稱)}
				285	炆	mɐn13	mɐn33
				286	煲	pɐu13	pau33{~湯：煲湯}；pɐu33{~水：燒(開水)}
				287	湯	tʰɔŋ13	tʰɔŋ33
				288	淥	lok55	lok55
				289	湓		pʰɐn11
				290	盪	lɔŋ13	lɔŋ13
				291	碗	vun35	vun35
				292	抹	mat35{~檯：擦(桌子)}；mɐt35{~身：擦澡}；tʰu11{~：(用筆)抹 / 抹}	mat55{~檯：擦(桌子)}；mɐt55{~身：擦澡}；tʰu11{~：(用筆)抹 / 抹}
				293	檯	tʰui11	tʰui11
				294	撿	kim35	kim35
				295	聯	lin11	lin11
				296	漂	pʰiu13	pʰiu13
				297	紐	lɐu35	lɐu35
				298	繑	kʰiu13	kʰiu13
				299	裝	tsɔŋ13	tsɔŋ33
				300	茶	tsʰa11	tsʰa11
				301	著	tɐu35{淥~：燙(傷)}；tau35{嚇~：(小兒)驚 / 風}；tsɔk35{~衫：穿(衣服)}	tɐu55{淥~：燙(傷)}；tsɔk55{無~褲：光屁股}；tau35{嚇~：(小兒)驚 / 風}
				302	燭	tsok35	tsok55
				303	燒	siu13	siu33
				304	咗		tsɔ35
				305	力	lɐk55	lɐk55
				306	安	un13	ɔn33
				307	斣		tɐu13
				308	擇	tsak55	tsak55
				309	攢	tsan55	tsʰan55
				310	錢	tsʰin11	tsʰin11
				311	炕	hɔŋ13	
				312	焙		pʰui55
				313	醃	jip35{~：(用鹽)醃 / (肉)}；la13{~臢：邋遢}	jip55
				314	攤	tʰan13	tʰan33
				315	凍	toŋ13	toŋ13
				316	穀	kok35	kok55
				317	心	sɐm13{背~：背心}；sam13{~煩：心煩}	sɐm13{穀~：穀穗}；sɐm33{菜~：菜薹}；sam33{~煩：心煩}
				318	肨	pʰaŋ13	pʰaŋ13
				319	糯	lɔ55	lɔ55
				320	粘	tsim13	tsim33
				321	麥	mak55	mak55
				322	粟	sok35	sok55
				323	粱	liɔŋ11	liɔŋ11
				324	黃	vɔŋ11	vɔŋ11{~豆：黃豆}；wɤŋ11{~金金：黃~~}
				325	豆	tɐu55	tʰɐu55
				326	荷	hɔ11	
				327	蘭	lan55{荷~豆：豌豆}；lan11{~花：蘭花}	lan33{牙~豆：豌豆}；lan11{~花：蘭花}
				328	牙	ŋa11	ŋa11
