				编号	字头	汀角	东平洲
				1031	暈	vɐn11	vɐn11
				1032	痛	tʰoŋ13{肚胈~：(肚子)疼}；toŋ13{心~：心疼(東 / 西)}	tʰoŋ13
				1033	筋	kɐn13	kɐn33
				1034	嚇	hak35	hak55
				1035	驚	kiaŋ13	kiaŋ55
				1036	癱		tʰan33
				1037	肺	fɐi13	fɐi13
				1038	腫	tsoŋ35	tsoŋ35
				1039	瘡		tsʰɔŋ33
				1040	痱	fɐi13	mi55
				1041	刺	tsʰi13	tsʰi13
				1042	含	hɐm11	hɐm11
				1043	貢		koŋ13
				1044	厴		jim35
				1045	疤	pa13	pa33
				1046	墨	mɐk55	mɐk55
				1047	痣		tsi13
				1048	臊	sɐu13	sau33
				1049	斑		pan33
				1050	寒		hun11
				1051	攴	pʰok55	pʰok55
				1052	痲	ma11	ma11
				1053	瘋	foŋ13	foŋ33
				1054	惹		ja13
				1055	扭	lɐu35	lɐu35
				1056	屈	vɐt35	vɐt55
				1057	扽	tɐn13	tɐn13
				1058	趼		kin55
				1059	藥	jɔk55	jɔk55
				1060	處		tsʰu13{~方：處方}；tsʰi13{到~：到處}
				1061	丸	jin11	jin11
				1062	散	san13{~：洇(紙)}；san35{~紙：零錢}	san35
				1063	見	kin13	kin13
				1064	功	koŋ13	koŋ33
				1065	睡	sui55	
				1066	醒	siɛŋ35	siɛŋ35
				1067	睏		fɐn13{~醒：(睡)醒了}；fan13{打側~：側身睡}
				1068	摺	tsip35	tsip55
				1069	紮	tsat35	tsat55
				1070	拼		pɐn13
				1071	返	fan13{~工：上工}；fan55{~去：回去(由彼地 / 到此再回}	fan33{~工：上工}；fan55{~去：回去(由彼地 / 到此再回}
				1072	工	koŋ13	koŋ33{返~：上工}；kɔŋ33{收~：收工}
				1073	遲	tsʰi11	tsʰi11
				1074	攰	kui55	kʰui55
				1075	敨	tʰɐu35	tʰɐu35{~：休息}；tʰau35{~唔到氣：喘不過氣}
				1076	去	hi13	hi13{~：上(廁所)}；hui13{除~：除(他之外)}
				1077	屁	pʰi13	pʰi13
				1078	炙	tsiεk35	tsak55
				1079	連	lin11	lin11
				1080	傾	kʰɐŋ13	kʰɐŋ33
				1081	偈	kɐi35	kɐi35
				1082	啄	tok55	
				1083	目	mok55	
				1084	舂		tsoŋ33
				1085	瞌	hɐp35	hɐp55
				1086	囉	lɔ55	lɔ33
				1087	呵	hɔ35	hɔ13
				1088	歉		hip55
				1089	哈	at55	hat55
				1090	嗤	tsʰi55	tsʰi55
				1091	鋪	pʰu13	pʰu13
				1092	覺	kau13{睡落~：睡著(了)}；kɔk35{~得：覺得}	kau13{睏~：睡覺}；kɔk55{~得：覺得}
				1093	閂	san13	san33
				1094	夢	moŋ55	moŋ55
				1095	鼾	hun11	hun11
				1096	仰	ŋɔŋ13	ŋɔŋ13
				1097	罯	ɐm35	ɐm33
				1098	戾	lɐi35	lɐi35
				1099	學	hɔk55	hɔk55
				1100	校	kau35	kau35
				1101	放	fɔŋ55{~學：放學}；fɔŋ13{~紙鷂：放風箏}	fɔŋ55{~學：放學}；fɔŋ13{~紙鷂：放風箏}
				1102	簿	pu55	pʰu55
				1103	師	si55	si33
				1104	筆	pɐt35	pɐt55
				1105	鉛	jin11	jin11
				1106	紙	tsi35{~：紙}；tsi55{放~鷂：放風箏}	tsi35
				1107	撳	kɐm55	kʰɐm55
				1108	信	sɐn13	sɐn13
				1109	封	foŋ13	
				1110	漿	tsiɔŋ13	tsiɔŋ33
				1111	糊	fu11	fu11
				1112	砒	pʰɐi13	pʰɐi33
				1113	尺	tsʰiεk35{~：尺}；tsʰak35{兩~：二尺}	tsʰak55
				1114	擦	tsʰat35	tsʰat55
				1115	物		mɐt55
				1116	箍	kʰu35	kʰu33
				1117	硯		jin35
				1118	沾	tsim35	tsim35
				1119	潦	liu35	liu35
				1120	逃	tʰɐu11	tʰau11
				1121	走	tsɐu35	tsɐu35
				1122	考	hau35	hau35
				1123	罰	fat55	fat55
				1124	徛	kʰi13	kʰi13
				1125	圖	tʰu11	
				1126	章	tsɔŋ13	tsɔŋ33
				1127	徽		fɐi33
				1128	郵	jɐu11	jɐu11
				1129	政	tsɐŋ13	
				1130	局	kok55	kʰok55
				1131	票	pʰiu13	pʰiu13
				1132	相	siɔŋ13	siɔŋ13{~：相片}；siɔŋ33{~信：相信}
				1133	畫	va55	va55
				1134	聊	liu55	liu55
				1135	波	pɔ55	
				1136	踢	tʰiɛk35	tʰiɛk55
				1137	韆	tsʰin13	tsʰin33
				1138	鞦	tsʰɐu13	tsʰɐu33
				1139	鷂	jiu11	jiu11
				1140	古	ku55	ku35
				1141	唱	tsʰiɔŋ13	tsʰɔŋ13
				1142	歌	kɔ13	kɔ33
				1143	符	fu11	
				1144	消	siu55{打符~：吹口哨}；siu13{開~：開支}	
				1145	吹	tsʰui13	tsʰui33{~口哨：吹口哨}；tsʰui13{~笛：吹笛子}
				1146	簫	siu13	siu33
				1147	笛	tiεk55	tʰiεk55
				1148	棋	kʰi11	kʰi11
				1149	摸	mɔ55{~牌：抓牌}；mɔ35{~盲雞：捉迷藏}	mɔ35
				1150	牌	pʰai11	pʰai11
				1151	游	jɐu11	jɐu11
				1152	沕	mi55	mi55
				1153	搞	kau35	kɐu35{~：擺弄(玩 / 具)}；kau35{~掂：辦妥(了)}
				1154	識	sɐk35	sɐk55
				1155	曉	hiu35	hiu35
				1156	撮	tsʰɐt35	tsʰit55
				1157	戲	hi13	hi33
				1158	關	kan13	kan33
				1159	勾	ŋɐu13	
				1160	腿		tʰui35
				1161	唧	tsit55	kit55
				1162	跳	tʰiu13{~飛機：跳房子}；tʰiu11{~：跳}	tʰiu13{~飛機：跳房子}；tʰiu11{~：跳}
				1163	飛	fi13	fi33
				1164	機	ki13	ki33
				1165	舞	mu35	mu13
				1166	炮		pʰau13
				1167	騎	kʰiɛ11	kʰiɛ11
				1168	立	lɐp55	lɐp55
				1169	具	ki55	kʰi55
				1170	猜	tsʰai13	
				1171	枚	mui11	
				1172	吠		fɐi55
				1173	籤	tsʰin13	tsʰin33
				1174	請	tsʰiɛŋ35	tsʰiɛŋ35
				1175	禮	lɐi13	lɐi13
				1176	情		tsʰɐŋ11
				1177	謝	tsʰiɛ55	tsʰiɛ55
				1178	斟	tsɐm13{~茶：斟(茶)}；tsʰɐm13{~嘴：親嘴}	tsɐm33{~茶：斟(茶)}；tsʰɐm33{~嘴：親嘴}
				1179	派	pʰai13	pʰai13
				1180	座	tsɐk55{入~：入席}；tsɔ55{~位：座位}	tsɐk55{入~：入席}；tsʰɔ13{~位：座位}
				1181	慢	man55	man55
				1182	行	haŋ11	haŋ11
				1183	亂	lin55	lun55{~講野：胡說}；lin55{~：(弄)亂(了)}
				1184	嗑	ŋap55	
				1185	呼	fu13	fu33
				1186	叩	kʰɐu13	kʰɐu13
				1187	拱	koŋ35	
				1188	充	tsʰoŋ55	
				1189	闊	fut35	fut55
				1190	扮		pʰan55
				1191	丟	tiu13	
				1192	架	ka35{丟~：丟臉}；ka13{~：(一) 輛 / (車)}	ka13
				1193	累	lui55	lui55
				1194	爲	vɐi11	vɐi11
				1195	你	li13{難爲~：難為你}；li3{~哋个：你們的}	li13{爲難~：難為你}；liε13{~厲：你們}
				1196	湊	tsʰɐu13	tsʰɐu13
				1197	到	tɐu35{撞~：遇見(熟 / 人)}；tɐu13{~：到(今天止)}；tau35{睇唔~：看不見}	tau35{撞~：遇見(熟 / 人)}；tau13{~處：到處}；tɐu13{~：到(今天止)}；tɐu35{入唔~：進不去}
				1198	探	tʰam13	tʰam13
				1199	本	pun35	pun35
				1200	托	tʰɔk35	tʰɔk55
				1201	吩	fɐn13	
				1202	咐	fu13	
				1203	插	tsʰap35	tsʰap55
				1204	喝	hut35	hut55
				1205	哦	ɔ13	ɔ33{~嗨：完蛋}；ɔ13{開心死~：高興死了 / (程度誇 / 張)}
				1206	嗨		hui35{哦~：完蛋}；hui33{凍死~：凍死了 / (程度誇張)}
				1207	教		kau13
				1208	訓		fɐn13
				1209	鬧	lau55	lau55
				1210	挨	ŋai11	ŋai11
				1211	吵		tsʰau11
				1212	勸	hin13	hin13{~交：勸架}；hun13{~：安慰}
				1213	幫	pɔŋ13	pɔŋ33
				1214	畀	pi55{~佢：給(他)}；pi35{~：讓(他去)}	pi55
				1215	佢	kʰi11{畀~：給(他)}；1{~哋个：他們的}	kʰi11{畀~：給(他)}；kʰiε13{~厲：他們}；kiε13{~厲嘅：他們的}
				1216	得	tɐk35	tɐk55
				1217	幾	ki35	ki35{~好：不錯}；ki33{~乎：幾乎(沒命)}
				1218	准	tsɐn35	tsɐn35
				1219	唆	sɔ11	sɔ11
				1220	駁		pɔk55
				1221	撩	liu11{~：撩撥}；liu35{~：(用手指) / 摳}	liu13
				1222	挑	tʰiu13	tiu33
				1223	撥		pʰut55
				1224	讓	jɔŋ55	jɔŋ55
				1225	邏	la11	la11
				1226	閒	han11	han11
				1227	掂	tim55	tʰim55
				1228	運	van55	van55
				1229	當		tɔŋ33
				1230	興	hɐŋ13	hɐŋ33{~：時興}；hɐŋ13{高~：高興}
				1231	館	kun35	
				1232	居		ki33
				1233	旅	li13	
				1234	棧		tsʰan13
				1235	販	fan55	fan55
				1236	旺		vɔŋ55
				1237	張	tsiɔŋ13	tsɔŋ33
				1238	貨	fɔ13	
				1239	台	tʰui11	tʰui11
				1240	侍	si11	
				1241	闆		pan35
				1242	記	ki13	ki13
				1243	傅	fu35	fu55
				1244	徒	tʰu11	tʰu11
				1245	價	ka13	ka13
				1246	還	van11	van11{~價：砍價}；han11{~：還(沒來)}
				1247	賒	sε13	tsʰa33
				1248	磧	tsak35	tsak55
				1249	追	tsui13	tsui33
				1250	債	tsai13	tsai13
				1251	算	sin13	sin13
				1252	秤	tsʰɐŋ13	tsʰɐŋ13
				1253	厘	li11	li11
				1254	戥	tɐŋ55	
				1255	支	tsi13	tsi33
				1256	籌		tsʰɐu11
				1257	數	su35	su35
				1258	找	tsʰau35	tsʰau35
				1259	爭	tsʰaŋ13{~：差(一角 / 錢)}；tsaŋ13{~滴：幾乎(沒命)}	tsʰaŋ33{~：差(一角 / 錢)}；tsɐŋ33{~滴：幾乎(沒命)}
				1260	賺	tsan55	tsʰan55
				1261	蝕	sit55	sit55
				1262	值	tsɐk55	
				1263	抵	tɐi35	tɐi35
				1264	夠	kɐu13	
				1265	毋	m̩11	m̩11
				1266	貴	kɐi13	kɐi13
				1267	站	tsam55	tsʰam55
				1268	碼	ma13	ma13
				1269	橋	kʰiu11	kʰiu11
				1270	街	kai13	kai33
				1271	汽	hi13	hi33
				1272	私	si13	
				1273	輪	lɐn11	lɐn11
				1274	船	sin11	sin11{火~：輪船}；sun11{帆~：帆船}
				1275	帆	fan11	fan11
				1276	巢		tsʰau11
				1277	舨	pan35	pan35
				1278	簰	pʰai11	pʰai11
				1279	漏	lɐu55	lɐu55
				1280	費		fɐi13
				1281	班	pan13	
				1282	誤		ŋ̩55
				1283	位	vɐi55	vɐi55
				1284	司	si13	si33
				1285	揸	tsa13	tsa13
				1286	顎	ŋɔk55	ŋɔk55
				1287	磕	ŋɐp55	ŋɐp55
				1288	擰	lɐŋ55	lɐŋ55
				1289	擘	mak35{~開眼：睜(眼)}；mɐk35{~：撕}	mak55{~嘴：張(嘴)}；mɐk55{~：撕}
				1290	瞇	mi13	mi33
				1291	睜	tsɐŋ13	tsɐŋ33
				1292	望		mɔŋ55
				1293	䁓	tsɔŋ13	tsɔŋ33
				1294	住	tsi55	tsi55
				1295	滴	ti55{睇住~嘢：看守(東 / 西)}；tit55{呢~：這些}	tit55
				1296	聞	mɐn11	mɐn11
				1297	嘗	sɔŋ11	sɔŋ11
				1298	嘟	tit55{~嘴：噘(嘴)}；tut55{肥~嘟：胖~~}	tut55
				1299	噜	lu35	
				1300	眯	mi13	
				1301	嚼	tsiu55	tsʰiu55
				1302	啜	tsit35	tsut55
				1303	吸	kʰɐp35	
				1304	索	sok35{~性：索性(不去)}；sɔk13{短短个~：短短的繩 / 子}	sɔk55
				1305	舔	lim35	
				1306	舐		lai13
				1307	吮	tsʰin13	
				1308	吐	tʰu13	tʰu13
				1309	銜	hɐm11	
				1310	噴	pʰɐn13	pʰɐn13
				1311	笑	siu13	siu13
				1312	㧡	kʰai13	kʰai33
				1313	斮	tsʰɔk35	tsʰɔk55
				1314	舉	ki35	ki35
				1315	擁	oŋ35	oŋ35
				1316	捻	lin35	lin35
				1317	掐		kʰak55
				1318	抱	lam35	pʰau13
				1319	撐	tsʰɐŋ13	
				1320	拏	la35	la35
				1321	繃	mɐŋ13	mɐŋ33
				1322	摘	tsak35	tsak55
				1323	拗	au35	au35{~：折(斷)}；ŋau11{~：(車)歪(向 / 一邊)}
				1324	酓	jɐm11	jɐm11
				1325	敖	ŋɐu11	
				1326	搖	jiu11	jiu11
				1327	揀	kan35	kan35
				1328	捽	tsɐt35	tsɐt55
				1329	拍	pʰak35	pʰak55
				1330	揼	tɐm35	tɐm35
				1331	擗	pʰiɛk55	pʰiɛk55
				1332	跌	tit35	tit55
				1333	揈	fɐŋ55	fɐŋ55
				1334	潑		pʰut55
				1335	掟	pʰiɛk55	
				1336	扡	ja35	
				1337	痎	hai11	hai11
				1338	撓		ŋɐu35{~痎：撓(癢)}；ŋau55{磨~：(牛貼在樹 / 上)蹭(癢)}
				1339	擎		la35
				1340	捧	poŋ35{~：端(碗)}；pʰoŋ11{~：(一)捧(花 / 生)}	poŋ35{托~：(用手)托 / (住)}；pʰoŋ11{~：(一)捧(花 / 生)}
				1341	揞	ɐm35	ɐm35
				1342	屏	piɛŋ13	piɛŋ33{~：藏(物)}；piɛŋ13{~：躲藏}
				1343	敲		kʰau33
				1344	冚	kʰɐm35	kʰɐm35
				1345	綁	pɔŋ35	pɔŋ35
				1346	搉	kɔk35	kɔk55
				1347	拂		fit55
				1348	層	tsʰɐŋ11	tsʰɐŋ11
				1349	挖	vat35	vat55
				1350	拮	kɐt35	
				1351	厾		tok55
				1352	削	siɔk35	siɔk55
				1353	濾		li55
				1354	泌	pi13	pi13
				1355	攪	kau35	kau35
				1356	承	sɐŋ11	
				1357	撣		tʰan11
				1358	抄	tsau13	
				1359	翻		fan33
				1360	捅	toŋ35	tʰoŋ35
				1361	掖	jak55	
				1362	搓	tsʰɔ13	
				1363	捼		lɔ11
				1364	壓		at55
				1365	戙	toŋ55	tʰoŋ55
				1366	摳		ŋɐu33
				1367	捋	lit35	
				1368	執	tsɐp35	tsɐp55
				1369	搬	pun13	pun33
				1370	蹬	tɐŋ13	
				1371	踩	tsʰai35	tsʰai35
				1372	飆	piu35	piu33
				1373	纜	lam13	
				1374	跨	kʰa13	
				1375	趴	pʰa13	pʰa33
				1376	抌	tɐm55	tʰam55
				1377	踏		tʰap55
				1378	迓	ŋa55	ŋa55
				1379	徑	kaŋ13	
				1380	戟		kʰɐk55
				1381	來	lui11	lui11
				1382	攔	lan11	
				1383	擋	tɔŋ35	tɔŋ35
				1384	孭	pa11	pa11
				1385	抬	tʰui11	tʰui11
				1386	憑	pɐŋ55	pʰɐŋ55
				1387	靠	kʰau13	kʰau13
				1388	搵	vɐn35	vɐn35
				1389	瀡	siɔ11	
				1390	滑	vat55	vat55
				1391	射		sa55
				1392	櫼	tsim13	
				1393	浮	fɐu11	fɐu11
				1394	墜	tsui55	
				1395	翹	hiu13	kʰiu55
				1396	碾	ŋan11	
				1397	研		ŋan11
				1398	換	vun55	vun55
				1399	緊	kɐn35{記~：牽掛}；kɐn55{出面落~大水：外面在下 / 雨。}	kɐn13{輪~來：輪流}；kɐn35{~：(放)在(哪 / 裏)}；kɐn55{外面落~大水：外面在下 / 雨。}
				1400	縱	tsoŋ13	tsʰoŋ13
				1401	壊	vai55	vai55
				1402	濁	tsok55	tsʰok55{~：(水)滄(了 / 鼻子)}；kʰok55{~鼻：(氣味)刺 / 鼻}
				1403	哽		kɐŋ35
				1404	凹	lip35	lɐp55
				1405	凸	tɐt55	tʰɐt55
				1406	知	ti13	ti33
				1407	以	ji13	ji13
				1408	為	vɐi11	vɐi11
				1409	估	ku35	ku35
				1410	計		kɐi13
				1411	惱	lɐu13	lɐu13{~：討厭}；lau13{得人~：討人嫌}
				1412	委	vɐi35	vɐi35
				1413	惶	kʰɔŋ11	kʰɔŋ11
				1414	防	fɔŋ11	fɔŋ11
				1415	諗	lɐm35	
				1416	甘	kɐm13	
				1417	願	jin55	jin55
				1418	惜	siεk35	siak55
				1419	煩	fan11	fan11
				1420	忘	mɔŋ55	mɔŋ55
				1421	怪	kɐi13	kɐi13
				1422	懷	vai11	vai11
				1423	疑	ji11	ji11
				1424	嫌	him11	him11
				1425	棄	hi13	hi13
				1426	慰	vɐi13	
				1427	傷	siɔŋ13	
				1428	捨	siε35	sa35
				1429	靜	tsɐŋ55	tsʰɐŋ55
				1430	輕	hiɛŋ13{~鬆：輕鬆}；hiεŋ13{~：輕}	hiɛŋ33{~鬆：輕鬆}；hiεŋ33{~：輕}
				1431	鬆	soŋ13	soŋ33
				1432	晟	tsʰɛŋ11	tsʰaŋ11
				1433	狹	kip55	kʰip55
				1434	膩	li55	li55
				1435	埂	aŋ35	
				1436	塱		lɔŋ13
				1437	嗱	la35	la35
				1438	矮	ai35	ai35
				1439	鹹	ham11	ham11
				1440	澀	kip35	kip55
				1441	淡	tʰam13	tʰam13
				1442	濃	joŋ11	joŋ11
				1443	稠	lɐu11	
				1444	鮮	sin13	
				1445	稀		hi33
				1446	塌		tʰap55
				1447	渾	vɐn11	
				1448	清	tsʰɐŋ13{~：(水)清}；tsɐŋ13{冷~：冷清}	tsʰɐŋ33{~：(水)清}；tsʰɐŋ55{冷~：冷清}
				1449	暗		am13
				1450	熟	sok55	sok55
				1451	穩	vɐn35	vɐn35
				1452	歪	miɛ35	vɐi35
				1453	疏	sɔ13	
				1454	勁	kʰɐŋ13	
				1455	跩	jɐi13	
				1456	斜	tsʰiɛ13	tsʰiɛ13
				1457	晃		fɔŋ35
				1458	潮	tsʰiu11	
				1459	濕	sɐp35	sɐp55
				1460	回		vui11
				1461	伶	laŋ11	
				1462	俐	li55	
				1463	淨	tsiɛŋ55{~係：(別)老是 / (說)}；tsiεŋ55{~愛一滴：只需要一 / 丁點兒}	tsʰiaŋ55{乾~：乾淨}；tsiaŋ55{~愛一滴：只需要一 / 丁點兒}
				1464	容	joŋ11	joŋ11
				1465	易	ji55	ji55
				1466	直	tsɐk55	tsʰɐk55{~：(路)直}；tsɐk55{~登：特地(趕 / 來)}
				1467	粗	tsʰu13	tsʰu33{~：(繩子)粗}；tsʰu13{好~：(繩子)~粗}
				1468	幼	jɐu13	jɐu13
				1469	笨	pʰɐn13	pʰan13
				1470	腥	siɛŋ13	siɛŋ33
				1471	嫩	lin55	lun55
				1472	焫	lat35	
				1473	綠	lok55	lok55
				1474	碧		pɐk55
				1475	茫	mɔŋ11	mɔŋ11
				1476	酸	sin13	sun33
				1477	甜	tʰim11	tʰim11
				1478	腌	ŋat35	
				1479	燥	tsau13	
				1480	溚	tap55	tat55
				1481	軟	jin13	jun13{~：(饅頭)軟}；jin13{~綿綿：軟~~}
				1482	綿	min11	min11
				1483	四	si13	si13
				1484	六	lok55	lok55
				1485	七	tsʰɐt35	tsʰɐt55
				1486	廿		ȵiap55
				1487	卅		sa33
				1488	斤	kɐn13	kɐn33{兩~：二斤}；kɐn55{一~半：一斤半}；kɐn13{幾多~：多少斤}
				1489	両	liɔŋ35{兩~：二両}；liɔŋ13{兩斤二~：二斤二両}	liɔŋ35
				1490	朵	tɔ35	tɔ35
				1491	棵	pʰɔ13	pʰɔ33
				1492	餐	tsʰan13	tsʰan33{~：(一)頓(飯)}；tsʰan11{~：(打一)頓}
				1493	件	kin55	kʰin55
				1494	副		fu13
				1495	棟		toŋ13
				1496	疊	tap55	tap55
				1497	啖	tam55	tʰam55
				1498	塊	fai13	fai13
				1499	轆	lok35	lok55
				1500	緬	min35	
				1501	潭	tʰɐm13	tʰɐm13
				1502	壢	liɛk55	liɛk55
				1503	場	tsʰɔŋ11	tsʰɔŋ11
				1504	度	tu55	
				1505	堆	tui13	tui33
				1506	服	fok55	fok55
				1507	抩	lam13	lam33
				1508	毫	hɐu11	hau11
				1509	次	tsʰi13	tsʰi13
				1510	我	ŋɔ13	ŋɔ13
				1511	哋	ti55{我~：我們}；kʰi11{佢~个：他們的}	li55
				1512	厲		lɐi55
				1513	哪	lai35	la13{~誰人：誰}；lai13{~神嘅：誰的}
				1514	誰	sui11	sui11
				1515	自	tsi55	tsʰi55
				1516	己	ki35	ki35
				1517	个	kɔ13{你哋~：你們的}；ti55{佢哋~：他們的}	
				1518	神		sɐn11
				1519	呢	liε35	li13
				1520	嗰	kɔ35{~個：那個}；lai35{~陣：哪會兒}	kɔ35
				1521	咁	kɐm13	kɐm13
				1522	久	kɐu35	kɐu35
				1523	咩	miε55	mε55
				1524	乜	miε55	mε55
				1525	常		sɔŋ11
				1526	係	hɐi55	hɐi55
				1527	即	tsɐk35	tsɐk55
				1528	特	tɐk55{~別：特別(鹹)}；tɐk35{~登：特地(趕 / 來)}	tʰɐk55
				1529	別	pit55	pit55
				1530	都	tu13	tu33
				1531	咸	hɐm55	
				1532	彩	tsʰui35	tsʰui35
				1533	登	tɐŋ13	tɐŋ33
				1534	冇	mau11{~：沒(去)}；mɐu13{~耗：(手錶)不 / 見了}	mau11{~：沒(去)}；mau13{有~去佢屋企：(你)去沒 / 去他家？}
				1535	使	sɐi35	sɐi35
				1536	然	jin11	jin11
				1537	忽		fɐt55
				1538	搏	pɔk35	pɔk55
				1539	更	kɐŋ35{~加：更(起勁)}；ka13{食耗飯~講：(吃了飯) / 再說}	kɐŋ35{~加：更(起勁)}；ka55{食好飯~講：(吃了飯) / 再說}
				1540	加	ka13	ka33
				1541	約	jɔk35	jɔk55
				1542	乎		fu11
				1543	性	sɐŋ13	
				1544	仍	jɐŋ11	
				1545	似	tsʰi13	tsʰi13
				1546	偏	pʰin13	
				1547	已	ji13	ji13
				1548	經	kɐŋ13	kɐŋ33
				1549	稍	sau35	sau35
				1550	臨	lɐm11	lɐm11
				1551	確	kʰɔk35	
				1552	真		tsɐn33
				1553	同	tʰoŋ11	tʰoŋ11
				1554	或	vak55	vak55
				1555	者	tsɛ35	tsa35
				1556	只	tsi35	tsi35
				1557	要	jiu13	jiu13
				1558	將		tsiɔŋ13
				1559	由	jɐu11	jɐu11
				1560	照	tsiu13	tsiu13
				1561	沿		jin11
				1562	從	tsʰoŋ11	tsʰoŋ11
				1563	在	tsʰui13	tsʰui33
				1564	除	tsʰi11	tsʰi11
				1565	用	joŋ55	joŋ55
				1566	比	pi35	pi35
				1567	咯	lɔ13	
				1568	勻	vɐn11	
				1569	嗮	sai13{搵勻~：找遍了}；sai11{做~咯：(功課)做 / 完了}	
				1570	壞		vai55
				1571	嬴	jεŋ11	jaŋ11
				1572	郁	jok55	jok55
				1573	鍾	tsoŋ13	tsoŋ33
				1574	彎	van13	van33
				1575	寫	siε35	siɛ35
				1576	壼	fu11	fu11
				1577	啦	la13	la35
