	注释：-白读；=文读			
l	[1]捞{把食物放在沸水里烫一下}□{柴～：树木多节部位}□{结蜀～：打一个结}‖□{ka21～：遗失}[3]篓{上圆下方孔大的大竹器，多装番薯}□{猪～：豚}‖□{～□ŋa35：捉弄；小孩好动}			
ts	[1]糟{酒～}邹[3]走{逃跑、溜走}找{～碎钱：找零钱}爪鸟-{厝～囝：麻雀}			
tsʰ	[1]抄钞操{做～}□{搅拌（水泥、沙石等）}[3]草-{野～}吵蚤□{力～：力气}			
θ	[1]梢捎稍‖□{合～□uak5：不正当的男女关系}			
k	[1]交郊勾沟钩[3]九-{～十}垢{青～：淤青}枸			
kʰ	[1]箍-{～桶：用铁丝箍起来的木桶}阄{拔～：抓阄}抠□{合股}[3]口-{量词，用于锅}			
ŋ	[3]偶			
x	[1]薅{～草：专指水稻中耕阶段（约15天）除草。一般的除草称为“拔草”}□{病～：哮喘}[3]吼{叫。～七：做七，即人去世后逢七之日（二七、三七、四七）黎明晨起之时要举行的仪式（一般于门前叫唤死者名字，让其灵魂归家）}			
∅	[1]凹呕			
#iu				
p	[1]标彪镖[3]表{～兄；钟～}裱{装～}婊			
pʰ	[1]漂{～浮}飘[2]嫖瓢薸{浮萍，可作猪食}[5]票{～夹：钱包}漂{～亮}			
m	[2]苗描[3]秒[6]妙庙缪{姓}谬			
t	[1]刁貂雕丢[2]橱-{鸡～：鸡舍}朝{～代}潮调{空～}绸□{震动、颠簸}[5]吊={～唁}钓昼={～日：白天}[6]赵召兆调{～动}纣宙粙{稻子}□{居住}			
tʰ	[1]挑{从下往上挑起}抽[2]筹[3]丑{地支之一；小～}[5]跳粜{～米：卖米}[6]柱-{厝～：房子的柱子}□{肉～：粉刺。本字也可能为“柱”。《闽清县志》“肉柱：粉刺”}			
n	[1]□{皱}[3]鸟={～语花香}扭纽[5]□{用指捏、掐；～菜：择菜}[6]尿			
l	[1]溜[2]寮{粪～：茅棚}燎僚辽疗聊{无～}流={～动}琉{～璃瓦}硫{～磺}留={～学}榴瘤浏□{～囝：淡水蚬}‖□{□kʰi33-21～：头发自然卷（和“□kʰiu53：头发自然卷”词义相同）}□{□kʰa21～：玩儿}[3]了{～解，～结}柳[6]□{棕～□pʰie55：撕成细条的棕叶，捆粽子用}□{～索：利索}			
ts	[1]珠-{目～：眼睛}椒蕉招周舟州洲[2]焦={～虑}樵{渔～耕读}□{～料：佐料}[3]少-{数量少}酒帚{θei35～：芦苇做的一种笤帚}守-{～寡}[5]蛀-{～牙}照诏{～安：地名}[6]就			
tsʰ	[1]须-{喙～：胡须}敲超秋鳅{湖～：泥鳅}[3]手[5]树-{～枝}笑臭={～名远扬}			
θ	[1]消销宵硝{火药。芒～：中药名}霄烧{～月半：中元节}萧箫潇修羞收[2]仇{报～}售酬泅{～潭：游泳}[3]小少={～年}守={遵～}首[5]肖{动词，属某属相}秀绣锈宿{星～}兽[6]韶绍邵受授寿袖□{表扬，羡慕}‖[9]□{～□tɛ55：惭愧}			
k	[1]娇骄[2]乔荞侨求球裘{姓}□{头发自然卷（和“□kʰi33-21□liu53：头发自然卷”词义相同）}[3]绞={～刑}狡饺缴矫久={永～}灸={针～}九={～死一生}韭纠{～正}[5]叫救究[6]轿藠{～头：形似蒜头，腌制可食}舅旧=臼={窠～}□{撬}			
kʰ	[1]跷鸠{斑～}丘邱[2]□{～筋：抽筋}[3]巧[5]窍翘□{～饭：硬饭}□{～上天睏：仰面睡}[6]柩{装着尸体的棺材}			
ŋ	[2]牛={～郎织女}尧			
x	[1]休[3]晓朽			
∅	[1]邀夭妖要{～求}腰优忧悠幽[2]摇遥谣窑姚柔尤犹游由油邮[3]舀{盛（液体物）}扰有={拥～}友酉[5]诱幼{嫩、细。～沙：细沙}[6]鹞{纸～：风筝；老～：老鹰}要{重～}耀又右佑釉			
#eu				
pʰ	[2]浮={～生}[3]否剖[6]阜{曲～：地名}			
m	[2]谋[6]茂贸			
t	[2]条{蜀～针：一根针}投[5]吊-{上～}斗{～争}[6]豆=逗			
tʰ	[2]头={口～}			
l	[2]楼={高～}[6]料廖{姓}漏={纰～}			
ts	[5]皱奏咒={～语}			
tsʰ	[2]愁[5]凑			
θ	[1]搜[2]稠{～～来：经常来；均匀}[3]叟			
k	[3]狗{走～}[5]购构			
kʰ	[3]口={人～}[5]叩扣{～留；～子：纽扣}寇{倭～}			
x	[2]侯={诸～}喉□{母畜发情或指人不安分}[3]吼{叫唤}[6]后={落～；皇～}厚={～道}候侯={闽～：地名（该地名也可以白读）}			
∅	[1]欧瓯{建～：地名}鸥			
#ɔi				
t	[5]对块-{货币单位，相当于“元”，可作量词}兑埭{地方、处所}[6]代-{第几～}袋			
tʰ	[5]退蜕□{犬～：狗洞；暗～：阴沟的注水口}			
n	[2]□{男性生殖器}‖[5]□{□ŋieŋ35～：一些}[6]内			
l	[2]螺脶雷={姓}			
tsʰ	[5]碎莝{砍、削}			
θ	[5]帅[6]坐-{～下}			
∅	[5]爱-{要}			
#œy				
t	[1]堆[3]短-{长～}			
tʰ	[1]推{～刀：刨刀}[3]腿‖□{□ku21lɔ55病～：麻风病。如今这种病很少见，该词现在多用来表示某人事情做得绝，无人理会}			
n	[1]□{～□tsʰøŋ35：被人指责多管闲事}			
l	[3]磊蕾{花～；结～：打结；松柏～：松球}			
tsʰ	[1]□{拉紧}[3]髓			
θ	[1]蓑衰{拍～：倒霉；瘦}□{瘦}			
#uei				
p	[1]飞-{～起来}杯[2]培陪赔肥-{人胖或肉肥}[5]坝{～头：地名}辈贝沸痱{热～：痱子}[6]背{～诵；～褡：背心}倍焙{用文火加热使东西干燥}狈{狼～}吠-{犬～：狗叫}			
pʰ	[1]胚坯{砖～；柴～：较大的木片，一般指在砍伐过程中未经特别处理的}□{做死～：耍赖}[2]皮-{～卵：松花蛋}[5]沛杮{柴～：劈下的木柴碎片。《广韵》：芳废切。斫木札也。□ku21□luŋ21～：刨花}配佩屁-{放～}□{从嘴里往外吐}□{～论：商量}[6]被-{棉～}			
m	[2]梅莓霉枚玫媒煤糜-{～粥：粥}[3]每尾{犁～：犁的部件之一，连接犁上呈弯曲形的木头和最下端的长条形木头}□{～荠：荸荠}[5]妹[6]未-{尚未}			
t	[1]追[6]队坠			
tʰ	[2]捶锤槌{□pa21□laŋ33～：蝌蚪}			
l	[3]儡{傀～戏}累{～积}蕊垒[6]累{连～}类泪			
ts	[1]椎[3]水□{走～：动物发情}[5]最醉晬{做～：过一周岁}[6]罪赘翠			
tsʰ	[1]崔吹炊{蒸。～床：蒸笼（也可说“饭床”）}虽[5]喙{嘴。～皮：嘴唇}脆			
θ	[1]绥[2]隋随垂[5]赛岁={万～}税说{游～}穗[6]瑞遂隧			
k	[1]乖{脾气古怪}飢-{饿}龟{乌～}归{当～}过{果蔬太老（古禾切）}[3]果-{～子：水果}裹-{～起来}馃{米糕。糖～：年糕}拐幾-{～只}轨鬼[5]髻{～囝：妇女头顶或脑后盘起的发结；鸡～：鸡冠}桧{秦～：人名}绘瑰癸贵[6]会{～计}跪柜			
kʰ	[1]开-{～门}盔亏魁{～星}蒯{姓}[3]傀{～囝：小孩子}[5]愧溃			
ŋ	[2]危[3]我-{～侬：我们}[6]外={～国}伪魏			
x	[1]灰={洋～：水泥}恢挥辉徽[2]回{～润：受潮}茴{～香}蛔{～虫}[3]毁火{～子：烧火时的小火星}[5]悔{～气：后悔}贿岁-{几～}讳{避～}[6]汇会{开～}			
∅	[1]煨{～铺：躺在被窝里取暖}歪威□{遮盖，埋，葬}[2]为{行～}违围[3]委萎{阳～}苇伟[6]卫为{因～}位尉慰胃谓			
#iŋ				
p	[1]斌彬冰{白～：冰糖}兵宾滨槟{～榔}膑{孙～：人名}[2]贫频凭平={和～}苹坪={草～}评={～话：地方曲艺之一}瓶屏{～南：地名}[3]丙炳屏{～息}□{簟，竹子编成的晒东西用的帘，不能卷。能卷的称为“席”}[5]并[6]病={贫～交加}			
pʰ	[1]拼={～接}姘{～头}乒[2]萍[3]品[5]聘			
m	[2]闽民眠{～床：床铺；睏～：睡；熬～：熬夜}鸣冥{挂～钱：在坟上挂冥币。当地每年农历八月初一至十五上山扫墓，而非清明时节扫墓}明={～旦：明天}名={～人}铭[3]敏皿[5]面{洗～：洗脸}[6]命={～令}			
t	[1]珍灯-{～把火：煤油灯}丁钉{名词}盯征惩贞□{阻挠}□{～墩：厚的、有角的菜墩；～□teiŋ33：小的、薄的、无角的菜墩子}‖□{～□maŋ33：螳螂}□{～□（t＞）nøŋ242：动，应当是“动”的分音词}[2]陈尘{塕～：灰尘}藤亭婷停廷庭[3]顶{～头：上头、上面}等-{～蜀下：等一下}鼎={福～：地名}□{量词，蜀～佛像：一尊佛像}[5]镇订钉{动词}叮{动词，叮咬}□{倒立}□{～□（p＞）mu23-35斗：翻跟斗}[6]阵{拍～：打仗}定={决～（也可读白读）}			
tʰ	[1]汀{长～：地名}听={～力}[2]沉={～淀}[3]艇挺[5]趁{赚}			
n	[2]仁-{果核里的仁}宁柠□{乌～：灰尘}[6]认			
l	[2]淋{～巴}临邻鳞麟磷蓤{菠～菜：菠菜}凌陵灵零龄伶苓玲铃[3]廪{仓～}[5]淋{动词，～汤：用少量的水泡菜汤。《集韵》力鸩切，以水沃也}□{瓣，用于桔子、切为片状的西瓜等}[6]令另□{～脬：阴囊}			
ts	[1]津真蒸精={～神}晶□{水真～：水很清澈}[2]秦情晴={～空万里}[3]诊疹振赈震枕={高～无忧}拯整[5]浸进晋正={雍～}证政症{急～：急病}[6]尽{动词，～力；副词，很}静={安～}靖净={～土}			
tsʰ	[1]侵深亲{～人；～家}称{用秤称}青={～年}清={～楚}蜻[3]寝[5]称{对～}秤凊{冷，凉}			
θ	[1]心芯{灯～}辛新薪身申伸{～腰}绅{乡～}升娠{带～：怀孕}声={名～}胜{不～枚举}星腥先-{～生：老师或医生}[2]寻蟳{一种海里的螃蟹}神辰晨臣乘{～除}绳承丞成={～功}诚盛{～檐水：屋檐水}[3]沈审婶省{反～}戥{厘～：戥子，用来称中药}[5]信{相～}迅讯性={～别}胜{～利}圣={～旨}□{生～：生锈}[6]甚肾慎盛{～大}剩			
k	[1]今{～旦：今天}金禁{～受}襟均京惊={～蛰}鲸荆{～州：地名}经={～理}[2]琼□{覆盖，罩住}[3]锦紧仅谨境景警竟[5]禁{禁止}劲敬竞□{动词，使滚烫的物体冷却（一般放在冷水中）}□{～气：憋住气}[6]妗{阿～：舅母；～妈：父亲的舅母}胗{鸡～：鸡的胃}□{～喙：忌口}			
kʰ	[1]钦卿轻倾[2]钳琴禽□{～酒：斟酒}[3]肯-{～无：肯不肯}顷{碧波万～}[5]庆			
ŋ	[2]凝迎={欢～}			
x	[1]馨兴{～旺}兄={内～：大舅子}[2]眩{头晕}形刑型□{发羊～：患羊角风}[5]兴{～趣}囟{～门：婴儿头顶前部中间骨头未闭合处}			
∅	[1]音阴={～暗}因姻{～家：亲家}烟{火～：烟}应{～该}鹰英樱鹦婴缨{红～枪}[2]壬人{～参}仁={～义}寅盈赢=荣莹荧萤{火把～：萤火虫}□{～蚣：蜈蚣}[3]饮={～料}引永{～泰：地名}影={～响}颖□{瓦爿～：碎瓦片}[5]印应{～承：答应}[6]任{～意}孕韧={坚～}泳咏			
#uŋ				
p	[1]崩{坍塌}[2]房㖹{用嘴吹}[5]笨粪{～坑：旧时的厕所}放-{～假}□{肥料}□{□tiŋ23-21～斗：翻跟斗}□{～□（t＞）nɔ33-21裤：开裆裤}			
pʰ	[1]潘-{～水：泔水}蜂[2]篷{船上的篷，早期一般用粽叶制成的席子覆盖在船顶上}蓬捧{动词，奉}[3]纺-{～织：纺纱。可单说，作动词}捧{量词；端，动词，一般是较轻且细小的物体}[5]喷{～漆}缝{名词}			
m	[2]蒙{～～雨：毛毛雨}檬[5]梦={～想}[6]闷			
t	[1]东□{轻轻撞一下}[2]同={～学}童□{□kʰu35-33～：盘成一团（和“□kʰu35：盘成一团”词义相同）}[3]盾董[5]顿={～首}吨冻={天寒地～}栋={～梁}□{□pu21～担：货郎}[6]炖动={运～}洞={～察}			
tʰ	[1]通={～书：黄历}[3]统捅{以肘撞人}‖[6]□{肥肥～～：胖乎乎}			
n	[2]农浓脓={化～}[5]润-{潮湿}[6]韧-{有弹性、不易断}闰			
l	[1]抡□{（称砣等固体物件）摇晃、摇荡}□{□tsu33～□（t＞）nua242：抖一下子}[2]轮沦伦‖□{□tʰu33～：围裙}[9]□{□ku21～杮：刨花}			
ts	[1]踪综宗[2]崇[3]准总□{猜。～谜：猜谜}[5]圳{沟渠}俊{人长得漂亮，男女通用}			
tsʰ	[1]春舂聪匆葱={郁郁～～}[3]蠢𥅻{小睡、打盹}[5]□{连接}			
θ	[1]嵩[2]船旬荀{姓}循巡纯唇{～膏}鹑[3]笋榫{～卯}[5]舜{人名}宋[6]顺			
k	[1]君军工={～商}攻功公={阿～：爷爷}[2]裙群拳[3]滚{～汤：开水}[5]棍贡[6]郡			
kʰ	[1]空={～气}□{猪用嘴拱}[3]捆菌孔{姓}			
x	[1]分={春～}吩芬纷荤风{半爿～：瘫痪、半身不遂}疯丰峰锋封轰[2]魂浑坟云冯洪红={东方～}虹{彩～。《集韵》：胡公切}鸿逢缝{裁～}□{头～：头晕}[3]粉讽‖□{～□maŋ53□θɛ242：那么多}[5]奋训愤[6]混{～合}份分{部～}愤凤奉			
∅	[1]温瘟翁{姓}塕{～尘：灰尘。有些人读与“乌”同音，疑为变读}蕹{～菜：空心菜}[2]文纹闻[3]稳□{～柿：漤柿子}[5]揾{蘸}[6]问={～题}韵运			
#yŋ				
t	[1]中={～国}忠衷[5]中{～意：喜欢}[6]仲{杜～：一种中药}重={～要}			
tʰ	[2]重{～复}			
l	[2]龙={～凤}隆			
ts	[1]终钟{～表；～爱}盅[2]从{介词}[3]种{～类；芒～}肿□{刀～：刀背}[5]种{～植}众			
tsʰ	[1]匆充冲[3]□{筋～去：筋骨扭伤了}[5]铳{旧时用来打鸟的枪}□{熏。～蠓：熏蚊子}			
θ	[2]松{～毛树：松针}[6]诵颂□{穿}			
k	[1]巾斤筋跟根-{树～}弓躬恭宫供{～给}[2]穷[3]拱龚{姓}[6]近共={～产党}			
kʰ	[2]勤芹□{秆～：稻草堆；柴～：柴堆}[3]巩恐[6]虹{出～：雨后出现彩虹。《集韵》：胡贡切，虹洞相连也}□{～树：乌桕树}			
ŋ	[2]银龈{牙齿～：牙龈}□{□tsʰyøŋ53-33～：杨梅}			
x	[1]欣勋薰={～衣草}胸凶{吉～；～恶}[2]熊雄‖□{～款：那么}			
∅	[1]殷雍庸拥痈{一种皮肤病}[2]匀{平分}绒融茸{鹿～；肉～：肉松}容熔蓉溶榕{～树}□{宠溺}[3]忍隐尹{姓}允涌勇[6]润={～滑}用			
#aŋ				
p	[1]班斑={～痕}扳颁般邦□{～□ma33：扒手}[2]平-{～地}坪-{粟～：晒稻谷的平地}[5]柄棒[6]病-{～侬：病人}			
pʰ	[1]潘={姓}蟠{～桃}攀彭{姓}[2]评-{～论。piŋ53}庞{姓}[5]伴判叛胖{～大海}□{空瘪。～粟：秕谷；～喙：谎言（也可以说“九粒～”）}□{～讲：聊天}‖[9]□{～□lieŋ35-55□lieŋ35-53：翻跟斗（侧翻）}			
m	[2]蛮{～笑：开玩笑}馒瞒盲{青～：盲人}虻{牛～蝇：牛虻}暝{食～：吃晚饭；半～：半夜}芒{～果}□{动词，将圆形物件往下钉；～鼓椅：圆形或方形的椅子}‖□{□nouŋ23-33～□maŋ242：非常凌乱}□{□xuŋ33～□θɛ242：那么多}[3]蜢-{草～：蝗虫、蚱蜢的统称}‖□{tiŋ35～：螳螂}[6]曼慢=漫‖□{□nouŋ23-33□maŋ53～：非常凌乱}			
t	[1]耽担{负～}丹{仁～：药名}单{～元}㬹{骹～：脚后跟；手～：手肘}珊-{常用于当地人名}□{犁～：犁上呈弯曲形的木头，前端连接着牛轭及其附件。本字也可能是“担”，即像扁担一样连接着牛轭及其附件}‖□{□ta33～：走路不稳，踉跄的样子}[2]谈坛檀{～香山}弹{～琴}□{耀眼、刺目}□{～下：现在}[3]胆疸掸{鸡毛～}[5]旦担{名词}诞{错}□{映}□{墨水晕开}[6]淡弹{子～}郑□{用木棍支撑或堵在门栓上}			
tʰ	[1]贪{～老：看上去比实际年龄显老}滩摊瘫撑-{～开}□{～鲶：鲶鱼}□{～□kuaŋ33-21□（t＞）n35：摆架子}[2]潭谭痰[3]毯坦{～白}[5]炭碳叹探□{向上顶}			
n	[1]□{冻～：冻疮}[2]南楠{～木}男难{困～}□{目珠～开：眼睛睁开}[3]□{互相推让}‖□{～～：大岩石}□{□～neiŋ33：小部位隆起、凸起}[5]□{踮脚尖}□{起身}[6]难{避～}			
l	[2]蓝篮兰栏{猪～：猪圈}拦林-{树林}[3]览缆揽{～粙：双臂抱稻}榄懒={～惰}灡{口水。《集韵》：郞干切，《说文》潘也}[5]僆{鸡～：未下过蛋的小母鸡}[6]滥烂两{～个}□{湿}‖[9]□{□pa21～槌：蝌蚪}□{□ta21～横：横着写}□{□ka21～□kʰi35睏：侧身睡}			
ts	[1]簪{头～：发簪}争-{～论}[2]蚕{～囝树：桑树}惭残{～害：糟蹋}[3]斩盏{酒～：酒杯}井[5]赞[6]暂錾站{车～}栈			
tsʰ	[1]参{～加}掺青-{黑色；～苔}生-{生的，未成熟}[2]□{狠}[3]惨醒[5]灿			
θ	[1]三杉衫珊={～瑚}山删={～除}生-{～卵：孵蛋}牲-{头～：家畜}[2]晴-{天～}[3]伞产[5]散{～开}汕疝姓性-{～急}[6]静-{平～：家庭和睦}□{量词，蜀～草：一丛草}□{～～：不言语（重叠词）}			
k	[1]甘柑监{关～：入狱}干{～涉；李～：李子做的果脯}杆{秤～}竿肝奸艰{～难}间{房～}菅{～毛：芦苇}更{叫～}粳□{～强迫别人}[2]含-{含在嘴里}衔-{衔在嘴里}寒-{冷}‖□{～□nai242：为什么；怎么（和“□kaŋ21□nei55：为什么；怎么”词义相同）}[3]感敢橄秆{稻草}赶简锏{古代兵器，常见门神手持该兵器}柬㔶{盖。～瓦：盖瓦}□{简单擦洗}□{～笋：茭白}[5]赣监{～督；太～}鉴{～别}干{～部}[6]汗-{流～}间{～隙}‖[9]□{～□nei55：为什么；怎么（和“□kaŋ53□nai242：为什么；怎么”词义相同）}			
kʰ	[1]看{～守}堪勘龛{佛～}刊[3]砍槛舰㦿{～门囝：窗户（一般指旧时建筑上较小的窗户）}[5]看{～书}			
ŋ	[2]癌颜[3]眼-{单～龙：独眼龙}[6]岸雁			
x	[1]蚶{蛤类的一种，较小，壳白色}邯{～郸：地名}鼾{～眠：打鼾}[2]含={包～}函涵咸={副词，全、都}衔={～枚}闲={悠～}寒={～冬}韩翰□{用堆起来的芒草在田里慢慢烧，可作肥料}[3]罕喊{～愿：许愿}[5]汉捍□{～橱：碗橱}[6]憾汗={～衫：衬衣，可外穿}陷‖[9]□{～□ka23：家具}			
∅	[1]庵鹌安鞍桉[2]桁{檩子：梁上或门框、窗框上的横木}[3]饮-{米汤}□{～囝：骂小孩不听话；～囝堆：埋童尸的土堆}[5]暗按案晏{时间晚、迟}[6]旱焊馅			
#iaŋ				
p	[3]饼{量词，用于豆渣饼，蜀～茶䉐：一块茶饼}[5]并{合～}摒{把东西倒掉}□{追}			
pʰ	[1]拼-{～命}□{肩胛骨部位，弯～：驼子}□{披}[3]□{跛}[6]□{闭合}			
m	[2]名-{～字}明-{松～：富含油脂的松木}□{□nouŋ35-33～：什么}[6]命-{算～}			
t	[2]呈埕{较大的平地}[3]侦{～察}鼎-{锅}[6]懒-{懒惰}定-{～下来}			
tʰ	[1]听-{～着：听得见}厅[3]铲-{～墓：扫墓；～草：锄草}□{～来～去：推搡}[5]□{疼痛；好～：可爱}□{鱼～籽：鱼产卵}[6]程{姓}塍-{园～、菜～：由土埂围着的一块块排列整齐的种蔬菜的田，相当于“菜畦”}			
n	[1]□{～哥：小孩儿}[2]燃-{焦、糊了}			
l	[1]□{很粗的缝。～去：慢慢裂开}[2]㫰{晾}[3]领{脰～：衣领}岭{山岭或比较高的台阶}			
ts	[1]正{～月}精-{～怪：妖怪}[3]□{味淡}[5]正-{～～：刚刚}[6]净-{米真～：米很纯}			
tsʰ	[1]清-{闽～：地名}□{小刺儿}[3]铲={火～}癣请□{～尾：扫尾}[6]鳝{鳗～：黄鳝}			
θ	[1]声-{～音}[2]成-{八～}城[5]线{墨斗～：细的线}圣-{灵验}□{捉弄别人}□{目～毛：睫毛}			
k	[1]经-{～布：织布}惊-{害怕}[2]行-{走；～上：方位短语，上面一点；～下：方位短语，下面一点}[3]囝{儿子；作小称义词缀}□{头～：头目}□{～侬：脏}[5]镜			
kʰ	[5]□{把小块布连在一起制成图案或被子}□{～头：点头}			
ŋ	[2]岩迎-{～神：沿街游行，迎接神明的一种民俗活动}[6]岸			
x	[1]兄-{～弟哥：兄弟}[5]□{膻}			
∅	[2]赢-{输～}营[3]影-{有～：有疗效，又指与事实相吻合}[6]□{目珠解～：眼睛刺眼。}			
#uaŋ				
p	[1]般搬[2]盘□{这～：这时候、这会儿、现在}[3]坂{～东：地名}□{溪～：河滩}[5]半[6]拌□{～粙：在稻桶上打稻子以脱粒}			
m	[2]鳗{鳗鱼}[3]满			
t	[1]端[3]短={～处}[5]断={决～}锻{～炼}[6]断{～绝}			
tʰ	[2]团			
l	[2]鸾[6]乱			
ts	[5]撰纂			
tsʰ	[1]餐[3]喘[5]窜篡			
k	[1]官棺观{～察}冠{衣～；～军}关={～公}□{桌椅等腿中间的横木}[3]管={～理}馆梗-{菜～}□{□tʰaŋ35-21～□（t＞）nɔ35：摆架子}[5]观{道～}贯灌罐惯={习～}[6]□{提起}			
kʰ	[1]宽[2]环[3]款{这～：这样}			
ŋ	[2]顽[6]玩‖□{总～：这么}			
x	[1]欢番{～钱囝：铜钱、硬币；～囝：外国人}翻蕃{～薯：白薯}[2]凡矾{明～}烦繁还{～原}横{～恶：凶恶}[3]反={～对}返[5]痪{瘫～}饭=贩泛[6]缓患宦犯范{姓；模～}幻			
∅	[1]弯{～□pʰiaŋ35：驼子}湾{山～：两山之间低凹处}[6]换万			
#eiŋ				
p	[1]绷奔斑-{上～：物品或人皮肤长斑点}[2]爿{半边；里～：里面；柴～：较小的木片，一般指砍伐之后经过处理可用来烧火的木头}便{～宜}朋鹏棚硼{～砂}[3]板版反-{翻转。～棋盘：翻绳变花样的一种游戏}[6]扮办瓣			
pʰ	[1]□{动物用爪子掘地，或人用手或用餐时用筷子翻捡东西}[2]衡□{搪瓷；～□ŋɐu35：牙杯}			
m	[2]萌盟[3]猛蜢=[6]慢-{～行：慢走}孟			
t	[1]登灯={电～}□{触着凸起的东西觉得不舒服}[2]填腾澄□{归还}[3]点-{几～}等={～级}□{□tiŋ21～：小的、薄的、无角的菜墩子}□{头□ŋiak5～：头抬起来}[5]店[6]殿垫邓□{硬，结实}□{□tu53～：蜥蜴，一般拇指大小}			
tʰ	[1]蛏[2]沉-{～下去}			
n	[1]□{胼胝，即老茧}[2]能□{橡皮筋}□{乳房，乳汁}[3]‖□{□naŋ33～：小部位隆起、凸起；□møŋ53-35～：较大范围隆起、凸出}[5]□{用指甲用力挤出}□{踮起}[6]念-{～经}			
l	[1]扔[2]莲怜龙-{～眼}[3]冷[6]弄{厝～：房子里面的通道}			
ts	[1]针榛{～子：锥栗，小而圆}曾{姓；～经}僧{唐～}增争={斗～}[3]剪{犁～：理发用的推剪}[5]荐-{用稻草编起来的床垫}[6]赠			
tsʰ	[1]呻{呻吟}撑={支～}[2]塍={田}层[3]筅{鼎～：筅帚，竹条做的洗锅刷子}[5]衬			
θ	[1]森参{人～}先-{～后}删-{间苗}牲={牺～}生={学～；可指家畜或菜苗死了，避讳的说法}甥[2]前-{～兜：前边}[3]省{～长}㾪{～肉：瘦肉，专指动物}			
k	[1]庚羹{瓢～：汤匙}耕更{～改}[2]鹹-{味道咸。半～淡：形容普通话带地方方言色彩}悬-{高}[3]减捡笕{水～}梗={～直}耿‖□{□kʰa23～：褶子}[5]惯-{形成习惯；～势：习惯}更{～加}[6]县			
kʰ	[1]牵铿{多见于当地人名}[3]犬{狗}肯={～定}			
ŋ	[3]眼={龙～}[6]硬			
x	[1]亨[2]悬={垂下来}宏行={～为}[3]很[5]巷{吉～：地名}[6]杏幸			
∅	[1]莺阴-{～乌天：阴天}□{放置}[2]闲-{～人}[6]限			
#ieŋ				
p	[1]鞭编边{～兜：附近}□{～树：枫树}[3]贬扁匾[5]变遍[6]辨辫{头发～：辫子}辩便{方～}			
pʰ	[1]篇偏[5]骗片			
m	[2]绵棉□{削}‖□{～候：什么时候}[3]免勉{～强}娩{分～}缅{～甸}[5]□{鼎～：锅盖}[6]麵{～条}			
t	[1]颠滇{～池}癫{发～：发神经病}甜[2]田{象棋棋子}缠{～骹：裹脚}[3]点={缺～}展典[5]惦种{～植}[6]佃{～农}甸{缅～}钿{常用于当地人名}电{～米：用机器碾米}奠淀{沉淀}□{水～：水满了}			
tʰ	[1]添天[2]舔[5]䋎{缝，动词}			
n	[1]拈{～脉：号脉}[2]粘鲶年[3]染[6]念={纪～}□{～牙膏：挤牙膏；～死：掐死}			
l	[2]廉镰帘林={姓}连联□{□pʰaŋ21～～：翻跟斗（侧翻）}[3]□{滚动}[6]敛练炼链楝{苦～树}			
ts	[1]尖櫼{楔子}占{～卜}詹煎‖□{～□nɛ33：这里}□{～做：怎么办}[2]潜钱前={～途}[3]□{未熟透}□{手～指：手指}[5]占{～用}战箭颤{抖抖～：发抖}荐={推～}枕-{～头}[6]践贱			
tsʰ	[1]签{～字}籤{牙～；抽～：求签}千迁歼鲜-{鱼新鲜}□{把边缘的布往里头卷，藏着针脚缝}[2]寻{双臂张开的长度}[3]浅□{褪～骹：赤脚}			
θ	[1]仙籼鲜={新～}先={～生：尊称}[2]盐{名词}蝉{～蜕：中药名}禅单{姓}蟾{～蜍母：蟾蜍}檐{～鼠：壁虎}[3]鲜{朝～}冼{姓}陕[5]盐{动词，腌制}扇{风～}[6]赡羡善膳			
k	[1]兼肩坚[2]虔乾墘{边缘。塍～：田埂；桌～：桌边}[3]碱检[5]剑见[6]俭			
kʰ	[1]谦[2]擒{猛拽}[3]遣谴[5]歉欠芡			
ŋ	[1]‖□{～□nɔi23：一些}[2]阎严[3]研{～究；～磨}碾-{用筒状物将东西碾成粉末或轧平}[5]砚瘾{真～：很上瘾}[6]验谚‖[9]□{～～虫：米里生的黑色小虫，似甲虫}			
x	[2]嫌弦舷{船～}贤玄{～孙}悬={～崖}[3]险显[6]现			
∅	[1]淹胭咽{～喉}烟燕{～京}□{捂}[2]炎圆-{形容词}[3]掩演[5]厌燕{～囝：燕子}咽{吞～}宴[6]焰院{□tsy35-53～：厢房}			
#øŋ				
m	[2]芒{～扫：芦苇做的扫帚；～种}□{～□neiŋ33：较大范围隆起、凸出}[3]蠓{比蚊子小的一种黑色飞虫}[5]梦-{做～}[6]网-望-{往远处看}			
t	[1]冬{～节：冬至}□{～□nœ33：哪里}[2]铜桐={梧～}同-{合～}筒{骹～骨：胫骨}□{□tiak5～：跳神（一种迷信活动）}[3]□{谁，可能为“底侬”的合音}[5]冻-{真～：很寒冷}栋-{～脊：屋脊；翘～：防火墙}□{□kɔuk21-35～：一种山坑里的蛙}[6]洞-{山～}动-{起～：谢谢}重-{形容词，～量}□{□tiŋ35-53～：动，应当是“动”的分音词}			
tʰ	[1]通-{～气}□{滚开}[2]桐-{～油：桐树籽榨的油，和漆树汁混合在一起可漆家具}虫[3]桶			
n	[2]脓-{～汁：疮口流出的黄绿色粘液}侬{人。囝～奶：妻儿（也可称“囝郎奶”）}			
