音标	声调	汉字
hiŋ	2	刑(刑法，用刑)形(形状，地形)型盈赢
hiŋ	5	衅兴(兴旺，绍兴)兴(高兴，兴趣)
iŋ	1	应
iŋ	3	影
iŋ	5	献应
niə̯ŋ	3	娘
liə̯ŋ	4	两(两个)两(斤两)辆
liə̯ŋ	3	良凉梁(姓，梁山)粱(高粱)粮量
liə̯ŋ	6	亮量(数量，气量)谅
tsiə̯ŋ	2	畅
tsiə̯ŋ	4	丈
tsiə̯ŋ	1	将(将来)浆章张樟蟑
tsiə̯ŋ	3	藏长(省长，长高)长(长短，长春，天长地久)常场肠尝偿怅蒋奬桨墙(墙壁，壁垒)墙(墙壁，砌墙)瓤祥详掌涨
tsiə̯ŋ	5	将(大将)酱仗杖帐胀障账瘴
tsiə̯ŋ	6	匠
tsʰiə̯ŋ	1	仓苍舱枪
tsʰiə̯ŋ	3	厂抢呛
tsʰiə̯ŋ	5	唱
siə̯ŋ	1	桑商伤厢镶
siə̯ŋ	3	想鮝(鱼干)
siə̯ŋ	5	相(互相，相帮)相(相貌，看相)箱象像
ʃiə̯ŋ	1	香乡秧
ʃiə̯ŋ	3	响
ʃiə̯ŋ	5	向
jiə̯ŋ	4	养痒
jiə̯ŋ	1	央
jiə̯ŋ	3	羊洋阳扬杨烊
jiə̯ŋ	6	让样
kiə̯ŋ	1	姜姜
kʰiə̯ŋ	3	强(坚强，强调)强(勉强，倔强)
puə̯ŋ	1	邦帮
puə̯ŋ	3	榜
muə̯ŋ	4	往网
muə̯ŋ	3	芒(芒种)芒(麦芒)忙盲氓茫亡
muə̯ŋ	6	妄忘望
fuə̯ŋ	1	方芳荒慌谎
tsuə̯ŋ	1	妆庄装桩
tsuə̯ŋ	6	壮状
tsʰuə̯ŋ	1	窗疮
tsʰuə̯ŋ	5	闯创撞
suə̯ŋ	1	霜双孀
suə̯ŋ	3	床爽
kuə̯ŋ	1	光
kuə̯ŋ	3	广狂
kʰuə̯ŋ	1	匡筐框眶
wuə̯ŋ	3	防房皇黄凰蝗蟥簧王枉
pɐŋ	1	绷(衣服紧绷)绷(捆缚，绷紧)
pɐŋ	5	迸
pʰɐŋ	3	崩
fɐŋ	5	放
tɐŋ	1	灯墩
tɐŋ	3	等
tɐŋ	5	凳
tɐŋ	6	邓
tʰɐŋ	3	誊藤腾
lɐŋ	1	吟
lɐŋ	3	棱菱
tsʰɐŋ	3	层
sɐŋ	6	上(动词，上去)上(方位，上面)
kɐŋ	1	江
kɐŋ	3	讲
kʰɐŋ	1	坑
hɐŋ	1	亨
hɐŋ	5	哼
pɔŋ	2	蓬篷
pɔŋ	3	朋彭棚膨
pʰɔŋ	3	捧
pʰɔŋ	5	碰
mɔŋ	4	猛蜢
fɔŋ	1	丰讽
tɔŋ	2	螳同桐童铜瞳筒
tɔŋ	1	当(应当，当官)当(当铺，典当)裆挡冬东
tɔŋ	3	檔党董懂唐堂棠塘糖
tɔŋ	6	洞栋
tʰɔŋ	1	汤通
tʰɔŋ	3	趟捅桶统
tʰɔŋ	5	宕荡(放荡，荡秋千)荡(用水荡荡碗)烫(熨斗)烫(很烫，烫发)痛
lɔŋ	4	砻(去稻壳用)笼陇拢垄
lɔŋ	1	咙
lɔŋ	6	浪酿弄
tsɔŋ	4	仲重
tsɔŋ	1	中(中秋，当中，中央)中(射中，中状元)忠盅衷终钟(千钟粟)钟(敲钟)冢(乱坟堆)宗椶综踪
tsɔŋ	3	虫怂肿总纵(纵横)纵(放纵，跳)
tsɔŋ	5	种(种类，谷种)种(种田)众粽
tsʰɔŋ	1	充舂冲铳(打麻将放铳，打鸟的土枪)怱葱聪鬃
sɔŋ	1	松(松香，松树)松(轻松，松弛)
sɔŋ	5	宋送
jɔŋ	2	雄
jɔŋ	4	泳勇
jɔŋ	1	拥壅
jɔŋ	3	熊
jɔŋ	6	永咏用
kɔŋ	1	肛冈刚岗纲钢(钢铁，炼钢)钢(刀钝了，加钢钢刀)港杠(抬物用具)工弓公功攻宫蚣躬豇扛
kɔŋ	3	拱
kɔŋ	5	杠(同杠，粗棍)贡
kɔŋ	6	汞共供
kʰɔŋ	1	康慷糠空
kʰɔŋ	3	巩恐
kʰɔŋ	5	抗控
hɔŋ	2	宏
hɔŋ	1	封风峰枫蜂疯(发疯，疯狂)
hɔŋ	3	行(银行，行当)行(行为，(车、人)走)弘哄(哄骗)哄(内哄，起哄)锋凤烘轰
kʲɔŋ	2	穷
