例字	注释	中古音	公平	九屋	潭下	甘棠
炉		遇合一平模来	lɑʊ21	nu33	nᵘɔu33	nʊ22
租		遇合一平模精	tsɑʊ44	tsəu232	tsᵘɔu13	tsʊ132
粗		遇合一平模清	tsʰɑʊ44	tsʰəu232	tsʰᵘɔu13	tsʰʊ132
苏		遇合一平模心	sɑʊ44	səu232	sᵘɔu13	sʊ132
孤		遇合一平模见		ku232	ku13	kʊ132
枯		遇合一平模溪		fu232	kʰu13	kʰʊ132
蜈		遇合一平模疑		ŋ̩33	u33	ŋ̩22
湖		遇合一平模匣	fʊ21	fu33	fu33	fʊ22
胡	{~子}	遇合一平模匣	fʊ21	fu33	fu33	fʊ22
乌		遇合一平模影		u232	u13	ʊ132
补		遇合一上姥帮	pʊ55	pu422	pu44	pʊ44
普		遇合一上姥滂		pʰu21	pʰu21	pʰʊ44
部		遇合一上姥並	pʊ53	pu53	pu53	pʊ21
堵		遇合一上姥端	tʊ55	tu422	tᵘɔu44	tʊ44
土		遇合一上姥透	tʰɑʊ55	tʰu21	tʰᵘɔu21	tʰʊ44
肚		遇合一上姥定	tɑʊ55	tu422	tᵘɔu21	tʊ44
努		遇合一上姥泥		nu53{借桂}	15	nʊ44
卤		遇合一上姥来	lɑʊ33	nu21	nᵘɔu21	nʊ44
祖		遇合一上姥精	tsɑʊ55	tsu422	tsᵘɔu44/tsu44	tsʊ44
古		遇合一上姥见	kʊ55	ku422	ku44	kʊ44
牯		遇合一上姥见	kʊ55	ku422	ku44	kʊ44
鼓		遇合一上姥见	kʊ55	ku422	ku44	kʊ44
苦		遇合一上姥溪	fʊ55	fu422	kʰu21	kʰʊ44
五		遇合一上姥疑	ŋ̩33	ŋ̩21	ŋ̩21	ŋ̩44
虎		遇合一上姥晓	fʊ55	fu422	fu44	fʊ44
户		遇合一上姥匣	fʊ53	fu53	fu53	fʊ21
布		遇合一去暮帮	pʊ35	pu35	pu35	pʊ35
铺	{店~}	遇合一去暮滂	pʰʊ35	pʰu53	pʰu21	pʰʊ35
步		遇合一去暮並	pʊ53	pu53	pu53	pʊ21
吐	{呕~}	遇合一去暮透	tʰɑʊ35	tʰuə53	tʰᵘɔu53	tʰʊ35
兔		遇合一去暮透	tʰɑʊ35	tʰu53	tʰᵘɔu53	tʰʊ35
路		遇合一去暮来	lɑʊ53	nu53	nᵘɔu53	nʊ21
做		遇合一去暮精	tsʊo55	tsɿ35	tsɿ35	tsɿ35
醋		遇合一去暮清	tsʰɑʊ35	tsʰəu53	tsʰᵘɔu35	tsʰʊ35
素		遇合一去暮心	sɑʊ35	su35{借桂}	sᵘɔu35/su35	sʊ35
固		遇合一去暮见	kʊ35	ku35	ku35	kʊ35
裤		遇合一去暮溪	fʊ35	fu422	kʰu53	kʰʊ35
恶	{可~}	遇合一去暮影	o55	uə5	ᵘɔ5/u35	uo5
驴		遇合三平鱼来		nɯ33	ny33	15
徐		遇合三平鱼邪		tsu33	tʃy33	tʃʏ22
猪		遇合三平鱼猪	tiəu44	tɯ232	ty13	tʏ132
除		遇合三平鱼澄	tʃʊ21	tsu33	tʃy33	tʃʏ22
初		遇合三平鱼初	tʃʰəu44	tsʰəu232	tsʰᵘɔu13	tsʰʊ132
书		遇合三平鱼书	ʃəu44	su232	ʃy13	ʃʏ132
如		遇合三平鱼日		ɯ33	y33	ʏ22
居		遇合三平鱼见			tʃy13	kʏ132
墟		遇合三平鱼溪	hiəu44	hɯ232	ʃy13	hʏ132
渠		遇合三平鱼群		kʰɯ21	tʃʰy21{借桂}	kʰʏ22
鱼		遇合三平鱼疑	ȵiəu21	ŋ̩33	ŋ̩33	ŋ̩22
虚		遇合三平鱼晓	hiəu44	hɯ232	ʃy13	hʏ132
淤		遇合三平鱼影		ɯ232	y33{借桂}	ʏ132
女		遇合三上语泥	ȵiəu33	nɯ21	ny21	ȵʏ44
吕		遇合三上语来	liəu33	nɯ21	ny21	ȵʏ44
序		遇合三上语邪		ʃy35{借桂}	ʃy21	ʃʏ35
煮		遇合三上语章	tʃəu55	tsu422	tʃy44	tʃʏ44
处	{相~}	遇合三上语昌	tʃʰəu55	tsʰu21	tʃʰy21	tʃʰʏ44
鼠		遇合三上语书	ʃəu55	su21	ʃy44	tʃʰʏ44
举		遇合三上语见	ki55	kɯ422	tʃy44	kʏ44
巨		遇合三上语群		tʃy35{借桂}	tʃy35	kʏ35
语		遇合三上语疑	iəu33	ɯ21	y21	ʏ44
许		遇合三上语晓	hiəu55	hɯ422	ʃy44	hʏ44
与		遇合三上语以		ɯ422	y44	ʏ44
虑		遇合三去御来	liəu53	ny35{借桂}	ny53	ȵʏ21
助		遇合三去御崇		tsu21	15	tsʊ21
薯		遇合三去御禅	ʃəu21	su33	ʃy33	ʃʏ22
去	{来~}	遇合三去御溪	həu35	hɯ53	kʰɯ53	kʰʏ35
夫		遇合三平虞非	fʊ44	fu232	fu13	fʊ132
符		遇合三平虞奉	fʊ21	fu33	fu33	fʊ22
无		遇合三平虞微	ȵiəu33	ŋ̩33	ŋ̩33	ʊ22
须	{胡~}	遇合三平虞心	sᴇɪ44	sɿ232	ʃy33{借桂}	ʃʏ132
厨		遇合三平虞澄	tiəu21	tsu33	tʃy33	tʃʏ22
朱		遇合三平虞章		tsu232	tʃy13	tʃʏ132
输		遇合三平虞书	ʃəu44	su232	ʃy13	ʃʏ132
区		遇合三平虞溪		kʰɯ232	tʃʰy13	kʰʏ132
于		遇合三平虞云		ɯ33	y21{借桂}	ʏ22
