例字	注释	中古音	公平	九屋	潭下	甘棠
床		宕开三平阳崇	tʃʊɔ̃21	tsɑŋ33	tsɑŋ33	tsuɑŋ22
霜		宕开三平阳生	ʃʊɔ̃44	sɑŋ232	suɑŋ13	suɑŋ132
章		宕开三平阳章	tʃin44	tsɑŋ232	tsɑŋ13	tsɑŋ132
昌		宕开三平阳昌		tsʰɑŋ232	tsʰɑŋ13	tsʰɑŋ132
伤		宕开三平阳书	ʃin44	səŋ232	sɑŋ13	sɑŋ132
常		宕开三平阳禅		tsɑŋ33	tsɑŋ33	tsɑŋ22
尝		宕开三平阳禅	ʃaŋ21	sɑŋ33	sɑŋ33	sɑŋ22
姜		宕开三平阳见	kin44	kiɑŋ232	tʃiɑŋ13	kiɑŋ132
强		宕开三平阳群	kin21	kiɑŋ33	tʃiɑŋ33	kiɑŋ22
香		宕开三平阳晓	hin44	hiɑŋ232	ʃiɑŋ13	hiɑŋ132
乡		宕开三平阳晓	hin44	hiɑŋ232	ʃiɑŋ13	hiɑŋ132
秧		宕开三平阳影	iaŋ44	iɑŋ232	iɑŋ13	iɑŋ132
羊		宕开三平阳以	iaŋ21	iɑŋ33	iɑŋ33	iɑŋ22
杨		宕开三平阳以	iaŋ21	iɑŋ33	iɑŋ33	iɑŋ22
两	{~个}	宕开三上养来	liɛ̃33	niɑŋ21	niɑŋ21	ȵiɑŋ44
两	{斤~}	宕开三上养来	lin55	niɑŋ21	niɑŋ44	ȵiɑŋ44
奖		宕开三上养精	tsin55	tʃiɑŋ422	tʃiɑŋ44	tʃiɑŋ44
抢		宕开三上养清	tsʰin55	tʃʰiɑŋ21	tʃʰiɑŋ21	tʃʰiɑŋ44
想		宕开三上养心	sin55	ʃiɑŋ422	ʃiɑŋ44	ʃiɑŋ44
象		宕开三上养邪	sin35	tʃiɑŋ53	ʃiɑŋ53	tʃiɑŋ21
像		宕开三上养邪	sin35	tʃiɑŋ33	ʃiɑŋ53	ʃiɑŋ35
涨		宕开三上养知	tʃin55	tsɑŋ422	tsɑŋ44	tsɑŋ44
丈		宕开三上养澄	tin53	tiɑŋ33	tiɑŋ53	tiɑŋ21
杖		宕开三上养澄		tsɑŋ33	15	tsɑŋ35
闯		宕开三上养初	tʃʰʊɔ̃55	tsʰuɑŋ21	tsʰuɑŋ53	tsʰuɑŋ44
掌		宕开三上养章		tsɑŋ422	tsɑŋ44	tsɑŋ44
厂		宕开三上养昌	tʃʰin55	tsʰɑŋ21	tsʰɑŋ21	tsʰɑŋ44
上	{~山}	宕开三上养禅	ʃaŋ33	sɑŋ21	sɑŋ21	sɑŋ21
养		宕开三上养以	iaŋ33	iɑŋ422	iɑŋ21	iɑŋ44
酿		宕开三去漾泥		iɑŋ53	15	ȵiɑŋ21
量		宕开三去漾来	lin21	niɑŋ53	niɑŋ33	ȵiɑŋ22
酱		宕开三去漾精	tsin35	tʃiɑŋ33	tʃiɑŋ35	tʃiɑŋ35
匠		宕开三去漾从	tsin53	tʃiɑŋ53	tʃiɑŋ53	tʃiɑŋ21
相		宕开三去漾心	sin35	ʃiɑŋ33	ʃiɑŋ53	ʃiɑŋ35
胀		宕开三去漾知	tin35	tiɑŋ33	tsɑŋ35	tsɑŋ35
壮		宕开三去漾庄	tʃʊɔ̃35	tsɑŋ33	tsuɑŋ35	tsuɑŋ35
创		宕开三去漾初		tsʰɑŋ53	tsʰuɑŋ35{借桂}	tsʰuɑŋ35
状		宕开三去漾崇	tʃʊɔ̃53	tsɑŋ33	tsuɑŋ35	tsuɑŋ35
唱		宕开三去漾昌		tsʰɑŋ33	tsʰɑŋ53	tsʰɑŋ35
上	{~面}	宕开三去漾禅	ʃaŋ21	sɑŋ21	sɑŋ53	sɑŋ35
让		宕开三去漾日	ȵiaŋ53	iɑŋ53	iɑŋ53	ȵiɑŋ21
向		宕开三去漾晓	hin35	hiɑŋ33	ʃiɑŋ35	hiɑŋ35
样		宕开三去漾以	iaŋ53	iɑŋ35	iɑŋ53	iɑŋ21
鹊		宕开三入药清			tʃʰiɑu5	tʃʰiou44
削		宕开三入药心	si4	ʃiəu33	ʃiᵒu5	ʃiou5
着	{~衣}	宕开三入药知	tʃʊo55		15	tsᵘɔ5
着	{睡~}	宕开三入药澄	ti4	tiɑu33	tiɑu21	tsuo5
弱		宕开三入药日		iuə422	iɑu5	niou5
脚		宕开三入药见	ki4	kiuə5	tʃiɑu5	kiou5
虐		宕开三入药疑		nyᴇ21	15	ȵiou5
约		宕开三入药影		iuə422	iᵘɔ21	iou5
药		宕开三入药以	iə44	iuə422	iɑu5	iou5
光		宕合一平唐见	kũ44	kuɑŋ232	kuɑŋ13	kuɑŋ132
荒		宕合一平唐晓	hũ44	huɑŋ232	fɑŋ13	huɑŋ132
黄		宕合一平唐匣	ʊon21	uɑŋ33	uɑŋ33	uɑŋ22
广		宕合一上荡见	fɯ4{训读}	kuɑŋ422	kuɑŋ44	kuɑŋ44
谎		宕合一上荡晓		huɑŋ422	fɑŋ44	huɑŋ44
郭		宕合一入铎见		kuə5	kuɯ5/kɑu5	kʊ5
方		宕合三平阳非	hũ44	fɑŋ232	fɑŋ13	fɑŋ132
房		宕合三平阳奉	hũ21	fɑŋ33	fɑŋ33	fɑŋ22
筐		宕合三平阳溪		kuɑŋ232	kʰuɑŋ13	kʰuɑŋ132
狂		宕合三平阳群		kʰuɑŋ21{借桂}	kʰuɑŋ21{借桂}	kʰuɑŋ22
王		宕合三平阳云	ʊon21	uɑŋ33	uɑŋ33	uɑŋ22
纺		宕合三上养敷	hũ55	fɑŋ422	fɑŋ53{借桂}	fɑŋ44
网		宕合三上养微	mũ33	mɑŋ21	mɑŋ21	mɑŋ44
枉		宕合三上养影	ʊon55	uɑŋ422	uɑŋ44	uɑŋ44
放		宕合三去漾非	hũ33	fɑŋ33	fɑŋ35	fɑŋ35
忘		宕合三去漾微	mũ53	mɑŋ53	mɑŋ53	mɑŋ21
逛		宕合三去漾见		kuɑŋ33	kuɑŋ35	kʰuɑŋ44
况		宕合三去漾晓		kʰuɑŋ35{借桂}	15	kʰuɑŋ35
旺		宕合三去漾云	ʊon53	uɑŋ53	uɑŋ53	uɑŋ21
庞		江开二平江並	pon21	pɑŋ33	15	pʰɑŋ22
桩		江开二平江知	tʃɔ̃44	tsʰoŋ232	tsuɑŋ13	tsuɑŋ132
窗		江开二平江初	tʃʰʊɔ̃44	tsʰɑŋ232	tsʰuɑŋ13	tsʰuɑŋ132
双		江开二平江生	ʃʊɔ̃44	sɑŋ232	suɑŋ13	suɑŋ132
江		江开二平江见	kaŋ44	kɑŋ232	kɑŋ13	kɑŋ132
降	{投~}	江开二平江匣		ʃiɑŋ21	ʃiɑŋ21{借桂}	15
棒		江开二上讲並	pon33	pɑŋ33	pɑŋ21	pou21
讲		江开二上讲见	kaŋ33	kɑŋ422	kɑŋ44	kɑŋ44
胖		江开二上讲滂	pʰon33	pʰɑŋ33	pʰɑŋ53	pʰɑŋ35
撞		江开二去绛澄	tʃʰɔ̃55	pʰoŋ53	tsuɑŋ35	15
降	{下~}	江开二去绛见		kiɑŋ35	ʃiɑŋ35{借桂}	kiɑŋ35
巷		江开二去绛匣	hɔ̃21	hɑŋ53	hɑŋ53	hɑŋ21
剥		江开二去绛帮	piᴇ55	puo35	pɑu5	pou5
桌		江开二入觉知		tuo33	tsɑu5	tsɑu5
戳		江开二入觉彻	tʃʰʊo55	sɑu33	tsʰɑu5	tsʰuo5
捉		江开二入觉庄	tʃʊo55	tsɑu5	tsɑu5	tsɑu5
觉		江开二入觉见		kʰiuə5	tʃʰiᵘɔ21	kʰiɑu5
角		江开二入觉见	kə4	kuo5	kɑu5	kou5
确		江开二入觉溪		kʰuə33	tʃʰyɛ5	kʰᵘɔ5
壳		江开二入觉溪	kʰə44	kʰɑu422	kʰɑu5	kʰou5
乐	{音~}	江开二入觉疑		iɔ21	iɑu5	uo5
学		江开二入觉匣	hə44	ʃiuə422	ʃiɑu5	hiou21
握		江开二入觉影	u21	u5	u33	ʊ44
朋		曾开一平登並	pon21	pəŋ33	pei33	pou22
灯		曾开一平登端	taŋ44	təŋ232	tai13	tai132
藤		曾开一平登定	taŋ21	tai33	tai33	tai22
能		曾开一平登泥	naŋ21	nai33	nai33	nai22
增		曾开一平登精	tsaŋ44	tsai232	tsai13	tsai132
层		曾开一平登从	tsaŋ21	tai33	tsai33	tsəŋ22
僧		曾开一平登心		sa33	sa13	tsai132
等		曾开一上等端	taŋ55	tai422	tai44	tai44
肯		曾开一上等溪		hai21	kʰai21	kʰai44
凳		曾开一去嶝端	taŋ35	tai33	tai35	tai35
邓		曾开一去嶝定	taŋ53	təŋ53	təŋ53	təŋ21
北		曾开一入德帮	pə4	pə5	pai5	pai5
墨		曾开一入德明	mə4	mə422	mai5	mai5
得		曾开一入德端	tə4	ta5	ta5	ta5
特		曾开一入德定		tʰə5	tʰə5	tʰye5
勒		曾开一入德来	lə4	nai422	na5	nai5
贼		曾开一入德从	tsə4	tsa53	tsai53	tsai21
塞		曾开一入德心	sə4	sə5	sai5	sai5
刻		曾开一入德溪	kə4	kʰə422	kʰa44	kʰa5
克		曾开一入德溪	kʰə4	kʰə422	kʰa21	kʰa5
黑		曾开一入德晓	hɯ4	hə422	hai5	hai5
冰		曾开三平蒸帮		piŋ232	piŋ13	piŋ132
蒸		曾开三平蒸章	tʃaŋ44	tsai232	tsai13	tsai132
称	{~重}	曾开三平蒸昌	tʃʰaŋ44	sai232	sai13	sai132
乘		曾开三平蒸船		sai33	sai33	tsʰəŋ22
升		曾开三平蒸书	ʃaŋ44	sai232	sai13	sai132
承		曾开三平蒸禅		tsʰəŋ21{借桂}	15	tsəŋ22
鹰		曾开三平蒸影	aŋ44	ai232	ai13	ŋai132
证		曾开三去证章		tsai35	tsai35	tsai35
秤		曾开三去证昌	tʃʰaŋ35	tsʰai33	tsʰai53	tsʰai35
剩		曾开三去证船	ʃaŋ53	sai35	sai53	sai21
胜		曾开三去证书	ʃaŋ35	səŋ35{借桂}	sai35	sai35
兴	{高~}	曾开三去证晓	haŋ35	hai33	hai13	hai35
逼		曾开三入职帮	pi4	pi5	pi5	pi5
力		曾开三入职来	li21	niᴇ422	nai5	nai5
媳		曾开三入职心		ʃi232	ʃi13	ʃi132
直		曾开三入职澄	tʃə4	tiᴇ33	tai53	tsai21
侧		曾开三入职庄		tsʰa422	tsʰa5	tsʰa5
色		曾开三入职生	ʃə4	sa33	sai5	sai5
织		曾开三入职章	tʃʊɯ44	tʃiᴇ5	tsai5	tsai5
食		曾开三入职船	hi4	ʃiᴇ33	sai21	sɿ21
识		曾开三入职书		ʃiᴇ33	ʃi5	sɿ44
极		曾开三入职群		tʃi21{借桂}	15	ki21
国		曾合一入德见	kʊɯ4	kua5	kua5	kua5
彭		梗开二平庚並	pon21	pʰəŋ21{借桂}	pᵘɔŋ33	pou22
撑		梗开二平庚彻	tʃʰin44	tsʰa232	15	tsʰəŋ132
铛		梗开二平庚初	tʃʰin44	tsʰa232	tsʰa13	tsʰa132
生		梗开二平庚生	ʃin44	sa232	sa13	sa132
甥		梗开二平庚生	ʃin44	sa33{变调}	sa13	sa132
庚		梗开二平庚见	kaŋ44	ka232	ka13	ka132
衡		梗开二平庚匣		həŋ33	15	həŋ22
猛		梗开二上梗明		moŋ21	mᵘɔŋ44	mou44
打		梗开二上梗端	kʊɯ33{训读}	pua21{训读}	pai21{训读}	tʊ44
冷		梗开二上梗来	lin33	nuo21	nᵘɔ44	nʊ44
省		梗开二上梗生		sa422	sa44	sa44
杏		梗开二上梗匣		ʃiŋ35	15	hiŋ35
更		梗开二去映见	kaŋ35	kəŋ33	kəŋ35	kəŋ35
硬		梗开二去映疑	ȵiɛ̃53	a53	a53	ŋa21
百		梗开二入陌帮	piᴇ4	pa5	pa5	pa5
伯		梗开二入陌帮	piᴇ4	pa5	pa5	pa5
拍		梗开二入陌滂	pʰiᴇ4	pʰa422	pʰa5	pʰa5
𢫦		梗开二入陌明	pʰiᴇ4	pua21	pai21	pʰa5
白		梗开二入陌並	piᴇ53	pa53	pa53	pa21
拆		梗开二入陌彻	tʃʰiᴇ55	tsʰa422	tsʰa5	tsʰa5
择		梗开二入陌澄	tʃiᴇ55	tsa33	tsa5	tsa21
格		梗开二入陌见	kiᴇ4	ka5	ka5	ka44
客		梗开二入陌溪	hiᴇ55	ha422	kʰa5	kʰa5
棚		梗开二平耕帮	pon21	pəŋ33	pei33	pou22
橙	{~子}	梗开二平耕澄	tsaŋ21	kɑŋ232	15	tsəŋ22
争		梗开二平耕庄	tʃin44	tsa232	tsai13	tsa132
耕		梗开二平耕见	kin44	ka232	ka13	ka132
幸		梗开二上耿匣		ʃiŋ35{借桂}	ʃiŋ35{借桂}	hiŋ35
麦		梗开二入麦明	mi53	ma422	ma5	ma5
脉		梗开二入麦明	mi53	mə21	ma5	ma5
责		梗开二入麦庄		tsə21	tsa5	tsa5
策		梗开二入麦初		tsʰə21	tsʰa5	tsʰa5
隔		梗开二入麦见	kiᴇ4	ka5	ka5	ka5
核		梗开二入麦匣			hai5	ha5
兵		梗开三平庚帮	paŋ44	pai232	pai13	pai132
平		梗开三平庚並	pəŋ21	pai33	pai33	pai22
明		梗开三平庚明		mai33	mai33	mai22
京		梗开三平庚见	kaŋ44	kai232	kai13	kai132
迎		梗开三平庚疑		iŋ33	iŋ33	iŋ22
英		梗开三平庚影		ai232	ai13	ŋai132
景		梗开三上梗见		tʃiŋ53	tʃiŋ53	kai44
影		梗开三上梗影	iaŋ55	ai422	ai44	ŋai44
病		梗开三去映並	paŋ53	pai53	pai33	pai21
命		梗开三去映明	maŋ53	mai53	mai53	mai21
镜		梗开三去映见	kaŋ35	kai33	kai35	kai35
庆		梗开三去映溪		kʰai53	kʰai53	kʰai35
剧	{戏~}	梗开三入陌群		tʃy35{借桂}	tʃy35{借桂}	kʏ35
名		梗开三平清明	məŋ53	mai33	mai33	mai22
精		梗开三平清精	tsən44	tsai232	tsai13	tsai132
清		梗开三平清清	tsʰaŋ44	tsʰai232	tsʰai13	tsʰai132
晴		梗开三平清从	tsaŋ21	tsai33	tsai33	tsai22
程		梗开三平清澄		sai33	sai33	sai22
正	{~月}	梗开三平清章	tʃaŋ44	tsai232	tsai13	tsai132
声		梗开三平清书	ʃaŋ44	sai232	sai13	sai132
成		梗开三平清禅	ʃən21	sai33	sai33	sai22
轻		梗开三平清溪	haŋ44	hai232	kʰai13	kʰai132
赢		梗开三平清以	ŋəŋ21	ai33	ai33	ŋai22
领		梗开三上静来	lən33	nai21	nai21	nai44
井		梗开三上静精	tsaŋ55	tsai422	tsai44	tsai44
请		梗开三上静清	tsʰaŋ55	tsʰai21	tsʰai21	tsʰai44
静		梗开三上静心	tsaŋ53	tsai21	tsai21	tʃiŋ21
整		梗开三上静章	tsaŋ55	tsai422	tsai44	tsai44
颈		梗开三上静见	kaŋ55	kai422	kai44	kai44
并	{合~}	梗开三去劲帮		piŋ35	piɛ53	piŋ35
令		梗开三去劲来		nai21	nai53	nai21
净		梗开三去劲从	tsaŋ53	tsai21	tsai21	tsai21
姓		梗开三去劲心	saŋ35	sai35	sai35	sai35
政		梗开三去劲章	tʃaŋ35	tsai35	tsai35	tsai35
积		梗开三入昔精		tʃi5	tʃi5	tʃi5
脊		梗开三入昔精	tʃi33	tsɛ5	tʃi44	tʃi5
惜		梗开三入昔心	si4	ʃi21{借桂}	ʃi21{借桂}	sᵘɔ44
席		梗开三入昔邪		ʃi5	ʃi5	ʃi44
尺		梗开三入昔昌	tʃʰi44	tʃʰiᴇ422	tsʰai5	tsʰai5
射		梗开三入昔船		sua53	15	sᵘɔ21
适		梗开三入昔书		ʃi35	15	ʃi5
石		梗开三入昔禅	ʃə21	ʃiᴇ53	sai53	sai21
瓶		梗开四平青並	pəŋ21	pai33	pai33	pai22
钉		梗开四平青端	taŋ44	tai232	tai13	tai132
听		梗开四平青透	tʰaŋ35	tʰai35	tʰai13	tʰai35
停		梗开四平青定	taŋ21	tai33	tai33	tai22
宁		梗开四平青泥	lən21	nai33	niŋ33	ȵiŋ22
灵		梗开四平青来	lən21	nai33	nai33	nai22
青		梗开四平青清	tsʰaŋ44	tsʰai232	tsʰai13	tsʰai132
星		梗开四平青心	saŋ44	sai232	sai13	sai132
经		梗开四平青见	kaŋ44	kai232	kai13	kai132
形		梗开四平青匣		ʃiŋ21{借桂}	ʃiŋ21{借桂}	hai22
顶		梗开四上迥端	taŋ55	tai422	tiŋ44	tai44
醒		梗开四上迥心	saŋ55	sai422	sai44	sai44
定		梗开四去径定	taŋ53	tai53	tai53	tai21
另		梗开四去径来	lən53	nai53	nai53	nai21
壁		梗开四入锡帮	pi4	pai33	pai5	pai5
滴		梗开四入锡端	tᴇɪ35	tiᴇ35	tiɛ5/ti33	ti44
踢		梗开四入锡透	tʰi4	tʰɛ422	tʰai5	tʰai5
笛		梗开四入锡定	ti21	tɛ422	tei5	tou21
历		梗开四入锡来	li21	nə33	ni33	ȵie5
绩		梗开四入锡精		tʃi5	tʃi5	tʃi44
戚		梗开四入锡清		tsʰiᴇ422	tʃʰiɛ44	tʃʰi44
吃		梗开四入锡溪	tʃʰi4	hiᴇ422	tʃʰiɛ5	kʰie5
横		梗合二平庚匣	ʊin21	ua33	ua33	ua22
获		梗合二入麦匣		huə5	15	huo5
兄		梗合三平庚晓	piᴇ55	huai232	huai13	huai132
荣		梗合三平庚云		ioŋ33	iᵘɔŋ33	ioŋ22
永		梗合三上梗云		ioŋ53	15	iŋ22
营		梗合三平清以	ion21	iŋ33	iᵘɔŋ33	iŋ22
疫		梗合三入昔以		y35{借桂}	15	iu44
萤		梗合四平青匣			iᵘɔŋ33	iŋ22
篷		通合一平东並	pon21	pəŋ33	pei33	pou22
蒙		通合一平东明	mon21	moŋ33	mᵘɔŋ33	mou22
东		通合一平东端	ton44	təŋ232	tei13	tou132
通		通合一平东透	tʰon44	tʰəŋ232	tʰei13	tʰou132
同		通合一平东定	ton21	təŋ33	tei33	tou22
聋		通合一平东来	lon21	nəŋ33	nei33	nou22
棕		通合一平东精	tson44	tsəŋ232	tsei13	tsou132
葱		通合一平东清	tsʰon44	tsʰəŋ232	tsʰei13	tsʰou132
公		通合一平东见	kon44	kəŋ232	kei13	kou132
工		通合一平东见	kon44	kəŋ232	kei13	kou132
空		通合一平东溪	hon44	həŋ232	kʰei13	kʰou132
烘		通合一平东晓	tʃi4{训读}	hɑŋ53	hᵘɔŋ13	hou132
红		通合一平东匣	hon21	həŋ33	hei33	hou22
懂		通合一上董端	ton55	təŋ422	tei44	tou44
桶		通合一上董透	tʰon55	tʰəŋ21	tʰei21	tʰou44
动		通合一上董定	ton33	təŋ21	tei53	tou44
总		通合一上董精	tson55	tsəŋ422	tsᵘɔŋ44	tsou44
冻		通合一去送端	ton35	təŋ35	tei35	tou35
痛		通合一去送透	tʰon35	tʰəŋ53	tʰei53	tʰou35
洞		通合一去送定	ton53	təŋ53	tei53	tou21
弄		通合一去送来	lon53	nəŋ53	nᵘɔŋ53	nou21
粽		通合一去送精	tson35	tsəŋ35	tsei35	tsou35
送		通合一去送心	son35	səŋ35	sei35	sou35
木		通合一入屋明	mə4	mɑɯ422	mei5	mou5
独		通合一入屋定	tʊɯ4	tɑɯ422	tei53	tou21
读		通合一入屋定	tə4	tɑɯ422	tei53	tou21
鹿		通合一入屋来		nu33	nei5	nou5
族		通合一入屋从		tsu21	tsu21{借桂}	tsʊ4
速		通合一入屋心		su21	ʃy21	sʊ5
谷	{~子}	通合一入屋见	kʊɯ4	kɑɯ5	kei5	kou5
哭		通合一入屋溪	hʊɯ4	hɑɯ422	kʰei5	kʰou5
冬		通合一平冬端	ton44	təŋ232	tei13	tou132
农		通合一平冬泥		noŋ33	nᵘɔŋ33	nəŋ22
宗		通合一平冬精	tson44	tsoŋ232	tsᵘɔŋ13	tsəŋ132
松	{~紧}	通合一平冬心	son44	səŋ232	sei13	sou132
毒		通合一入沃定	tʊɯ4	tɑɯ53	tei53	tou21
风		通合三平东非	fon44	fəŋ232	fei13	fou132
丰		通合三平东敷		foŋ33{借桂}	fei13	fou132
中		通合三平东知	tson44	tsoŋ232	tsᵘɔŋ13	tsəŋ132
虫		通合三平东澄	tin21	tiŋ33	tiŋ33	tiŋ22
终		通合三平东章		tsoŋ232	tsᵘɔŋ13	tsəŋ132
充		通合三平东昌	tʃʰon44	tsʰəŋ232	tsʰᵘɔŋ13	tsʰəŋ132
绒		通合三平东日		ioŋ33	iᵘɔŋ33	ioŋ22
弓		通合三平东见		kəŋ33{变调}	kei13	kuəŋ132
宫		通合三平东见		koŋ33{变调}	kei13	kou132
穷		通合三平东群	kion21	kioŋ33	tʃiᵘɔŋ33	kiŋ22
熊		通合三平东云	ʃion21	ʃioŋ33	ʃiᵘɔŋ33	hioŋ22
梦		通合三去送明	mon53	məŋ53	mei53	15
众		通合三去送章	tʃon35	tsoŋ35	tsᵘɔŋ35	tsəŋ35
铳		通合三去送昌	tʃʰon35	tsʰəŋ53	tsʰᵘɔŋ35	tsʰəŋ35
福		通合三入屋非	fə4	fɑɯ5	fei5	fou5
服	{~气}	通合三入屋敷	fə4	fɑɯ53	fei5	fou21
目		通合三入屋明		mu35{借桂}	mu21	mou5/mou21
六		通合三入屋来	li4	niəu422	niᵒu5	ȵiou5
竹		通合三入屋知	ti4	tiəu5	tiᵒu5	tiou5
缩		通合三入屋生	ʃʊɯ4	sɑɯ5	suei5	sou5
祝		通合三入屋章		tsu21	tsu21	tsʊ5
叔		通合三入屋书	ʃʊɯ4	iɔ33	iᵘɔ33	mɑŋ5
熟		通合三入屋禅	ʃʊɯ4	səu53	suei53	sou21
肉		通合三入屋日	tʃiᴇ35	tsua35	tsᵘɔ35	iou5
封		通合三平钟非	fon44	fəŋ232	fei13	fou132
蜂		通合三平钟敷		fəŋ232	fei13	fou132
浓		通合三平钟泥	nin21	i53{训读}	nᵘɔŋ33	noŋ22
龙		通合三平钟来	lin21	noŋ33	nᵘɔŋ33	nəŋ22
松	{~树}	通合三平钟邪	tʃin21	tʃiŋ33	tʃiŋ33	tʃiŋ22
重	{~复}	通合三平钟澄	tʃon53	tsoŋ33	tsᵘɔŋ33	tsəŋ22
钟		通合三平钟章	tʃon44	tsoŋ232	tsᵘɔŋ13	tsəŋ132
冲		通合三平钟昌		tsʰəŋ232	tsʰᵘɔŋ13	tsʰəŋ132
茸		通合三平钟日		ioŋ33	iᵘɔŋ33	15
胸		通合三平钟晓		ʃioŋ232	ʃiᵘɔŋ13	hioŋ132
凶	{~恶}	通合三平钟晓	hion44	ʃioŋ232	ʃiᵘɔŋ13	hioŋ132
容		通合三平钟以		ioŋ33	iᵘɔŋ33	iŋ22
重	{轻~}	通合三上肿澄	tin33	tiŋ21	tiŋ21	tiŋ44
种	{~子}	通合三上肿章	tʃon55	tsəŋ422	tsᵘɔŋ44	tsəŋ44
勇		通合三上肿以		ioŋ53	iᵘɔŋ53	iŋ44
共		通合三去用群		koŋ53	kᵘɔŋ53	kuəŋ21
用		通合三去用以	ion53	ioŋ53	iᵘɔŋ53	iŋ21
绿		通合三入烛来	li4	niəu422	niᵒu5	ȵiou5
足		通合三入烛精	ki4{训读}	tʃiəu5	tʃiᵒu5	tʃiou5/tsʊ5
俗		通合三入烛邪		su21{借桂}	su21{借桂}	sʊ5
赎		通合三入烛船	ʃʊɯ4	sɑɯ5	su21	sou21
属		通合三入烛禅		su21{借桂}	su21	sʊ44
局		通合三入烛群		kɯ5	tʃy5	ki5
玉		通合三入烛疑		ɯ422	y53	kʏ21
