simp	trad	detail	调类
由	由		ɦiəɯ2
油	油		ɦiəɯ2
游	游	～泳	ɦiəɯ2
游	遊	旅～	ɦiəɯ2
犹	猶		ɦiəɯ2
又	又		ɦiəɯ6
右	右		ɦiəɯ6
佑	佑		ɦiəɯ6
佑	祐		ɦiəɯ6
酉	酉		ɦiəɯ6
柚	柚		ɦiəɯ6
釉	釉		ɦiəɯ6
优	優		iəɯ1
忧	憂		iəɯ1
悠	悠		iəɯ1
幽	幽		iəɯ1
有	有		iəɯ3
友	友		iəɯ3
莠	莠		ɦiəɯ6
诱	誘		ɦiəɯ6
幼	幼		iəɯ5A
儿	兒	（文）～童	ɦər2
儿	兒	（白）～子，貓～	ȵi2
儿	兒	（白）兒綴	ŋ2
而	而		ɦər2
尔	尔	同“𡭗”，即同“爾”	ər3
尔	爾		ər3
尔	𡭗	同“爾”	ər3
尔	尓	同“𡭗”，即同“爾”	ər3
尔	尒	同“𡭗”，即同“爾”	ər3
耳	耳	（文）木～	ər3
耳	耳	（白）～朵	ȵi3
饵	餌	（文）	ər3
饵	餌	（白）	ȵi3
尾	尾	～巴	mi3
般	般		pɛ1
瓣	瓣	花～～，豆～	pɛ5A
班	班		pɛ1
斑	斑		pɛ1
颁	頒		pɛ1
扳	扳		pɛ1
瘢	瘢		pɛ1
掰	掰		pɛ1
摆	擺		pɑ3
板	板		pɛ3
板	闆	老～	pɛ3
版	版		pɛ3
阪	阪		pɛ3
坂	坂		pɛ3
拜	拜		pɑ5A
扮	扮		pɛ5A
绊	絆		pɛ5A
攀	攀		pʰɛ1
派	派		pʰɑ5B
盼	盼		pʰɛ5B
襻	襻	扣住紐扣的套	pʰɛ5B
排	排		bɑ2
牌	牌		bɑ2
篺	篺		bɑ2
爿	爿		bɛ2
罢	罷		bɑ6
稗	稗		bɑ6
败	敗		bɑ6
办	辦		bɛ6
瓣	瓣	屁股～	bɛ6
埋	埋		mɑ2
霾	霾		mai2
蛮	蠻		mɛ2
买	買		mɑ3
漫	漫		mɛ6
卖	賣		mɑ6
迈	邁		mɑ6
慢	慢		mɛ6
蔓	蔓		mɛ6
曼	曼		mɛ6
泛	泛		fɛ5A
泛	汎		fɛ5A
泛	氾		fɛ5A
氾	氾	姓	vɛ2
藩	藩		vɛ2
拚	拚	同翻	fɛ1
翻	翻		fɛ1
翻	飜		fɛ1
繙	繙	《莊子》於是繙十二經，以說老耼	fɛ1
繙	繙	繙㠾，亂取也	vɛ2
番	番	～邦，～茄	fɛ1
蕃	蕃	～茄	fɛ1
蕃	蕃	～茂	vɛ2
反	反		fɛ3
返	返		fɛ3
贩	販		fɛ5A
凡	凡		vɛ2
帆	帆		vɛ2
烦	煩		vɛ2
繁	繁		vɛ2
矾	礬		vɛ2
范	范	姓	vɛ6
范	範	規～	vɛ6
犯	犯		vɛ6
饭	飯		vɛ6
万	萬		vɛ6
卍	卍	內典萬字	vɛ6
卐	卐	同卍，亦被用作德國納粹黨黨徽	vɛ6
呆	呆	書～子	tai1
耽	耽		tɛ1
眈	眈		tɛ1
躭	躭		tɛ1
担	擔	承～	tɛ1
丹	丹		tɛ1
单	單		tɛ1
旦	旦		tɛ1
胆	膽		tɛ3
掸	撣	雞毛～子	tɛ3
疸	疸	黃～	tɛ3
带	帶		tɑ5A
戴	戴	～帽子，～孝	tɑ5A
戴	戴	姓	tai5A
担	擔	～子	tɛ5A
台	台	～州（浙江地名）	tʰai1
胎	胎		tʰai1
坍	坍		tʰɛ1
滩	灘		tʰɛ1
摊	攤		tʰɛ1
瘫	癱		tʰɛ1
毯	毯		tʰɛ3
坦	坦		tʰɛ3
态	態		tʰɑ5B
太	太		tʰɑ5B
汰	汰		tʰɑ5B
泰	泰		tʰɑ5B
炭	炭		tʰɛ5B
碳	碳		tʰɛ5B
叹	歎		tʰɛ5B
叹	嘆		tʰɛ5B
台	台	兄～，～山（廣東地名）	dai2
台	臺	～灣	dai2
台	颱	～風	dai2
台	檯	～子：桌子	dai2
苔	苔	～蘚	dai2
薹	薹	菜～，蕓～	dai2
抬	抬		dai2
抬	擡		dai2
谈	談		dɛ2
痰	痰		dɛ2
檀	檀		dɛ2
坛	壇	金～，花～	dɛ2
弹	彈	～琴	dɛ2
贷	貸		dai6
待	待		dai6
怠	怠		dai6
殆	殆		dai6
代	代		dai6
袋	袋		dai6
逮	逮		dai6
埭	埭	徐家～（江陰地名），黃～（蘇州地名）	dai6
埭	埭	趟	dɑ6
淡	淡		dɛ6
蛋	蛋		dɛ6
疍	疍		dɛ6
蜑	蜑		dɛ6
氮	氮		dɛ6
但	但		dɛ6
弹	彈	子～	dɛ6
难	難	困～	nɛ2
迺	迺	姓～，～子街村（吉林地名）	nai3
迺	廼	姓～，～子街村（吉林地名）	nai3
乃	乃		nai3
乃	乃		nɑ3
奶	奶		nɑ3
奶	嬭		nɑ3
耐	耐		nai5A
奈	奈		nai5A
难	難	遭～	nɛ5A
来	來		lai2
蓝	藍		lɛ2
篮	籃		lɛ2
阑	闌	～干	lɛ2
兰	蘭		lɛ2
拦	攔		lɛ2
栏	欄	～杆	lɛ2
览	覽		lɛ3
揽	攬		lɛ3
榄	欖	橄～	lɛ3
懒	懶		lɛ3
赖	賴		lɑ6
癞	癩	～團：癩蛤蟆	lɑ6
癞	癩	～狗包：癩蛤蟆	lɛ6
滥	濫		lɛ6
缆	纜		lɛ6
烂	爛		lɛ6
烂	爛	僅“爛泥”一詞	nɛ6
簪	簪		tsɤ1
灾	灾	同災	tsai1
灾	災		tsai1
灾	烖	災本字	tsai1
哉	哉		tsai1
栽	栽		tsai1
斋	齋		tsɑ1
錾	鏨		dzɛ6
宰	宰		tsai3
载	載	年～	tsai3
崽	崽		tsai3
斩	斬	（俗）～肉	tsɛ1
斩	斬		tsɛ3
崭	嶄		tsɛ3
盏	盞		tsɛ3
再	再		tsai5A
载	載	～重	tsai5A
债	債		tsɑ5A
寨	寨		tsai5A
寨	寨		zai6
砦	砦		zai6
淬	淬	～火	tsai5A
蘸	蘸		tsɛ5A
赞	贊	點～	tsɛ5A
赞	讚	稱～	tsɛ5A
赞	讃	俗讚字	tsɛ5A
灒	灒	濺水上衣	dzɛ6
猜	猜		tsʰai1
搀	攙		tsʰɛ1
掺	摻		tsʰɛ1
彩	彩		tsʰai3
彩	綵		tsʰai3
采	采	風～	tsʰai3
采	採	～蘑菇	tsʰai3
睬	睬		tsʰai3
踩	踩		tsʰɑ3
铲	鏟		tsʰɛ3
铲	剷		tsʰɛ3
产	產	～業	tsʰɛ3
产	産	～業	tsʰɛ3
谄	諂		tsʰɛ3
灿	燦		tsʰɛ5B
菜	菜		tsʰai5B
蔡	蔡		tsʰɑ5B
忏	懺		tsʰɛ5B
残	殘		dzɛ2
射	射	～尿（si）：小便	dzɑ2
侪	儕	全	zai2
才	才	～能	zai2
才	纔	剛～	zai2
材	材		zai2
财	財		zai2
裁	裁		zai2
豺	豺		za2
豺	豺	（文）	zai2
惭	慚		dzɛ2
溅	濺	（俗）同灒	dzɛ6
在	在		zai6
暂	暫		dzɛ6
站	站		dzɛ6
湛	湛		dzɛ6
赚	賺		dzɛ6
绽	綻		dzɛ6
栈	棧		dzɛ6
珊	珊		sɛ1
跚	跚		sɛ1
腮	腮		sai1
鳃	鰓		sai1
筛	篩		sɑ1
衰	衰		sɑ1
三	三		sɛ1
叁	叄		sɛ1
杉	杉		sɛ1
衫	衫		sɛ1
山	山		sɛ1
删	刪		sɛ1
疝	疝		sɛ1
闩	閂		sɤ1
拴	拴		sɤ1
栓	栓		sɤ1
栅	柵		sɑʔ7
栅	柵		sɛ1
散	散	鬆～	sɛ3
伞	傘		sɛ3
撒	撒	～手	sɑ3
洒	洒		sɑ3
洒	灑		sɑ3
散	散	解～	sɛ5A
赛	賽		sai5A
晒	曬		sɑ5A
帅	帥		sai5A
率	率	～領	sai5A
柴	柴		zɑ2
佘	佘	姓	zɑ2
谗	讒		zɛ2
巉	巉		zɛ2
馋	饞	～吐：口水	zɛ2
家	家	自～：自己	kɛ1
该	該		kai1
赅	賅	～銅錢：有錢	kai1
垓	垓		kai1
陔	陔		kai1
阶	階		kɑ1
尴	尷	～尬	kɛ1
尬	尬	尷～	kɑ5A
街	街		kɑ1
监	監		kɛ1
间	間	房～	kɛ1
间	閒	房～	kɛ1
胛	胛	肩～	kɑ1
改	改		kai3
解	解		kɑ3
减	減		kɛ3
碱	鹼		kɛ3
碱	礆		kɛ3
裥	襉	裙褶	kɛ3
裥	襇	裙褶	kɛ3
拣	揀		kɛ3
解	解	～樹：鋸樹	kɑ5A
概	概		kai5A
概	槪		kai5A
概	槩		kai5A
概	㮣		kai5A
溉	漑		kai5A
摡	摡		kai5A
溉	溉		kai5A
盖	蓋		kai5A
钙	鈣		kai5A
丐	丐		kai5A
界	界	一天世～	kɑ5A
届	屆		kɑ5A
介	介	這麼	kɑ5A
芥	芥		kɑ5A
疥	疥		kɑ5A
戒	戒	～指	kɑ5A
痂	痂	結～	kɑ1
铅	鉛	～山縣（江西省）	ɦiɪ2
铅	鉛	～筆，～角子（硬幣）	kʰɛ1
开	開		kʰai1
楷	楷		kʰɑ1
揩	揩	動詞，抹：～檯子，～檯布	kʰɑ1
凯	凱		kʰai3
恺	愷		kʰai3
铠	鎧		kʰai3
慨	慨		kʰai3
嘅	嘅		kʰai3
嵌	嵌		kʰɛ5B
舰	艦	軍～	kʰɛ5B
骱	骱	手～子：手腕關節	ɡɑ6
戤	戤	倚靠	ɡai6
隑	隑	倚靠	ɡai6
呆	呆		ŋai2
呆	獃		ŋai2
癌	癌		ŋai2
岩	岩		ŋɛ2
岩	巖		ŋɛ2
衔	銜	～頭	ŋɛ2
颜	顏		ŋɛ2
颜	顔		ŋɛ2
眼	眼		ŋɛ3
雁	雁		ŋɛ5A
碍	礙		ŋai6
艾	艾		ŋai6
外	外		ŋɑ6
许	許	（白）	hai3
海	海		hai3
蟹	蟹		ha3
喊	喊		hɛ5A
苋	莧	～菜	ha5A
和	和	和：我～你一同去	hɛ5A
孩	孩		ɦʰai2
鞋	鞋		ɦʰɑ2
衔	銜	用嘴叼	ɦʰɛ2
咸	咸		ɦʰɛ2
咸	鹹	～菜	ɦʰɛ2
闲	閑	休～	ɦiɪ2
闲	閒	休～	ɦiɪ2
闲	閑	有～：有空	ɦʰɛ2
闲	閒	有～：有空	ɦʰɛ2
亥	亥		ɦʰai6
害	害		ɦʰai6
骇	駭		ɦʰai6
馅	餡		ɦʰɛ6
陷	陷	～進去	ɦʰɛ6
限	限		ɦʰɛ6
淹	淹		ɛ1
哀	哀		ai1
埃	埃		ai1
挨	挨		ɑ1
矮	矮		ɑ3
爱	愛		ai5A
爱	㤅	小篆愛字	ai5A
鳏	鰥		kuɛ1
乖	乖		kuɑ1
关	關		kuɛ1
关	関		kuɛ1
拐	拐	～杖，誘～	kuɑ3
拐	柺	～杖	kuɑ3
怪	怪		kuɑ5A
怪	恠		kuɑ5A
惯	慣		kuɛ5A
筷	筷		kʰuɑ5B
快	快		kʰuɑ5B
环	環		ɡuɛ2
寰	寰		ɡuɛ2
掼	摜	用力扔	ɡuɛ6
歪	歪	又	huɑ1
歪	竵	又	huɑ1
甩	甩		huɛ5A
怀	懷		ɦuɑ2
槐	槐		ɦuɑ2
淮	淮		ɦuɑ2
顽	頑		ɦuɤ2
嬛	嬛	女子人名用字	ɦuɛ2
还	還	歸～	ɦuɛ2
还	還	～有	ɦuɑ2
外	外	員～	ɦuɑ6
坏	壞		ɦuɛ6
幻	幻		ɦuɛ6
患	患		ɦuɛ6
宦	宦		ɦuɛ6
弯	彎		uɛ1
湾	灣		uɛ1
歪	歪	又	uɑ1
歪	竵	又	uɑ1
晚	晚	～娘	mɛ3
晚	晚	（文）	uɛ3
晚	晩	～娘	mɛ3
晚	晩	（文）	uɛ3
挽	挽		uɛ3
巴	巴	中～車	pɑ1
吧	吧		bɑ6
吧	吧	貼～，酒～	pɑ1
打	打		tɑ3
他	他	（口）第三人稱	dɑ2
他	祂	（口）神明的第三人稱	dɑ2
它	它	（口）無生物的第三身指稱詞	dɑ2
它	牠	（口）動物的第三人稱	dɑ2
她	她	（口）女性第三人稱	dɑ2
他	他	（文）其～	tʰɑ1
他	祂	（文）	tʰɑ1
它	它	（文）	tʰɑ1
它	牠	（文）	tʰɑ1
她	她	（文）	tʰɑ1
大	大	～學，～蒜	dɑ6
汏	汏	洗：～衣裳	dɑ6
拉	拉		lɑ1
垃	垃	～圾（新）	lɑ2
圾	圾	垃～（新）	si
遮	遮		tsɑ1
蔗	蔗		tsɑ1
抓	抓	（文）	tsɑ1
抓	抓	～牌：打牌	tso1
抓	抓	～癢	tsaɤ1
赭	赭		tsɑ3
者	者	記～	tsɑ3
差	差	出～	tsʰɑ1
差	差	～弗多	tsʰo5B
差	差	参～	tsʰɿ1
扯	扯		tsʰɑ3
扯	撦		tsʰɑ3
奢	奢	～侈品	sɑ1
奢	奢	～遮：能力強	ɕiɑ1
傻	傻		sɑ3
耍	耍		sɑ3
舍	舍	～棄	sɑ3
舍	捨	～棄	sɑ3
舍	舍	宿～	sɑ5A
赦	赦		sɑ5A
啥	啥		sɑ5A
蛇	蛇		zɑ2
射	射		zɑ6
麝	麝		zɑ6
社	社	～會	zɑ6
惹	惹	～厭：指小孩調皮	zɑ6
加	加		ko1
袈	袈		ko1
嘉	嘉	禮～（地名）	ko1
家	家	～來，～去，～裏	ko1
家	家	自～：自己	kɑ1
假	假		ko3
架	架		ko5A
揩	揩	～油	kʰɑ1
卡	卡		kʰɑ1
揢	揢	～胡嚨	kʰɑ5B
哈	哈		hɑ1
颬	颬	～氣：張嘴呵氣	hɑ1
马	馬	～～虎虎	mɑ1
妈	媽		hɑ1
爹	爹		tiɑ1
嗲	嗲	疑問詞	tiɑ3
姐	姐		tsiɑ3
借	借	～銅錢，～口	tsiɑ5A
藉	藉	～口	tsiɑ5A
写	寫		siɑ3
卸	卸		siɑ5A
泻	瀉		siɑ5A
邪	邪		ziɑ2
斜	斜		ziɑ2
谢	謝		ziɑ6
荠	薺	～菜	ziɑ6
皆	皆	全民～兵	tɕiɑ1
阶	階	～段	tɕiɑ1
佳	佳		tɕiɑ1
家	家	國～	tɕiɑ1
加	加		tɕiɑ1
嘉	嘉		tɕiɑ1
家	傢	～俱	tɕiɑ1
稼	稼		tɕiɑ5A
解	解	～放，了～	tɕiɑ3
假	假	眞～	tɕiɑ3
贾	賈		tɕiɑ3
介	介		tɕiɑ5A
界	界		tɕiɑ5A
芥	芥		tɕiɑ5A
届	屆		tɕiɑ5A
戒	戒		tɕiɑ5A
假	假	放～	tɕiɑ5A
架	架		tɕiɑ5A
驾	駕		tɕiɑ5A
价	價		tɕiɑ5A
茄	茄	～子，番～	dʑiɑ2
涯	涯		ɦiɑ2
崖	崖		ɦiɑ2
琊	琊		ɦiɑ2
霞	霞	徐～客	ɦiɑ2
瑕	瑕	～疵	ɦiɑ2
遐	遐		ɦiɑ2
爷	爺		ɦiɑ2
械	械		ɦiɑ6
夜	夜		ɦiɑ6
冶	冶		ɦiɑ6
鸦	鴉		iɑ1
椰	椰		iɑ1
耶	耶		iɑ1
雅	雅		iɑ3
也	也		iɑ3
野	野		iɑ3
亚	亞		iɑ5A
哇	哇		uɑ1
洼	洼		uɑ1
洼	窪		uɑ1
娃	娃		uɑ1
娃	娃	小兒（siaŋ）～	o1
煲	煲		paɤ1
褒	襃		paɤ1
褒	襃		paɤ3
褒	褒		paɤ1
褒	褒		paɤ3
包	包		paɤ1
胞	胞		paɤ1
苞	苞		paɤ1
保	保		paɤ3
褓	褓	襁～	paɤ3
褓	緥	繈 ～	paɤ3
堡	堡		paɤ3
宝	寶		paɤ3
宝	寳	俗寶字	paɤ3
饱	飽		paɤ3
报	報		paɤ5A
豹	豹		paɤ5A
爆	爆	油裏～一～	paɤ5A
抛	拋		pʰaɤ1
脬	脬	尿～	pʰaɤ1
泡	泡		pʰaɤ5B
炮	炮	～羊肉	paɤ1
炮	炮	如法～製	baɤ2
炮	炮		pʰaɤ5B
炮	砲		pʰaɤ5B
炮	礮		pʰaɤ5B
袍	袍		baɤ2
跑	跑		baɤ2
刨	刨	～地	baɤ2
雹	雹	冰～	baɤ2
抱	抱		baɤ6
暴	暴		baɤ6
爆	爆	～炸	baɤ6
鲍	鮑		baɤ6
牦	牦		maɤ2
牦	氂		maɤ2
牦	犛		maɤ2
旄	旄		maɤ2
茅	茅		maɤ2
猫	貓		maɤ2
锚	錨		maɤ2
毛	毛		maɤ2
矛	矛		maɤ2
牟	牟	姓	maɤ2
卯	卯		maɤ3
卯	夘		maɤ3
卯	戼		maɤ3
牡	牡		maɤ3
耄	耄	～耋：八、九十歲	maɤ6
冃	冃		maɤ6
冒	冒		maɤ6
冒	冐		maɤ6
帽	帽		maɤ6
帽	㡌		maɤ6
貌	貌		maɤ6
皃	皃		maɤ6
刀	刀		taɤ1
叨	叨		taɤ1
萄	萄	葡（bəʔ8）～	daɤ2
祷	禱		taɤ3
岛	島		taɤ3
倒	倒	～塌	taɤ3
捣	擣	～亂	taɤ3
捣	搗	～亂	taɤ3
捣	擣	（俗）～一～	daɤ6
捣	搗	（俗）～一～	daɤ6
到	到		taɤ5A
倒	倒	～掛	taɤ5A
滔	滔		tʰaɤ1
掏	掏	～出來	tʰaɤ1
讨	討		tʰaɤ3
套	套		tʰaɤ5B
桃	桃		daɤ2
逃	逃		daɤ2
涛	濤		daɤ2
淘	淘		daɤ2
陶	陶		daɤ2
道	道		daɤ6
稻	稻		daɤ6
盗	盜		daɤ6
导	導		daɤ6
悼	悼		daɤ6
脑	腦		naɤ3
恼	惱		naɤ3
闹	鬧	～熱：熱鬧	naɤ6
捞	撈		laɤ1
唠	嘮		laɤ1
萝	蘿	～蔔	laɤ2
劳	勞		laɤ2
牢	牢		laɤ2
痨	癆		laɤ2
老	老		laɤ3
佬	佬		laɤ3
姥	姥		laɤ3
涝	澇		laɤ6
遭	遭		tsaɤ1
糟	糟		tsaɤ1
朝	朝	明～，～飯（不講早飯）	tsaɤ1
昭	昭		tsaɤ1
招	招		tsaɤ1
早	早		tsaɤ3
枣	棗		tsaɤ3
蚤	蚤		tsaɤ3
澡	澡		tsaɤ3
藻	藻		tsaɤ3
爪	爪		tsaɤ3
找	找		tsaɤ3
灶	灶	俗竈字	tsaɤ5A
灶	竈		tsaɤ5A
罩	罩		tsaɤ5A
照	照		tsaɤ5A
曌	曌	武～	tsaɤ5A
操	操		tsʰaɤ1
抄	抄		tsʰaɤ1
超	超		tsʰaɤ1
草	草		tsʰaɤ3
草	艸	草本字	tsʰaɤ3
艹	艹	艸隷變作艹	tsʰaɤ3
钞	鈔		tsʰaɤ3
炒	炒		tsʰaɤ3
吵	吵		tsʰaɤ3
躁	躁		tsʰaɤ5B
嘲	嘲		dzaɤ2
朝	朝	～代	dzaɤ2
潮	潮		dzaɤ2
赵	趙		dzaɤ6
兆	兆		dzaɤ6
骚	騷		saɤ1
臊	臊		saɤ1
搔	搔		saɤ1
肖	肖	姓	siaɤ1
肖	肖	生～	saɤ1
稍	稍		saɤ1
梢	梢		saɤ1
捎	捎		saɤ1
筲	筲	～箕:淘米用的竹器	saɤ1
鞘	鞘		saɤ1
烧	燒		saɤ1
扫	掃	～地	saɤ3
嫂	嫂		saɤ3
少	少	多～	saɤ3
扫	掃	～帚	saɤ5A
哨	哨		saɤ5A
燥	燥	乾～	saɤ5A
少	少	老～	saɤ5A
曹	曹		zaɤ2
槽	槽		zaɤ2
巢	巢		zaɤ2
肇	肇		zaɤ6
韶	韶		zaɤ2
皂	皂		zaɤ6
造	造		zaɤ6
召	召		zaɤ6
绍	紹		zaɤ6
邵	邵		zaɤ6
绕	繞	圍～	zaɤ6
高	高		kaɤ1
高	髙		kaɤ1
膏	膏		kaɤ1
篙	篙		kaɤ1
羔	羔		kaɤ1
糕	糕		kaɤ1
交	交		kaɤ1
缴	繳	～費	kaɤ1
胶	膠	～水	kaɤ1
教	教	～書	kaɤ1
茭	茭	～白	kaɤ1
稿	稿		kaɤ3
绞	絞	毛巾～乾	kaɤ3
搅	攪		kaɤ3
告	告		kaɤ5A
教	教		kaɤ5A
觉	覺	睏～	kaɤ5A
窖	窖		kaɤ5A
敲	敲		kʰaɤ1
考	考		kʰaɤ3
烤	烤		kʰaɤ3
拷	拷		kʰaɤ3
靠	靠		kʰaɤ5B
犒	犒		kʰaɤ5B
搞	搞		ɡaɤ6
搅	攪		ɡaɤ6
螯	螯	螃蜞～	ɡaɤ2
鳌	鰲		ŋaɤ2
熬	熬		ŋaɤ2
咬	咬		ŋaɤ3
傲	傲		ŋaɤ6
蒿	蒿		haɤ1
薅	薅		haɤ1
好	好		haɤ3
耗	耗		haɤ5A
孝	孝	戴～	haɤ5A
哮	哮		haɤ5A
豪	豪		ɦʰaɤ2
壕	壕		ɦʰaɤ2
毫	毫		ɦʰaɤ2
号	號	～叫	ɦʰaɤ2
浩	浩		ɦʰaɤ6
皓	皓		ɦʰaɤ6
号	號	～碼	ɦʰaɤ6
凹	凹		aɤ1
袄	襖		aɤ3
奥	奥		aɤ5A
奥	奧		aɤ5A
澳	澳	～門	aɤ5A
懊	懊	～憦：後悔	aɤ5A
𫺘	憦	懊～：後悔	laɤ6
坳	坳		aɤ5A
膘	膘		piaɤ1
标	標		piaɤ1
彪	彪		piaɤ1
表	表		piaɤ3
飘	飄		pʰiaɤ1
漂	漂	～流，～浮	pʰiaɤ1
漂	漂	～白	pʰiaɤ3
票	票		pʰiaɤ5B
漂	漂	～亮	pʰiaɤ5B
瓢	瓢		biaɤ2
嫖	嫖		biaɤ2
鳔	鰾		biaɤ6
朴	朴	姓	biaɤ6
苗	苗		miaɤ2
描	描		miaɤ2
渺	渺		miaɤ3
秒	秒		miaɤ3
妙	妙	又	miaɤ3
庙	廟		miaɤ6
妙	妙	又	miaɤ6
谬	謬		miaɤ6
缪	繆		miaɤ6
覅	覅	方言字，不要	fiaɤ5A
刁	刁		tiaɤ1
貂	貂		tiaɤ1
雕	雕	金～，～刻，姓	tiaɤ1
雕	鵰	金～	tiaɤ1
雕	彫	～刻	tiaɤ1
雕	琱	～刻	tiaɤ1
凋	凋	～謝	tiaɤ1
凋	彫	～謝	tiaɤ1
钓	釣		tiaɤ5A
吊	弔		tiaɤ5A
吊	吊	俗弔字	tiaɤ5A
挑	挑		tʰiaɤ1
跳	跳		tʰiaɤ5B
条	條		diaɤ2
调	調	協～	diaɤ2
掉	掉		diaɤ6
调	調	～查	diaɤ6
燎	燎		liaɤ2
疗	療		liaɤ2
聊	聊		liaɤ2
辽	遼		liaɤ2
撩	撩	用手探物	liaɤ2
僚	僚		liaɤ2
嘹	嘹		liaɤ2
了	了	～結	liaɤ3
了	瞭	～解	liaɤ3
瞭	瞭	～望	liaɤ6
料	料		liaɤ6
廖	廖		liaɤ6
镣	鐐		liaɤ6
焦	焦		tsiaɤ1
蕉	蕉		tsiaɤ1
椒	椒		tsiaɤ1
醮	醮	指再嫁	tsiaɤ1
剿	剿		tsiaɤ3
锹	鍬		tsʰiaɤ1
缲	繰	～邊	tsʰiaɤ1
悄	悄		tsʰiaɤ1
俏	俏		tsʰiaɤ5B
峭	峭		tsʰiaɤ5B
瞧	瞧		ziaɤ2
峭	峭	～岐（原爲蕭岐，今改爲峭岐，仍念蕭岐）	siaɤ1
消	消		siaɤ1
宵	宵		siaɤ1
硝	硝		siaɤ1
销	銷		siaɤ1
逍	逍		siaɤ1
鞘	鞘		siaɤ1
萧	蕭		siaɤ1
箫	簫		siaɤ1
小	小		siaɤ3
筱	筱		siaɤ3
筱	篠		siaɤ3
笑	笑		siaɤ5A
笑	咲		siaɤ5A
缫	繅		ziaɤ2
交	交		tɕiaɤ1
缴	繳		tɕiaɤ1
郊	郊		tɕiaɤ1
胶	膠		tɕiaɤ1
教	教		tɕiaɤ1
骄	驕		tɕiaɤ1
娇	嬌		tɕiaɤ1
浇	澆		tɕiaɤ1
绞	絞		tɕiaɤ3
狡	狡		tɕiaɤ3
铰	鉸		tɕiaɤ3
搅	攪		tɕiaɤ3
饺	餃		tɕiaɤ3
教	教	～訓	tɕiaɤ5A
校	校	～對	tɕiaɤ5A
较	較		tɕiaɤ5A
叫	叫		tɕiaɤ5A
锹	鍬		tɕʰiaɤ1
巧	巧		tɕʰiaɤ3
翘	翹		tɕʰiaɤ5B
撬	撬		tɕʰiaɤ5B
窍	竅		tɕʰiaɤ5B
翘	翹	連～	dʑiaɤ2
乔	喬		dʑiaɤ2
侨	僑		dʑiaɤ2
桥	橋		dʑiaɤ2
荞	蕎		dʑiaɤ2
轿	轎		dʑiaɤ6
饶	饒		ȵiaɤ2
鸟	鳥		ȵiaɤ3
嬲	嬲		ȵiaɤ3
绕	繞	～圈	ȵiaɤ6
尿	尿	～素	ȵiaɤ6
嚣	囂		ɕiaɤ1
枵	枵	掀開	ɕiaɤ1
枭	梟		ɕiaɤ1
骁	驍		ɕiaɤ1
鸮	鴞		ɕiaɤ1
晓	曉		ɕiaɤ3
酵	酵		ɕiaɤ5A
孝	孝		ɕiaɤ5A
哮	哮		ɕiaɤ5A
肴	肴		ɦiaɤ2
肴	餚		ɦiaɤ2
淆	淆		ɦiaɤ2
摇	揺	飄～，～手	ɦiaɤ2
摇	摇	飄～，～手	ɦiaɤ2
摇	搖	飄～，～手	ɦiaɤ2
飖	颻	飄～	ɦiaɤ2
飖	䬙	飄～	ɦiaɤ2
谣	謠		ɦiaɤ2
瑶	瑤		ɦiaɤ2
徭	徭		ɦiaɤ2
傜	傜		ɦiaɤ2
窑	窑	俗窯字	ɦiaɤ2
窑	窯		ɦiaɤ2
窑	窰	同窯	ɦiaɤ2
姚	姚		ɦiaɤ2
遥	遥	逍～	ɦiaɤ2
遥	遙	逍～	ɦiaɤ2
尧	堯		ɦiaɤ2
效	效		ɦiaɤ6
校	校	～長	ɦiaɤ6
耀	耀		ɦiaɤ6
曜	曜		ɦiaɤ6
鹞	鷂		ɦiaɤ6
妖	妖		iaɤ1
邀	邀		iaɤ1
腰	腰		iaɤ1
要	要	～求	iaɤ1
吆	吆		iaɤ1
幺	幺		iaɤ1
幺	么	俗幺字	iaɤ1
杳	杳		iaɤ3
要	要	想～	iaɤ5A
蹦	蹦		poŋ5A
捧	捧		phoŋ3
蓬	蓬		boŋ2
篷	篷		boŋ2
蒙	蒙	～古	moŋ2
蒙	濛	煙雨～～	moŋ2
蒙	矇	～矓	moŋ2
蒙	懞	《管子》敦～純固	moŋ2
曚	曚	～曨	moŋ2
朦	朦	～朧	moŋ2
檬	檬	檸～	moŋ2
柠	檸	～檬	ȵiŋ2
猛	猛		moŋ3
懵	懵		moŋ3
懵	懜		moŋ3
蠓	蠓		moŋ3
梦	夢		moŋ6
风	風		foŋ1
枫	楓		foŋ1
疯	瘋		foŋ1
酆	酆	～都（地名）	foŋ1
丰	丰	～采，張三～	foŋ1
丰	豐	～富	foŋ1
封	封		foŋ1
峰	峰		foŋ1
峰	峯		foŋ1
蜂	蜂		foŋ1
锋	鋒		foŋ1
讽	諷		foŋ3
冯	馮		voŋ2
逢	逢		voŋ2
缝	縫	動詞，～衣裳	voŋ2
凤	鳳		voŋ6
奉	奉		voŋ6
俸	俸		voŋ6
缝	縫	名詞，一條～	voŋ6
东	東		toŋ1
冬	冬		toŋ1
董	董		toŋ3
懂	懂		toŋ3
冻	凍		toŋ5A
栋	棟		toŋ5A
通	通		tʰoŋ1
桶	桶		tʰoŋ3
捅	捅		tʰoŋ3
筒	筒		doŋ6
统	統		tʰoŋ3
痛	痛		tʰoŋ5B
同	同		doŋ2
同	衕	衚～	doŋ2
峒	峒	崆～（山名）	doŋ2
铜	銅		doŋ2
桐	桐		doŋ2
童	童		doŋ2
僮	僮		doŋ2
