音标	调类	调值	
dzʰan	5	213	灿牚(椅子～儿)□(～衫袖：挽袖子)
dzʰan	6	33	錾暂赚锃（～亮)
san	1	44	珊山三衫删闩生（白 ～日）
san	3	31	散伞
san	5	213	散疝□（～蛋：下蛋）
tʂan	3	31	整（白）
tʂan	5	213	正（白）
dʐʰan	2	13	程（白）
ʂan	1	44	声（白）
ʂan	2	13	盛（白 ～饭）成（白 ～日：整天）
kan	1	44	尴监（白）艰间耕
kan	3	31	减（白）拣埂哽
gʰan	1	44	堪勘嵌刊龛坑（白）
gʰan	3	31	坎砍槛□（咳嗽）
ŋan	1	44	淹
ŋan	3	31	眼
ŋan	5	213	晏
ŋan	6	33	雁（白）硬（白）
han	1	44	憨酣
han	2	13	含函咸(白 ～丰)鹹(～菜)衔（白）闲
han	3	31	喊憾罕
han	5	213	陷限（白）
pian	3	31	饼
bʰian	2	13	平（白）坪
bʰian	6	33	病
mian	2	13	名（白）明（白）
mian	6	33	命（白）
tian	1	44	钉1（白）靪疔
tian	5	213	钉2（白）□（投掷小物）
dʰian	1	44	停（白）
dʰian	2	13	零（白）铃蛉
dʰian	3	31	领（白）岭（白）
dʰian	5	213	听（白）
ʨian	1	44	监（文）奸腈（～肉：瘦肉）
ʨian	3	31	碱减（文）简柬锏涧井颈
ʨian	5	213	舰间谏经（～纬）
dʑʰian	1	44	清（白）青轻
dʑʰian	2	13	晴情（白）
dʑʰian	3	31	请
dʑʰian	5	213	磬
ɕian	1	44	星
ɕian	2	13	咸(文 ～宁)衔（文）
ɕian	3	31	醒
ɕian	5	213	姓腥性
ian	2	13	颜盈赢
ian	5	213	䁐（～牛：放牛）
ian	6	33	雁（文）
kuan	1	44	鳏关□（凳～：椅子的靠背）桄
kuan	3	31	梗
kuan	5	213	惯
gʰuan	3	31	环灌(文 ～溉）
gʰuan	6	33	□（用肩膀背东西）
huan	2	13	还环（文 ～境）
huan	6	33	幻患宦
uan	1	44	湾弯
uan	2	13	顽玩横（白）
uan	3	31	晚挽
uan	6	33	万蔓
ʯan	1	44	扔
ʯan	2	13	晕
ʯan	3	31	影（白）
pei	1	44	般搬
pei	5	213	半
bʰei	1	44	潘
bʰei	2	13	盤搬
bʰei	3	31	判叛
bʰei	6	33	伴拌
mei	2	13	馒瞒
mei	3	31	满
mei	6	33	漫
fei	3	31	□（努力）
tei	1	44	登灯端
tei	3	31	等戥短
tei	5	213	凳蹬断
dʰei	1	44	吞
dʰei	2	13	腾誊藤团糰□（倾倒）
dʰei	6	33	邓锻断塅段缎
nei	2	13	能□（捻）鸾
nei	3	31	卵（白）暖
nei	6	33	乱
ʦei	1	44	曾（姓氏）增争（文）钻簪罾臻
ʦei	3	31	纂
ʦei	5	213	钻赞
dzʰei	1	44	氽□（～瞌睡：打盹）
dzʰei	2	13	曾（～经）层蚕
dzʰei	5	213	篡窜
dzʰei	6	33	赠
sei	1	44	甥笙牲僧生（文）拴酸森参
sei	5	213	蒜算
tʂei	1	44	毡瞻詹占（～卜）沾粘
tʂei	3	31	展
tʂei	5	213	战颤占绽
dʐʰei	2	13	缠
ʂei	1	44	膻煽
ʂei	2	13	蝉禅蟾
ʂei	3	31	闪陕
ʂei	5	213	骟扇搧禅（～让）煽
ʂei	6	33	膳单（姓氏）禅（～位）善鳝
kei	1	44	干1（天～地支）肝竿干2（～湿）甘柑
kei	3	31	杆秆擀赶敢橄赣感□（～子：手镯）
kei	5	213	幹（～什么）更□（完整的、整个）
gʰei	1	44	看1（～伢：生孩子，～猪：养猪）
gʰei	3	31	肯（文）垦恳啃
gʰei	5	213	磡（陡崖、陡岸）看2
ŋei	1	44	庵安鞍谙□（考虑、估摸着）
ŋei	5	213	按案揞暗
ŋei	6	33	岸
hei	1	44	鼾夯
hei	2	13	寒韩□（菜～儿：菜心）
hei	3	31	撼很狠
hei	5	213	汉
hei	6	33	苋汗焊翰旱恨
kuei	1	44	官棺观（参～）冠
kuei	3	31	管馆
kuei	5	213	灌（白）贯罐观冠
gʰuei	1	44	宽
gʰuei	3	31	款
huei	1	44	欢
huei	3	31	缓
huei	5	213	唤焕换
uei	1	44	豌
uei	2	13	完
uei	3	31	腕皖碗宛
tʂʯei	1	44	砖专娟捐
tʂʯei	3	31	转捲卷
tʂʯei	5	213	转眷绢传（水浒～）
dʐʰʯei	1	44	川穿圈
dʐʰʯei	2	13	传（～达）椽船拳权醛
dʐʰʯei	3	31	喘犬
dʐʰʯei	5	213	串劝券
dʐʰʯei	6	33	篆倦传(～记)圈
ʂʯei	1	44	宣(文）喧（文）□（推）
ʂʯei	2	13	弦眩舷（文）
ʂʯei	5	213	楦（鞋～）
ȵʯei	3	31	染冉软阮
ȵʯei	6	33	愿
ʯei	1	44	冤渊
ʯei	2	13	然燃圆丸员缘铅元原源袁援辕园
ʯei	3	31	远
ʯei	5	213	怨
ʯei	6	33	院
piei	1	44	鞭编边蝙
piei	3	31	贬扁匾□（给教训）
piei	5	213	变遍
bʰiei	1	44	篇偏
bʰiei	2	13	便（～宜）
bʰiei	5	213	骗片
bʰiei	6	33	辨辩便（方～）汴辫
miei	2	13	眠棉绵
miei	3	31	免勉娩缅
miei	6	33	面麺
fei	3	31	□（～做：努力做事）
tiei	1	44	癫掂颠巅
tiei	3	31	点典腆
tiei	5	213	店
dʰiei	1	44	添天
dʰiei	2	13	廉镰帘甜连联田填怜莲
dʰiei	3	31	敛殓舔脸
dʰiei	6	33	簟（竹～）电殿奠□（～常：经常）佃垫练炼楝恋
ʨiei	1	44	尖歼兼煎肩坚庚（老～：同年生的人）根跟更（白）
ʨiei	3	31	检剪茧趼□（～日：整天）笕（以竹通水）
ʨiei	5	213	剑箭建荐见□（鞭痕）
dʑʰiei	1	44	签（牙～）签（～名）谦迁千牵□（牲畜交配）
dʑʰiei	2	13	潜钳钱虔前全荃泉挦（～毛：拔毛）
dʑʰiei	3	31	浅践遣笺肯（白）
dʑʰiei	5	213	欠忺（想念）歉
dʑʰiei	6	33	俭件贱饯溅键健腱旋（白）现
ȵiei	1	44	拈搛研恩（～将仇报）
ȵiei	2	13	黏阎严年
ȵiei	3	31	碾辇捻撵
ȵiei	6	33	验酽（～茶：浓茶）念谚砚
ɕiei	1	44	仙鲜轩掀先宣（白）喧（白）欣
ɕiei	2	13	嫌贤旋（文）舷（白 桌～：桌沿）
ɕiei	3	31	险藓显选□(～前年：大前年)
ɕiei	5	213	鏾（～鸡：阉鸡）线羡宪献
ɕiei	6	33	渐现县限
iei	1	44	腌焉烟燕咽
iei	2	13	炎盐檐鲇延筵言沿芫（～荽）
iei	3	31	掩演
iei	5	213	堰燕宴厌
iei	6	33	焰艳
pən	1	44	奔锛崩
pən	3	31	本
pən	5	213	奔蹦埲（石灰扬起）迸
bʰən	1	44	膨烹喷
bʰən	2	13	盆朋棚篷蓬
bʰən	3	31	捧
bʰən	6	33	笨
mən	2	13	萌门盟蒙（内～古）
mən	3	31	懵蠓□（～长：长高）蒙（捂住）
mən	6	33	闷焖孟梦
fən	1	44	分芬纷风枫疯丰封峰蜂锋
fən	2	13	焚坟冯缝逢
fən	3	31	粉□（～亮：拂晓）
fən	5	213	喷粪奋愤忿讽
fən	6	33	份俸奉缝凤
tən	1	44	敦墩蹲蹬东冬
tən	3	31	礅懂董
tən	5	213	顿镫盾遁澄（文）瞪冻栋
dʰən	1	44	通
dʰən	2	13	屯豚饨囤沌筒同铜桐筒童瞳
dʰən	3	31	桶捅统筒
dʰən	5	213	痛
dʰən	6	33	钝洞动
nən	1	44	聋□（把表层撸开）
nən	2	13	论仑伦沦轮崙楞砻笼农脓隆浓龙垅
nən	3	31	拢陇垄
nən	6	33	嫩论弄
ʦən	1	44	尊遵椶鬃宗综踪
ʦən	3	31	总
ʦən	5	213	俊□（皱）粽纵
dzʰən	1	44	村皴聪怱葱
dzʰən	2	13	存丛从松（～树）
dzʰən	3	31	□（摁、按压）
dzʰən	5	213	忖寸衬
sən	1	44	孙松（放～）嵩
sən	2	13	循巡旬怂
sən	3	31	损笋榫省
sən	5	213	逊宋送
sən	6	33	诵颂讼
tʂən	1	44	针斟珍真蒸征贞侦正（～月）征忠中终钟钟盅
tʂən	3	31	枕诊疹震拯整（文）种肿
tʂən	5	213	镇振证症正（文）政中种众
dʐʰən	1	44	称伸抻充冲舂
dʐʰən	2	13	沉陈尘臣橙乘（～法）承（继～）丞程（文）成(文）城诚呈虫崇重
dʐʰən	3	31	趁惩逞宠
dʐʰən	5	213	称秤铳
dʐʰən	6	33	阵澄（白）郑仲重
ʂən	1	44	深身申升声（文）
ʂən	2	13	神娠辰晨唇乘（～凉）承（～不起：负担不起）绳塍□（顽皮）
ʂən	3	31	沈审婶
ʂən	5	213	胜圣
ʂən	6	33	甚肾（文）慎剩盛（文）殉
ʐən	2	13	仍绒戎茸
kən	1	44	更（文 ～换）赓公（白 鸡～）
kən	3	31	粳耿
kən	5	213	更（文 ～加）
gʰən	1	44	坑（文）空（白）
ŋən	6	33	硬（文）
hən	1	44	亨烘
hən	2	13	桓痕衡红（白）
hən	3	31	擤
pin	1	44	彬宾槟鬓冰浜兵
pin	3	31	禀丙秉柄
pin	5	213	殡并（合～）
bʰin	1	44	拼姘
bʰin	2	13	凭评平（文）贫频瓶屏萍苹
bʰin	3	31	品
bʰin	5	213	聘
bʰin	6	33	并（～且）
min	2	13	闽民鸣明（文）名（文）铭螟瞑茗
min	3	31	悯敏抿皿
min	5	213	命（文）
tin	1	44	□（～斗：跟斗）丁（文）钉（文）砧
tin	3	31	戥顶（文）鼎（文）
tin	5	213	钉（文）订锭
dʰin	1	44	厅汀梃（床～）亭停（文）
dʰin	2	13	林淋临邻鳞磷麟陵凌菱廷庭灵零（文）伶拎翎
dʰin	3	31	檩领（文）岭（文）艇挺
dʰin	5	213	听（文）
dʰin	6	33	赁令定凌
ʨin	1	44	今金津巾斤筋京荆惊精□（奶～：母猪的统称）晶经径螼（寒～：蚯蚓）羹（瓢～：调羹）
ʨin	3	31	锦侭（～他：不管他）紧仅谨境景警
ʨin	5	213	禁襟进竞晋劲茎敬竟镜劲
dʑʰin	1	44	浸侵钦亲卿□（打哈～：打哈欠）清（文 ～明节）倾
dʑʰin	2	13	寻（白）岑琴禽擒檎秦勤芹擎鲸情（文）穹穷
dʑʰin	3	31	寝顷
dʑʰin	5	213	亲（～家）庆
dʑʰin	6	33	尽近净静靖共（白 ～爷各娘：同父异母）
ȵin	2	13	吟银宁（安～）宁（～可）迎
ȵin	6	33	另
ɕin	1	44	心辛新薪兴馨兄胸凶
ɕin	2	13	寻（文 ～常）荀旬行形型刑熊雄
ɕin	3	31	省
ɕin	5	213	信讯衅迅兴性行嗅
ɕin	6	33	幸杏
in	1	44	音阴荫因姻殷鹰莺鹦樱英婴缨雍癕拥
in	2	13	淫寅蝇盈营茔容蓉镕
in	3	31	饮引隐影（文）颖勇涌
in	5	213	印胤应
in	6	33	用
kuən	1	44	公(文 ～司)工弓躬宫恭攻功供
kuən	3	31	滚磙拱巩
kuən	5	213	棍贡汞供
gʰuən	1	44	昆坤
gʰuən	3	31	捆龈孔恐
gʰuən	5	213	困睏空（文）控
gʰuən	6	33	共（文）
huən	1	44	昏婚荤轰
huən	2	13	魂横浑弘宏红（文）洪鸿虹
huən	3	31	混（文）哄
huən	6	33	混（白）
uən	1	44	温瘟翁瓮
uən	2	13	文纹蚊闻
uən	3	31	稳吻刎
uən	6	33	问璺
tʂʯən	1	44	均钧君军肫（鸡～：鸡肾）
tʂʯən	3	31	凖准
tʂʯən	5	213	菌（文）圳
tʂʯən	6	33	郡肫
dʐʰʯən	1	44	椿春
dʐʰʯən	2	13	羣裙琼醇
dʐʰʯən	3	31	蠢
ʂʯən	1	44	熏勋
ʂʯən	2	13	纯莼驯
ʂʯən	5	213	舜训
ʂʯən	6	33	顺
ʯən	1	44	晕
ʯən	2	13	人匀云云荥荣仁壬任（姓）
ʯən	3	31	允尹永忍刃韧
ʯən	5	213	熨泳咏韵（文）
ʯən	6	33	润闰韵（白）运孕任（责～）认纴
pou	1	44	帮邦梆
pou	3	31	榜绑膀髈
pou	5	213	谤磅镑
bʰou	1	44	肨
bʰou	2	13	旁螃庞傍
bʰou	3	31	□（～角：外墙墙角）
bʰou	5	213	胖棒
bʰou	6	33	蚌塝（～田：梯田）
mou	2	13	忙茫芒虻盲
mou	3	31	莽蟒猛
fou	1	44	芳方
fou	2	13	肪妨房防
fou	3	31	仿纺
fou	5	213	放访
tou	1	44	当
tou	3	31	党挡
tou	5	213	当
dʰou	1	44	汤
dʰou	2	13	堂棠螳唐糖塘溏
dʰou	3	31	倘躺
dʰou	5	213	烫趟
dʰou	6	33	荡凼
nou	2	13	囊郎廊狼蜋
nou	3	31	朗
nou	6	33	浪
ʦou	1	44	赃脏庄装桩妆
ʦou	5	213	葬壮
dzʰou	1	44	仓苍疮沧窗
dzʰou	2	13	藏床
dzʰou	3	31	闯
dzʰou	5	213	创
dzʰou	6	33	藏脏状撞
sou	1	44	桑丧婚孀双
sou	3	31	磉嗓爽搡
sou	5	213	丧
tʂou	1	44	张章漳樟
tʂou	3	31	长涨掌
tʂou	5	213	瘴帐账胀
dʐʰou	1	44	昌菖倡猖娼障
dʐʰou	2	13	长肠场
dʐʰou	3	31	厂
dʐʰou	5	213	畅唱仗（白）
dʐʰou	6	33	丈仗（文）杖尚
ʂou	1	44	商伤
ʂou	2	13	常尝裳嫦
ʂou	3	31	赏偿
ʂou	6	33	绱上尚
ʐou	2	13	瓤
ʐou	3	31	壤攘嚷
ʐou	6	33	让
kou	1	44	冈岗纲钢（～铁）缸豇光
kou	3	31	讲（白 ～古：讲故事）港广
kou	5	213	钢（～刀）杠逛
gʰou	1	44	康糠□（～头鱼：鳙鱼）
gʰou	2	13	扛狂□（抬）
gʰou	3	31	慷囥（用罩子或容器盖住）
gʰou	5	213	抗炕旷矿况
ŋou	1	44	骯嚷
ŋou	2	13	昂
hou	1	44	荒慌方
hou	2	13	行航杭
hou	6	33	项巷
dʰiou	2	13	良凉量粮梁粱
dʰiou	3	31	两
dʰiou	6	33	亮谅量辆
ʨiou	1	44	刚将浆疆僵姜缰姜江
ʨiou	3	31	蒋奖桨讲（文）
ʨiou	5	213	酱犟将降
dʑʰiou	1	44	枪羌匡筐眶框腔
dʑʰiou	2	13	墙详祥强
dʑʰiou	3	31	抢强
dʑʰiou	5	213	强（犟）
dʑʰiou	6	33	像（白）匠
ȵiou	2	13	娘
ȵiou	3	31	仰
ȵiou	6	33	酿
ɕiou	1	44	相箱厢湘襄镶香乡
ɕiou	2	13	降
ɕiou	3	31	想晌享响饷
ɕiou	5	213	像（文）向相
ɕiou	6	33	象橡
iou	1	44	央秧殃鞅
iou	2	13	羊洋烊（融化）杨阳扬疡
iou	3	31	养痒
iou	5	213	映
iou	6	33	样旺（白 ～鸡：公鸡）
huou	2	13	黄（文）簧皇
huou	3	31	晃谎
uou	1	44	汪
uou	2	13	亡王
uou	3	31	黄（白）蝗网往枉
uou	5	213	妄
uou	6	33	忘望旺（文）枉
m̩	3	31	姆（～妈：妈妈）嗯
m̩ʔ	7	5	姆（～嫲：祖母）
n̩	3	31	尔（白 你）
n̩	5	213	尔（中指代词）
