	注释：白读-，文读=
tʰ	[1]撑{～船}青{～皮蛤蟆；～菜：蔬菜}生{与熟对}[2]睛[3]醒争{～食}[6]牚[7]□{菜的一种味道}
k	[1]羹[3]埂[6]□{～ke21：蜻蜓}[7]□{～tɕʰia51：木饭勺}
h	[2]行{行走}
#iaŋ	
p	[7]饼
pʰ	[2]平坪□{同，我～你去}
m	[2]名{名字}[6]命
f	[1]兄[6]□{借惯性甩}
v	[2]赢
t	[3]鼎{有灶台的锅}
tʰ	[2]戚[3]请{祭拜}
l	[3]领{衣领}岭
tɕ	[1]精{女性长得漂亮}正{～月}[3]井整
tɕʰ	[1]撑{～船}[6]郑
ɕ	[5]姓
ȵ	[5]眏{看。关于看的语素或词都用该字}
k	[5]□{浊}[3]拣颈[6]镜
kʰ	[1]轻
h	[1]听
∅	[2]莹萤[7]影
#uŋ	
p	[6]放
pʰ	[1]蜂[2]棚=[3]捧[6]缝{一条～}
m	[2]萌[3]□{～toŋ21kuan33：芦苇}懵[6]□{仔细看}
f	[1]烘锋[2]红洪逢缝{tʰai33～：裁缝}[3]哄[6]凤
t	[1]东冬[3]董懂[5]冻栋
tʰ	[1]通[2]桐{油～}同筒童[3]桶捅动{～作}统[6]痛{～苦}
n	[2]农脓[6]弄{巷}
l	[2]荣{光～}笼隆戎绒融龙垅茸容蓉[3]拢陇
tɕ	[1]棕
tɕʰ	[1]椿囱
k	[1]公{牛～：公牛。动物雄性用公，鸡～、猪～、狗～}蚣工功攻弓宫恭[3]巩拱[5]供{上～}
kʰ	[1]空{空的}[3]戽{～水}孔[5]空{空缺}
ts	[1]宗[3]总[5]粽[6]纵
tsʰ	[1]聪葱
s	[1]嵩[3]𢱤{推}怂[5]诵颂[6]宋[7]聋
h	[2]铜筒[3]动{～一下}[6]洞
#iuŋ	
p	[1]风
tɕ	[1]中{期～}终钟[2]冲[3]种{名词}[5]中{射～}[6]仲种{动词}
tɕʰ	[1]充[2]崇从重{～复}[5]铳[6]众{～家：大家}
kʰ	[1]穷[6]共
h	[1]胸凶[2]熊雄
∅	[1]拥□{用灰把水、尿吸干}[2]容-荣{人名}[3]永
#ɛ	
n	[0]□{名词词缀，如囝～，儿子}
ŋ	[0]□{名词词缀，如堂～，学堂}
∅	[0]□{名词词缀，如弟～，弟弟}
