IPA	调值	调类	Hanzi
pʰə	52	5	迫破魄
pʰən	24	2	盆
pʰən	32	1	喷
pʰən	52	5	喷（~香）
pʰəu	32	1	剖
pʰəŋ	212	3	捧
pʰəŋ	24	2	朋棚蓬鹏篷膨
pʰəŋ	32	1	抨怦烹澎嘭
pʰəŋ	52	5	碰
pʰᴀ	24	2	扒爬耙琶
pʰᴀ	32	1	趴啪葩
pʰᴀ	52	5	帕怕
pᴀ	212	3	把靶
pᴀ	24	2	拔跋
pᴀ	32	1	八巴扒吧疤笆
pᴀ	52	5	坝爸罢鲅霸
san	212	3	伞散
san	32	1	三弎叁
san	52	5	散
su	24	2	俗
su	52	5	诉肃素速粟塑簌
suan	32	1	酸
suan	52	5	蒜算
suei	212	3	髓
suei	24	2	绥隋随遂
suei	32	1	虽
suei	52	5	岁祟遂碎隧穗邃
suŋ	212	3	怂耸悚
suŋ	32	1	松忪嵩
suŋ	52	5	讼宋送诵颂
suə	212	3	所索琐锁
suə	32	1	唆梭蓑娑缩
suən	212	3	损笋
suən	32	1	孙猻
sæ	52	5	塞赛
sɑŋ	212	3	搡嗓
sɑŋ	32	1	丧桑
sɑŋ	52	5	丧
sɔ	212	3	扫嫂
sɔ	32	1	搔骚臊
sɔ	52	5	扫瘙
sə	52	5	色涩啬瑟塞
sən	32	1	森
səu	212	3	叟擞
səu	32	1	搜馊飕
səu	52	5	嗽
səŋ	32	1	僧
sɿ	212	3	死
sɿ	32	1	司丝私思斯厮撕嘶
sɿ	52	5	巳四寺似泗祀饲驷食肆嗣
sᴀ	212	3	洒撒
sᴀ	32	1	仨挲撒
sᴀ	52	5	卅飒萨
tan	212	3	胆
tan	32	1	丹担单眈耽
tan	52	5	旦但担（~子）诞淡惮弹蛋
tei	212	3	得（~亏）
ti	212	3	诋抵底砥（~砺）
ti	24	2	迪的（~确）敌涤荡笛
ti	32	1	低的（~哥）堤提防滴
ti	52	5	地弟的（目~）帝递第
tiŋ	212	3	顶鼎
tiŋ	32	1	丁叮盯钉
tiŋ	52	5	订定锭
tiɔ	52	5	吊调掉
tiəu	32	1	丢
tiɛ	24	2	迭谍喋叠碟蝶
tiɛ	32	1	爹跌
tiɛn	212	3	典点碘踮
tiɛn	32	1	掂（~量）颠巅
tiɛn	52	5	电佃店玷垫淀惦奠
tu	212	3	肚（~子）笃堵赌睹
tu	24	2	毒独读渎犊
tu	32	1	都（~城）督嘟
tu	52	5	杜肚妒度渡镀
tuan	212	3	短
tuan	32	1	端
