汉字	IPA	注释		
击	kik5			
饥	ki1			
机	ki1			
肌	ki1			
鸡	kue1-			
积	tɕik5			
基	ki1			
缉	tɕʰiet5			
稽	ki1			
激	kik5			
及	kiet6			
及	kieʔ6			
吉	kit5=			
吉	kiet5-			
吉	kieʔ5-			
级	kiet5			
级	kik5			
极	kik6			
极	kieʔ6			
极	kiəʔ6			
急	kiet5			
急	kik5			
疾	tɕiet6			
疾	tɕieʔ6			
集	tɕiet5			
集	tɕieʔ6			
辑	tɕʰiet5			
藉	tɕiet6			
藉	tɕieʔ6			
籍	tɕieʔ6			
几	ki1	1		
几	ki1	2		
己	ki3			
几	kui3-			
挤	tse3			
脊	tɕieʔ5=			
脊	tɕiaʔ5-			
脊	tɕik5=			
戟	kiet5			
计	ke4=			
计	ki4-			
记	ki4			
纪	ki4			
技	ki4			
忌	ki4			
际	tse4			
际	ki4			
妓	ki4			
季	kui4			
剂	tse4			
剂	tɕi4			
荠	tɕi2-			
迹	tɕik5			
迹	tɕieʔ5			
济	tse4			
既	ki4			
继	ki4			
徛	ki4			
徛	kʰia4			
祭	tse4			
寄	kia4-			
绩	tɕiet5			
绩	tɕieʔ5			
鲫	tɕik5			
冀	ki4			
加	ka1=			
加	ke1-			
夹	kueʔ6-			
佳	ka1-			
家	ka1=			
家	ke1-			
夹	kaʔ5			
嘉	ka1			
PAGE 18				
荚	ɡueʔ5-			
甲	ka3=			
甲	kaʔ5-			
胛	ka3			
贾	ka3			
假	ke3-			
价	ke4-			
驾	ka4			
假	ka4=			
假	ke3-			
架	ka4=			
架	ke4-			
嫁	ke4-			
稼	ka1=			
稼	ke1-			
尖	tɕien1			
奸	kan1			
歼	tɕien1			
歼	tɕʰien1			
坚	kien1			
间	kan1=			
间	kien1-			
间	kãi1-			
肩	kãi1-			
艰	kien1-			
监	kan1=			
监	kã1-			
兼	kien1			
笺	tɕʰien1			
犍	kien4			
搛	kien3			
煎	tɕien1=			
煎	tsuã4-			
囝	kã3-			
拣	kien3-			
拣	kãi3-			
茧	kien4			
柬	kien4-			
俭	kien4			
检	kien3			
减	kien3			
剪	tɕien3			
锏	kan4			
简	kan1=			
简	kien4-			
碱	kien3			
见	kien4=			
见	kĩ4-			
件	kien4=			
件	kiã4-			
饯	tɕien4			
饯	tɕĩ4			
建	kien4			
荐	kien4			
贱	tɕien4			
剑	kien4			
健	kien4			
涧	kan4			
谏	kien4-			
践	tɕien4=			
践	tɕĩ4-			
腱	kien4			
溅	tɕien4=			
溅	tsuã4-			
鉴	kien4			
键	kien4=			
键	kiã4-			
箭	tɕĩ4-			
江	kaŋ1			
将	tɕiɔŋ1			
姜	kʰiɔŋ1=	1		
姜	kiũ1-	1		
薑	kiũ1-	2		
豇	kaŋ1			
浆	tɕiɔŋ4=			
浆	tɕiũ1-			
僵	kiɔŋ1			
僵	tɕiɔŋ1			
缰	tɕiɔŋ1			
礓	tɕiɔŋ1=			
礓	kiũ1-			
疆	kiɔŋ1			
讲	kɔŋ3-			
奖	tɕiaŋ3=			
奖	tɕiũ3-			
桨	tɕiaŋ4=			
桨	tɕiũ3-			
蒋	tɕiaŋ3=			
蒋	tɕiũ3-			
强	kiɔŋ4=			
强	kiũ4-			
匠	tɕʰiũ4-			
将	tɕiɔŋ1			
PAGE 19				
降	kaŋ4			
酱	tɕiũ4-			
交	kau1			
郊	kau1			
娇	kiau1			
骄	kiau1=			
骄	kio1-			
胶	kau1			
椒	tɕiau1=			
椒	kio1-			
焦	tɕiau1=			
焦	ta1-			
蕉	tɕiau1			
教	kau4=			
教	ka4-			
角	kak5			
饺	kiau3-			
绞	kau3=			
绞	ka3-			
铰	kau1=			
铰	ka1-			
矫	kiau4			
搅	kiau3-			
剿	tɕiau3			
缴	kiau3			
觉	kau4			
校	kau4			
叫	kio4-			
轿	kio4-			
较	kau4			
教	kau4=			
教	ka4-			
窖	kau4			
阶	kai1			
皆	kai1			
接	tɕiaʔ5			
揭	kiet5			
街	kai1=			
街	kue1-			
节	tɕiet5			
节	tɕiaʔ5			
劫	kiet5			
杰	kiet6			
杰	kieʔ6			
洁	kiet5			
洁	kieʔ5			
结	kat5-			
结	kaʔ5-			
结	kiet5=			
结	kieʔ5=			
捷	tɕieʔ6			
截	tsueʔ6-			
截	tsaʔ5-			
竭	kiet5			
竭	kieʔ5			
姐	tɕi3-			
解	kai3	1		
解	ue4-	2		
介	kai4			
戒	ka4-			
芥	kua4-			
届	kai4			
界	kai4			
疥	kai4=			
疥	kue4-			
借	tɕiɔʔ5-			
巾	kən1			
斤	kən1			
今	kin1			
金	kin1			
筋	kən1			
襟	kin1			
襟	kin4			
仅	kin3			
尽	tɕin4			
紧	kin3			
锦	kin3			
谨	kin3			
槿	kin3			
进	tɕin4			
近	kən4			
妗	kin4			
尽	tɕiŋ4			
尽	kin4			
劲	kin4			
晋	kin4			
浸	tɕin4			
PAGE 20				
禁	kin4			
茎	kiŋ3			
京	kiã1-			
经	kiŋ1	1		
经	kiŋ1=	2		
经	kĩ1-	2		
荆	kiŋ1			
惊	kiŋ1=			
惊	kiã1-			
晶	kiŋ1			
睛	tɕiŋ1			
精	tɕiŋ1=			
精	tɕĩ1-			
鲸	kiŋ1			
井	tɕĩ3			
颈	kiŋ3			
景	kiŋ3			
警	kiŋ4			
径	kiŋ3			
净	tɕiŋ4			
竞	kiŋ4			
竟	kiŋ4			
敬	kiŋ4			
靖	tɕiŋ4			
静	tɕiŋ4			
境	kiŋ4			
镜	kiã1-			
纠	kiu1			
究	kiu3			
阄	kiu1			
九	kiu3=			
九	kau3-			
久	kiu3=			
久	ku3-			
灸	kiu3			
韭	ku3-			
韭	kʰu3-			
酒	tɕiu3			
旧	ku4-			
臼	kiu4=			
臼	kʰu4-			
柩	kiu4=			
柩	ku4-			
救	kiu4			
就	tɕiu4			
舅	ku4-			
拘	tsu1			
居	kɯ1			
车	kɯ1			
驹	ku1			
锔	kiɔk5			
鞠	kiɔk5			
局	kiɔk6			
菊	kiɔk5=			
菊	kik5-			
橘	kieʔ5=			
橘	kik5-			
矩	kɯ4			
举	kɯ3			
巨	kɯ4			
句	ku4			
拒	kɯ4			
拒	ki4			
具	kɯ4			
具	ku4			
俱	kɯ4			
据	kɯ4			
距	kɯ4			
惧	ku4			
惧	kɯ4			
锯	kɯ4			
聚	su4			
捐	tsuan1			
卷	tsuan3=			
卷	kŋ3-			
倦	tsuan3			
绢	tsuan1			
眷	tsuan4			
眷	kuan4			
卷	tsuan3=			
卷	kŋ3-			
圈	tsʰuan1			
决	kuat5			
决	tsuat5			
决	kuaʔ5			
诀	tsuat5			
PAGE 21				
觉	kak5			
绝	tsuat6			
掘	kuat6			
掘	kut6			
掘	kuəʔ6			
厥	tsuat5			
军	kun1			
均	kun1			
君	kun1			
钧	kun1			
菌	kun1			
菌	kən1			
俊	tsun3			
郡	kun4			
浚	tsun4			
开	kʰui1-			
揩	kʰai1			
凯	kʰai4			
慨	kʰai4			
楷	kʰai3			
看	kʰan1			
刊	kʰan1			
勘	kʰan1			
龛	kʰan1			
堪	kʰan1			
坎	kʰan4			
砍	kʰan4			
槛	kʰan3			
看	kʰuã4-			
康	kʰɔŋ1			
康	kʰaŋ1			
慷	kʰɔŋ1			
慷	kʰaŋ1			
糠	kʰŋ1-			
扛	kŋ1-			
抗	kʰɔŋ4=			
抗	kʰaŋ4=			
抗	kʰŋ4-			
囥	kʰŋ4-			
炕	kʰɔŋ4=			
炕	kʰŋ4-			
考	kʰɔ̃3			
铐	kʰɔ̃4			
铐	kʰau4			
犒	kʰɔ̃4			
犒	kʰau4			
靠	kʰɔ̃4			
科	kʰə1-			
棵	kʰo1=			
棵	kʰə1-			
颗	kʰo1			
磕	kʰaʔ5			
壳	kʰak5			
可	kʰɔ̃3			
可	kʰo3			
渴	kʰat5			
渴	kʰaʔ5			
克	kʰik5			
克	kʰaʔ5			
克	kʰak5			
刻	kʰik5			
刻	kʰaʔ5			
客	kʰeʔ5-			
课	kʰo4			
肯	kʰən3			
垦	kʰən4			
恳	kʰən3			
啃	kʰən3=			
啃	kʰue3-			
空	kʰɔŋ1=			
空	kʰaŋ1-			
孔	kʰɔŋ3=			
孔	kʰaŋ1-			
恐	kʰɔŋ4			
控	kʰɔŋ3			
空	kʰɔŋ4=			
空	kʰaŋ4-			
抠	kʰəu1			
口	kʰo4			
口	kʰau3			
扣	kʰəu4			
寇	kʰəu4			
枯	kʰɔ1			
哭	kʰɔk5			
窟	kʰut5			
窟	kʰuət5			
窟	kʰuəʔ5			
库	kʰɔ4			
裤	kʰɔ4			
夸	kʰua1			
PAGE 22				
侉	kʰua1			
垮	kʰua4			
跨	kʰua4			
蒯	kʰuai1			
会	kue4			
会	kui4			
快	kʰuai4=			
快	kʰuĩ4-			
筷	kʰuai4			
宽	kʰuan1			
款	kʰuan3			
匡	kʰɔŋ1			
筐	kʰiŋ1-			
狂	kɔŋ2			
旷	kʰɔŋ4			
况	hɔŋ4			
矿	kʰɔŋ3			
亏	kʰui1			
盔	kʰue1			
盔	kʰui4			
窥	kʰui4			
奎	kʰue2			
逵	kui2			
葵	kui4			
魁	kʰue2			
傀	kʰui2			
溃	hue4			
溃	kʰui4			
愧	kʰui4			
坤	kʰun1			
昆	kʰun1			
捆	kʰun3			
困	kʰun4			
扩	kʰɔk5=			
扩	kʰuaʔ5-			
括	kuaʔ5-			
阔	kʰuaʔ5-			
廓	kɔk5=			
廓	kʰɔʔ5-			
垃	laʔ5-			
腊	laʔ6-			
蜡	laʔ6-			
瘌	laʔ6			
辣	luaʔ6-			
镴	laʔ6-			
来	lai2			
赖	lua4-			
兰	lan2			
拦	lan2=			
拦	nã2-			
栏	lan2=			
栏	nuã2-			
婪	lan2			
蓝	lan2			
篮	nã2-			
览	lan4			
揽	lan4			
缆	lan4			
榄	lan3=			
榄	nã3-			
懒	nuã4-			
烂	lan4=			
烂	nuã4-			
滥	lan4			
郎	lɔŋ2			
郎	laŋ2			
狼	lɔŋ2			
狼	laŋ2			
廊	lɔŋ2			
廊	laŋ2			
朗	lɔŋ4			
浪	lɔŋ4			
浪	laŋ4			
捞	lau2-			
劳	lo2=			
劳	lau2-			
牢	lo2=			
牢	lau2-			
唠	lau2-			
老	lau4-			
老	niãu4-			
姥	lau4			
烙	lɔk6=			
烙	lɔʔ6-			
酪	lɔk6=			
酪	lɔʔ6-			
PAGE 23				
乐	lɔk6=			
乐	lɔʔ6-			
了	liau3=			
了	liau4-			
勒	laʔ6			
雷	lui2			
累	lui3			
垒	lui2			
儡	lui3=			
儡	lə2-			
肋	laʔ6			
泪	lue4			
类	lui4			
累	lui4			
棱	liŋ2			
冷	liŋ3			
厘	li2			
狸	li2			
离	li2			
梨	li2=			
梨	lai2-			
犁	lue2-			
璃	li2			
黎	li2			
篱	li2			
礼	le3			
礼	li3			
李	li3			
里	li3=			
里	lai4-			
理	li3			
鲤	li4			
力	lik5=			
力	liət6=			
力	liəʔ6=			
力	laʔ6-			
厉	li4-			
立	liəʔ6			
吏	li4			
丽	le4			
丽	li4			
励	li4			
利	li4			
例	li4			
荔	nãi4-			
莉	li4			
栗	liet6=			
栗	laʔ6-			
笠	liəʔ6			
粒	liəʔ6			
痢	li4			
历	lik6	1		
历	lieʔ6	1		
历	liaʔ6	1		
历	liaʔ6	2		
历	lieʔ6	2		
历	liet6	2		
连	lien2			
怜	lien2=			
怜	liŋ2-			
帘	lien2			
莲	lien2			
联	lien2			
廉	lien2			
镰	lien2			
敛	lien2			
脸	lien4			
练	lien4			
炼	lien4			
敛	lien4			
殓	lien3			
链	lien4			
良	liɔŋ2			
量	liɔŋ2=			
量	niũ2-			
凉	liɔŋ2			
凉	liaŋ2			
梁	liɔŋ2=			
梁	niũ2-			
粮	niũ2-			
粱	liɔŋ2=			
粱	niũ2-			
两	liɔŋ3=			
两	nŋ4-			
两	niu3			
亮	liɔŋ4			
谅	liɔŋ4			
辆	liɔŋ4=			
辆	niũ4-			
量	liɔŋ4			
PAGE 24				
撩	liau2			
辽	liau2			
疗	liau2			
聊	liau2			
寥	liau2			
燎	liau2			
料	liau4			
廖	liau4			
瞭	liau2			
镣	liau4			
列	liet6			
列	liəʔ6			
劣	liəʔ6			
烈	liet6			
烈	liəʔ6			
猎	laʔ6-			
裂	liet6=			
裂	liʔ6-			
拎	liŋ1			
邻	liŋ2			
林	lin2=			
林	nã2-			
临	lin2			
淋	lin2=			
淋	lan2-			
磷	liŋ2			
磷	lin2			
鳞	liŋ2=			
鳞	lan2-			
凛	lin3			
吝	liŋ4			
赁	lin4			
伶	liŋ2			
灵	liŋ2			
铃	liŋ2			
凌	liŋ2			
陵	liŋ2			
菱	liŋ2			
零	liŋ2			
龄	liŋ2			
岭	liŋ4=			
岭	niã3-			
领	liŋ4=			
领	niã3-			
另	liŋ4			
令	liŋ4			
溜	liu1			
刘	liu2			
留	liu2=			
留	lau2-			
流	liu2=			
流	lau2-			
琉	liu2			
硫	liu2			
馏	liu2			
榴	liu2			
柳	liu3			
六	lak6-			
六	laʔ6-			
龙	lɔŋ2=			
龙	liŋ2-			
咙	lɔŋ2=			
咙	laŋ4-			
聋	lɔŋ2=			
聋	laŋ2-			
笼	lɔŋ2=			
笼	laŋ2-			
隆	lɔŋ2			
陇	liŋ2-			
拢	lɔŋ3			
垄	lɔŋ2			
娄	ləu2			
楼	lau2			
耧	ləu2=			
耧	lau3-			
搂	ləu4			
篓	ləu3=			
篓	lau3-			
陋	ləu4=			
陋	lau4-			
漏	lau4			
卢	lo2			
芦	lo2			
庐	lɔ2-			
炉	lo2			
虏	lo3			
鲁	lo3			
PAGE 25				
卤	lo4			
橹	lo3			
陆	lɔk6			
录	lɔk6			
录	lɔʔ6			
赂	lo4			
鹿	lɔʔ6			
禄	lɔʔ6			
路	lo4			
鹭	lo4			
露	lo4			
鸾	luan2			
捋	luaʔ6-			
旅	lɯ1			
屡	lɯ4			
履	li4			
履	lɯ4			
律	liəʔ6			
律	lieʔ6			
虑	lɯ4			
率	liəʔ6			
率	lieʔ6			
绿	lieʔ6-			
绿	liəʔ6-			
绿	lik6-			
滤	lɯ4			
掠	liɔk6			
掠	liɔʔ6			
略	liɔk6			
略	liɔʔ6			
銮	luan2			
卵	luan2=			
卵	nŋ4-			
麻	mua2			
乱	luan4			
仑	lun2			
论	lun2			
伦	lun2			
沦	lun2			
轮	lun2=			
轮	lin2-			
论	lun4			
罗	lo2			
脶	lə2-			
锣	lo2			
箩	lo2=			
箩	lua2-			
骡	lo2=			
骡	lə2-			
螺	lo2=			
螺	lə2-			
裸	lo1			
洛	lɔk6=			
洛	lɔʔ6-			
络	lɔk6=			
络	lɔʔ6-			
骆	lɔk6=			
骆	lɔʔ6-			
落	lɔʔ6-			
落	lak5-			
落	laʔ5-			
摞	lo3			
驴	lɯ2			
吕	lɯ4			
麻	muã2-			
痲	muã2-			
蟆	mɔ̃2			
蟆	bɔ2			
马	mã4=			
马	be3-			
码	be3-			
骂	mã4			
埋	bai2			
买	bue3-			
迈	bai4			
麦	beʔ6-			
卖	bue4-			
脉	beʔ6-			
蛮	ban2			
馒	bun4			
瞒	muã2-			
满	muã3-			
蔓	ban4			
幔	ban4			
漫	ban4=			
漫	muã4-			
慢	ban4			
芒	bɔŋ2=			
芒	baŋ2-			
忙	bɔŋ2			
PAGE 26				
盲	bɔŋ2			
盲	mĩ2			
氓	baŋ2			
氓	bɔŋ2			
茫	bɔŋ2			
莽	bɔŋ3			
蟒	bɔŋ3			
蟒	baŋ3			
猫	mãu1=			
猫	niãu1-			
毛	mɔ̃2=			
毛	mãu2=			
毛	mŋ2-			
矛	bəu2			
茅	mãu2			
茅	bau2			
锚	mãu2			
卯	mãu3			
卯	bau3			
茂	bəu4			
冒	mɔ̃4=			
冒	mãu4-			
冒	bau4-			
贸	bəu4			
帽	mɔ̃4			
帽	bɔ4			
貌	mãu4			
没	bɔʔ6			
枚	muĩ2			
眉	bi2			
梅	muĩ2=			
梅	m2-			
媒	mui2=			
媒	m4-			
楣	muĩ2			
煤	muĩ2			
霉	muĩ2			
每	muĩ3			
美	bi3			
妹	bə4-			
昧	mue4			
门	mŋ2-			
闷	bun4			
虻	bɔŋ2			
萌	bɔŋ2			
蒙	bɔŋ2			
盟	bɔŋ2			
猛	bɔŋ3			
懵	bɔŋ2			
蠔	bɔŋ2=			
蠔	baŋ3-			
孟	bɔŋ4			
梦	bɔŋ4=			
梦	baŋ4-			
弥	mĩ2			
迷	bi2			
迷	be2			
谜	bi2			
谜	be3			
糜	bi2=			
糜	bə2-			
靡	mĩ2			
米	bi3			
泌	pi4			
秘	pi4			
密	biet6=			
密	bieʔ6=			
密	ba4-			
蜜	biet6			
蜜	bieʔ6			
眠	bien2=			
眠	bin2-			
绵	bien2			
绵	mĩ2			
棉	mĩ2			
免	bien3			
勉	bien4			
娩	bien4			
缅	bien4			
面	bin4-	1		
麵	bien4=	2		
麵	mĩ4-	2		
苗	biau2=			
苗	bio2-			
描	biau2=			
描	bio2-			
秒	bio2			
渺	biau4			
藐	bio4			
妙	bio4			
庙	bio4			
灭	biet6			
灭	bieʔ6			
蔑	biəʔ6=			
蔑	biʔ6-			
篾	biəʔ6=			
篾	biʔ6-			
PAGE 27				
民	biŋ2			
抿	bin4			
闽	biŋ4			
悯	biŋ3			
悯	bin3			
敏	biŋ3			
名	miã2-			
明	biŋ2=			
明	mã2-			
明	miã2			
鸣	biŋ2			
鸣	miŋ2			
铭	biŋ2=			
铭	miã2-			
命	biŋ4=			
命	miã4-			
谬	bio4-			
摸	bɔ1			
摸	mɔ̃1			
馍	mɔ̃2			
馍	bɔ2			
摹	bo2			
模	bo2			
模	mɔ̃2			
膜	bɔk6=			
膜	bɔʔ6-			
膜	mɔ̃ʔ6-			
摩	mɔ̃2			
摩	bɔ2			
磨	bua2-			
魔	mɔ̃2			
魔	bɔ2			
抹	bak6=			
抹	baʔ5=			
抹	buaʔ5-			
沫	bɔk6=			
沫	buaʔ6-			
磨	bo4			
莫	bɔk5			
莫	bɔʔ5			
寞	bɔk6=			
寞	bɔ4=			
寞	mɔ̃ʔ6-			
墨	bak6			
墨	baʔ6			
默	biet5			
谋	bəu2			
缪	bio4			
某	bɔ3			
某	bəu1			
母	bɔ3=			
母	bu3-			
牡	bɔ3=			
牡	bu3-			
亩	bɔ3			
拇	bu3-			
木	bɔk5			
木	bɔʔ6			
目	bɔk6			
目	bɔʔ6			
目	buəʔ6			
沐	bɔk5			
沐	bɔʔ6			
牧	bɔk6			
牧	bɔʔ6			
牧	buəʔ6			
募	bɔ4			
墓	bɔ4			
幕	bɔ4			
慕	bɔ4			
暮	bɔ4			
穆	bɔk6			
穆	bɔʔ6			
穆	buəʔ6			
拿	nã2			
哪	nã3			
那	nã3			
纳	laʔ6			
捺	naʔ6			
乃	nãi3			
奶	nãi4			
奈	nãi4			
耐	nãi3			
难	lan2			
男	lan2			
南	lan2			
难	lan4			
囊	lɔŋ2			
囊	laŋ2			
挠	niãu4			
挠	ǳiau4			
铙	niãu4			
恼	nɔ̃3=			
恼	nãu3-			
脑	nãu3-			
闹	nãu4			
闹	lau4			
馁	tui4			
嫩	lun4			
能	liŋ2			
尼	nĩ2			
泥	nĩ2-			
PAGE 28				
拟	gi4			
逆	giet6			
匿	ǳiet5			
腻	nĩ4			
拈	lien4			
蔫	ien1			
年	nĩ2-			
鲇	lien4			
黏	lien2			
念	lien4			
娘	niũ2-			
娘	niã2-			
酿	liɔŋ4=			
酿	niũ4-			
鸟	tɕiau3-			
尿	ǳio4-			
捏	liet5=			
捏	niʔ6-			
聂	nieʔ6			
镊	nieʔ6			
蹑	nieʔ6			
孽	giet6			
孽	gieʔ6			
宁	liŋ2			
凝	giŋ2			
凝	ŋin2			
宁	liŋ4			
牛	gu2-			
纽	liu3			
农	lɔŋ2			
侬	nɔŋ2=			
侬	laŋ2-			
浓	loŋ2			
脓	loŋ2=			
脓	laŋ2-			
弄	lɔŋ4			
奴	lɔ2			
奴	nɔ2			
努	lɔ2			
努	nɔ̃2			
怒	nɔ̃4			
暖	luan3			
虐	giɔ̃k5			
挪	nã1			
挪	nɔ̃1			
女	lɯ3			
瓯	əu1			
欧	əu1			
殴	əu1			
呕	əu1			
藕	ŋãu3-			
怄	au4-			
杷	pa2=			
杷	pe2-			
爬	pe2-			
琶	pa2=			
琶	pe2-			
帕	pʰa4			
怕	pʰa4			
拍	pʰaʔ5-			
排	pai2			
牌	pai2			
簰	pai2			
派	pʰai4			
潘	pʰuã1			
攀	pʰan1			
爿	pãi2-			
盘	puã2-			
判	pʰuã4-			
盼	pʰan4			
叛	pʰan4=			
叛	pʰuã4-			
畔	pʰuan4=			
畔	pʰuã4-			
襻	pʰan1			
滂	pɔŋ2			
滂	paŋ2			
庞	pʰaŋ2			
庞	paŋ2			
旁	pɔŋ2			
螃	pɔŋ2			
抛	pʰau1			
PAGE 29				
刨	pʰau4			
刨	pau4			
袍	pɔ2=			
袍	pau2-			
跑	pʰau3			
跑	pau4			
泡	pʰa1-	1		
泡	pʰau4	2		
炮	pʰau4			
匹	pʰiet5			
匹	pʰieʔ5			
痞	pʰi4			
癖	pʰiet5			
癖	pʰiəʔ5			
屁	pʰi4=			
屁	pʰui4-			
辟	pʰiʔ5			
辟	pʰiet5			
辟	pʰiəʔ5			
僻	pʰiet5			
僻	pʰiəʔ5			
譬	pʰi4			
胚	pʰə1-			
陪	pue2=			
陪	pə2-			
偏	pʰien1			
培	pue2			
篇	pʰien1			
赔	pə2-			
沛	pʰai4			
沛	pʰue4			
佩	pue4			
配	pʰue4			
喷	pʰun1			
盆	pʰun2			
喷	pʰun4			
朋	piŋ2			
彭	pɔŋ2			
彭	paŋ2			
棚	pɔŋ2			
棚	pʰɔŋ2			
蓬	pʰɔŋ2			
篷	pʰɔŋ2			
篷	pɔŋ2			
膨	pɔŋ2			
膨	paŋ2			
捧	pʰɔŋ3=			
捧	pʰaŋ3-			
碰	pʰɔŋ4			
丕	pʰi1			
丕	pʰə1			
批	pʰi1			
坯	pʰə1-			
披	pʰi1=			
披	pʰua1-			
劈	pʰiet5			
劈	pʰieʔ5			
皮	pʰi2=			
皮	pʰə2-			
枇	pi2			
枇	kʰi2			
疲	pi2			
琵	pi2			
脾	pi2			
片	pʰien4			
骗	pʰien4			
漂	pʰiau1=			
漂	pʰio1-			
飘	pʰio1-			
嫖	pʰiau2=			
嫖	pʰio2-			
瓢	pʰiau2=			
瓢	pʰio2-			
票	pʰiau4=			
票	pʰio4-			
漂	pʰiau3=			
漂	pʰio3-			
撇	pʰiet5			
撇	pʰieʔ5			
拼	pʰiŋ1			
拼	pʰiŋ4			
姘	pʰiŋ1			
贫	piŋ2			
频	piŋ2			
品	pʰiŋ3			
聘	pʰiŋ3=			
聘	pʰiã3-			
平	piŋ2=			
平	pĩ2-			
评	piŋ2			
坪	piŋ2=			
坪	pĩ2-			
坪	pʰiã2-			
凭	piŋ2=			
凭	pin2-			
屏	piŋ2			
瓶	pan2-			
萍	piŋ2			
坡	pʰo1			
泊	pʰik5			
泊	pʰɔʔ5			
泼	pʰɔk5=			
泼	pʰak5=			
泼	pʰuaʔ5-			
PAGE 30				
颇	pʰo1			
婆	po2			
迫	pik5			
迫	pʰik5			
珀	pʰiet5=			
珀	pʰaʔ5-			
破	pʰo4=			
破	pʰua4-			
魄	pʰaʔ5-			
剖	pʰɔ3			
铺	pʰo1			
仆	pɔʔ5			
仆	pʰɔʔ5			
扑	pʰɔk5			
扑	pʰɔʔ5			
菩	pɔ2			
脯	pʰɔ3			
蒲	pʰo3			
蒲	po2			
朴	pʰɔʔ5-			
朴	pɔʔ6-			
浦	pʰo4			
普	pʰo4			
谱	pʰo3			
铺	pʰo3			
瀑	pɔk5			
瀑	pɔʔ5			
瀑	pʰɔʔ5			
曝	pɔʔ5=			
曝	pʰak5-			
七	tɕʰit5			
七	tɕʰiet5			
七	tɕʰieʔ5			
妻	tsʰe1			
妻	tsʰue1			
栖	tsʰe1			
戚	tɕʰiet5			
戚	tɕʰieʔ5			
期	ki2			
欺	ki1			
漆	tɕʰiet5			
漆	tɕʰieʔ5			
齐	tse2=			
齐	tsue2-			
祁	ki2			
岐	ki2			
其	ki2			
奇	ki2			
祈	ki2			
祈	ki2			
脐	tse2=			
脐	tsai2-			
骑	kʰia2			
棋	ki2			
旗	ki2			
乞	kʰiet5			
乞	kʰeʔ5			
岂	kʰi3			
企	kʰi3			
杞	ki4			
杞	kʰi4			
启	kʰi3			
起	kʰi3			
气	kʰi4=			
气	kʰui4-			
讫	kʰiet5			
弃	kʰi4			
汽	kʰi4			
泣	kʰik5			
契	kʰue3-			
器	kʰi4			
掐	kʰaʔ5			
洽	kaʔ5-			
恰	kʰaʔ5			
千	tɕʰien1=			
千	tsʰãi1-			
扦	tɕʰien1			
迁	tɕʰien1			
牵	tɕʰien1=			
牵	kʰan1-			
谦	kʰien1			
签	tɕʰien1			
前	tsãi2-			
虔	tɕʰien2			
钱	tɕien2=			
钱	tɕĩ2-			
钳	kĩ2-			
掮	kien1			
乾	kʰien2			
浅	tɕʰien3			
遣	tɕʰien4			
PAGE 31				
欠	kʰien4			
纤	tɕʰien1			
嵌	kʰãi4			
歉	kʰien4			
呛	tɕʰiɔŋ4=			
呛	tɕʰiaŋ4-			
羌	kʰiɔŋ1=			
羌	kʰiaŋ1-			
枪	tɕʰiũ1-			
腔	kʰiũ1=			
腔	kʰiɔŋ1-			
强	kiɔŋ2			
墙	tɕʰiũ2-			
抢	tɕʰiũ3-			
悄	tɕʰiau1			
锹	tɕʰiau1			
敲	kʰa4-			
乔	kiau2=			
乔	kio2-			
侨	kiau2			
荞	kio2			
桥	kio2			
巧	kʰa4-			
俏	tɕʰiau1			
窍	tɕʰiau4			
茄	kio2-			
且	tɕʰia3			
切	tɕʰieʔ5=			
切	tɕʰiaʔ5=			
切	tsueʔ6-			
妾	tɕʰieʔ5			
怯	kiet5			
钦	kʰin1			
侵	tsʰiŋ1			
亲	tsʰin1			
芹	kʰən2			
秦	tɕin2			
琴	kʰin2			
禽	kʰin2			
勤	kʰin2			
勤	kʰən2			
擒	kʰin2			
寝	tɕʰiŋ4			
揿	kʰin4			
青	tɕʰiŋ1=			
青	tɕʰĩ1-			
轻	kʰin1-			
倾	kʰiŋ4			
卿	kʰiŋ1			
清	tɕʰiŋ1=			
清	tɕʰĩ1-			
蜻	tsʰiŋ1			
情	tɕiŋ2			
晴	tɕĩ2-			
擎	tɕiŋ1			
顷	kʰiŋ4			
请	tɕʰiã3-			
亲	tɕʰin1			
庆	kʰiŋ4			
磬	kiŋ4			
穷	kiŋ2			
琼	kʰiŋ2			
丘	kʰiu1			
丘	kʰu1			
秋	tɕʰiu1			
鳅	tɕʰiu1			
囚	ɕiu2=			
囚	tɕʰiu4-			
求	kiu2			
泅	ɕiu2			
球	kiu2			
区	kʰu1			
曲	kʰiɔk5			
曲	tɕʰiɔk5			
驱	kʰu1			
屈	kʰuət5			
趋	tɕʰi1			
渠	kɯ4			
取	tsʰu3			
娶	tsʰu3			
PAGE 32				
去	kʰɯ4			
趣	tsʰu3			
圈	tsuan1=			
圈	kʰuan1-			
权	kuan2			
全	tsuan2			
泉	tsuan2=			
泉	tsuã2-			
拳	kun2-			
犬	tsʰuan1			
劝	tsʰuan4			
券	tsʰuan4			
券	tsuan4			
缺	kʰəʔ5-			
缺	kʰɯʔ5-			
瘸	kʰə2-			
却	kʰiɔk5=			
却	kʰiɔʔ5-			
雀	tɕʰiɔk5=			
雀	tɕʰik5-			
鹊	tɕʰiɔk5			
裙	kun2			
群	kun2			
然	ǳien2			
燃	ǳien2			
冉	ǳien4			
染	ǳien3=			
染	nĩ3-			
壤	ǳiɔŋ4			
嚷	ǳiɔŋ3			
让	liɔŋ4=			
