#作者：中南大学 文学与新闻传播学院 喻程琪， 刘青松， 郇国庆， 许瑛丹				
#转录者：DaiDzao				
#湖南娄底万宝镇方言同音字汇 湖南人文科技学院学报 2021 年 3 月 第 38 卷 第 2 期				
IPA	调值	调类	字	
ɕin	44	1	申芯欣声=猩馨兴[～起]伸升身深	
ɕin	31	3	省[反～]沈审婶	
ɕin	45	5	衅胜兴[～致]圣□[(加热饭菜)]	
ʑin	13	2	成绳丞神承城盛[～饭]乘唇刑形型程澄橙行[～为]	
ʑin	22	6	杏幸剩盛[(姓)]甚肾慎葚	
Øin	44	1	音殷阴姻因英婴樱鹰鹦莺	
Øin	13	2	迎赢盈仁淫	
Øin	31	3	影颖忍引饮隐瘾	
Øin	45	5	应印	
Øin	22	6	韧任孕认刃	
tun	44	1	敦墩	
tun	45	5	饨吨炖顿□[(竖起来)]	
tʰun	44	1	春椿	
tʰun	31	3	蠢□[～皮:脱皮]	
dun	13	2	囤豚臀	
dun	22	6	钝遁盾沌	
lun	13	2	伦沦轮仑论	
lun	22	6	嫩论	
tsun	44	1	蹲尊遵	
tsun	45	5	俊峻竣	
tsʰun	44	1	村□[讲～话:讲脏话]	
tsʰun	45	5	忖寸	
dzun	13	2	巡殉荀循询旬存	
sun	44	1	孙	
sun	31	3	笋损	
sun	45	5	逊□[墙壁～白嗰:墙壁很白]	
kun	31	3	滚	
kun	45	5	棍	
kʰun	44	1	坤昆倾	
kʰun	31	3	顷捆	
kʰun	45	5	困睏	
xun	44	1	分混[～浊]芬昏荤浑婚纷	
xun	31	3	粉	
xun	45	5	喷-愤奋粪忿	
ɣun	13	2	魂馄横坟纯焚	
ɣun	22	6	顺混[～淆]份	
Øun	44	1	温翁嗡晕瘟	
Øun	13	2	文蚊=云耘匀萤营纹闻荣炆[(小火煮)]	
Øun	31	3	允吻永尹稳	
Øun	45	5	咏熨韵泳□[(淹)]□[～猪子:不爱说话的人]	
Øun	22	6	问闰润运	
ʨyn	44	1	君军钧均	
ʨyn	31	3	准	
dʑyn	13	2	琼裙群	
dʑyn	22	6	菌	
ɕyn	44	1	熏勋薰	
ɕyn	45	5	训舜楦	
pã	44	1	扳班斑搬=颁	
pã	31	3	板版	
pã	45	5	扮绊=	
pʰã	44	1	攀	
pʰã	45	5	判=盼叛=	
bã	22	6	办瓣	
mã	13	2	蛮	
mã	31	3	□[～娘:姑娘]	
mã	45	5	嫚[～～:姑姑]	
mã	22	6	馒漫慢曼蔓	
tã	44	1	丹耽单担[～水]	
tã	31	3	疸胆	
tã	45	5	担[～子]旦	
tʰã	44	1	坍贪摊瘫滩	
tʰã	31	3	坦毯	
tʰã	45	5	炭探叹	
dã	13	2	潭坛檀谭谈弹[～琴]	
dã	22	6	但淡蛋诞弹[～子]	
lã	44	1	□[(捡)]	
lã	13	2	蓝拦兰篮栏婪	
lã	31	3	懒	
lã	45	5	榄揽览缆	
lã	22	6	滥烂	
nã	13	2	男南难[困～]	
nã	45	5	难[逃～]□[～子:脸上的坨]	
tsã	44	1	簪	
tsã	31	3	崭盏斩	
tsã	45	5	赞站溅绽䋎[(缝补)]	
tsʰã	44	1	参餐掺搀	
tsʰã	31	3	惨产铲	
tsʰã	45	5	忏灿	
dzã	13	2	残谗惭痰蚕禅蝉馋□[(扎人，刺眼)]	
dzã	22	6	暂赚渐栈	
sã	44	1	姗山杉删=珊衫三	
sã	31	3	伞散□[(抱)]	
sã	45	5	疝散[(过继，施舍)]	
kã	44	1	尴奸间艰	
kã	31	3	碱锏减柬简俭□[当～:吃第二碗饭]	
kã	45	5	谏鉴舰监	
kʰã	45	5	嵌	
xã	44	1	酣憨鼾	
xã	31	3	喊	
ɣã	13	2	含涵衔函闲寒韩咸	
ɣã	22	6	旱翰撼憾限苋陷	
ŋã	13	2	颜岩	
ŋã	31	3	眼	
ŋã	45	5	晏	
Øã	44	1	庵	
suã	44	1	拴栓闩删-	
kuã	44	1	关观	
kuã	31	3	管馆	
kuã	45	5	贯惯灌罐	
xuã	44	1	番翻欢	
xuã	31	3	返反	
xuã	45	5	泛贩	
ɣuã	44	1	帆	
ɣuã	13	2	环凡烦繁矾还藩[曾国～]	
ɣuã	22	6	幻换唤患焕饭范犯	
Øuã	44	1	豌-弯湾安	
Øuã	13	2	玩顽	
Øuã	31	3	挽腕晚宛婉	
Øuã	22	6	万	
pẽ	44	1	般搬-	
pẽ	45	5	半绊-	
pʰẽ	44	1	潘烹	
pʰẽ	45	5	判-叛-	
bẽ	13	2	盘彭	
bẽ	22	6	伴拌	
mẽ	44	1	咩哞	
tẽ	44	1	登灯瞪蹬	
tẽ	31	3	等□[～倒:拦到]	
tẽ	45	5	凳	
tʰẽ	44	1	吞	
tʰẽ	45	5	□[两个～一下:两个比一下]□[～倒你走:抬着你走]	
dẽ	13	2	疼藤滕腾	
dẽ	22	6	邓	
nẽ	44	1	拿奶-	
nẽ	13	2	能	
nẽ	31	3	□[(顶着不舒服)]	
nẽ	22	6	念	
tsẽ	44	1	增争臻睁筝曾[(姓)]	
tsẽ	45	5	□[(勉强)]	
tsʰẽ	44	1	□[(压)]	
tsʰẽ	45	5	蹭憎赠衬	
dzẽ	13	2	曾[不～]层	
sẽ	44	1	森生甥牲僧参	
sẽ	31	3	省[节～]	
sẽ	45	5	蹭	
kẽ	44	1	根庚跟耕羹更[三～]	
kẽ	31	3	耿哽梗埂□[(盖住)]	
kẽ	45	5	更[～好]	
kʰẽ	31	3	肯啃垦恳	
xẽ	44	1	哼亨	
xẽ	31	3	很狠	
ɣẽ	13	2	恒痕桓衡	
ɣẽ	22	6	恨	
ŋẽ	44	1	恩	
ŋẽ	22	6	硬	
tuẽ	44	1	端	
tuẽ	31	3	短	
tuẽ	45	5	锻	
duẽ	13	2	团	
duẽ	22	6	段缎断	
nuẽ	31	3	卵暖	
nuẽ	22	6	乱	
tsuẽ	44	1	□[(踉跄)]	
tsuẽ	31	3	篡	
tsuẽ	45	5	钻	
tsʰuẽ	44	1	□[(心慌)]	
tsʰuẽ	45	5	窜篡	
suẽ	44	1	酸	
suẽ	45	5	蒜算涮	
kuẽ	44	1	甘柑肝干[～预]官棺	
kuẽ	31	3	敢感赶杆竿	
kuẽ	45	5	干[～部]冠圈[猪～]	
kʰuẽ	44	1	刊宽堪	
kʰuẽ	31	3	坎款砍槛	
kʰuẽ	45	5	看	
xuẽ	13	2	寒-韩-	
xuẽ	31	3	罕	
ɣuẽ	45	5	汉	
ɣuẽ	22	6	汗捍焊憾	
Øuẽ	44	1	安庵	
Øuẽ	31	3	碗	
Øuẽ	45	5	按案暗	
Øuẽ	22	6	岸	
piõ	13	2	拼-饼-	
biõ	13	2	坪-平-	
biõ	22	6	病-	
miõ	22	6	命-	
tiõ	44	1	叮-钉-[～子]	
tiõ	45	5	钉-[动词，～钉子]	
tʰiõ	44	1	厅-	
tʰiõ	31	3	挺-	
tʰiõ	45	5	听-	
diõ	22	6	定-	
ȵiõ	44	1	□[～薄:很薄]	
ȵiõ	13	2	赢-	
ȵiõ	31	3	冷-惹-	
tsiõ	44	1	精-	
tsiõ	31	3	井-	
tsʰiõ	44	1	青-清-□[～脑壳:不踏实的人]	
tsʰiõ	31	3	请-	
dʑiõ	13	2	晴-	
siõ	31	3	醒-	
siõ	45	5	腥-	
ʨiõ	44	1	正-[～月]	
ʨiõ	31	3	颈-	
ʨʰiõ	44	1	轻-	
dʑiõ	22	6	□[要～口:要忌]	
ɕiõ	44	1	声-	
pʰɔŋ	44	1	□[(赶走)]	
pʰɔŋ	31	3	□[(用力关门)]	
pʰɔŋ	45	5	□[～咯～:一群群的，形容很多]	
tɔŋ	44	1	当[应～]裆	
tɔŋ	31	3	挡档党	
tɔŋ	45	5	当[～铺]	
tʰɔŋ	44	1	汤昌=娼=	
tʰɔŋ	31	3	躺淌倘	
tʰɔŋ	45	5	趟烫□[～把子:一种农具]	
dɔŋ	13	2	唐堂塘糖螳棠	
dɔŋ	22	6	荡	
nɔŋ	13	2	囊郎狼廊螂	
nɔŋ	22	6	浪朗	
tsɔŋ	44	1	装妆庄脏[肮～]赃争-	
tsɔŋ	45	5	壮葬	
tsʰɔŋ	44	1	仓铛苍舱窗	
tsʰɔŋ	31	3	闯撞=	
tsʰɔŋ	45	5	撑创呛-	
tsʰɔŋ	22	6	疮	
dzɔŋ	13	2	藏[隐～]床	
dzɔŋ	22	6	脏[内～]藏[～族]状撞-	
sɔŋ	44	1	霜丧[奔～]双孀桑甥-生-	
sɔŋ	31	3	爽嗓搡省□[一～:一节，一片]	
sɔŋ	45	5	丧	
kɔŋ	44	1	冈刚岗钢纲缸光	
kɔŋ	31	3	港讲广	
kɔŋ	45	5	逛杠肛□[(渔具)]	
kʰɔŋ	44	1	康慷糠坑-	
kʰɔŋ	31	3	□[(咳嗽)]	
kʰɔŋ	45	5	抗旷矿况炕	
xɔŋ	44	1	方芳荒慌	
xɔŋ	31	3	晃仿谎纺访	
xɔŋ	45	5	放	
ɣɔŋ	44	1	筐	
ɣɔŋ	13	2	防狂妨皇黄房肪蝗簧蟥行[银～]杭航	
ɣɔŋ	22	6	坊凰项巷	
Øɔŋ	44	1	汪	
Øɔŋ	13	2	王亡	
Øɔŋ	31	3	往网	
Øɔŋ	22	6	枉妄忘旺望	
ȵiɔŋ	13	2	良娘凉梁粮粱量[测～尺寸]	
ȵiɔŋ	31	3	辆两	
ȵiɔŋ	22	6	谅亮量[数～]	
tsiɔŋ	31	3	蒋[(姓)]	
tsiɔŋ	45	5	酱	
tsʰiɔŋ	31	3	抢	
tsʰiɔŋ	45	5	呛□[～起～起:弯弯曲曲]	
dʑiɔŋ	13	2	详墙祥□[～一下:猜一下]	
dʑiɔŋ	22	6	匠象像	
siɔŋ	44	1	箱相[～互]	
siɔŋ	31	3	想	
siɔŋ	45	5	橡□[(腥)]	
ʨiɔŋ	44	1	江姜章张樟蟑僵浆缰疆将[～来]	
ʨiɔŋ	31	3	掌涨奖桨长[～高]	
ʨiɔŋ	45	5	降胀瘴障账帐将[武～]	
ʨʰiɔŋ	44	1	枪昌-娼-腔框眶□[(晾)]	
ʨʰiɔŋ	31	3	厂场敞强[勉～]	
ʨʰiɔŋ	45	5	唱畅	
dʑiɔŋ	13	2	翔强[～调]长[～春]场肠	
dʑiɔŋ	22	6	丈仗杖	
ɕiɔŋ	44	1	商襄镶伤香厢乡湘	
ɕiɔŋ	31	3	响饷享赏	
ɕiɔŋ	45	5	向相[看～]	
ʑiɔŋ	13	2	常尝偿降	
ʑiɔŋ	22	6	上尚	
Øiɔŋ	44	1	央殃秧	
Øiɔŋ	13	2	羊洋阳扬杨疡□[～起～起:浑身无力]	
Øiɔŋ	31	3	仰痒养□[～光菩萨:挥霍殆尽的人]	
Øiɔŋ	45	5	映	
Øiɔŋ	22	6	样让嚷	
pɤŋ	44	1	帮邦	
pɤŋ	31	3	绑榜	
pɤŋ	45	5	棒蹦谤磅	
pʰɤŋ	31	3	捧	
pʰɤŋ	45	5	碰胖	
bɤŋ	13	2	朋棚膨旁螃蓬篷庞傍	
bɤŋ	22	6	蚌	
mɤŋ	13	2	萌蒙芒忙盲茫氓	
mɤŋ	31	3	莽猛懵蜢蟒	
mɤŋ	45	5	□[(很)]	
mɤŋ	22	6	孟梦	
tɤŋ	44	1	冬东中-终-衷-	
tɤŋ	31	3	董肿-懂	
tɤŋ	45	5	冻栋	
tʰɤŋ	44	1	通充-冲-	
tʰɤŋ	31	3	统捅桶宠-□[(踩)]	
tʰɤŋ	45	5	痛	
dɤŋ	13	2	茼同童铜瞳桐筒虫-	
dɤŋ	22	6	洞动	
nɤŋ	44	1	聋	
nɤŋ	13	2	龙隆农浓脓笼胧咙	
nɤŋ	31	3	拢陇垄	
nɤŋ	45	5	弄	
tsɤŋ	44	1	棕宗踪枞□[～相:面相不和善]	
tsɤŋ	31	3	总	
tsɤŋ	45	5	综粽纵□[(皱眉)]	
tsʰɤŋ	44	1	匆葱聪囱从[～容]	
dzɤŋ	13	2	崇从[～来]丛□[(馋)]	
dzɤŋ	22	6	诵颂讼□[(头发长乱)]	
sɤŋ	44	1	松嵩□[～泛:关系]	
sɤŋ	31	3	怂耸□[(擤)]	
sɤŋ	45	5	宋送	
kɤŋ	44	1	工弓公功攻宫恭蚣躬龚供[～不起]	
kɤŋ	31	3	汞拱巩	
kɤŋ	45	5	贡供[上～]羾[(钻)]	
kʰɤŋ	44	1	空[～调]	
kʰɤŋ	31	3	孔恐	
kʰɤŋ	45	5	控空[～闲]	
xɤŋ	44	1	烘封风峰枫疯蜂锋丰	
xɤŋ	31	3	哄[～骗]	
xɤŋ	45	5	讽哄[内～]	
ɣɤŋ	13	2	逢冯缝弘宏洪红鸿虹	
ɣɤŋ	22	6	缝共奉凤	
ʨiɤŋ	44	1	忠钟衷=终=中[～国]□[(赡养)]	
ʨiɤŋ	31	3	肿种[杂～]	
ʨiɤŋ	45	5	众种[～田]中=[～奖]	
ʨʰiɤŋ	44	1	冲=充=	
ʨʰiɤŋ	45	5	□[发～:生气]	
dʑiɤŋ	13	2	虫穷重[～复]	
dʑiɤŋ	22	6	重[轻～]	
dʑiɤŋ	44	1	凶兄匈胸汹	
ʑiɤŋ	13	2	熊雄□[～气八胆:脾气大]	
Øiɤŋ	44	1	臃雍用	
Øiɤŋ	13	2	容熔庸溶融蓉绒茸浓-	
Øiɤŋ	31	3	蛹勇涌踊拥	
pĩ	44	1	鞭边辫	
pĩ	31	3	扁蝙匾贬	
pĩ	45	5	变	
pʰĩ	44	1	编偏篇	
pʰĩ	13	2	便[～宜]	
pʰĩ	45	5	片骗遍	
bĩ	22	6	辨辩便[方～]	
mĩ	13	2	眠棉绵	
mĩ	31	3	免勉娩	
mĩ	45	5	灭蔑	
mĩ	22	6	缅面	
tĩ	44	1	巅颠癫	
tĩ	31	3	典点	
tĩ	45	5	店	
tʰĩ	44	1	天添	
tʰĩ	31	3	舔	
dĩ	13	2	田甜填	
dĩ	22	6	佃奠电殿垫	
lĩ	13	2	莲联帘镰怜连	
lĩ	31	3	脸敛	
lĩ	45	5	恋	
lĩ	22	6	练链炼	
ȵĩ	44	1	蔫研咽胭淹烟腌阉焉	
ȵĩ	13	2	年延严盐衍言阎檐炎然燃鲶	
ȵĩ	31	3	染演碾掩衍念	
ȵĩ	45	5	宴谚堰雁厌燕艳	
ȵĩ	22	6	焰验	
tsĩ	44	1	尖煎	
tsĩ	31	3	剪	
tsĩ	45	5	溅	
tsʰĩ	44	1	千铅纤签迁	
tsʰĩ	13	2	前潜钱	
sĩ	44	1	仙先□[(掏)]□[(善于人际)]	
sĩ	45	5	羡线□[(红薯粉丝)]	
ʨĩ	44	1	肩詹兼沾粘瞻坚	
ʨĩ	31	3	拣捡展检茧	
ʨĩ	45	5	箭占剑键荐毽战腱见建颤	
ʨʰĩ	44	1	牵谦纤	
ʨʰĩ	31	3	浅遣谴	
ʨʰĩ	45	5	歉欠	
dʑĩ	13	2	缠虔乾钳	
dʑĩ	22	6	件健	
ɕĩ	44	1	掀	
ɕĩ	31	3	陕显险闪	
ɕĩ	45	5	煽宪献扇	
ɣĩ	13	2	贤嫌	
ɣĩ	22	6	善膳现单□[～下:没关系]	
dzuĩ	13	2	全旋泉□[～鸡:拔鸡毛]	
dzuĩ	22	6	贱践旋	
suĩ	44	1	宣轩喧鲜[新～]	
suĩ	31	3	选癣鲜[朝～]	
ɣuĩ	13	2	玄悬眩	
ɣuĩ	22	6	县	
Øuĩ	44	1	冤渊	
Øuĩ	13	2	沿元袁原员援园圆猿源缘丸完[吃～]	
Øuĩ	31	3	远软	
Øuĩ	45	5	怨	
Øuĩ	22	6	院愿	
ʨyĩ	44	1	专砖	
ʨyĩ	31	3	转卷[蛋～]	
ʨyĩ	45	5	卷[～盘]捐眷	
ʨʰyĩ	44	1	川圈[～套]穿	
ʨʰyĩ	31	3	喘犬	
ʨʰyĩ	45	5	券劝串	
dʑyĩ	13	2	拳权颧船传[流～]	
dʑyĩ	22	6	倦传[水浒～]	
n	31	3	你-□[指示代词:这]□[(语气词，表示同意)]	
n	45	5	□[(不)]□[(指示代词:那)]	
m	22	6	□[(语气词，表示同意)]	
