id	ini	fn	pt	單字	ipa调类	ipa调号	注釋						ɔ	184
988	l	i	213	狸	li213	li2	狐～							
989	l	i	31	李	li31	li3	姓；水果							
990	l	i	33	里	li33	li1	公～							
991	l	i	31	裏	li31	li3	～外，～背（里面）							
992	l	i	33	理	li33	li1	道～，～由							
993	l	i	33	鯉	li33	li1	～鱼							
994	ɬ	ə	31	吏	ɬə31	ɬə3	官～							
995	kʰ	ə	213	滋	kʰə213	kʰə2	～味							
996	k	ə	31	子	kə31	kə3	～孙；孔～							
997	k	ə	31	梓	kə31	kə3	桑～；曾宪～							
998	kʰ	ə	213	慈	kʰə213	kʰə2	～悲，～禧太后							
999	kʰ	ə	213	磁	kʰə213	kʰə2	～铁，～场							
1000	ɬ	ə	31	字	ɬə31	ɬə3	～典，文～							
1001	ɬ	ə	33	司	ɬə33	ɬə1	公～，～令							
1002	ɬ	i	33	絲	ɬi33	ɬi1	～绸							
1003	ɬ	ə	33	思	ɬə33	ɬə1	～想							
1004	ɬ	ə	33	伺	ɬə33	ɬə1	～候，～机而动							
1005	ɬ	ə	33	思	ɬə33	ɬə1	意～							
1006	kʰ	ə	213	辭	kʰə213	kʰə2	～职，告～							
1007	kʰ	ə	213	詞	kʰə213	kʰə2	歌～							
1008	kʰ	ə	213	祠	kʰə213	kʰə2	～堂							
1009	kʰ	ə	451	似	kʰə451	kʰə5	相～，～乎[文]							
1010	kʰ	ə	451	似	kʰə451	kʰə5	好～（好像）[白]							
1011	ɬ	ə	31	祀	ɬə31	ɬə3	祭～							
1012	ɬ	ə	451	巳	ɬə451	ɬə5	地支，～时							
1013	ɬ	ə	451	寺	ɬə451	ɬə5	～庙，灵光～							
1014	kʰ	ə	213	嗣	kʰə213	kʰə2	后～；谭～同							
1015	kʰ	ə	213	飼	kʰə213	kʰə2	～料，～养[文]							
1016	kʰ	ə	213	飼	kʰə213	kʰə2	喂饭[白]							
1017	ts	i	451	置	tsi451	tsi5	布～							
1018	ts	i	33	癡	tsi33	tsi1	白～，～呆							
1019	tsʰ	i	31	恥	tsʰi31	tsʰi3	～辱							
1020	tsʰ	i	213	持	tsʰi213	tsʰi2	支～							
1021	ts	i	451	痔	tsi451	tsi5	～疮							
1022	tsʰ	i	31	治	tsʰi31	tsʰi3	～安，统～[文]							
1024	tsʰ	ɐt	031	廁	tsʰɐt31	tsʰɐt7	～所，公～							
1025	ɬ	ə	31	士	ɬə31	ɬə3	～兵							
1026	ɬ	ə	31	仕	ɬə31	ɬə3	～途							
1027	s	i	451	柿	si451	si5	柿子，～饼							
1028	ɬ	ə	31	事	ɬə31	ɬə3	～实，～情[文]							
1029	ɬ	ə	31	事	ɬə31	ɬə3	做～[白]							
1030	ɬ	ə	31	使	ɬə31	ɬə3	～用，假～，大～馆							
1031	ɬ	ə	31	史	ɬə31	ɬə3	历～							
1032	ɬ	ə	31	駛	ɬə31	ɬə3	驾～							
1033	k	ə	33	之	kə33	kə1	～前							
1034	k	ə	33	芝	kə33	kə1	灵～，～麻							
1035	ts	i	31	止	tsi31	tsi3	停～，～血							
1036	ts	i	31	趾	tsi31	tsi3	脚～							
1037	ts	i	31	址	tsi31	tsi3	地～							
1038	ts	i	451	志	tsi451	tsi5	～气，～愿							
1039	ts	i	451	誌	tsi451	tsi5	县～，标～							
1040	ts	i	451	痣	tsi451	tsi5	乌～							
1041	tsʰ	i	31	齒	tsʰi31	tsʰi3	牙～							
1042	s	i	33	詩	si33	si1	～人							
1043	tsʰ	i	31	始	tsʰi31	tsʰi3	开～，～终							
1044	s	i	451	試	si451	si5	考～[文]							
1045	s	i	451	試	si451	si5	试试[白]							
1046	s	i	213	時	si213	si2	～间，当～							
1047	s	i	451	巿	si451	si5	～场，城～							
1049	ɬ	ə	31	侍	ɬə31	ɬə3	服～，～卫							
1050	ȵ	i	213	而	ȵi213	ȵi2	～且，反～							
1051	ȵ	i	31	耳	ȵi31	ȵi3	耳朵，中～炎							
1052	k	i	33	基	ki33	ki1	～本，地～							
1053	k	i	33	箕	ki33	ki1	畚～							
1054	k	i	31	己	ki31	ki3	自～							
1055	k	i	31	紀	ki31	ki3	～律							
1056	k	i	451	記	ki451	ki5	笔～，～号							
1057	kʰ	i	33	欺	kʰi33	kʰi1	～负							
1058	kʰ	i	31	起	kʰi31	kʰi3	起							
1059	k	i	31	杞	ki31	ki3	枸～							
1060	kʰ	i	213	其	kʰi213	kʰi2	～他，～实							
1061	kʰ	i	213	棋	kʰi213	kʰi2	围～，捉～（下棋）							
1062	kʰ	i	213	期	kʰi213	kʰi2	日～							
1063	kʰ	i	213	旗	kʰi213	kʰi2	红～							
1064	kʰ	i	31	忌	kʰi31	kʰi3	禁～，～讳，～日[文]							
1065	kʰ	i	31	忌	kʰi31	kʰi3	做～（做法事）[白]							
1066	ȵ	i	213	疑	ȵi213	ȵi2	怀～							
1067	kʰ	ə	451	擬	kʰə451	kʰə5	模～，～人							
1068	h	i	31	嬉	hi31	hi3	玩，～戏							
1069	h	i	33	熙	hi33	hi1	康～							
1070	h	i	31	喜	hi31	hi3	～欢							
1071	h	i	33	嘻	hi33	hi1	～皮笑脸							
1072	j	i	33	醫	ji33	ji1	～生							
1073	j	i	451	意	ji451	ji5	～思							
1074	j	i	213	怡	ji213	ji2	心旷神～；人名用字							
1075	j	i	31	已	ji31	ji3	～经							
1076	j	i	451	以	ji451	ji5	可～，～为							
1077	j	i	31	異	ji31	ji3	～同							
1078	k	i	31	幾	ki31	ki3	～乎							
1079	k	i	33	機	ki33	ki1	～会，飞～							
1080	k	i	33	譏	ki33	ki1	～笑							
1081	k	i	33	饑	ki33	ki1	～荒							
1082	k	i	31	幾	ki31	ki3	～只							
1083	k	i	31	幾	ki31	ki3	～何							
1084	k	i	451	旣	ki451	ki5	～然							
1085	kʰ	i	31	豈	kʰi31	kʰi3	～有此理							
1086	kʰ	i	451	氣	kʰi451	kʰi5	～人，空～							
1087	kʰ	i	451	汽	kʰi451	kʰi5	～水，～车							
1088	kʰ	i	213	祈	kʰi213	kʰi2	～祷							
1089	ȵ	i	31	毅	ȵi31	ȵi3	～力							
1090	h	i	33	希	hi33	hi1	～望							
1091	h	i	33	稀	hi33	hi1	～少							
1092	j	i	33	衣	ji33	ji1	外～；花生皮							
1093	j	i	33	依	ji33	ji1	～靠							
1094	l	ɐi	31	累	lɐi31	lɐi3	积～							
1095	l	ɐi	31	累	lɐi31	lɐi3	连～							
1096	ts	ɔi	451	嘴	tsɔi451	tsɔi5								
1098	ɬ	ɔi	31	髓	ɬɔi31	ɬɔi3	骨～							
1099	tsʰ	ui	213	隨	tsʰui213	tsʰui2	～时，～便							
1100	tsʰ	ui	33	吹	tsʰui33	tsʰui1	～牛皮，～喇叭							
1101	tsʰ	ui	33	炊	tsʰui33	tsʰui1	野～							
1102	s	ui	213	垂	sui213	sui2	下～，～头丧气							
1103	s	ɔi	31	睡	sɔi31	sɔi3	睡觉							
1104	ɬ	ɐi	31	瑞	ɬɐi31	ɬɐi3	～金；董存～							
1105	ȵ	ui	451	蕊	ȵui451	ȵui5	花～							
1106	kʷʰ	ɐi	33	規	kʷʰɐi33	kʷʰɐi1	～定，圆～							
1107	kʷ	ɐi	31	詭	kʷɐi31	kʷɐi3	～计多端							
1108	kʷʰ	ɐi	33	虧	kʷʰɐi33	kʷʰɐi1	食～（吃亏）							
1109	kʷʰ	ɐi	33	窺	kʷʰɐi33	kʷʰɐi1	偷～							
1110	kʷʰ	ɐi	31	跪	kʷʰɐi31	kʷʰɐi3	下～							
1111	m	ɐi	213	危	mɐi213	mɐi2	～险，安～							
1112	m	ɐi	31	僞	mɐi31	mɐi3	虚～							
1113	f	ɐi	31	毀	fɐi31	fɐi3	～灭							
1114	v	ɐi	33	萎	vɐi33	vɐi1	枯～							
1115	v	ɐi	33	委	vɐi33	vɐi1	～托，常～							
1116	v	ɐi	213	為	vɐi213	vɐi2	作～，行～，～人							
1118	l	ui	213	壘	lui213	lui2	堡～，～球							
1119	l	ui	31	類	lui31	lui3	分～							
1120	l	ui	31	淚	lui31	lui3	眼～							
1121	ts	ui	451	醉	tsui451	tsui5	～酒							
1122	tsʰ	ui	451	翠	tsʰui451	tsʰui5	翡～							
1123	ɬ	ui	451	悴	ɬui451	ɬui5	憔～							
1124	ɬ	ui	33	雖	ɬui33	ɬui1	～然							
1125	tsʰ	ui	451	粹	tsʰui451	tsʰui5	纯～							
1126	ɬ	ui	31	遂	ɬui31	ɬui3	杀人未～							
1127	ɬ	ui	31	隧	ɬui31	ɬui3	～道							
1128	j	ui	31	穗	jui31	jui3	谷～							
1129	ts	ui	33	追	tsui33	tsui1	～求[文]							
1130	ts	ui	33	追	tsui33	tsui1	追赶，赶走[白]							
1131	tsʰ	ui	213	槌	tsʰui213	tsʰui2	木～[名]；[动]							
1132	tsʰ	ui	213	錘	tsʰui213	tsʰui2	铁～[名]；[动]							
1133	tsʰ	ui	31	墜	tsʰui31	tsʰui3	下～，玉～[文]							
1134	tsʰ	ui	31	墜	tsʰui31	tsʰui3	目～～[白]							
1135	s	ɔi	33	衰	sɔi33	sɔi1	～弱，～老[文]							
1136	s	ɔi	33	衰	sɔi33	sɔi1	运气不好[白]							
1137	ɬ	ɐt	055	摔	ɬɐt5	ɬɐt8a	～跤							
1138	s	ɔi	451	帥	sɔi451	sɔi5	元～							
1139	ȵ	ui	33	錐	ȵui33	ȵui1	圆～							
1140	s	ui	31	水	sui31	sui3	～果，～平							
1141	s	ui	25	誰	sui25	sui9	疑问代词							
1142	k	ui	33	龜	kui33	kui1	乌～							
1143	kʷ	ɐi	31	軌	kʷɐi31	kʷɐi3	铁～							
1144	kʷ	ɐi	451	癸	kʷɐi451	kʷɐi5	天干							
1145	kʷʰ	ui	451	愧	kʷʰui451	kʷʰui5	惭～							
1146	kʷʰ	ui	451	季	kʷʰui451	kʷʰui5	四～，～节							
1147	kʷʰ	ui	213	逵	kʷʰui213	kʷʰui2	人名用字，李～							
1148	kʷʰ	ui	213	葵	kʷʰui213	kʷʰui2	向日～，～花籽							
1149	kʷʰ	ui	31	櫃	kʷʰui31	kʷʰui3	～台							
1150	v	ɐi	31	位	vɐi31	vɐi3	座～，～置							
1151	v	ɐi	213	維	vɐi213	vɐi2	～生素，～持，纤～							
1152	v	ɐi	213	惟	vɐi213	vɐi2	～一							
1153	j	i	213	遺	ji213	ji2	～失，～憾							
1154	v	ɐi	25	唯	vɐi25	vɐi9	～物主义							
1155	f	ɐi	33	非	fɐi33	fɐi1	是～，～常							
1156	f	ɐi	33	飛	fɐi33	fɐi1	～机；人名，张～[文]							
1157	f	ɐi	33	飛	fɐi33	fɐi1	飞行[白]							
1158	f	ɐi	31	匪	fɐi31	fɐi3	土～							
1159	f	ɐi	33	痱	fɐi33	fɐi1	痱子，热～							
1160	f	ɐi	33	妃	fɐi33	fɐi1	贵～							
1161	f	ɐi	451	費	fɐi451	fɐi5	～用，浪～							
1162	pʰ	ɐi	213	肥	pʰɐi213	pʰɐi2	化～，～肉							
1163	f	ɐi	33	翡	fɐi33	fɐi1	～翠							
1164	m	i	213	微	mi213	mi2	稍～							
1165	m	ɐi	33	尾	mɐi33	mɐi1	尾巴							
1166	m	ɐi	31	未	mɐi31	mɐi3	～来；地支							
1167	m	ɐi	31	味	mɐi31	mɐi3	～道，～精							
1168	kʷ	ɐi	33	歸	kʷɐi33	kʷɐi1	回～，～类							
1169	kʷ	ɐi	31	鬼	kʷɐi31	kʷɐi3	鬼神							
1170	kʷ	ɐi	451	貴	kʷɐi451	kʷɐi5	～重							
1171	ŋ	ui	31	魏	ŋui31	ŋui3	～国；姓							
1172	f	ɐi	33	揮	fɐi33	fɐi1	指～							
1173	f	ɐi	33	輝	fɐi33	fɐi1	光～，～煌							
1174	f	ɐi	33	徽	fɐi33	fɐi1	国～，～章							
1175	v	ɐi	213	諱	vɐi213	vɐi2	忌～							
1176	v	ɐi	33	威	vɐi33	vɐi1	～风，～胁							
1177	v	ɐi	451	畏	vɐi451	vɐi5	不喜欢；怕，～热							
1178	v	ɐi	31	慰	vɐi31	vɐi3	安～，～问							
1179	v	ɐi	213	違	vɐi213	vɐi2	～反							
1180	v	ɐi	213	圍	vɐi213	vɐi2	包～，～墙							
1181	v	ɐi	31	偉	vɐi31	vɐi3	～大							
1182	v	ɐi	213	葦	vɐi213	vɐi2	芦～							
1183	v	ɐi	213	緯	vɐi213	vɐi2	经～							
1184	v	ɐi	31	胃	vɐi31	vɐi3	肠～							
1185	v	ɐi	451	謂	vɐi451	vɐi5	称～，所～							
1186	f	ɐi	31	彙	fɐi31	fɐi3	词～							
1187	p	ɔ	33	褒	pɔ33	pɔ1	～奖，～义词							
1188	p	ɔ	31	保	pɔ31	pɔ3	～护							
1189	p	ɔ	31	堡	pɔ31	pɔ3	碉～							
1190	p	ɔ	31	寶	pɔ31	pɔ3	～贝							
1191	p	ɔ	451	報	pɔ451	pɔ5	～告，日～							
1192	pʰ	ɔ	25	袍	pʰɔ25	pʰɔ9	长～，袄～							
1193	p	ɐu	31	抱	pɐu31	pɐu3	拥抱							
1194	pʰ	ɐu	31	暴	pʰɐu31	pʰɐu3	～雨，残～							
1195	m	ɔ	33	毛	mɔ33	mɔ1	～病，鸡～							
1196	m	ɔ	31	冒	mɔ31	mɔ3	～充，感～							
1197	m	ɔ	31	帽	mɔ31	mɔ3	草～							
1198	t	ɔ	33	刀	tɔ33	tɔ1	菜～							
1199	t	ɔ	33	叨	tɔ33	tɔ1	唠～							
1200	tʰ	ɔ	213	禱	tʰɔ213	tʰɔ2	祈～，～告							
1201	t	ɔ	31	島	tɔ31	tɔ3	海南～							
1202	t	ɔ	31	倒	tɔ31	tɔ3	颠～							
1203	t	ɔ	451	到	tɔ451	tɔ5	～站							
1204	t	ɔ	31	倒	tɔ31	tɔ3	～水，～退							
1205	tʰ	au	33	滔	tʰau33	tʰau1	～～不绝，波浪～天							
1206	tʰ	ɔ	31	討	tʰɔ31	tʰɔ3	～老婆，～厌							
1207	tʰ	ɔ	451	套	tʰɔ451	tʰɔ5	配～，～房							
1208	tʰ	ɔ	25	桃	tʰɔ25	tʰɔ9	杨～，～花							
1209	tʰ	ɔ	213	逃	tʰɔ213	tʰɔ2	～走							
1210	tʰ	ɔ	213	淘	tʰɔ213	tʰɔ2	～米，～沙							
1211	tʰ	ɔ	213	陶	tʰɔ213	tʰɔ2	～瓷；姓							
1212	tʰ	ɔ	213	萄	tʰɔ213	tʰɔ2	葡～							
1213	tʰ	ɔ	213	濤	tʰɔ213	tʰɔ2	波～							
1214	tʰ	ɔ	451	道	tʰɔ451	tʰɔ5	～理							
1215	tʰ	ɔ	451	稻	tʰɔ451	tʰɔ5	水～							
1216	tʰ	ɔ	451	盜	tʰɔ451	tʰɔ5	强～，～窃							
1217	tʰ	ɔ	451	導	tʰɔ451	tʰɔ5	领～，～师							
1218	n	ɔ	31	腦	nɔ31	nɔ3	猪～，～屎（脑子）							
1219	n	ɔ	31	惱	nɔ31	nɔ3	烦～[文]							
1220	n	ɔ	31	惱	nɔ31	nɔ3	讨厌，不喜欢[白]							
1221	l	ɔ	213	勞	lɔ213	lɔ2	～动							
1222	l	ɔ	33	撈	lɔ33	lɔ1	打～局[文]							
1223	l	ɐi	213	撈	lɐi213	lɐi2	～起来[白]							
1224	l	ɔ	213	牢	lɔ213	lɔ2	～房，坐～							
1225	l	ɔ	213	嘮	lɔ213	lɔ2	～叨							
1226	l	ɔ	31	老	lɔ31	lɔ3	～爷，～实							
1227	l	ɔ	213	澇	lɔ213	lɔ2	洪～，旱～							
1228	ts	ɔ	33	遭	tsɔ33	tsɔ1	～遇，～殃							
1229	ts	ɔ	33	糟	tsɔ33	tsɔ1	酒～，～糕							
1230	ts	ɔ	31	早	tsɔ31	tsɔ3	还～							
1231	ts	ɔ	31	棗	tsɔ31	tsɔ3	红～							
1232	ts	ɐu	31	蚤	tsɐu31	tsɐu3	跳～							
1233	tsʰ	ɔ	451	躁	tsʰɔ451	tsʰɔ5	烦～，暴～							
1234	ts	ɔ	451	竈	tsɔ451	tsɔ5	～头，～神							
1235	tsʰ	ɔ	451	操	tsʰɔ451	tsʰɔ5	做～，～作							
1236	tsʰ	ɔ	31	草	tsʰɔ31	tsʰɔ3	青～，～稿							
1237	tsʰ	ɔ	451	糙	tsʰɔ451	tsʰɔ5	～米，粗～							
1238	tsʰ	ɔ	213	曹	tsʰɔ213	tsʰɔ2	姓							
1239	tsʰ	ɔ	213	槽	tsʰɔ213	tsʰɔ2	猪～，水～							
1240	tsʰ	ɔ	31	皂	tsʰɔ31	tsʰɔ3	肥～							
1241	tsʰ	ɔ	451	造	tsʰɔ451	tsʰɔ5	创～							
1242	ɬ	ɔ	33	騷	ɬɔ33	ɬɔ1	风～，离～							
1243	ɬ	ɔ	33	臊	ɬɔ33	ɬɔ1	臭～							
1244	ɬ	ɔ	451	掃	ɬɔ451	ɬɔ5	～地[动]							
1245	ɬ	ɔ	31	嫂	ɬɔ31	ɬɔ3	大～							
1246	ɬ	ɔ	451	掃	ɬɔ451	ɬɔ5	～把[名]							
1247	k	ɔ	33	高	kɔ33	kɔ1	姓；～低							
1248	k	ɔ	33	膏	kɔ33	kɔ1	牙～；狗皮～药							
1249	k	ɔ	33	篙	kɔ33	kɔ1	竹～							
1250	k	ɔ	33	羔	kɔ33	kɔ1	羊～							
1251	k	ɔ	33	糕	kɔ33	kɔ1	蛋～，糟～							
1252	k	ɔ	31	稿	kɔ31	kɔ3	草～，～纸							
1253	k	ɔ	451	告	kɔ451	kɔ5	报～，～状							
1254	kʰ	au	31	考	kʰau31	kʰau3	～试，大～							
1255	kʰ	au	31	烤	kʰau31	kʰau3	烧～							
1256	kʰ	ɔ	451	靠	kʰɔ451	kʰɔ5	依～，可～							
1257	k	ɔ	31	犒	kɔ31	kɔ3	～劳，～赏							
1258	ŋ	au	31	熬	ŋau31	ŋau3	～汤，～夜							
1259	ŋ	au	31	傲	ŋau31	ŋau3	骄～							
1260	k	ɔ	33	蒿	kɔ33	kɔ1	蓬～，青～，茼～							
1261	h	ɔ	31	好	hɔ31	hɔ3	～人							
1262		ɔ	451	好	hɔ451	hɔ5	爱～							
1263	h	ɔ	451	耗	hɔ451	hɔ5	消～							
1264	h	ɔ	213	豪	hɔ213	hɔ2	～华，～猪							
1265	h	ɔ	213	壕	hɔ213	hɔ2	战～							
1266	h	ɔ	213	毫	hɔ213	hɔ2	～米							
1267	h	ɔ	31	號	hɔ31	hɔ3	～叫，呼～[动]							
1268	kʰ	ɔ	451	浩	kʰɔ451	kʰɔ5	～～荡荡；人名用字							
1269	h	ɔ	31	號	hɔ31	hɔ3	～码，口～[名]							
1270		ɔ	31	襖	ɔ31	ʔɔ3	棉～，～袍							
1271		ɔ	451	懊	ɔ451	ʔɔ5	～恼							
1272		ɔ	451	奥	ɔ451	ʔɔ5	～妙，～运会							
1273		ɔ	451	懊	ɔ451	ʔɔ5	～悔							
1274		ɔ	451	澳	ɔ451	ʔɔ5	～门							
1275	p	au	33	包	pau33	pau1	钱～，～围							
1276	p	au	33	胞	pau33	pau1	同～							
1277	p	au	31	飽	pau31	pau3	食～（吃饱）							
1278	p	au	451	豹	pau451	pau5	动物，～虎							
1279	p	au	451	爆	pau451	pau5	～炸							
1280	pʰ	au	451	泡	pʰau451	pʰau5	灯～；泡沫（多～）							
1281	pʰ	au	451	泡	pʰau451	pʰau5	起～[训，瘭]							
1282	pʰ	au	33	拋	pʰau33	pʰau1	～弃							
1283	pʰ	au	451	炮	pʰau451	pʰau5	枪～							
1284	pʰ	au	451	泡	pʰau451	pʰau5	～茶							
1285	pʰ	au	33	跑	pʰau33	pʰau1	～步							
1286	pʰ	au	213	刨	pʰau213	pʰau2	～地，～花板							
1287	p	au	33	鮑	pau33	pau1	姓；～鱼							
1288	m	au	213	茅	mau213	mau2	～庐							
1289	m	iau	451	貓	miau451	miau5	大～							
1290	m	iau	213	錨	miau213	miau2	抛～							
1291	m	au	33	卯	mau33	mau1	地支，子丑寅卯							
1292	m	au	31	貌	mau31	mau3	礼～							
1293	n	au	31	鬧	nau31	nau3	～热，～事							
1294	ts	au	451	罩	tsau451	tsau5	灯～，床～							
1295	ts	a	33	抓	tsa33	tsa1	～紧							
1296	ts	au	31	爪	tsau31	tsau3	鸡～							
1297	ts	au	31	找	tsau31	tsau3	～钱，查～							
1298	ts	au	31	笊	tsau31	tsau3	～捞（笊篱）							
1299	tsʰ	au	33	抄	tsʰau33	tsʰau1	～书							
1300	tsʰ	au	31	鈔	tsʰau31	tsʰau3	～票							
1301	tsʰ	au	31	炒	tsʰau31	tsʰau3	～股，～菜							
1302	tsʰ	au	31	吵	tsʰau31	tsʰau3	～人，争～							
1303	tsʰ	au	213	巢	tsʰau213	tsʰau2	雀～							
1304	s	iau	33	梢	siau33	siau1	树～							
1305	ɬ	au	31	捎	ɬau31	ɬau3	～带，～口信							
1306	ɬ	au	31	稍	ɬau31	ɬau3	～等；～息							
1307	ɬ	au	451	哨	ɬau451	ɬau5	口～							
1308	k	au	33	交	kau33	kau1	～通，～钱[文]							
1309	k	au	33	交	kau33	kau1	交叉，～脚（翘二郎腿）[白]							
1310	k	au	33	郊	kau33	kau1	～区							
1311	k	au	33	膠	kau33	kau1	～水，橡～							
1312	k	au	33	教	kau33	kau1	～书							
1313	k	au	31	絞	kau31	kau3	～刑，～肉机							
1314	k	au	31	狡	kau31	kau3	～猾							
1315	k	au	451	鉸	kau451	kau5	～剪							
1316	k	au	31	攪	kau31	kau3	搅拌							
1317	k	au	31	搞	kau31	kau3	～活动							
1318	k	au	451	教	kau451	kau5	～育，～师							
1319	h	au	31	校	hau31	hau3	～对							
1320	k	au	451	校	kau451	kau5	调校							
1321	k	au	451	較	kau451	kau5	比～[文]							
1322	k	au	451	較	kau451	kau5	交换[白]							
1323	h	au	451	酵	hau451	hau5	发～，～母片							
1324	k	au	451	窖	kau451	kau5	地～，番薯～							
1325	k	au	451	覺	kau451	kau5	睡～							
1326	kʰ	au	451	敲	kʰau451	kʰau5	～锣打鼓							
1327	kʰ	au	31	巧	kʰau31	kʰau3	～合							
1328	ŋ	au	33	咬	ŋau33	ŋau1	～人							
1329	h	au	451	孝	hau451	hau5	～顺							
1330	h	au	451	哮	hau451	hau5	～喘							
1331	ŋ	au	213	肴	ŋau213	ŋau2	美味佳～							
1332	ŋ	au	213	淆	ŋau213	ŋau2	混～							
1333	h	au	31	效	hau31	hau3	～果							
1334	h	au	31	校	hau31	hau3	学～，～长，上～							
1335	ȵ	ɐp	031	凹	ȵɐp31	ȵɐp7	～面镜							
1336		au	451	坳	au451	ʔau5	山～，～背							
1337	pʰ	iau	451	臕	pʰiau451	pʰiau5	肥～							
1338	p	iau	33	標	piau33	piau1	～准，～志，招～							
1339	p	iau	31	表	piau31	piau3	图～，～扬							
1340	p	iau	33	錶	piau33	piau1	手～							
1341	pʰ	iau	33	飄	pʰiau33	pʰiau1	～扬							
1342	pʰ	iau	33	漂	pʰiau33	pʰiau1	～流							
1343	pʰ	iau	451	漂	pʰiau451	pʰiau5	～白，～亮							
1344	pʰ	iau	451	票	pʰiau451	pʰiau5	车～							
1345	pʰ	iau	213	瓢	pʰiau213	pʰiau2	勺子							
1346	pʰ	iau	213	嫖	pʰiau213	pʰiau2	～娼							
1347	pʰ	au	451	鰾	pʰau451	pʰau5	鱼～							
1348	m	iau	213	苗	miau213	miau2	鱼～，～族							
1349	m	iau	213	描	miau213	miau2	～写							
1350	m	iau	31	藐	miau31	miau3	～视							
1351	m	iau	31	渺	miau31	miau3	～小，～茫							
1352	m	iau	31	秒	miau31	miau3	～针							
1353	m	iau	31	廟	miau31	miau3	和尚～							
1354	m	iau	31	妙	miau31	miau3	～计							
1355	l	iau	213	燎	liau213	liau2	星星之火，可以～原							
1356	l	iau	213	療	liau213	liau2	治～，～养							
1357	ts	iau	33	焦	tsiau33	tsiau1	姓							
1358	ts	iau	33	蕉	tsiau33	tsiau1	米～；～岭（地名）							
1359	ts	iau	33	椒	tsiau33	tsiau1	胡～							
1360	ts	iau	31	剿	tsiau31	tsiau3	围～，～匪							
1361	ts	iau	33	醮	tsiau33	tsiau1	打～（做法事），再醮（嫁人）							
1362	tsʰ	iau	33	悄	tsʰiau33	tsʰiau1	静～～							
1363	tsʰ	iau	451	俏	tsʰiau451	tsʰiau5	俊～							
1364	ts	iau	33	樵	tsiau33	tsiau1	柴							
1365	ɬ	iau	33	消	ɬiau33	ɬiau1	～化							
1366	ɬ	iau	33	宵	ɬiau33	ɬiau1	元～，夜～							
1367	ɬ	iau	33	硝	ɬiau33	ɬiau1	～烟，～酸							
1368	ɬ	iau	33	銷	ɬiau33	ɬiau1	供～社，～售							
1369	ɬ	iau	31	小	ɬiau31	ɬiau3	～姐，～人							
1370	ɬ	iau	451	笑	ɬiau451	ɬiau5	～话，玩～							
1371	ɬ	iau	33	肖	ɬiau33	ɬiau1	姓							
1372	ɬ	iau	33	肖	ɬiau33	ɬiau1	生～							
1373	ɬ	iau	33	鞘	ɬiau33	ɬiau1	刀～							
1374	ts	au	33	朝	tsau33	tsau1	～晨，三～							
1375	tsʰ	au	33	超	tsʰau33	tsʰau1	～过							
1376	tsʰ	au	213	朝	tsʰau213	tsʰau2	～代							
1377	tsʰ	au	213	潮	tsʰau213	tsʰau2	～湿，涨～							
1378	tsʰ	au	31	趙	tsʰau31	tsʰau3	姓							
1379	tsʰ	au	31	兆	tsʰau31	tsʰau3	预～；人名用字							
1380	tsʰ	au	31	召	tsʰau31	tsʰau3	号～，～集							
1381	ts	au	33	昭	tsau33	tsau1	王～君							
1382	ts	au	33	招	tsau33	tsau1	～生							
1383	ts	au	213	沼	tsau213	tsau2	～气							
1384	ts	au	451	照	tsau451	tsau5	～明，～顾							
1385	s	au	213	詔	sau213	sau2	～书；～安（地名）							
1386	s	au	33	燒	sau33	sau1	～水，发～							
1387	s	au	31	少	sau31	sau3	～数，多～							
1388	s	au	451	少	sau451	sau5	～年，～爷							
1389	s	au	213	韶	sau213	sau2	～关（地名）							
1390	s	au	213	紹	sau213	sau2	介～；～兴（地名）							
1391	s	au	451	邵	sau451	sau5	姓							
1392	ȵ	au	213	饒	ȵau213	ȵau2	～命，求～							
1393	j	əu	213	擾	jəu213	jəu2	打～，～乱							
1394	ȵ	au	213	繞	ȵiau213	ȵiau2	围～，～线							
1395	k	iau	33	驕	kiau33	kiau1	～傲							
1396	k	iau	33	嬌	kiau33	kiau1	～气，做～（撒娇）							
1397	kʰ	iau	213	矯	kʰiau213	kʰiau2	～正							
1398	kʰ	iau	213	喬	kʰiau213	kʰiau2	姓							
1399	kʰ	iau	213	僑	kʰiau213	kʰiau2	华～							
1400	kʰ	iau	213	橋	kʰiau213	kʰiau2	大～							
1401	kʰ	iau	213	蕎	kʰiau213	kʰiau2	～麦							
1402	kʰ	iau	31	轎	kʰiau31	kʰiau3	坐～，扛～							
1403	kʰ	iau	213	翘	kʰiau213	kʰiau2	银～片							
1404	kʰ	iau	451	翘	kʰiau451	kʰiau5	～起来							
1405	h	iau	33	囂	hiau33	hiau1	～张							
1406	j	au	33	夭	jau33	jau1	～折							
1407	j	au	33	妖	jau33	jau1	～怪							
1409	j	au	33	腰	jau33	jau1	猪～							
1410	j	au	33	要	jau33	jau1	～求							
1411	j	au	451	要	jau451	jau5	重～							
1412	j	au	213	搖	jau213	jau2	动～，～篮							
1413	j	au	213	謠	jau213	jau2	歌～，民～							
1414	j	au	213	遥	jau213	jau2	逍～							
1415	j	au	213	窯	jau213	jau2	～洞，烧～							
1416	j	au	213	姚	jau213	jau2	姓，～明							
1417	j	au	31	舀	jau31	jau3	～水							
1418	j	au	31	耀	jau31	jau3	～眼，荣～							
