例字	沙坡头文昌	沙坡头宣和	沙坡头迎水桥	沙坡头永康	沙坡头香山	中宁舟塔	海原海城	海原李旺	
近	tɕiei13	tɕiŋ13	tɕiei13	tɕiŋ13	tɕiŋ13	tɕiŋ13	tɕiŋ44	tɕiŋ44	
欣	ɕiei44	ɕiŋ44	ɕiei44	ɕiŋ44	ɕiŋ44	ɕiŋ44	ɕiŋ52	ɕiŋ132	
门	mei52	məŋ53	mei53	məŋ53	məŋ53	məŋ53	məŋ13	məŋ13	
墩	tuei44	tuŋ44	tuei44	tuŋ44	tuŋ44	tuŋ44	tuŋ52	tuŋ132	
嫩	nuei13	nəŋ13	nuei13	nəŋ13	nuŋ13	nuŋ13	nuŋ44	nuŋ132	
论	luei13	luŋ13	luei13	luŋ13	luŋ13	luŋ13	luŋ13	lyŋ132	
寸(一～)	tsʰuei13	tsʰuŋ13	tsʰuei13	tsʰuŋ13	tsʰuŋ13	tsʰuŋ13	tsʰuŋ13	tsʰuŋ44	
孙	suei44	suŋ44	suei44	suŋ44	suŋ44	suŋ44	suŋ52	suŋ132	
滚	kuei52	kuŋ53	kuei53	kuŋ53	kuŋ53	kuŋ53	kuŋ52	kun53	
骨	ku13	ku13	ku13	ku13	ku13	ku13	ku13	ku132	
温	vei44	vəŋ44	vei44	vəŋ44	vəŋ44	vəŋ44	vəŋ52	vəŋ132	
轮	luei52	luŋ53	luei53	luŋ53	luŋ53	luŋ53	lyŋ13	luŋ53	
笋	suei52	suŋ53	suei53	suŋ53	suŋ53	suŋ53	suŋ52	suŋ53	
春	tʂʰuei44	tʂʰuŋ44	tʂʰuei44	tʂʰuŋ44	tʂʰuŋ44	tʂʰuŋ44	tʂʰuŋ52	tʂʰuŋ132	
出	tʂʰu13	tʂʰu13	tʂʰu13	tʂʰu13	tʂʰu13	tʂʰu13	tʂʰu13	tʂʰu132	
唇(嘴～)	tʂʰuei52	tʂʰuŋ53	tʂʰuei53	tʂʰuŋ53	tʂʰuŋ53	tʂʰuŋ53	tʂʰuŋ52	tʂʰuŋ53	
顺	ʂuei13	ʂuŋ13	ʂuei13	ʂuŋ13	ʂuŋ13	ʂuŋ13	ʂuŋ13	ʂuŋ44	
闰	ʐuei13	ʐuŋ13	ʐuei13	ʐuŋ13	ʐuŋ13	ʐuŋ13	ʐuŋ13	ʐuŋ44	
橘	tɕy13	tɕy13	tɕy13	tɕy13	tɕy13	tɕy13	tɕy13	tɕy132	
恋	liei13	liai13	liei13	lian13	liæ̃13	lian13	liæ13	liæn13	
全(～部)	tɕʰyei52	tɕʰyai52	tɕʰyei53	tɕʰyan53	tɕʰyæ̃53	tɕʰyan53	tsʰuæ13	tɕʰyæ13	
雪	ɕyə13	ɕyə13	ɕyə13	ɕyə13	ɕyə13	ɕyə13	ɕyə13	ɕyə132	
传	tʂʰuai52	tʂʰuai52	tʂʰuai53	tʂʰuan53	tʂʰæ̃53	tʂʰuan53	tʂʰuæ52	tʂʰuæn13	
砖	tʂuai44	tʂuai44	tʂuai44	tʂuan44	tʂuæ̃44	tʂuan44	tʂuæ52	tʂuæn132	
船	tʂʰuai52	tʂʰuai52	tʂʰuai53	tʂʰuan53	tʂʰuæ̃53	tʂʰuan53	tʂʰuæ13	ʂʰuæn13	
软	ʐuai52	ʐuai52	ʐuai53	ʐuan53	ʐuæ̃53	ʐuan53	ʐuæ52	ʐuæn53	
权	tɕʰyei52	tɕʰyæ̃52	tɕʰyei53	tɕʰyan53	tɕʰyæ̃53	tɕʰyan53	tɕʰyæ13	tɕʰyei24	
饭	fai13	fai13	fai13	fan13	fæ̃13	fan13	fæ44	fæn44	
罚	fɑ13	fɑ13	fa13	fa13	fa13	fa13	fa13	fᴀ24	
万	vai13	vai13	vai13	van13	væ̃13	van13	væ13	væn44	
蔓(瓜～子)	mai52	mai52	mai53	man53	væ̃53	man53	mæ52	mæn53	
月	yə13	yə13	yə13	yə13	yə13	yə13	yə13	yə243	
