例字	沙坡头文昌	沙坡头宣和	沙坡头迎水桥	沙坡头永康	沙坡头香山	中宁舟塔	海原海城	海原李旺	
除	tʂʰu52	tʂʰu52	tʂʰu53	tʂʰu53	tʂʰɥ53	tʂʰu53	tʂʰu13	tʂʰu53	
初	tʂʰu44	tsʰu44	tsʰu44	tʂʰu44	tsʰɥ44	tʂʰu44	tsʰu52	tʂʰu132	
锄	tʂʰu52	tʂʰu52	tʂʰu53	tʂʰu53	tʂʰu53	tʂʰu53	tʂʰu13	tʂʰu53	
所(～以)	suə52	suə52	suə53	suə53	suə53	suə53	suə52	suə53	
书	ʂu44	ʂu44	ʂu44	ʂu44	ʂɥ44	ʂu44	ʂu52	ʂu132	
鼠	tʂʰu52	tʂʰu52	tʂʰu53	tʂʰu53	tʂʰɥ53	tʂʰu53	tʂʰu52	tʂʰu53	
锯	tɕy13	tɕy13	tɕy13	tɕy13	tɕy13	tɕy13	tɕy13	tɕy44	
去(～哪)	kʰə44	kʰə44	kʰə44	kʰə44	kʰə13	kʰə13	tɕʰi13	tɕʰy44	
鱼	y52	y52	y53	y53	y53	y53	y13	y13	
余(多～)	y52	y52	y53	y53	y53	y53	y13	y13	
府	fu52	fu52	fu53	fu53	fu53	fu53	fu52	fu53	
柱	tʂu13	tʂu13	tʂu13	tʂu13	tʂɥ13	tʂu13	tʂu44	tʂu44	
主	tʂu52	tʂu52	tʂu53	tʂu53	tʂɥ53	tʂu53	tʂu52	tʂu53	
树	ʂu13	ʂu13	ʂu13	ʂu13	ʂɥ13	ʂu13	ʂu13	ʂu44	
区	tɕʰy44	tɕʰy44	tɕʰy44	tɕʰy44	tɕʰy44	tɕʰy44	tɕʰy13	tɕʰy132	
雨	y52	y52	y53	y53	y53	y53	y52	y53	
羽	y52	y52	y53	y53	y53	y53	y52	y53	
禾(～苗)	xə52	xə52	xə53	xə53	xə53	xə53	xuə52	xə53	
和(～面)	xuə52	xuə52	xuə53	xuə53	xuə53	xuə53	xuə13	xuə53	
靴	ɕyə44	ɕyə44	ɕyə44	ɕyə44	ɕyə44	ɕyə44	ɕyə52	ɕyə132	
爬	pʰɑ52	pʰɑ52	pʰa53	pʰa53	pʰa53	pʰa53	pʰɑ52	pʰᴀ13	
茶	tʂʰɑ52	tʂʰɑ52	tʂʰa53	tʂʰa53	tʂʰa53	tʂʰa53	tʂʰɑ52	tʂʰᴀ13	
厦(出～)	tʂʰɑ13	tʂʰɑ13	tʂʰa13	tʂʰa13	tʂʰa13	tʂʰa13	tʂʰɑ13	tʂʰa132	
嫁	tɕiɑ13	tɕia13	tɕia13	tɕia13	tɕia13	tɕia13	tɕia13	tɕia44	
牙	iɑ52	ia52	ia53	ia53	ia53	ia53	ia13	ia13	
下(底～)	xɑ13	ɕiɑ13	ɕia13	ɕia13	ɕia13	ɕia13	xɑ13	ɕia53	
写	ɕiə13	ɕiə13	ɕiə13	ɕiə53	ɕiə53	ɕiə53	ɕiə52	ɕiə53	
谢	ɕiə13	ɕiə13	ɕiə13	ɕiə13	ɕiə13	ɕiə13	ɕiə13	ɕiə44	
车(坐～)	tʂʰə44	tʂʰə44	tʂʰə44	tʂʰə44	tʂʰə44	tʂʰə44	tʂʰə52	tʂʰə132	
也(～是)	iə13	iə13	iə13	iə53	iə53	iə53	iə52	iə44	
夜	iə13	iə13	iə13	iə13	iə13	iə13	iə13	iə44	
蜗(～牛)	vuə44	vuə44	vuə44	vuə44	kua13	vuə44	vuə52	vᴀ44	
瓦(名词)	vɑ52	vɑ52	va53	va53	va53	va53	vɑ52	vᴀ53	
花	xuɑ44	xuɑ44	xua44	xua44	xua44	xua44	xuɑ52	xua132	
布	pu13	pu13	pu13	pu13	pu13	pu13	pu13	pu44	
铺(动词)	pʰu44	pʰu44	pʰu44	pʰu44	pʰu44	pʰu44	pʰu52	pʰu132	
努(～力)	nu52	nu52	nu53	nu53	nu53	nu53	nu52	nu44	
怒	nu52	nu52	nu53	nu53	nu53	nu53	nu13	nu44	
路	lu13	lu13	lu13	lu13	lu13	lu13	lu13	lu44	
租	tsu44	tsu44	tsu44	tsu44	tsu44	tsu44	tsu13	tsu132	
做(～饭)	tsuə13	tsuə13	tsuə13	tsuə13	tsuə13	tsuə13	tsu13	tsu44	
粗	tsʰu44	tsʰu44	tsʰu44	tsʰu44	tsʰu44	tsʰu44	tsʰu52	tsʰu132	
箍(～头)	ku44	ku44	ku44	ku44	ku44	ku44	ku52	ku132	
多	tuə44	tuə44	tuə44	tuə44	tuə44	tuə44	tuə52	tuə44	
大(～小)	tɑ13	tɑ13	ta13	ta13	ta13	ta13	tɑ13	tᴀ132	
挪	nuə52	nuə52	nuə53	nuə53	nuə53	nuə53	nuə13	nuə53	
歌	kə44	kə44	kə44	kə44	kə44	kə44	kə13	kə132	
个(一～)	kə13	kə13	kə13	kə13	kə13	kə13	kə13	kə132	
茄	tɕʰiə52	tɕʰiə52	tɕʰiə53	tɕʰiə53	tɕʰiə53	tɕʰiə53	tɕʰiə52	tɕʰiə13	
蛾(～子)	ə52	ə52	ə53	ə53	ə53	ə53	nuə13	ə53	
我	vuə52	vuə52	vuə53	vuə53	vuə53	vuə53	vuə52	vuə132	
饿	vuə13	vuə13	vuə13	vuə13	vuə13	vuə13	nuə13	vuə132	
河	xə52	xə52	xə53	xə53	xə53	xə53	xuə13	xə53	
波	puə44	puə44	puə44	puə44	pə44	puə44	puə52	puə132	
婆	pʰuə52	pʰuə52	pʰuə53	pʰə53	pʰə53	pʰuə53	pʰuə13	pʰuə13	
磨(名词)	muə13	muə13	muə13	muə13	mə13	muə13	muə13	muə132	
糯	nuə13	nuə13	nuə13	nuə13	nuə13	nuə13	nuə13	nuə132	
坐	tsuə13	tsuə13	tsuə13	tsuə13	tsuə13	tsuə13	tsuə13	tsuə44	
过	kuə13	kuə13	kuə13	kuə13	kuə13	kuə13	kuə13	kuə44	
颗(一～子)	kʰuə44	kʰuə44	kʰuə44	kʰuə44	kʰuə44	kʰuə44	kʰuə52	kʰuə44	
火	xuə52	xuə52	xuə53	xuə53	xuə53	xuə53	xuə52	xuə53	
