注：《通州鄉音字匯》由孫錦標作於1905年，相關資料不多，近年才從孫錦標後人處尋得。由《自怡軒自序》可知，孫錦標69歲時（1924年）開始修訂19年前所著的《通州鄉音字匯》，計劃補入《說文》小篆，標記羅馬音，約計十六冊，但未能全部完成就已離世，未完成的修訂手稿也散佚不存。現存稿本沒有標註聲母，每個同音字為一組，只能歸納出聲母、韻母和聲調的情況。全書分為上中下三冊，對應平上去三聲，沒有列入入聲，依平水韻，沿用傳統韻書編排方式將同音字聚類排列。其中上冊（平聲卷）儘十五韻，所缺甚多。今參照論文擬音，結合如今南通方言予以修改，書中所缺而今南通方言存在的音節以□代替，整理為本同音字表。\n本表應當反映的是19世紀末南通城内方言的文讀音/讀書音，摻雜了零星白讀音。舒聲共有5個聲調，參考今南通/金沙各地方言調值及南通話中陰平殘留升調的情況，分別擬為陰平23、陽平14、上聲44、陰去53、陽去31，音係與今南通話大抵相同，不同在於見二絕大多數讀細、部分韻攝影疑對立、入虞極少等。					
	[1]阴平	[2]阳平	[3]上	[5]阴去	[6]阳去
lɑ̃		闌瀾蘭斕攔藍籃嵐婪	覽攬欖纜懶嬾赧		濫爛
mɑ̃	□	蠻			慢漫(散~)蔓曼命(同慢)
#uɑ̃					
kuɑ̃	關闆鰥矜(同鰥)綸			慣貫(同慣)	
kʰuɑ̃		環寰闤鬢			□
xuɑ̃	□	頑還(回也)			患宦幻豢
uɑ̃	彎灣關(同彎)		晚輓挽綰		萬万(同萬)
#ʊ̃					
kʊ̃	干杆竿玕肝奸(犯也)甘柑蚶官棺乾(~濕)乾冠(帽子)觀		管琯館敢橄感桿	灌瓘罐貫(注也)冠(首也)幹裸盥觀(寺~)	
kʰʊ̃	寬看堪刊(斫木)		坎欿款欵瞯瞰侃勘	看(視也)	
xʊ̃	歡懽驩貛酣	寒函(包也)涵韓翰(羽翮)含汗(可~)邯	罕䍐閈扞捍睅悍含(死者~珠玉)頷撼刊(削也)菡	漢暵翰(~墨)瀚渙煥唤	旱汗換憾逭
pʊ̃	□			半	
pʰʊ̃	潘	盤般(～樂怠敖)槃磐颦 蹣胖(心寬體~)弁(小~)蟠		泮判叛畔	伴
tʊ̃	端		短	斷(決也)籪鍛	
tʰʊ̃	□	團糰漙摶		彖探	段緞斷(不可間~)
nʊ̃			煖(寒之對也)暖		
lʊ̃		鐢樂巒攣鷺	孌臠		亂
mʊ̃		饅漫墁鏝謾鰻瞞	滿		漫(水~  岸)幔
ʊ̃	安鞍鞌豌蜿庵菴盦鶴諳陰(諒~)	丸紈桓完	宛畹碗椀捥腕惋婉盌浣莞緩澣	暗闇黯案按玩翫	岸喭
