汉字	芦浦	筱村	雅阳	注释
歇	ɕiəʔ7	ɕyɛʔ7	ɕiɛʔ7	
边	pi1	pi1	piɛŋ1	
扁	pi3	pi3	piɛŋ3	
片	pʰi5	pʰi5	pʰiɛŋ6	
麵	mi6	mi6	miɛŋ6	
典	tai3	teŋ3	tiɛŋ3	
典		ti3		
天	tʰi1	tʰi1	tʰiɛŋ1	
填	dai2	tɛ̃2	tɛŋ2	
填	di2			
殿	dai6	tɛ̃6	tɛŋ6	
年	ȵi2	ȵi2	ȵiɛŋ2	
莲	li2	lɛ̃2	liɛŋ2	
千	tsʰai1	tsʰɛ̃1	tsʰɛŋ1	
前	zai2	sɛ̃2	sɛŋ2	
先	sai1	sɛ̃1	sɛŋ1	
先	ɕi1	ɕi1	ɕiɛŋ1	
肩	tɕi1	tɕi1	kiɛŋ1	
见	tɕi5	tɕi5	kiɛŋ5	
牵	tɕʰi1	tɕʰi1	kʰɛŋ1	
牵		kʰɛ̃3		
玄		ɕỹɛ2	ɕyɛŋ2	
弦	i2	ɕỹɛ2	ɕyɛŋ2	
弦			hyɛŋ2	
烟	i1	i1	iɛŋ1	
燕	i5	i5	iɛŋ5	~子
篾	miəʔ8	miɛʔ8	miɛʔ8	
铁	tʰiəʔ7	tʰiɛʔ7	tʰiɛʔ7	
捏	nəʔ8	nɛʔ8		~牙膏
节	tsəʔ7	tsɛʔ7	tsɛʔ7	
节	tɕiəʔ7	tɕiɛʔ7	tɕiɛʔ7	
切	tsʰəʔ7	tɕʰiɛʔ7	tsʰɛʔ7	
屑		sɛʔ7	ɕiɛʔ7	
结	tɕiəʔ7	tɕiɛʔ7	kiɛʔ7	
半	pe5	pã5	puaŋ5	
盘	be2	pã2	puaŋ2	
潘	pʰe1			姓
搬	be2	pã2	puaŋ2	
伴		pã6	puaŋ5	
满	me3	mã3	muaŋ3	
端	tø1	tɔ̃1	tɔŋ1	
短	tø3	tuə3	tɔi3	
断	dø6	tɔ̃6	tɔŋ6	拗~
卵	lø1	lɔ̃6	lɔŋ6	
乱	lø6	lɔ̃6	lɔŋ6	
钻	tsø5	tsɔ̃5	tsɔŋ5	名
酸	sø1	sɔ̃1	sɔŋ1	
算	sø5	sɔ̃5	sɔŋ5	
管	kue3	kuã3	kuaŋ3	
管	kø3			
灌	kue5	kuã3	kuaŋ5	
宽	kʰue1	kʰuã1	kʰuaŋ1	
欢	hø1	fã1	huaŋ1	
換	ve6	vã6	uaŋ6	
碗	ve3	vã3	uaŋ3	
拨	pəʔ7	pɛʔ7	puaʔ7	
缽		pɛʔ7	puaʔ7	
末	məʔ8	mɛʔ8	muaʔ8	
脫	tʰəʔ7	tʰɔʔ7	tʰɔʔ7	
夺	dəʔ8	tɔʔ8	tɔʔ8	
撮	tsʰəʔ7	tsʰɔʔ7	tsʰɔʔ7	
阔	kʰəʔ7	kʰuɛʔ7	kʰuaʔ7	
活	vəʔ8	vɛʔ8	uaʔ8	
滑	vəʔ8	vɛʔ8	huaʔ8	
挖	vəʔ7	vɛʔ7	uaʔ7	
关	kue1	kuã1	kuaŋ1	~门
还	ve2	hɛ̃2	huaŋ2	动
弯	vã1	vã1	uaŋ1	
刷	səʔ7	sɔʔ7	sɔʔ7	
刮	kuəʔ7	kuɛʔ7	kuaʔ7	
泉	dʑy2	ɕỹɛ2	ɕ̃yɛŋ2	
旋	iɔŋ6	ɕỹɛ6	ɕ̃yɛŋ6	头旋
转	tɕy3	tɕỹɛ3	tyɛŋ3	~身
砖	tsø1	tɕỹɛ1	tɕyɛŋ1	
穿	tɕʰy1	tɕʰỹɛ1	tɕʰyɛŋ1	
船	ʑiɔŋ2	ɕyŋ2	ɕyŋ2	
软	ȵy3	ȵỹɛ3	ȵyɛŋ3	
卷		kuə3	kuɔŋ3	动
卷	tɕy3	tɕỹɛ3		动
拳	ɡuᴀŋ2	kueŋ2	kuŋ2	
院	y6	ỹɛ6	yɛŋ6	
铅	kʰã1	tɕʰi1		~笔
绝	ʑiəʔ8	tɕyɛʔ8	tɕyɛʔ8	
雪	ɕiəʔ7	ɕyɛʔ7	ɕyɛʔ7	
阅	iəʔ8	yɛʔ8	yɛʔ8	
反	fe3	fã3	huaŋ3	
翻	fe1	fã1	huaŋ1	
饭	ve6	puə5		
万	ve6	vã6	uaŋ6	
劝		kʰuə5	kʰuɔŋ5	
劝	tɕʰy5	tɕʰỹɛ5		
元		ŋuə2	ŋuɔŋ2	
原		ŋuə2	ŋuɔŋ2	
源	ȵy2	ŋuə2	ŋuɔŋ2	
楦	ɕy5	ɕỹɛ5	ɕyɛŋ5	
怨	y5	və5	uɔŋ5	
园	y2	huə2	huɔŋ2	
远	y3	ỹɛ3	yɛŋ3	
远		huə6	huɔŋ6	
发	fəʔ7	fɛʔ7	huaʔ7	
袜	məʔ8	mɛʔ8	muaʔ8	
月	ȵiəʔ8	ŋuɔʔ8	ŋuɔʔ8	
犬	kʰai3	kʰɛ̃3	kʰɛŋ3	
县	y6	ỹɛ6	yɛŋ6	
渊	y1	ỹɛ1		
缺	tɕʰiəʔ7	tɕʰyɛʔ7	kʰyɛʔ7	
缺			tɕʰyɛʔ7	
血	ha3	hɛʔ7	hɛʔ7	
血	haʔ7			
吞	tʰø1	tʰɔ̃1	tʰɔŋ1	
根	kᴀŋ1	kɛ̃1	kɛŋ1	
恨	hᴀŋ6	heŋ6	hɛŋ6	
恩	ᴀŋ1	ɛ̃1	ɛŋ1	
贫	bieŋ2	peŋ2	pieŋ2	
民	mieŋ2	meŋ2	mieŋ2	
邻	lieŋ2	leŋ2	lieŋ2	
津	tsᴀŋ1	tɕyŋ1	tɕyŋ1	
进	tɕieŋ5	tɕieŋ5	tɕieŋ5	
亲	tɕʰieŋ1	tɕʰieŋ1	tɕʰieŋ1	~戚
秦	dʑieŋ2	tɕieŋ2	tɕieŋ2	
新	ɕieŋ1	ɕieŋ1	seŋ1	
镇	tɕieŋ5	teŋ5	tieŋ5	
陈	dai2	teŋ2	tieŋ2	
陈	dieŋ2			
尘		teŋ2	tieŋ2	
阵	dieŋ6	teŋ6	tieŋ6	
真	tɕieŋ1	tɕieŋ1	tɕieŋ1	
神	ʑieŋ2	ɕieŋ2	seŋ2	
身	ɕieŋ1	ɕieŋ1	seŋ1	
伸	ɕieŋ1	tɕʰỹɛ1	tɕʰyɛŋ1	
认	ȵieŋ6	ȵieŋ6	ȵieŋ6	
巾	tɕiɔŋ1	tɕyŋ1	kyŋ1	
紧	tɕieŋ3	tɕieŋ3	kieŋ3	
银	ȵiɔŋ2	ȵyŋ2	ȵyŋ2	
忍	ȵiɔŋ3		ȵyŋ3	
印	ieŋ5	ieŋ5	ieŋ5	
引	ieŋ3	ieŋ3	ieŋ3	
笔	piəʔ7	peʔ7	peʔ7	
匹	pʰiəʔ7	pʰeʔ7	pʰeʔ7	
密	miəʔ7	meʔ8	meʔ8	
栗	liəʔ8	leʔ8	leʔ8	
七	tɕʰiəʔ7	tɕʰieʔ7	tsʰeʔ7	
侄	dʑiəʔ8	tɕieʔ8		
虱	səʔ7	sɛʔ7	sɛʔ7	
实	ʑiəʔ8	ɕieʔ8	seʔ8	
日	ȵiəʔ8	ȵieʔ8	neʔ8	~头
日	ʑiəʔ8			~头
吉	tɕiəʔ7	tɕieʔ7	keʔ7	
吉		tɕiɛʔ7		
一	iəʔ7	ieʔ7	iɛʔ7	
蜀			seʔ7	原文记作一
斤	tɕiɔŋ1	tɕyŋ1	kyŋ1	~两
筋	tɕiɔŋ1	tɕyŋ1	kyŋ1	
劲	tɕieŋ5	tɕieŋ5	kieŋ5	有~
勤	dʑieŋ2	tɕyŋ2	kʰyŋ2	
近	dʑiɔŋ6	tɕyŋ6	kyŋ6	
近	dʑieŋ6	tɕieŋ6		
郡	dʑiɔŋ6	tɕyŋ6	kyŋ6	
欣	ɕieŋ1	ɕieŋ1	ɕiɛŋ1	
隐	ieŋ3	ieŋ3	ieŋ3	
本	pᴀŋ3	puə3	puɔŋ3	
笨	bᴀŋ6	peŋ6	puŋ6	
门	mø2	muə2	muɔŋ2	
顿	tᴀŋ5	tɔ̃5	tyŋ5	
遁	dø6	tɔ̃6	tyŋ6	
嫩	nø6	nɔ̃6	nɔŋ6	
村	tsʰø1	tsʰɔ̃1	tsʰɔŋ1	
存	dzø2	sɔ̃2	tsɔŋ2	
孙	sø1	sɔ̃1	sɔŋ1	~子
滚	kuᴀŋ3	kueŋ3	kuŋ3	
滚		kuə3		
困	kʰuᴀŋ5	kʰueŋ5	kʰuŋ5	
睏	kʰuᴀŋ5	kʰueŋ5	kʰuŋ5	睡
昏	hø1	feŋ1	huɔŋ1	
魂	ø2	fuə2	huɔŋ2	
温	ø1	və1	uɔŋ1	
稳	ø3	veŋ3	uŋ3	
突	dəʔ8	tʰɔʔ7	tʰuɔʔ8	
卒	tsəʔ7	tseʔ7	tɕyʔ7	
骨	kuəʔ7	kueʔ7	kuʔ7	
忽	fəʔ7	fəuʔ7	huʔ7	
轮	lᴀŋ2	leŋ2	lyŋ2	
笋	ɕiɔŋ3	ɕyŋ3	ɕyŋ3	
准	tɕiɔŋ3	tɕyŋ3	tɕyŋ3	
春	tɕʰiɔŋ1	tɕʰyŋ1	tɕʰyŋ1	
唇	ʑiɔŋ2	ɕyŋ2	ɕyŋ2	
顺	ʑiɔŋ6	ɕyŋ6	ɕyŋ6	
闰	iɔŋ6	yŋ6	yŋ6	
均	tɕiɔŋ1	tɕyŋ1	kyŋ1	
匀	iɔŋ2	yŋ2	yŋ2	
律	liəʔ8	leʔ8	lyʔ8	
蟋	ɕiəʔ7	ɕyəuʔ7	syʔ7	
出	tɕʰiəʔ7	tɕʰyəuʔ7	tɕʰyʔ7	
术	ʑiəʔ8	ɕyəuʔ7	syʔ7	
橘	tɕiəʔ7	tɕieʔ7	keʔ7	
粉	fᴀŋ2	feŋ2	huŋ2	
粪	fᴀŋ5	feŋ5	huŋ5	
份	vᴀŋ6	feŋ6	huŋ6	
文	vᴀŋ2	veŋ2	uŋ2	
蚊	vᴀŋ2	veŋ2	uŋ2	~虫
蠓	mø2	muə2	muɔŋ2	~虫，原文记作蚊
问	mᴀŋ6	meŋ5	muɔŋ5	
问	vᴀŋ6	veŋ5	uŋ5	
军	tɕiɔŋ1	tɕyŋ1	kyŋ1	
裙	guᴀŋ2	kueŋ2	kuŋ2	
裙	dʑiɔŋ2			
熏	ɕiɔŋ1		ɕyŋ1	
训	ɕiɔŋ5	ɕyŋ5	ɕyŋ5	
云	iɔŋ2	yŋ2	yŋ2	
雲	vᴀŋ2		huŋ2	
运	iɔŋ6	yŋ6	yŋ6	
佛	fəʔ7	feʔ8	huʔ8	
屈	tɕʰiəʔ7	tɕʰiɔʔ7	kʰuʔ7	
帮	pɔ̃1	pɔ̃1	pɔŋ1	
榜	pɔ̃3	pɔ̃3	pɔŋ3	
忙	mɔ̃2	mɔ̃2	mɔŋ2	
党	tɔ̃3	tɔ̃3	tɔŋ3	
当	tɔ̃5	tɔ̃5	tɔŋ5	~铺
烫	tʰɔ̃5	tʰɔ̃5	tʰɔŋ5	
糖	dɔ̃2	tʰɔ̃2	tʰɔŋ2	
郎	lɔ̃2	lɔ̃2	lɔŋ2	
浪	lɔ̃6	lɔ̃6	lɔŋ6	
葬	tsɔ̃5	tsɔ̃5	tsɔŋ5	
仓	tsʰɔ̃1	tsʰɔ̃1	tsʰɔŋ1	
桑	sɔ̃1	sɔ̃1	sɔŋ1	
缸	kɔ̃1	kɔ̃1	kɔŋ1	
囥	kʰɔ̃5	kʰɔ̃5	kʰɔŋ5	藏放
薄	bɑu6	pou6	pɔ6	厚~
托	tʰəʔ7	tʰɔʔ7	tʰɔʔ7	
落	ləʔ8	lɔʔ8	lɔʔ8	
作	tsəʔ7	tsɔʔ7	tsɔʔ7	
作	sai1			
庚	kai1			
凿	zɑu6	sou6	tsʰɛʔ8	
索	səʔ7	sou5	sɔ5	
各	kəʔ7	kɔʔ7	kɔʔ7	
恶	ɔ3	ɔʔ7	ɔʔ7	形
娘	ȵiɔ̃2	ȵiɔ̃2	ȵiɔŋ2	
量	liɔ̃2	liɔ̃2	liɔŋ1	动
两	lɔ̃6	lɔ̃6	laŋ3	~个
浆	tɕiã1	tɕiɔ̃5	tɕiɔŋ5	
酱	tɕiɔ̃5	tɕiɔ̃5	tɕiɔŋ5	
抢	tɕʰiɔ̃3	tɕʰiɔ̃3	tɕʰiɔŋ3	
墙	ʑiã2	tɕʰiɔ̃2	tɕʰiɔŋ2	
匠	ʑiã6	tɕʰiɔ̃6	tɕʰiɔŋ6	
箱	ɕiɔ̃1	ɕiɔ̃1	ɕiɔŋ1	
香	ɕiɔ̃1	ɕiɔ̃1	ɕiɔŋ1	
像	ɕiɔ̃5	tɕʰiɔ̃6	tɕʰiɔŋ6	
张	tiɔ̃1	tiɔ̃1	tiɔŋ1	量
涨	tɔ̃3		tiɔŋ5	
帐	tiɔ̃5	tiɔ̃5	tiɔŋ5	蚊~
账	tiɔ̃5	tiɔ̃5	tiɔŋ5	
胀		tiɔ̃5	tiɔŋ5	
畅			tʰiɔŋ5	
长	dɔ̃2	tɔ̃2	tɔŋ2	~短
长			tɔŋ2	生~
长	dɔ̃2	tiɔ̃6	tɔŋ2	身无~物
肠	dʑiã2	tɔ̃2	tɔŋ2	
场	tiɔ̃2	tiɔ̃2	tiɔŋ2	
丈	dɔ̃6	tɔ̃6	tɔŋ6	单位
丈		tiɔ̃6	tiɔŋ6	
丈	diɔ̃6			~夫囝：男孩
丈	dʑiã6			方~
仗		tʰiɔ̃6	tʰɔŋ6	
装	tsɔ̃1	tsɔ̃1	tsɔŋ1	
壮	tsɔ̃5	tsɔ̃5	tsɔŋ5	
疮	tsʰɔ̃1	tsʰɔ̃1	tsʰɔŋ1	
床	dʑiɔ̃2	tsʰɔ̃2	tsʰɔŋ2	
状	dʑiɔ̃6	tsɔ̃6	tsɔŋ6	
霜	ɕiɔ̃5	sɔ̃1	sɔŋ1	
掌	tɕiɔ̃3	tɕiɔ̃3	tɕiɔŋ3	
掌	tɕiã3			
唱	tɕʰiɔ̃5	tɕʰiɔ̃5	tɕʰiɔŋ5	
唱	tɕʰiã5			
伤	ɕiã1	ɕiɔ̃1	ɕiɔŋ1	
尝	ɕiɔ̃2	ɕiɔ̃2	ɕiɔŋ2	
上	ʑiɔ̃6	ɕiɔ̃6	ɕiɔŋ6	动
让	ʑiã6	niã6	ȵiaŋ6	
让	ȵieu5			
姜	tɕiɔ̃1	tɕiɔ̃1	kiɔŋ1	
姜	tɕiã1			
乡	ɕiã1	ɕiɔ̃1	ɕiɔŋ1	
向	ɕiɔ̃5	ɕiɔ̃5	ɕiɔŋ5	
秧	ɔ̃1	ɔ̃1	ɔŋ1	
秧	iã1			
养	iɔ̃3	iɔ̃3	iɔŋ3	
痒	ʑiɔ̃6	ɕiɔ̃6	ɕiɔŋ6	
痒			iɔŋ3	
样	iɔ̃6	iɔ̃6	iɔŋ6	
略	ləʔ8	liɛʔ8		
雀	tɕʰiəʔ7	tɕʰiɛʔ7	tɕʰiɛʔ7	麻~
嚼	ʑy6			
削	ɕiəʔ7	ɕiɛʔ7	ɕia5	
著	ty5	təu5	tyɛ5	~衣
著	dy6		tyɛ6	睏~
勺			sɔʔ7	
箬		ȵy6	ȵyɛ6	
骹	kʰɔ1	kʰa1	kʰa1	
药	iəʔ8	iɛʔ8	yɛ6	
光	kɔ̃1	kɔ̃1	kuɔŋ1	
慌	fɔ̃1	hɔ̃1	huɔŋ1	
慌		fɔ̃1		
黄	vɔ̃2	ɔ̃2	uɔŋ2	
郭	kəʔ7	kɔʔ7	kɔʔ7	
扩	kʰəʔ7	kʰɔʔ7	kʰɔʔ7	
芳	fɔ̃3	fɔ̃1	huɔŋ1	
芳		hɔ̃1		
方	fɔ̃1	hɔ̃1	huɔŋ1	
方		fɔ̃1		
放	pɔŋ5	pəŋ5	puŋ5	
放	fɔ̃5	hɔ̃5	huɔŋ5	
纺	fɔ̃3	fɔ̃3	huɔŋ3	
纺		pʰəŋ3	pʰuŋ3	
房	vɔ̃2	hɔ̃2	huɔŋ2	
网	mɔ̃3	mɔ̃3	mɔŋ3	
网	mɔŋ6			
望	vɔ̃6	vɔ̃6	uɔŋ6	
狂	vɔ̃2	vɔ̃2	uɔŋ6	
王	vɔ̃2	vɔ̃2	uɔŋ2	
缚	bu6	pou6	puɔ6	
邦	pɔ̃1	pɔ̃1	pɔŋ1	
棒	bɔ̃6	pɔ̃6	pɔŋ6	
桩	tɔ̃1	tɔ̃1		
桩		tsɔ1	tsɔŋ1	
撞	dʑiɔ̃6	tɕiɔ̃6	tɔŋ6	
双	sɔŋ1	səŋ1	suŋ1	
江	kɔ̃1	kɔ̃1	kɔŋ1	
讲	kɔ̃3	kɔ̃3	kɔŋ3	
腔	tɕʰiɔ̃1	tɕʰiɔ̃1	kʰuŋ1	
腔	tɕʰiã1			
降	iɔ̃2	hɔ̃2	hɔŋ2	投~
剥	pəʔ7	pɔʔ7	pʰɔʔ7	
剥		pou5		
雹	bəʔ8		pɔʔ8	
雹	bɔ6	pəuʔ8		
桌	tɑu5	tou5	tɔ5	
戳	tsʰəʔ7	tɕʰiɔʔ7		
镯		sou6	sɔ6	
角	kɑu5	kou5	kɔ5	动物的
角	kəʔ7	kɔʔ7	kɛʔ7	
壳	kʰəʔ7	kʰɔʔ7	kʰɔʔ7	
学	ɑu6	ou6		
学	ɔ6	hɔʔ8	hɔʔ8	
朋	bɔŋ2	pɛ̃2	pɛŋ2	
灯	tai1	tɛ̃1	tɛŋ1	
藤	dᴀŋ2	teŋ2	tieŋ2	
藤	dai2			
邓	dᴀŋ6	tɛ̃6	tɛŋ6	
能	nᴀŋ2	nɛ̃2	nɛŋ2	
层	zᴀŋ2	sɛ̃2	tɕiɛŋ2	
层	zai2			
肯	kʰᴀŋ3	kʰeŋ3	kʰɛŋ3	
肯	kʰai3	kʰɛ̃3		
北	pəʔ7	pɛʔ7	pɛʔ7	
墨	məʔ8	mɛʔ8	mɛʔ8	
得	təʔ7	tɛʔ7	tɛʔ7	晓~
特	dəʔ8	tɛʔ8	tɛʔ8	
贼	zəʔ8	tsʰɛʔ8	tsʰɛʔ8	
塞	səʔ7	sɛʔ7	sɛʔ7	名
刻	kʰəʔ7	kʰɛʔ7	kʰɛʔ7	
冰	pieŋ1	peŋ1	pieŋ1	
征	tɕieŋ1	tɕieŋ1	tɕieŋ1	
蒸	tɕieŋ1	tɕieŋ1	tɕieŋ1	
秤	tɕʰieŋ5	tɕʰieŋ5	tɕʰieŋ5	
绳	ʑieŋ2	tɕieŋ2	ɕieŋ2	
升	ɕieŋ1	ɕieŋ1	ɕieŋ1	单位
承	ʑieŋ2	ɕieŋ2	ɕieŋ2	
兴	ɕieŋ1	ɕieŋ1	ɕieŋ1	绍~
杭	ɔ̃2	hɔ̃2	hɔŋ2	
幸	ã6	hɛ̃6	hɛŋ6	
形	ieŋ2	ɕieŋ2	hieŋ2	
型	ieŋ2	ɕieŋ2	hieŋ2	
刑	ieŋ2	ɕieŋ2	hieŋ2	
鹰	ieŋ1	ieŋ1	ieŋ1	
应	ieŋ5	ieŋ5	ieŋ5	答~
蝇	ieŋ1	ieŋ5		
逼	piəʔ7	peʔ7	peʔ7	
力	liəʔ8	leʔ8	leʔ8	
息	ɕiəʔ7	ɕieʔ7	seʔ7	
直	diəʔ8	teʔ8	teʔ8	
直	dʑiəʔ8			
值	diəʔ8	tʰeʔ8		
值	dʑiəʔ8		tseʔ8	
侧	tɕiəʔ7	tɕieʔ7	tsɛʔ7	
侧	tsʰəʔ7	tsʰɛʔ7	tsʰɛʔ7	
色	səʔ7	sɛʔ7	sɛʔ7	
食	ʑiəʔ8	ɕieʔ8	seʔ8	
食	ʑi6	ɕia6	ɕia6	吃
识	ɕiəʔ7	ɕieʔ7	seʔ7	
极	dʑiəʔ8	tɕieʔ8	keʔ8	
异	i6	i6	i6	
国	kəʔ7	kuɔʔ7	kuɔʔ7	
或	vəʔ8	vɛʔ8	hɛʔ8	
域	iəʔ8	i5	iɛʔ8	
彭	bã2	pʰã2	pʰaŋ2	
猛	mɔŋ2	məŋ5	meŋ3	
孟	mɔŋ2	mɛ̃6	meŋ3	
打	ta3	ta3	ta3	
撑	tʰã1	tʰã1	tʰaŋ1	
牚	tʰã5			
生	tsʰã1	tsʰã1	tsʰaŋ1	
生	sai1	sɛ̃1	sɛŋ1	
生	sã1	sã1	saŋ1	
更	kã1	kã1	kɛŋ1	
更		kɛ̃1		
梗	kã3	kɛ̃3		
坑	kʰã1	kʰã1	kʰaŋ1	
硬	ŋã6	ŋiã6	ŋɛŋ6	
行	ã2	hɛ̃6	hɛŋ6	~为
百	pa5	pa5	pa5	
白	ba6	pa6	pa6	
拆	tʰa5	tʰia5	tʰia5	
宅	dza6	tʰa6		
宅		tsɛʔ8	tsɛʔ8	
格	ka5	ka5	ka5	
客	kʰa5	kʰa5	kʰa5	
额	ŋã6	ŋã6	ȵia2	
额		ŋɛʔ8		
棚	bɔŋ2	pəŋ2	pɛŋ2	
争	tsã1	tsã1	tsaŋ1	
争		tsɛ̃1	tsɛŋ1	战~
耕	kã1	kɛ̃1	kɛŋ1	
麦	mã6	ma6	ma6	
脉	mã6	ma6	ma6	
摘	ta5	tia5	tia5	
册	tsʰa5	tsʰa5	tsʰa5	
隔	ka5	ka5	ka5	
隔		kɛʔ7		
轭	ŋã5	a5	a5	
兵	pieŋ1	peŋ1	pieŋ1	
柄	pã3	pã3	paŋ3	
平	bã2	pã2	paŋ2	
平		peŋ2	pieŋ2	
坪	bã2			
病	bã6	pã6	paŋ6	
镜	tɕiã5	tɕiã5	kiaŋ5	
命	miã6	miã6	miaŋ6	
庆	tɕʰieŋ5	tɕʰieŋ5	kʰieŋ5	
迎	ȵieŋ2	ȵieŋ2	ȵieŋ2	
影	iã3	iã3	iaŋ3	
碧	piəʔ7	peʔ7	peʔ7	
剧	dʑiəʔ8	tɕy5	ky5	戏~
饼	piã3	piã3	piaŋ3	
名	miã2	miã2	miaŋ2	
领	liã3	liã3	liaŋ2	
岭	liã3	liã3	liaŋ2	
井	tsã3	tsã3	tsaŋ3	
井		tɕieŋ3		
清	tɕʰieŋ1	tɕʰieŋ1	tɕʰieŋ1	
京	tɕieŋ1	tɕieŋ1	kieŋ1	
精	tɕieŋ1	tɕieŋ1	tɕieŋ1	
凊	tɕʰieŋ5	tɕʰieŋ5	tɕʰieŋ5	冷
晴	zã2	sã2	saŋ2	
静	ʑieŋ6	ɕieŋ6	tɕieŋ6	
姓	sã5	sã5	ɕieŋ5	
郑	dã6	tã6	taŋ6	
郑		tɕieŋ6		
正	tɕia5	tɕiã5	tɕiaŋ5	~反
声	ɕiã1	ɕiã1	ɕiaŋ1	
城	ʑia2	ɕiã2	ɕiaŋ2	
城	ʑieŋ2			
颈	tɕieŋ3	tɕiã3		
轻	tɕʰieŋ1	tɕʰieŋ1	kʰieŋ1	
赢	iã2	iã2	iaŋ2	
僻	pʰiəʔ7	pʰeʔ7	pʰeʔ7	
脊	tɕi3	tɕia5	tɕia5	
惜	ɕiəʔ7	ɕieʔ7	seʔ7	
席	y6	tɕʰyəu6	tɕʰyɛ6	草~
蓆	y6	tɕʰyəu6	tɕʰyɛ6	草~，原文记作席
席	ʑiəʔ8	ɕieʔ8	seʔ8	
只	tɕi5		tɕi3	
隻		tɕieʔ7		
尺	tɕʰy5	tɕʰyəu5	tɕʰyɛ5	
石	ʑy6	ɕyəu6	ɕyɛ6	
石	ʑiəʔ8	ɕieʔ8		
石	zəʔ8			
益	iəʔ7	iɛʔ7	ieʔ7	
瓶	bieŋ2	peŋ2	pieŋ2	
暝	mã2	mã2	maŋ2	夜晚，原文记作冥
钉	tieŋ1	teŋ1	tieŋ1	名
顶	tieŋ3	teŋ3	tieŋ3	
听	tʰiã1	tʰiã1	tʰiaŋ1	
定	diã6	tiã6	tiaŋ1	
灵	lieŋ2	leŋ2	lieŋ2	
青	tsʰã1	tsʰã1	tsʰaŋ1	
青	tɕʰieŋ1	tɕʰieŋ1		
醒	tsʰã3	tsʰã3	tsʰaŋ3	
醒	ɕieŋ3	ɕieŋ3		
经	tɕieŋ1	tɕieŋ1	kieŋ1	
经	kã1			~布
壁	piəʔ7	pia5	pia5	
滴	tiəʔ7	teʔ7	teʔ7	
踢	tʰiəʔ7	tʰeʔ7	tʰeʔ7	
敌	diəʔ8	teʔ8	teʔ8	
历	liəʔ8	leʔ8	lyʔ8	
戚	tɕʰiəʔ7	ɕʰieʔ7	tsʰeʔ7	
吃	tɕʰiəʔ7			~亏
锡	ɕiəʔ7	ɕieʔ7	seʔ7	
击	tɕiəʔ7	tɕieʔ7	keʔ7	
横	hã2	fã1	huaŋ2	
获	vəʔ8	fəuʔ8	uɔ6	
划		vɛʔ8		
兄	ɕiã1	ɕiã1	hiaŋ1	
荣	iɔŋ2	iəŋ2	iuŋ2	
永	iɔŋ3	iəŋ3	iuŋ3	
琼	dʑiɔŋ2	tɕiəŋ2	kʰieŋ2	
营	iɔŋ2	iəŋ2	iuŋ2	
役	iəʔ8	i6	iɛʔ8	
篷	bɔŋ2	pəŋ2	puŋ2	
东	tɔŋ1	təŋ1	tuŋ1	
懂	tɔŋ3	təŋ3	tuŋ3	
通	tʰɔŋ1	tʰəŋ1	tʰuŋ1	
桶	tʰɔŋ3	tʰəŋ3	tʰuŋ3	
动	dɔŋ6	təŋ6	tuŋ6	
洞	dɔŋ6	təŋ6	tuŋ6	
笼	lɔŋ2	ləŋ2	luŋ2	
弄	lɔŋ1	ləŋ6	lɛŋ6	名
终	tsɔŋ1	tsəŋ1	tsuŋ1	
钟	tsɔŋ1	tsəŋ1	tsuŋ1	
棕	tsɔŋ1	tsəŋ1	tsuŋ1	
粽	tsɔŋ5	tsəŋ5	tsuŋ5	
葱	tsʰɔŋ1	tsʰəŋ1	tsʰuŋ1	
送	sɔŋ5	səŋ5	suŋ5	
工	kɔŋ1	kəŋ1	kuŋ1	
空	kʰɔŋ1	kʰəŋ1	kʰuŋ1	有~
烘	hɔŋ1	fəŋ1	huŋ1	
红	ɔŋ2	vəŋ2	ɛŋ2	
甕	ɔŋ1	vəŋ5	uŋ5	
木	məʔ8	məuʔ8	muʔ8	
禿	tʰəʔ7	tʰɔʔ7	tʰuʔ7	
读	dəʔ8	təuʔ8	tuʔ8	
鹿	ləʔ8	ləuʔ8	lɛʔ8	
族	zəʔ8	ɕiəuʔ8	tsuʔ8	
族		səuʔ7		
谷		kəʔ7	kuʔ7	
屋	ɔ3	vəuʔ7	uʔ7	
冬	tɔŋ1	təŋ1	tɛŋ1	
侬	nɔŋ2	nəŋ2	nɛŋ2	人，原文记作农
脓	nɔŋ2	nəŋ2	nuŋ2	
宋	sɔŋ5	səŋ5	suŋ5	
督	təʔ7	təuʔ7	tuʔ7	
毒	dəʔ8	təuʔ8	tuʔ8	
风	hɔŋ1	fəŋ1	huŋ1	
冯	hɔŋ2	fəŋ2	puŋ2	
逢	hɔŋ5			
凤	hɔŋ6			
梦	mɔŋ5	məŋ5	muŋ5	
中	tɔ̃1	təŋ1	tuŋ1	~秋
中	tsɔŋ1	tsəŋ1	tsuŋ1	~秋
同	dɔŋ2			
虫	dɔŋ2	tʰəŋ2	tʰɛŋ2	
虫	dʑiɔŋ2			
众	tsɔŋ5	tsəŋ5	tsuŋ5	
铳	tsʰɔŋ5	tsʰəŋ5	tsʰuŋ5	
绒	iɔŋ2	iəŋ2	iuŋ2	
绒	zɔŋ2			
弓	kɔŋ1	tɕiəŋ1	kiuŋ1	
穷	dʑiɔŋ2	tɕiəŋ2	kiuŋ2	
雄	iɔŋ2	ɕiəŋ2	ɕiuŋ2	
熊			ɕiuŋ2	
