傳教士拼音			IPA		今音	1890會城話《主禱文》								1890瀧水話《主禱文》					
A					今音	ŋɔk21kɛ23fu32tsɔɪ32tʰin/hin23卬個父在天								ŋɔɪ21/23kɛ23fu32tsɔɪ32hin32卬個父在天					
	Á	吖	ʔ	a	ʔɑ	ŋin32nei23kɛ23mɪɛŋ22hɐɪ32ʃɪŋ23願你個名系聖								ŋun32nei23kɛ23mɪɛŋ22hɐɪ32ʃɪŋ23願你個名系聖					
S	em	心	s	ɛm	sɜm														
S	en	新	s	ɛn	sɜn														
S	ep	膝	s	ɛp	sɜp														
S	eu	秀	s	ɛʊ	sɜw														
Sh	á	沙	ʃ	a	sɑ														
Sh	áí	世	ʃ	ai	sɑj														
Sh	áí	哂	ʃ	ai	sɑj														
Sh	ák	𢱢	ʃ	ak	sɑk														
Sh	ám	衫	ʃ	am	sɑm														
Sh	án	山	ʃ	an	sɑn														
Sh	áng	生	ʃ	aŋ	sɑŋ														
Sh	áng	省	ʃ	aŋ	sɑŋ														
Sh	áp	煠	ʃ	ap	sɑp														
Sh	au	*	ʃ	ɐʊ															
Sh	áu	哨	ʃ	aʊ	sɑw														
Sh	em	閃	ʃ	ɛm	sim														
Sh	en	伸	ʃ	ɛn	sɜn														
Sh	en	扇	ʃ	ɛn	sin														
Sh	en	唇	ʃ	ɛn	sin														
Sh	ep	溼	ʃ	ɛp	sɜp														
Sh	et	舌	ʃ	ɛt	sit														
Sh	et	舌	ʃ	ɛt	sit														
Sh	í	尸	ʃ	i	si														
Sh	íá	賒	ʃ	ia	sjɛ														
Sh	íang	聲	ʃ	iɐŋ	sjɐŋ														
Sh	ik	色	ʃ	ɪk	sejk														
Sh	ím	森	ʃ	im	sɜm														
Sh	ín	身	ʃ	in	sɜn														
Sh	ín	船	ʃ	in	sin														
Sh	ing	升	ʃ	ɪŋ	sejŋ														
Sh	íp	十	ʃ	ip	sɜp														
Sh	íp	攝	ʃ	ip	sip														
Sh	ít	失	ʃ	it	sɜt														
Sh	íú	收	ʃ	iu	sɜw														
Sh	íú	燒	ʃ	iu	siw														
Sh	o	疏	ʃ	ɔ	suɔ														
Sh	ò	數	ʃ	o	sɜw														
Sh	oì	使	ʃ	ɔi	sɑj														
Sh	ok	敕	ʃ	ɔk	sɔk														
Sh	ök	汋	ʃ	œk	tsʰjøk														
Sh	ong	爽	ʃ	ɔŋ	sɔŋ														
Sh	öng	常	ʃ	œŋ	sjøŋ														
Sh	ü	書	ʃ	y	si														
Sh	úí	衰	ʃ	uɪ	suj														
Sh	uk	叔	ʃ	ʊk	sək														
Sh	un	順	ʃ	ʊn	sɜn														
Sh	ung	崇	ʃ	ʊŋ	səŋ														
Sh	út	術	ʃ	ut	sɜt														
S	ik	息	s	ɪk	sehk														
S	ín	仙	s	in	sin														
S	ing	星	s	ɪŋ	sejŋ														
S	íang	星	s	iɐŋ	sejŋ														
S	íp	𠓼	s	ip	sip														
S	ít	洩	s	it	sit														
S	íú	宵	s	iu	siw														
S	o	鎖	s	ɔ	suɔ														
S	ò	鬚	s	o	sɜw														
S	oí	顋	s	ɔi	suj														
S	ok	索	s	ɔk	sɔk														
S	ök	削	s	œk	sœk														
S	ong	桑	s	ɔŋ	sɔŋ														
S	öng	想	s	œŋ	sœŋ														
S	uí	歲	s	ʊi	suj														
S	uk	宿	s	ʊk	sək														
S	ún	榫	s	un	sɜn														
S	ún	孫	s	un	sin														
S	ung	鬆	s	ʊŋ	səŋ														
S	út	恤	s	ut	sit														
S	út	雪	s	ut	sit														
S	z	思	s	z̩	si														
T																			
T	á	打	t	a	tɑ														
T	áí	低	t	ai	tɑj														
T	áí	帶	t	ai	tɑj														
T	ak	得	t	ɐk	tɑk														
T	ák	得	t	ak	tɑk														
T	ám	淡	t	am	tɑm														
T	án	單	t	an	tɑm														
T	áng	燈	t	aŋ	tɑŋ														
T	áp	搭	t	ap	hɑp														
T	át	笪	t	at	tɑt														
T	at	*	t	ɐt															
T	au	痘	t	ɐʊ	tɑw														
T	éí	地	t	ei	rej														
T'	ék	踢	tʰ	ek	hjɐk														
T	em	泵	t	ɛm	tɜp														
T	ep	嗒	t	ɛp	tɜp														
T	íá	爹	t	ia	tjɐ														
T	ik	敵	t	ɪk	tejk														
T	ím	點	t	im	tim														
T	ín	典	t	in	tin														
T	ing	丁	t	ɪŋ	tejŋ														
T	íp	蝶	t	ip	tip														
T	ít	跌	t	it	tit														
T	íú	丢	t	iu	tiw														
T	o	多	t	ɔ	tuɔ														
T	ò	刀	t	o	tow														
T	oí	代	t	ɔi	tuj														
T	ok	度	t	ɔk	tɔk														
T	on	㡭	t	ɔn	tun														
T	ong	當	t	ɔŋ	tɔŋ														
T	òt	奪	t	ot	tut														
Ts	aí	劑	ts	ɐi	tsɑj														
Ts'	aí	妻	tsʰ	ɐi	tsʰɑj														
Ts	ak	則	ts	ɐk	tsɑk														
Ts'	ák	賊	tsʰ	ak	tsʰak														
Ts	ám	簪	ts	am	tsɑm														
Ts'	ám	參	tsʰ	am	tsʰɑm														
Ts	án	贊	ts	an	tsɑn														
Ts'	án	餐	tsʰ	an	tsʰɑn														
Ts	ang	增	ts	ɐŋ	tsɑŋ														
Ts'	ang	層	tsʰ	ɐŋ	tsʰɑŋ														
Ts	áp	習	ts	ap	tsɑp														
Ts'	át	擦	tsʰ	at	tʰɑt														
Ts'	em	侵	tsʰ	ɛm	tsɜm														
Ts'	en	親	tsʰ	ɛn	tsɜn														
Ts	ep	蓺	ts	ɛp															
Ts'	ep	緝	tsʰ	ɛp	tsɜp														
Ts	et	疾	ts	ɛt	taɜt														
Ts'	et	七	tsʰ	ɛt	tsɜt														
Ts	eu	酒	ts	ɛu	tsɛw														
Ts'	eu	秋	tsʰ	ɛu	tsɜw														
Ts	íá	借	ts	ia	tsjɛ														
Ts'	íá	邪	tsʰ	ia	tsʰjɛ														
Ts	íak	瘌	ts	iɐk															
Ts	ik	卽	ts	ɪk	tsejk														
Ts	ím	尖	ts	im	tsim														
Ts'	ím	簽	tsʰ	im	tsʰim														
Ts	ín	前	ts	in	tsʰin														
Ts'	ín	千	tsʰ	in	tsʰin														
Ts	ing	晶	ts	ɪŋ	tsejŋ														
Ts'	ing	淸	tsʰ	ɪŋ	tsʰejŋ														
Ts	íp	接	ts	ip	tsip														
Ts	ít	節	ts	it	tsit														
Ts'	ít	切	tsʰ	it	tsʰit														
Ts	íú	椒	ts	iu	tsiu														
Ts'	íú	鍫	tsʰ	iu	tsʰɜu														
Ts	o	左	ts	ɔ	tsuɔ														
Ts'	o	錯	tsʰ	ɔ	tsʰuɔ														
Ts	ò	租	ts	o	tsɜw														
Ts'	ò	粗	tsʰ	o	tsʰɜw														
Ts	oí	宰	ts	ɔi	tsuj														
Ts'	oí	才	tsʰ	ɔi	tsʰuj														
Ts	ok	作	ts	ɔk	tsɔk														
Ts'	ok	錯	tsʰ	ɔk	tsʰɔk														
Ts	ök	雀	ts	œk	tsjøk														
Ts	ong	葬	ts	ɔŋ	tsɔŋ														
Ts	öng	將	ts	œŋ	tsjøŋ														
Ts'	ong	艙	tsʰ	ɔŋ	tsʰɔŋ														
Ts'	öng	祥	tsʰ	œŋ	tsʰjøŋ														
Ts	uí	序	ts	ʊi	tsuj														
Ts'	úí	取	tsʰ	ui	tsʰuj														
Ts	uk	足	ts	ʊk	tsək														
Ts'	uk	促	tsʰ	ʊk	tsʰək														
Ts	ún	津	ts	un	tsɜn														
Ts	ún	尊	ts	un	tsun														
Ts'	ún	巡	tsʰ	un	tsʰun														
Ts'	ün	全	tsʰ	yn	tsʰin														
Ts	ung	宗	ts	ʊŋ	tsəŋ														
Ts'	ung	從	tsʰ	ʊŋ	tsʰəŋ														
Ts	út	卒	ts	ut	tsɜt														
Ts	út	絶	ts	ut	tsut														
Ts'	út	捽	tsʰ	ut	tsut														
Ts	z	子	ts	z̩	tsi														
Ts'	z	慈	tsʰ	z̩	tsʰi														
T	uí	堆	t	ʊi	tuj														
T'	úí	退	tʰ	ʊi	tʰuj														
T	úk	督	t	uk	tək														
T	un	墩	t	ʊn	tɜn														
T	ún	不	t	un	tɜn														
T	ung	冬	t	ʊŋ	təŋ														
T'	ung	通	tʰ	ʊŋ	təŋ														
T	út	凸	t	ut	tɜt														
U																			
	Uk	屋	ʔ	ʊk	ʔək														
W																			
W	á	話	w	a	ʋɑ														
W	aí	圍	w	ɐi	ʋej														
W	aí	煨	w	ɐi	ʋej														
W	áí	壞	w	ai	ʋɑj														
W	ák	或	w	ak															
W	ák	域	w	ak															
W	an	雲	w	ɐn	ʋɜn														
W	án	灣	w	an	ʋɑn														
W	áng	橫	w	aŋ	ʋɒŋ														
W	at	欝	w	ɐt	ʋɜt														
W	út	欝	w	ut	ʋɜt														
W	át	滑	w	at	ʋɑt														
W	éí	*	w	ei															
W	en	*	w	ɛn															
W	et	*	w	ɛt															
W	ing	栐	w	ɪŋ	ʋejŋ														
W	o	窩	w	ɔ	ʋuɔ														
W	ok	鑊	w	ɔk	ʋɔk														
W	ong	王	w	ɔŋ	ʋɔŋ														
W	ú	惡	w	u	ʋu														
W	úí	囘	w	ui	ʋuj														
W	éí	囘	w	ei	ʋuj														
W	ún	盌	w	un	ʋɜn														
W	ún	勻	w	un	ʋɜn														
W	út	活	w	ut	ʋut														
Y																			
Y	aí	𠯋	j	ɐi	jɑj														
Y	am	音	j	ɐm	jɛm														
Y	an	因	j	ɐn	jɜn														
Y	an	印	j	ɐn	jɜn														
Y	at	*	j	ɐt															
Y	et	穴	j	ɛt	jit														
Y	íp	穴	j	ip	jit														
Y	í	雨	j	i	ji														
Y	í	於	j	i	ji														
Y	iá	也	j	ɪa	jiɜ														
Y	iá	耶	j	ɪa	jiɜ														
Y	ik	益	j	ɪk	jejk														
Y	ín	員	j	in	jin														
Y	ing	應	j	ɪŋ	jejŋ														
Y	íp	邑	j	ip	jɜp														
Y	ít	一	j	it	jɜt														
Y	íú	有	j	iu	jɜw														
Y	ök	約	j	œk	jøk														
Y	öng	羊	j	œŋ	jøk														
Y	uí	銳	j	ʊi	juj														
Y	uk	欲	j	ʊk	jək														
Y	ung	甕	j	ʊŋ	jəŋ														
H	íp	甕	h	ip	jəŋ														
Y	ung	用	j	ʊŋ	jəŋ														
H	íp	用	h	ip	jəŋ														
