漢字	iPA	注釋
薅	hau1	文
好	hɔ3	
好	hɔʔ7	又
好	hau3	文
好	hau ̃5	又文
耗	hɔ5	
豪	hau2	
毫	hau2	
號	hau1	
浩	hau1	
號	hɔ6	
爊	ŋau2	
襖	ɔ3	
奧	ɔ5	
懊	ɔ5	白
懊	au5	
包	pau1	
胞	pau1	
飽	pa3	
豹	pa5	
爆	pau4	
泡	pʰa4	
拋	pʰau1	
炮	pʰau5	
跑	pʰau3	
鮑	pau4	
刨	pʰau2	
刨	pʰau1	又
茅	mau2	
貓	ŋiɔu1	
貓	ba2	
卯	bau3	
貌	mau4	
鐃	nau2	
撓	niɔu1	白
撓	nau2	
鬧	nau4	
罩	ta5	又
罩	tsau4	
抓	tsua1	
爪	dziɔu3	
找	tau3	
笊	tsau3	
抄	tsʰau1	
鈔	tsʰau1	
炒	tsʰa3	
吵	tsʰau1	
巢	tsʰau2	
梢	sau1	
梢	sau5	
梢	siɔu1	
捎	siɔu1	
稍	tsʰiɔu1	
稍	tsʰiɔu3	
潲	sau5	
交	kau1	
郊	kau1	
膠	ka1	
絞	ka3	
狡	kau3	
鉸	ka1	
搞	kau3	
攪	ka3	
攪	kiɔu3	文
教	ka5	
較	ka5	
酵	ka5	
窖	ka5	
校	ka5	
覺	kak7	
敲	kʰa5	
敲	kʰiɔu1	
巧	kʰa3	
咬	ka4	
孝	hau5	
肴	ŋau2	
淆	ŋau2	
效	hau6	
校	hau4	
坳	au1	
拗	au3	
飈	piɔ1	
標	piɔ1	
標	pʰiɔu1	文
錶	piɔ1	
表	piɔu3	
飄	pʰiɔu1	
漂	pʰiɔu1	又
漂	piɔ5	
漂	pʰiɔu5	文
票	pʰiɔ5	
嫖	pʰiɔu2	
瓢	pʰiɔ4	
鰾	pʰiɔ4	
描	biɔ2	白
描	miɔu2	
苗	biɔ2	白，蝦~
苗	miɔu2	
藐	miɔu3	
渺	miɔu3	
秒	miɔu3	
廟	biɔ6	
妙	miɔu4	
燎	liɔu2	
焦	tsiɔu1	
椒	tsiɔ1	
剿	tsʰau1	俗
鍬	tsʰiɔu1	
鍬	tsʰiu1	又
繰	tsʰiɔu1	
繰	tsʰau2	又
悄	tsʰiɔu1	
悄	tsʰiɔu3	又
俏	tsʰiɔu3	
樵	tsʰa2	白
樵	tsiɔu1	文
瞧	tsʰiɔu2	
消	siɔu1	
宵	siɔu1	
霄	siɔ1	白，漳州雲~
霄	siɔu1	
硝	siɔu1	
銷	siɔu1	
小	siɔ3	白
小	siɔu3	
笑	tsʰiɔ5	
鞘	siɔu3	
朝	tsiɔu1	
超	tʰiɔu5	
朝	tsʰiɔu2	
潮	tiɔ2	
趙	tiɔ6	
兆	tiɔu4	
肇	siɔu4	
召	tiɔu4	
召	siɔu4	又，姓氏
昭	tsiɔu1	
招	tsiɔ1	白
招	tsiɔu1	
沼	dziɔu5	
照	tsiɔ5	
詔	tsiɔu5	
詔	dziɔu5	又，漳州~安
燒	siɔ1	
少	tsiɔ3	
少	siɔu5	又
韶	siɔu4	
紹	siɔu4	
邵	siɔ ̃6	白
邵	siɔu4	
饒	dziɔu2	
擾	dziɔu3	
繞	dziɔu5	
驕	kiɔu1	
嬌	kiɔu1	
矯	kiɔu1	
矯	kiɔu3	又
喬	kʰiɔu2	
橋	kiɔ2	
轎	kiɔ6	
囂	ŋau1	
枵	iɔu1	
妖	iɔu1	
邀	iɔu1	
腰	iɔ1	
要	iɔu1	
夭	iɔu1	
要	iɔu5	
搖	iɔ2	
謠	iɔ2	
窯	iɔ2	
姚	iɔ2	
舀	iɔ3	
耀	iɔu4	
刁	tiɔu1	
貂	tiɔu1	
雕	tiɔu1	
鳥	tsiɔu3	
吊	tiɔu5	
釣	tiɔ ̃5	
挑	tʰiɔ1	
跳	tʰiɔu5	
跳	tiɔ6	又
糶	tʰiɔ5	
條	tiɔu2	
調	tʰiɔu2	
掉	tiɔu6	
調	tiɔu6	
尿	dziɔ6	
聊	liɔu2	
遼	liɔu2	
撩	liɔu2	
寥	liɔu2	
廖	liɔu5	
了	liɔu3	
了	liɔu5	又
料	liɔu6	
簫	siɔu1	
蕭	siɔu1	
嘯	sau5	
澆	nau1	
繳	kiɔu3	
叫	kiɔ5	
竅	kʰiɔu5	
堯	ŋiɔu2	
曉	hiɔu3	
麼	mɔʔ7	
杳	miɔu3	
剖	pʰɔu1	又
剖	pʰɔu3	
某	mɔu3	
畝	bɔu3	
牡	bɔu3	
拇	bɔ3	
母	m3	又
母	bɔ3	
茂	mɔu4	
戊	bɔu6	
貿	mɔu5	
兜	tau1	
斗	tau3	
抖	tau3	
陡	tau3	
鬥	tau5	
鬥	tɔu5	文
偷	tʰau1	
透	tʰau5	
頭	tʰau2	
投	tau2	
豆	tau6	
逗	tau6	
耨	nɔ5	
耨	nau6	文
耨	dzɔk8	又
樓	lau2	
摟	lɔu3	
簍	lau3	
漏	lau6	
漏	lau5	又
陋	lɔu4	
走	tsau3	
走	tsiu2	又
奏	tsau5	
湊	tsʰɔu5	
叟	sɔu3	
嗽	sau5	
勾	kau1	
鉤	kau1	
溝	kau1	
狗	kau3	
苟	kɔu3	
垢	kau3	
垢	kɔu5	文
彀	kɔu5	
夠	kau5	
夠	kɔu5	文
構	kɔu5	
購	kɔu5	
媾	kɔu5	
摳	kʰau1	
口	kʰau3	
叩	kʰa5	
叩	kʰau5	文
扣	kʰa5	
扣	kʰau5	文
寇	kʰɔu5	
藕	kau4	
偶	ŋɔu3	
吼	hau3	
蔻	kʰɔu5	
侯	kau2	
侯	hau6	又
侯	hɔu2	文，姓氏
喉	au2	
猴	kau2	
後	au4	
後	hau4	~生
后	hɔu4	
厚	kau4	
候	hau6	
謳	au1	
歐	au1	
鷗	au1	
鷗	ɔu1	文，汕頭~汀
區	au1	
嘔	au3	
毆	au1	
毆	au3	又
漚	au5	
漚	au1	又
慪	au1	
否	hɔu ̃3	
富	pu5	
副	hu5	
浮	pʰu2	
阜	hu4	
負	hu4	
婦	hu4	
複	hɔk7	
謀	mɔu2	
矛	mau2	
眸	mɔu2	
紐	nau4	白
紐	niu3	
扭	nau4	白
扭	niu3	
留	lau2	
留	liu2	文
榴	liu2	
劉	lau2	
流	lau2	
流	liu2	文
硫	liu2	
琉	liu2	
柳	liu3	
溜	lau5	又
溜	liu1	
溜	liu5	文
揪	tsʰiu1	
酒	tsiu3	
秋	tsʰiu1	
就	tsu4	
就	tsiu4	
修	siu1	
羞	siu1	
秀	siu5	
鏽	siu5	
繡	siu5	
宿	siu5	
宿	siu6	俗
囚	tsʰiu2	
袖	siu5	
肘	tiu3	
晝	tau5	白
晝	tiu4	
抽	tʰiu1	
丑	tʰiu3	
綢	tiu2	
稠	tsʰiu2	
籌	tʰiu2	
紂	tiu4	
宙	tiu4	
鄒	tsɔu1	
鄒	tsiɔu1	地名，邹堂
皺	niɔu5	
皺	tsɔu5	文
縐	niɔu5	
縐	dziɔu5	
愁	tsʰɔu2	
驟	tsɔu4	
餿	siɔu1	
搜	siɔu1	
颼	siɔu1	
颼	sɔu1	文
瘦	saŋ3	訓
瘦	sɔu3	
漱	sɔk7	又
漱	tsʰiu5	
周	tsiu1	
舟	tsiu1	
洲	tsiu1	
州	tsiu1	
帚	siu3	
咒	tsiu5	
醜	tsʰiu3	又
醜	tʰiu3	
臭	tsʰau5	
臭	hiu ̃5	
收	siu1	
手	tsʰiu3	
首	siu3	
守	siu3	
獸	siu5	
讎	tsʰiu2	
酬	tsʰiu2	
受	siu4	
壽	siu6	
授	siu4	
售	tsʰiu2	
柔	dziu2	
揉	dziu2	
鳩	kiu1	
鬮	kau1	
九	kau3	
九	kiu3	文
久	ku3	
韭	ku3	
灸	ku5	
究	kiu5	
救	kiu5	
丘	kʰu1	
丘	kʰiu1	
求	kʰiu2	
球	kiu2	
仇	tsʰiu2	
舅	ku4	
臼	kʰu4	
咎	kiu4	
舊	ku6	
柩	kiu4	
牛	gu2	
休	hiu ̃1	
朽	hiu ̃3	
嗅	hiu ̃5	
憂	iu1	
優	iu1	
尤	iu2	
郵	iu2	
有	u4	
有	iu3	
友	iu3	
又	iu4	
右	iu4	
宥	iu4	
祐	iu4	
油	iu2	
遊	iu2	
悠	hiu ̃1	
悠	iu1	又
猶	iu2	
由	iu2	
酉	iu3	
莠	iu3	
誘	iu3	
釉	iu2	
柚	iu6	
彪	piu1	
謬	miu4	
丟	tiu1	
糾	kiu4	
幽	hiu ̃1	
幼	iu ̃5	
耽	taŋ1	
貪	tʰaŋ1	
探	tʰaŋ5	
潭	tʰaŋ2	
譚	tʰaŋ2	
南	naŋ2	
男	naŋ2	
婪	laŋ2	
簪	tsaŋ1	
參	tsʰaŋ1	
蔘	siaŋ1	
慘	tsʰaŋ3	
蠶	tsʰɔi ̃2	
感	kaŋ3	
堪	kʰaŋ1	
龕	kʰaŋ1	
坎	kʰaŋ3	
砍	kʰaŋ3	
勘	kʰaŋ5	
勘	kʰaŋ1	又
湛	taŋ1	
湛	kʰaŋ1	又，~江
湛	tsaŋ5	又
含	kaŋ2	
含	haŋ2	文
函	haŋ2	
撼	haŋ3	
撼	haŋ4	又
憾	haŋ4	
庵	aŋ1	
諳	aŋ1	又
諳	aŋ5	
暗	aŋ5	
擔	ta ̃1	
擔	taŋ1	文
膽	ta ̃3	
擔	ta ̃5	
坍	tʰaŋ1	
毯	tʰaŋ3	
痰	tʰaŋ2	
談	tʰaŋ2	
淡	ta ̃4	
淡	taŋ4	
藍	naŋ2	
籃	na ̃2	
欖	na ̃3	
欖	nai ̃3	又
攬	naŋ3	
覽	naŋ3	
覽	laŋ3	又
纜	naŋ3	
纜	laŋ3	又
濫	laŋ4	
慚	tsʰaŋ2	
暫	tsiaŋ4	
三	sa ̃1	
三	saŋ1	文
柑	ka ̃1	
泔	kaŋ1	
甘	kaŋ1	
敢	ka ̃3	
橄	ka ̃1	
橄	ka ̃3	
瞰	kʰaŋ3	
蚶	haŋ1	
喊	haŋ5	
邯	haŋ1	
酣	haŋ1	
站	tsaŋ4	
賺	tʰaŋ5	訓“趁”
賺	tsuaŋ5	文
斬	tsaŋ3	
蘸	tsaŋ5	
讒	tsʰaŋ2	
饞	tsʰaŋ2	
杉	saŋ1	
尷	kaŋ1	
減	kiaŋ3	
鹻	kiaŋ3	
鹹	kiaŋ2	
咸	haŋ2	
陷	haŋ6	
攙	tsʰaŋ1	
攙	tsʰaŋ2	又
懺	tsʰiaŋ1	俗
懺	tsʰaŋ5	
監	kaŋ1	
監	kaŋ5	
鑒	kaŋ5	
嵌	kʰaŋ3	
巖	ŋaŋ2	
銜	ka ̃2	白
銜	haŋ2	
艦	laŋ3	
貶	pʰɛŋ3	
貶	piaŋ3	文
黏	niaŋ1	
黏	niaŋ2	又
廉	liaŋ2	
鐮	liaŋ2	
簾	liaŋ2	
奩	liaŋ2	
斂	liaŋ3	
殮	liaŋ3	
尖	tsiaŋ1	
殲	tsʰiaŋ1	
殲	tsʰiaŋ2	又
簽	tsʰiaŋ1	
籤	tsʰiaŋ1	
僉	tsʰiaŋ1	
潛	tsʰiaŋ2	
漸	tsiaŋ4	
暹	siaŋ2	
纖	tsʰiaŋ2	
沾	tiaŋ1	
粘	liaŋ1	
瞻	tsiaŋ1	
占	tsiaŋ1	
占	tsiaŋ5	
陝	siaŋ3	
閃	siaŋ3	
贍	tsiaŋ1	
染	ni3	白
染	dziaŋ3	
冉	dziaŋ3	
檢	kiaŋ3	
臉	liaŋ3	
鉗	kʰiaŋ2	
儉	kʰiaŋ4	
驗	ŋiaŋ6	
險	hiaŋ3	
淹	iŋ1	
閹	iaŋ1	
掩	iaŋ3	
厭	iaŋ5	
炎	iaŋ6	
鹽	iaŋ2	
閻	ŋiaŋ2	
簷	tsi ̃2	白
簷	siaŋ2	
艷	iaŋ6	
焰	iaŋ6	
劍	kiaŋ5	
欠	kʰiaŋ5	
嚴	ŋiaŋ2	
儼	ŋiaŋ3	
釅	ŋiaŋ2	
鍁	həŋ1	
鍁	hiaŋ1	又
崦	iaŋ1	
掂	tiaŋ1	
點	tiaŋ3	
點	niaŋ3	～火
點	liaŋ3	
墊	tiaŋ4	
店	tiaŋ5	
添	tʰi ̃1	白
添	tʰiaŋ1	
忝	tʰiaŋ3	
舔	tʰiaŋ3	
甜	tiaŋ2	
拈	ni ̃1	
拈	liaŋ1	
鮎	liaŋ2	
念	liaŋ4	又
念	liaŋ6	
僭	tsʰiaŋ5	
蒹	kiaŋ1	
謙	kʰiaŋ1	
歉	kʰiaŋ3	
嫌	hiaŋ2	
泛	huaŋ5	
凡	huaŋ2	
帆	pʰaŋ2	
範	huaŋ4	
犯	huaŋ4	
梵	huaŋ4	
答	tak7	
搭	taʔ7	
踏	taʔ8	
納	nak8	
拉	la1	
雜	tsak8	
蛤	kak7	
鴿	kak7	
喝	huaʔ7	
喝	uaʔ7	又
喝	tuaʔ7	俗
喝	hak7	文，~彩
合	haʔ8	
合	hak8	文
盒	ak8	
榻	tʰak7	
塔	tʰaʔ7	
塌	tʰak8	
臘	laʔ8	
蠟	laʔ8	
鑞	laʔ8	
卅	sak7	
磕	kʰak7	
盍	kʰak7	
盍	hak7	
劄	tsak7	
眨	tsak7	
插	tsʰaʔ7	
插	tsʰak7	又
閘	tsaʔ8	
煠	saʔ8	
霎	siak7	
夾	kɔiʔ7	
夾	kiak8	文
袷	kɔiʔ7	
恰	kʰak7	
掐	kʰak7	
狹	ɔiʔ8	
狹	hiak8	文
峽	kiak7	
峽	hak8	又，潮南~山
洽	tsiak8	
甲	kaʔ7	
匣	ak8	
狎	ak7	
鴨	aʔ7	
押	aʔ7	
壓	iak7	
聶	niak7	
鑷	niak7	
鑷	niʔ7	
獵	laʔ8	
接	tsiʔ7	
接	tsiak7	文
妾	tsʰiak7	
捷	tsiak8	
輒	tiak7	
摺	tsiʔ7	
摺	dziʔ7	又
攝	niak7	
涉	siak8	
靨	iak7	
葉	hiɔʔ8	
葉	iak8	又，姓氏
葉	hiak8	文
劫	kiak8	
怯	kʰiak7	
業	ŋiak8	
脅	hiak8	
貼	tʰiak7	
帖	tʰiak7	
疊	tʰaʔ8	
疊	tʰiak8	文
牒	tiak8	
蝶	tiak8	
諜	tiak8	
協	hiak8	
俠	hiak8	
挾	hiak8	
法	huak7	
乏	huak8	
乏	hɛk8	又
乏	hak8	又
稟	pɛŋ3	
品	pɛŋ3	
賃	dziŋ3	
賃	dziŋ4	又
林	liŋ2	
林	na2	白读，深山林内
淋	naŋ2	白
淋	liŋ2	
臨	liŋ2	
凜	liŋ3	
廩	liŋ3	
浸	tsiŋ5	
侵	tsʰiŋ2	
寢	tsʰiŋ3	
寢	tsiŋ3	又
蕈	tsʰiŋ2	
蕈	tsʰiŋ4	又
心	siŋ1	
尋	tsʰiŋ2	
琛	tiŋ1	
沉	tiŋ2	
朕	tiŋ4	
簪	tsaŋ1	
岑	ŋiŋ2	
岑	tsʰaŋ2	
森	siŋ1	
參	siŋ1	
滲	tsʰaŋ1	
針	tsaŋ1	
斟	tsiŋ1	
枕	tsiŋ3	
葚	siŋ4	
深	tsʰiŋ1	
瀋	siŋ3	
審	siŋ3	
嬸	siŋ3	
甚	siŋ3	
壬	dziŋ4	
任	dziŋ4	
妊	dziŋ4	
今	kiŋ1	
金	kiŋ1	
襟	kiŋ1	
禁	kiŋ1	
錦	kiŋ3	
禁	kiŋ5	
欽	kʰiŋ1	
琴	kʰiŋ2	
禽	kʰiŋ2	
擒	kʰiŋ2	
吟	ŋiŋ2	
音	iŋ1	
陰	iŋ1	
飲	aŋ3	白，糜~
飲	iŋ3	
蔭	iŋ1	
窨	iŋ5	
淫	iŋ2	
立	lik8	
粒	liak8	
緝	tsik7	
集	tsik8	
輯	tsik7	
習	sik8	
襲	sik8	
蟄	tɛk8	
澀	siak7	
汁	tsak7	
執	tsik7	
濕	tsak7	
濕	sik7	
十	tsak8	
什	sik8	
什	siŋ2	又
拾	sik8	
入	dzik8	
急	kik7	
級	kʰik7	
汲	kʰik7	
給	kik7	
泣	kʰik7	
及	kik8	
吸	kʰik7	
邑	ik7	
揖	ik7	
丹	tua ̃1	白，牡~
丹	taŋ1	
單	tua ̃1	
單	siaŋ2	又
單	siaŋ4	又
旦	tua ̃5	白，花~
旦	taŋ5	
灘	tʰua ̃1	
攤	tʰua ̃1	
坦	tʰaŋ3	
歎	tʰaŋ5	
炭	tʰua ̃5	
檀	tʰaŋ2	
壇	tua ̃2	
壇	tʰaŋ2	文
彈	tʰaŋ2	
誕	taŋ5	
但	taŋ4	
彈	tua ̃6	白，~掉
蛋	tua ̃1	白
蛋	nəŋ4	俗，訓“卵”
蛋	taŋ5	
憚	taŋ4	
難	laŋ2	
難	laŋ6	又
蘭	laŋ2	
攔	laŋ2	
欄	laŋ2	
懶	laŋ3	
爛	nua6	
爛	laŋ4	文
贊	tsaŋ5	
餐	tsʰaŋ1	
燦	tsʰaŋ5	
殘	tsʰaŋ2	
珊	saŋ1	
散	sua ̃3	
傘	sua ̃5	
散	sua ̃5	
肝	kua ̃1	
竿	kɔ1	訓
竿	kua ̃1	
竿	kaŋ1	文
乾	kua ̃1	
乾	kaŋ1	文
杆	kua ̃1	
杆	kaŋ1	文
稈	kua ̃1	
稈	kaŋ3	文
擀	kaŋ3	
趕	kua ̃3	
幹	kaŋ5	
看	kʰua ̃5	
看	tʰɔi ̃3	又，訓“睇”
刊	kʰaŋ1	
侃	kʰaŋ3	
看	kʰaŋ1	
岸	ŋai4	
岸	hua ̃6	又
鼾	hua ̃2	
鼾	haŋ1	文
罕	haŋ3	
漢	haŋ5	
寒	kua ̃2	
寒	haŋ2	文
韓	haŋ2	
旱	ua ̃4	
汗	kua ̃6	
汗	haŋ3	文
汗	haŋ2	又
翰	haŋ2	
安	ua ̃1	
安	aŋ1	文
鞍	ua ̃1	
按	aŋ5	
案	ua ̃5	
案	aŋ5	
扮	puaŋ5	
扮	paŋ5	又
盼	pʰaŋ5	
瓣	pʰiaŋ5	
瓣	haʔ7	俗
辦	pʰɔi ̃6	
辦	pʰuɛ ̃	又，～公室
辦	paŋ6	文
綻	tɛŋ4	
盞	tsua ̃3	
鏟	tsʰaŋ3	
潺	tsʰaŋ2	
山	sua ̃1	
產	sua ̃3	
艱	kaŋ1	
間	kɔi ̃1	
間	kaŋ1	文
簡	kaŋ3	
揀	kɔi ̃3	
柬	kaŋ3	
間	kɔi ̃5	
眼	ɔi ̃3	白，龍~
眼	ŋaŋ3	
閑	ɔi ̃2	
限	haŋ4	
莧	hɔi ̃6	
班	paŋ1	
頒	paŋ1	
板	pɔi ̃3	白
板	paŋ3	
版	paŋ3	
攀	pʰaŋ1	
扳	paŋ3	
襻	pʰaŋ5	
蠻	maŋ2	
慢	maŋ6	
棧	tsaŋ5	
刪	saŋ1	
訕	saŋ5	
疝	saŋ5	
奸	kaŋ1	
姦	kaŋ3	
諫	kaŋ5	
顏	ŋuaŋ2	
顏	ŋaŋ2	又
顏	hia ̃2	又
雁	ŋaŋ4	
晏	ua ̃5	白
晏	aŋ5	
編	pʰiaŋ1	
鞭	piaŋ1	
變	pi ̃5	白
變	piaŋ5	
篇	pʰiaŋ1	
偏	pʰiaŋ1	
騙	pʰiaŋ5	
便	pʰi ̃1	
便	pʰiaŋ1	又
辨	piaŋ4	
辯	piaŋ4	
便	piaŋ4	
汴	piaŋ4	
綿	miaŋ2	
免	mɛŋ3	
勉	miaŋ5	
娩	miaŋ7	
緬	miaŋ2	
面	mɛŋ6	
麵	mi ̃6	
碾	tiaŋ3	
連	liaŋ2	
聯	liaŋ2	
輦	lɛŋ3	
煎	tsiaŋ1	
剪	tsiaŋ3	
箭	tsi ̃5	
濺	tsiaŋ1	
濺	tsiaŋ3	
遷	tsʰiaŋ1	
淺	tsʰiaŋ3	
錢	tsi ̃2	
踐	tsiaŋ3	
賤	tsua ̃6	
仙	siaŋ1	
鮮	tsʰi ̃1	
鮮	siaŋ3	
癬	siaŋ3	
線	sua ̃5	
涎	nua ̃4	俗
涎	iaŋ4	
羨	iaŋ4	
展	tiaŋ3	
纏	ti ̃2	
氈	tsi ̃1	
戰	tsiaŋ5	
顫	tsiaŋ5	
膻	tsiaŋ1	俗
膻	saŋ1	
扇	si ̃5	
扇	ia ̃4	训读
扇	siaŋ5	文
蟬	siaŋ2	
蟬	suŋ2	俗
禪	siaŋ2	
禪	siaŋ2	又
善	siaŋ4	
膳	siaŋ4	
擅	siaŋ4	
禪	siaŋ4	
然	dziaŋ2	
燃	hia ̃2	白
燃	dziaŋ2	
遣	tsʰiaŋ3	
乾	kʰiaŋ2	
虔	kʰiaŋ2	
件	kia ̃4	
諺	ŋaŋ4	
焉	iaŋ1	
延	iaŋ4	
筵	iaŋ4	
演	ɛŋ2	
建	kiaŋ4	
建	kiaŋ5	又，福~
鍵	kiaŋ4	
健	kia ̃6	白，輕~，肥壯大~
健	kiaŋ4	
腱	kiaŋ4	
言	ŋaŋ2	
軒	hŋ1	
掀	həŋ1	
掀	hiaŋ1	文
憲	hiaŋ5	
獻	hiaŋ5	
蔫	iaŋ1	
堰	iaŋ1	又
堰	iaŋ1	又
堰	iaŋ3	又
堰	iaŋ3	
邊	pi ̃1	白
邊	piaŋ1	
蝙	pʰiaŋ1	
蝙	piaŋ3	又
扁	pi ̃3	
扁	piaŋ3	文
匾	piaŋ3	
匾	pɛŋ3	
遍	pʰiaŋ5	
片	pʰi ̃5	白，一~門
片	pʰiaŋ5	
駢	pɛŋ4	
辮	pi ̃1	
眠	mɛŋ2	
面	mɛŋ6	
顛	tɛŋ1	白，~倒
顛	tiaŋ1	
典	tiaŋ3	
天	tʰi ̃1	
天	tʰiaŋ1	文
田	tʰiaŋ2	
田	tsʰaŋ2	俗
填	tʰiaŋ2	
電	tiaŋ4	
殿	tɔi ̃6	
殿	tiaŋ4	文
奠	tiaŋ4	
佃	tɔi ̃4	
佃	tʰiaŋ2	文
年	ni ̃2	
攆	lɛŋ3	
撚	niaŋ3	
撚	niaŋ5	又
憐	liaŋ2	
蓮	nɔi ̃2	
蓮	liaŋ2	文
練	liaŋ6	
煉	liaŋ6	
箋	tsiaŋ1	
薦	tsɛŋ5	
千	tsʰɔi ̃1	
前	tsɔi ̃2	
先	sɔi ̃1	
先	sɛŋ1	文，~生
肩	kɔi ̃1	
堅	kiaŋ1	
繭	kɔi ̃3	
見	ki ̃5	白
見	kiaŋ5	
牽	kʰaŋ1	
研	ŋɔi ̃3	白
研	ŋiaŋ3	
硯	i ̃6	
顯	hiaŋ3	
賢	hiaŋ2	
弦	hi ̃2	
現	hɛŋ6	
煙	ɛŋ1	
燕	i ̃5	
燕	iaŋ5	文，~窩
咽	ɛŋ1	
咽	iaŋ5	又
咽	iak7	又
宴	aŋ5	
獺	tʰuaʔ7	
達	tak7	
捺	nak8	
辣	luaʔ8	
辣	luaʔ7	又
辣	laʔ8	又
癩	tʰai3	俗
癩	nai4	
擦	tsʰak7	
撒	suaʔ7	
撒	sak7	文
薩	sak7	
割	kuaʔ7	
葛	kuaʔ7	
渴	kuaʔ7	
喝	huaʔ7	
曷	hak7	
八	pɔiʔ7	
八	paʔ7	文
拔	pɔiʔ8	
劄	tsak7	
紮	tsak7	
察	tsʰak7	
殺	suaʔ7	
軋	kʰɔiʔ7	
軋	iak7	又
軋	ak7	又
軋	tsak7	又
軋	kak7	又
鍘	tsak7	
瞎	hak7	
轄	kʰak7	
別	pak8	白，~儂
別	piak8	
憋	piʔ7	
鱉	piʔ7	
別	pak7	又，認識
滅	mɛk8	
列	liak8	
裂	liʔ8	
烈	liak8	
薛	siʔ7	
褻	siak7	
泄	siak8	
哲	tiak7	
徹	tʰiak7	
撤	tʰiak7	
轍	tʰiak7	
折	tsiʔ7	
浙	tsiak7	
舌	tsiʔ8	
設	siak7	
折	tsiʔ8	又
熱	dzuaʔ8	
熱	dziak8	文
孑	kʰiak7	
傑	kiak8	
孽	ŋiak8	
揭	kɛk7	又，~陽
揭	kiaʔ7	
竭	kiak8	
歇	hiaʔ7	
蠍	hiak7	
蠍	hak7	又
謁	hak7	
撇	pʰuaʔ7	
篾	biʔ7	
鐵	tʰiʔ7	
迭	tiak7	
跌	tiak8	
捏	niak8	
捏	niak7	又，~造
節	tsɔiʔ7	
節	tsak7	文
切	tsʰiak7	
截	tsɔiʔ8	
屑	siaʔ7	
結	kak7	
結	kiak7	又
潔	kiak7	
噎	ɛk7	
噎	i5	又
搬	pua ̃1	
般	pua ̃1	
半	pua ̃5	
絆	pʰuaŋ5	
潘	pʰua ̃1	
拚	pia ̃5	
判	pʰuaŋ5	
盤	pua ̃2	
盤	pʰuaŋ2	
伴	pʰua ̃4	
叛	puaŋ4	
瞞	mua ̃2	
饅	maŋ4	
滿	mua ̃3	
漫	buaŋ4	
漫	maŋ4	又
幔	buaŋ4	
端	tuaŋ1	
短	tɔ3	
斷	təŋ4	
斷	tuaŋ4	
斷	tuaŋ5	又
鍛	tuaŋ5	
團	tʰuaŋ2	
段	təŋ6	
段	tuaŋ4	文，姓氏
緞	təŋ6	
暖	luaŋ3	
暖	nuaŋ3	
鸞	luaŋ2	
卵	nəŋ4	
卵	laŋ4	又，男陰
卵	luaŋ3	文
亂	luaŋ4	
鑽	tsəŋ5	
鑽	nəŋ5	又
鑽	tsaŋ5	又
纂	tsʰuaŋ5	
竄	tsʰuaŋ5	
酸	səŋ1	
算	səŋ5	
算	suaŋ5	文
蒜	səŋ5	
官	kua ̃1	
觀	kuaŋ1	
冠	kuaŋ1	
管	kəŋ3	白，氣~
管	kuaŋ3	文
館	kuaŋ3	
冠	kuaŋ5	又
觀	kuaŋ5	
灌	kuaŋ5	
罐	kuaŋ5	
貫	kuaŋ5	
寬	kʰua ̃1	白，~~行
寬	kʰuaŋ1	文
款	kʰuaŋ3	
玩	ŋuaŋ3	
歡	hua ̃1	
歡	huaŋ1	文
喚	huaŋ5	
煥	huaŋ5	
桓	huaŋ2	
完	uaŋ1	
丸	i ̃2	訓“圓”
丸	uaŋ2	
紈	uaŋ2	
緩	huaŋ3	
皖	uaŋ3	
換	ua ̃6	
換	huaŋ5	
豌	uaŋ1	
碗	ua ̃3	
腕	uaŋ3	
鰥	kuaŋ1	
幻	huaŋ5	
篡	tsʰuaŋ5	
撰	tsuaŋ4	
閂	tsʰua ̃5	
拴	tsʰuaŋ2	
涮	suɛʔ7	俗
涮	suaŋ5	
關	kuɛ ̃1	白
關	kuaŋ1	
慣	kuaŋ5	
頑	ŋuaŋ3	
還	hua ̃1	
還	hai ̃2	又
還	hɔi ̃2	又
還	huaŋ2	文
環	huaŋ2	
患	huaŋ4	
宦	huaŋ4	
彎	uaŋ1	
灣	uaŋ1	
戀	luaŋ5	
痊	tsʰuaŋ2	
全	tsəŋ2	白
全	tsʰuaŋ2	
泉	tsua ̃2	
宣	suaŋ1	
選	suaŋ3	
旋	suaŋ2	
旋	tsəŋ6	白
旋	suaŋ6	
鏇	suaŋ6	
轉	təŋ3	白
轉	tsuaŋ3	又
轉	dzuaŋ3	又
傳	tʰuaŋ2	
椽	uaŋ2	
篆	tuaŋ4	
傳	təŋ6	
專	tsuaŋ1	
磚	tsəŋ1	
川	tsʰuaŋ1	
穿	tsʰəŋ1	
穿	tsʰɛŋ6	訓
穿	tsʰuaŋ1	文
喘	tsʰuaŋ3	
舛	tsʰuaŋ3	
串	tsʰuaŋ5	
船	tsuŋ2	
軟	nəŋ3	
卷	kəŋ3	
卷	kuaŋ3	文
卷	kuaŋ4	又
眷	kuaŋ5	
絹	kiaŋ1	
絹	kiaŋ5	又
圈	kʰuaŋ1	
圈	kʰɔu1	俗
權	kʰuaŋ2	
拳	kʰuŋ2	
鬈	kʰuaŋ2	
倦	kuaŋ4	
員	uaŋ2	
員	uŋ2	又
員	uŋ4	又，姓氏
