字	发音	声调	注释												
临	lieŋ	2													
淋	lieŋ	2													
琳	lieŋ	2													
粼	lieŋ	2													
嶙	lieŋ	2													
霖	lieŋ	2													
鳞	lieŋ	2													
麟	lieŋ	2													
〇	lieŋ	2													
伶	lieŋ	2													
灵	lieŋ	2													
铃	lieŋ	2													
凌	lieŋ	2													
陵	lieŋ	2													
绫	lieŋ	2													
零	lieŋ	2													
呤	lieŋ	2													
吝	lieŋ	4													
蔺	lieŋ	4													
躏	lieŋ	4													
另	lieŋ	4													
令	lieŋ	4													
刘	liəu	2													
留	liəu	2													
流	liəu	2													
馏	liəu	2													
榴	liəu	2													
瘤	liəu	2													
鎏	liəu	2													
浏	liəu	4													
溜	liəu	6													
柳	liəu	6													
遛	liəu	6													
良	liɛ	2													
凉	liɛ	2													
梁	liɛ	2													
粮	liɛ	2													
粱	liɛ	2													
量	liɛ	2	丈~												
谅	liɛ	6													
量	liɛ	6	数~												
晾	liɛ	6													
咯	lo	1													
啰	lo	1													
罗	lo	2													
萝	lo	2													
逻	lo	2													
锣	lo	2													
骡	lo	2													
螺	lo	2													
裸	lo	4													
赂	lo	6													
露	lo	6	用于人名												
摞	lo	6	一~儿												
漯	lo	7													
烙	lo	8													
酪	lo	8													
乐	lo	8													
洛	lo	8													
落	lo	8													
绿	lo	8													
婪	lø	2													
卢	lø	2													
庐	lø	2													
炉	lø	2													
颅	lø	2													
峦	lø	2													
孪	lø	2													
娈	lø	2													
栾	lø	2													
挛	lø	2													
鸾	lø	2													
脔	lø	2													
滦	lø	2													
銮	lø	2													
抡	lø	2													
仑	lø	2													
伦	lø	2													
囵	lø	2													
论	lø	2	~语												
卵	lø	4	~脬：阴茎												
乱	lø	6													
论	lø	6	~讲：论说												
率	lø	7	效~												
粒	lø	8													
略	lø	8													
龙	loŋ	2													
咙	loŋ	2													
珑	loŋ	2													
栊	loŋ	2													
胧	loŋ	2													
砻	loŋ	2													
聋	loŋ	2													
笼	loŋ	2	文读 灯~												
隆	loŋ	2													
窿	loŋ	2													
陇	loŋ	4													
拢	loŋ	4													
垄	loŋ	4													
弄	loŋ	6													
漉	lu	1													
撸	lu	4													
卤	lu	4													
虏	lu	4													
掳	lu	4													
鲁	lu	4													
陆	lu	8													
录	lu	8													
鹿	lu	8													
禄	lu	8													
碌	lu	8													
辘	lu	8													
戮	lu	8													
褛	ly	2													
榈	ly	4													
吕	ly	4													
侣	ly	4													
旅	ly	4													
屡	ly	4													
履	ly	4													
路	ly	6													
潞	ly	6													
璐	ly	6													
鹭	ly	6													
滤	ly	6													
律	ly	8													
撩	lyə	2													
辽	lyə	2													
疗	lyə	2													
聊	lyə	2													
僚	lyə	2													
寥	lyə	2													
嘹	lyə	2													
寮	lyə	2													
缭	lyə	2													
燎	lyə	2													
龙	lyə	2	白读 ~船												
笼	lyə	2													
了	lyə	3													
料	lyə	6													
廖	lyə	6													
镣	lyə	6													
掠	lyə	8													
某	m̩	4													
毋	m̩	4													
母	m̩	6													
呣	m̩	8													
姆	m̩	8	细~：小孩，尤是小男孩												
妈	ma	1													
嘛	ma	2	喇~												
埋	ma	2													
霾	ma	2													
蛮	ma	2													
买	ma	4													
骂	ma	6													
迈	ma	6													
卖	ma	6													
曼	ma	6													
谩	ma	6													
蔓	ma	6													
漫	ma	6													
慢	ma	6													
万	ma	6													
麦	ma	8													
脉	ma	8													
娒	mai	1	小孩												
玫	mai	2													
枚	mai	2													
莓	mai	2													
梅	mai	2													
媒	mai	2													
煤	mai	2													
禖	mai	2													
酶	mai	2													
霉	mai	2													
浼	mai	4													
妹	mai	6													
昧	mai	6													
寐	mai	6													
魅	mai	6													
面	mai	6	后~												
面	mai	8	白读 后~												
墨	mai	8													
闷	maŋ	1													
门	maŋ	2													
扪	maŋ	2													
钔	maŋ	2													
们	maŋ	2													
明	maŋ	2	~朝：明天												
忘	maŋ	2	白读 ~记												
闻	maŋ	2													
闷	maŋ	6													
焖	maŋ	6													
蚊	maŋ	6													
问	maŋ	6	白读												
冇	mau	4													
牤	mɔ	2													
邙	mɔ	2													
芒	mɔ	2													
忙	mɔ	2													
盲	mɔ	2													
氓	mɔ	2													
茫	mɔ	2													
矛	mɔ	2	~盾												
虻	mɔ	2													
萌	mɔ	2													
莽	mɔ	4													
漭	mɔ	4													
蟒	mɔ	4													
卯	mɔ	4													
昴	mɔ	4													
铆	mɔ	4													
猛	mɔ	4													
网	mɔ	4													
罔	mɔ	4													
惘	mɔ	4													
辋	mɔ	4													
魍	mɔ	4													
孟	mɔ	6													
袜	mɔ	8													
□	mə	1	□diəu11~：妓女，疑作“㛒媌”或“鸟毛”讹传，温州各地都较常用，可用作对其他人尤其是女性的侮辱性称呼，常可看作是“□diəu11~个儿”的简称												
猫	mə	1													
媌	mə	1													
毛	mə	2													
牦	mə	2													
旄	mə	2													
酕	mə	2													
锚	mə	2													
髦	mə	2													
蟊	mə	2													
芼	mə	2													
楙	mə	2													
愗	mə	2	“无好”合音，坏、差												
懋	mə	2													
牟	mə	2													
眸	mə	2													
谋	mə	2													
牡	mə	4													
茂	mə	6													
冒	mə	6													
贸	mə	6													
耄	mə	6													
袤	mə	6													
帽	mə	6													
媢	mə	6													
瑁	mə	6													
貌	mə	6													
摸	mə	7													
默	mə	8													
牧	mə	8													
乜	mɛ	8	文读 斜视												
咪	mi	1													
眯	mi	1													
眉	mi	2													
嵋	mi	2													
湄	mi	2													
弥	mi	2													
迷	mi	2													
猕	mi	2													
醚	mi	2													
糜	mi	2													
縻	mi	2													
麋	mi	2													
美	mi	4													
祢	mi	4													
靡	mi	4													
米	mi	4													
芈	mi	4													
弭	mi	4													
尾	mi	4													
媚	mi	6													
未	mi	6													
味	mi	6													
觅	mi	8													
密	mi	8													
幂	mi	8													
谧	mi	8													
蜜	mi	8													
咩	mie	1													
眠	mie	2													
绵	mie	2													
棉	mie	2													
免	mie	3													
沔	mie	3													
勉	mie	3													
娩	mie	3													
冕	mie	3													
渑	mie	3													
湎	mie	3													
愐	mie	3													
缅	mie	3													
面	mie	6													
面	mie	8													
灭	mie	8													
蔑	mie	8													
篾	mie	8													
民	mieŋ	2													
泯	mieŋ	2													
闽	mieŋ	2													
名	mieŋ	2													
明	mieŋ	2													
鸣	mieŋ	2													
铭	mieŋ	2													
命	mieŋ	4													
瞑	mieŋ	6													
嬷	mo	1	对于大龄妇女的统称，相当于“姑姑”，常指父亲的姐妹，也可见叔伯之妻												
哞	mo	1													
无	mo	1	南~阿弥陀佛												
麻	mo	2													
蟆	mo	2													
摹	mo	2													
模	mo	2													
摩	mo	2													
磨	mo	2													
蘑	mo	2													
魔	mo	2													
马	mo	4													
码	mo	4													
磨	mo	6	琢~												
摸	mo	7	~牌												
膜	mo	7													
莫	mo	7													
漠	mo	7													
寞	mo	8													
物	mo	8	~食：零食												
馒	mø	2													
瞒	mø	2													
鳗	mø	2													
满	mø	4													
幔	mø	6													
懑	mø	6													
没	mø	8													
抹	mø	8	文读 ~杀												
末	mø	8													
茉	mø	8													
沫	mø	8													
陌	mø	8													
秣	mø	8													
物	mø	8	~事：事物												
雾	mø	8													
蒙	moŋ	2													
盟	moŋ	2													
懞	moŋ	2													
朦	moŋ	2													
懵	moŋ	2													
蠓	moŋ	2	蚰~：青蟹												
蒙	moŋ	4													
梦	moŋ	6													
姆	mu	3													
姥	mu	4	天~												
牡	mu	4	~蛎												
拇	mu	4													
暮	mu	4													
募	mu	6													
墓	mu	6													
慕	mu	6													
戊	mu	6													
目	mu	8													
沐	mu	8													
幕	mu	8													
睦	mu	8													
穆	mu	8													
亩	my	4													
牧	my	8													
喵	myə	1													
苗	myə	2													
描	myə	2													
秒	myə	4													
渺	myə	4													
藐	myə	4													
妙	myə	6													
庙	myə	6													
谬	myə	6													
缪	myə	6													
邈	myə	7													
那	na	1	白读 訾~：怎么												
奶	na	1	阿~												
南	na	1	~无阿弥陀佛												
妳	na	1	母亲，碓~：他妈的												
拿	na	2													
难	na	2													
喃	na	2													
女	na	2	白读 ~儿												
哪	na	4													
乃	na	4													
奶	na	4													
那	na	6	文读												
纳	na	6	~入												
奈	na	6													
难	na	6													
呐	na	8													
挼	nai	2													
馁	nai	4													
腇	nai	4													
内	nai	6													
恁	naŋ	2	~界：现在												
能	naŋ	2													
侬	naŋ	2													
人	naŋ	2	白读												
暖	naŋ	4	白读 ~纷纷：温暖宜人												
嫩	naŋ	6	白读												
囔	nɔ	1													
囊	nɔ	2													
馕	nɔ	2													
曩	nɔ	2	以前												
挠	nɔ	2													
铙	nɔ	2													
□	nɔ	4	把嘴塞满												
淖	nɔ	6													
日	ne	8	白读												
孬	nə	1	~种												
猱	nə	2													
恼	nə	4													
脑	nə	4													
瑙	nə	4													
闹	nə	6													
槈	nə	6													
耨	nə	6													
捺	nə	8													
人	nɛ	2	白读 糖~儿												
奴	no	2													
傩	no	2													
努	no	4													
弩	no	4													
懦	no	6													
糯	no	6													
搙	no	8													
诺	no	8													
喏	no	8	语气词，类似于“你看”												
锘	no	8													
男	nø	2													
南	nø	2													
楠	nø	2													
腩	nø	4													
暖	nø	4													
嫩	nø	6													
懦	nø	6													
糯	nø	6													
讷	nø	8													
农	noŋ	2													
浓	noŋ	2	文读												
脓	noŋ	2													
挪	nu	2													
怒	nu	6													
呢	ȵi	2	~喃												
尼	ȵi	2													
霓	ȵi	2													
年	ȵi	2													
仪	ȵi	2													
宜	ȵi	2	~居												
疑	ȵi	2													
鱼	ȵi	2													
你	ȵi	4													
旎	ȵi	4													
染	ȵi	4													
睨	ȵi	6													
腻	ȵi	6													
义	ȵi	6													
艺	ȵi	6													
议	ȵi	6													
呓	ȵi	6													
谊	ȵi	6													
毅	ȵi	6													
艾	ȵi	8													
逆	ȵi	8													
匿	ȵi	8													
溺	ȵi	8													
捻	ȵi	8													
业	ȵi	8													
饶	ȵia	2	地名：上~												
尧	ȵia	2													
袅	ȵia	4													
攘	ȵia	4													
垚	ȵia	4													
让	ȵia	6													
溺	ȵia	8													
捻	ȵia	8													
捏	ȵia	8													
涅	ȵia	8													
若	ȵia	8													
箬	ȵia	8													
泥	ȵiai	2													
昵	ȵiai	8													
臬	ȵiai	8													
日	ȵiai	8	白读 生~												
入	ȵiai	8	白读												
人	ȵiaŋ	2	白读 老~客：对陌生妇女的统称或出嫁多年女性的谦称，可泛指“老板娘”等含义，一定语境下可以抛弃性别向												
任	ȵiaŋ	2	姓氏												
忍	ȵiaŋ	4													
任	ȵiaŋ	4	白读												
刃	ȵiaŋ	6													
仞	ȵiaŋ	6													
韧	ȵiaŋ	6													
妞	ȵiau	1													
扭	ȵiau	2	拧												
扭	ȵiau	4													
狃	ȵiau	4	~宕：哪里												
忸	ȵiau	4													
纽	ȵiau	4													
钮	ȵiau	4													
拗	ȵiau	5	执~												
孃	ȵie	1	对于妇女的统称，相当于“阿姨”，常指母亲的姐妹												
焉	ȵie	1													
鲶	ȵie	2													
黏	ȵie	2													
严	ȵie	2													
言	ȵie	2													
妍	ȵie	2													
研	ȵie	2													
粘	ȵie	2													
碾	ȵie	4													
辇	ȵie	6													
撵	ȵie	6													
廿	ȵie	6													
念	ȵie	6													
唸	ȵie	6													
乜	ȵie	8	何~：什么												
苶	ȵie	8	精神萎靡												
聂	ȵie	8													
镊	ȵie	8													
孽	ȵie	8													
热	ȵie	8													
肉	ȵiəu	8													
娘	ȵiɛ	1													
娘	ȵiɛ	2													
鸟	ȵiɛ	4	文读 天主~												
仰	ȵiɛ	4													
酿	ȵiɛ	6													
鱼	ȵy	2													
禺	ȵy	2													
娱	ȵy	2													
渔	ȵy	2													
隅	ȵy	2													
虞	ȵy	2													
愚	ȵy	2													
原	ȵy	2													
源	ȵy	2													
乳	ȵy	4													
语	ȵy	4													
语	ȵy	6	~曰												
芋	ȵy	6													
遇	ȵy	6													
寓	ȵy	6													
豫	ȵy	6													
院	ȵy	6	白读 ~主人：女孩												
愿	ȵy	6													
月	ȵy	8													
浓	ȵyɔ	2													
豻	ȵye	2													
囡	ȵye	2	~~猪：小猪，特别是小母猪，也可以泛指家猪												
女	ȵye	2													
玩	ȵye	2	~具												
元	ȵye	2													
沅	ȵye	2													
圆	ȵye	2	大写“元”												
阮	ȵye	4													
软	ȵye	4													
蕤	ȵye	4													
蕊	ȵye	6	花~												
御	ȵye	6													
御	ȵye	6													
疟	ȵye	8													
虐	ȵye	8													
嬲	ȵyə	4													
尿	ȵyə	8	文读 ~素												
玉	ȵyo	8	~米												
狱	ȵyo	8													
俄	ŋ̍	2													
娥	ŋ̍	2													
蛾	ŋ̍	2													
儿	ŋ̍	2													
而	ŋ̍	2													
吾	ŋ̍	2													
吴	ŋ̍	2													
吴	ŋ̍	2													
梧	ŋ̍	2													
宜	ŋ̍	2													
鱼	ŋ̍	2													
龉	ŋ̍	2													
哦	ŋ̍	3													
忤	ŋ̍	3													
尔	ŋ̍	4													
耳	ŋ̍	4													
我	ŋ̍	4													
五	ŋ̍	4													
五	ŋ̍	4													
午	ŋ̍	4													
午	ŋ̍	4													
伍	ŋ̍	4													
伍	ŋ̍	4													
忤	ŋ̍	4													
二	ŋ̍	6													
嗯	ŋ̍	6													
唔	ŋ̍	6													
误	ŋ̍	6													
悟	ŋ̍	6													
晤	ŋ̍	6													
寤	ŋ̍	6													
癌	ŋa	2													
呀	ŋa	2													
岩	ŋa	2													
颜	ŋa	2													
眼	ŋa	4													
咬	ŋa	4													
蚁	ŋa	4	白读 虎~：蚂蚁												
外	ŋa	6													
雁	ŋa	6													
巍	ŋai	2													
嵬	ŋai	2													
隗	ŋai	2													
饿	ŋai	6													
魏	ŋai	6													
牛	ŋau	2													
偶	ŋau	4													
耦	ŋau	4													
藕	ŋau	4													
卬	ŋɔ	2													
昂	ŋɔ	2													
咬	ŋɔ	4													
呆	ŋe	2													
俨	ŋe	4													
演	ŋe	4													
蚁	ŋe	4													
厌	ŋe	5													
捱	ŋe	6	拖迟												
耐	ŋe	6													
彦	ŋe	6													
宴	ŋe	6													
谚	ŋe	6													
赝	ŋe	6													
碍	ŋe	8													
敖	ŋə	2													
遨	ŋə	2													
嗷	ŋə	2													
獒	ŋə	2													
熬	ŋə	2													
聱	ŋə	2													
螯	ŋə	2													
翱	ŋə	2													
鳌	ŋə	2													
傲	ŋə	2													
㠂	ŋə	4													
鏊	ŋə	6													
硬	ŋɛ	6													
讹	ŋo	2													
鹅	ŋo	2													
牙	ŋo	2													
伢	ŋo	2													
芽	ŋo	2													
岈	ŋo	2													
蚜	ŋo	2													
崖	ŋo	2													
涯	ŋo	2													
睚	ŋo	2													
衙	ŋo	2													
衙	ŋo	2													
瓦	ŋo	4													
佤	ŋo	4													
雅	ŋo	4													
卧	ŋo	6													
讶	ŋo	6													
鄂	ŋo	8													
萼	ŋo	8													
愕	ŋo	8													
腭	ŋo	8													
鹗	ŋo	8													
锷	ŋo	8													
颚	ŋo	8													
噩	ŋo	8													
鳄	ŋo	8													
乐	ŋo	8													
岳	ŋo	8													
顽	ŋua	2													
阿	o	1	~弥陀佛												
婀	o	1													
洼	o	1													
娲	o	1													
蛙	o	1													
娃	o	1													
挝	o	1	地名：老~												
丫	o	1	文读												
鸦	o	1													
恶	o	3	~心												
哑	o	3	~佬：失语者												
龌	o	5													
下	o	5	白读 一~儿：一小会儿												
恶	o	7	~魔												
挖	o	7													
喔	o	7													
沃	o	7													
幄	o	7													
渥	o	7													
吓	o	7													
庵	ø	1													
鹌	ø	1													
鞍	ø	1													
恩	ø	1													
黯	ø	3													
按	ø	5													
案	ø	5													
暗	ø	5													
哕	ø	5													
遏	ø	7													
曷	ø	7													
褐	ø	7													
翁	oŋ	1													
嗡	oŋ	1													
滃	oŋ	1													
䐥	oŋ	3													
瓮	oŋ	5													
齆	oŋ	5													
□	pa	1	搬移												
爸	pa	1													
扳	pa	1													
班	pa	1													
颁	pa	1													
斑	pa	1													
粄	pa	1													
摆	pa	3													
板	pa	3													
版	pa	3													
反	pa	3	白读												
□	pa	5	鞋~												
拜	pa	5													
扮	pa	5													
□	pa	7	形容人用心不好												
百	pa	7													
柏	pa	7													
伯	pa	7													
□	pai	1	～落：拿着												
杯	pai	1													
卑	pai	1													
悲	pai	1													
碑	pai	1													
背	pai	1	拿												
贝	pai	5													
狈	pai	5													
背	pai	5	~靠												
钡	pai	5													
辈	pai	5													
褙	pai	5													
钚	pai	5													
北	pai	7													
不	pai	7	文读 ~速之客												
奔	paŋ	1													
贲	paŋ	1													
锛	paŋ	1													
本	paŋ	3													
畚	paŋ	3													
泵	paŋ	5													
粪	paŋ	5	~扫：垃圾												
邦	pɔ	1													
帮	pɔ	1													
梆	pɔ	1													
包	pɔ	1													
苞	pɔ	1													
孢	pɔ	1													
胞	pɔ	1													
褒	pɔ	1													
龅	pɔ	2													
雹	pɔ	2													
绑	pɔ	3													
榜	pɔ	3													
饱	pɔ	3													
谤	pɔ	5													
趵	pɔ	5													
豹	pɔ	5													
宝	pə	3													
保	pə	3													
鸨	pə	3													
褓	pə	3													
报	pə	5													
□	pɛ	1	拿取；获得												
攀	pʰa	1													
□	pʰa	5	以人力断开												
湃	pʰa	5													
破	pʰa	5	白读												
盼	pʰa	6													
拍	pʰa	7													
魄	pʰa	7													
呸	pʰai	1													
胚	pʰai	1													
坯	pʰai	1													
沛	pʰai	5													
配	pʰai	5	菜，~~：配菜；用菜配												
霈	pʰai	5													
喷	pʰaŋ	1													
喷	pʰaŋ	5	~香												
滂	pʰɔ	1													
抛	pʰɔ	1													
剖	pʰɔ	1													
膀	pʰɔ	3	翅~												
髈	pʰɔ	3													
胖	pʰɔ	5													
炮	pʰɔ	5	白读 ~击												
脬	pʰɔ	7	卵~：阴茎												
㯱	pʰə	1													
泡	pʰə	1													
烹	pʰə	1													
朴	pʰə	1	~刀												
跑	pʰə	3													
炮	pʰə	3	~制												
泡	pʰə	5													
炮	pʰə	5	象棋子名；大~												
丕	pʰi	1													
批	pʰi	1													
披	pʰi	1													
砒	pʰi	1													
譬	pʰi	3													
屁	pʰi	5													
批	pʰi	7													
劈	pʰi	7													
匹	pʰi	7													
癖	pʰi	7													
辟	pʰi	7													
僻	pʰi	7													
偏	pʰie	1													
篇	pʰie	1													
翩	pʰie	1													
片	pʰie	1													
片	pʰie	5													
骗	pʰie	5													
撇	pʰie	7													
瞥	pʰie	7													
俜	pʰieŋ	1													
娉	pʰieŋ	1													
品	pʰieŋ	3													
聘	pʰieŋ	5													
葩	pʰo	1													
扑	pʰo	1													
踣	pʰo	5													
怕	pʰo	5													
帕	pʰo	7													
朴	pʰo	7	~树												
乓	pʰoŋ	1													
怦	pʰoŋ	1													
砰	pʰoŋ	1													
捧	pʰoŋ	3													
碰	pʰoŋ	5													
坡	pʰu	1													
颇	pʰu	1													
仆	pʰu	1	前~后继												
铺	pʰu	1	~床												
叵	pʰu	3													
浦	pʰu	3													
普	pʰu	3													
溥	pʰu	3													
破	pʰu	5	文读												
铺	pʰu	5	铁匠~												
仆	pʰu	7	~射												
剽	pʰyə	1													
缥	pʰyə	3													
瞟	pʰyə	3													
漂	pʰyə	3													
骠	pʰyə	5													
票	pʰyə	5													
僄	pʰyə	5													
漂	pʰyə	5													
屄	pi	1													
匕	pi	3													
比	pi	3													
彼	pi	3													
鄙	pi	3													
闭	pi	5													
庇	pi	5													
蔽	pi	5													
臂	pi	5													
逼	pi	7													
笔	pi	7													
必	pi	7													
毕	pi	7													
愎	pi	7													
碧	pi	7													
壁	pi	7													
璧	pi	7													
泌	pi	7													
秘	pi	7													
边	pie	1													
砭	pie	1													
编	pie	1													
鞭	pie	1													
贬	pie	3													
扁	pie	3													
变	pie	5													
遍	pie	5													
宾	pieŋ	1													
彬	pieŋ	1													
斌	pieŋ	1													
缤	pieŋ	1													
濒	pieŋ	1													
冰	pieŋ	1													
丙	pieŋ	3													
秉	pieŋ	3													
饼	pieŋ	3													
禀	pieŋ	3													
巴	po	1													
扒	po	1													
芭	po	1													
疤	po	1													
笆	po	1													
钯	po	1													
吧	po	1													
把	po	3													
霸	po	3													
把	po	5	握~												
靶	po	5													
坝	po	5													
爆	po	5	~鸣												
八	po	7													
鲅	po	7													
薄	po	7	细达~肉：皮肤红润有光泽，富有生气												
剥	po	7													
伯	po	7	文读 ~仲叔季												
般	pø	1													
搬	pø	1													
半	pø	5													
拨	pø	7													
钵	pø	7	衣~												
崩	poŋ	1													
绷	poŋ	1													
弸	poŋ	1													
嘣	poŋ	5													
波	pu	1													
玻	pu	1													
菠	pu	1													
播	pu	1	~种												
逋	pu	1													
堡	pu	3													
跛	pu	3	~脚												
晡	pu	3													
补	pu	3													
圃	pu	3													
谱	pu	3													
播	pu	5	~送												
簸	pu	5	~箕												
布	pu	5													
怖	pu	5													
卜	pu	7													
标	pyə	1													
彪	pyə	1													
骠	pyə	1													
膘	pyə	1													
飙	pyə	1													
镖	pyə	1													
表	pyə	3													
婊	pyə	3													
裱	pyə	3													
搽	sa	1	~嘴唇												
三	sa	1													
筛	sa	1													
山	sa	1													
杉	sa	1													
删	sa	1													
衫	sa	1													
洒	sa	3													
伞	sa	3													
散	sa	3													
驶	sa	3													
散	sa	5													
晒	sa	5													
汕	sa	5													
疝	sa	5													
帅	sa	5													
率	sa	7	~领												
萨	sa	7													
杀	sa	7													
煞	sa	7													
摔	sa	7													
栅	sa	7													
狮	sai	1													
衰	sai	1													
髓	sai	3													
琐	sai	3	白读 小												
细	sai	3	小												
小	sai	3	白读												
谇	sai	5													
碎	sai	5													
睟	sai	5													
邃	sai	5													
婿	sai	5	白读 ~儿：对比较亲近的非血缘后辈的称呼，有一定调侃意味												
醉	sai	5													
隧	sai	6													
失	sai	7													
湿	sai	7													
祟	sai	7													
参	saŋ	1	人~												
森	saŋ	1													
僧	saŋ	1													
申	saŋ	1													
伸	saŋ	1													
身	saŋ	1													
呻	saŋ	1													
绅	saŋ	1													
娠	saŋ	1													
深	saŋ	1													
升	saŋ	1													
声	saŋ	1													
心	saŋ	1													
辛	saŋ	1													
新	saŋ	1													
薪	saŋ	1													
沈	saŋ	3													
审	saŋ	3													
哂	saŋ	3													
婶	saŋ	3													
渗	saŋ	5													
讯	saŋ	5													
汛	saŋ	5													
迅	saŋ	5													
搜	sau	1													
嗖	sau	1													
馊	sau	1													
溲	sau	1													
飕	sau	1													
艘	sau	1													
叟	sau	3													
瞍	sau	3													
嗾	sau	3													
擞	sau	3													
薮	sau	3													
瘦	sau	5													
漱	sau	5													
嗽	sau	5													
桑	sɔ	1													
丧	sɔ	1													
刹	sɔ	1	~车												
搡	sɔ	3													
嗓	sɔ	3													
磉	sɔ	3													
耍	sɔ	3													
爽	sɔ	3													
丧	sɔ	5													
塞	se	5													
世	se	5													
细	se	5	~姆：小孩，特别是小男孩												
塞	se	7	~住												
赛	se	7													
色	se	7													
涩	se	7													
啬	se	7													
瑟	se	7													
骚	sə	1													
扫	sə	3	~地												
嫂	sə	3													
燥	sə	3													
臊	sə	5													
扫	sə	5	~把												
埽	sə	5													
舍	sə	5													
噪	sə	5	聒~												
生	sɛ	1													
牲	sɛ	1													
笙	sɛ	1													
甥	sɛ	1													
沙	so	1													
纱	so	1													
砂	so	1													
莎	so	1													
裟	so	1													
鲨	so	1													
唆	so	1													
娑	so	1													
洒	so	3	白读 ~水车												
所	so	3													
琐	so	3													
锁	so	3	~匙：钥匙												
肃	so	7													
速	so	7													
涑	so	7													
宿	so	7													
缩	so	7													
索	so	7													
闩	sø	1													
苏	sø	1													
酥	sø	1													
稣	sø	1													
狻	sø	1													
酸	sø	1													
孙	sø	1													
荪	sø	1													
狲	sø	1													
飧	sø	1													
蓑	sø	1													
须	sø	1													
数	sø	3	清点												
损	sø	3													
数	sø	5	白读 ~目												
诉	sø	5													
算	sø	5													
逊	sø	5													
刷	sø	7													
玊	sø	7													
松	soŋ	1													
淞	soŋ	1													
嵩	soŋ	1													
宋	soŋ	5													
送	soŋ	5													
腮	sɿ	1													
尸	sɿ	1													
师	sɿ	1													
诗	sɿ	1													
施	sɿ	1													
司	sɿ	1													
丝	sɿ	1													
私	sɿ	1													
思	sɿ	1													
斯	sɿ	1													
厮	sɿ	1													
撕	sɿ	1													
嘶	sɿ	1													
西	sɿ	1													
史	sɿ	3													
矢	sɿ	3													
使	sɿ	3													
始	sɿ	3													
死	sɿ	3													
赐	sɿ	5													
势	sɿ	5													
试	sɿ	5													
四	sɿ	5													
肆	sɿ	5													
失	sɿ	7	丢~												
虱	sɿ	7													
识	sɿ	7													
式	sɿ	7													
饰	sɿ	7													
拭	sɿ	7													
适	sɿ	7													
室	sɿ	7	~内												
轼	sɿ	7													
释	sɿ	7													
媳	sɿ	7													
数	su	5	~学												
素	su	5	~面：一种与线面类似但会比线面粗的本地面食，亦作“索面”												
愫	su	5													
束	su	7	结~												
谡	su	7													
丹	ta	1													
担	ta	1													
单	ta	1													
眈	ta	1													
耽	ta	1													
郸	ta	1													
聃	ta	1													
歹	ta	3													
傣	ta	3													
胆	ta	3													
带	ta	5													
戴	ta	5													
旦	ta	5													
诞	ta	5													
搭	ta	7													
答	ta	7													
堆	tai	1													
碓	tai	1	~妳：他妈的												
对	tai	5													
兑	tai	5	白读												
灯	taŋ	1													
登	taŋ	1													
蹲	taŋ	1	白读 ~下												
等	taŋ	3													
丼	taŋ	3	水坑												
凳	taŋ	5													
瞪	taŋ	5													
炖	taŋ	5													
顿	taŋ	5													
兜	tau	1													
篼	tau	1													
抖	tau	3													
陡	tau	3													
蚪	tau	3													
斗	tau	3	方~												
斗	tau	5	战~												
当	tɔ	1	~家												
铛	tɔ	1	白读												
裆	tɔ	1													
噹	tɔ	1													
挡	tɔ	3													
党	tɔ	3													
档	tɔ	3													
当	tɔ	5	家~												
□	tɔ	7	敲门												
车	tɕʰi	1	水~												
妻	tɕʰi	1													
栖	tɕʰi	1													
凄	tɕʰi	1													
萋	tɕʰi	1													
蹊	tɕʰi	1													
溪	tɕʰi	1													
榽	tɕʰi	1													
扯	tɕʰi	3													
岂	tɕʰi	3													
杞	tɕʰi	3													
启	tɕʰi	3													
起	tɕʰi	3													
芡	tɕʰi	3													
鼠	tɕʰi	3													
气	tɕʰi	5													
弃	tɕʰi	5													
契	tɕʰi	5													
器	tɕʰi	5													
欠	tɕʰi	5													
茜	tɕʰi	5													
吃	tɕʰi	7													
尺	tɕʰi	7													
斥	tɕʰi	7													
赤	tɕʰi	7													
揭	tɕʰi	7	~开												
戚	tɕʰi	7													
乞	tɕʰi	7													
膝	tɕʰi	7													
咤	tɕʰia	5													
却	tɕʰia	7													
却	tɕʰia	7													
雀	tɕʰia	7													
鹊	tɕʰia	7													
隙	tɕʰia	7													
缉	tɕʰiai	7													
楫	tɕʰiai	7													
辑	tɕʰiai	7													
讫	tɕʰiai	7													
迄	tɕʰiai	7													
泣	tɕʰiai	7													
钦	tɕʰiaŋ	1													
庆	tɕʰiaŋ	5													
丘	tɕʰiau	1													
邱	tɕʰiau	1													
蚯	tɕʰiau	1													
千	tɕʰie	1													
仟	tɕʰie	1													
阡	tɕʰie	1													
芊	tɕʰie	1													
迁	tɕʰie	1													
牵	tɕʰie	1													
谦	tɕʰie	1													
签	tɕʰie	1													
骞	tɕʰie	1													
搴	tɕʰie	1													
溪	tɕʰie	1													
跹	tɕʰie	1													
谄	tɕʰie	3													
阐	tɕʰie	3													
浅	tɕʰie	3													
遣	tɕʰie	3													
谴	tɕʰie	3													
缱	tɕʰie	3													
慊	tɕʰie	3													
歉	tɕʰie	3													
且	tɕʰie	3													
砌	tɕʰie	5													
倩	tɕʰie	5													
倩	tɕʰie	5													
蒨	tɕʰie	5													
掣	tɕʰie	7													
葺	tɕʰie	7													
切	tɕʰie	7													
妾	tɕʰie	7													
怯	tɕʰie	7													
窃	tɕʰie	7													
挈	tɕʰie	7													
惬	tɕʰie	7													
