字	发音	声调	注释												
茕	dʑioŋ	2													
琼	dʑioŋ	2													
裙	dʑioŋ	2													
群	dʑioŋ	2													
盾	dʑioŋ	4													
窘	dʑioŋ	4													
菌	dʑioŋ	4													
郡	dʑioŋ	6													
仲	dʑioŋ	6													
茶	dzo	2													
查	dzo	2													
乍	dzo	6													
苲	dzo	7													
杂	dzo	8	白读 ~食(少见)												
煠	dzo	8	油炸												
炸	dzo	8	白读 ~物												
椊	dzø	8													
池	dzɿ	2													
驰	dzɿ	2													
迟	dzɿ	2													
持	dzɿ	2													
豸	dzɿ	4													
稚	dzɿ	4													
忌	dzɿ	6													
治	dzɿ	6													
滞	dzɿ	6													
彘	dzɿ	6													
雉	dzɿ	6													
自	dzɿ	6	白读 ~个：自己												
湜	dzɿ	8													
直	dzɿ	8													
值	dzɿ	8													
埴	dzɿ	8													
植	dzɿ	8													
殖	dzɿ	8													
掷	dzɿ	8													
除	dʑy	2	~法												
躇	dʑy	2													
储	dʑy	2													
垂	dʑy	2													
搥	dʑy	2													
槌	dʑy	2													
渠	dʑy	2	文读 ~道												
瞿	dʑy	2													
衢	dʑy	2													
龋	dʑy	2													
褚	dʑy	4													
捶	dʑy	4													
矩	dʑy	4													
巨	dʑy	4													
拒	dʑy	4													
炬	dʑy	4													
距	dʑy	4													
聚	dʑy	4	中派音												
贮	dʑy	4													
柱	dʑy	4													
具	dʑy	6													
惧	dʑy	6													
住	dʑy	6													
坠	dʑy	6													
镯	dʑy	8													
狂	dʑyɔ	2													
诳	dʑyɔ	2	~语												
重	dʑyɔ	2													
幢	dʑyɔ	6													
共	dʑyɔ	6													
重	dʑyɔ	6													
状	dʑyɔ	6	~元												
撞	dʑyɔ	6													
传	dʑye	2													
锤	dʑye	2													
拳	dʑye	2													
传	dʑye	4													
椽	dʑye	4													
篆	dʑye	4													
栫	dʑye	6	堵塞												
倦	dʑye	6													
剧	dʑye	8													
拙	dʑye	8													
朝	dʑyə	2													
嘲	dʑyə	2													
潮	dʑyə	2													
乔	dʑyə	2													
侨	dʑyə	2													
荞	dʑyə	2													
桥	dʑyə	2													
憔	dʑyə	2													
憔	dʑyə	2													
樵	dʑyə	2													
翘	dʑyə	4													
兆	dʑyə	4													
赵	dʑyə	4													
肇	dʑyə	4													
轿	dʑyə	6													
召	dʑyə	6													
棹	dʑyə	6													
辙	dʑyə	8													
着	dʑyə	8	~火												
蜀	dʑyo	8													
浊	dʑyo	8													
擢	dʑyo	8													
濯	dʑyo	8													
哎	e	1													
哀	e	1													
埃	e	1													
挨	e	1													
爱	e	5													
暧	e	5													
