字	音	注释
灯	təŋ35	气~；煤油~；点~；吹~
蜡	la31	
烛	ʦuo33	蜡~
煤	məi33	~油灯
油	iou33	煤~灯；桐~灯；~条；~豆腐；板~；落生~；茶~；菜籽~；酱~；~麻酱
灯	təŋ53	~心；~罩；桐油~；~草；~油；~笼
桐	tyŋ53	~油灯
笼	lyɯ33	灯~
钱	tɕin33	~包
□	səi33	~tsan35：图章
章	tsan35	
望	uaŋ35	~远镜
远	iuan33	望~镜
镜	kiŋ53	望远~
浆	ʨiaŋ35	~糊
糊	fu4	浆~
针	tsən35	顶~；打~；别~
线	ɕin53	
坨	tuo35	线~
针	tsən53	~眼；~尖；穿~
眼	nan33	针~；~睛；~圈；~珠；白~□；黑~□；~泪；~屎；~皮；~眉；单双~皮；~睫毛；扭~眉；片~；区区~；鼓~睛；斗鸡~；~洞；~镜；~睛乱□；□~流
尖	ʨin35	
穿	tsʰuan53	
锥	ny53	
掏	tou33	
耳	ni31	掏~□
□	pəi35	tou33ni31~：耳挖子
搓	ʦʰuo35	
裳	saŋ35	衣~棒；衣~；长~
棒	paŋ53	
砰	pʰəŋ35	
锤	tʰui24	砰砰~
刷	sua35	
□	ɕiŋ53	~：扇子；tai53pʰəŋ33~：蒲扇
蒲	pʰəŋ33	
拐	kuai33	~棍；~子；~脚；左手~
棍	kun53	拐~
解	kəi33	~手纸
纸	tsi33	解手~
男	nuan35	~人
女	nuəi33	~人；~□
家	ka53	小~伙；岳丈~；老姐~
伙	fə33	小家~
男	nuan53	~□
老	lu53	~大人；~板；小~婆；~表哥；收~婆；~天爷
鬼	kui33	
城	tsʰəŋ4	~市人
市	ɕi35	城~人
乡	ɕiaŋ53	~下人
人	nian33	乡下~
客	xəi35	~
同	tyŋ35	老~
内	nəi35	~行；以~
行	ɕaŋ35	内~
外	uai35	~行；以~
行	xaŋ35	外~
中	kai35	~间人
间	sao35	中~人
单	tan33	~身□；~双眼皮；~据；~车；发~
身	sən35	单~□；围~布；量~材；侧~睡
□	kiŋ35	tan33sən35~：单身汉
女	nui33	老~；~客
童	tuŋ33	
养	iaŋ33	童~媳
媳	ɕi33	童养~
崽	ni35	
犯	fan53	~人
暴	pao35	~发户
发	fa33	暴~户；~热；~凉；~面；~请帖；~票；~单
户	fu53	
紧	kin35	~
败	pai4	
家	ka35	败~□；管~；~公；~婆；兄弟~；姐妹~；亲~；亲~母；妹~；男~；外婆~；成~；相~；人~；大~；□侄~
叫	kao53	
花	xa33	叫~子
跑	pao33	~江湖的；~龙套
江	kiaŋ33	跑~湖的
湖	fu33	
的	ti33	
骗	pʰin53	
匪	fei33	
强	tɕiaŋ33	
贼	tsə35	强~
贼	tsə24	~
做	zuo53	~事
事	səi35	做~；喜~；白喜~
工	koŋ35	
人	niɛn35	工~
请	tɕiŋ33	~人
人	niɛn24	请~
长	tiaŋ35	~工
短	tuan33	~工；~衣；~裤；做~命事
临	liŋ24	~时工
时	si24	临~工
农	noŋ35	
民	min31	
做	tsuo53	~生意；~生日
生	səŋ33	做~意；~小人；~意淡；小~；武~
意	i53	做生~；生~好
伙	fo33	~计；打~
计	ɕi35	伙~
徒	tu24	
弟	təi33	徒~；老~；老~嫂；堂兄~；堂老~
顾	ku35	
客	kə4	顾~
□	ni53	~tan33fan35：小贩、摊贩；~pin53：小襟；tsʰoŋ31~：从小
摊	tan33	□~贩
贩	fan35	
师	səi35	老~
学	xə24	~生
生	səŋ35	学~；医~；接~婆；请医~；落~油；~盐；落~糖；接~；夹~；~意好；先生学~
同	toŋ53	~学
学	xə35	同~；放~；先生~生
朋	pʰəŋ53	
友	iou33	
兵	pən35	~
警	kiŋ33	
察	tsʰa24	
医	i35	~生
师	sə35	~傅
傅	fu53	师~
艺	i33	
人	nin24	手艺~；男~；女~；~家
木	mə4	~匠佬
匠	ʨʰiaŋ53	木~佬
佬	lu33	木匠~；铁匠~；补锅~；杀猪~；结巴~
泥	nəi33	~水匠
匠	tɕʰaŋ53	泥水~
铁	ti54	~匠佬
匠	tɕiaŋ54	铁~佬
补	pu33	
锅	kuo33	补~佬
剃	ti53	~头匠
匠	tɕiaŋ33	剃头~
杀	sa33	~猪佬；~猪
搬	pan35	
运	iun53	搬~工
挑	tiao35	~夫
夫	fu35	
道	tao53	~扳
扳	pan35	
抬	təi24	~轿夫
轿	ʨiu53	抬~夫
撑	suan33	~船
船	ti33	撑~
傅	fu33	师~
奶	nai33	~娘；~
女	ny33	~下人；□~；~；曾孙~；~人；嫁~
丫	a35	~头
接	ʨi53	
婆	po35	接生~；~；收老~；两公~
和	xuo33	~尚
尚	səŋ35	
尼	ni24	
姑	ku35	尼~；~爷；~婆
□	səi54	~koŋ35lu33：道士
前	ʨʰin24	~辈；门~
辈	pəi53	
太	tai31	
外	məi33	~公；~婆
婆	po24	家~；姑~；姨外~；公~；小老~
爷	iɛ24	~；姑~；姨~
伯	pʰə35	~伯；伯~
满	man53	小~；~叔；~姨；~姑老大嫂
婶	sən33	小~
满	man33	~；~指甲
衿	kiɛn33	
姨	i35	
外	məi35	姨~婆
平	pʰəŋ35	~般
般	pan35	
伯	pə24	大~伯；大伯~
叔	suo33	
姐	tai31	~
妹	məi53	~；哥~俩
□	tsʰao31	~kuo35：内兄；~ti35：内弟
哥	kuo35	□~；~；堂~；表~；~妹俩
弟	ti35	□~；表~
兄	fən53	~弟家
弟	təi53	兄~家
姐	tsəi33	~妹家
妹	məi33	姐~家；~家
嫂	su33	
□	tai35	~：姐姐；piu33~：表姐
姐	ʨuɛ33	~夫
妹	mei31	~；~夫
堂	taŋ35	~兄弟；~哥；~老弟；~□；~大姐；拜~
兄	fən33	堂~弟；~弟家
□	tai31	taŋ35~：堂姊妹
姐	ʨiɛ33	堂大~；表~妹
堂	tuaŋ35	~妹
妹	məi35	堂~；新□~
表	piu33	老~哥；~嫂；~姐妹；~□；~妹；手~
哥	ka35	老表~
表	piao33	~哥
表	Piu33	~弟
妹	məi31	表姐~；表~
晚	uan35	~辈
□	ni33	~ny33：子女；~tou33mən35：奔儿头；suaŋ354pao35~：双胞胎
□	man53	~ni35：小儿子；~tsʰə35ka35：叔侄俩
收	sou33	~养□；~老婆；~账
养	iaŋ35	收~□
婶	sən54	~妇
妇	fu33	
郎	luan35	
孙	sən35	~□；~媳妇；孝~
媳	sən33	孙~妇
曾	tsən53	~孙
孙	sun35	曾~；曾~女
曾	tsəŋ53	~孙女
外	məi53	~甥；~婆家
甥	səŋ35	外~
侄	tsʰə35	~□；~女；娘~俩；□~家
女	ny35	侄~
内	nəi53	~侄
侄	tsʰi35	内~
□	lao53	~i31：连襟
衣	i31	□~
亲	tsʰən53	~家；~家母；~戚
母	mu35	亲家~
戚	ʨʰiɛ53	
行	ɕiaŋ53	~亲；~街
亲	ʦʰin33	行~
带	təi53	~养□；鞋~；~孝
养	ioŋ33	带~□
男	nan24	~人；~家
婆	po33	外~家
岳	iou53	
丈	tsaŋ31	
身	səŋ35	~体
体	təi33	
身	sən53	~材
材	ʦʰai31	身~
门	mən35	□头~；车~前；山~前；~前
光	uaŋ35	~头
颈	təŋ33	头~
颈	kən33	~；后~窝窝；□~；~圈；吊~
后	hou53	~颈窝窝
少	sao35	~白发；~檐帽
白	nian24	少~发
发	pə35	少白~
落	pə31	~头发
发	fa53	落头~；鬓~；披~
热	ni53	~头门
囟	sən35	
鬓	pən53	
辫	pʰin53	
子	tsəi33	辫~；起鸡痱~；麻~面；牛舌~；猪舌~；梳辫~；摆架~；摆摊~；秤星~；写稿~；转□~；抬杠~；椅~上
粑	pa33	
披	pʰəi53	
骨	ku33	面~子；~灰盒
子	tsi33	面骨~
骨	kuo33	面~；□□~；小~头；肋~；背梁~；~头；猪肋~
酒	ʨiao33	~窝；~糟鼻孔；~□；白~；白糯~；交杯~；□~；劝~
睛	tsiŋ35	眼~；鼓眼~
圈	ʨʰuan35	眼~
珠	tsu35	
白	pəi24	~眼□
□	uən24	pəi24nan33~：白眼珠儿；xə33nan33~：黑眼珠儿
眼	nan53	~窝头
泪	ləi33	
屎	ɕi33	眼~；牙齿~；耳~；烟~；□~
皮	piə35	眼~；单双眼~
眉	məi35	眼~
双	suaŋ33	单~眼皮
睫	tsa53	
扭	niu33	~眼眉
眉	məi24	扭眼~
窟	xoŋ33	
窿	loŋ53	鼻窟~；耳朵~
涕	təi53	鼻~；鼻~脓
脓	noŋ24	鼻涕~；好~
鼻	pə24	~毛
糟	tsu33	
孔	xoŋ33	
嘴	ʦu33	~巴
巴	pa35	嘴~；□嘴~
嘴	tsu33	~□□
□	toŋ33	tsu33~pʰəi35：嘴唇儿；~kiɛ35：下棋
□	pʰəi35	tsu33toŋ33~：嘴唇儿
口	xuo33	~水
溅	tsʰan33	
流	lui31	~口水
舌	sɿ31	~子；大~□
□	kən35	tai31sɿ31~：大舌头
牙	na24	~齿；门~；大~；虎~；~齿屎；虫~
齿	ʦʰi33	牙~屎；牙~□
牙	na33	~齿□；半~子
□	nyə35	na33ʦʰi33~：牙床
虫	tʰoŋ33	~牙
耳	ni33	~朵；~背；~朵窿；~屎；~□；木~；白木~；□~朵
朵	tuo53	耳~；耳~窿
背	pəi53	耳~；~心；~后
巴	səi35	下~
喉	xou31	
咙	loŋ24	
结	ʨiɛ24	喉~
胡	fu31	~须；~椒粉
须	sui24	胡~
络	lao53	
腮	sai33	
胡	fu24	络腮~
长	tiaŋ31	~胡须；~袖子；~袜；~命锁
须	sui35	长胡~；刮胡~；挂~
背	pə31	~□
□	nan33	pə31~：肩膀
□	in31	~ʦʰao35kuo33：肩胛骨
□	ʦʰao35	in31~kuo33：肩胛骨
膀	paŋ33	
弯	uan35	
胳	kai33	
肢	ʦʰi33	
窝	uo24	胳肢~
曲	ɕy35	
左	tsu53	~手；~边
右	iou33	~手
节	ʨi4	
指	ʨi33	手~缝；中间~；~甲；满~甲；剪~甲
缝	fəŋ35	手指~
指	ʨi4	手~公
中	tsoŋ33	~间指
间	nan33	中~指
甲	ka33	指~；满指~
拳	ʨun33	~头□
头	toʊ33	拳~□
□	ku33	ʨun33toʊ33~：拳头；pan33~pi53ku35：打屁股
巴	pa33	~掌；结~佬
掌	tsaŋ35	巴~
背	pəi31	手~面
面	min35	手背~
腿	tui33	大~
骨	kou33	脚~
脚	ʨiao33	~筒管；~腕；~背面；~板；~板心；~尖；~趾头；~趾甲；~板尾；~印
筒	toŋ33	脚~管
膝	sə24	
骨	kui31	膝头~
屁	pi33	~股□
股	ku35	屁~□；板、□屁~
□	pəŋ35	pi33ku35~：胯骨
尾	məi33	~□骨
□	ʨiao33	məi33~kuo35：尾骨
骨	kuo35	尾□~
腕	uan24	
背	pʰəi31	脚~面
心	sɛn35	脚板~
趾	ʨi33	
甲	ka53	脚趾~
尾	soŋ35	脚板~
印	in53	
眼	ɕi35	鸡~睛
睛	nan33	鸡眼~
心	sən53	~口；~肚
胸	pə33	
前	ʨi33	胸~口
肋	lə31	~骨
肚	tu31	~；泻~；~痛；~饥
腰	iou35	~；水蛇~；伸~
背	pʰəi53	~板；~梁骨
梁	liaŋ33	背~骨
圈	ʦʰuan33	头~
双	suaŋ53	~
□	niu24	~tsʰuan33：双旋儿
手	siy33	~圈
箩	luo24	
扫	sao24	~箕
寒	kuan31	~毛
记	ʨi31	
筋	kiɛ35	~
血	xu53	~
脉	məi31	~
肝	kuan35	
肺	fəi53	~
胆	tan33	
脾	pʰi31	
脏	tsaŋ35	
腰	iou31	~子；打~鼓
□	tsʰa53	~tiaŋ35：盲肠
□	tiaŋ35	tsʰa53~：盲肠
病	pʰəŋ35	有~；小~；重~
重	tioŋ33	~病
病	pʰəŋ31	~好了；就~
好	uəi35	病~了；生意~；运气~；誊~；长得~
请	ʦʰən33	~医生
医	i33	请~生
就	ʨiu53	~病
把	pa33	~脉；梳把~头
脉	mə35	把~
开	xəi33	~药单；~铺
药	iou35	开~单；捡~；~引子；~□；□~；敷~
偏	pʰiu53	~方
方	fəŋ35	偏~
捡	ʨian33	~药
引	in33	
□	pu35	iou35~：药罐子；~iou35：煎药
药	iɛ35	~膏；~粉；~膏布
膏	kao35	
搽	tsa33	
药	iou53	搽~
敷	ʦʰə31	
消	ɕiu53	
去	xui53	~湿；出~了；擦~；行~门口；一起~；~
湿	sə33	
□	su35	~tə24：去毒
毒	tə24	
食	sə24	消~
打	ta53	~针
□	lu33	~fo33kuan53：拔火罐
罐	kuan53	
泻	ɕiə53	
热	ni35	发~
痱	fei33	起鸡~子
气	ɕi53	~喘；火~冲上；运~好；怄~；憋~；发~
喘	tsʰuan33	
冲	tsʰoŋ35	
上	saŋ33	火气冲~；~坟；~面；以~
积	ki33	~滞
滞	ɕi53	
痛	toŋ53	肚~；心口~；心~
心	sən33	~口痛；~痛
晕	uən35	头~
晕	xun54	~车
车	ʨiɛ35	晕~；火~；汽~；客~；货~；路~；轿~；摩托~；单~；独把~
晕	fən53	~船
船	suan35	晕~；~；~篷；渔~；轮~；过渡~
痛	ton53	头~
□	tʰa35	~ioŋ33：恶心
□	ioŋ33	tʰa35~：恶心
吐	tu53	
打	ta33	~摆子；~扮；~胎；~补丁；~汤；拷~；~伙；~转行
摆	pai35	打~子
出	ʦʰə31	~坨
坨	tuo31	出~；种~
伤	saŋ33	~寒
寒	xa31	伤~
痨	lu35	
病	pʰən33	痨~
□	pə31	~səŋ35：跌伤；sui33~：钢笔
伤	səŋ35	□~
擦	tsʰa33	~破皮；~身；~去
破	pʰəŋ53	擦~皮
皮	pəi35	擦破~；~鞋；~帽；焦~；豆腐~；~
剌	la53	
破	pəŋ53	剌~
出	tsə31	~血
血	xu33	出~；鸡~；猪~
淤	y54	
血	xi33	淤~
红	xyŋ33	~肿
肿	tsyŋ35	
溃	tui35	
脓	nyŋ35	溃~
结	ʨiɛ31	~疤
疤	pa35	
生	səŋ53	~褥；~疔；~日；做~日
褥	ru53	
疔	tʰiŋ35	
痔	tsi35	
疮	tsʰuaŋ33	
疥	kai53	
癣	ɕuan33	
痱	fəi33	~子
子	ʨəi33	痱~
汗	xuan35	~□
□	lo35	xuan35~：汗斑
痣	tsi35	
□	tsʰəi53	ʨiao33~：粉刺
雀	ʨʰiao31	
斑	pan35	
狐	fu35	
臭	tsʰou35	狐~；口~
口	xo35	~臭
□	pʰɔ33	~kən33：大脖子
□	pə33	~xoŋ33sə35：齉鼻儿
□	xoŋ33	pə33~sə35：齉鼻儿
蛇	xiə35	水~腰
鸭	ᴀ33	~公嗓
公	kyŋ33	鸭~嗓
嗓	səŋ35	
片	pin53	~眼；~衣；□~；肉~
区	ʨʰy33	
鼓	ku33	
斗	tou35	~鸡眼
羊	iŋ35	发~癫
癫	tin35	
半	pan35	~面风
面	min53	半~风；~
风	fəŋ53	半面~
背	pəi33	□~；~课；~地
聋	lyŋ53	
哑	ᴀ33	
结	ʨiɛ35	~巴佬
瞎	xa33	
木	məŋ31	~□
拐	kuai53	~手
光	kuoŋ35	~头佬
头	pan33	光~佬
佬	lao33	光头~
麻	ma33	~子；~子面；油~酱；~将
半	pa33	~嘴
嘴	ʦui33	半~
半	pa35	~牙子
六	liao53	
指	tsəi33	六~□
□	ma35	liao53tsəi33~：六指儿
左	ʦu53	~手拐
手	sou53	左~拐
衣	i53	~着
着	tiɛ33	衣~
扮	pan53	
制	ʨi35	
服	fu35	制~；舒~
长	tiaŋ53	~裳
褂	kua53	
旗	ʨi35	
袍	pao33	
皮	pəi33	~衣
长	tiaŋ33	~衣
衬	tsʰən53	
汗	xuan33	~衣
领	ləŋ53	~子
襟	kiɛn53	
对	tui53	~襟；~刀；~铳；~；~着
摆	pai33	~□；~架子；~摊子
□	suan53	~ʨiu31：袖子
袖	ʨiu31	□~
袖	suan53	长~子；短~子
子	ʨiu31	长袖~；短袖~
短	tun33	~袖子
裙	kun35	
裤	fu53	~；短~；□□~；□头~；~□；~头；~筒
单	tan53	~裤
裤	fu35	单~；除脚~
除	ʦʰy35	~脚裤
□	pa35	~sən35fu53：开裆裤；~səi33：香烟
□	sən35	pa35~fu53：开裆裤
□	luan53	~tou33fu53：死裆裤
□	niaŋ33	fu53~：裤裆
筒	tiɛ35	裤~
袋	təi31	
扣	kou31	~
襻	pʰan53	
洞	toŋ53	
鞋	xai35	~；拖~；棉~；皮~；布~；~底；~帮；水~；板板~；~带；脱~；做~样
拖	tip35	~鞋
底	təi33	鞋~；纳鞋~
帮	pəŋ35	鞋~
袜	ma31	
□	sa33	~ma31：线袜
丝	si33	~袜
短	tuan31	~袜
带	təi35	袜~
裹	kuo35	
绑	paŋ31	~腿
腿	tui35	绑~
帽	mu53	
礼	ləi33	
檐	in33	少~帽
兵	pəm53	~帽
笠	lə35	
檐	in35	帽~
镯	ʦʰuo35	
戒	kai33	
指	ʦi33	戒~
圈	ʨuan33	颈~
命	min33	长~锁
锁	suo33	长命~
别	pi53	
□	niaŋ53	ni33~：耳环
胭	ian33	
脂	ʨi33	
围	uəi33	~身布
□	ka35	xou33sui33~：围嘴儿；tsʰa35ti53~：差点儿
绢	ʨian35	
围	uəi53	~领巾
领	liŋ53	围~巾
巾	ʨin35	
套	tu53	手~；笔~
镜	tən53	眼~
伞	san53	~
蓑	suo33	
吃	ɕi53	~饭①；~零食
饭	fan33	吃~①；~熟了
食	ɕi33	~物
物	u35	食~
蛋	tan35	~糕；炒鸡~；荷包~；摊水~；炸~；芙蓉~；□~；咸鸡~；咸鸭~
糕	kao35	
宵	su33	
夜	ia53	宵~
米	məi33	大~饭
饭	fan31	大米~；新~
□	xəŋ33	~fan53：剩饭
□	fan53	xəŋ33~：剩饭
新	ɕin53	~饭
焦	ʨiu33	~
□	tsu35	~liao33：饭馊了
焦	ʨiu35	~皮
粥	tsuo33	
米	məi53	~汤；~浆；~粉
汤	tuan35	米~；打~；□~
浆	ʨiaŋ53	米~
粽	tsoŋ33	
馒	man33	~头
包	pao53	~子
条	tiao35	油~
饼	piŋ53	油~
花	xua33	~卷
卷	ʨuan33	花~
馄	xun53	
饨	tun33	
汤	taŋ33	~圆
圆	ian31	汤~
月	y33	~饼
饼	pən33	月~
饼	piŋ33	~干
干	kan35	饼~
肉	nin33	~丁；~片；~丝；~皮；里脊~
丁	tən35	肉~
丝	səi35	肉~；烟~
皮	pʰəi35	肉~
猪	toɛ33	~蹄
蹄	təi35	猪~
里	ləi33	~脊肉；肚~
蹄	ʨiɛ33	~筋
筋	ʨin35	蹄~
牛	niu35	~舌子；~肚
舌	səi35	牛~子；猪~子
□	fu53	xa33~：下水
肺	fəi33	猪~
肠	tiaŋ35	
肋	lə33	猪~骨
毛	mao35	~肚
肚	tu35	毛~
腰	iou53	猪~子
子	tsəi31	猪腰~
鸡	kəi35	~下水；~肫；~血；炒~蛋；咸~蛋
肫	sən53	
炒	tsʰao33	
荷	xuo35	
包	pao33	荷~蛋；纸~糖
摊	tuan35	~水蛋
炸	ʦa31	
芙	fu33	
蓉	ioŋ31	
□	pʰəi33	~tan35：松花蛋
咸	xan35	~鸡蛋；~鸭蛋；~
鸭	ᴀ35	咸~蛋
□	foŋ35	~tiaŋ35：香肠
菜	tsʰai31	~；素~；荤~；咸~；青~
素	su53	
荤	xən35	
咸	xan53	~菜
青	ʦʰə33	~菜
腐	fu31	
竹	ʦu33	腐~
脑	nu33	
浆	ʨiŋ35	豆~
□	y33	tou33fu31~：豆腐乳
绿	lia33	~豆粉
凉	liaŋ33	~粉
豉	ɕi33	
芡	ʨiɛn33	
白	pʰəi31	~木耳；~糖；~酒；~糯酒；~喜事；~
米	mi33	~粉菌
菌	kun33	米粉~
味	məi33	~道；没得口~
道	tu33	味~
气	xi53	~味
味	məi31	气~
颜	ian53	
色	sə53	颜~；古铜~
落	luo31	~生油；~生糖
茶	tsʰa33	~油；~馆
菜	ʦʰai53	~籽油
籽	tsəi33	
盐	in35	~；生~；细~
细	ɕi53	
酱	ʨiaŋ53	
豆	tou53	~酱
辣	la35	~椒酱
椒	ʨiu33	辣~酱；胡~粉
醋	ʦʰu53	
黄	uŋ35	~糖
冰	pən35	
纸	ʦi35	~包糖
麦	mə35	~芽糖
芽	ŋa35	
配	pʰəi53	
料	liu31	配~
个	ko33	八~
桂	kui35	
皮	pi33	桂~
烟	in35	~；~叶；~丝；旱~；烤~；水~筒；~筒锅；~盒；~屎；~灰；吸~；~火
丝	səi33	□~
旱	xuan31	~烟
烤	kao53	
筒	toŋ35	水烟~
筒	toŋ53	烟~锅；纸媒~
锅	kou35	烟筒~
盒	xu33	烟~
灰	fəi35	烟~；骨~盒
纸	ʨo33	~媒筒
媒	məi33	
茶	tsʰa35	~；~叶；筛~；倒~
开	xəi53	~水；~销
倒	tu53	~茶
糯	nuo31	白~酒
喜	ɕi33	
看	ʦʰui53	~人；~□□；~手相
人	nin35	看~；~情；读书~；单~旁；躲~；一个~
长	tsaŋ33	~相
相	xiaŋ53	长~
年	nian53	~纪
纪	ʨiɛ53	
过	kuo53	~定；~水；~堂；~渡船
定	tən31	过~；一~
嫁	ka53	
出	tsʰə31	~嫁；~葬；~去了
成	səŋ33	
轿	ʨiu33	花~
拜	pai33	~堂
新	sən35	~郎；~□妹；~房
□	ta53	sən35~məi35：新娘
交	kao31	~杯酒
杯	pʰəi35	交~酒
回	uei35	
改	kai33	
怀	nan33	~孕了
孕	y35	
了	lə33	怀孕~；睡着~；出去~；归家~；枪□~；不送~；□着~；懂~；会~
□	kuai35	y35fu33~：孕妇
□	fan33	~：小产
□	tə33	~：生孩子
胎	tei35	~盘
盘	pʰən33	胎~
坐	tsʰuo33	~□
□	i53	tsʰuo33~：坐月子
月	i53	满~
胎	təi35	头~
双	suaŋ354	~胞□
胞	pao35	
胎	təo35	打~
吃	ɕiɛ33	~奶
奶	ʨi35	吃~
拉	la33	
日	iɛ35	生~；做生~
祝	tsuo53	
寿	sou31	祝~
吊	tiu31	~祭
祭	ʨi33	
死	səi33	
瓮	uo35	大~
进	niɛ31	
棺	kuaŋ35	
灵	lən35	~堂；守~
佛	fə35	
守	sou33	
做	tsʰuo33	~七
七	ia31	
孝	xao53	带~
烧	su53	
麻	ma35	烧~
孝	ɕiao35	~子；~孙
子	tsi53	孝~
葬	tsuan53	
送	soŋ53	~葬；~礼；~客
丧	tsaŋ33	
棍	kuan33	丧~
钱	ʨin33	~纸
纸	ʨʰin33	钱~
坟	fən53	~地；~□
地	təi33	坟~；~下；背~
□	sə31	fən53~：坟墓；~ʨiao33：斟酒
碑	pəi35	
坟	fən35	上~
自	tsʰəi31	
杀	sa35	自~
投	tiu53	
吊	tiu53	~颈
尸	səi35	
盒	xuo35	骨灰~
天	tin31	老~爷
爷	iɛ33	老天~
灶	tsao55	~煮神
煮	tsu53	灶~神
神	sən35	
□	ɕiɛ35	~koŋ33：菩萨
□	koŋ33	ɕiɛ35~：菩萨；tian53~：也许
观	kuan33	
音	i33	
老	lao33	观音~母；满姑~大嫂
母	mu53	观音老~
地	təi35	土~庙
庙	min33	土地~
城	tsʰəŋ33	~隍庙
隍	uaŋ33	
庙	miu53	城隍~
闫	in33	
王	uaŋ33	
爷	iɛ35	闫王~；俩~
祠	tsʰəi35	
堂	toŋ35	祠~
柜	kui35	香~
供	koŋ53	~
烛	ʨiu33	蜡~台；大蜡~
台	təi35	蜡烛~；戏~
炉	lu33	香~□
□	pu53	ɕiaŋ35lu33~：香炉；~tsʰə31：告诉
香	ɕiaŋ33	烧~
抽	ʨiu33	~签
签	ʨin35	
算	suan53	~八字
八	pa35	算~字
字	tsʰəi33	算八~
□	liŋ35	~koŋ33ʨiə35：庙会
公	koŋ33	□~□；~路
□	ʨiə35	liŋ35koŋ33~：庙会
道	tao35	~场
场	tsʰaŋ33	
念	nian33	
经	kən35	
□	təi31	ʦʰui53~təi33：看风水
□	təi33	ʦʰui53təi31~：看风水
算	suan33	~命
命	mən33	算~；~令
相	ɕiaŋ53	看手~；~信
□	ian35	~pʰo33：巫婆
婆	pʰo33	□~
跳	tiu33	~神
许	ɕy33	
愿	nun33	
还	xuan31	~愿
□	tiɛ33	~i35saŋ53：穿衣服
裳	saŋ53	□衣~；脱衣~；洗衣~；过衣~；晒衣~；晾干衣~
脱	tuo33	
量	liaŋ33	
材	tsʰai35	量身~
□	luan31	~i35saŋ53：做衣服
花	fa33	~；放~炮；~面；~旦
滚	kun33	~边
边	pin35	滚~；□~；边~上；左~；右~
□	ʨiu33	~pin35：缲边儿
做	tsuo33	~鞋样；~活路；~客；不~声；~短命事
样	iaŋ53	做鞋~；为哪~；哪~
纳	na31	
鞋	xai24	纳~底
钉	təŋ33	~扣
扣	kou33	钉~
绣	ɕiao33	
丁	təŋ35	打补~
被	pʰəi33	钉~
洗	ɕi33	~衣裳；~身
过	kuo33	~衣裳；面转~去；难~
晒	sai53	~衣裳
晾	luan54	
生	su31	~火
煮	ʨiu54	~□
□	tiu35	ʨiu54~：做饭
□	ia35	~：做饭
□	tsʰa33	~məi33：淘米
□	məi33	tsʰa33~：淘米；~məŋ35：末名
和	xu31	~面
揣	tuan33	
擀	kuan33	
蒸	tsəŋ33	
馒	mao33	蒸~头
□	ʨue35	~：择菜
□	lə53	~tsʰai53：择菜
□	tsʰai53	lə53~：择菜
熟	sou33	
夹	ka33	~生；~菜
吃	ɕi33	~饭
舀	iou33	
□	tou53	~tuan35：舀汤
零	ləŋ33	吃~食
食	sə35	吃零~；~杂店
捏	ny53	
箸	tui31	捏~
□	niɛ53	~：肉不烂；~pu33toŋ33：嚼不动
不	pu33	□~动；~倒翁；差~多
动	toŋ33	
噎	i53	
着	ʨiɛ33	噎~；仰~睡；趴~睡；□~了；对~；顺~；跟~
胀	tiaŋ53	
住	ʨiɛ33	
没	niao33	~得口味
得	tə33	
□	liao33	~ɕi33tsʰa35：喝茶
□	ɕi33	liao33~tsʰa35：喝茶
□	tsʰa35	liao33ɕi33~：喝茶
□	suo33	~ʨiu33：喝酒
吸	ɕi31	
饥	ʨi33	
起	ɕi53	~床
床	suan35	起~；铺~
洗	ɕiɛ33	~手；~面
漱	su53	
梳	su35	~头；~辫子；~把把头
把	pa35	梳~把头
剪	ʨin33	~指甲
甲	ka35	剪指~
□	lou35	~ni33tuo33：掏耳朵
朵	tuo33	□耳~；单耳~
身	liaŋ35	洗~；擦~
□	uo33	~ɕi33：大便
乘	səŋ35	
凉	liaŋ31	乘~
晒	sai54	~日头火
□	tsʰə53	~fo33：烤火
点	tin33	~灯；一~；~头
吹	ʦʰui53	
歇	ɕiɛ33	
一	iɛ31	歇~下；~台菜；~起去；~个人；~起
下	xa35	歇一~；想一~；地~；床底~；楼底~；脚底~
困	tiɛ35	
了	lə35	困~；想起来~
铺	pu33	~床
睡	sui53	~着；仰着~；趴着~
着	tiɛ35	睡~；睡~了；睡不~；遇~
睡	sui54	~着了；~不着
打	ʨʰiɛ33	~呼
呼	fu35	
不	pə33	睡~着；□~起
仰	niaŋ33	
侧	ʦʰə35	
睡	sui33	侧身~
趴	pʰə33	
抽	tsʰou55	~筋
筋	kiɛn35	抽~
睡	sui35	~梦
梦	məŋ33	睡~；讲~话
讲	kaŋ33	~梦话；~；~话
话	ua31	讲梦~
梦	məŋ35	~游
游	iou35	梦~；仰~；□~
熬	ŋu33	
夜	ia35	熬~
开	xəi35	~夜车；从现在~始
车	tsʰə35	开夜~
活	xuo33	
上	tsʰə31	~工
收	sou54	~工
归	kui35	
家	ləi35	归~了
散	san35	
步	pu35	
布	pʰu31	~状
状	tsʰuan35	
原	iuan31	
告	kao35	
被	pi54	~告
传	ʦuan53	~纸
纸	ʨi33	传~
坐	ʦʰuo33	~堂
退	tui33	~堂
证	tsən35	
人	in33	~证
物	u33	~证
对	təi33	~质
质	ʨi35	
家	ka33	~常事
常	tsʰaŋ35	
事	səi31	家常~；不顶~
代	təi53	~本
本	pə33	代~
服	fə35	~；不~
