字	声母	韵母	调值	调类	备注
無	b	ɐu	55	阳平	
焦	ts	iu	55	阳平	
煎	ts	in	33	阴平	
煑	ts	u	13	上声	
照	ts	iu	213	阴去	
煩	f	an	55	阳平	
煮	ts	u	13	上声	
煼	tsʰ	a	13	上声	
熊	h	oŋ	11	阳去	
熟	s	iok	53	阳入	
熬	ŋ	au	55	阳平	
熱	ts	uaʔ	53	阳入	
燈	t	ieŋ	33	阴平	
燭	ts	ok	21	阴入	
爌	kʰ	ɔŋ	33	阴平	
爐	l	ɔ	55	阳平	
爛	n	ua	11	阳去	
爤	n	ua	11	阳去	
爬	p	ɐi	55	阳平	
爭	ts	ai	33	阴平	
爵	ts	iɔk	21	阴入	
父	f	u	33	阴平	
爽	s	ɔŋ	13	上声	
牀	tsʰ	ou	55	阳平	
牆	tsʰ	iu	55	阳平	
片	pʰ	in	33	阴平	
牋	ts	in	55	阳平	
牌	p	ɐi	55	阳平	
牎	tsʰ	iɔŋ	33	阴平	
牐	ts	aʔ	53	阳入	
牙	ŋ	ɐi	55	阳平	
牛	ŋ	u	55	阳平	
牢	l	ɔ	11	阳去	
牧	m	ok	53	阳入	
物	m	aiʔ	53	阳入	
牵	h	in	33	阴平	
特	t	ɐt	21	阴入	
牽	h	in	33	阴平	
状	ts	ɔŋ	33	阴平	
狀	ts	ɔŋ	33	阴平	
狂	kʰ	ɔŋ	55	阳平	
狗	k	au	13	上声	
独	t	ok	21	阴入	
狮	s	u	33	阴平	
猪	t	u	33	阴平	
猫	m	ai	33	阴平	
献	h	in	213	阴去	
獅	s	u	33	阴平	
獨	t	ok	21	阴入	
獵	l	ip	21	阴入	
獸	s	ɐu	33	阴平	
獻	h	in	213	阴去	
玅	m	iau	213	阴去	
玺	s	ɐi	13	上声	
珊	s	an	55	阳平	
珤	p	ou	13	上声	
班	p	an	33	阴平	
琴	kʰ	iam	55	阳平	
瑞	s	oi	33	阴平	
璧	p	ek	53	阳入	
璽	s	ɐi	13	上声	
瓜	k	ua	33	阴平	
瓣	p	ai	55	阳平	
瓤	n	ou	55	阳平	
瓷	tsʰ	i	33	阴平	
甎	ts	ui	33	阴平	
甘	k	am	33	阴平	
甜	tʰ	iɐm	55	阳平	
產	tsʰ	an	13	上声	
甲	k	aʔ	21	阴入	
畅	tʰ	iɔŋ	213	阴去	
界	k	e	213	阴去	
畝	m	ɐu	13	上声	
畞	m	ɐu	13	上声	
畮	m	ɐu	13	上声	
當	t	ɐŋ	55	阳平	当时
畺	k	iɔŋ	55	阳平	
疆	k	iɔŋ	55	阳平	
疑	ŋ	i	55	阳平	
疗	l	iu	11	阳去	
疮	tsʰ	ou	33	阴平	
疾	ts	ɐt	21	阴入	
病	p	ai	11	阳去	
痕	h	un	55	阳平	
痣	k	i	213	阴去	
痮	t	iu	213	阴去	
痱	p	ui	213	阴去	
痹	p	i	33	阴平	
瘡	tsʰ	ou	33	阴平	
瘦	s	au	33	阴平	
瘶	s	au	213	阴去	
療	l	iu	11	阳去	
發	h	uot	21	阴入	出发
白	p	aiʔ	53	阳入	
皃	m	au	11	阳去	
皆	k	ai	55	阳平	
皮	pʰ	oi	55	阳平	
盃	p	uoi	33	阴平	
盆	pʰ	un	11	阳去	
盋	p	uaʔ	21	阴入	
盏	ts	an	13	上声	
监	k	am	213	阴去	太监
盒	h	ap	53	阳入	
盘	p	ua	55	阳平	
盜	t	ou	33	阴平	
盞	ts	an	13	上声	
盡	ts	ɐn	33	阴平	
監	k	am	213	阴去	太监
盤	p	ua	55	阳平	
目	m	ak	53	阳入	
盼	pʰ	an	33	阴平	
省	s	ɐŋ	13	上声	反省
真	ts	in	33	阴平	
睂	m	ɐi	55	阳平	
督	t	ok	53	阳入	
瞒	m	un	11	阳去	
瞞	m	un	11	阳去	
瞻	ts	im	33	阴平	
知	ts	ɐi	33	阴平	
矦	h	ou	55	阳平	
矩	k	i	13	上声	
矿	kʰ	ɔŋ	33	阴平	
砂	s	ua	33	阴平	
破	pʰ	ua	213	阴去	
硋	ŋ	oi	33	阴平	
硫	l	ɔ	55	阳平	硫磺
碁	k	i	55	阳平	
碍	ŋ	oi	33	阴平	
碎	s	ui	213	阴去	
碑	p	i	33	阴平	
碧	p	ek	53	阳入	
碾	ts	in	13	上声	
磎	kʰ	ɐi	33	阴平	
磨	m	ua	55	阳平	磨刀
礙	ŋ	oi	33	阴平	
礦	kʰ	ɔŋ	33	阴平	
示	s	i	11	阳去	
礼	l	e	13	上声	
社	s	ia	13	上声	
祈	kʰ	i	11	阳去	
祖	ts	ɔ	13	上声	
祝	ts	ok	21	阴入	
神	s	in	55	阳平	
祠	tsʰ	u	55	阳平	
祥	tsʰ	iɔŋ	55	阳平	
祭	ts	e	213	阴去	
祿	l	ok	21	阴入	
禁	k	im	213	阴去	禁止
福	h	ok	21	阴入	
禮	l	e	13	上声	
秀	s	ɐu	33	阴平	
秉	p	eŋ	13	上声	
秊	h	i	55	阳平	
秋	tsʰ	iu	33	阴平	秋天
秌	tsʰ	iu	33	阴平	秋天
科	f	ɔ	33	阴平	
秒	m	iu	13	上声	
租	ts	ɔ	55	阳平	
秤	tsʰ	in	213	阴去	
秩	t	it	21	阴入	
称	tsʰ	eŋ	33	阴平	称呼
稅	s	uoi	213	阴去	
稉	k	aŋ	33	阴平	粳米
程	tsʰ	ɐŋ	55	阳平	
稗	pʰ	e	11	阳去	
種	ts	ioŋ	13	上声	种类
稱	tsʰ	eŋ	33	阴平	称呼
稾	k	ɔ	13	上声	
穷	k	ioŋ	55	阳平	
穿	ts	ui	33	阴平	
突	t	ɐt	21	阴入	
窂	l	ɔ	11	阳去	
窍	kʰ	iau	213	阴去	
窓	tsʰ	iɔŋ	33	阴平	
窗	tsʰ	iɔŋ	33	阴平	
窟	kʰ	ut	21	阴入	
窮	k	ioŋ	55	阳平	
窴	t	in	55	阳平	
竅	kʰ	iau	213	阴去	
竈	ts	au	213	阴去	
立	l	ap	21	阴入	
站	ts	am	11	阳去	
章	ts	iɔŋ	55	阳平	
竹	t	iok	21	阴入	
笑	tsʰ	iu	213	阴去	
笔	p	it	21	阴入	
符	p	ɔ	55	阳平	
第	t	ɐi	33	阴平	
笺	ts	in	55	阳平	
筆	p	it	21	阴入	
筋	k	in	33	阴平	
筐	h	ɔŋ	55	阳平	
答	t	aʔ	21	阴入	
策	tsʰ	ak	21	阴入	
筦	k	ua	13	上声	
签	tsʰ	iam	33	阴平	求签
简	k	an	13	上声	
箋	ts	in	55	阳平	
箍	kʰ	ɔ	33	阴平	
箒	ts	iu	13	上声	
算	s	ui	213	阴去	
箝	kʰ	iam	55	阳平	
管	k	ua	13	上声	
箩	l	ua	55	阳平	
箭	ts	i	213	阴去	
箱	s	iɔŋ	33	阴平	
節	ts	it	21	阴入	
篙	k	ɔ	55	阳平	
篮	n	am	55	阳平	
篷	pʰ	oŋ	55	阳平	
簡	k	an	13	上声	
簪	ts	am	55	阳平	
簿	p	ɔ	11	阳去	
籃	n	am	55	阳平	
籍	ts	ek	53	阳入	
籤	tsʰ	iam	33	阴平	求签
籮	l	ua	55	阳平	
米	b	i	13	上声	
籴	t	iaʔ	53	阳入	
类	l	ɐi	33	阴平	
粉	h	un	13	上声	
粒	l	iap	53	阳入	
粘	ts	iam	33	阴平	黏米
粜	tʰ	iu	213	阴去	
粟	tsʰ	ioʔ	21	阴入	
粪	p	un	213	阴去	
粳	k	aŋ	33	阴平	粳米
粽	ts	aŋ	213	阴去	
精	ts	ieŋ	33	阴平	
糉	ts	aŋ	213	阴去	
糖	tʰ	ou	55	阳平	
糙	ts	au	213	阴去	粗糙
糛	tʰ	ou	55	阳平	
糜	m	oi	55	阳平	粥
糞	p	un	213	阴去	
糴	t	iaʔ	53	阳入	
糶	tʰ	iu	213	阴去	
系	h	ɐi	11	阳去	
糾	t	ɐu	13	上声	
納	n	ap	21	阴入	
紐	n	iu	13	上声	
純	s	un	11	阳去	
紗	s	a	33	阴平	
紙	ts	ua	13	上声	
級	kʰ	ap	53	阳入	
紛	f	ɐn	55	阳平	
素	s	u	33	阴平	
紡	f	ɔŋ	13	上声	
索	s	ouʔ	21	阴入	绳索
紧	k	in	13	上声	
紫	ts	ia	13	上声	
紮	ts	at	21	阴入	
累	l	ui	13	上声	积累
細	s	e	213	阴去	
紹	s	iu	33	阴平	
終	ts	oŋ	33	阴平	
絃	h	in	55	阳平	
組	ts	u	13	上声	
結	kʰ	ak	21	阴入	
絕	ts	it	53	阳入	
絝	kʰ	ɔ	213	阴去	
絞	k	a	13	上声	
絫	l	ui	13	上声	积累
統	tʰ	oŋ	13	上声	
經	k	ieŋ	33	阴平	
綠	l	iok	53	阳入	
綢	t	iu	55	阳平	
綤	s	iu	33	阴平	
綫	s	ua	213	阴去	
網	m	ɔŋ	13	上声	
緒	s	i	13	上声	
線	s	ua	213	阴去	
編	pʰ	in	55	阳平	
緫	ts	oŋ	13	上声	
練	l	in	11	阳去	
緾	t	i	55	阳平	
縍	p	ɔŋ	55	阳平	
縫	f	oŋ	11	阳去	缝衣
縮	s	iok	21	阴入	
縱	ts	oŋ	33	阴平	纵横
總	ts	oŋ	13	上声	
績	ts	ek	53	阳入	
織	ts	it	21	阴入	
繩	s	in	55	阳平	
繭	k	ai	13	上声	
繼	k	e	213	阴去	
纏	t	i	55	阳平	
纠	t	ɐu	13	上声	
级	kʰ	ap	53	阳入	
纯	s	un	11	阳去	
纱	s	a	33	阴平	
纳	n	ap	21	阴入	
纵	ts	oŋ	33	阴平	纵横
纷	f	ɐn	55	阳平	
纸	ts	ua	13	上声	
纺	f	ɔŋ	13	上声	
线	s	ua	213	阴去	
练	l	in	11	阳去	
组	ts	u	13	上声	
织	ts	it	21	阴入	
终	ts	oŋ	33	阴平	
绍	s	iu	33	阴平	
经	k	ieŋ	33	阴平	
结	kʰ	ak	21	阴入	
绔	kʰ	ɔ	213	阴去	
绝	ts	it	53	阳入	
绞	k	a	13	上声	
统	tʰ	oŋ	13	上声	
继	k	e	213	阴去	
绩	ts	ek	53	阳入	
绪	s	i	13	上声	
绳	s	in	55	阳平	
绸	t	iu	55	阳平	
绿	l	iok	53	阳入	
编	pʰ	in	55	阳平	
缝	f	oŋ	11	阳去	缝衣
缠	t	i	55	阳平	
缩	s	iok	21	阴入	
缸	k	ɔŋ	55	阳平	
缺	kʰ	it	21	阴入	
缽	p	uaʔ	21	阴入	
网	m	ɔŋ	13	上声	
罗	l	ɔ	55	阳平	
罚	h	uot	53	阳入	
罩	ts	au	33	阴平	
罪	ts	ui	33	阴平	
罰	h	uot	53	阳入	
羅	l	ɔ	55	阳平	
美	m	i	13	上声	
羣	kʰ	un	55	阳平	
義	ŋ	i	11	阳去	
習	ts	ap	21	阴入	
翻	g	an	55	阳平	
翼	s	it	53	阳入	
老	l	ɐu	11	阳去	
考	h	au	13	上声	
者	ts	e	13	上声	
而	ŋ	i	11	阳去	
耐	n	ɐi	11	阳去	
耕	k	aŋ	33	阴平	
耳	h	i	13	上声	
耽	t	ɐm	55	阳平	
聂	n	ip	21	阴入	
聋	l	aŋ	55	阳平	
职	ts	ɐk	53	阳入	
聖	s	ieŋ	213	阴去	
聘	p	eŋ	213	阴去	
聦	tsʰ	oŋ	55	阳平	
聰	tsʰ	oŋ	55	阳平	
聲	s	ia	33	阴平	
聶	n	ip	21	阴入	
職	ts	ɐk	53	阳入	
聽	tʰ	ia	33	阴平	听话
聾	l	aŋ	55	阳平	
肎	kʰ	in	13	上声	
肘	ts	au	13	上声	
肠	t	ou	55	阳平	
肥	p	ui	55	阳平	
肩	k	an	33	阴平	
肯	kʰ	in	13	上声	
肴	ŋ	au	55	阳平	
肺	h	ui	213	阴去	
胀	t	iu	213	阴去	
胁	h	ip	21	阴入	
胎	tʰ	ui	33	阴平	
胞	p	au	33	阴平	
胡	h	u	55	阳平	姓胡
能	n	ɐŋ	11	阳去	
脅	h	ip	21	阴入	
脉	m	ɐiʔ	53	阳入	
脊	ts	iaʔ	21	阴入	
脏	ts	ɔŋ	33	阴平	不干净
脐	ts	ɐi	55	阳平	
脑	n	ɔ	13	上声	
脓	n	aŋ	55	阳平	
脣	t	un	55	阳平	
脹	t	iu	213	阴去	
脾	pʰ	oi	55	阳平	
腔	h	ɔŋ	55	阳平	
腦	n	ɔ	13	上声	
腸	t	ou	55	阳平	
腹	h	ok	53	阳入	
腾	tʰ	ɐŋ	11	阳去	
腿	tʰ	ui	13	上声	
膠	k	au	55	阳平	
膳	s	in	33	阴平	
膽	t	am	13	上声	
膿	n	aŋ	55	阳平	
臈	l	aʔ	21	阴入	
臍	ts	ɐi	55	阳平	
臘	l	aʔ	21	阴入	
臣	s	in	55	阳平	
自	ts	i	33	阴平	
臭	tsʰ	ieu	213	阴去	
致	ts	i	33	阴平	
臺	tʰ	oi	33	阴平	
臼	kʰ	iu	11	阳去	
舂	ts	ioŋ	33	阴平	
興	h	ɐŋ	55	阳平	兴旺
舉	k	i	13	上声	
舊	k	u	11	阳去	
舌	ts	iʔ	53	阳入	
舜	s	ɐn	33	阴平	
舩	ts	un	55	阳平	
航	h	ɔŋ	11	阳去	
舵	tʰ	ɔ	55	阳平	
船	ts	un	55	阳平	
艇	tʰ	eŋ	13	上声	
艦	l	am	33	阴平	
良	l	iɔŋ	11	阳去	
色	s	iek	21	阴入	
艸	tsʰ	au	13	上声	
艺	ŋ	ɐi	33	阴平	
节	ts	it	21	阴入	
花	h	ua	33	阴平	
芳	f	ɔŋ	55	阳平	
苏	s	u	55	阳平	
苔	tʰ	i	55	阳平	青苔
苗	m	ieu	55	阳平	
苦	kʰ	ɔ	13	上声	
茶	t	ɐi	55	阳平	
草	tsʰ	au	13	上声	
荒	h	ui	33	阴平	
莲	l	in	55	阳平	
菄	t	aŋ	33	阴平	
菓	k	uoi	13	上声	
菜	tsʰ	ai	213	阴去	
菭	tʰ	i	55	阳平	青苔
菱	l	ɐŋ	11	阳去	
萧	s	iau	33	阴平	
萬	m	an	11	阳去	
落	l	ɔuʔ	53	阳入	
董	t	oŋ	13	上声	
葬	ts	ou	213	阴去	
葱	tsʰ	aŋ	33	阴平	
蒙	m	oŋ	11	阳去	
蓖	pʰ	i	55	阳平	
蓬	f	oŋ	11	阳去	
蓮	l	in	55	阳平	
蔆	l	ɐŋ	11	阳去	
蔗	ts	ia	213	阴去	
蔡	tsʰ	ai	213	阴去	
蔥	tsʰ	aŋ	33	阴平	
蕭	s	iau	33	阴平	
薄	p	auʔ	53	阳入	
薑	k	iu	33	阴平	稚姜
薛	s	it	21	阴入	
薦	ts	in	213	阴去	
薯	ts	u	55	阳平	
薰	f	ɐn	55	阳平	
藁	k	ɔ	13	上声	
藍	l	am	55	阳平	
藝	ŋ	ɐi	33	阴平	
藳	k	ɔ	13	上声	
蘇	s	u	55	阳平	
蘭	l	an	55	阳平	
虎	h	ɔ	13	上声	
虑	l	ui	33	阴平	
虔	kʰ	in	11	阳去	
處	tsʰ	u	13	上声	相处
虧	kʰ	uɐi	55	阳平	
虵	ts	ua	55	阳平	
虾	h	ai	55	阳平	
蚁	h	ia	13	上声	
蚤	ts	ɔ	13	上声	
蛀	ts	iu	213	阴去	
蛮	m	an	55	阳平	
蛾	h	ia	13	上声	
蜜	b	it	53	阳入	
蝇	s	in	55	阳平	
蝉	s	im	11	阳去	
蝦	h	ai	55	阳平	
蝨	s	at	21	阴入	
螘	h	ia	13	上声	
蟬	s	im	11	阳去	
蟲	tʰ	aŋ	55	阳平	
蟹	h	e	11	阳去	
蟻	h	ia	13	上声	
蟾	s	im	11	阳去	
蠅	s	in	55	阳平	
蠢	tsʰ	ɐn	13	上声	
蠭	pʰ	aŋ	33	阴平	
蠶	tsʰ	em	55	阳平	
蠻	m	an	55	阳平	
血	h	uoiʔ	21	阴入	
衆	ts	ioŋ	213	阴去	
衇	m	ɐiʔ	53	阳入	
衔	h	am	55	阳平	
衖	h	ou	11	阳去	
表	p	iu	13	上声	
衫	s	a	33	阴平	
袋	t	ɐi	11	阳去	
被	pʰ	oi	13	上声	被子
裁	ts	e	55	阳平	
装	ts	ɔŋ	33	阴平	
裙	k	un	55	阳平	
補	p	ɔ	13	上声	
裝	ts	ɔŋ	33	阴平	
裠	k	un	55	阳平	
襪	m	ua	53	阳入	
西	s	ɐi	33	阴平	
見	k	i	213	阴去	
規	kʰ	ɐi	55	阳平	
覽	l	am	13	上声	
见	k	i	213	阴去	
规	kʰ	ɐi	55	阳平	
览	l	am	13	上声	
角	k	ɔk	21	阴入	
觸	tsʰ	ok	53	阳入	
言	ŋ	in	11	阳去	
計	k	e	213	阴去	
討	tʰ	ou	13	上声	
訓	h	un	213	阴去	
記	k	i	213	阴去	
訛	ŋ	ɔ	11	阳去	
訡	ŋ	im	55	阳平	
設	tsʰ	it	21	阴入	
証	ts	ieŋ	213	阴去	
詔	ts	iu	33	阴平	
評	pʰ	eŋ	11	阳去	
試	s	i	213	阴去	
詧	tsʰ	at	21	阴入	
詩	s	i	33	阴平	
該	k	oi	55	阳平	
誅	ts	i	55	阳平	
誇	kʰ	ua	55	阳平	
認	ts	in	11	阳去	
誏	l	ɔŋ	11	阳去	
誓	s	ɐi	33	阴平	
誕	t	an	33	阴平	
語	ŋ	i	13	上声	
誠	s	eŋ	11	阳去	
誦	ts	oŋ	33	阴平	
調	tʰ	iu	11	阳去	调和
談	tʰ	am	55	阳平	
請	tsʰ	ia	13	上声	
諜	t	ip	21	阴入	
諸	ts	i	55	阳平	
諺	ŋ	in	11	阳去	
謀	m	ou	33	阴平	
謙	h	im	55	阳平	
講	k	ou	13	上声	
謝	ts	ia	213	阴去	
證	ts	ieŋ	213	阴去	
譌	ŋ	ɔ	11	阳去	
譜	pʰ	u	13	上声	
議	ŋ	i	13	上声	
譱	s	in	33	阴平	
讀	tʰ	ak	53	阳入	
變	p	i	213	阴去	
讒	tsʰ	am	33	阴平	
计	k	e	213	阴去	
讨	tʰ	ou	13	上声	
训	h	un	213	阴去	
议	ŋ	i	13	上声	
记	k	i	213	阴去	
讹	ŋ	ɔ	11	阳去	
设	tsʰ	it	21	阴入	
证	ts	ieŋ	213	阴去	
评	pʰ	eŋ	11	阳去	
诏	ts	iu	33	阴平	
试	s	i	213	阴去	
诗	s	i	33	阴平	
诚	s	eŋ	11	阳去	
诛	ts	i	55	阳平	
诞	t	an	33	阴平	
该	k	oi	55	阳平	
语	ŋ	i	13	上声	
诵	ts	oŋ	33	阴平	
请	tsʰ	ia	13	上声	
诸	ts	i	55	阳平	
读	tʰ	ak	53	阳入	
调	tʰ	iu	11	阳去	调和
谈	tʰ	am	55	阳平	
谋	m	ou	33	阴平	
谍	t	ip	21	阴入	
谗	tsʰ	am	33	阴平	
谚	ŋ	in	11	阳去	
谢	ts	ia	213	阴去	
谦	h	im	55	阳平	
谱	pʰ	u	13	上声	
谷	k	ok	53	阳入	
谿	kʰ	ɐi	33	阴平	
豆	t	au	11	阳去	
豈	h	i	13	上声	
豉	s	i	11	阳去	
豘	tʰ	un	55	阳平	
豚	tʰ	un	55	阳平	
象	ts	iɔŋ	11	阳去	
豬	t	u	33	阴平	
豹	pʰ	au	213	阴去	
豺	tsʰ	ai	55	阳平	
貌	m	au	11	阳去	
貓	m	ai	33	阴平	
貝	p	uoi	213	阴去	
貞	ts	eŋ	55	阳平	
貢	k	oŋ	213	阴去	
貧	pʰ	ɐn	11	阳去	
貨	h	ua	213	阴去	
販	f	uon	213	阴去	
貪	tʰ	ɐm	33	阴平	
貴	k	ui	213	阴去	
買	m	e	11	阳去	
費	f	ɐi	33	阴平	
貿	m	au	33	阴平	
賀	h	au	11	阳去	
資	ts	i	55	阳平	
賓	p	ɐn	55	阳平	
賔	p	ɐn	55	阳平	
賜	tsʰ	i	213	阴去	
賞	s	iɔŋ	13	上声	
賣	m	e	11	阳去	
賤	ts	ua	11	阳去	
贅	ts	ui	33	阴平	
贈	ts	ieŋ	33	阴平	
贏	ŋ	ia	55	阳平	
贓	ts	ou	33	阴平	
贖	s	iok	53	阳入	
贝	p	uoi	213	阴去	
贞	ts	eŋ	55	阳平	
贡	k	oŋ	213	阴去	
败	p	ai	33	阴平	
货	h	ua	213	阴去	
贩	f	uon	213	阴去	
贪	tʰ	ɐm	33	阴平	
贫	pʰ	ɐn	11	阳去	
贱	ts	ua	11	阳去	
贵	k	ui	213	阴去	
贸	m	au	33	阴平	
费	f	ɐi	33	阴平	
贺	h	au	11	阳去	
资	ts	i	55	阳平	
赎	s	iok	53	阳入	
赏	s	iɔŋ	13	上声	
赐	tsʰ	i	213	阴去	
赘	ts	ui	33	阴平	
赠	ts	ieŋ	33	阴平	
赢	ŋ	ia	55	阳平	
赤	tsʰ	iek	21	阴入	
赦	s	ia	213	阴去	
走	ts	au	13	上声	
超	tsʰ	ieu	33	阴平	
趋	tsʰ	i	55	阳平	
趙	ts	iu	33	阴平	
趨	tsʰ	i	55	阳平	
足	ts	ok	53	阳入	
跌	t	ip	21	阴入	
跡	ts	iaʔ	21	阴入	
路	l	ɔ	11	阳去	
跳	t	iu	55	阳平	
踏	t	aʔ	21	阴入	
踢	tʰ	ɐk	21	阴入	
蹄	t	e	55	阳平	
蹔	ts	am	11	阳去	
身	s	in	33	阴平	
軄	ts	ɐk	53	阳入	
軌	k	uɐi	13	上声	
軍	k	uɐn	55	阳平	
軟	n	ui	13	上声	
載	ts	ai	213	阴去	载重
輕	kʰ	in	33	阴平	轻重
輩	p	ui	213	阴去	
輪	l	ɐn	55	阳平	
輭	n	ui	13	上声	
輯	tsʰ	ɐp	53	阳入	编辑
輸	s	i	55	阳平	输赢,运输
轨	k	uɐi	13	上声	
轮	l	ɐn	55	阳平	
软	n	ui	13	上声	
轻	kʰ	in	33	阴平	轻重
载	ts	ai	213	阴去	载重
辈	p	ui	213	阴去	
辑	tsʰ	ɐp	53	阳入	编辑
辝	tsʰ	u	55	阳平	
辞	tsʰ	u	55	阳平	
辠	ts	ui	33	阴平	
辢	l	uaʔ	53	阳入	
辣	l	uaʔ	53	阳入	
辤	tsʰ	u	55	阳平	
辦	p	an	33	阴平	
辨	p	in	33	阴平	
辫	p	i	33	阴平	
辬	p	ai	33	阴平	
辭	tsʰ	u	55	阳平	
辮	p	i	33	阴平	
農	n	oŋ	11	阳去	
辳	n	oŋ	11	阳去	
辽	l	iu	33	阴平	
近	k	in	11	阳去	
进	ts	in	33	阴平	
远	h	ui	33	阴平	
连	l	in	55	阳平	
迟	t	i	55	阳平	
迫	p	aiʔ	21	阴入	
述	s	ɐt	21	阴入	
退	tʰ	ui	213	阴去	
送	s	aŋ	213	阴去	
逆	ŋ	ɐiʔ	53	阳入	
选	s	in	13	上声	
逊	s	ɐn	33	阴平	
透	tʰ	au	213	阴去	
通	tʰ	aŋ	33	阴平	
速	tsʰ	ok	53	阳入	
造	tsʰ	ɔ	33	阴平	
連	l	in	55	阳平	
進	ts	in	33	阴平	
遇	ŋ	i	11	阳去	
遍	p	in	213	阴去	
過	k	uoi	213	阴去	
道	t	ɔ	33	阴平	
達	t	at	53	阳入	
遜	s	ɐn	33	阴平	
遟	t	i	55	阳平	
遠	h	ui	33	阴平	
遣	h	in	13	上声	
遬	tsʰ	ok	53	阳入	
遮	ts	ia	33	阴平	
遲	t	i	55	阳平	
遷	tsʰ	in	55	阳平	
選	s	in	13	上声	
遼	l	iu	33	阴平	
避	p	i	11	阳去	
邓	t	ieŋ	11	阳去	
邦	p	ɔŋ	33	阴平	
邹	ts	au	55	阳平	
郑	t	ai	11	阳去	
郭	k	uiʔ	21	阴入	
鄂	ŋ	ɔk	21	阴入	
鄉	h	iu	33	阴平	
鄒	ts	au	55	阳平	
鄙	pʰ	i	13	上声	
鄧	t	ieŋ	11	阳去	
鄭	t	ai	11	阳去	
鄰	l	ɐn	11	阳去	
配	pʰ	ui	33	阴平	
酒	ts	iu	13	上声	
酱	ts	iu	213	阴去	
酵	k	a	213	阴去	
酷	kʰ	ok	21	阴入	
酸	s	ui	33	阴平	
醉	ts	ui	213	阴去	
醋	tsʰ	ɔ	213	阴去	
醎	k	iam	55	阳平	
醜	tsʰ	iu	13	上声	
醩	ts	ɐu	55	阳平	
醬	ts	iu	213	阴去	
释	s	ek	53	阳入	
釋	s	ek	53	阳入	
重	t	aŋ	13	上声	轻重
量	n	iu	55	阳平	量长短
金	k	im	55	阳平	
釘	t	aŋ	33	阴平	钉子
針	ts	iam	33	阴平	
釣	t	iu	213	阴去	
釵	ts	ai	33	阴平	
鈍	t	ɐn	33	阴平	
鉋	p	au	55	阳平	
鉏	tsʰ	ɐu	55	阳平	
鉗	kʰ	iam	55	阳平	
鉢	p	uaʔ	21	阴入	
銀	ŋ	in	55	阳平	
銅	tʰ	aŋ	55	阳平	
銘	m	eŋ	55	阳平	
銜	h	am	55	阳平	
鋤	tsʰ	ɐu	55	阳平	
鋸	k	u	213	阴去	
錐	ts	ui	33	阴平	
錦	k	am	13	上声	
錫	s	iaʔ	21	阴入	
錯	tsʰ	ou	213	阴去	
鍼	ts	iam	33	阴平	
鎖	s	au	13	上声	
鎮	ts	ɐn	33	阴平	
鏋	tʰ	e	213	阴去	
鏡	k	ia	213	阴去	
鐘	ts	ioŋ	33	阴平	
鑛	kʰ	ɔŋ	33	阴平	
鑼	l	au	55	阳平	
针	ts	iam	33	阴平	
钉	t	aŋ	33	阴平	钉子
钓	t	iu	213	阴去	
钗	ts	ai	33	阴平	
钝	t	ɐn	33	阴平	
钦	kʰ	am	55	阳平	
钳	kʰ	iam	55	阳平	
铁	tʰ	iʔ	21	阴入	
铜	tʰ	aŋ	55	阳平	
错	tsʰ	ou	213	阴去	
锡	s	iaʔ	21	阴入	
锣	l	au	55	阳平	
锦	k	am	13	上声	
锯	k	u	213	阴去	
镇	ts	ɐn	33	阴平	
镜	k	ia	213	阴去	
長	t	ou	55	阳平	长短
长	t	ou	55	阳平	长短
閃	s	iam	13	上声	
開	kʰ	ui	33	阴平	
閙	n	au	11	阳去	
関	k	ua	33	阴平	
關	k	ua	33	阴平	
闢	pʰ	ek	53	阳入	开辟
门	m	ui	55	阳平	
闪	s	iam	13	上声	
问	m	ui	213	阴去	
闹	n	au	11	阳去	
队	t	ui	11	阳去	
阬	kʰ	ai	33	阴平	
防	f	ɔŋ	55	阳平	
阵	t	in	11	阳去	
附	f	u	33	阴平	
陆	l	iok	53	阳入	
陇	l	ioŋ	13	上声	
陈	t	an	55	阳平	姓
降	h	ɔŋ	33	阴平	下降
限	h	an	33	阴平	
陣	t	in	11	阳去	
除	tsʰ	u	55	阳平	
陳	t	an	55	阳平	姓
陵	l	eŋ	11	阳去	
陷	h	am	11	阳去	
陸	l	iok	53	阳入	
隆	l	oŋ	55	阳平	
隊	t	ui	11	阳去	
随	ts	ɐi	33	阴平	
障	ts	iɔŋ	33	阴平	
隨	ts	ɐi	33	阴平	
隴	l	ioŋ	13	上声	
隻	ts	iaʔ	21	阴入	一只鸟
难	n	an	55	阳平	难易
雄	h	oŋ	11	阳去	
雅	n	ia	11	阳去	
集	ts	ap	21	阴入	
雌	tsʰ	i	55	阳平	
雕	t	iu	33	阴平	
雙	s	iɔŋ	33	阴平	
雜	ts	ap	53	阳入	
難	n	an	55	阳平	难易
雨	h	ɔ	33	阴平	
雪	s	it	21	阴入	
雲	h	un	55	阳平	
雹	p	ɐuʔ	53	阳入	
雾	m	u	11	阳去	
霍	kʰ	ɔk	21	阴入	
霛	l	ieŋ	55	阳平	
霜	s	iɔŋ	55	阳平	
霞	h	a	33	阴平	
霧	m	u	11	阳去	
露	l	u	33	阴平	
霸	p	a	33	阴平	
靈	l	ieŋ	55	阳平	
青	tsʰ	ai	33	阴平	
靜	tsʰ	ieŋ	11	阳去	
非	f	i	55	阳平	
靠	kʰ	au	213	阴去	
面	b	in	11	阳去	脸蛋
