汉字	音标	注释	
鸽	kɔu³⁰³⁵		
含	hoŋ²¹		
合	hui³⁰³⁵		
庵	an¹²	佛寺	
暗	uə⁴⁴		
担	tuə¹²	~任	
胆	tuə²⁴		
担	tuə³⁰³⁵		
毯	tʰuə²⁴		
塔	tʰuə⁵		
塌	tʰuə⁵		
谈	tʰuə²¹		
痰	tʰuə²¹		
淡	tʰuə⁴⁴		
蓝	luə²¹		
篮	luə²¹	~球	
篮	luə³⁰³⁵	竹~	
览	luə²⁴		
腊	luə³		
蜡	luə³		
暂	tsʰuə²²		
三	sa¹²	不符合古今语音演变的对应规律	
甘	kun¹²		
柑	kun³⁰³⁵		
敢	kuə²⁴		
喊	huə⁴⁴	不符合古今语音演变的对应规律	
站	tsʰuə²²	车~	
赚	tsʰoŋ²²	不符合古今语音演变的对应规律	
斩	tsuə²⁴		
插	tsʰuə⁵		
闸	tsʰuə³		
杉	sa¹²	不符合古今语音演变的对应规律	
减	kuə²⁴		
夹	kuə⁵		
恰	hui⁵		
咸	huə²¹		
陷	huə²²		
馅	huə³⁰³⁵		
狭	hui³		
峡	hui³		
衫	suə¹²	~袖	
衫	suə³⁰³⁵	恤~	
监	kuə¹²	~狱	
甲	kuə⁵		
岩	ɡuə²¹		
癌	ɡuə²¹		
衔	huə²¹		
舰	luə⁴⁴	不符合古今语音演变的对应规律	
鸭	uə³⁰³⁵		
压	uə⁵		
贬	pɛn²⁴		
聂	li⁵	不符合古今语音演变的对应规律	
廉	lɛn²¹		
镰	lɛn²¹	~刮	
镰	lɛn³⁰³⁵	禾~	
猎	li³		
尖	tsɛn¹²		
接	tsɿ⁵		
签	tsʰɛn¹²		
妾	tsʰɿ⁵		
潜	tsʰɛn²¹		
渐	tsʰɛn²²		
捷	tsɿ⁵	不符合古今语音演变的对应规律	
沾	tsɛn¹²		
占	tsɛn⁴⁴	~领	
折	tsɿ⁵	~叠	
陕	sɛn²⁴		
闪	sɛn²⁴		
摄	sɿ⁵		
涉	sɿ⁵	不符合古今语音演变的对应规律	
染	ɡɛn⁴⁴		
检	kɛn²⁴		
钳	kʰɛn²¹		
验	jɛn²²		
险	hɛn²⁴		
厌	jɛn⁴⁴		
盐	jɛn²¹		
阎	jɛn²¹		
檐	jɛn²¹		
艳	jɛn²²		
叶	jɿ³⁰³⁵		
页	jɿ³		
剑	kɛn⁴⁴		
劫	ki⁵		
欠	kʰiɔn⁴⁴	不符合古今语音演变的对应规律	
严	jɛn²¹		
业	jɿ³		
业	jɿ³⁰³⁵	开~	
胁	hi³		
点	tɛn²⁴		
点	tɛn⁴⁴	动词，不符合古今语音演变的对应规律	
店	tɛn³⁰³⁵		
添	tʰɛn¹²		
帖	tʰi⁵		
贴	tʰi⁵		
甜	tʰɛn²¹		
叠	tʰi³		
碟	tʰi³⁰³⁵		
谍	tʰi³⁰³⁵		
拈	lɛn¹²	~起	
念	lɛn²²		
兼	kɛn¹²		
谦	hɛn¹²		
歉	hɛn⁴⁴		
嫌	hɛn²¹		
协	hi⁵	不符合古今语音演变的对应规律	
法	fuə⁵		
法	fuə³⁰³⁵	犯~	
泛	fuə⁴⁴		
凡	fuə²¹		
范	fuə²²		
犯	fuə²²		
禀	pɛn²⁴		
品	pʰɛn²⁴		
林	lan²¹		
临	lan²¹		
立	lai³		
笠	lai³		
粒	lɛ⁵	不符合古今语音演变的对应规律	
浸	tsan⁴⁴		
侵	tsʰan¹²		
寝	tsʰan²⁴		
集	tsʰuə³		
心	san¹²		
寻	tsʰan²¹		
习	tsʰuə³		
沉	tsʰan²¹		
森	san¹²		
参	tsʰan¹²	人~	
针	tsan¹²		
枕	tsan²⁴	~头	
执	tsɿ⁵		
汁	tsɿ⁵		
深	san¹²		
沈	san²⁴		
审	san²⁴		
湿	sɿ⁵		
十	sɿ³		
壬	ɡɛn²¹		
任	ɡian²²	姓氏，不符合古今语音演变的对应规律	
入	ɡi³		
今	kian¹²		
今	kian³⁰³⁵	如~	
金	kian¹²		
锦	kian²⁴		
禁	kian⁴⁴	~止	
急	ki⁵		
级	kʰi³⁰³⁵	不符合古今语音演变的对应规律	
琴	kʰian²¹		
及	kʰi³		
吸	kʰi⁵		
音	jian¹²		
阴	jian¹²		
饮	jian²⁴	~酒	
丹	tuə¹²		
单	tuə¹²		
单	tuə³⁰³⁵	药~	
旦	tuə⁴⁴		
摊	tʰuə¹²		
滩	tʰuə¹²		
坦	tʰuə²⁴		
炭	tʰuə⁴⁴		
弹	tʰuə²¹	~琴	
但	tʰuə²²		
弹	tʰuə²²	子~	
达	tʰuə³		
难	luə²¹	~易	
难	luə²²	患~	
捺	luə³	撇~	
兰	luə²¹		
栏	luə²¹		
懒	luə⁴⁴		
烂	luə²²		
辣	luə³		
赞	tsuə⁴⁴		
餐	tsʰuə¹²		
灿	tsʰuə⁴⁴		
擦	tsʰuə⁵		
残	tsʰuə²¹		
散	suə²⁴	~开	
伞	suə⁴⁴		
散	suə⁴⁴	分~	
干	kun¹²	~湿	
肝	kun¹²		
秆	kun²⁴		
干	kun⁴⁴	~活	
割	kui⁵		
刊	hoŋ¹²		
岸	ɡoŋ³⁰³⁵		
汉	hoŋ⁴⁴		
鼾	hoŋ²¹		
寒	hoŋ²¹		
韩	hoŋ²¹		
旱	hoŋ⁴⁴		
汗	hoŋ²²		
安	un¹²		
案	oŋ⁴⁴		
扮	pʰuə⁴⁴	不符合古今语音演变的对应规律	
八	puə⁵		
盼	pʰan⁴⁴		
办	pʰuə²²		
拔	pʰai³		
抹	bui⁵	~布，不符合古今语音演变的对应规律	
盏	tsuə²⁴		
铲	tsʰuə²⁴		
察	tsʰuə⁵		
山	suə¹²		
产	tsʰuə²⁴	不符合古今语音演变的对应规律	
杀	suə⁵		
艰	kuə¹²		
间	kuə¹²	量词	
间	kuə³⁰³⁵	中~	
简	kuə²⁴		
拣	kuə²⁴		
眼	ɡuə⁴⁴		
眼	ɡuə³⁰³⁵	龙~	
闲	huə²¹		
限	huə²²		
苋	huə²²		
班	puə¹²		
扳	puə¹²		
板	puə²⁴		
攀	puə¹²	不符合古今语音演变的对应规律	
蛮	buə²¹		
慢	buə²²		
铡	tsʰuə³	~刀	
删	suə¹²		
奸	kuə¹²		
谏	kuə²⁴	不符合古今语音演变的对应规律	
颜	ɡuə²¹		
雁	ɡuə²²		
瞎	hui³	不符合古今语音演变的对应规律	
辖	hui³		
晏	uə⁴⁴	晚	
鞭	pɛn¹²		
编	pʰɛn¹²	不符合古今语音演变的对应规律	
变	pɛn⁴⁴		
篇	pʰɛn¹²		
偏	pʰɛn¹²		
骗	pʰɛn⁴⁴		
便	pʰɛn²¹	~宜	
辩	pʰɛn²²		
便	pʰɛn²²	方~	
别	pʰi³	离~	
棉	bɛn²¹		
免	bɛn⁴⁴		
面	bɛn²²	脸~	
面	bɛn³⁰³⁵	对~	
灭	bi³		
碾	tsɛn²⁴	不符合古今语音演变的对应规律	
连	lɛn²¹		
联	lɔn²¹	~衣	
联	lɛn²¹		
列	li³		
烈	li³		
裂	li⁵	不符合古今语音演变的对应规律	
煎	tsɛn¹²		
剪	tsɛn²⁴		
箭	tsɛn⁴⁴		
迁	tsʰɛn¹²		
浅	tsʰɛn²⁴		
钱	tsʰɛn²¹	kʰɛi¹²~	
钱	tsʰɛn³⁰³⁵		
践	tsʰɛn²⁴	不符合古今语音演变的对应规律	
贱	tsʰɛn²²		
仙	sɛn¹²		
鲜	sɛn¹²	新~	
癣	sɛn²⁴		
线	sɛn⁴⁴		
薛	sui⁵	不符合古今语音演变的对应规律	
展	tsɛn²⁴		
哲	tsɿ⁵		
撤	tsʰɿ⁵		
彻	tsʰɿ⁵		
缠	tsʰɛn²¹		
战	tsɛn⁴⁴		
折	tsɿ⁵	~断	
舌	sɿ³		
扇	sɛn⁴⁴	~动，不符合古今语音演变的对应规律	
扇	sɛn³⁰³⁵	~子	
设	tsʰɿ⁵	不符合古今语音演变的对应规律	
蝉	sɛn²¹		
善	sɛn²²		
折	sɿ³	~本	
然	jɛn²¹		
燃	jɛn²¹		
热	ɡi³		
乾	kʰɛn²¹	~坤	
件	kʰɛn²²	一~事	
件	kʰɛn²⁴	一~衣，不符合古今语音演变的对应规律	
杰	ki³	不符合古今语音演变的对应规律	
孽	ɡi³		
延	jɛn²¹		
演	jɛn²⁴		
建	kɛn⁴⁴		
揭	kʰi⁵	不符合古今语音演变的对应规律	
健	kʰɛn²²		
言	jɛn²¹		
掀	hɛn¹²		
宪	hɛn⁴⁴		
献	hɛn⁴⁴		
歇	hi⁵		
边	pɛn¹²		
边	pɛn³⁰³⁵	侧~	
扁	pɛn²⁴		
遍	pʰɛn⁴⁴	不符合古今语音演变的对应规律	
片	pʰɛn⁴⁴		
片	pʰɛn²⁴	尿~，不符合古今语音演变的对应规律	
撇	pʰi³	~捺，不符合古今语音演变的对应规律	
辫	pɛn³⁰³⁵	不符合古今语音演变的对应规律	
眠	bɛn²¹		
面	bɛn²²	~条	
篾	bi³⁰³⁵		
颠	tɛn¹²		
典	tɛn²⁴		
天	tʰɛn¹²		
铁	tʰi⁵		
田	tʰɛn²¹		
填	tʰɛn²¹		
电	tʰɛn²²		
垫	tʰɛn⁴⁴	不符合古今语音演变的对应规律	
年	lɛn²¹		
捏	li⁵	不符合古今语音演变的对应规律	
怜	lɛn²¹		
莲	lɛn²¹		
练	lɛn²¹		
荐	tsɛn⁴⁴		
节	tsɿ⁵		
节	tsɿ³⁰³⁵	五月~	
千	tsʰɛn¹²		
切	tsʰɿ⁵		
前	tsʰɛn²¹		
前	tsʰɛn³⁰³⁵	面~	
截	tsɿ³	不符合古今语音演变的对应规律	
先	sɛn¹²		
屑	sɿ⁵	木~	
肩	kuə¹²	~头	
肩	kɛn¹²		
坚	kɛn¹²		
见	kɛn⁴⁴		
结	ki⁵		
结	ki³⁰³⁵	死~	
洁	ki⁵		
牵	hɛn¹²		
研	jɛn²¹		
显	hɛn²⁴		
贤	sɛn²¹	不符合古今语音演变的对应规律	
现	hɛn²²		
烟	jɛn¹²		
燕	jɛn³⁰³⁵	~子	
宴	jɛn⁴⁴		
般	poŋ¹²		
搬	poŋ¹²		
半	poŋ⁴⁴		
钵	pui³⁰³⁵		
拨	pui⁵		
潘	pʰoŋ¹²		
拼	pʰan⁴⁴	~命，不符合古今语音演变的对应规律	
判	pʰoŋ⁴⁴		
泼	pʰui⁵		
盘	pʰoŋ²¹	~钱	
盘	pʰoŋ³⁰³⁵		
伴	pʰoŋ²²		
叛	pʰoŋ⁴⁴	不符合古今语音演变的对应规律	
馒	buə²²	不符合古今语音演变的对应规律	
满	boŋ⁴⁴		
漫	buə²²		
末	bui³		
末	buə³⁰³⁵	年三十~	
端	toŋ¹²		
短	toŋ²⁴		
锻	tʰoŋ²²	~炼，不符合古今语音演变的对应规律	
脱	tʰui⁵		
团	tʰoŋ²¹		
断	tʰoŋ⁴⁴	~绝	
段	tʰoŋ²²		
缎	tʰoŋ²²		
夺	tʰui⁵		
暖	loŋ⁴⁴		
卵	lan⁴⁴	马~石	
卵	luə⁴⁴	鸡~	
卵	loŋ³⁰³⁵	男阴	
乱	loŋ²²		
钻	tsoŋ⁴⁴	~洞，不符合古今语音演变的对应规律	
钻	tsoŋ³⁰³⁵	~子	
窜	tsʰuə⁴⁴		
酸	soŋ¹²		
算	soŋ⁴⁴		
蒜	soŋ⁴⁴		
官	kun¹²		
观	kun¹²	参~	
管	kun²⁴		
馆	kun²⁴		
灌	kun⁴⁴		
冠	kun⁴⁴	~军	
罐	kun⁴⁴		
括	kʰu⁵	包~，不符合古今语音演变的对应规律	
宽	fun¹²		
款	fun²⁴		
阔	hui⁵		
欢	fun¹²		
唤	hoŋ²²	不符合古今语音演变的对应规律	
完	jiɔn²¹		
丸	jiɔn³⁰³⁵		
缓	hoŋ²²		
换	hoŋ²²		
活	hui³		
碗	voŋ²⁴		
顽	və²¹	不符合古今语音演变的对应规律	
幻	və⁴⁴	不符合古今语音演变的对应规律	
滑	və³		
猾	və³		
挖	və⁵		
篡	tsʰɔn⁴⁴		
闩	soŋ¹²	动词	
闩	soŋ³⁰³⁵	名词	
刷	tsʰui³⁰³⁵	不符合古今语音演变的对应规律	
关	kuə¹²		
惯	kuə⁴⁴		
刮	kuə⁵		
还	və²¹	~原	
环	və²¹		
患	və²²		
弯	və¹²		
恋	lɛn²¹		
劣	li³		
全	tsʰɔn²¹		
泉	tsʰɔn²¹		
绝	tsʰi³		
宣	sɔn¹²		
选	sɔn²⁴		
雪	sui⁵		
旋	tsʰɔn²²	头发~	
转	tsɔn⁴⁴	~圈	
传	tsʰɔn²¹	~达	
传	tsɔn²⁴	~记，不符合古今语音演变的对应规律	
专	tsɔn¹²		
砖	tsɔn¹²		
穿	tsʰɔn¹²		
串	tsʰɔn⁴⁴		
船	sɔn²¹	火~	
船	sɔn³⁰³⁵		
说	sui⁵		
软	ɡiɔn⁴⁴		
卷	kiɔn²⁴	~起	
卷	kiɔn²⁴	考~，不符合古今语音演变的对应规律	
圈	kʰiɔn¹²	走一~	
圈	kʰiɔn³⁰³⁵	画~	
拳	kʰiɔn²¹		
权	kʰiɔn²¹		
倦	kʰiɔn²²		
圆	jiɔn²¹		
圆	jiɔn³⁰³⁵	汤~	
员	jiɔn²¹		
院	jiɔn²²	~长	
院	jiɔn³⁰³⁵	~子	
缘	jiɔn²¹		
铅	jiɔn²¹		
沿	jiɔn²¹		
阅	jiɛ³		
反	fuə²⁴		
贩	fuə⁴⁴		
发	fuə⁵		
翻	fuə¹²		
烦	fuə²¹		
饭	fuə²²		
饭	fuə³⁰³⁵	早~	
罚	fuə³		
晚	boŋ⁴⁴	~崽	
晚	buə⁴⁴		
万	buə²²		
袜	buə³		
劝	kʰiɔn⁴⁴		
元	jiɔn²¹		
原	jiɔn²¹		
愿	ɡiɔn²²		
月	ɡiɛ³		
冤	jiɔn¹²		
袁	jiɔn²¹		
园	jiɔn²¹		
园	jiɔn³⁰³⁵	菜~	
远	jiɔn⁴⁴		
越	jiɛ³		
粤	jiɛ³		
决	kʰi⁵	不符合古今语音演变的对应规律	
诀	kʰi⁵	不符合古今语音演变的对应规律	
缺	kʰi⁵		
血	hi⁵		
悬	jɛn²¹	不符合古今语音演变的对应规律	
玄	jɛn²¹	不符合古今语音演变的对应规律	
县	jiɔn³⁰³⁵	曲江~	
县	jiɔn²⁴	~长，不符合古今语音演变的对应规律	
穴	jɿ³	不符合古今语音演变的对应规律	
渊	jiɔn¹²		
吞	tʰɔn¹²		
根	kian¹²		
跟	kian¹²		
垦	han²⁴		
痕	han²¹		
很	han²⁴	不符合古今语音演变的对应规律	
恨	han²²		
恩	an¹²		
宾	pan¹²		
笔	pai³⁰³⁵		
毕	pai⁵		
必	pi⁵		
匹	pʰai⁵		
贫	pʰan²¹		
频	pʰan²¹		
民	ban²¹		
敏	ban²⁴		
密	bai³		
蜜	bai³		
邻	lun²¹	不符合古今语音演变的对应规律	
鳞	lan²¹		
栗	lai³		
津	tsɔn¹²		
进	tsɔn⁴⁴		
亲	tsʰan¹²	~戚	
七	tsʰai⁵		
漆	tsʰai⁵		
秦	tsʰɔn²¹		
尽	tsʰan²²		
疾	tsʰuə³	不符合古今语音演变的对应规律	
辛	san¹²		
新	san¹²		
信	san⁴⁴	动词	
信	san³⁰³⁵	名词	
讯	san⁴⁴		
悉	sɛi⁵	不符合古今语音演变的对应规律	
膝	tsʰai⁵	不符合古今语音演变的对应规律	
珍	tsan¹²		
镇	tsan⁴⁴		
陈	tsʰan²¹		
尘	tsʰan²¹		
阵	tsʰan²²		
侄	tsʰɿ³		
衬	tsʰan⁴⁴		
虱	sɿ⁵		
真	tsan¹²		
诊	tsʰan²⁴	~所，不符合古今语音演变的对应规律	
诊	tsʰuə²⁴	门~，不符合古今语音演变的对应规律	
振	tsan⁴⁴		
震	tsan⁴⁴		
震	tsan³⁰³⁵	打硬~	
质	tsɿ⁵		
神	san²¹		
实	sɿ³		
身	san¹²		
申	san¹²		
伸	san¹²		
失	sɿ⁵		
室	sɿ⁵		
晨	san²¹		
臣	san²¹		
肾	san²²		
慎	san²²		
人	ɡɛn²¹	不符合古今语音演变的对应规律	
人	ɡian³⁰³⁵	老大~	
仁	ɡɛn²¹	不符合古今语音演变的对应规律	
仁	ɡian³⁰³⁵	眼睛~	
忍	ɡian⁴⁴		
认	ɡian²²		
日	ɡi³	~子	
日	ɡi³⁰³⁵	今~	
巾	kian¹²		
紧	kian²⁴		
吉	ki⁵		
仅	kian²⁴	不符合古今语音演变的对应规律	
银	ɡuan²¹	金~纸	
银	ɡuan³⁰³⁵		
因	jian¹²		
印	jian⁴⁴		
乙	ɡiɛ³	不符合古今语音演变的对应规律	
一	ji⁵		
引	jian⁴⁴	~诱	
引	jian³⁰³⁵	~火线	
逸	jiɛ³		
斤	kian¹²		
筋	kian¹²		
谨	kian²⁴		
劲	kian⁴⁴		
勤	kʰuan²¹		
芹	kʰuan²¹		
近	kʰian⁴⁴	远~	
近	kʰian²²	最~	
欣	jian¹²	不符合古今语音演变的对应规律	
殷	jian¹²		
隐	jian²⁴		
奔	pan¹²		
本	pan²⁴		
不	pu⁵		
盆	pʰan³⁰³⁵		
笨	pan⁴⁴	不符合古今语音演变的对应规律	
勃	pʰui³		
门	ban²¹	~铲	
门	ban³⁰³⁵		
闷	ban²²		
没	bu³	沉~	
墩	tɔn¹²		
顿	tɔn⁴⁴		
盾	tʰɔn⁴⁴		
钝	tʰɔn²²		
突	tʰɛi³	不符合古今语音演变的对应规律	
嫩	lɔn²²		
论	lɔn²²	议~	
尊	tsɔn¹²		
卒	tsui³⁰³⁵		
村	tsʰɔn¹²		
寸	tsʰɔn⁴⁴		
存	tsʰɔn²¹		
孙	sɔn¹²		
损	sɔn²⁴		
昆	kʰuan¹²	不符合古今语音演变的对应规律	
滚	kuan²⁴		
棍	kuan³⁰³⁵		
骨	ku⁵		
坤	kʰuan¹²		
捆	kʰuan²⁴		
困	kʰuan⁴⁴		
窟	fu³⁰³⁵		
昏	fan¹²		
婚	fan¹²		
忽	fu⁵		
魂	van²¹		
浑	van²¹		
混	fan²²	相~	
温	van¹²		
瘟	van¹²		
稳	van²⁴		
伦	lɔn²¹		
轮	lɔn²¹	看一~	
轮	lɔn³⁰³⁵	车~	
律	lui³		
遵	tsɔn¹²		
俊	tsɔn⁴⁴		
笋	sɔn²⁴		
迅	sɔn⁴⁴		
戌	sɿ²²		
恤	sui⁵		
旬	sɔn²¹		
巡	sɔn²¹		
殉	sɔn²¹	不符合古今语音演变的对应规律	
准	tsɔn²⁴		
春	tsʰɔn¹²	~季	
春	tsʰɔn³⁰³⁵	鸡~	
蠢	tsʰɔn²⁴		
出	tsʰu⁵		
唇	sɔn²¹		
顺	sɔn²²		
术	sui³		
述	sui³		
舜	sɔn⁴⁴		
纯	sɔn²¹		
闰	jiɔn²²		
均	kuan¹²		
橘	ki⁵	不符合古今语音演变的对应规律	
菌	kʰuan³⁰³⁵		
匀	jiɔn²¹		
允	jiɔn²⁴		
分	fan¹²		
粉	fan²⁴		
奋	fan⁴⁴		
粪	fan⁴⁴		
纷	fan¹²		
坟	fan²¹		
愤	fan⁴⁴		
份	fan²²		
佛	fu³		
文	ban²¹		
闻	ban²¹		
蚊	ban¹²	不符合古今语音演变的对应规律	
问	ban²²		
物	bu³		
君	kuan¹²		
军	kuan¹²		
屈	vu⁵	不符合古今语音演变的对应规律	
群	kʰuan²¹		
裙	kʰuan³⁰³⁵		
掘	kʰu³		
熏	fan¹²		
勋	fan¹²		
训	fan⁴⁴		
云	jiɔn²¹		
运	jiɔn²²		
晕	van²¹		
帮	pɔŋ¹²		
榜	pɔŋ²⁴		
博	pɔu⁵		
旁	pʰɔŋ²¹		
傍	pʰɔŋ²¹	不符合古今语音演变的对应规律	
薄	pʰɔu³		
忙	bɔŋ²¹		
蟒	bɔŋ²⁴		
莫	bɔu³		
莫	bɔu⁵	约~，不符合古今语音演变的对应规律	
膜	bɔu³		
幕	bɔu³		
当	tɔŋ¹²		
党	tɔŋ²⁴		
汤	tʰɔŋ¹²		
烫	tʰɔŋ⁴⁴		
托	tʰɔu⁵	委~	
托	tʰɔu⁵	~运	
堂	tʰɔŋ²¹		
唐	tʰɔŋ²¹		
糖	tʰɔŋ²¹		
塘	tʰɔŋ³⁰³⁵		
荡	tʰɔŋ⁴⁴		
诺	lɔu³		
郎	lɔŋ²¹		
郎	lɔŋ³⁰³⁵	新~公	
狼	lɔŋ²¹		
廊	lɔŋ²¹		
朗	lɔŋ²⁴		
浪	lɔŋ²²		
落	lɔu³		
洛	lɔu³		
乐	lɔu³	快~	
络	lɔu³		
脏	tsɔŋ¹²	肮~	
葬	tsɔŋ⁴⁴		
作	tsɔu⁵		
仓	tsʰɔŋ¹²		
藏	tsʰɔŋ²¹	躲	
藏	tsʰɔŋ²²	西~	
脏	tsʰɔŋ²²	内~	
凿	tsʰɔu³	动词	
凿	tsʰɔu³⁰³⁵	名词	
昨	tsɔu⁵	不符合古今语音演变的对应规律	
桑	sɔŋ³⁰³⁵		
嗓	sɔŋ²⁴		
丧	sɔŋ⁴⁴	~失	
索	sɔu⁵		
刚	kɔŋ¹²		
缸	kɔŋ¹²		
纲	kɔŋ¹²		
钢	kɔŋ⁴⁴	不符合古今语音演变的对应规律	
各	kɔu⁵		
阁	kɔu⁵		
康	hɔŋ¹²		
糠	hɔŋ¹²		
抗	kʰɔŋ⁴⁴		
昂	ɡɔŋ²⁴	不符合古今语音演变的对应规律	
行	hɔŋ²¹		
航	hɔŋ²¹		
鹤	hɔu³		
鹤	hɔu³⁰³⁵	白~	
恶	ɔu⁵	凶~	
娘	lɛŋ³⁰³⁵		
凉	lɛŋ²¹		
良	lɛŋ²¹		
量	lɛŋ²¹	丈~	
粮	lɛŋ²¹		
两	lɛŋ⁴⁴	~尺	
两	lɛŋ²⁴	二~	
亮	lɛŋ²²		
量	lɛŋ²²	重~	
略	liu³		
将	tsɛŋ¹²	~来	
浆	tsɛŋ¹²		
蒋	tsɛŋ²⁴		
奖	tsɛŋ²⁴		
酱	tsɛŋ⁴⁴		
将	tsɛŋ⁴⁴	大~	
爵	tsiu⁵		
雀	tsiu³⁰³⁵		
枪	tsʰɛŋ¹²		
抢	tsʰɛŋ²⁴		
墙	tsʰɛŋ²¹		
匠	tsʰɛŋ²²		
相	sɛŋ¹²	互~	
箱	sɛŋ¹²		
想	sɛŋ²⁴		
相	sɛŋ⁴⁴	~片	
削	siu⁵		
详	tsʰɛŋ²¹		
祥	tsʰɛŋ²¹		
象	tsʰɛŋ²²		
像	tsʰɛŋ²²		
张	tsɛŋ¹²		
长	tsɛŋ²⁴	成~	
涨	tsɛŋ⁴⁴		
帐	tsɛŋ³⁰³⁵		
账	tsɛŋ³⁰³⁵		
胀	tɛŋ⁴⁴		
着	/	~衣	
畅	tsʰɔŋ⁴⁴	不符合古今语音演变的对应规律	
长	tsʰɛŋ²¹	~短	
肠	tsʰɔŋ²²	不符合古今语音演变的对应规律	
场	tsʰɛŋ²¹		
丈	tsʰɛŋ⁴⁴	~人公	
丈	tsʰɛŋ²²	一~	
丈	tsɛŋ²⁴	姨~，不符合古今语音演变的对应规律	
仗	tsʰɛŋ²²		
杖	tsɛŋ²⁴	不符合古今语音演变的对应规律	
着	tsʰiu³	睡~	
庄	tsɔŋ¹²		
装	tsɔŋ¹²		
壮	tsɔŋ⁴⁴		
疮	tsʰɔŋ¹²		
闯	tsʰɔŋ²⁴		
创	tsʰɔŋ⁴⁴		
床	tsʰɔŋ²¹		
状	tsʰɔŋ²²		
霜	sɔŋ¹²		
爽	sɔŋ²⁴		
章	tsɛŋ¹²		
樟	tsɛŋ¹²		
掌	tsɛŋ²⁴		
障	tsɛŋ⁴⁴		
昌	tsʰɛŋ¹²		
厂	tsʰɛŋ²⁴		
唱	tsʰɔŋ⁴⁴		
倡	tsʰɛŋ¹²	不符合古今语音演变的对应规律	
商	sɔŋ¹²		
伤	sɔŋ¹²		
赏	sɔŋ²⁴		
常	sɔŋ²¹		
尝	sɔŋ²¹		
上	sɔŋ⁴⁴	~山	
尚	sɔŋ²²	高~	
尚	sɔŋ³⁰³⁵	和~	
上	sɔŋ²²	山~	
壤	ɡɛŋ²²		
让	ɡɛŋ²²		
若	jiu³		
弱	ɡiu³		
疆	kɛŋ¹²		
姜	kɛŋ¹²	生~	
姜	kɛŋ¹²	姓~	
脚	kiu⁵		
脚	kiu³⁰³⁵	残汁	
却	kʰiu⁵		
强	kʰɛŋ²¹	~大	
强	kʰɛŋ²⁴	勉~	
仰	ɡɔŋ²⁴		
虐	ɡiu³		
香	hɛŋ¹²		
乡	hɛŋ¹²		
响	hɛŋ²⁴		
享	hɛŋ²⁴		
向	hɛŋ⁴⁴		
央	jɔŋ¹²		
秧	jɔŋ¹²		
约	jiu⁵		
羊	jɔŋ²¹		
洋	jɔŋ²¹		
杨	jɔŋ²¹		
阳	jɔŋ²¹		
养	jɔŋ⁴⁴		
痒	jɔŋ⁴⁴		
样	jɔŋ²²	一~	
样	jɔŋ³⁰³⁵	丑~	
药	jiu³		
跃	jiu³		
光	kɔŋ¹²		
广	kɔŋ²⁴		
郭	kɔu⁵		
旷	kʰɔŋ⁴⁴		
扩	kʰɔŋ⁴⁴	不符合古今语音演变的对应规律	
荒	fɔŋ¹²		
慌	fɔŋ¹²		
谎	fɔŋ¹²		
霍	kʰɔu⁵		
黄	vɔŋ²¹		
黄	vɔŋ³⁰³⁵	牙~	
皇	vɔŋ²¹		
晃	fɔŋ²⁴	不符合古今语音演变的对应规律	
镬	vɔu³	锅	
汪	vɔŋ¹²	姓氏	
方	fɔŋ¹²		
放	fɔŋ⁴⁴		
芳	fɔŋ¹²		
妨	fɔŋ²¹		
纺	fɔŋ²⁴		
仿	fɔŋ²⁴		
访	fɔŋ²⁴		
房	fɔŋ²¹	~间	
房	fɔŋ³⁰³⁵	书~	
防	fɔŋ²¹		
亡	bɔŋ²¹		
网	bɔŋ²⁴		
忘	bɔŋ²¹	不符合古今语音演变的对应规律	
望	bɔŋ²²		
匡	kʰɔŋ¹²		
筐	kʰɔŋ¹²		
狂	kʰɔŋ²¹		
况	kʰɔŋ⁴⁴		
枉	vɔŋ²⁴		
王	vɔŋ²¹		
往	vɔŋ⁴⁴		
旺	vɔŋ²²		
邦	pɔŋ¹²		
绑	pɔŋ²⁴		
剥	pɔu⁵		
驳	pɔu⁵		
胖	pʰoŋ²²	不符合古今语音演变的对应规律	
朴	pʰɔu⁵		
庞	pʰɔŋ²¹		
棒	pʰaŋ⁴⁴	不符合古今语音演变的对应规律	
蚌	pʰɔŋ²⁴		
雹	pʰɔu³		
桩	tsɔŋ¹²		
桌	tsɔu³⁰³⁵		
卓	tsʰiu³	不符合古今语音演变的对应规律	
琢	tsʰiu³	不符合古今语音演变的对应规律	
戳	tsʰɔu¹²	邮~，不符合古今语音演变的对应规律	
撞	tsʰɔŋ²²		
浊	tsʰɔu³		
捉	tsɔu⁵		
窗	tsʰɔŋ¹²	~帘	
窗	tsʰɔŋ³⁰³⁵	光~	
镯	tsʰɔu³⁰³⁵		
双	sɔŋ¹²		
朔	sɔu⁵		
江	kɔŋ¹²		
讲	kɔŋ²⁴		
港	kɔŋ²⁴		
降	kɔŋ⁴⁴	下~	
觉	kɔu⁵	感~	
角	kɔu⁵		
角	kɔu³⁰³⁵	黄阿~	
腔	hɔŋ¹²		
确	kʰɔu⁵		
壳	kʰɔu⁵		
壳	kʰɔu³⁰³⁵	面~	
岳	ɔu⁵	不符合古今语音演变的对应规律	
乐	ɡɔu³⁰³⁵	音~	
降	hɔŋ²¹	投~	
项	hɔŋ²²		
巷	hɔŋ³⁰³⁵		
学	hɔu³		
学	hɔu³⁰³⁵	入~	
握	vɔu⁵		
