				#调值	[1]24 [2]434 [3]44 [4]223 [5]52 [6]231 [7]5 [8]23
蘸	蘸	tsɑ̃52			
插	插	ʦʰɑʔ5			
閘	闸	zɑʔ23			
煠	煠	zɑʔ23			
杉	杉	sɑ̃24			
減	减	kɑ̃44			
堿	碱	kɑ̃44			
夾	夹	kɑʔ5			
掐	掐	kʰɑʔ5			
咸	咸	ɑ̃434	咸豐		
鹹	咸	ɑ̃434	鹹淡		
餡	馅	ɑ̃231			
狹	狭	ɡɑʔ23	擁擠		
峽	峡	ɡɑʔ23			
攙	搀	ʦʰɑ̃24			
衫	衫	sɑ̃24			
監	监	kɑ̃24			
甲	甲	kɑʔ5			
嵌	嵌	kʰɑ̃52			
岩	岩	ŋɑ̃434			
銜	衔	ɑ̃434			
匣	匣	kəʔ5			
鴨	鸭	ɑʔ5			
押	押	ɑʔ5			
壓	压	ɑʔ5			
貶	贬	piɛ̃44			
黏	黏	ȵiɛ̃24			
聶	聂	ȵiəʔ23			
鑷	镊	ȵiəʔ23			
廉	廉	liɛ̃434			
鐮	镰	liɛ̃434			
簾	帘	liɛ̃434			
獵	猎	liəʔ23			
尖	尖	ʨiɛ̃24			
殲	歼	ʨiɛ̃24			
接	接	ʨiəʔ5			
簽	签	ʨʰiɛ̃24			
潛	潜	ʨʰiɛ̃434			
占	占	ʨiɛ̃52			
摺	折	ʨiəʔ5			
陝	陕	ɕiɛ̃44			
閃	闪	ɕiɛ̃44			
蟾	蟾	ʥyɛ̃224			
涉	涉	ʑiəʔ23			
染	染	ȵiɛ̃223			
檢	检	ʨiɛ̃44			
鉗	钳	ʨiɛ̃434			
驗	验	ȵiɛ̃231			
險	险	ɕiɛ̃44			
掩	掩	iɛ̃44			
厴	厣	iɛ̃44	鱗		
厭	厌	iɛ̃52			
炎	炎	iɛ̃434			
鹽	盐	iɛ̃434			
閻	阎	iɛ̃434			
簷	檐	iɛ̃434			
艷	艳	iɛ̃52			
焰	焰	iɛ̃52			
鹽	盐	iɛ̃231	醃		
葉	叶	iəʔ23			
頁	页	iəʔ23			
劍	剑	ʨiɛ̃52			
劫	劫	ʨiəʔ5			
欠	欠	ʨʰiɛ̃52			
嚴	严	ȵiɛ̃44			
業	业	ȵiəʔ23			
醃	腌	iɛ̃24			
點	点	tiɛ̃44			
店	店	tiɛ̃52			
跌	跌	tiəʔ5			
添	添	tʰiɛ̃24			
舔	舔	tʰiɛ̃44			
帖	帖	tʰiəʔ5			
貼	贴	tʰiəʔ5			
甜	甜	tiɛ̃434			
簟	簟	diɛ̃223			
迭	迭	diəʔ23			
蝶	蝶	diəʔ23			
碟	碟	diəʔ23			
諜	谍	diəʔ23			
鮎	鲇	ȵiɛ̃434	鯰		
念	念	ȵiɛ̃231			
挾	挟	kɑʔ5			
謙	谦	ʨʰiɛ̃24			
歉	歉	ʨʰiɛ̃52			
嫌	嫌	iɛ̃434			
協	协	iəʔ23			
法	法	fɑʔ5			
凡	凡	fɑ̃434			
帆	帆	fɑ̃434			
范	范	vɑ̃223	姓		
範	范	vɑ̃223	模範		
犯	犯	vɑ̃223			
乏	乏	vɑʔ23			
品	品	pʰiŋ44			
林	林	liŋ434			
淋	淋	liŋ434			
立	立	liəʔ23			
笠	笠	liəʔ23			
粒	粒	ləʔ23			
浸	浸	tsəŋ52			
侵	侵	ʦʰəŋ24			
寢	寝	ʦʰəŋ44			
集	集	ʥiəʔ23			
輯	辑	ʥiəʔ23			
蕈	蕈	zəŋ223			
心	心	səŋ24			
尋	寻	səŋ434			
習	习	ʑyəʔ23			
襲	袭	ʑiəʔ23			
砧	砧	tiŋ24			
沉	沉	tsəŋ434			
簪	簪	tsɤ24			
森	森	səŋ24			
參	参	səŋ24	人參		
滲	渗	səŋ52			
針	针	tsəŋ24			
枕	枕	tsəŋ44			
執	执	dzəʔ23			
汁	汁	tsəʔ5			
深	深	səŋ24			
沈	沈	səŋ44			
審	审	səŋ44			
嬸	婶	səŋ44			
濕	湿	ʨʰiəʔ5			
十	十	zəʔ23			
任	任	ȵiŋ231			
妊	妊	ȵiŋ231			
入	入	ȵiəʔ23			
今	今	kəŋ24	今日		
今	今	ʨiŋ24	讀字音		
金	金	ʨiŋ24			
禁	禁	ʨiŋ52			
急	急	ʨiəʔ5			
級	级	ʨiəʔ5			
琴	琴	ʨiŋ434			
妗	妗	ʥiŋ231			
及	及	ʥiəʔ23			
吸	吸	ʨyəʔ5	吮吸		
吸	吸	ɕiəʔ5	讀字音		
音	音	iŋ24			
陰	阴	iŋ24			
蔭	荫	iŋ24			
丹	丹	tɑ̃24			
單	单	tɑ̃24			
撣	掸	tɑ̃44			
旦	旦	tɑ̃52			
攤	摊	tʰɑ̃24			
坦	坦	tʰɑ̃44			
炭	炭	tʰɑ̃52			
歎	叹	tʰɑ̃52			
壇	坛	tɑ̃434			
彈	弹	tɑ̃434	動詞		
誕	诞	dɛ̃224			
但	但	dɑ̃231			
彈	弹	dɑ̃231	名詞		
蛋	蛋	dɑ̃231			
達	达	dɑʔ23			
難	难	nɑ̃434	形容詞		
難	难	nɑ̃231	名詞		
捺	捺	nɑʔ23			
蘭	兰	lɑ̃434			
攔	拦	lɑ̃434			
欄	栏	lɑ̃434			
懶	懒	lɑ̃223			
爛	烂	lɑ̃231			
辣	辣	lɑʔ23			
瘌	瘌	lɑʔ23			
餐	餐	ʦʰɑ̃24			
擦	擦	ʦʰɑʔ5			
散	散	sɑ̃44	鞋帶散		
傘	伞	sɑ̃44			
散	散	sɑ̃52	散會		
撒	撒	sɑʔ5			
薩	萨	sɑʔ5			
干	干	kuɤ24	天干		
肝	肝	kuɤ24			
竿	竿	kuɤ24			
乾	干	kuɤ24	乾淨		
桿	杆	kuɤ44			
稈	秆	kuɤ44			
趕	赶	kuɤ44			
幹	干	kuɤ52	幹部		
割	割	kuəʔ5			
看	看	kʰɤ24	看守		
刊	刊	kʰɤ24			
渴	渴	kʰuəʔ5			
岸	岸	uɤ211			
漢	汉	xuɤ52			
寒	寒	uɤ434			
韓	韩	ɤ434			
旱	旱	uɤ223			
汗	汗	uɤ231			
焊	焊	uɤ231			
安	安	uɤ24			
鞍	鞍	uɤ24			
按	按	uɤ52			
案	案	uɤ52			
扮	扮	pɑ̃52			
八	八	pɑʔ5			
盼	盼	pʰɑ̃52			
辦	办	bɑ̃231			
拔	拔	bɑʔ23			
抹	抹	məʔ23			
盞	盏	tsɑ̃44			
扎	扎	tsɑʔ5			
鏟	铲	ʦʰɑ̃44			
察	察	ʦʰɑʔ5			
山	山	sɑ̃24			
產	产	ʦʰɑ̃44			
殺	杀	sɑʔ5			
艱	艰	kɑ̃24			
間	间	kɑ̃24			
簡	简	kɑ̃44			
柬	柬	kɑ̃44			
柬	柬	kɑ̃44			
揀	拣	kɑ̃44			
眼	眼	ŋɛ̃223			
閒	闲	ɑ̃434			
限	限	ɑ̃223			
莧	苋	xɑ̃52			
班	班	pɑ̃24			
扳	扳	pɑ̃24			
板	板	pɑ̃44			
版	版	pɑ̃44			
攀	攀	pʰɑ̃24			
爿	丬	pɑ̃434			
蠻	蛮	mɑ̃434			
慢	慢	mɑ̃231			
刪	删	sɑ̃24			
鍘	铡	zɑʔ23			
奸	奸	kɑ̃24			
顏	颜	ŋɑ̃434			
雁	雁	ŋɑ̃231			
瞎	瞎	xɑʔ5			
轄	辖	xɑʔ5			
鞭	鞭	piɛ̃24			
編	编	piɛ̃24			
變	变	piɛ̃52			
別	别	biəʔ23	區別		
鱉	鳖	piəʔ5			
篇	篇	pʰiɛ̃24			
偏	偏	pʰiɛ̃24			
騙	骗	pʰiɛ̃52			
便	便	piɛ̃434	便宜		
辨	辨	biɛ̃223			
辯	辩	biɛ̃223			
便	便	biɛ̃231	方便		
別	别	biəʔ23	離別		
棉	棉	miɛ̃434			
免	免	miɛ̃223			
面	面	miɛ̃231	臉		
滅	灭	miəʔ23			
搣	搣	miəʔ5			
碾	碾	ʨiɛ̃44			
連	连	liɛ̃434			
聯	联	liɛ̃434			
列	列	liəʔ23			
烈	烈	liəʔ23			
裂	裂	liəʔ23			
煎	煎	ʨiɛ̃24			
剪	剪	ʨiɛ̃44			
箭	箭	ʨiɛ̃52			
濺	溅	ʨiɛ̃52			
遷	迁	ʨʰiɛ̃24			
淺	浅	ʨʰiɛ̃44			
踐	践	ʥiɛ̃223			
賤	贱	ʑiɛ̃231			
仙	仙	ɕiɛ̃24			
鮮	鲜	ɕiɛ̃24			
線	线	ɕiɛ̃52			
薛	薛	ɕiəʔ5			
展	展	ʨiɛ̃44			
哲	哲	ʨiəʔ5			
撤	撤	ʨʰiəʔ5			
纏	缠	ʨyɛ̃434			
戰	战	ʨiɛ̃52			
折	折	ʨiəʔ5	折扣		
浙	浙	ʨiəʔ5			
舌	舌	ʥiəʔ23			
搧	搧	ɕiɛ̃52			
扇	扇	ɕiɛ̃52			
設	设	ɕiəʔ5			
蟬	蝉	ɕiɛ̃434			
善	善	ʑiɛ̃223			
鱔	鳝	ʑiɛ̃223			
折	折	ʑiəʔ23	折本		
然	然	ɕiɛ̃434			
熱	热	ȵiəʔ23			
乾	干	ʨiɛ̃434	乾隆		
件	件	ʥiɛ̃231			
傑	杰	ʥiəʔ23			
焉	焉	iɛ̃24			
延	延	iɛ̃434			
筵	筵	iɛ̃434			
演	演	iɛ̃223			
建	建	ʨiɛ̃52			
揭	揭	ʨiəʔ5			
鍵	键	ʥiɛ̃223			
健	健	ʥiɛ̃231			
言	言	ȵiɛ̃434			
鍁	锨	ɕiɛ̃24			
憲	宪	ɕiɛ̃52			
獻	献	ɕiɛ̃52			
歇	歇	ɕiəʔ5			
堰	堰	iɛ̃52			
邊	边	piɛ̃24			
蝙	蝙	piɛ̃44			
扁	扁	piɛ̃44			
匾	匾	piɛ̃44			
遍	遍	piɛ̃52			
憋	憋	piəʔ5			
片	片	pʰiɛ̃52			
撇	撇	pʰiəʔ5			
辮	辫	biɛ̃223			
麵	面	miɛ̃231	麵粉		
篾	篾	miəʔ23			
顛	颠	tiɛ̃24			
典	典	tiɛ̃44			
咥	咥				
天	天	tʰiɛ̃24			
鐵	铁	tʰiəʔ5			
田	田	tiɛ̃434			
填	填	tiɛ̃434			
電	电	diɛ̃231			
殿	殿	diɛ̃231			
墊	垫	diɛ̃231			
年	年	ȵiɛ̃434			
捏	捏	ȵiəʔ23			
憐	怜	liɛ̃434			
蓮	莲	liɛ̃434			
練	练	liɛ̃231			
煉	炼	liɛ̃231			
薦	荐	ʨiɛ̃52			
節	节	ʨiəʔ5			
千	千	ʨʰiɛ̃24			
切	切	ʨʰiəʔ5			
前	前	ɕiɛ̃434			
截	截	ʑiəʔ23			
先	先	ɕiɛ̃24			
筅	筅	ɕiɛ̃24			
肩	肩	ʨiɛ̃24			
堅	坚	ʨiɛ̃24			
繭	茧	ʨiɛ̃44			
筧	笕	ʨiɛ̃44			
見	见	ʨiɛ̃52			
結	结	ʨiəʔ5			
潔	洁	ʨiəʔ5			
䥛	䥛	ʨiəʔ5			
桔	桔	ʨiəʔ5			
牽	牵	ʨʰiɛ̃24			
研	研	ȵiɛ̃434			
嚙	啮	ŋəʔ23			
顯	显	ɕiɛ̃44			
賢	贤	iɛ̃434			
弦	弦	iɛ̃434			
現	现	iɛ̃231			
煙	烟	iɛ̃24			
燕	燕	iɛ̃52			
宴	宴	iɛ̃52			
般	般	pɤ434			
搬	搬	pɤ434			
半	半	pɤ52			
缽	钵	pəʔ5			
撥	拨	pəʔ5			
潘	潘	pʰɤ24			
拼	拼	pʰiŋ24			
判	判	pʰɤ52			
潑	泼	pʰəʔ5			
盤	盘	pɤ434			
伴	伴	bɤ223			
拌	拌	bɤ223			
叛	叛	bɤ231			
瞞	瞒	mɤ434			
饅	馒	mɤ434			
滿	满	mɤ223			
末	末	məʔ23			
沫	沫	məʔ23			
端	端	tɤ24			
短	短	tɤ44			
斷	断	tɤ52	判斷		
鍛	锻	dɤ231			
掇	掇	təʔ5			
脫	脱	tʰəʔ5			
團	团	tɤ434			
斷	断	dəŋ223	斷了		
段	段	dɤ231			
奪	夺	dəʔ23			
暖	暖	nəŋ223			
卵	卵	ləŋ223	蛋（禽蛋）		
亂	乱	lɤ211			
鑚	鑚	tsɤ24	動詞		
鑚	鑚	tsɤ52	名詞		
撮	撮	ʦʰəʔ5			
酸	酸	sɤ24			
算	算	sɤ52			
蒜	蒜	sɤ52			
官	官	kuɑ̃24			
棺	棺	kuɑ̃24			
觀	观	kuɑ̃24	觀音		
管	管	kuɑ̃44			
館	馆	kuɑ̃44			
貫	贯	kuɑ̃52			
灌	灌	kuɑ̃52			
罐	罐	kuɑ̃52			
觀	观	kuɑ̃24	道觀		
冠	冠	kuɑ̃52			
括	括	kuɑʔ5			
寬	宽	kʰuɑ̃24			
款	款	kʰuɑ̃44			
闊	阔	kʰuəʔ5			
歡	欢	xuɑ̃24			
完	完	yɛ̃434	做完		
完	完	uɑ̃434	完成		
丸	丸	yɛ̃434			
換	换	uɑ̃231			
活	活	uɑʔ23			
豌	豌	uɑ̃44			
碗	碗	uɑ̃44			
腕	腕	uɑ̃44			
幻	幻	uɑ̃231			
滑	滑	uɑʔ23			
猾	猾	uɑʔ23			
挖	挖	uɑʔ5			
刷	刷	ɕyəʔ5			
關	关	kəŋ24	關門		
關	关	kuɑ̃24	關係，機關，開關		
慣	惯	kuɑ̃52			
刮	刮	kuɑʔ5			
還	还	uɑ̃434	歸還		
環	环	uɑ̃434			
彎	弯	uɑ̃24			
灣	湾	uɑ̃24			
戀	恋	liɛ̃231			
劣	劣	liəʔ23			
全	全	ɕyɛ̃434			
泉	泉	ɕyɛ̃434			
絕	绝	ʑyəʔ23			
宣	宣	ɕyɛ̃24			
選	选	ɕyɛ̃44			
雪	雪	ɕiəʔ5			
旋	旋	ʑyɛ̃231			
轉	转	tyɛ̃44			
傳	传	ʨyɛ̃434	動詞		
椽	椽	ʨyɛ̃434			
傳	传	ʥyɛ̃231	名詞		
專	专	ʨyɛ̃24			
磚	砖	ʨyɛ̃24			
川	川	ʨʰyɛ̃24			
穿	穿	ʨʰyəŋ24	穿針		
穿	穿	ʨʰyɛ̃24	讀字音		
喘	喘	ʨʰyɛ̃44			
串	串	ʨʰyəŋ52	一串		
串	串	ʨʰyɛ̃52	串聯		
船	船	ɕyɛ̃434			
說	说	ɕyəʔ5	小說		
軟	软	ȵyɛ̃223			
捲	卷	ʨyɛ̃44	捲起		
捲	卷	ʨyɛ̃52			
眷	眷	ʨyɛ̃52			
卷	卷	ʨʰyɛ̃24	考卷		
圈	圈	ʨʰyɛ̃434			
拳	拳	ʨyɛ̃434			
權	权	ʨyɛ̃434			
員	员	yɛ̃434			
院	院	yɛ̃231			
緣	缘	yɛ̃434			
沿	沿	iɛ̃434			
鉛	铅	kʰɑ̃24			
捐	捐	ʨyɛ̃24			
閱	阅	yəʔ23			
反	反	pɑ̃44	翻動		
反	反	fɑ̃44	反對		
販	贩	fɑ̃52			
髪	髪	fɑʔ5	頭髮		
發	发	fɑʔ5	發明		
翻	翻	fɑ̃24			
番	番	fɑ̃24			
煩	烦	fɑ̃434			
繁	繁	fɑ̃434			
飯	饭	vɑ̃231			
伐	伐	vɑʔ23			
筏	筏	vɑʔ23			
罰	罚	vɑʔ23			
晚	晚	mɑ̃223			
萬	万	mɑ̃231			
襪	袜	mɑʔ23			
勸	劝	ʨʰyɛ̃52			
元	元	ȵyɛ̃434			
原	原	ȵyɛ̃434			
源	源	ȵyɛ̃434			
阮	阮	ȵyɛ̃223			
願	愿	ȵyɛ̃231			
月	月	ȵyəʔ23			
冤	冤	yɛ̃24			
怨	怨	yɛ̃52			
袁	袁	yɛ̃434			
園	园	yɛ̃434			
援	援	yɛ̃434			
遠	远	yɛ̃223			
越	越	yəʔ23			
粵	粤	yəʔ23			
決	决	ʨyəʔ5			
訣	诀	ʨyəʔ5			
犬	犬	ʨʰyɛ̃44			
缺	缺	ʨʰyəʔ5			
血	血	ɕyəʔ5			
玄	玄	yɛ̃434			
縣	县	yɛ̃231			
穴	穴	yəʔ23			
淵	渊	yɛ̃24			
吞	吞	tʰɤ24			
跟	跟	kɤ24			
根	根	kɤ24			
很	很	xəŋ44			
狠	狠	xəŋ44			
恨	恨	əŋ231			
恩	恩	ɤ24			
彬	彬	piŋ24			
賓	宾	piŋ24			
筆	笔	piəʔ5			
畢	毕	piəʔ5			
必	必	piəʔ5			
匹	匹	pʰiəʔ5			
䏘	䏘	pʰiəʔ5	屄		
貧	贫	piŋ434			
民	民	miŋ434			
密	密	miəʔ23			
蜜	蜜	miəʔ23			
鄰	邻	liŋ434			
鱗	鳞	liŋ434			
栗	栗	liəʔ23			
津	津	ʨyəŋ24			
進	进	tsəŋ52			
晉	晋	tsəŋ52			
親	亲	ʦʰəŋ24	相親		
親	亲	ʦʰəŋ24	親家		
七	七	ʦʰəʔ5			
漆	漆	ʦʰəʔ5			
秦	秦	səŋ434			
盡	尽	zəŋ223			
疾	疾	zəʔ23			
辛	辛	səŋ24			
新	新	səŋ24			
薪	薪	səŋ24			
信	信	səŋ52			
訊	讯	səŋ52			
悉	悉	ɕiəʔ5			
膝	膝	ʦʰəʔ5			
珍	珍	tsəŋ24			
鎮	镇	tsəŋ52			
陳	陈	tsəŋ434	姓		
塵	尘	tsəŋ434			
陣	阵	dzəŋ231			
侄	侄	dzəʔ23			
臻	臻	tsəŋ24			
襯	衬	ʦʰəŋ52			
虱	虱	səʔ5			
真	真	tsəŋ24			
診	诊	tsəŋ44			
疹	疹	tsəŋ44			
振	振	tsəŋ52			
震	震	tsəŋ52			
質	质	tsəʔ5			
神	神	ɕiŋ434			
實	实	zəʔ23			
身	身	səŋ24			
申	申	səŋ24			
伸	伸	səŋ24			
失	失	səʔ5			
室	室	səʔ5			
辰	辰	səŋ434			
臣	臣	səŋ434			
腎	肾	zəŋ223			
人	人	ȵiŋ434			
仁	仁	ȵiŋ434			
忍	忍	ȵiŋ434			
認	认	ȵiŋ223			
日	日	nəʔ23	今日		
日	日	ȵiəʔ23	日頭（太陽）		
巾	巾	ʨiŋ24			
緊	紧	ʨiŋ44			
吉	吉	ʨiəʔ5			
羯	羯	ʨiəʔ5	閹		
銀	银	ȵiŋ434			
因	因	iŋ24			
姻	姻	iŋ24			
印	印	iŋ52			
乙	乙	iəʔ5			
一	一	iəʔ5			
引	引	iŋ223			
斤	斤	ʨiŋ24			
筋	筋	ʨiŋ24			
乞	乞	ʨʰiəʔ5			
勤	勤	ʨiŋ434			
芹	芹	ʨiŋ434			
近	近	ɡɤ223			
䘆	䘆	xuɤ44			
奔	奔	pəŋ24			
本	本	pɤ44			
噴	喷	pʰəŋ24	噴水		
噴	喷	pʰəŋ52	噴香		
盆	盆	pɤ434			
笨	笨	bəŋ231			
勃	勃	bəʔ23			
門	门	məŋ434			
悶	闷	məŋ231			
沒	没	meʔ5			
敦	敦	təŋ24			
墩	墩	təŋ24			
頓	顿	təŋ52			
褪	褪	tʰəŋ52			
飩	饨	təŋ434			
臀	臀	tɤ434			
盾	盾	dəŋ231			
鈍	钝	dɤ231			
突	突	tɤ434			
嫩	嫩	dəŋ231			
論	论	dɤ231			
尊	尊	dəʔ23			
卒	卒	nɤ231			
村	村	lɤ231			
忖	忖	ʦʰɤ44			
寸	寸	ʦʰɤ52			
存	存	sɤ434			
孫	孙	sɤ24			
損	损	sɤ44			
滾	滚	kuəŋ44			
骨	骨	kuəʔ5			
坤	坤	kʰuəŋ24			
捆	捆	kʰuəŋ44			
困	困	kʰuəŋ52			
睏	困	kʰuɤ52			
窟	窟	kʰəʔ5			
𦜇	𦜇	kʰəʔ5			
昏	昏	xuɤ24			
昏	昏	xuəŋ24			
婚	婚	xuɤ24			
婚	婚	xuəŋ24			
魂	魂	uɤ434			
餛	馄	uəŋ434			
渾	浑	uəŋ434			
混	混	uəŋ231			
溫	温	uɤ24			
瘟	瘟	uɤ24			
穩	稳	uɤ44			
輪	轮	ləŋ434			
律	律	liəʔ23			
率	率	liəʔ23	效率		
遵	遵	tsəŋ24			
筍	笋	səŋ24			
迅	迅	ɕyəŋ52			
旬	旬	ɕyəŋ434			
巡	巡	ɕyəŋ434			
率	率	sa52	率領		
蟀	蟀	ɕyəʔ5			
肫	肫	yəŋ24			
準	准	ʨyəŋ44			
春	春	ʨʰyəŋ24			
出	出	ʨʰyəʔ5			
唇	唇	ɕyəŋ434			
順	顺	ʑyəŋ231			
術	术	ʑyəʔ23			
純	纯	ɕyəŋ434			
閏	闰	yəŋ231			
均	均	ʨyəŋ24			
菌	菌	ʨyəŋ44			
勻	匀	yəŋ434			
允	允	yəŋ223			
尹	尹	iŋ223			
分	分	fəŋ24			
粉	粉	fəŋ44			
糞	粪	pɤ52	豬欄糞		
糞	粪	fəŋ52	讀字音		
奮	奋	fəŋ52			
弗	弗	fəʔ5			
芬	芬	fəŋ24			
墳	坟	fəŋ434			
份	份	vəŋ231			
佛	佛	vəʔ23			
文	文	məŋ434			
紋	纹	məŋ434			
蚊	蚊	məŋ434			
聞	闻	məŋ434			
問	问	məŋ231			
物	物	məʔ23			
君	君	ʨyəŋ24			
軍	军	ʨyəŋ24			
屈	屈	ʨʰyəʔ5			
群	群	ʨyəŋ434			
裙	裙	ʨyəŋ434			
掘	掘	ʥyəʔ23			
熏	熏	ɕyəŋ24			
葷	荤	xuɤ24			
訓	训	ɕyəŋ52			
云	云	yəŋ434			
韻	韵	yəŋ231			
運	运	yəŋ231			
暈	晕	yəŋ231			
幫	帮	pɔ̃24			
榜	榜	pɔ̃44			
博	博	pəʔ5			
旁	旁	pɔ̃434			
薄	薄	bəʔ23			
忙	忙	mɔ̃434			
芒	芒	mɔ̃434			
茫	茫	mɔ̃434			
莫	莫	məʔ23			
膜	膜	məʔ23			
幕	幕	məʔ23			
摸	摸	məʔ5			
當	当	tɔ̃24	當官		
黨	党	tɔ̃44			
擋	挡	tɔ̃44			
當	当	tɔ̃52	當鋪		
湯	汤	tʰɔ̃24			
躺	躺	tʰɔ̃44			
燙	烫	tʰɔ̃52			
托	托	tʰəʔ5			
堂	堂	tɔ̃434			
螳	螳	tɔ̃434			
唐	唐	tɔ̃434			
糖	糖	tɔ̃434			
塘	塘	tɔ̃434			
郎	郎	lɔ̃434			
廊	廊	lɔ̃434			
狼	狼	lɔ̃434			
螂	螂	lɔ̃434			
莨	莨	lɔ̃434			
浪	浪	lɔ̃231			
落	落	ləʔ23			
洛	洛	ləʔ23			
絡	络	ləʔ23			
樂	乐	ləʔ23	快樂		
葬	葬	tsɔ̃52			
作	作	tsəʔ5			
倉	仓	ʦʰɔ̃24			
蒼	苍	ʦʰɔ̃24			
藏	藏	sɔ̃434	躲藏		
藏	藏	zɔ̃231	西藏		
鑿	凿	zəʔ23			
𧮙	𧮙	zəʔ23	罵		
昨	昨	zɛ̃223			
桑	桑	sɔ̃24			
磉	磉	sɔ̃44			
索	索	səʔ5			
岡	冈	kɔ̃24			
剛	刚	kɔ̃24			
鋼	钢	kɔ̃24			
缸	缸	kɔ̃24			
杠	杠	kɔ̃52			
各	各	kəʔ5			
閣	阁	kəʔ5			
康	康	kʰɔ̃24			
糠	糠	kʰɔ̃24			
抗	抗	kʰɔ̃52			
囥	囥	kʰɔ̃52			
行	行	ɔ̃434	銀行		
航	航	ɔ̃434			
杭	杭	ɔ̃434			
鶴	鹤	ŋəʔ23			
惡	恶	əʔ5			
娘	娘	ȵiɑ̃434			
娘	娘	ȵiɑ̃52	姑媽		
釀	酿	ȵiɑ̃231			
良	良	liɑ̃434			
涼	凉	liɑ̃434			
量	量	liɑ̃434	量長短		
量	量	liɑ̃434	商量		
糧	粮	liɑ̃434			
粱	粱	liɑ̃434			
梁	梁	liɑ̃434			
兩	两	liɑ̃223	數詞		
兩	两	liɑ̃223	量詞		
亮	亮	liɑ̃231			
諒	谅	liɑ̃231			
輛	辆	liɑ̃231			
量	量	liɑ̃231	名詞		
略	略	liəʔ23			
掠	掠	liəʔ23			
將	将	ʨiɑ̃24	將來		
漿	浆	ʨiɑ̃24			
蔣	蒋	ʨiɑ̃52			
獎	奖	ʨiɑ̃52			
醬	酱	ʨiəʔ5			
將	将	ʨʰiəʔ5	大將		
雀	雀	ʨʰiɑ̃24	麻雀		
雀	雀	ʨʰiɑ̃44	讀字音		
槍	枪	ʨʰiəʔ5			
搶	抢	ɕiɑ̃434			
鵲	鹊	ʨʰiəʔ5			
墻	墙	ɕiɑ̃434			
匠	匠	ʑiɑ̃231			
嚼	嚼	ʑiəʔ23			
相	相	ɕiɑ̃24	互相		
箱	箱	ɕiɑ̃24			
廂	厢	ɕiɑ̃24			
湘	湘	ɕiɑ̃24			
鑲	镶	ɕiɑ̃24			
想	想	ɕiɑ̃44			
鮝	鮝	ɕiɑ̃44			
相	相	ɕiɑ̃52	照相		
削	削	ɕiəʔ5			
詳	详	ɕiɑ̃434			
祥	祥	ɕiɑ̃434			
象	象	ʑiɑ̃223			
像	像	ʥiɑ̃223			
橡	橡	ʑiɑ̃223			
張	张	tiɑ̃24			
漲	涨	tiɑ̃52			
帳	帐	tiɑ̃52			
賬	账	tiɑ̃52			
脹	胀	tiɑ̃52			
著	着	tiəʔ5	穿		
長	长	ʨiɑ̃434			
腸	肠	ʨiɑ̃434			
場	场	ʨiɑ̃434			
丈	丈	ʥiɑ̃223			
仗	仗	ʨiɑ̃52			
杖	杖	ʥiɑ̃223			
著	着	ʥiəʔ23	碰著		
莊	庄	tsɔ̃24			
裝	装	tsɔ̃24			
壯	壮	ʨiɔ̃52			
瘡	疮	ʨʰiɔ̃24			
闖	闯	ʨʰiɔ̃44			
創	创	ʦʰɔ̃52			
牀	床	ɕiɔ̃434			
狀	状	ʑiɔ̃231			
霜	霜	ɕiɔ̃24			
爽	爽	sɔ̃44			
章	章	ʨiɑ̃24			
樟	樟	ʨiɑ̃24			
掌	掌	ʨiɑ̃44			
障	障	ʨiɑ̃52			
斫	斫	yəʔ5			
昌	昌	ʨʰiɑ̃24			
菖	菖	ʨʰiɑ̃24			
廠	厂	ʨʰiɑ̃44			
唱	唱	ʨʰiɑ̃52			
商	商	ɕiɑ̃24			
傷	伤	ɕiɑ̃24			
常	常	ɕiɑ̃434			
嘗	尝	ɕiɑ̃434			
裳	裳	ɕiɑ̃434			
上	上	ʥiɑ̃223	動詞		
上	上	ʥiɑ̃231	方位		
上	上	ʑiɑ̃231	上海		
勺	勺	ʑiəʔ23			
讓	让	ȵiɑ̃231			
疆	疆	ʨiɑ̃24			
薑	姜	ʨiɑ̃24	生薑		
姜	姜	ʨiɑ̃24	姓		
腳	脚	ʨiəʔ5	文		
強	强	ʨiɑ̃434			
仰	仰	ȵiɑ̃223			
虐	虐	ȵiəʔ23			
香	香	ɕiɑ̃24			
鄉	乡	ɕiɑ̃24			
享	享	ɕiɑ̃44			
響	响	ɕiɑ̃44			
嚮	向	ɕiɑ̃52			
央	央	iɑ̃24			
秧	秧	iɑ̃24			
約	约	iəʔ5			
羊	羊	iɑ̃434			
洋	洋	iɑ̃434			
烊	烊	iɑ̃434			
楊	杨	iɑ̃434			
陽	阳	iɑ̃434			
揚	扬	iɑ̃434			
養	养	iɑ̃223			
癢	痒	iɑ̃223			
樣	样	iɑ̃231			
藥	药	iəʔ23			
光	光	kɔ̃24			
廣	广	kɔ̃44			
郭	郭	kəʔ5			
擴	扩	kʰəʔ5			
荒	荒	xɔ̃24			
慌	慌	xɔ̃24			
謊	谎	xɔ̃44			
霍	霍	xuəʔ5			
黃	黄	ɔ̃434			
簧	簧	ɔ̃434			
皇	皇	ɔ̃434			
蝗	蝗	ɔ̃434			
鑊	镬	əʔ23	鍋		
方	方	fɔ̃24			
放	放	fɔ̃52			
芳	芳	fɔ̃24			
紡	纺	fɔ̃44			
訪	访	fɔ̃44			
