汉字	读音	注释			
倫	lœn2				
輪	lœn2				
鱗	lœn2				
論	lœn6				
津	tsœn1				
遵	tsœn1				
準	tsœn3				
准	tsœn3				
進	tsœn5				
俊	tsœn5				
盡	tsœn6				
春	tsʰœn1				
秦	tsʰœn2				
巡	tsʰœn2				
蠢	tsʰœn3				
詢	sœn1				
脣	sœn2				
純	sœn2				
醇	sœn2				
筍	sœn3				
信	sœn5				
訊	sœn5				
順	sœn6				
潤	jœn6				
閏	jœn6				
朋	pʰaŋ2-	斜體			
彭	pʰaŋ2				
膨	pʰaŋ2	~脹			
盲	maŋ2				
猛	maŋ3				
孟	maŋ6				
冷	laŋ4				
耕	kaŋ1-				
更	kaŋ1	五~			
硬	ŋaŋ6				
坑	haŋ1				
行	haŋ2-	斜體			
爭	tsaŋ1-	斜體，~嘢玩			
罉	tsʰaŋ1				
撐	tsʰaŋ1				
橙	tsʰaŋ3	~子			
生	saŋ1-				
橫	waŋ2	~直			
崩	pɐŋ1				
盟	mɐŋ2				
登	tɐŋ1				
燈	tɐŋ1				
等	tɐŋ4				
鄧	tɐŋ6				
能	lɐŋ2				
羹	kɐŋ1				
耿	kɐŋ3				
更	kɐŋ5	~加			
哽	kʰɐŋ3	~骨			
鶯	ŋɐŋ1				
亨	hɐŋ1				
騰	hɐŋ2	斜體			
藤	hɐŋ2	斜體			
行	hɐŋ2=	~爲			
肯	hɐŋ3				
幸	hɐŋ6				
行	hɐŋ6	品~			
曾	tsɐŋ1				
增	tsɐŋ1				
憎	tsɐŋ1				
等	tsɐŋ1				
睜	tsɐŋ1				
贈	tsɐŋ6				
曾	tsʰɐŋ2	~經			
層	tsʰɐŋ2				
生	sɐŋ1=	醫~			
牲	sɐŋ1				
甥	sɐŋ1				
宏	wɐŋ2				
柄	pɛŋ5				
病	pɛŋ6-				
命	mɛŋ6-	斜體，條~唔好			
釘	tɛŋ1				
頂	tɛŋ3-	斜體			
驚	kɛŋ1-	斜體			
鏡	kɛŋ5				
廳	hɛŋ1	斜體			
聽	hɛŋ1	斜體，~見			
輕	hɛŋ1-	斜體，好~			
艇	hɛŋ3	斜體			
精	tsɛŋ1-	斜體			
井	tsɛŋ3				
鄭	tsɛŋ6				
青	tsʰɛŋ1	斜體			
晴	tsʰɛŋ2	斜體			
請	tsʰɛŋ3	斜體			
星	sɛŋ1	斜體			
聲	sɛŋ1-	斜體			
腥	sɛŋ1				
城	sɛŋ2-	斜體			
成	sɛŋ2-	斜體			
醒	sɛŋ3-	斜體			
冰	piŋ1				
兵	piŋ1				
丙	piŋ3				
並	piŋ6				
病	piŋ6=	斜體			
平	pʰiŋ2=				
評	pʰiŋ2				
萍	pʰiŋ2				
鳴	miŋ2				
明	miŋ2				
丁	tiŋ1				
頂	tiŋ3=				
鼎	tiŋ3				
訂	tiŋ6	~約			
定	tiŋ6				
零	liŋ2				
菱	liŋ2				
鈴	liŋ2				
另	liŋ6				
令	liŋ6				
京	kiŋ1				
經	kiŋ1				
境	kiŋ3				
景	kiŋ3				
警	kiŋ3				
莖	kiŋ5				
敬	kiŋ5				
競	kiŋ5				
勁	kiŋ6				
傾	kʰiŋ1				
鯨	kʰiŋ2				
瓊	kʰiŋ2				
興	hiŋ1				
卿	hiŋ1				
兄	hiŋ1				
停	hiŋ2				
慶	hiŋ5				
興	hiŋ5	高~			
精	tsiŋ1=				
晶	tsiŋ1				
貞	tsiŋ1				
正	tsiŋ1	~月			
整	tsiŋ3				
正	tsiŋ5				
政	tsiŋ5				
證	tsiŋ5				
症	tsiŋ5				
靜	tsiŋ6				
靖	tsiŋ6				
清	tsʰiŋ1				
稱	tsʰiŋ1	~呼			
情	tsʰiŋ2				
呈	tsʰiŋ2				
程	tsʰiŋ2				
拯	tsʰiŋ3	~救			
秤	tsʰiŋ5=				
稱	tsʰiŋ5	相~			
升	siŋ1				
聲	siŋ1=	~音			
乘	siŋ2				
繩	siŋ2				
承	siŋ2				
丞	siŋ2				
成	siŋ2=				
省	siŋ3	反~			
姓	siŋ5				
性	siŋ5				
聖	siŋ5				
勝	siŋ5	~敗			
盛	siŋ6				
剩	siŋ6				
榮	wiŋ2				
永	wiŋ3				
泳	wiŋ6				
鷹	jiŋ1				
鸚	jiŋ1				
櫻	jiŋ1				
英	jiŋ1				
應	jiŋ1	~當			
仍	jiŋ2				
迎	jiŋ2				
形	jiŋ2				
型	jiŋ2				
刑	jiŋ2				
瑩	jiŋ2				
螢	jiŋ2				
影	jiŋ3				
映	jiŋ3				
應	jiŋ5	~用，~對			
認	jiŋ6				
篷	pʰuŋ2				
捧	pʰuŋ3				
朦	muŋ3				
夢	muŋ6				
風	fuŋ1				
瘋	fuŋ1				
豐	fuŋ1				
封	fuŋ1				
蓬	fuŋ2				
馮	fuŋ2				
逢	fuŋ2				
縫	fuŋ2				
鳳	fuŋ6				
奉	fuŋ6				
東	tuŋ1				
冬	tuŋ1				
董	tuŋ3				
懂	tuŋ3				
凍	tuŋ5				
動	tuŋ6				
洞	tuŋ6				
籠	luŋ2				
聾	luŋ2				
農	luŋ2				
膿	luŋ2				
隆	luŋ2				
龍	luŋ2				
弄	luŋ6				
通	huŋ1	斜體			
空	huŋ1				
胸	huŋ1				
凶	huŋ1				
兇	huŋ1				
同	huŋ2	斜體			
銅	huŋ2	斜體			
桐	huŋ2	斜體			
筒	huŋ2	斜體			
童	huŋ2	斜體			
紅	huŋ2				
洪	huŋ2				
虹	huŋ2				
熊	huŋ2				
雄	huŋ2				
桶	huŋ3	斜體			
孔	huŋ3				
統	huŋ3	斜體			
痛	huŋ5	斜體			
宗	tsuŋ1				
中	tsuŋ1				
忠	tsuŋ1				
舂	tsuŋ1	~米			
鍾	tsuŋ1				
鐘	tsuŋ1				
盅	tsuŋ1				
總	tsuŋ3				
粽	tsuŋ3				
種	tsuŋ3	~類			
腫	tsuŋ3				
中	tsuŋ5	射~			
眾	tsuŋ5				
縱	tsuŋ5	放~			
種	tsuŋ5	~樹			
仲	tsuŋ6				
頌	tsuŋ6				
聰	tsʰuŋ1				
充	tsʰuŋ1				
衝	tsʰuŋ1				
涌	tsʰuŋ1				
蟲	tsʰuŋ2				
從	tsʰuŋ2	跟~			
松	tsʰuŋ2				
重	tsʰuŋ2	~復			
寵	tsʰuŋ3				
重	tsʰuŋ4	輕~			
公	kuŋ1				
工	kuŋ1				
恭	kuŋ1				
供	kuŋ1				
拱	kuŋ3				
貢	kuŋ5				
共	kuŋ6				
窮	kʰuŋ2				
嵩	suŋ1				
送	suŋ5				
宋	suŋ5				
翁	juŋ1				
絨	juŋ2				
融	juŋ2				
茸	juŋ2	參~			
容	juŋ2				
蓉	juŋ2				
鎔	juŋ2				
擁	juŋ3				
勇	juŋ3				
湧	juŋ3				
用	juŋ6				
良	lœŋ2				
郎	lœŋ2	斜體			
廊	lœŋ2	斜體			
狼	lœŋ2	斜體			
量	lœŋ6	數~			
浪	lœŋ6	斜體			
糠	hœŋ1	斜體			
康	hœŋ1	斜體			
樟	tsœŋ1				
張	tsœŋ1				
漿	tsœŋ1				
將	tsœŋ1	~來			
莊	tsœŋ1				
裝	tsœŋ1				
掌	tsœŋ3				
蔣	tsœŋ3				
獎	tsœŋ3				
槳	tsœŋ3				
杖	tsœŋ3				
醬	tsœŋ5				
仗	tsœŋ5				
將	tsœŋ5	大~			
障	tsœŋ5	保~			
葬	tsœŋ5	斜體			
象	tsœŋ6				
像	tsœŋ6				
橡	tsœŋ6				
丈	tsœŋ6				
撞	tsœŋ6	斜體			
狀	tsœŋ6	斜體			
昌	tsʰœŋ1				
倡	tsʰœŋ1				
槍	tsʰœŋ1				
倉	tsʰœŋ1	斜體			
蒼	tsʰœŋ1	斜體			
瘡	tsʰœŋ1	斜體			
牆	tsʰœŋ2				
腸	tsʰœŋ2				
場	tsʰœŋ2				
長	tsʰœŋ2	~短			
藏	tsʰœŋ2	斜體，隱~			
床	tsʰœŋ2	斜體			
搶	tsʰœŋ3				
闖	tsʰœŋ3				
廠	tsʰœŋ3				
唱	tsʰœŋ5				
鑲	sœŋ1				
傷	sœŋ1				
商	sœŋ1				
箱	sœŋ1				
相	sœŋ1	互~			
喪	sœŋ1	斜體			
桑	sœŋ1	斜體			
常	sœŋ2				
償	sœŋ2				
想	sœŋ3				
爽	sœŋ3				
相	sœŋ5	~貌			
尚	sœŋ6				
上	sœŋ6	~面			
央	jœŋ1				
秧	jœŋ1				
羊	jœŋ2				
洋	jœŋ2				
楊	jœŋ2				
陽	jœŋ2				
揚	jœŋ2				
養	jœŋ3				
樣	jœŋ6				
攘	jœŋ6				
讓	jœŋ6				
幫	pɔŋ1				
邦	pɔŋ1				
榜	pɔŋ3				
綁	pɔŋ3				
旁	pʰɔŋ2				
螃	pʰɔŋ2	~蟹			
蚌	pʰɔŋ3				
芒	mɔŋ1				
忙	mɔŋ2				
亡	mɔŋ2				
忘	mɔŋ2				
網	mɔŋ3				
莽	mɔŋ4				
蟒	mɔŋ4				
望	mɔŋ6				
荒	fɔŋ1				
慌	fɔŋ1				
方	fɔŋ1				
芳	fɔŋ1				
房	fɔŋ2				
防	fɔŋ2				
紡	fɔŋ3				
放	fɔŋ5				
況	fɔŋ5				
當	tɔŋ1	~時			
黨	tɔŋ3				
擋	tɔŋ3				
當	tɔŋ5	~作			
蕩	tɔŋ6	放~			
涼	lɔŋ2	斜體			
糧	lɔŋ2	斜體			
娘	lɔŋ2	斜體			
量	lɔŋ2	斜體，~長短			
兩	lɔŋ3	斜體，~個，幾~			
江	kɔŋ1				
剛	kɔŋ1				
缸	kɔŋ1				
疆	kɔŋ1	斜體			
僵	kɔŋ1	斜體			
薑	kɔŋ1	斜體			
姜	kɔŋ1	斜體			
光	kɔŋ1	斜體			
講	kɔŋ3				
港	kɔŋ3				
廣	kɔŋ3	斜體			
降	kɔŋ5				
鋼	kɔŋ5				
狂	kʰɔŋ2	斜體			
強	kʰɔŋ2	斜體			
抗	kʰɔŋ5				
擴	kʰɔŋ5	斜體，~充			
湯	hɔŋ1	斜體			
香	hɔŋ1	斜體			
鄉	hɔŋ1	斜體			
劏	hɔŋ1	斜體			
降	hɔŋ2	投~			
堂	hɔŋ2	斜體			
棠	hɔŋ2	斜體			
唐	hɔŋ2	斜體			
糖	hɔŋ2	斜體			
塘	hɔŋ2	斜體			
享	hɔŋ3	斜體			
響	hɔŋ3	斜體			
向	hɔŋ5				
巷	hɔŋ6				
椿	tsɔŋ1				
長	tsɔŋ3	斜體，生~			
漲	tsɔŋ5	斜體			
帳	tsɔŋ5	斜體			
脹	tsɔŋ5	斜體			
賺	tsɔŋ5	斜體			
窗	tsʰɔŋ1	斜體			
雙	sɔŋ1	斜體			
賞	sɔŋ4	斜體，~月			
汪	wɔŋ1				
黃	wɔŋ2				
皇	wɔŋ2				
王	wɔŋ2				
枉	wɔŋ3				
旺	wɔŋ6				
鴨	ap7b				
答	tap7b				
搭	tap7b				
踏	tap8				
立	lap7b				
臘	lap8				
蠟	lap8				
鑞	lap8				
垃	lap8	~圾			
甲	kʰap7b				
夾	kʰap7b				
鴿	kʰap7b				
裌	kʰap7b	~衣			
塔	hap7b	斜體			
峽	hap8				
雜	tsap8				
閘	tsap8				
什	tsap8	~物			
集	tsap8				
插	tsʰap7b				
笠	lɐp7a				
粒	lɐp7a				
急	kɐp7a				
級	kʰɐp7a				
給	kʰɐp7a				
吸	kʰɐp7a				
洽	hɐp7a				
合	hɐp8				
盒	hɐp8				
執	tsɐp7a				
汁	tsɐp7a				
濕	sɐp7a				
十	sɐp8				
泣	jɐp7a				
入	jɐp8				
碟	tip8				
蝶	tip8				
劫	kip7b				
協	hip7b				
脅	hip7b				
帖	hip7b	斜體			
貼	hip7b	斜體			
摺	tsip7b				
褶	tsip7b				
接	tsip8				
涉	sip7b				
攝	sip7b				
妾	sip7b	斜體			
醃	jip7b				
葉	jip8				
頁	jip8				
壓	at7b				
押	at7b				
八	pat7b				
抹	mat7b	~布			
髮	fat7b				
發	fat7b				
法	fat7b	方~			
辣	lat8				
乞	hat7a				
扎	tsat7b				
紮	tsat7b				
刷	tsʰat7b				
察	tsʰat7b				
擦	tsʰat7b				
殺	sat7b				
刮	kwat7b				
滑	wat8				
挖	wat8				
不	pɐt7a				
筆	pɐt7a				
畢	pɐt7a				
拔	pɐt8				
匹	pʰɐt7a				
密	mɐt8				
蜜	mɐt8				
物	mɐt8				
襪	mɐt8				
忽	fɐt7a				
佛	fɐt8				
筏	fɐt8				
罰	fɐt8				
乏	fɐt8				
突	tɐt8				
達	tɐt8	斜體			
吉	kɐt7a				
咳	kʰɐt7a	~嗽			
核	hɐt8				
轄	hɐt8	管~			
質	tsɐt7a				
姪	tsɐt8				
七	tsʰɐt7a				
漆	tsʰɐt7a				
失	sɐt7a				
室	sɐt7a				
膝	sɐt7a				
蝨	sɐt7a				
實	sɐt8				
骨	kwɐt7a				
掘	kwɐt8				
屈	wɐt7a				
一	jɐt7a				
日	jɐt8				
割	kɔt7b				
葛	kɔt7b				
渴	hɔt7b				
必	pit7a				
別	pit8	區~，離~			
撇	pʰit7b	~開			
滅	mit8				
跌	tit7b				
劣	lit8	斜體			
列	lit8				
烈	lit8				
裂	lit8				
結	kit7b				
潔	kit7b				
揭	kʰit7b				
鐵	hit7b	斜體			
血	hit7b	斜體			
節	tsit7b				
折	tsit7b				
哲	tsit7b				
淅	tsit7b				
截	tsit8				
切	tsʰit7b	~開			
設	tsʰit7b				
雪	sit7b	斜體			
舌	sit8				
乙	jit8	斜體			
熱	jit8				
月	jit8	斜體			
撥	put8				
沒	mut8				
沫	mut8				
闊	fut7b				
括	kʰut7b	包~			
活	wut8				
奪	tyt8				
決	kʰyt7b				
缺	kʰyt7b				
脫	hyt7b				
輟	tsyt7b				
說	syt7b	~話			
雪	syt7b				
粵	jyt8				
律	lœt8				
率	lœt8	速~			
卒	tsœt7a	兵~			
出	tsʰœt7a				
戍	sœt7a				
恤	sœt7a				
率	sœt7a	~領			
術	sœt8				
握	ak7a				
北	pak7a	斜體			
百	pak7b				
伯	pak7b				
泊	pak7b	梁山~			
白	pak8				
拍	pʰak7b				
革	kak7b				
隔	kak7b				
格	kak7b				
額	ŋak8				
克	hak7a				
黑	hak7a				
客	hak7b				
嚇	hak8				
責	tsak7b				
窄	tsak7b				
摘	tsak8				
擇	tsak8				
宅	tsak8				
測	tsʰak7a				
拆	tsʰak7b	~開			
冊	tsʰak7b				
賊	tsʰak8				
劃	wak8				
惑	wak8				
麥	mɐk8				
陌	mɐk8	~生			
墨	mɐk8				
得	tɐk7a				
德	tɐk7a				
特	tɐk8				
塞	sɐk7a				
惡	ɔk7b				
駁	pɔk7b				
博	pɔk7b				
縛	pɔk7b				
薄	pɔk8				
撲	pʰɔk7b				
剝	mɔk7a				
膜	mɔk8				
洛	lɔk7b				
絡	lɔk7b				
落	lɔk8				
樂	lɔk8				
掠	lɔk8	斜體			
覺	kɔk7b	知~			
角	kɔk7b				
各	kɔk7b				
閣	kɔk7b				
國	kɔk7b				
郭	kɔk7b				
腳	kɔk7b	斜體，腳			
確	kʰɔk7b				
霍	kʰɔk7b	斜體			
岳	ŋɔk8				
樂	ŋɔk8	音~			
殼	hɔk7b	斜體			
託	hɔk7b	斜體			
托	hɔk7b	斜體，手承物			
學	hɔk8				
鶴	hɔk8				
著	tsɔk7b	斜體，~衣，睡~			
雀	tsɔk7b				
昨	tsɔk7b				
作	tsɔk7b	工~			
桌	tsʰɔk7b	斜體			
卓	tsʰɔk7b	斜體			
削	sɔk7b	斜體			
獲	wɔk8				
鑊	wɔk8	鍋			
藥	jɔk8	斜體			
弱	jɔk8	斜體			
劈	pʰɛk7b				
笛	tɛk8				
屐	kʰɛk8	木~			
吃	hɛk7b				
踢	hɛk7b	斜體			
脊	tsɛk7b				
隻	tsɛk7b				
赤	tsʰɛk7b				
尺	tsʰɛk7b				
錫	sɛk7b				
石	sɛk8				
壁	pik7a				
碧	pik7a				
迫	pik7a				
逼	pik7a				
覓	mik8				
的	tik7a	目~			
嫡	tik7a				
滴	tik7b				
敵	tik8				
狄	tik8				
曆	lik8				
歷	lik8				
力	lik8				
激	kik7a				
極	kik8				
績	tsik7a				
積	tsik7a				
即	tsik7a				
鯽	tsik7a				
織	tsik7a				
籍	tsik8				
夕	tsik8				
殖	tsik8				
植	tsik8				
直	tsik8				
蟄	tsik8	驚~			
戚	tsʰik7a				
惜	sik7a=				
識	sik7a				
媳	sik7a				
式	sik7a				
飾	sik7a				
息	sik7a				
熄	sik7a				
色	sik7a				
食	sik8				
蝕	sik8				
益	jik7a				
憶	jik7a				
億	jik7a				
抑	jik7a				
易	jik8	交~			
液	jik8				
逆	jik8	~風			
翼	jik8				
屋	uk7a				
卜	puk7a				
菊	kuk7a				
穀	kuk7a				
局	kuk8				
瀑	puk8	~布			
仆	pʰuk7a	~倒			
目	muk8				
木	muk8				
福	fuk7a				
幅	fuk7a				
蝠	fuk7a	蝙~			
腹	fuk7a				
復	fuk7b	~原			
服	fuk8				
伏	fuk8				
督	tuk7a				
毒	tuk8				
獨	tuk8				
讀	tuk8				
綠	luk8				
六	luk8				
陸	luk8				
鹿	luk8				
祿	luk8				
曲	kʰuk7a	歌~			
哭	huk7a				
足	tsuk7a				
燭	tsuk7a				
祝	tsuk7a				
粥	tsuk7a				
竹	tsuk7a				
捉	tsuk7a				
俗	tsuk8				
逐	tsuk8				
濁	tsuk8				
族	tsuk8				
束	tsʰuk7a				
蓄	tsʰuk7a	儲~			
速	tsʰuk7a				
粟	suk7a				
縮	suk7a				
叔	suk7a				
宿	suk7a				
屬	suk8				
熟	suk8	煮~			
淑	suk8				
玉	juk8				
獄	juk8				
浴	juk8				
肉	juk8				
索	sœk7b	繩~			
逆	ŋak8	又，~風			
冇	mou3				
湖	wu2				
溶	juŋ2				
黐	tsʰi1				
咗	tsɔ3				
窿	luŋ1	山~：山洞			
圾	sap7b	垃~			
鋁	lœy3				
暖	lin3	又			
嘢	jɛ3	東西			
尋	tsɐm2	~日：昨日			
聽	hiŋ1	~日：明日			
子	tsi3				
淋	lɐm2				
繩	siŋ3				
斫	tɔ1	砍，疑另有讀音tɔk8			
攞	lɔ3				
櫂	tsau6	~艇：划艇；~掌：在船中間操作的木掌，形狀較長形			
笠	lap8	~把：掃帚			
栗	lœt8	風~：栗子			
□	pɔ6	~碌：柚子			
棯	lim1	花~：石榴			
粘	tsim1	~米			
蕃	fan1	~薯			
絲	si1				
蘿	lɔ2				
蔔	pak8				
紅	luŋ2	~蘿蔔			
藕	ŋɐu3	又			
蕹	ŋɔn5	~菜			
莧	jin6				
芫	jyn2				
荽	sɐi1				
菇	ku1				
杏	hɐŋ6				
仁	hɐn2	杏~			
雪	sy5	~梨			
橙	tsaŋ3?				
楂	tsa5				
眼	ŋan3	又			
核	wɐt8	果核			
杜	tou6				
鵑	kyn1				
棉	min2				
榕	juŋ2				
苔	hɔi2	青~			
□	ŋɐi5	~焗：悶熱			
焗	kuk8	□ŋɐi5~：悶熱			
唔	m̩2				
吳	ŋ̍2				
五	ŋ̍4				
午	ŋ̍4				
誤	ŋ̍6				
□	kʰɛ1	屎的俗稱			
□	pɑi3	一~船：又叫一水船，意即出海一次			
□	tsʰɐi2	年龍~：年糕，本字疑為粞（原文另一處記作tsai2）			
□	sau2	強取；有人~咗我銀包			
□	tsɔi6	一~漁，漁獲豐富			
□	lɐm5	坍塌；蓬~咗			
□	jɐm6	計算水深的長度單位，一~水：以雙手打開的闊度			
□	sɛŋ2	~媽婆：神婆			
□	kɐt8	蝦~：形狀似兩手臂的長方形木條，置於兩邊船旁；捉蝦時，需要放下罟石，此時蝦~在船的兩旁張開，用以承托多個罟			
□	tsʰɐt8	男陰			
□	tsʰɛk7b	~網：織網			
枚	mui3				
牙	ŋa2	又			
咁	kɐm5				
爭	tsɐŋ1=	~取			
命	miŋ2=	~運			
輕	hiŋ1=	~重			
醒	siŋ3=				
罟	ku1	捉蝦及蟹用的網			
櫓	lou4	在船尾操作的木掌，用以導航			
錠	tɛŋ5	澳門水上居民稱錨爲錠。錠：《集韻》垂舟石也。拋~：拋錨；扒~：所拋的錘不足重量，令船有漂流的危險			
葫	wu2	~蘆瓜：水瓢；~蘆仔：又叫浮蘆仔，類似於救生圈，每個漁民小孩掛在身上以防落海溺斃			
□	tsɔi6	一~船：船載滿了魚，比喻魚獲豐收			
樓	liu1?	尾~：帆船的船尾部分；更~：帆船船尾，作為掌舵的地方			
灶	tsou3	又			
汛	sœŋ3?	蝦~期：大量蝦繁殖的時期，韻與聲調疑似有誤			
掂	tim5	~船：船隻相撞			
𢃇	lei4	帆			
嗰	kɔ1				
燂	ham2	弄乾船隻，~船：又叫上排，入塢修補船隻			
徿	luŋ2	衣物箱			
鱔	sin4				
檯	hɔi6	桌子			
脷	lei6	舌頭			
𬌢	lin1	乳房			
躝	lan1	爬行			
惜	sɛk7a-	疼愛			
平	pʰɛŋ2-	便宜			
銀	han3	銀子			
噍	tsiu6	咀嚼			
扑	pɔk7a	擊，本字㩧			
㩧	pɔk7a	擊			
佢	kʰœy3	他			
渠	kʰœy3	他			
睇	hɐi3	看			
靚	lɛŋ5	美麗			
畜	ts'uk7a	~牲			
乸	la3	雌性			
腳	kɔ5	又			
項	hɔŋ3	雞~：母雞			
菢	pɔ2	孵			
騸	sin3	~雞：閹雞，原文作鏾			
癲	tin1	瘋			
騮	lɐu3	馬~：猴子			
狐	wu6	~狸			
雀	tsœk7b	又			
咬	ŋau4				
蟋	sik7a				
蟀	sœt7a				
虱	sɐt7a				
蠄	kʰɐm2	~蟝：蟾蜍；~蟧：蜘蛛			
蟝	kʰœy2	蠄~：蟾蜍			
觀	kuŋ1	~音雀：燕子			
鷗	ɐu1	江~：海鷗			
鷯	liu1	~哥：喜鵲，原文作了			
牙	ŋa1	又			
禽	kʰɐm2				
蜢	mŋ3?	草~，疑似為maŋ3			
蜂	fuŋ1				
竇	tɐu5				
蛤	ha1	~蟆			
龜	kɐi1	又			
蚌	pʰuŋ3	又			
螺	lɔ3	田~			
鯉	lei3				
鰂	tsɐk7a	~魚：鯽魚			
鯽	tsɐk7a	~魚			
蟧	lɔ2	蠄~：蜘蛛			
膥	tsʰœn1	(魚)卵			
樓	lɐu3	又			
檯	hɔi3	又,桌子			
徿	luŋ3	又，衣物箱			
房	fɔŋ3	又			
抿	mɐŋ3	屎~：廁紙			
灶	tsou5	~倉：廚房；整~：砌			
罅	la5	縫兒			
俬	si1	家~：家具			
蓆	tsɛk8	竹蓆，草蓆			
毡	tsin1	毯子			
帳	tsŋ5	又			
𳀷	laŋ1	毛線，laine			
梘	kan3	番~：肥皂			
樽	tsœn1	瓶子			
蓋	kɔi5				
砧	tsɐm3	~板			
蒸	tsiŋ1				
篩	sɐi1				
筲	sau1	~箕			
箕	kei1	筲~			
筒	huŋ3	又			
匙	si2	鎖~			
鋸	kui5	又，~子			
銼	tsɔ5	銼刀			
鉸	kau5	~剪：剪刀			
熨	hɔŋ5	~斗			
伙	fɔ3	~頭：廚師			
佬	lou3				
里	lei1	鄉~：同鄉			
後	hou2	又			
阿	a5	~爸：父親			
姆	mou4	嬸~：妯娌			
侄	tsɐt8				
姊	tsi3	表~妹			
名	mɛŋ3	花~			
舉	kui3	老~：妓女			
新	sɐm1	~婦：兒媳			
婦	pʰou3	新~：兒媳			
碌	luk7a				
眨	tsam3				
矇	muŋ1	~眼：瞇縫眼			
□	lei1	□sɛ6~眼：鬥雞眼			
□	jɐu1	左~：左撇子			
乞	hak7a	~兒			
行	hɔn2	熟~			
耕	kɐŋ1=	~田佬：農民			
暴	pou3	生~佬：陌生人			
光	kɔn1	又			
頸	kɛŋ3	脖子			
肚	hou4	~腩			
腩	lam4	肚~			
肶	pei3	大~：大腿			
髀	pei3	大~：大腿			
脷	lei2	又			
窟	fɐt7a	屎~：屁股			
□	lɔ2	~□jɐu3：屁股			
□	jɐu3	□lɔ2~：屁股			
額	ŋɐk8	~頭			
凹	lɐp7a	酒~：酒窩兒			
膊	pɔ5	~頭：肩膀，疑為pɔk8			
胳	kak7b	~肋底：胳肢窩			
肋	lɐk7a	胳~底：胳肢窩			
淚	lœy6	眼~			
嘴	tsui3	又			
唇	sœn2	嘴~			
兒	ji1	乞~			
鬚	sou1				
嚨	luŋ2	~喉：喉嚨			
尾	mei1	~指：手指尾			
甲	kap7b	手指~			
臍	tsi2	肚~			
踭	tsɐŋ1	腳~：腳跟			
㬹	tsɐŋ1	腳~：腳跟			
趾	tsi3	腳~			
有	jɐu4	又			
痘	tɐu3	出~：天花			
癆	lou2	肺~：肺結核			
□	kɔ5	腿			
脈	mɐk8	把~			
藥	jœk8	又			
哮	hau1	~喘			
暈	wɐn2	頭~			
痱	fei1	~子			
□	tsi1	痱~			
□	la1	疤			
𤸻	la1	疤			
𤶸	la1	疤			
狐	wu2	臭~			
㫱	lan5	蚊~：蚊蟲叮的包			
赧	lan5	蚊~：蚊蟲叮的包			
唔	ŋ̍2				
糠	hɔŋ1	又			
鬼	kɐi3	又			
腐	fu6				
毛	mou1	發~：發霉			
臊	sou1	~孲仔：嬰兒			
孲	ha1	臊~仔：嬰兒			
□	sɛ6	~□lei7a7a眼：鬥雞眼			
囊	lɔŋ1	腳瓜~：小腿			
巴	pʰa2	下~			
□	kʰik7a	卡住，~屎			
瘕	ha1	扯~：哮喘			
□	tsʰɐn1	助詞，嚇~：嚇著；哽~：噎住			
剝	mɔ1	又			
□	juk7a	動			
餸	suŋ5	挾~：挾菜；整~：做菜			
挾	kap7b				
爐	lou	打邊~：吃火鍋			
豉	si6	~油			
玩	wan1?	玩~：玩耍			
下	ha4	玩~：玩耍，行~：散步			
瞓	fɐn5	~覺：睡覺			
覺	kau5				
被	pʰei3	又			
㪗	hɐu3	~下：休息，~涼：透涼			
去	hui5	又			
瞌	hɐp7a	~眼：閉眼			
□	pʰɐn5	扎(辮子)，原文記作挵			
□	kuk7a	~口：漱口			
抹	mut7b	~身：洗澡			
偈	kɐi4	傾~：聊天			
扯	tsʰɛ3				
揞	ɐm3	~背手：受賄賂			
舦	hai5	方向舵，~樓：船的駕駛室			
䨀	tɛ6	~米：買米			
揀	kan3	淘(米)			
煠	sap8	煮			
連	lyn2	又			
□	luk8	燙(傷)，原文作熝			
熝	luk8	燙(傷)			
腌	ip7b	(用鹽)醃(肉)			
舖	pʰou5	店~			
仰	ŋɔn3	反~瞓：仰面睡			
□	tsap8	~□tsik7a：側身睡			
□	tsik7a	□tsap8~：側身睡			
追	tsui1	又			
□	ku1	~□lei7a7a佬：搬運工			
□	lei1	□ku7a7a~佬：搬運工			
賒	sɛ1				
秤	tsʰɛŋ5-				
砣	hɔ2	秤~			
貴	kɐi5	又			
舢	sa1?	~舨：小船，疑似為san1			
舨	pan3	舢~：小船			
司	si1				
糊	wu5	漿~			
尾	mei1	包~			
潦	liu7b	~草：草書			
考	hau3				
□	jɐi4	差			
章	tsœŋ1				
徽	fɐi1				
吹	tsʰui1	又			
玩	wan3				
□	pɔ1	ball的音譯			
鷂	jiu3	紙~：風箏			
古	ku3	講~			
沕	mei3	~水：潛水			
仗	tsœŋ3	炮~			
對	tœy3	對聯			
擰	liŋ6	搖			
啽	ŋɐp8	點(頭)			
□	ŋɔk8	抬			
𩓥	ŋɔk8	抬			
側	tsɐk7a				
擘	mak7b	睜			
瞇	mei1	閉(眼)			
搣	mik7a	撕			
褸	lɐu1	披			
攬	lam3	摟			
斟	tsɐm1				
躝	lan1	爬行			
踎	mɐu1	蹲			
畀	pei4				
□	tsɐi1	放			
惜	sɛk7b	又，疼愛			
攣	lyn1	彎曲，扯~筋：抽筋			
筋	kɐn1				
匿	lei1	~埋：躲			
□	hɐu1	~注：留神			
拗	ŋau4	折			
掹	mɐn1	拔			
擗	pʰɛk7b	扔			
