iɛ	5	夜厌燕艳																																															
tɕiɛ	1	尖艰监奸																																															
tɕiɛ	2	节洁结杰接揭劫																																															
tɕiɛ	3	姐践{文}简减检剪																																															
tɕiɛ	5	借见件剑践{文，∽踏}箭																																															
tɕʰiɛ	1	千迁铅歼																																															
tɕʰiɛ	2	前线黔切窃																																															
tɕʰiɛ	3	且践{白，实∽}试遣谴																																															
tɕʰiɛ	5	欠芡歉																																															
ɕiɛ	1	些仙先掀{文}																																															
ɕiɛ	2	贤闲咸{文}歇																																															
ɕiɛ	3	写显险																																															
ɕiɛ	5	泻卸谢陷{文}馅{文}射{白}社{白}麝{白}现县线限																																															
niɛ	1	拈																																															
niɛ	2	列连联年莲严阎{∽王}猎																																															
niɛ	3	脸																																															
niɛ	5	练																																															
pʰiɛ	1	编篇																																															
pʰiɛ	2	撇便{∽宜}																																															
pʰiɛ	3	□{∽着干}□{折断}片蝙																																															
pʰiɛ	5	片骗																																															
piɛ	1	憋边																																															
piɛ	2	别																																															
piɛ	3	瘪扁贬□{玩弄}																																															
piɛ	5	变便																																															
miɛ	1	□{掰}																																															
miɛ	2	灭蔑篾棉绵																																															
miɛ	3	□{掰}免																																															
miɛ	5	面																																															
tiɛ	1	颠																																															
tiɛ	2	叠碟蝶谍牒																																															
tiɛ	3	点典																																															
tiɛ	5	电店垫																																															
tʰiɛ	1	天添																																															
tʰiɛ	2	铁贴田填甜帖																																															
tʰiɛ	3	舔																																															
tuæ	1	端																																															
tuæ	3	短断{挡住，拦住}																																															
tuæ	5	段缎锻断																																															
tʰuæ	2	团																																															
nuæ	2	峦孪銮																																															
nuæ	3	暖卵																																															
nuæ	5	乱																																															
kuæ	1	官关观冠																																															
kuæ	2	国帼																																															
kuæ	3	管馆																																															
kuæ	5	贯惯灌罐冠																																															
kʰuæ	1	宽																																															
kʰuæ	2	扩阔括																																															
kʰuæ	3	款侃{∽天嗑地}																																															
xuæ	1	欢																																															
xuæ	2	还环或惑获																																															
xuæ	3	缓																																															
xuæ	5	换幻患																																															
tsuæ	1	钻专砖																																															
tsuæ	3	转																																															
tsuæ	5	赚撰篆传转钻																																															
tsʰuæ	1	川穿																																															
tsʰuæ	2	船椽传																																															
tsʰuæ	3	喘铲产{白}阐{白}																																															
tsʰuæ	5	串窜篡																																															
suæ	1	酸拴栓闩																																															
suæ	5	算蒜闩涮																																															
zuæ	3	软阮																																															
uæ	1	湾弯豌																																															
uæ	2	玩完																																															
uæ	3	晚碗																																															
uæ	5	万																																															
ye	2	月粤越悦阅																																															
tɕye	2	绝决诀蕨獗																																															
tɕʰye	2	缺茄瘸																																															
tɕʰye	3	□{折断}																																															
ɕye	1	靴掀																																															
ɕye	2	血雪穴薛弦																																															
ɕye	5	馅{白}																																															
pai	1	跛																																															
pai	3	摆																																															
pai	5	败拜稗																																															
pʰai	2	排牌																																															
pʰai	3	□{一~}																																															
pʰai	5	派																																															
mai	1	□{没精神}																																															
mai	2	埋																																															
mai	3	买																																															
mai	5	卖迈																																															
tai	1	呆																																															
tai	3	歹逮傣																																															
tai	5	代袋戴带																																															
tʰai	1	胎□{讨好}																																															
tʰai	2	台抬																																															
tʰai	5	太态泰汰																																															
nai	1	奶																																															
nai	2	来																																															
nai	3	乃奶																																															
nai	5	耐奈赖癞																																															
tsai	1	灾栽斋																																															
tsai	3	宰崽仔																																															
tsai	5	在再债寨载																																															
tsʰai	1	差猜																																															
tsʰai	2	才材财豺柴裁																																															
tsʰai	3	采睬踩彩																																															
tsʰai	5	菜蔡																																															
sai	1	腮筛																																															
sai	5	晒赛																																															
kai	1	街该阶皆																																															
kai	2	□{量词}																																															
kai	3	解改																																															
kai	5	介界疥芥盖丐钙届戒械																																															
kʰai	1	开揩																																															
kʰai	3	楷凯铠																																															
kʰai	5	概慨溉																																															
xai	2	孩鞋还																																															
xai	3	海																																															
xai	5	害亥																																															
ŋai	1	哀唉埃挨{紧靠}																																															
ŋai	2	岩挨崖癌捱																																															
ŋai	3	矮霭																																															
ŋai	5	爱艾碍隘																																															
tsuai	1	栽{白，摔倒}																																															
tsuai	3	□{装摸作样}																																															
tsuai	5	拽																																															
tsʰuai	1	揣																																															
tsʰuai	5	踹																																															
suai	1	衰摔																																															
suai	3	甩																																															
suai	5	帅																																															
kuai	1	乖																																															
kuai	3	拐																																															
kuai	5	怪																																															
kʰuai	3	块																																															
kʰuai	5	快筷刽会{~计}																																															
xuai	2	怀淮																																															
xuai	5	坏																																															
uai	1	歪																																															
uai	3	崴																																															
uai	5	外																																															
fei	1	飞非妃																																															
fei	2	肥																																															
fei	3	匪																																															
