	注釋：=文讀，-白讀
t	[1]獃□{～仔：黍}□{鮕～：月鱧}[2]臺埋邰{姓}炱{煙～}□{雞～：蟎蟲}苔=奈{無～何}[3]滓{垢，結～}歹[5]戴={愛～}帶蒂={芥～}代={交～}[6]代=大=貸岱玳袋=𦨮黛鯉{～仔魚：鯉魚}傣甙殆怠迨逮{～捕}
tʰ	[1]胎苔颱{風～：颱風}抬篩[2]治{宰殺}[3]□{番～：不明事理}癩{～ko1：麻風}太{設～：非常}[5]太態泰汰[6]待{招～}
l	[2]來萊崍徠梨-[3]□{烏～血：淤血}[6]裏-{內}利-{鋒利}□{～鴞：老鷹}睞賚荔
ts	[1]災栽齋知-{～影：知道}[2]才-財材臍裁{～縫}[3]宰滓{目}指-{手指}崽[5]再載債=哉[6]在□{量詞，一～貨}
tsʰ	[1]猜釵{又}[2]豺=才=柴攙儕{又}裁{又}[3]采探彩踩睬[5]菜蔡采{～邑}[6]在{穩置不動，～～坐}□{目神～～}□{撞擊、反駁}
s	[1]師-{～父：師傅}西-獅-犀私{～骹：私蓄}篩腮鰓□{用手掌捆}[2]使{解～：可以}駛-屎-[5]使{大～}賽塞{要～}噻曬{～臺}婿{囝～：女婿}[6]似{熟～：熟悉}姒{同～：妯娌}侍-{服～}
k	[1]該階皆喈偕堦賅垓痎[3]改解骱{～邊}[5]界{世～}介芥屆蓋{～好}丐鈣戒誡疥蚧尬概{鬥～}
kʰ	[1]開={～銷；～發}揩[3]楷凱鎧愷皚凱鍇暨{～南大學}[5]概溉慨愾暨{及、和}
ɡ	[1]呆{～板}崖涯捱□{嚴～}[6]礙
h	[1]□{很大}哈{笑，笑～～}咳{呵斥，～甲sai1}[2]械諧孩頦骸[3]海駭[5]嗐{嘆詞}[6]害亥懈邂獬解{姓；卦名}薤蟹=
∅	[1]哀埃唉挨欸{～乃}□{～甜：太甜}[3]藹靄矮[5]愛曖媛隘噯□{咽～：腮腺炎}
#uai	
k	[1]乖{～巧}□{蛤～：蝌蚪}□{～仔魚：河豚}[3]柺拐骱{又}蒯{姓}[5]怪繪
kʰ	[5]快筷塊
h	[2]淮槐懷徊[6]壞
∅	[1]歪[3]崴{扭傷}
#au	
p	[1]包胞孢咆[2]□{假～：冒充}苞鮑匏庖[3]飽={～和}[5]豹=[6]□{接腦袋}
pʰ	[1]拋{～物線}刨{～床}□{栟～：薜荔}[3]跑[5]泡=皰袍{旗～}炮□{嬰兒胖，～奶}[6]雹抱
b	[3]卯鉚昴[6]泖{將湯汁澆在熟麵條上，～鹵面}
t	[1]兜{家}[2]投骰[3]鬥{米～}搗倒{～車}□{次}[5]鬥{安裝；幫忙}晝{日～：中午}[6]豆痘荳讀{又，句～}
tʰ	[1]偷[2]頭調{～羹仔}[3]敨{解，～開}[5]透□{摻入}[6]毒{動詞，以藥殺，～蟲}
l	[1]嘮{～話：套出話來}[2]劉-{姓}流-留-樓-[3]老{有經驗、熟練}佬{～仔：騙子}栳{樹名}□{～紙：將整刀紙散開}[5]澇{～屎：拉肚子}落{熟～～：很熟悉}[6]老-{年紀大}鬧{～熱：熱鬧}漏-瘺繚{杆稱上的提紐，頭～}
ts	[1]糟慒{～心}㷮{柴～}□{勘～：前額突出}[2]巢繅剿[3]走-{跑；走開}蚤灶{～仔}[5]灶奏[6]找{占～}棹
tsʰ	[1]抄操{早～}鈔□{亂～～}[3]草-炒吵{～鬧}[5]臭湊{～巧}
s	[1]捎誚{～皮：譏刺}颼{～聲：嘶啞；含～：陶瓷微裂}[5]掃嗽{咳～}哨梢鞘
k	[1]高{～興}交郊茭膠蛟鮫{魚}鉤勾溝[2]侯{姓}猴-□{六～：骰子}[3]狗-九-玖垢搞口{啞～：啞巴}狡姣絞□{面～仔：面疙瘩}[5]夠校{～對}教較遘{到}窖漚{～肥}[6]厚-
kʰ	[1]□{用刀刮、削}敲鬮{抽～}□{小蠟線的單位}薅{～草}尻[3]口巧[5]哭扣叩{～首}銬
ɡ	[1]𠢕{能幹}
h	[1]□{面～～：臉微水腫}囂{～六：扯謊吹牛}[2]候{等}[3]吼{哭；響}[5]孝哮[6]校{學～}效候後{～生}鱟
∅	[1]區{姓}歐鷗甌凹坳漚{～雨}[2]喉[3]拗{折}嘔毆[5]懊{～悔}漚{食物變味，～味}[6]後{～面}
#iau	
p	[1]膘[3]表=裱婊
pʰ	[1]標=鏢=飄漂螵懦縹飆[2]剽瓢=薸=嫖樸{姓}[5]票漂驃{又}剽{又}[6]鰾=殍莩
b	[1]苗描瞄貓[3]秒眇渺緲淼杳藐邈[6]妙廟繆{姓}
t	[1]雕碉凋{～謝}刁{放～}鵰貂朝{三～：三天}□{扳動}[2]條朝{～廷}潮調{～解}蜩笤迢髫□{大～仔：手鋸}稠{附著、粘著，釘～：釘住}櫥{牛～：牛圈}[5]吊釣窎{～遠}[6]調{～動}召{號～}兆肇掉晁
tʰ	[1]超挑佻祧{承～：過繼}刁{～工：故意}[2]髫{小～}鮡{花～}調{～皮}𤶃{～仔子}[3]窕頫[5]跳眺糶=[6]柱
l	[1]憭{骹手～～}[2]遼療燎寮繚嘹繚鐐獠撩僚蹽{～水}鷯聊寥蓼條{椅～}[3]了{～工}瞭{～望}[6]料廖{姓}
ts	[1]焦蕉瞧礁{暗～}鷦澆椒=招=昭釗[2]憔瞧譙褿{均勻}[3]鳥沼{～氣}[5]照詔醮
tsʰ	[1]□{攪拌，～麵粉}鍬超{～tsʰik8：得意狀}[2]□{移動使位置正確}瞧{又}[3]悄愀□{～仃仃}[5]俏峭笑鞘{又}
s	[1]蕭瀟簫宵消霄=蛸逍銷硝梢稍捎痟{病名}消綃{生絲}魈燒囂[2]韶潲{精液}[3]少{多～}小筱痟{神經失常}[5]少{～年}肖{不～}誚{譏～}鞘{又}數{賬目}笑={見～}嘯[6]邵紹韶{又}□{用竹條或皮帶打}
dz	[2]饒{～裕}皺□{～仔魚}嬈[3]擾爪{骹～}繞[5]撓{抓癢}縐{～紗}[6]尿=
k	[1]嬌嬌姣[2]僑蕎喬橋翹{連～}[3]攪餃繳□{跋～：賭博}皎狡矯徼{～幸}裱{～褙}[6]撟{撬}轎嶠{用粗話罵}
kʰ	[1]蹺{抬高、彎曲，～腳、踏～}敲{又，推～}橇{雪～}[2]喬{～吊}[3]巧{漂亮}[5]竅翹蹺{～～板}
ɡ	[2]堯峣蟯{～蟲}□{～疑：懷疑}
h	[1]僥{反～；～幸：作孽；不幸}梟枵囂{又}鸮驍邀{～請}徼{又}[2]姣{女性輕佻風騷}嬈{又}[3]曉[5]□{表皮剝落}
∅	[1]妖夭么吆要{～求}腰邀{又}枵{餓}[2]謠搖徭徭瑤颻遙鷂窯姚{姓}珧饒{上～}[3]夭{～壽}猶{～未}窈舀=[5]要{重～}[6]耀曜
#m	
h	[2]茅{～仔根：菅根}
∅	[1]飲{～茶，兒語}[2]莓{花～：花蕾}梅{粗～：楊梅}[3]姆[5]毋{不}
#im	
t	[1]□{聰明}[2]沉[5]□{點，～頭}靛{～色：色深}□{擲}□{～重：較重}[6]□{燉}朕鴆
tʰ	[1]琛[5]□{點，～頭}
l	[1]啉{喝}[2]林{姓}淋琳霖臨[3]□{接近}檁廩懍[5]□{～者：小睡一會兒}
ts	[1]斟□{親吻}針□{牛頭～：殺牛擊其頭的用具}[2]蟳{海螃蟹}覃{姓}[3]枕嬸-□{拋、擲擊}[5]浸
tsʰ	[1]侵骎深-參{～差}[2]□{～鑔：銅鈸打擊之聲}[3]寢□{～骹行：一腳一腳地拖行}[5]沁
s	[1]心芯深=[2]尋潯蟳=忱葚椹覃{姓}[3]什嬸{又}審沈{姓}瀋哂{～笑}諗[5]滲□{上下晃悠}[6]甚□{安而不動，～～}
dz	[2]□{掏}壬[3]忍紉仞軔韌荏衽飪稔[6]任賃妊刃潯{杜～：地名}
k	[1]金今□{怒目視人}[3]錦[5]禁噤[6]妗
kʰ	[1]欽衾襟㦗衿岑{姓}鈐[2]琴芩禽擒噙
ɡ	[1]吟□{～坎仔：臺階}[3]□{量詞，比賽的局，源於英語ɡame}[6]□{取、拿}
h	[1]欣昕忻歆鑫[2]熊
∅	[1]音喑陰淹[2]淫霪□{衣魚}[3]飲{～食}[5]蔭窨{～豆豉}飲{動詞，～馬}
#am	
t	[1]擔耽眈聃[2]談澹{濕}譚[3]膽萏{菡～}[5]□{垂頭；垂老體態}□{頭髮垂下}[6]淡氮啖澹{～泊}
tʰ	[1]貪坍[2]痰潭{池塘}譚{姓}覃{又，姓}磹{～口}曇檀澹{～臺：複姓}罎[3]毯[5]探[6]窞{～肚}
l	[1]□{披上或套上}□{雞～：雞籠}喃[2]南楠男藍籃=淋{～雨}婪襤{～褸}嵐[3]覽攬爁纜□{虛弱}濫[5]□{用腳猛踢，～門}□{爛泥，～塗}[6]艦濫{參雜}檻□{伴～：陪同，伴同}
ts	[1]沾簪[3]斬嶄□{～鬼：畫符}[5]□{用力往下踩}蘸湛{～江：地名}[6]站鏨塹
tsʰ	[1]參摻攙驂[2]慚饞讒巉[3]慘[5]懺{～悔}讖{～語}襯{～色}
s	[1]三=三=衫=杉[3]糝{撒入，～糖}[5]□{毛髮等細長物披散狀、散亂狀}[6]□{暗中騙，互人～去}
k	[1]甘柑苷坩疳泔監{學～}橄[2]銜含[3]感敢㔶{鼎～：鍋蓋}[5]監{～督}鑒淦尷贛
kʰ	[1]勘堪龕戡[3]砍坎檻侃□{倥～：神經質}□{商店數量單位}[5]蓋{蓋上}紺瞰闞崁{赤～城：地名}嵌[6]□{虛掩}□{～嗽：咳嗽}
ɡ	[1]□{嚴～～：很吻合}[2]岩癌[6]戇{呆}
h	[1]蚶邯頷{下～}酣□{眼部微腫}[2]函涵含銜鹹憨{～慢：笨拙}[3]撼喊{～班}[5]泛{～～：一般}□{浮腫}□{浮誇}[6]陷憾□{～眠：說夢話}
∅	[1]庵含{～做一夥}諳[2]涵{溝～}[3]飲{米湯，稀}菡[5]暗黯[6]□{吃，兒語}□{草盛}頷{脖子}哈{喊～：打呵欠}
#iam	
t	[1]砧□{修鞋，～皮鞋}玷沾掂[2]沉甜[3]點[5]店□{隱居，覕～tsʰue6}惦{又}掂{又}[6]墊恬{安靜，～～}
tʰ	[1]忝添[2]舔恬[3]忝{活重，夠～：程度較重}添諂[5]殄[6]□{增加投入，～本錢}
l	[1]踮{用腳尖輕走}拈{用指頭輕取}[2]粘廉鐮蠊濂臁{骹～：小腿正面}奩簾簷臨{～乜仔：一會兒；～捷：快捷}[3]斂瞼瀲蘞{白～：中藥}襝[5]撚{掐}[6]念□{量詞，柑柚一類果實內瓤計數}殮廿
ts	[1]尖針占{～找}沾{又，～染}站苫箴{又}詹{姓}譫{～語}瞻[2]潛蟾{～酥}[5]佔[6]暫漸
tsʰ	[1]僉簽籤{豆～：本地特產，用豆粉製成的扁條食品}釺纖殲[2]橙釺{又}[3]□{刀叉，～仔；刺，～一空：小空洞}[5]譖僭
s	[1]纖[2]尋{量詞，一～}□{摟抱}蟾{又}[3]閃陝剡{～界嶺：地名}[5]滲[6]贍{～養}暹{～羅}
dz	[3]冉{姓}苒髯蚺染{傳～}
k	[1]兼兼縑[2]鹹{鹹味；～澀：吝嗇}[3]減檢撿堿=[5]劍
kʰ	[1]謙縑{又}鶼鰜[2]緘{～口不言}鉗黔鈐[3]歉慷[5]欠芡肷嵌{鑲～}[6]儉
ɡ	[2]嚴岩{～石}閻[3]儼{～硬：硬朗}[6]驗
h	[1]薟{味道濃烈，多指不好的，臭～～}鍁{半～仔：窄口鋤頭}[2]嫌[3]險玁{～狁}[5]□{驅趕，多對動物，～雞仔}
∅	[1]奄閹醃淹陰{半～陽：兩性人}[2]鹽簷{又，～板}[3]掩□{衣邊緣}魘[5]厭厴饜窨{～豆芽}[6]炎豔灩焰
#ɔm	
t	[1]丼{東西掉入水中之聲}
tʰ	[1]丼{又}[6]□{舀，～酒}□{～肥仔：因肥胖而笨重}
l	[5]奮{爛泥，～塍}□{踢}
s	[1]參{人～}森{～林}[2]□{土裏土氣}[6]□{衣過寬長，簏～}□{慢行}
∅	[1]揞{嚴密掩蓋}[6]□{虎叫聲}
#in	
p	[1]賓繽檳濱鑌彬斌[2]貧頻顰屏{隔～}瓶=憑[3]稟□{竹～仔：竹編屏風}[5]鬢篦{櫛～}儐殯擯[6]臏牝
pʰ	[1]乒繽{又}[2]栟{～pʰau1：薜荔}□{頭暈欲倒}[3]品
b	[2]民眠泯緡閩[3]敏鰵閔{姓}憫皿抿{刷}泯湣旻黽[6]面{臉}
t	[1]珍徵症{～結}[2]陳={～皮}塵滕藤-[3]振{～動}[5]鎮[6]陣
tʰ	[2]滕{將液體傾倒出來，～茶}[5]趁{～便：順便}[6]□{計較；對頂}媵{給輕的一邊加重使平街，～重}
l	[2]憐鄰嶙璘鱗粼遴磷鱗麟□{～～哢哢：東西撞擊之聲}[3]恁{你們}[5]輾{量詞，圈，翻～轉}[6]藺躪吝
ts	[1]真嗔{又}瞋{又}津蓁溱臻嗪蒸烝𤸲升{量詞}甄珍{～珠}[2]秦榛螓繩[3]振震診軫畛胗診紾疹拯賑縝[5]進晉縉症{～狀}證[6]盡燼贐□{很，～快}
tsʰ	[1]親[5]秤{～杆}稱{～重}襯櫬凊{涼、冷，秋～}
s	[1]新薪辛莘鋅申伸紳呻砷珅身勝{～數、～任}先{～生}娠[2]神臣丞承{～水}蠅{胡～}澠辰晨宸[3]蜃[5]信訊迅汛囟勝{～利}哂{又}[6]腎慎剩
dz	[2]人仁芢[6]認
k	[1]巾斤根筋均鈞跟筠{竹～：竹皮}今皸{～裂}[2]□{從混水倒出清水}[3]緊僅堇謹瑾謹槿□{tɔ6～：蚯蚓}囡{～仔：小孩兒}巹[5]艮絹亙勁{幹～}[6]近腎{禽胃，雞～}靳覲
kʰ	[1]輕鏗{～鏘}[2]勤芹廑[3]□{淺}[5]□{～彩：隨便}
ɡ	[2]銀垠齦凝狺鄞{～江：水名}[6]□{厭惡}
h	[1]興{～起}[2]眩渾{又，～軀：身上}[3]很[5]興{高～}釁[6]很狠
∅	[1]因姻洇□{繞，～線}恩茵□{他們}咽{～ai5：腮腺炎}氤殷闉[2]寅夤勻筠{又}雲芸紜耘沄鄖昀[3]引隱癮蚓尹允殞隕[5]印應{應答}[6]孕胤
#un	
p	[1]分{～開}錛賁{～門}[2]㖹{吹}[3]本苯扁{～擔}[5]畚糞{～掃}[6]笨□{粟～：貯藏穀物的用具}
pʰ	[1]潘{～水：泔水}奔[2]盆□{水滿溢，～江}[3]□{鑽，～一空}[5]噴濆
b	[2]文汶紋旻{又}雯門=捫們媒{～人}饅{～頭山，祭祀用}聞[3]抆蚊吻刎[6]悶燜問={學～}□{微火}紊璺
t	[1]噸頓{牛～}鈍{刀不鋒利}敦墩惇暾蹲躉[2]唇豚臀[3]盾□{武～：粗壯}礅{大石}轉{回返，～去}[5]頓{停～}噸{又}盹扽□{牛～：草藥，澤瀉}[6]鈍{人不聰明}燉沌囤飩遁
tʰ	[1]吞□{量詞，一副大小配套的瓷器}□{～lun1：不整潔}[2]□{色不亮}豚{豬～仔}塵{筅～：於臘月大掃除的掃把、竹葉等}臀{又}[3]□{腳踢又揉}[5]褪=□{慍～：思想不靈活}[6]□{填，～地岸}
l	[1]□{蜷縮}□{tʰun1～：不整潔}[2]侖倫輪淪綸崙圇掄□{伸～：伸懶腰}□{拉～仔燒：溫熱}論{～語}[3]忍{吞～}碾{石～}□{～～：膽怯}□{菜失水變軟}[6]閏潤論嫩韌崙{河～：地名；山～仔：山岡}
ts	[1]尊遵蹲{又}樽鱒盹諄□{冷而發抖}[2]船前{～年：前年}存蟬{𧌄栱～：知了}□{謙讓，～大～小}[3]准準□{～節：掌握不使過分}[5]俊峻浚駿竣圳顫{抖動}雋{～永}[6]陣□{擰}
tsʰ	[1]鶉{鵪～}春□{剩餘，出～}伸皴{～法}逡[2]□{謙讓}[3]蠢忖[5]寸吋[6]□{擰}□{剩餘，有～}
s	[1]孫蓀猻飧荀{～子}[2]旬詢恂珣洵徇峋絢殉淳鶉{又}醇巡純循馴[3]筍隼榫損=恂{面青～～：臉色發青}[5]舜瞬巽撰噀遜[6]順
dz	[6]閏{又}潤{又}韌{又}嫩{又}
k	[1]軍皸筠{洋～仔：地名}君莙□{～～：冬筍炒未熟的澀味}龜{又，～裂}麇[2]群裙□{久煮，～肉}窘拳[3]滾袞滾䙛{～邊：鑲邊}鯀□{腹內～：全盤吐出心裏話}[5]棍□{～桶：乖巧之人}鲪{水～：扁舵鲣，海鱼}[6]郡窘捃群{～眾}
kʰ	[1]昆崑琨鯤鯤醌鵑錕坤髡堃褌[2]蜷{盤繞、纏繞}[3]菌捆悃閫墾懇壸[5]困睏{睡}
ɡ	[3]□{我們}
h	[1]分{～數}芬紛汾吩氛酚昏婚昏棻葷閽薰{煙}曛醺勳塤[2]雲-魂痕渾{又}墳焚昏{暈}餛{～飩}諢[3]粉惲{姓}憤{～怒}忿[5]訓馴奮糞楦{鞋～}[6]混分{水～}份{量詞，一～飯；參與，～會仔}玢{古～：地名}暈{日～}諢{～鈍，笨拙}渾{～衫：村衫}圂溷
∅	[1]溫瘟媼{無力而臥倒}煴鳁氳媼[2]勻□{沙～：河中沙凹處}雲{～霄：地名}員{伍～：古人名}鄖溳筼[3]允{又，～准}隱{又}穩□{痀～：駝背}殞{又}隕{又}[5]慍韞蘊揾{蘸，～辣}[6]運韻暈{又}鄆{～城：地名}
#an	
p	[1]班斑癍般搬瘢頒攽扳便{～宜}[2]瓶盤{～陀嶺：地名}[3]反{～變、倒～}扳{～手}板闆版舨阪𬟸阪□{嘔吐}□{～帶：束馬屁股之帶}[6]扮{～演}辦瓣範{衫仔～、無～}
pʰ	[1]番{～禺}潘攀藩[2]盤{又}磐蟠[5]判盼袢泮[6]畔
b	[1]閩-蠻瞞顢□{～～：無效果}[3]挽{拔}□{～面：女子絞臉上汗毛}[6]萬曼漫慢幔蔓鰻縵熳嫚謾饅{～頭}鏝
t	[1]丹單鄲簞殫癉{～脾}[2]陳{姓}彈𦗀{響，～雷}[3]等[5]旦疍{～民}蛋誕[6]但橂{硬、堅實}憚
tʰ	[1]灘攤癱蟶坍[2]彈壇檀[3]毯坦疸袒鉭趁{～早}忐□{～直：平而直}[5]歎炭碳趁{賺，討～；跟，～樣}
l	[1]□{趼子，結～}蘭{荷～}[2]蘭攔欄瀾闌斕籣讕瀾鑭□{削}鱗難{困～}零{～星}[3]懶咱{咱們}赧[6]難{患～}爛=瀾{又}膦{男生殖器}
ts	[1]曾{姓}罾[2]層-前-殘{～廢}[3]盞攢[5]贊讚瓚棧鑽站{～崗}[6]贈{幫～：幫助}
tsʰ	[1]餐呻-{哭～}羼孱潺[2]蠶塍{田}戕[3]闡單{～於}[5]燦粲璨綻□{鞋～：鞋墊}
s	[1]刪珊姍跚柵星{零～}山=先{又}舢潸芟[3]產鏟散{藥～}㾪{瘦}[5]散{～步}霰饊傘汕訕疝
k	[1]幹肝奸杆{旗～}玕酐竿艱間肩{～頭}菅[3]簡柬襇{褶子}□{婢女}揀眼{龍～}𱿧繭梘稈趕桿[5]幹{～部；肏}間{～諜}□{小腿；肋骨}諫
kʰ	[1]牽-刊看{守護照料}[3]肯侃{又}[5]看
ɡ	[2]顏言[3]眼研{～末}[5]凝{冷；使冷卻，～水}[6]彥諺咳雁唁崖
h	[1]頇鼾[2]還韓寒=閑=嫻鷳邗汗{可～}[3]罕喊悍駻捍[5]漢暵[6]汗翰瀚旱焊㢨衒{～粿}
∅	[1]安鞍氨桉銨胺鵪[2]閑{又，～話}縆{繃緊}[5]安{～怎，怎樣}案按桉{又}晏鸚[6]限
#ian	
p	[1]邊籩鞭箯煸□{打、趕，～走}砭[2]駢胼餅[3]扁匾蝙鯿諞惼褊貶[5]變遍窆[6]便辨辯辮瓣卞汴抃苄忭弁緶
pʰ	[1]偏篇編扁{～舟}蹁翩犏便{大腹～～}[5]騙遍{又}片
b	[2]棉綿眠聯[3]免娩勉冕俛晚緬{～甸}湎面靦勔湣{又}澠{～池：地名}丏沔眄[6]面
t	[1]顛巔癲掂廛[2]田{～徑}鈿{又}闐纏[3]展輾{～轉}典碘[6]電甸佃殿癜墊{又}靛{又}
tʰ	[1]天顛{又，～柁}[2]填闐{又}滇[3]展{又}典典腆艦殄
l	[1]蔫[2]連蓮鰱褳槤漣聯{又}憐[3]碾熱臉輦攆璉[5]輾{滾落}□{圓～～：圓滾滾}[6]練煉鏈楝鏈{又}
ts	[1]煎滴戋箋邅膻旃{～壇}氈[2]前=錢=層{三～仔肉}[3]剪翦{姓}譾踐{又}餞戩[5]戰薦箭顫[6]賤濺
tsʰ	[1]千遷躚扡阡芊釺{又}仟岍{～山：地名}[2]延{拖延}□{謙讓}[3]淺闡[5]倩纖{～夫}茜{又，～妙}綪
s	[1]先鮮醯秈氙銑{鏽；身上污垢}膻{又}千{～～：務必}[2]蟬嬋禪單{～於}澶涎[3]鮮癬蘚跣銑{小鑿子}冼{姓}箲燹[5]搧{用手掌打}煽騙線腺霰散{四～}先{搶前}[6]善膳繕鱔蟮墡{白～土}腎-{～子：睾丸}擅嬗□{厭倦、疲倦；病}
dz	[1]然燃□{亂～：說謊}
k	[1]堅慳鰹肩=□{液體凝結，～凍}[3]謇蹇瀽囝{父母稱子女}[5]建毽腱{～子}見筧[6]健鍵腱{肌～}件=□{消～：孩子不聽話，～乖仔：勉強忍耐}
kʰ	[1]牽{門～：釘銱兒}騫鏗{又}慳{又}愆[2]乾{～坤}虔墘[3]遣繾遣蹇{又}謇{又}犬畎[5]譴{～爽：忌諱}□{～芳：炒菜前爆香薑蒜}
ɡ	[1]言{又，～語}妍[3]研妍{又}[5]□{喜好、嗜好成癮，～薰}□{齒露出}[6]□{笑～～}
h	[1]掀軒□{尪真～：普薩靈驗}[2]玄弦泫舷眩鉉痃賢懸=[3]顯炫眩{日光}現[5]獻讞憲顯{又}□{臭～：膻味}[6]現莧縣峴{～山：地名}
∅	[1]煙胭姻咽{～喉}淵焉嫣{新～：新鮮}鄢{～縣：地名}閼{～氏}鵪{～鶉}湮燕{古國名}鳶[2]沿鉛延筵蜒緣椽芫[3]演偃兗{～州}[5]宴堰鼴郾燕=咽[6]衍院=掾
#uan	
p	[1]般[2]胖瘢蹣盤{又}槃磐磻{～溪：地名}蟠{又}[5]半絆[6]拌叛畔{又}
pʰ	[1]潘{又}藩[2]蟠[5]判{又}泮{又}袢{又}[6]伴{又}
b	[2]瞞{又}蹣{又}[3]滿蟎挽晚娩{婉～}輓
t	[1]端[2]摶團{蒲～}[3]短=[5]鍛煆斷{決～}[6]傳段{姓}緞椴斷篆{～字}
tʰ	[1]湍[2]團糰傳椽[3]踹[5]篆{又}彖鍛{又}煅{～藥}
l	[2]戀巒欒孿攣鑾孌鸞臠灤[3]卵=軟=[6]亂
ts	[1]專磚耑鐫{刻}荃[2]全=痊銓醛泉=船=[3]轉賺{乞討}囀[5]鑽瓚[6]撰譔饌詮
tsʰ	[1]川釧氚穿村悛詮{又}佺痊{又}[2]船□{選擇，～～下}[3]舛{穿戴華面}喘[5]串竄釧{又}篡纂爨闖
s	[1]宜喧瑄擅萱暄渲煊酸□{奚落}遄閂栓拴[2]旋璿漩鏇[3]選桚[5]蒜算渲{又}涮[6]羨□{～石：鑽石}檨{芒果}
dz	[3]軟{又}卵{又}暖{又}餪
k	[1]關=觀官=倌=棺=冠{名詞}捐娟鵑涓鰥瘝綸{～巾}蠲[2]權懸-{高}鬈[3]管館綰琯管莞{東～}筦[5]貫慣摜觀{道～}罐顴灌鸛瓘冠眷卷{名詞}圈{牛～}券絹盥鄄{～城：地名}[6]縣-倦{疲～}
kʰ	[1]寬髖[2]圈{圓～}環圜寰鬟鹮拳{～～之心}卷蜷[3]綣款[5]勸
ɡ	[2]原源塬源源螈塬元芫{～花}黿[3]□{我們}[6]願
h	[1]歡番翻繙幡藩燔璠獾[2]還{～原}環寰{～宇}圜洹垣桓礬帆煩蟠{又}繁瀿蘩樊氾{姓}膰蹯[3]反=返[5]幻販奐喚煥渙瘓泛[6]豢患犯範{姓}範宦梵緩飯凡浣鯇換漶
∅	[1]彎灣冤鴛剜□{～螉：寄生蜂}[2]員圓完烷袁{姓}轅猿園丸{肉～}紈灣{臺～}[3]遠=阮玩浣皖脘莞頑碗=惋琬宛蜿婉苑豌腕晚{俗讀，～會}[5]怨[6]援緩爰媛瑗
#ŋ	
p	[2]幫{加寬，～較闊}[3]榜[6]傍{依仗他人，～福氣}嗙{象聲詞}
pʰ	[6]嗙{又}
t	[1]當{承擔，擔～；守侯；～鳥仔}[2]堂唐{姓}長腸塘[3]漲{水～}[5]當{典當}[6]丈{量詞}蕩{洗滌，洗～}
tʰ	[1]湯[2]糖[3]□{撥開}□{與人較量，甲伊～一下}[5]燙[6]搪杖{桐～：哭喪棒}□{呆傻狀；不動不走}
n	[2]郎榔瓤{二～：表皮下的部分}莨{薯～}
ts	[1]莊贓妝裝□{沾，胡蠅～}[6]狀{告～}臓{小～：豬小腸}
tsʰ	[1]倉滄{海～：地名}艙瘡[2]床[6]□{將鼻涕擤出，～出來}
s	[1]霜喪桑[2]床{籠～：蒸籠}[3]□{拍～：浪費}爽{譴～：忌諱}[6]□{～～：呆呆，不說話}
k	[1]缸扛岡{黃～：地名}[5]鋼杠[6]□{象聲詞}
kʰ	[1]糠康{姓}[5]囥{藏}
h	[1]方{藥～}荒{饑～}哼{～～叫：呻吟聲}坊{牌～}[3]哼{不悅聲}[5]哼{應答聲，表示是、對}[6]哼{疑問聲}
∅	[1]央秧嗯{表示疑問}[3]影{日～}咉{詞首碼，～公}[5]眏{向，～南；～望：希望}
#iŋ	
p	[1]兵冰崩{血～}[2]平朋繃爿{邊、面、片，一～}棚瓶{又}馮[3]秉丙炳屏{～除}餅=[5]並併{合～}迸{～發}摒{～棄}柄{權～}[6]並{又，比～：比較}病=
pʰ	[1]乒{又}拼烹俜娉砰[2]評平{又}蘋萍抨怦坪膨澎彭{姓}蟛硼淜鵬屏{～障}[5]聘騁姘{又}[6]併{又，～胸}
b	[2]明萌盟名茗冥溟瞑螟盲虻鳴酩甍[3]猛錳蜢勐艋[6]孟命
t	[1]丁燈釘{名詞}仃{結～}疔叮汀玎盯耵靪町{畹～：地名}徵{特～}登嶝{大～：地名}[2]亭葶澄{海～：地名}橙廷庭蜓霆懲滕{姓}呈重{雙～}程[3]等=戥鼎=酊頂□{小蜻蜓}[5]釘{動詞}訂{裝～}盯{～梢}叮{蚊蟲咬}瞪鐙蹬磴凳碇錠中{～意}[6]鄧鄭={～重}定啶腚錠{又}訂{簽～}鋌誔□{戶～：門檻}
tʰ	[1]廳聽汀{長～}撐瞠[2]程{又}呈{又}埕酲渟騰謄{又}停婷莛霆{又}蜓{又}[3]挺艇鋌{又}梃廷逞町{又}[5]聽{又}□{～仔：椅的斜足}趁{～便}
l	[1]奶[2]零苓玲鈴聆羚齡翎蛉囹伶{～仃}拎舲冷瓴鸰□{漁具}寧嚀獰檸停擰靈欞菱淩陵棱鯪薐{菠～}綾楞{一行}能龍{～眼}[3]冷領=嶺=伶{～俐}濘[6]令另冗{～～：不緊}濘{又}楞{起～：黑死病}寧{～可}
ts	[1]爭掙猙睜箏崢正{～月}征鉦怔鐘曾憎增僧精睛蜻腈菁舂□{拳打}置繒贈晶蒸{又}盅{酒～}貞偵禎楨牲{～生：牲畜}[2]前情晴層增[3]腫種{～子}井整□{～甲：指甲}[5]正{～式}證政種{～樹}[6]靜靖靚{～妝}阱諍甑淨贈{又}
